0	Index      	 *	Score 	Summary	Detail	
1	32636 33631	 * 	191.51	DCR|3VULN|3DMG|1FLTHEA|1DUR	19aVULN|2LIT|39aDMG|4FLTHEA|5DUR|6RCR|79aDUST|8NUKE|9aBPWR
57	35136 22334	 * 	171.26	DCR|4VULN|2AART|1DUR|1SELL	1249VULN|3SELL|4BPWR|57AART|6DUR|8RCR|aLHND
58	35136 22336	 * 	171.26	DCR|4VULN|2AART|1DUR|1SELL	1249VULN|3SELL|4BPWR|57AART|6DUR|8RCR|aLIT
59	35136 22332	 * 	171.16	DCR|4VULN|2AART|1DUR|1SELL	1249VULN|3SELL|4BPWR|57AART|6DUR|8RCR|aAIRHEA
60	35136 22335	 * 	171.16	DCR|4VULN|2AART|1DUR|1SELL	1249VULN|3SELL|4BPWR|57AART|6DUR|8RCR|aDUST
61	47122 27112	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|2FEWX|3ASPD|4AART|58VULN|6aDMG|7RCR|9RMIN
62	42184 27112	   	170.75	DCR|2VULN|2DMG|1AART|1ASPD	1MBVNT|28VULN|3ASPD|4AART|5DUST|6aDMG|7RCR|9RMIN
63	35231 31154	 * 	170.65	ACR|3VULN|1AART|1DMG|1CDMG	128VULN|3ERES|4MGNLIT|5RCR|6RPLT|7DMG|9AART|aCDMG
64	35132 62112	 * 	170.43	ACR|3VULN|1AART|1CDMG|1FLTHEA|1ASPD|1SELL	124VULN|3SELL|4BPWR|5RCR|6FLTHEA|7ASPD|8LWND|9CDMG|aAART
65	32632 31151	   	169.11	DCR|3VULN|2DMG|1FLTHEA	17aVULN|2LIT|3aDMG|4FLTHEA|5FEWX|6RCR|8aBEXP|9RMIN|aBPWR
66	32632 32131	   	169.11	DCR|3VULN|2DMG|1FLTHEA	18aVULN|2LIT|3aDMG|4FLTHEA|5FEWX|6RCR|7RMIN|9aLWND|aBPWR
67	32632 32531	   	169.11	DCR|3DMG|2VULN|1FLTHEA	1aVULN|2LIT|38aDMG|4FLTHEA|5FEWX|6RCR|7RMIN|9aLWND|aBPWR
68	32632 31121	   	169.01	DCR|3VULN|2DMG|1FLTHEA	17aVULN|2LIT|3aDMG|4FLTHEA|5FEWX|6RCR|8aBEXP|9NUKE|aBPWR
69	32632 31221	   	169.01	DCR|3VULN|2DMG|1FLTHEA	17aVULN|2LIT|3aDMG|4FLTHEA|5FEWX|6RCR|8aLHND|9NUKE|aBPWR
70	32632 31321	   	169.01	DCR|3VULN|2DMG|1FLTHEA	17aVULN|2LIT|3aDMG|4FLTHEA|5FEWX|6RCR|8aLWND|9NUKE|aBPWR
71	35226 62213	 * 	168.98	ACR|4VULN|1AART|1ZMB|1DUR	127aVULN|3ERES|4DUR|5RCR|6ZMB|8BEXP|9AART
72	35226 63113	   	168.98	ACR|4VULN|1AART|1ZMB|1DUR	128aVULN|3ERES|4DUR|5RCR|6ZMB|7BEXP|9AART
73	42183 22148	   	168.95	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD|1DUR	1MBVNT|28VULN|3ASPD|4AART|5LEGI|6DMG|7DUR|9RCR|aFLTHEA
74	32633 23143	   	168.95	DCR|2VULN|2DMG|1CDMG|1FLTHEA|1ASPD	19VULN|2LIT|39DMG|4FLTHEA|5CDMG|6LEGI|79DUST|8RCR|9BPWR|aASPD
75	32634 43121	   	168.91	DCR|3DMG|2VULN|1FLTHEA	1aVULN|2LIT|35aDMG|4FLTHEA|6RCR|7DUST|8aBEXP|9NUKE|aBPWR
76	32634 43221	   	168.91	DCR|3DMG|2VULN|1FLTHEA	1aVULN|2LIT|35aDMG|4FLTHEA|6RCR|7DUST|8aLHND|9NUKE|aBPWR
77	32634 43321	   	168.91	DCR|3DMG|2VULN|1FLTHEA	1aVULN|2LIT|35aDMG|4FLTHEA|6RCR|7DUST|8aLWND|9NUKE|aBPWR
78	35136 22261	 * 	168.86	DCR|4VULN|2AART|1DUR|1SELL	1248VULN|3SELL|4BPWR|57AART|6DUR|9RCR|aRMIN
79	35132 11113	   	168.83	ACR|4VULN|1AART|1ZMB|1DUR|1SELL	1246VULN|3SELL|4BPWR|5RCR|7ZMB|8CGEN|9AART|aDUR
80	47122 27122	   	168.82	DCR|3VULN|1AART|1DMG|1ASPD	1MBVNT|2FEWX|3ASPD|4AART|58aVULN|6DMG|7RCR|9ERES
81	35136 22262	 * 	168.76	DCR|4VULN|2AART|1DUR|1SELL	1248VULN|3SELL|4BPWR|57AART|6DUR|9RCR|aAIRHEA
82	35132 11213	   	168.73	ACR|4VULN|1AART|1ZMB|1DUR|1SELL	1246VULN|3SELL|4BPWR|5RCR|7ZMB|8ERES|9AART|aDUR
83	42184 27122	   	168.72	DCR|3VULN|1AART|1DMG|1ASPD	1MBVNT|28aVULN|3ASPD|4AART|5DUST|6DMG|7RCR|9ERES
84	32331 43521	   	168.62	DCR|3VULN|1AART|1DMG|1ASPD	157VULN|2LIT|37LHND|47LWND|6RCR|7BPWR|8DMG|9AART|aASPD
85	32342 43521	   	168.62	DCR|3VULN|1AART|1DMG|1ASPD	147VULN|2LIT|37LHND|57FEWX|6RCR|7BPWR|8DMG|9AART|aASPD
86	32431 43521	   	168.52	DCR|3VULN|1AART|1DMG|1ASPD	157VULN|27LIT|3LEGI|47LWND|6RCR|7BPWR|8DMG|9AART|aASPD
87	34322 24542	   	168.42	DCR|3VULN|3DMG	169VULN|2TLV|39aDMG|4MBVNT|59LHND|7RCR|8NUKE|9BPWR
88	42141 77113	   	168.22	DCR|3VULN|1AART|1DMG|1ASPD	1MBVNT|28aVULN|3ASPD|4RMIN|5ERES|6RCR|7DMG|9AART
89	25165 21223	 * 	168.11	DCR|3VULN|1AART|3ASPD|2DUR	17DUST|247VULN|345ASPD|47BPWR|67DUR|8RCR|9MBVNT|aAART
90	32622 43352	 * 	168.00	DCR|2VULN|2DMG|3ZMB	1aVULN|2LIT|3aDMG|4BEXP|57ERES|6RCR|89aZMB|aBPWR
91	31315 24124	 * 	167.89	ACR|4VULN|1DMG|1CDMG|1DUR	1368VULN|2LWND|4DUST|5RCR|7DUR|9CDMG|aDMG
92	32636 34221	   	167.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	18VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|7AART|9BEXP|aRPLT
93	32636 34223	   	167.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	18VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|7AART|9BEXP|aCGEN
94	32632 34222	   	167.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7AART|9BEXP|aASPD
95	32632 34231	   	167.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7AART|9DUR|aRPLT
96	32632 34233	   	167.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7AART|9DUR|aCGEN
97	32632 34236	   	167.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7AART|9DUR|aLHND
98	32632 34252	   	167.61	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7AART|9LWND|aASPD
99	32636 31163	   	167.14	DCR|2VULN|2DMG|1FLTHEA|1ASPD|1DUR	17VULN|2LIT|3aDMG|4FLTHEA|5DUR|6RCR|8BEXP|9ASPD
100	12221 22134	   	167.14	ACR|3VULN|1AART|1DMG|1DUR	1aBEXP|2TLV|3aFEWX|4AART|5RCR|6DMG|7DUR|89aVULN|aBPWR
101	32636 33632	   	167.04	DCR|2VULN|2DMG|1FLTHEA|1DUR|1ASPD	19VULN|2LIT|39DMG|4FLTHEA|5DUR|6RCR|79DUST|8NUKE|9BPWR|aASPD
102	32631 34233	 * 	166.99	DCR|4VULN|1AART|1DMG|1FLTHEA|2MSE	189aVULN|29LIT|3DMG|4FLTHEA|59MSE|6RCR|7AART|9BPWR
103	33322 24547	 * 	166.97	DCR|4VULN|2DMG	169aVULN|2MLV|39DMG|4MBVNT|59LHND|7RCR|8NUKE|9BPWR
104	22221 22134	   	166.94	ACR|3VULN|1AART|1DMG|1DUR	1aDUST|2TLV|3aFEWX|4AART|5RCR|6DMG|7DUR|89aVULN|aBPWR
105	34322 24547	   	166.87	DCR|4VULN|2DMG	169aVULN|2TLV|39DMG|4MBVNT|59LHND|7RCR|8NUKE|9BPWR
106	42542 22634	   	166.84	ACR|3VULN|1AART|1DMG|1DUR	1MBVNT|267VULN|3CGEN|4RCR|5ERES|8AART|9DUR|aDMG
107	35132 22554	 * 	166.82	ACR|5VULN|1DMG|1ASPD|1SELL	12478VULN|3SELL|48BPWR|5RCR|6MBVNT|9ASPD|aDMG
108	47122 27123	   	166.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|2FEWX|3ASPD|4AART|58VULN|6DMG|7RCR|9ERES|aCDMG
109	35136 24321	   	166.75	DCR|4VULN|1AART|1DUR|1ASPD|1SELL	1247VULN|3SELL|4BPWR|5AART|6DUR|8RCR|9FEWX|aASPD
110	32632 64231	   	166.73	DCR|3VULN|1AART|1DMG|1FLTHEA	189VULN|2LIT|3DMG|4FLTHEA|5FEWX|6BEXP|7AART|aRCR
111	35136 22313	 * 	166.72	DCR|3VULN|3AART|2DUR|1SELL	124VULN|3SELL|4BPWR|57aAART|69DUR|8RCR
112	42184 27123	   	166.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|28VULN|3ASPD|4AART|5DUST|6DMG|7RCR|9ERES|aCDMG
113	33322 24165	 * 	166.41	DCR|3VULN|2DMG|1CDMG	168VULN|2MLV|3aDMG|4MBVNT|5LHND|7RCR|9CDMG
114	13326 76243	   	166.31	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|2CGEN|38DMG|4MBVNT|5DUR|6RCR|7VULN|9AART|aCDMG
115	34322 24165	   	166.31	DCR|3VULN|2DMG|1CDMG	168VULN|2TLV|3aDMG|4MBVNT|5LHND|7RCR|9CDMG
116	32634 13124	   	166.15	DCR|3VULN|2DMG|1FLTHEA|1DUR	179VULN|2LIT|35DMG|4FLTHEA|6LEGI|8DUR|aRCR
117	21665 33112	 * 	166.14	ACR|3VULN|3CDMG|1AART	127DUST|27aBPWR|3BELT|4RCR|57aVULN|67aCDMG|8AART|9aLHND
118	42186 13332	 * 	166.13	DCR|3VULN|2AART|3ASPD	1MBVNT|279VULN|378ASPD|46AART|5BELT|7BPWR|aRCR
119	35136 63133	 * 	166.07	DCR|3VULN|2AART|1CDMG|1SELL	124VULN|3SELL|4BPWR|5aAART|6BASHEA|7RCR|8CDMG|9MBVNT
120	35222 12424	   	166.05	DCR|3VULN|2DMG|1CDMG|1DUR	128VULN|368ERES|4DUR|5CDMG|78DMG|8BPWR|9MBVNT|aRCR
121	42544 21345	 * 	165.97	ACR|3VULN|2DMG|1AART|2DUR|2MSE	1MBVNT|27aVULN|3aCGEN|4RCR|57MSE|67DUR|7aBPWR|8aDMG|9AART
122	32611 11613	 * 	165.89	DCR|2AART|1VULN|1DMG|2CDMG|1DUR	1VULN|2LIT|3DMG|4ERES|5aCDMG|68AART|7RCR|9DUR
123	35231 12225	 * 	165.87	ACR|2VULN|2DMG|1AART|1DUR	12VULN|3ERES|4MGNLIT|5RCR|6DUR|7CGEN|8aDMG|9AART
124	35231 16225	   	165.87	ACR|2VULN|2DMG|1AART|1DUR	12VULN|3ERES|4MGNLIT|5RCR|6DUR|7RMIN|8aDMG|9AART
125	42543 21318	 * 	165.82	ACR|3VULN|2DMG|2DUR	1MBVNT|27aVULN|39aCGEN|4RCR|57FEWX|67DUR|7aBPWR|8aDMG
126	32634 42113	   	165.81	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1VULN|2LIT|35DMG|4FLTHEA|6RCR|7DUR|8BEXP|9CGEN|aAART
127	32636 31113	   	165.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|8BEXP|9CGEN|aAART
128	32636 31136	   	165.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|8BEXP|9FEWX|aAART
129	32636 31153	   	165.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|8BEXP|9RMIN|aAART
130	32641 11321	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|8FEWX|9ASPD
131	32632 32143	   	165.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7RMIN|9DUR|aAART
132	32632 32543	   	165.81	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1VULN|2LIT|38DMG|4FLTHEA|5FEWX|6RCR|7RMIN|9DUR|aAART
133	32632 35143	   	165.81	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	18VULN|2LIT|3DMG|4FLTHEA|5FEWX|6RCR|7CGEN|9DUR|aAART
134	32641 11213	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|9DUR|aFEWX
135	32641 11222	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|9RCVC|aASPD
136	32641 11232	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2LIT|3DMG|49MLV|5CDMG|6AART|7RCR|aASPD
137	32641 11252	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|9CGEN|aASPD
138	35132 65223	 * 	165.74	ACR|4VULN|1AART|1FLTHEA|1SELL	124aVULN|3SELL|4BPWR|5RCR|6FLTHEA|7AART|8RPLT|9LIT
139	35132 65322	 * 	165.74	ACR|4VULN|1AART|1FLTHEA|1SELL	1249VULN|3SELL|4BPWR|5RCR|6FLTHEA|7AART|8LIT|aLWND
140	35132 65323	 * 	165.74	ACR|4VULN|1AART|1FLTHEA|1SELL	1249VULN|3SELL|4BPWR|5RCR|6FLTHEA|7AART|8LIT|aRPLT
141	35136 63112	   	165.73	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	124VULN|3SELL|4BPWR|5AART|6BASHEA|7RCR|8CDMG|9ZMB|aBEXP
142	35136 63113	   	165.73	DCR|3VULN|1AART|1CDMG|1ZMB|1SELL	124VULN|3SELL|4BPWR|5AART|6BASHEA|7RCR|8CDMG|9ZMB|aRCVC
143	32611 11211	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LIT|3DMG|4ERES|5CDMG|6AART|7RCR|9DUR|aMLV
144	32611 11216	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LIT|3DMG|4ERES|5CDMG|6AART|7RCR|9DUR|aRMIN
145	32611 11222	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2LIT|3DMG|4ERES|5CDMG|6AART|7RCR|9RCVC|aASPD
146	32611 11252	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	18VULN|2LIT|3DMG|4ERES|5CDMG|6AART|7RCR|9CGEN|aASPD
147	32611 11255	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LIT|3DMG|4ERES|5CDMG|6AART|7RCR|9CGEN|aDUR
148	32611 11321	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2LIT|3DMG|4ERES|5CDMG|6AART|7RCR|8FEWX|9ASPD
149	32611 11461	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LIT|3DMG|4ERES|5CDMG|6AART|7RCR|8CGEN|9DUR
150	32634 42123	   	165.71	DCR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1VULN|2LIT|35DMG|4FLTHEA|6RCR|7DUR|8BEXP|9NUKE|aAART
151	32636 31123	   	165.71	DCR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2LIT|3DMG|4FLTHEA|5DUR|6RCR|8BEXP|9NUKE|aAART
152	32641 11521	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1aVULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|8DUST|9ASPD
153	32641 11211	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|9DUR|aTLV
154	32641 11212	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|9DUR|aERES
155	32641 11216	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	18VULN|2LIT|3DMG|4MLV|5CDMG|6AART|7RCR|9DUR|aNUKE
156	42438 22144	   	165.71	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1MBVNT|28VULN|3LEGI|4ZMB|5AART|6DMG|7DUR|9RCR|aASPD
157	32636 32321	   	165.69	DCR|2VULN|2DMG|1FLTHEA|2DUR	1aVULN|2LIT|3aDMG|4FLTHEA|59DUR|6RCR|7RMIN|8aFEWX|aBPWR
158	32632 32341	   	165.69	DCR|2VULN|2DMG|1FLTHEA|2DUR	1aVULN|2LIT|3aDMG|4FLTHEA|58FEWX|6RCR|7RMIN|9aDUR|aBPWR
