0	Index      	 *	Score 	Summary	Detail	
1	33141 12166	 * 	188.62	DCR|3DMG|2AART|1VULN|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9aAART
48	23142 64312	 * 	169.83	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	12CGEN|36CDMG|4RCVC|56DMG|6BPWR|7RCR|8VULN|9DUR|aAART
49	31116 15223	 * 	169.75	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG	1DUST|2CGEN|38VULN|4ERES|5RCR|6FLTHEA|7AART|9DMG|aCDMG
50	53144 12111	   	169.73	DCR|3DMG|1AART|1VULN|1FLTHEA	19BEXP|267DMG|3VULN|4FLTHEA|5LWND|8RCR|aAART
51	33144 12135	   	169.63	DCR|3DMG|1AART|1VULN|1FLTHEA	1DUST|267DMG|3VULN|4FLTHEA|5LWND|8RCR|9LIT|aAART
52	53142 62332	 * 	169.06	DCR|2VULN|2DMG|1AART|1FLTHEA	1BEXP|27DMG|38VULN|4FLTHEA|5ERES|6CANSTR|9RCR|aAART
53	33142 62332	   	168.96	DCR|2VULN|2DMG|1AART|1FLTHEA	1DUST|27DMG|38VULN|4FLTHEA|5ERES|6CANSTR|9RCR|aAART
54	44336 21221	 * 	168.83	DCR|2VULN|3CDMG|1AART|1DMG	18TLV|238CDMG|4LHND|5BEXP|68VULN|7RCR|8BPWR|9DMG|aAART
55	32312 62632	   	168.53	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1DUST|2CANHEL|3VULN|4RCR|5DUR|67DMG|8ASPD|9AART|aZMB
56	34312 62632	   	168.53	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUST|2AIRHEL|3VULN|4RCR|5DUR|67DMG|8ASPD|9AART|aZMB
57	33141 32562	 * 	168.45	DCR|3VULN|2DMG|1FLTHEA|1DUR	18DUST|27DMG|36aVULN|4FLTHEA|5DUR|9RCR
58	32114 11635	   	168.33	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|2CANHEL|3CDMG|4AART|567VULN|8DMG|9MLV|aRCR
59	52112 31635	   	168.33	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2CANHEL|3CDMG|4AART|5ERES|6DMG|789VULN|aRCR
60	33141 12144	 * 	168.22	DCR|3DMG|1VULN|2ZMB|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9aZMB
61	52131 31635	   	167.73	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|2CANHEL|3CDMG|4ERES|5AART|6DMG|789VULN|aRCR
62	22116 15224	 * 	167.64	ACR|2VULN|2AART|1DMG|1FLTHEA	1CGEN|2LHND|38VULN|4ERES|5RCR|6FLTHEA|7aAART|9DMG
63	31116 15225	   	167.54	ACR|2VULN|2AART|1DMG|1FLTHEA	1DUST|2CGEN|38VULN|4ERES|5RCR|6FLTHEA|7aAART|9DMG
64	33152 32163	   	167.38	DCR|3DMG|1AART|1VULN|1ZMB	1DUST|247DMG|3VULN|5LEGI|6CANSTR|8RCR|9AART|aZMB
65	53141 12152	 * 	167.12	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9LHND|aCDMG
66	33141 12112	   	167.02	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9BEXP|aCDMG
67	33141 12122	   	167.02	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9FEWX|aCDMG
68	33141 12152	   	167.02	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9LHND|aCDMG
69	53141 12122	   	167.02	DCR|3DMG|1VULN|1CDMG|1FLTHEA|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9DUST|aCDMG
70	31153 26412	   	166.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1DUST|2CGEN|3VULN|45DMG|6CDMG|7aDUR|8RCR|9AART
71	33123 26412	   	166.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1DUST|25DMG|3VULN|4CGEN|6CDMG|7aDUR|8RCR|9AART
72	33151 26412	   	166.81	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1DUST|24DMG|3VULN|5CGEN|6CDMG|7aDUR|8RCR|9AART
73	33133 26412	   	166.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7aDUR|8RCR|9AART
74	23142 14326	 * 	166.51	DCR|3DMG|2VULN|1CDMG	12CGEN|3CDMG|4RCVC|569DMG|7RCR|8aVULN
75	32312 64336	   	166.24	ACR|3VULN|1AART|1DMG|1DUR	1DUST|2CANHEL|38aVULN|4RCR|5DUR|6DMG|7MLV|9AART
76	24112 21145	 * 	166.07	DCR|2DMG|1AART|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9RMIN|aAART
77	23162 21431	 * 	165.67	DCR|3DMG|1AART|1CDMG|1ZMB	127CGEN|3CDMG|47LWND|579DMG|6RCR|7BPWR|8ZMB|aAART
78	24262 21431	   	165.67	DCR|3DMG|1AART|1CDMG|1ZMB	137CGEN|2CDMG|47LWND|579DMG|6RCR|7BPWR|8ZMB|aAART
79	22116 32255	   	165.27	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2LHND|36VULN|4ERES|5RCR|79DMG|8DUR|aAART
80	44332 21242	   	165.19	DCR|2DMG|1AART|1VULN|2CDMG	17TLV|23CDMG|478LHND|57DMG|6RCR|7BPWR|9VULN|aAART
81	32312 51244	   	164.83	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1DUST|2CANHEL|39VULN|4RCR|5DUR|6FLTHEA|7BEXP|8AART|aDMG
82	13141 12163	   	164.73	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR|1MSE	1MSE|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9AART|aZMB
83	53141 12134	   	164.47	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9CGEN|aZMB
84	53141 12141	   	164.47	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9ZMB|aRPLT
85	53141 12142	   	164.47	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1BEXP|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9ZMB|aRCVC
86	33141 12141	   	164.37	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9ZMB|aRPLT
87	33141 12142	   	164.37	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9ZMB|aRCVC
88	33141 12145	   	164.37	DCR|3DMG|1VULN|1FLTHEA|1ZMB|1DUR	1DUST|267DMG|3VULN|4FLTHEA|5DUR|8RCR|9ZMB|aBELT
89	33163 12144	   	164.25	DCR|2VULN|2DMG|1AART|1DUR	1DUST|2aDMG|35VULN|4DUR|6RCVC|7AART|8FEWX|9RCR
90	33144 12132	   	164.11	DCR|3DMG|2VULN|1FLTHEA	1aDUST|267DMG|3aVULN|4FLTHEA|5LWND|8RCR|9aLIT|aBPWR
91	22153 36312	   	164.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2LHND|36VULN|4DMG|5BEXP|7RCR|8CDMG|9AART|aDUR
92	33144 12113	   	164.01	DCR|3DMG|2VULN|1FLTHEA	1DUST|267DMG|3aVULN|4FLTHEA|5LWND|8RCR|9BEXP
93	33144 12123	   	164.01	DCR|3DMG|2VULN|1FLTHEA	1DUST|267DMG|3aVULN|4FLTHEA|5LWND|8RCR|9FEWX
94	33144 12153	   	164.01	DCR|3DMG|2VULN|1FLTHEA	1DUST|267DMG|3aVULN|4FLTHEA|5LWND|8RCR|9LHND
95	53144 12123	   	164.01	DCR|3DMG|2VULN|1FLTHEA	1BEXP|267DMG|3aVULN|4FLTHEA|5LWND|8RCR|9DUST
96	22151 36312	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2LHND|36VULN|4DMG|5DUST|7RCR|8CDMG|9AART|aDUR
97	42153 36312	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2LHND|36VULN|4DMG|5BEXP|7RCR|8CDMG|9AART|aDUR
98	31153 56312	   	163.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CGEN|3VULN|45DMG|6LEGI|7RCR|8CDMG|9AART|aDUR
99	33123 56312	   	163.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4CGEN|6LEGI|7RCR|8CDMG|9AART|aDUR
100	33151 56312	   	163.81	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5CGEN|6LEGI|7RCR|8CDMG|9AART|aDUR
101	42151 36312	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1TLV|2LHND|36VULN|4DMG|5DUST|7RCR|8CDMG|9AART|aDUR
102	33133 56312	   	163.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6LEGI|7RCR|8CDMG|9AART|aDUR
103	24126 21521	 * 	163.56	DCR|3VULN|3ASPD|1CDMG|2DUR	17CGEN|2CDMG|37DUR|457ASPD|6RCR|7BPWR|89aVULN
104	33165 12161	   	163.42	DCR|3DMG|1AART|1VULN|1DUR	1DUST|267DMG|3VULN|4DUR|5BASHEA|8RCR|9AART|aLWND
105	23142 14312	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	12CGEN|3CDMG|4RCVC|56DMG|7RCR|8VULN|9DUR|aAART
106	24242 14312	   	163.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	13CGEN|2CDMG|4RCVC|56DMG|7RCR|8VULN|9DUR|aAART
107	33165 12162	   	163.32	DCR|3DMG|1AART|1VULN|1DUR	1DUST|267DMG|3VULN|4DUR|5BASHEA|8RCR|9AART|aTLV
108	33152 32166	   	163.32	DCR|3DMG|1AART|1VULN|1DUR	1DUST|247DMG|3VULN|5LEGI|6CANSTR|8RCR|9AART|aDUR
109	24112 21126	 * 	162.93	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9LIT|aVULN
110	24112 21133	   	162.93	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9RPLT|aVULN
111	24112 21163	   	162.93	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aLHND
112	24112 21165	   	162.93	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aRMIN
113	53165 12111	   	162.92	DCR|3DMG|1AART|1VULN|1DUR	19BEXP|267DMG|3VULN|4DUR|5BASHEA|8RCR|aAART
114	24112 21161	   	162.83	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aDUST
115	24112 21162	   	162.83	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aMBVNT
116	24112 21164	   	162.83	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17CGEN|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aERES
117	44112 21126	   	162.73	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17TLV|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9LIT|aVULN
118	44112 21133	   	162.73	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17TLV|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9RPLT|aVULN
119	44112 21163	   	162.73	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17TLV|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aLHND
120	23142 64331	   	162.64	DCR|2DMG|1AART|1VULN|2CDMG|1SELL	12CGEN|36CDMG|4RCVC|56DMG|6BPWR|7RCR|8VULN|9SELL|aAART
121	44112 21161	   	162.63	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17TLV|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aDUST
122	44112 21162	   	162.63	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17TLV|2CDMG|347DUR|57DMG|6RCR|7BPWR|8ZMB|9VULN|aMBVNT
123	44112 21421	   	162.63	DCR|2DMG|1VULN|3DUR|1CDMG|1ZMB	17TLV|2CDMG|347DUR|57DMG|6RCR|7BPWR|8DUST|9VULN|aZMB
124	22142 55221	   	162.58	DCR|3VULN|1AART|1DMG	1CGEN|2LHND|38aVULN|4LSRICY|5ERES|6RCR|7AART|9DMG
125	24112 21131	 * 	162.57	DCR|3DMG|3DUR|2ZMB|1CDMG	17aCGEN|2CDMG|347DUR|57aDMG|6RCR|7aBPWR|8aZMB|9RPLT
126	23162 21434	   	162.53	DCR|3DMG|1VULN|1CDMG|1ZMB	127CGEN|3CDMG|47LWND|579DMG|6RCR|7BPWR|8ZMB|aVULN
127	31142 55221	   	162.48	DCR|3VULN|1AART|1DMG	1DUST|2CGEN|38aVULN|4LSRICY|5ERES|6RCR|7AART|9DMG
128	22153 36332	 * 	162.38	DCR|3VULN|2CDMG|1DMG|1DUR	19CGEN|2LHND|369VULN|4DMG|5BEXP|7RCR|89CDMG|9BPWR|aDUR
129	33663 43313	   	162.35	DCR|2VULN|2DMG|1AART|1DUR	1DUST|29DMG|3LHND|4DUR|57VULN|6AART|8ERES|aRCR
130	23152 28371	   	162.29	DCR|2DMG|1AART|1VULN|2CDMG	129CGEN|39CDMG|4MBVNT|59DMG|6RMIN|7AART|8RCR|9BPWR|aVULN
131	22151 36332	   	162.28	DCR|3VULN|2CDMG|1DMG|1DUR	19CGEN|2LHND|369VULN|4DMG|5DUST|7RCR|89CDMG|9BPWR|aDUR
132	23142 64322	 * 	162.28	DCR|3DMG|1VULN|2CDMG|1ASPD	12CGEN|36CDMG|4RCVC|569DMG|6BPWR|7RCR|8VULN|aASPD
133	44112 21131	   	162.27	DCR|3DMG|3DUR|2ZMB|1CDMG	17aTLV|2CDMG|347DUR|57aDMG|6RCR|7aBPWR|8aZMB|9RPLT
134	33163 44451	   	162.25	DCR|2VULN|2DMG|1AART|1DUR	18DUST|28DMG|35VULN|4DUR|6MBVNT|78ERES|8BPWR|9RCR|aAART
135	42153 36332	   	162.18	DCR|3VULN|1DMG|2CDMG|1DUR	19TLV|2LHND|369VULN|4DMG|5BEXP|7RCR|89CDMG|9BPWR|aDUR
136	53163 36213	   	162.09	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1BEXP|2aDMG|35VULN|4DUR|6ZMB|7RCR|8LWND|9ASPD
137	42151 36332	   	162.08	DCR|3VULN|1DMG|2CDMG|1DUR	19TLV|2LHND|369VULN|4DMG|5DUST|7RCR|89CDMG|9BPWR|aDUR
138	33164 36213	   	161.99	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1DUST|2aDMG|36VULN|4DUR|5ZMB|7RCR|8LWND|9ASPD
139	33163 56313	   	161.75	DCR|2VULN|2DMG|1AART|1DUR	1DUST|29DMG|35VULN|4DUR|6ERES|7AART|8LHND|aRCR
140	22352 26413	   	161.71	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	15CGEN|2LHND|3FEWX|45DMG|5BPWR|6CDMG|7DUR|8RCR|9AART|aVULN
141	53151 21412	   	161.61	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|24DMG|3VULN|5CGEN|6CDMG|7LWND|8RCR|9AART|aDUR
142	22123 26414	   	161.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	14CGEN|2LHND|3aVULN|5DMG|6CDMG|7DUR|8RCR|9AART
143	31153 21412	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CGEN|3VULN|45DMG|6CDMG|7LWND|8RCR|9AART|aDUR
144	31153 22415	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CGEN|3VULN|45DMG|6CDMG|7FEWX|8RCR|9AART|aDUR
145	33123 21412	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4CGEN|6CDMG|7LWND|8RCR|9AART|aDUR
146	33123 22415	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4CGEN|6CDMG|7FEWX|8RCR|9AART|aDUR
147	33151 21412	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5CGEN|6CDMG|7LWND|8RCR|9AART|aDUR
148	33151 22415	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5CGEN|6CDMG|7FEWX|8RCR|9AART|aDUR
149	53151 23412	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1BEXP|24DMG|3VULN|5CGEN|6CDMG|7LEGI|8RCR|9AART|aDUR
150	31153 26411	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CGEN|3VULN|45DMG|6CDMG|7DUR|8RCR|9AART|aFEWX
151	33123 26411	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4CGEN|6CDMG|7DUR|8RCR|9AART|aFEWX
152	33151 26411	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|24DMG|3VULN|5CGEN|6CDMG|7DUR|8RCR|9AART|aFEWX
153	33223 26414	   	161.51	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3LWND|4CGEN|6CDMG|7DUR|8RCR|9AART|aVULN
154	24321 21222	 * 	161.48	DCR|3VULN|3CDMG|1DMG	18CGEN|258CDMG|3FEWX|4BEXP|68aVULN|7RCR|8BPWR|9DMG
155	33121 26414	   	161.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	15DUST|2DMG|3aVULN|4CGEN|6CDMG|7DUR|8RCR|9AART
156	33133 26411	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7DUR|8RCR|9AART|aFEWX
157	31153 23412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|2CGEN|3VULN|45DMG|6CDMG|7LEGI|8RCR|9AART|aDUR
158	33123 23412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4CGEN|6CDMG|7LEGI|8RCR|9AART|aDUR
159	33133 21412	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7LWND|8RCR|9AART|aDUR
160	33133 22415	   	161.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1DUST|25DMG|3VULN|4TLV|6CDMG|7FEWX|8RCR|9AART|aDUR
