0	Index      	 *	Score 	Summary	Detail	
1	16223 22358	 * 	203.75	ACR|3VULN|2DMG|1AART|2CDMG	1RCR|27LIT|38CDMG|479VULN|5MBVNT|67DMG|7BPWR|aAART
12	66512 31321	   	193.72	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LHND|8RCR|9BEXP|aRPLT
13	66512 31322	   	193.72	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LHND|8RCR|9BEXP|aLIT
14	66512 31331	   	193.72	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|79aLHND|8RCR
15	66512 31332	   	193.72	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|79LHND|8RCR|aBEXP
16	66512 31333	   	193.72	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|79LHND|8RCR|aFEWX
17	16222 22333	 * 	193.63	ACR|3VULN|2DMG|3CDMG|1DUR	1RCR|27LIT|378CDMG|49aVULN|5DUR|67DMG|7BPWR
18	66512 31312	   	193.62	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LHND|8RCR|9ERES|aCGEN
19	66512 31323	   	193.62	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LHND|8RCR|9BEXP|aMBVNT
20	66512 32321	   	193.62	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9BEXP|aRPLT
21	66512 32322	   	193.62	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9BEXP|aLIT
22	66512 32331	   	193.62	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9LHND|aRPLT
23	66512 32332	   	193.62	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9LHND|aLIT
24	66512 32312	   	193.52	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9ERES|aCGEN
25	66512 32323	   	193.52	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9BEXP|aMBVNT
26	66512 32333	   	193.52	DCR|3VULN|3DMG|1AART	1MLV|256VULN|3AART|456DMG|56BPWR|7LEGI|8RCR|9LHND|aMBVNT
27	36133 24635	 * 	193.40	DCR|3VULN|1AART|3ASPD|2CDMG|2ZMB	1RMIN|2AART|37aASPD|47ZMB|5MBVNT|67aVULN|7aBPWR|8aCDMG|9RCR
28	51513 24512	 * 	191.52	DCR|3DMG|2VULN|1AART|1CDMG	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9DUST|aCDMG
29	51513 24534	   	191.37	DCR|3DMG|2VULN|1AART|1CDMG|1SELL	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9SELL|aCDMG
30	16212 22536	 * 	190.88	ACR|2VULN|2DMG|2CDMG|1FLTHEA|2DUR	1RCR|2LIT|3aCDMG|4LWND|58DUR|6aDMG|7FLTHEA|9aVULN|aBPWR
31	12235 33335	 * 	190.02	ACR|2AART|2VULN|2DMG|1DUR	1RCR|2RMIN|3RPLT|49AART|5aDMG|68VULN|7DUR
32	16223 22277	 * 	189.99	ACR|3VULN|3DMG|1CDMG	1RCR|27aLIT|3CDMG|47aVULN|5MBVNT|67aDMG|7aBPWR|8LEGI|9RCVC
33	12232 33461	   	189.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2RMIN|3RPLT|4AART|5aMLV|6aVULN|7DUR|8ZMB|9aDMG|aBPWR
34	12235 33411	   	189.77	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2RMIN|3RPLT|4AART|5aDMG|6aVULN|7DUR|8ZMB|9aMLV|aBPWR
35	23135 42312	 * 	189.61	DCR|2VULN|2DMG|1AART|3DUR|1CDMG	167DUR|28VULN|3AART|4LWND|56DMG|6BPWR|9RCR|aCDMG
36	12236 33461	   	189.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCR|2RMIN|3RPLT|4AART|5aERES|6aVULN|7DUR|8ZMB|9aDMG|aBPWR
37	16223 22288	   	189.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8LEGI|9AART|aDUR
38	16223 22282	   	188.60	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|27LIT|3aCDMG|47VULN|5MBVNT|67DMG|7BPWR|8LEGI|9AART
39	16222 26152	   	188.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2LIT|3CDMG|49aVULN|5DUR|6DMG|7AART|8DMSP
40	16222 26432	   	188.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2LIT|3CDMG|48aVULN|5DUR|6DMG|7AART|9MGNSTR
41	13145 31134	   	187.89	ACR|3VULN|2DMG|1AART	1RCR|2LHND|3AART|4FEWX|58aVULN|69DMG|7BELT
42	16221 22452	   	187.79	ACR|4VULN|1AART|1CDMG|1ZMB	1RCR|2LIT|3CDMG|489aVULN|5AART|6ZMB|7FEWX
43	16223 22355	   	187.49	ACR|3VULN|2DMG|2CDMG|1ASPD	1RCR|27LIT|38CDMG|479VULN|5MBVNT|67DMG|7BPWR|aASPD
44	16225 32152	   	187.46	ACR|3VULN|1AART|1DMG|2CDMG	1RCR|27LIT|37CDMG|49aVULN|5DMG|67LWND|7BPWR|8AART
45	16221 22462	   	187.34	ACR|3VULN|1AART|1FLTHEA|1CDMG|1ZMB	1RCR|2LIT|3CDMG|48aVULN|5AART|6ZMB|7FEWX|9FLTHEA
46	13653 63133	   	187.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2LHND|368VULN|4DMG|5DUR|7BEXP|9AART|aCDMG
47	16224 22332	   	186.69	ACR|3VULN|2DMG|3CDMG	1RCR|27LIT|378CDMG|49aVULN|5FEWX|67DMG|7BPWR
48	16236 22332	   	186.69	ACR|3VULN|2DMG|3CDMG	1RCR|27LIT|378CDMG|4FEWX|59aVULN|67DMG|7BPWR
49	13163 21535	 * 	186.68	ACR|2AART|2DMG|1VULN|1CDMG|1ASPD	1RCR|2LHND|34AART|5ASPD|6VULN|7LWND|8CDMG|9aDMG
50	13165 25332	   	186.68	ACR|2AART|2DMG|1VULN|1CDMG|1DUR	1RCR|2LHND|34AART|59DMG|6VULN|7BELT|8DUR|aCDMG
51	16222 26162	 * 	186.48	ACR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1DUR	1RCR|2LIT|3CDMG|4aVULN|5DUR|6DMG|7AART|8DMSP|9FLTHEA
52	16221 21552	   	185.92	ACR|3VULN|1AART|1CDMG|2DUR|1ZMB	1RCR|2LIT|3CDMG|49aVULN|5AART|6ZMB|78DUR
53	13145 31132	   	185.88	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2LHND|3AART|4FEWX|58VULN|69DMG|7BELT|aCDMG
54	16212 22236	   	185.58	ACR|2VULN|2DMG|2CDMG|1FLTHEA|1DUR	1RCR|2LIT|3aCDMG|4LWND|5DUR|6aDMG|7FLTHEA|8RCVC|9aVULN|aBPWR
55	16221 21463	   	185.56	ACR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1RCR|2LIT|3CDMG|48VULN|5AART|6ZMB|7DUR|9FLTHEA|aASPD
56	16225 32162	 * 	185.46	ACR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1RCR|27LIT|37CDMG|4aVULN|5DMG|67LWND|7BPWR|8AART|9FLTHEA
57	12235 35331	 * 	185.28	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|2RMIN|3RPLT|4AART|5aDMG|6aVULN|7MLV|8DUST|9aASPD|aBPWR
58	12235 16741	   	185.18	ACR|2VULN|2DMG|1AART|2ASPD	1RCR|2RMIN|3RPLT|4AART|5aDMG|6MBVNT|7ERES|8aVULN|9aASPD|aBPWR
59	16211 26152	   	185.14	ACR|3VULN|2AART|1CDMG|1ZMB	1RCR|2LIT|3CDMG|4LWND|58AART|6ZMB|79aVULN
60	16221 21414	   	185.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2LIT|3CDMG|48VULN|5AART|6ZMB|7DUR|9RPLT|aDMG
61	33363 15432	 * 	184.92	DCR|4VULN|3DMG	1RMIN|245aVULN|34ERES|4BPWR|6RCR|789DMG
62	51513 24541	   	184.91	DCR|3DMG|2VULN|1AART|1ASPD	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9ASPD|aRPLT
63	51513 24542	   	184.91	DCR|3DMG|2VULN|1AART|1ASPD	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9ASPD|aLIT
64	51513 24544	   	184.91	DCR|3DMG|2VULN|1AART|1ASPD	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9ASPD|aFEWX
65	12121 28465	   	184.89	ACR|3VULN|2DMG|1AART	1RCR|2RMIN|3LEGI|49DMG|59aVULN|6MBVNT|79LHND|8AART|9BPWR
66	12123 27465	   	184.89	ACR|3VULN|2DMG|1AART	1RCR|2RMIN|3LEGI|49DMG|59LHND|6MBVNT|79aVULN|8AART|9BPWR
67	51513 24511	   	184.81	DCR|3DMG|2VULN|1AART|1DUR	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9DUST|aDUR
68	51513 24531	   	184.66	DCR|3DMG|2VULN|1AART|1DUR|1SELL	17LHND|247DMG|3AART|5MBVNT|67VULN|7BPWR|8RCR|9SELL|aDUR
69	31136 32613	 * 	184.09	ACR|3VULN|3DMG|2ZMB	13RMIN|26aDMG|4RCR|56ZMB|6aBPWR|79aVULN|8aLIT
70	13165 25333	   	184.03	ACR|2AART|2DMG|1VULN|1ZMB|1DUR	1RCR|2LHND|34AART|59DMG|6VULN|7BELT|8DUR|aZMB
71	16221 21562	   	183.92	ACR|2VULN|1AART|1FLTHEA|1CDMG|2DUR|1ZMB	1RCR|2LIT|3CDMG|4aVULN|5AART|6ZMB|78DUR|9FLTHEA
72	31136 32412	   	183.89	ACR|3VULN|3DMG|2ZMB	13RMIN|268DMG|4RCR|56ZMB|6BPWR|79aVULN
73	13166 31214	   	183.88	ACR|2AART|2DMG|2VULN	1RCR|27LHND|34AART|57LWND|67DMG|7BPWR|8BELT|9aVULN
74	14652 24342	   	183.84	ACR|2DMG|1AART|1VULN|2CDMG|2DUR	1RCR|2aDUR|3VULN|4aDMG|5ERES|6MBVNT|7MGNSTR|8AART|9aCDMG|aBPWR
75	13166 31336	   	183.78	ACR|2AART|2VULN|2DMG	1RCR|27LHND|34AART|57LWND|67DMG|7BPWR|8ERES|9aVULN
76	16221 41152	   	183.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2LIT|3CDMG|469aVULN|5AART|7DUR|8RMIN
77	16221 41352	   	183.73	ACR|4VULN|1AART|1CDMG|1DUR	1RCR|2LIT|3CDMG|468aVULN|5AART|7DUR|9CGEN
78	16221 44333	   	183.73	ACR|4VULN|1AART|1CDMG|1ASPD	1RCR|2LIT|3CDMG|4689VULN|5AART|7LHND|aASPD
79	14413 51132	   	183.72	ACR|3VULN|2DMG|2DUR|1ZMB	1RCR|25DUR|3ZMB|47aVULN|69DMG|8BEXP
80	14413 51332	   	183.72	ACR|3VULN|2DMG|2DUR|1ZMB	1RCR|25DUR|3ZMB|47aVULN|69DMG|8LHND
81	16221 43333	   	183.63	ACR|4VULN|1AART|1CDMG|1ASPD	1RCR|2LIT|3CDMG|4689VULN|5AART|7LEGI|aASPD
82	14413 51232	   	183.62	ACR|3VULN|2DMG|2DUR|1ZMB	1RCR|25DUR|3ZMB|47aVULN|69DMG|8DUST
83	16223 22337	   	183.37	ACR|2VULN|2DMG|3CDMG|2DUR	1RCR|27aLIT|38aCDMG|47VULN|5MBVNT|67DMG|7aBPWR|9aDUR
84	12235 52253	 * 	183.35	ACR|3DMG|1AART|1VULN|1CDMG	1RCR|2RMIN|3RPLT|4AART|569DMG|6BPWR|7VULN|8MLV|aCDMG
85	16221 41162	   	183.27	ACR|3VULN|1AART|1FLTHEA|1CDMG|1DUR	1RCR|2LIT|3CDMG|46aVULN|5AART|7DUR|8RMIN|9FLTHEA
86	16222 22343	   	183.27	ACR|2VULN|2DMG|3CDMG|2DUR	1RCR|27LIT|378CDMG|4aVULN|59DUR|67DMG|7BPWR
87	12235 52153	   	183.25	ACR|3DMG|1AART|1VULN|1CDMG	1RCR|2RMIN|3RPLT|4AART|569DMG|6BPWR|7VULN|8ERES|aCDMG
88	13145 31133	   	183.24	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2LHND|3AART|4FEWX|58VULN|69DMG|7BELT|aZMB
89	16211 26162	 * 	183.13	ACR|2AART|2VULN|1CDMG|1FLTHEA|1ZMB	1RCR|2LIT|3CDMG|4LWND|58AART|6ZMB|7aVULN|9FLTHEA
90	12235 32235	   	183.08	ACR|2AART|2VULN|2DMG	1RCR|2RMIN|3RPLT|49AART|5aDMG|68VULN|7BEXP
91	23135 42314	   	182.90	DCR|2VULN|2DMG|1AART|3DUR|1ASPD	167DUR|28VULN|3AART|4LWND|56DMG|6BPWR|9RCR|aASPD
92	16231 25343	 * 	182.85	ACR|3VULN|1AART|2CDMG|1FLTHEA	1RCR|29LIT|39CDMG|4FEWX|5AART|6FLTHEA|7BELT|89aVULN|9BPWR
93	12235 32311	   	182.84	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2RMIN|3RPLT|4AART|5aDMG|6aVULN|7BEXP|8ZMB|9aMLV|aBPWR
94	12232 32461	   	182.84	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2RMIN|3RPLT|4AART|5aMLV|6aVULN|7BEXP|8ZMB|9aDMG|aBPWR
95	12236 32461	   	182.64	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2RMIN|3RPLT|4AART|5aERES|6aVULN|7BEXP|8ZMB|9aDMG|aBPWR
96	23122 12464	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|29VULN|3AART|4LIT|5ZMB|6LWND|7RCR|8aDMG
97	23122 22464	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|29VULN|3AART|4LIT|5ZMB|6LHND|7RCR|8aDMG
98	14411 62133	   	182.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUR|3ZMB|48VULN|5FEWX|6DMG|7TLV|9AART|aCDMG
99	23412 51232	   	182.51	DCR|4VULN|2DMG|1ZMB|1DUR	1DUR|247aVULN|3ZMB|5BEXP|69DMG|8RCR
100	16223 22281	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8LEGI|9AART|aLHND
101	16223 22283	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8LEGI|9AART|aLWND
102	16223 22284	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8LEGI|9AART|aFEWX
103	16223 22286	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8LEGI|9AART|aBEXP
104	16223 22287	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8LEGI|9AART|aCGEN
105	14124 11121	 * 	182.23	ACR|3DMG|1VULN|2CDMG|2DUR|1ASPD	1RCR|29DUR|3DMSP|4ASPD|59CDMG|679DMG|8RCVC|9BPWR|aVULN
106	13413 63611	   	182.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCR|2LHND|3ZMB|46VULN|5DUR|7BEXP|8DMG|9CDMG|aAART
107	12231 13254	   	182.03	ACR|3VULN|1AART|2CDMG|2DUR	1RCR|2RMIN|3RPLT|4AART|59CDMG|6LWND|79aVULN|89DUR|9BPWR
108	16231 23162	   	181.90	ACR|1AART|1DMG|2CDMG|1VULN|1FLTHEA|2DUR	1RCR|28LIT|38CDMG|4FEWX|5AART|6FLTHEA|78DUR|8BPWR|9VULN|aDMG
109	14411 63112	   	181.88	ACR|4VULN|1DMG|1ZMB|1ASPD|1DUR	1RCR|2DUR|3ZMB|489aVULN|5FEWX|6DMG|7ASPD
110	16221 41236	   	181.81	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD|1SELL	1RCR|29LIT|3CDMG|469VULN|5AART|79DUR|8SELL|9BPWR|aASPD
111	16223 22874	   	181.78	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8MLV|9FEWX|aAART
112	31136 35512	 * 	181.77	ACR|3VULN|2DMG|3ZMB	13RMIN|26DMG|4RCR|567ZMB|6BPWR|89aVULN
113	13165 25211	   	181.75	ACR|3VULN|2AART|1DMG	1RCR|2LHND|34AART|5DMG|689VULN|7BELT|aRCVC
114	13165 25212	   	181.75	ACR|3VULN|2AART|1DMG	1RCR|2LHND|34AART|5DMG|689VULN|7BELT|aLWND
115	13165 25213	   	181.75	ACR|3VULN|2AART|1DMG	1RCR|2LHND|34AART|5DMG|689VULN|7BELT|aMLV
116	14434 11112	   	181.72	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|24DUR|3ZMB|5CDMG|67DMG|8RCVC|9aVULN
117	14434 11221	   	181.72	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|24DUR|3ZMB|5CDMG|67DMG|8aVULN|9MLV
118	14434 11231	   	181.72	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	1RCR|24DUR|3ZMB|5CDMG|67DMG|8aVULN|9LHND
119	16223 22474	   	181.68	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|27LIT|3CDMG|47VULN|5MBVNT|67DMG|7BPWR|8ERES|9FEWX|aAART
120	31434 13325	 * 	181.46	ACR|3DMG|1AART|1VULN|2CDMG	1RMIN|268DMG|3RCR|4MLV|58CDMG|78LHND|8BPWR|9VULN|aAART
121	16223 22155	   	181.17	ACR|3VULN|2DMG|1CDMG|1ASPD	1RCR|27LIT|3CDMG|479VULN|5MBVNT|67DMG|7BPWR|8DMSP|aASPD
122	16221 24163	   	181.10	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1RCR|2LIT|3CDMG|4VULN|5AART|6ZMB|7ASPD|8RMIN|9FLTHEA|aDMG
123	16221 14333	   	181.07	ACR|3VULN|2AART|1CDMG|1ASPD	1RCR|2LIT|3CDMG|489VULN|56AART|7LHND|aASPD
124	16223 22443	   	181.07	ACR|3VULN|2DMG|1CDMG|1DUR	1RCR|27LIT|3CDMG|479VULN|5MBVNT|67DMG|7BPWR|8ERES|aDUR
125	16221 11152	   	181.07	ACR|3VULN|2AART|1CDMG|1DUR	1RCR|2LIT|3CDMG|49aVULN|56AART|7DUR|8RMIN
126	16221 11352	   	181.07	ACR|3VULN|2AART|1CDMG|1DUR	1RCR|2LIT|3CDMG|48aVULN|56AART|7DUR|9CGEN
127	16221 11452	   	181.07	ACR|3VULN|2AART|1CDMG|1DUR	1RCR|2LIT|3CDMG|49aVULN|56AART|7DUR|8MLV
128	16221 13333	   	180.97	ACR|3VULN|2AART|1CDMG|1ASPD	1RCR|2LIT|3CDMG|489VULN|56AART|7LEGI|aASPD
129	12235 33323	   	180.95	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1RCR|2RMIN|3RPLT|4AART|5DMG|68VULN|7DUR|9aCDMG
130	11623 22235	   	180.87	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1RCR|2BELT|3ERES|4DUR|5AART|6ASPD|7aDMG|8VULN|9CDMG
131	31136 31325	 * 	180.83	ACR|3DMG|3ZMB|1AART|2ASPD|1SELL	13RMIN|269DMG|4RCR|569ZMB|69BPWR|79ASPD|8SELL|aAART
132	16221 21152	   	180.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2LIT|3CDMG|49aVULN|5AART|6ZMB|7DUR|8DMSP
133	16221 21432	   	180.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2LIT|3CDMG|48aVULN|5AART|6ZMB|7DUR|9MGNSTR
134	16221 21453	   	180.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2LIT|3CDMG|489VULN|5AART|6ZMB|7DUR|aBEXP
135	16221 24152	   	180.63	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCR|2LIT|3CDMG|49aVULN|5AART|6ZMB|7ASPD|8RMIN
136	16221 24352	   	180.63	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RCR|2LIT|3CDMG|49aVULN|5AART|6ZMB|7ASPD|8CGEN
137	16223 22352	   	180.55	ACR|3VULN|2DMG|2CDMG	1RCR|27LIT|38CDMG|479VULN|5MBVNT|67DMG|7BPWR|aMLV
138	16223 22353	   	180.55	ACR|3VULN|2DMG|2CDMG	1RCR|27aLIT|38CDMG|479VULN|5MBVNT|67DMG|7BPWR
139	16223 22354	   	180.55	ACR|3VULN|2DMG|2CDMG	1RCR|27LIT|38CDMG|479VULN|5MBVNT|67DMG|7BPWR|aFEWX
140	16221 21451	   	180.53	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RCR|2LIT|3CDMG|489VULN|5AART|6ZMB|7DUR|aERES
141	16221 16521	   	180.45	ACR|3VULN|2AART|2CDMG	1RCR|28LIT|38CDMG|489VULN|56AART|7DLOT|8BPWR|aMBVNT
142	16221 16523	   	180.45	ACR|3VULN|2AART|2CDMG	1RCR|28LIT|38CDMG|489VULN|56AART|7DLOT|8BPWR|aDUST
143	16223 22357	   	180.45	ACR|3VULN|2DMG|2CDMG	1RCR|27LIT|38CDMG|479VULN|5MBVNT|67DMG|7BPWR|aTLV
144	16223 22444	   	180.45	ACR|3VULN|2DMG|2CDMG	1RCR|27LIT|3aCDMG|479VULN|5MBVNT|67DMG|7BPWR|8ERES
145	13631 65123	   	180.35	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|24LHND|356VULN|7DMG|8LWND|9AART|aCDMG
146	13631 62623	   	180.25	ACR|3VULN|1AART|1DMG|1CDMG	1RCR|24LHND|356VULN|7LEGI|8DMG|9AART|aCDMG
147	31136 52613	   	180.14	ACR|3VULN|3DMG|1ZMB	13RMIN|26aDMG|4RCR|5ZMB|79aVULN|8aLIT|aBPWR
148	14612 23431	   	180.12	ACR|2VULN|2DMG|1AART|2DUR|1SELL	1RCR|28DUR|38VULN|4FEWX|5BEXP|6SELL|78DMG|8BPWR|9ERES|aAART
149	14632 23431	   	180.12	ACR|2VULN|2DMG|1AART|2DUR|1SELL	1RCR|28DUR|38VULN|4LHND|5BEXP|6SELL|78DMG|8BPWR|9ERES|aAART
150	23623 33653	 * 	180.02	DCR|3VULN|2DMG|3DUR|1ZMB	159DUR|239VULN|4CGEN|6TLV|7RCR|89DMG|9BPWR|aZMB
151	16211 26252	   	180.00	ACR|3VULN|1AART|2CDMG|1ZMB	1RCR|2LIT|38CDMG|4LWND|5AART|6ZMB|79aVULN
152	13163 25336	   	179.97	ACR|2AART|2DMG|1VULN|1ASPD|1DUR	1RCR|2LHND|34AART|5ASPD|6VULN|7BELT|8DUR|9aDMG
153	13166 31212	   	179.94	ACR|2AART|2DMG|1VULN|1CDMG	1RCR|27LHND|34AART|57LWND|67DMG|7BPWR|8BELT|9VULN|aCDMG
154	31136 52412	   	179.94	ACR|3VULN|3DMG|1ZMB	13RMIN|268DMG|4RCR|5ZMB|79aVULN
155	12235 33321	   	179.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1RCR|2RMIN|3RPLT|4AART|5DMG|68VULN|7aDUR|9CDMG
156	16221 43235	   	179.86	ACR|3VULN|1AART|2CDMG|1ZMB|1SELL	1RCR|29LIT|39CDMG|469VULN|5AART|7LEGI|8SELL|9BPWR|aZMB
157	13164 43213	   	179.84	ACR|2AART|2VULN|1DMG|1CDMG	1RCR|269LHND|34AART|56VULN|6BPWR|7LWND|8DMG|aCDMG
158	14434 11131	   	179.78	ACR|3DMG|1VULN|1CDMG|2DUR|1ZMB	1RCR|24DUR|3ZMB|5CDMG|679DMG|8RCVC|aVULN
159	16222 26433	   	179.77	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1RCR|2LIT|3CDMG|48VULN|5DUR|6DMG|7AART|9MGNSTR|aASPD
160	16222 36433	   	179.77	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1RCR|2LIT|3CDMG|48VULN|5DUR|6ASPD|7AART|9MGNSTR|aDMG
161	13165 25222	   	179.74	ACR|2AART|2VULN|1DMG|1CDMG	1RCR|2LHND|34AART|5DMG|68VULN|7BELT|9BEXP|aCDMG
162	13165 31263	   	179.74	ACR|2AART|2DMG|1VULN|1CDMG	1RCR|27LHND|34AART|57DMG|67DUST|7BPWR|8RCVC|9VULN|aCDMG
163	13165 31316	   	179.74	ACR|2AART|2DMG|1VULN|1CDMG	1RCR|27LHND|34AART|57DMG|67DUST|7BPWR|8CGEN|9CDMG|aVULN
164	13166 35232	   	179.74	ACR|2AART|2DMG|1VULN|1CDMG	1RCR|2LHND|34AART|5LWND|69DMG|7BELT|8VULN|aCDMG
