0	Index      	 *	Score 	Summary	Detail	
1	36235 41321	 * 	208.20	DCR|3DMG|1VULN|1AART|1CDMG|2ZMB|1AAC	1AAC|23ZMB|46aDMG|5AART|7RCR|8CDMG|9VULN
62	42132 23542	   	185.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|2DUST|3ZMB|46VULN|5aDUR|7RCR|8AART|9CDMG
63	42212 23542	   	185.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|2DUST|36VULN|4ZMB|5aDUR|7RCR|8AART|9CDMG
64	42132 33541	   	185.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|2DUST|3ZMB|4aVULN|56DUR|7RCR|8AART|9CDMG
65	42212 33541	   	185.61	DCR|2VULN|1AART|1CDMG|2DUR|1ZMB	1LHND|2DUST|3aVULN|4ZMB|56DUR|7RCR|8AART|9CDMG
66	21635 33361	   	185.59	DCR|2DMG|1VULN|1AART|1ASPD	1ERES|2TLV|39RCVC|47DMG|5AART|6VULN|8RCR|aASPD
67	12243 32123	   	185.31	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	13CGEN|26LHND|4AART|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
68	16513 32123	   	185.31	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1CGEN|2AART|346LHND|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
69	16543 32123	   	185.31	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1CGEN|2AART|36LHND|4DMSP|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
70	16563 32123	   	185.31	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	14CGEN|2AART|36LHND|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
71	52643 32123	   	185.31	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	16MLV|2LHND|3AELBLL|4AART|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
72	56513 32123	   	185.31	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1MLV|2AART|346LHND|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
73	12243 52123	   	185.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	13CGEN|2LHND|4AART|57DMG|6VULN|8ASPD|9DUR|aRCR
74	12245 32423	   	185.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	13CGEN|2LHND|4AART|5ASPD|6VULN|78DMG|9DUR|aRCR
75	16135 32433	   	185.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	13CGEN|2AART|3BPWR|4FEWX|5ASPD|6VULN|78DMG|9DUR|aRCR
76	16335 32433	   	185.21	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1CGEN|2AART|3AELBLL|4FEWX|5ASPD|6VULN|78DMG|9DUR|aRCR
77	16343 32133	   	185.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	16CGEN|2AART|3AELBLL|4DUST|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
78	16513 52123	   	185.21	DCR|2DMG|1AART|1VULN|1ASPD|1DUR	1CGEN|2AART|34LHND|57DMG|6VULN|8ASPD|9DUR|aRCR
79	16143 32133	   	185.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	13CGEN|2AART|36BPWR|46DUST|56DMG|7VULN|8ASPD|9DUR|aRCR
80	16143 52133	   	185.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	13CGEN|2AART|3BPWR|4DUST|57DMG|6VULN|8ASPD|9DUR|aRCR
81	16343 52133	   	185.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1CGEN|2AART|3AELBLL|4DUST|57DMG|6VULN|8ASPD|9DUR|aRCR
82	25443 32123	   	185.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	12ERES|36LHND|4AART|56DMG|6BPWR|7VULN|8ASPD|9DUR|aRCR
83	56143 32133	   	185.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	13MLV|2AART|36BPWR|46DUST|56DMG|7VULN|8ASPD|9DUR|aRCR
84	56343 12133	   	185.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1MLV|2AART|3VULN|4DMSP|57DMG|6DUST|8ASPD|9DUR|aRCR
85	43242 34213	 * 	185.01	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1DUR	1LHND|2DUR|3VULN|4ASPD|5MDPS|6ERES|7AART|89DMG|aRCR
86	33641 33351	   	184.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2CGEN|3RCVC|4AART|5ASPD|68VULN|7DMG|9RCR|aTLV
87	33641 33352	   	184.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1MSE	1AAC|2CGEN|3RCVC|4AART|5ASPD|68VULN|7DMG|9RCR|aMSE
88	33641 33353	   	184.91	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1AAC|2CGEN|3RCVC|4AART|5ASPD|68VULN|7DMG|9RCR|aDUST
89	36241 42111	 * 	184.81	3VULN|2DMG|2ASPD|3ZMB|1AART|1AAC	1AAC|23aZMB|4AART|58ASPD|6aDMG|79aVULN|aBPWR
90	16123 15326	   	184.56	DCR|3AART|1VULN|1ASPD|1DMG	13CGEN|259AART|3BPWR|4TLV|6VULN|7DMG|8RCR|aASPD
91	16323 15326	   	184.56	DCR|3AART|1VULN|1ASPD|1DMG	1CGEN|259AART|3AELBLL|4TLV|6VULN|7DMG|8RCR|aASPD
92	46132 23511	   	184.28	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|2BEXP|3ZMB|46VULN|5DUR|7RCR|8AART|9MLV|aASPD
93	46212 23511	   	184.28	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|2BEXP|36VULN|4ZMB|5DUR|7RCR|8AART|9MLV|aASPD
94	32332 12514	   	184.27	DCR|2VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3DUR|4aVULN|5CGEN|6RCR|7AART|8RCVC|9ZMB
95	32141 23226	 * 	184.24	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8aASPD|9LHND
96	32141 23254	   	184.24	DCR|2ASPD|1VULN|1DMG|1CDMG|1AAC|1ZMB	1AAC|2CDMG|3RPLT|4VULN|5ZMB|6RCR|7DMG|8aASPD|9LIT
97	42132 23511	   	184.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|2DUST|3ZMB|46VULN|5DUR|7RCR|8AART|9MLV|aASPD
98	42132 23514	   	184.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|46VULN|5DUR|7RCR|8AART|9MLV|aDMG
99	42132 23561	   	184.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|2DUST|3ZMB|46VULN|5DUR|7RCR|8AART|9CGEN|aASPD
100	42212 23511	   	184.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|2DUST|36VULN|4ZMB|5DUR|7RCR|8AART|9MLV|aASPD
101	42212 23514	   	184.18	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1LHND|2DUST|36VULN|4ZMB|5DUR|7RCR|8AART|9MLV|aDMG
102	42212 23561	   	184.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LHND|2DUST|36VULN|4ZMB|5DUR|7RCR|8AART|9CGEN|aASPD
103	36241 53131	 * 	184.14	DCR|3ASPD|1AART|1DMG|2ZMB|1AAC	1AAC|23ZMB|4AART|58aASPD|6RCR|7RMIN|9DMG
104	21635 31361	   	184.07	DCR|2AART|1VULN|1ASPD|1DMG	1ERES|2TLV|39RCVC|4DMG|57AART|6VULN|8RCR|aASPD
105	43241 12328	   	183.92	DCR|2VULN|2AART|1ASPD|1DUR	1LHND|2DUR|38VULN|4ASPD|5MBVNT|69AART|7AME|aRCR
106	16211 56332	 * 	183.79	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG	15CGEN|2AART|3MDPS|4LHND|6RCR|78VULN|9DMG|aCDMG
107	32536 25313	   	183.75	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1DUR|1SELL	1AAC|2CDMG|35DUST|45VULN|5BPWR|6DUR|7SELL|8AART|9DMG|aRCR
108	12243 21323	   	183.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	13CGEN|2LHND|47AART|5DMG|6ASPD|8VULN|9DUR|aRCR
109	16135 35213	   	183.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	13CGEN|28AART|3BPWR|4FEWX|5ASPD|6VULN|7DUR|9DMG|aRCR
110	16335 35213	   	183.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1CGEN|28AART|3AELBLL|4FEWX|5ASPD|6VULN|7DUR|9DMG|aRCR
111	16513 21323	   	183.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1CGEN|27AART|34LHND|5DMG|6ASPD|8VULN|9DUR|aRCR
112	16543 21323	   	183.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1CGEN|27AART|3LHND|4DMSP|5DMG|6ASPD|8VULN|9DUR|aRCR
113	16563 21323	   	183.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	14CGEN|27AART|3LHND|5DMG|6ASPD|8VULN|9DUR|aRCR
114	56343 21133	   	183.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1MLV|27AART|3VULN|4DMSP|5DMG|6ASPD|8DUST|9DUR|aRCR
115	25443 21323	   	183.50	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	12ERES|3LHND|47AART|5DMG|6ASPD|8VULN|9DUR|aRCR
116	32145 23261	 * 	183.27	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1AAC|2CDMG|3RPLT|4VULN|5ERES|6RCR|7DMG|8ASPD|9CANSTR|aAART
117	36235 33311	 * 	183.07	4VULN|2ASPD|3ZMB|1AART|1DMG|1AAC	1AAC|23aZMB|4DMG|5AART|689aVULN|7aASPD|aBPWR
118	21635 33336	   	182.69	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1ERES|2TLV|3RCVC|47DMG|5AART|6VULN|8RCR|9DUR|aZMB
119	32245 62123	   	182.64	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC|1SELL	1AAC|2CDMG|3RCVC|4SELL|59AART|6RCR|7VULN|8ASPD|aDMSP
120	32121 46342	 * 	182.48	DCR|1SPLARM|2VULN|1MDPS|1DMG|1CDMG|1AAC	1AAC|2CDMG|3RPLT|4BELT|56VULN|7SPLARM|8DMG|9RCR|aMDPS
121	32332 12614	   	182.36	DCR|2VULN|1AART|1CDMG|1AAC|1ZMB|1DUR	1AAC|2CDMG|3DUR|4aVULN|58CGEN|6RCR|7AART|9ZMB
122	33643 62123	   	182.23	DCR|3AART|1VULN|1ASPD|1AAC|1ZMB	1AAC|2CGEN|3RCVC|459AART|6RCR|7VULN|8ASPD|aZMB
123	11641 31326	 * 	182.12	DCR|3AART|2ASPD|1VULN	1CGEN|2TLV|3RCVC|479AART|5aASPD|6VULN|8RCR
124	43213 23245	   	182.05	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUR|368VULN|4ZMB|5LWND|7RCR|9CGEN|aAART
125	43213 23265	   	182.05	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUR|368VULN|4ZMB|5LWND|7RCR|9MLV|aAART
126	21641 31326	   	182.02	DCR|3AART|2ASPD|1VULN	1ERES|2TLV|3RCVC|479AART|5aASPD|6VULN|8RCR
127	43213 13216	   	181.96	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LHND|2DUR|3VULN|4ZMB|5LWND|6AART|7FEWX|8RCR|9DMG|aASPD
128	46132 13216	   	181.96	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|2BEXP|3ZMB|4VULN|5DUR|6AART|7FEWX|8RCR|9DMG|aASPD
129	46212 13216	   	181.96	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|2BEXP|3VULN|4ZMB|5DUR|6AART|7FEWX|8RCR|9DMG|aASPD
130	42132 23245	   	181.95	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5DUR|7RCR|9CGEN|aAART
131	42132 23265	   	181.95	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5DUR|7RCR|9MLV|aAART
132	42212 23245	   	181.95	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5DUR|7RCR|9CGEN|aAART
133	42212 23265	   	181.95	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5DUR|7RCR|9MLV|aAART
134	46132 23235	   	181.95	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2BEXP|3ZMB|468VULN|5DUR|7RCR|9LEGI|aAART
135	46212 23235	   	181.95	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2BEXP|368VULN|4ZMB|5DUR|7RCR|9LEGI|aAART
136	61135 33234	 * 	181.93	DCR|1VULN|1AART|1ASPD|1DMG|3DUR	1RCVC|238DUR|4DMG|5AART|6VULN|7ASPD|9DMSP|aRCR
137	43213 16126	 * 	181.89	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1LHND|2DUR|37VULN|4ZMB|5LWND|6AART|89CDMG|aRCR
138	16225 23136	   	181.86	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2AART|3MDPS|4DUR|5VULN|6LIT|7ZMB|8RCR|9DMG|aASPD
139	42113 16216	   	181.86	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|4DUR|5LWND|6AART|7VULN|8RCR|9DMG|aASPD
140	42132 13216	   	181.86	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|4VULN|5DUR|6AART|7FEWX|8RCR|9DMG|aASPD
141	42133 11216	   	181.86	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|4VULN|5BEXP|6AART|7DUR|8RCR|9DMG|aASPD
142	42212 13216	   	181.86	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|2DUST|3VULN|4ZMB|5DUR|6AART|7FEWX|8RCR|9DMG|aASPD
143	42213 11216	   	181.86	DCR|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|2DUST|3VULN|4ZMB|5BEXP|6AART|7DUR|8RCR|9DMG|aASPD
144	16225 21123	   	181.86	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2AART|3MDPS|4DUR|5VULN|6LIT|7ASPD|8RCR|9ZMB|aDMG
145	16241 41123	   	181.86	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2AART|3MDPS|4LIT|5VULN|6DUR|7ASPD|8RCR|9ZMB|aDMG
146	42132 23235	   	181.85	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUST|3ZMB|468VULN|5DUR|7RCR|9LEGI|aAART
147	42212 23235	   	181.85	DCR|3VULN|1AART|1ZMB|1DUR	1LHND|2DUST|368VULN|4ZMB|5DUR|7RCR|9LEGI|aAART
148	12245 22213	   	181.85	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	13CGEN|2LHND|4AART|56ASPD|7VULN|8DUR|9DMG|aRCR
149	12245 25323	   	181.85	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	13CGEN|2LHND|4AART|56ASPD|7DMG|8VULN|9DUR|aRCR
150	14245 22213	   	181.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	13CGEN|2LWND|4AART|56ASPD|7VULN|8DUR|9DMG|aRCR
151	16135 22213	   	181.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	13CGEN|2AART|3BPWR|4FEWX|56ASPD|7VULN|8DUR|9DMG|aRCR
152	16335 22213	   	181.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1CGEN|2AART|3AELBLL|4FEWX|56ASPD|7VULN|8DUR|9DMG|aRCR
153	16515 22213	   	181.85	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	1CGEN|2AART|34LHND|56ASPD|7VULN|8DUR|9DMG|aRCR
154	42132 16126	   	181.79	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1LHND|2DUST|3ZMB|47VULN|5DUR|6AART|89CDMG|aRCR
155	42212 16126	   	181.79	DCR|2VULN|1AART|2CDMG|1ZMB|1DUR	1LHND|2DUST|37VULN|4ZMB|5DUR|6AART|89CDMG|aRCR
156	32331 33511	   	181.76	DCR|3VULN|1AART|1CDMG|1AAC|1DUR	1AAC|2CDMG|3DUR|467VULN|5LIT|8AART|9DUST|aRCR
