0	Index      	 *	Score 	Summary	Detail	
1	22153 42432	 * 	207.40	DCR|3DMG|2VULN|1ASPD|1ZMB	1LEGI|28aDMG|39VULN|4ASPD|5RMIN|6RCR|7ZMB
46	21232 62333	   	195.49	DCR|3VULN|2ASPD|1AART	1LEGI|24aERES|3AART|5LHND|6aASPD|79aVULN|8RCR|aBPWR
47	13126 31641	   	195.41	DCR|2VULN|2ASPD|1AART|2DUR	1AME|2aDUR|35VULN|4CGEN|6RCR|78ASPD|9AART
48	33662 62333	   	195.02	DCR|3VULN|1AART|1ASPD|2ZMB	1RMIN|2aERES|3AART|4aZMB|5LHND|6ASPD|79aVULN|8RCR|aBPWR
49	21216 62333	   	194.92	DCR|3VULN|1AART|1ASPD|2DUR	1LEGI|2aERES|3AART|4aDUR|5AELBLL|6ASPD|79aVULN|8RCR|aBPWR
50	43111 65321	 * 	194.65	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|27CGEN|3AELBLL|4CDMG|57ASPD|6aRCVC|7BPWR|8AART|9RCR
51	43112 33324	   	194.57	DCR|2VULN|2ASPD|1AART|1CDMG	16VULN|2CGEN|3AELBLL|4CDMG|5RCVC|7aASPD|8AART|9RCR
52	43111 65322	   	194.34	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|27CGEN|3AELBLL|4CDMG|57ASPD|6RCVC|7BPWR|8AART|9RCR|aLIT
53	43111 65323	   	194.34	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|27aCGEN|3AELBLL|4CDMG|57ASPD|6RCVC|7BPWR|8AART|9RCR
54	43111 63324	   	194.14	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CGEN|3AELBLL|4CDMG|5aASPD|6RCVC|8AART|9RCR
55	43111 22133	   	194.11	DCR|2VULN|2ASPD|1AART|1CDMG	19VULN|2CGEN|3AELBLL|4CDMG|5aASPD|6LIT|7AART|8RCR
56	45111 22133	   	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	19VULN|2ERES|3AELBLL|4CDMG|5aASPD|6LIT|7AART|8RCR
57	22153 42253	 * 	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2DMG|3VULN|4ASPD|5RMIN|6RCR|7ZMB|8LWND|9AART|aCDMG
58	21212 16513	   	193.33	DCR|2VULN|2DMG|1AART|1DUR	1LEGI|28aERES|3AART|4DUR|5DMSP|6RCR|7aDMG|9aVULN|aBPWR
59	22313 22136	 * 	193.07	DCR|2AART|2DMG|1VULN|1CDMG	1LEGI|23DMG|4CDMG|5MLV|6LIT|7aAART|8RCR|9VULN
60	62135 16322	   	192.76	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1DUST|2ASPD|37VULN|4LEGI|5AART|6DMG|8RCR|9MDPS|aAME
61	62135 16323	   	192.76	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1DUST|2ASPD|37VULN|4LEGI|5AART|6DMG|8RCR|9MDPS|aRPLT
62	22333 36434	 * 	192.46	DCR|3DMG|1AART|1VULN|1ASPD	1LEGI|235DMG|4ASPD|6BEXP|7AART|8VULN|9LIT|aRCR
63	42215 31622	   	192.19	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	17VULN|2LHND|3LWND|4RPLT|5DUR|6RCR|8CDMG|9ASPD|aAART
64	33532 32663	   	192.19	DCR|2VULN|2ASPD|1AART|1ZMB	1RMIN|2aERES|3aVULN|45LHND|6RCR|7ZMB|8aASPD|9AART|aBPWR
65	41313 63135	 * 	192.13	DCR|3VULN|1MDPS|1AART|1CDMG	169VULN|2DUST|3RCVC|4ERES|5CDMG|7RCR|8AART|aMDPS
66	43114 33324	   	192.11	DCR|2VULN|2ASPD|1AART|1CDMG	16VULN|2CGEN|3AELBLL|4CDMG|5DMSP|7aASPD|8AART|9RCR
67	25215 31622	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1LEGI|27VULN|3LWND|4RPLT|5DUR|6RCR|8CDMG|9ASPD|aAART
68	62322 32516	   	191.84	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1DUST|2ASPD|3DMG|4AME|5MDPS|6aVULN|7ZMB|8AART|9RCR
69	25223 24231	 * 	191.82	DCR|2VULN|2AART|1MDPS|1DMG|1DUR	1LEGI|28VULN|3LWND|4DMG|5MDPS|6RCR|7DUR|9aAART
70	33633 62333	   	191.80	DCR|3VULN|1AART|1ASPD|1ZMB	1RMIN|2aERES|3AART|4aFEWX|5ZMB|6ASPD|79aVULN|8RCR|aBPWR
71	33643 62333	   	191.80	DCR|3VULN|1AART|1ASPD|1ZMB	1RMIN|2aERES|3AART|4aLHND|5ZMB|6ASPD|79aVULN|8RCR|aBPWR
72	34133 42134	   	191.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1RMIN|2CGEN|3AAC|4ASPD|5DMG|6CDMG|7RCR|8AART|9VULN|aZMB
73	22153 42252	   	191.77	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	1LEGI|2DMG|3VULN|4aASPD|5RMIN|6RCR|7ZMB|8LWND|9AART
74	22153 42242	   	191.74	DCR|2VULN|2DMG|1ASPD|1ZMB	1LEGI|2aDMG|39VULN|4ASPD|5RMIN|6RCR|7ZMB|8LWND
75	22153 42433	   	191.74	DCR|2VULN|2DMG|1ASPD|1ZMB	1LEGI|28DMG|39VULN|4ASPD|5RMIN|6RCR|7ZMB|aRPLT
76	62312 32516	   	191.74	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1DUST|2ASPD|3DMG|4ERES|5MDPS|6aVULN|7ZMB|8AART|9RCR
77	32133 42134	   	191.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1RMIN|2TLV|3AAC|4ASPD|5DMG|6CDMG|7RCR|8AART|9VULN|aZMB
78	23513 63142	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2RPLT|3ASPD|4ERES|5DMG|6RCR|7DUR|8CDMG|9VULN|aAART
79	22153 42431	   	191.64	DCR|2VULN|2DMG|1ASPD|1ZMB	1LEGI|28DMG|39VULN|4ASPD|5RMIN|6RCR|7ZMB|aDUST
80	44223 26321	 * 	191.50	DCR|2AART|1MDPS|1VULN|1ASPD|1DMG|1DUR	1VULN|2DUR|3LWND|4DMG|5MDPS|6RCR|7ASPD|8aAART|9ERES
81	32633 15215	   	191.33	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	1RMIN|2TLV|3AART|4FEWX|5ZMB|6RCR|7CDMG|89DMG|aVULN
82	33633 15215	   	191.33	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	1RMIN|2ERES|3AART|4FEWX|5ZMB|6RCR|7CDMG|89DMG|aVULN
83	41313 63132	   	191.08	DCR|3VULN|1AART|1CDMG|1DUR	169VULN|2DUST|3RCVC|4ERES|5CDMG|7RCR|8AART|aDUR
84	62333 36136	 * 	190.93	DCR|2DMG|1MDPS|2ASPD|1VULN|1AART	1DUST|28ASPD|34DMG|5LWND|6MDPS|7AART|9VULN|aRCR
85	23513 66132	 * 	190.80	DCR|1VULN|1AART|2CDMG|1ASPD|1DMG	1LEGI|2RPLT|3ASPD|4ERES|5DMG|6RCR|7VULN|89CDMG|aAART
86	22663 11631	   	190.70	DCR|3DMG|2ASPD|1VULN	1LEGI|257DMG|37DUST|4DLOT|6RCR|7BPWR|8VULN|9aASPD
87	13126 31643	   	190.49	DCR|2VULN|2ASPD|1AART|1DUR	1AME|2DUR|35VULN|4CGEN|6RCR|78ASPD|9AART|aRCVC
88	21126 32616	   	190.31	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LEGI|2ERES|35VULN|4CGEN|6RCR|7ZMB|8ASPD|9CDMG|aDMG
89	13126 31144	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	1AME|2DUR|35VULN|4CGEN|6RCR|79ASPD|8LHND|aAART
90	13126 31344	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	1AME|2DUR|35VULN|4CGEN|6RCR|79ASPD|8FEWX|aAART
91	13126 31634	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	1AME|2DUR|35VULN|4CGEN|6RCR|78ASPD|9LWND|aAART
92	13126 31642	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	1AME|2DUR|35VULN|4CGEN|6RCR|78ASPD|9AART|aRMIN
93	13126 36521	   	189.96	DCR|3VULN|1AART|1CDMG|1DUR	1AME|2DUR|357VULN|4aCGEN|6RCR|8CDMG|9AART
94	13126 36522	   	189.96	DCR|3VULN|1AART|1CDMG|1DUR	1AME|2DUR|357VULN|4CGEN|6RCR|8CDMG|9AART|aBELT
95	13126 36523	   	189.96	DCR|3VULN|1AART|1CDMG|1DUR	1AME|2DUR|357VULN|4CGEN|6RCR|8CDMG|9AART|aMLV
96	43111 22154	   	189.90	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2CGEN|3AELBLL|4CDMG|5ASPD|6LIT|7AART|8RCR|9ZMB|aDMG
97	34133 42135	   	189.78	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1RMIN|2CGEN|3AAC|4ASPD|5DMG|6CDMG|7RCR|8AART|9VULN|aDUR
98	44223 21532	   	189.72	DCR|2VULN|2DMG|1MDPS|1ASPD|1DUR	1aVULN|2DUR|3LWND|48DMG|5MDPS|6RCR|7MULARM|9ASPD
99	32133 42135	   	189.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1DUR	1RMIN|2TLV|3AAC|4ASPD|5DMG|6CDMG|7RCR|8AART|9VULN|aDUR
100	42526 32312	 * 	189.61	DCR|3VULN|2DMG|1ZMB	158VULN|2LHND|3RMIN|4CGEN|6RCR|7ZMB|9aDMG
101	22163 13334	   	189.58	DCR|3VULN|1AART|1DMG|1DUR	1LEGI|2DMG|369VULN|4DLOT|5MLV|7DUR|8RCR|aAART
102	21212 62336	   	189.58	DCR|3VULN|1AART|1ASPD|1DUR	1LEGI|2ERES|3AART|4DUR|5DMSP|6ASPD|79aVULN|8RCR
103	21216 62336	   	189.58	DCR|3VULN|1AART|1ASPD|1DUR	1LEGI|2ERES|3AART|4DUR|5AELBLL|6ASPD|79aVULN|8RCR
104	22235 33233	 * 	189.56	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG	1LEGI|28DMG|3DMSP|4ASPD|58VULN|6MDPS|78ERES|8BPWR|9CDMG|aRCR
105	22235 36233	   	189.56	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG	1LEGI|28DMG|3DMSP|4ASPD|58VULN|6MDPS|78TLV|8BPWR|9CDMG|aRCR
106	41313 63152	 * 	189.32	DCR|2VULN|2AART|1CDMG|1DUR	16VULN|2DUST|3RCVC|4ERES|5CDMG|7RCR|89AART|aDUR
107	43111 22132	 * 	189.25	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	19VULN|2CGEN|3AELBLL|4CDMG|5ASPD|6LIT|7AART|8RCR|aMDPS
108	45111 22132	   	189.15	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG	19VULN|2ERES|3AELBLL|4CDMG|5ASPD|6LIT|7AART|8RCR|aMDPS
109	22163 13333	   	188.83	DCR|3VULN|2DMG|2DUR	1LEGI|2aDMG|369VULN|4DLOT|5aMLV|7aDUR|8RCR|aBPWR
110	22166 43333	   	188.73	DCR|3VULN|2DMG|2DUR	1LEGI|2aDMG|39aVULN|4DLOT|5AELBLL|6TLV|7aDUR|8RCR|aBPWR
111	41313 63262	   	188.71	DCR|2VULN|2CDMG|1ASPD|1DMG	16VULN|2DUST|3RCVC|4ERES|58CDMG|7RCR|9ASPD|aDMG
112	43111 25253	 * 	188.65	DCR|3ASPD|1VULN|1AART|1CDMG	1VULN|2CGEN|3AELBLL|4CDMG|58aASPD|6LIT|7RCR|9AART
113	31611 31142	 * 	188.58	DCR|3ASPD|2VULN|2CDMG	1RMIN|236DUST|48CDMG|58aASPD|78VULN|8BPWR|9RCR
114	41331 61141	   	188.58	DCR|3VULN|1MDPS|1AART|1DMG	189VULN|2DUST|3RCVC|4DMG|5LWND|6RCR|7MDPS|aAART
115	41333 61141	   	188.58	DCR|3VULN|1MDPS|1AART|1DMG	189VULN|2DUST|3RCVC|4DMG|5LHND|6RCR|7MDPS|aAART
116	22663 11621	   	188.50	DCR|3DMG|1AART|1VULN|1DUR	1LEGI|257DMG|37DUST|4DLOT|6RCR|7BPWR|8VULN|9AART|aDUR
117	42215 31623	   	188.48	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	17VULN|2LHND|3LWND|4RPLT|5DUR|6RCR|8CDMG|9ASPD|aDMG
118	13126 31216	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	1AME|2DUR|35VULN|4CGEN|6RCR|7ASPD|8AAC|9CDMG|aDMG
119	25215 31623	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|27VULN|3LWND|4RPLT|5DUR|6RCR|8CDMG|9ASPD|aDMG
120	43216 31216	   	188.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	15VULN|2CGEN|3DUR|4TLV|6RCR|7ASPD|8AAC|9CDMG|aDMG
121	23513 63143	 * 	187.96	DCR|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	1LEGI|2RPLT|3ASPD|4ERES|5DMG|6RCR|7DUR|8CDMG|9VULN|aNUKE
122	22311 66315	 * 	187.84	3DMG|3ASPD|2VULN|1AART|1CDMG	1LEGI|23aDMG|4CDMG|57aASPD|6RCVC|8AART|9aVULN|aBPWR
123	21212 62334	   	187.82	DCR|2VULN|2AART|1ASPD|1DUR	1LEGI|2ERES|3aAART|4DUR|5DMSP|6ASPD|79VULN|8RCR
124	21216 62334	   	187.82	DCR|2VULN|2AART|1ASPD|1DUR	1LEGI|2ERES|3aAART|4DUR|5AELBLL|6ASPD|79VULN|8RCR
125	22155 13513	   	187.78	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2DMG|3VULN|4ASPD|5BEXP|6CDMG|7LIT|8RCR|9AART|aDUR
126	22156 13513	   	187.78	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1LEGI|2DMG|3VULN|4ASPD|5FEWX|6CDMG|7LIT|8RCR|9AART|aDUR
127	34333 32346	   	187.73	DCR|2VULN|2DMG|2ASPD	1RMIN|2CGEN|35DMG|49ASPD|68VULN|7FEWX|aRCR
128	61513 63132	   	187.66	DCR|3VULN|1AART|1CDMG|1DUR	12DUST|369VULN|4ERES|5CDMG|7RCR|8AART|aDUR
129	33333 32346	   	187.63	DCR|2VULN|2DMG|2ASPD	1RMIN|2ERES|35DMG|49ASPD|68VULN|7FEWX|aRCR
130	22151 42311	   	187.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|28DMG|3VULN|4ASPD|5CGEN|6RCR|7CDMG|9FEWX|aZMB
131	22151 42331	   	187.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|28DMG|3VULN|4ASPD|5CGEN|6RCR|7CDMG|9LWND|aZMB
132	22153 42411	   	187.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|28DMG|3VULN|4ASPD|5RMIN|6RCR|7ZMB|9CDMG|aRPLT
133	22153 42412	   	187.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|28DMG|3VULN|4ASPD|5RMIN|6RCR|7ZMB|9CDMG|aBELT
134	22153 42413	   	187.61	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB	1LEGI|28DMG|3VULN|4ASPD|5RMIN|6RCR|7ZMB|9CDMG|aLHND
135	34531 61122	   	187.60	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RMIN|2CGEN|38VULN|4DMG|5LWND|6RCR|7MDPS|9ASPD|aAART
136	34533 61122	   	187.60	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RMIN|2CGEN|38VULN|4DMG|5LHND|6RCR|7MDPS|9ASPD|aAART
137	36323 61122	   	187.60	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RMIN|2LWND|3DMG|4AME|58VULN|6RCR|7MDPS|9ASPD|aAART
138	36363 61122	   	187.60	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RMIN|2LWND|3DMG|4CGEN|58VULN|6RCR|7MDPS|9ASPD|aAART
139	13126 36212	   	187.59	DCR|3VULN|2DMG|1DUR	1AME|2DUR|357VULN|4CGEN|6RCR|8RMIN|9aDMG
140	61534 22133	   	187.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	126DUST|3VULN|4DMG|5DUR|7ASPD|8RCR|9CDMG|aAART
141	22123 61122	   	187.50	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LEGI|2DMG|38VULN|4CGEN|5RMIN|6RCR|7MDPS|9ASPD|aAART
142	22151 41334	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1LEGI|2DMG|39VULN|4ASPD|5CGEN|6RCR|7RMIN|8ERES|aAART
143	25423 61122	   	187.50	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LEGI|28VULN|3DMG|4CGEN|5RMIN|6RCR|7MDPS|9ASPD|aAART
144	26133 61122	   	187.50	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LEGI|2CGEN|38VULN|4DMG|5RMIN|6RCR|7MDPS|9ASPD|aAART
145	32531 61122	   	187.50	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RMIN|2TLV|38VULN|4DMG|5LWND|6RCR|7MDPS|9ASPD|aAART
146	32533 61122	   	187.50	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RMIN|2TLV|38VULN|4DMG|5LHND|6RCR|7MDPS|9ASPD|aAART
147	36433 61122	   	187.50	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1RMIN|2LWND|3TLV|4DMG|58VULN|6RCR|7MDPS|9ASPD|aAART
148	26212 26332	   	187.50	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1LEGI|2CGEN|36AART|4DUR|5DUST|7DMG|8RCR|9VULN|aASPD
149	43216 36212	   	187.49	DCR|3VULN|2DMG|1DUR	157VULN|2CGEN|3DUR|4TLV|6RCR|8RMIN|9aDMG
150	13126 36612	   	187.49	DCR|3VULN|2DMG|1DUR	1AME|2DUR|357VULN|4CGEN|6RCR|8ERES|9aDMG
151	62432 31238	 * 	187.43	DCR|2VULN|2DMG|1MDPS|2ASPD	18DUST|28ASPD|3TLV|47DMG|5MDPS|68VULN|8BPWR|9MBVNT|aRCR
152	22113 61122	   	187.40	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LEGI|2DMG|38VULN|4TLV|5RMIN|6RCR|7MDPS|9ASPD|aAART
153	25133 61122	   	187.40	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LEGI|28VULN|3TLV|4DMG|5RMIN|6RCR|7MDPS|9ASPD|aAART
154	25413 61122	   	187.40	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LEGI|28VULN|3DMG|4TLV|5RMIN|6RCR|7MDPS|9ASPD|aAART
155	41223 25321	   	187.40	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	19VULN|2DUST|3LWND|4DMG|5MDPS|6RCR|7ERES|8AART|aASPD
156	63111 25321	   	187.40	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1DUST|2MDPS|3LWND|49VULN|5DMG|6RCR|7ERES|8AART|aASPD
157	21215 26332	   	187.40	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1LEGI|2ERES|36AART|4DUR|5DUST|7DMG|8RCR|9VULN|aASPD
158	41433 25321	   	187.30	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	19VULN|2DUST|3DMG|4LEGI|5MDPS|6RCR|7ERES|8AART|aASPD
159	42463 13333	   	187.19	DCR|4VULN|1DMG|2DUR	169aVULN|2aLHND|3DMG|4DLOT|5MLV|7aDUR|8RCR|aBPWR
