0	Index      	 *	Score 	Summary	Detail	
1	21334 53324	 * 	217.84	ACR|4VULN|3DMG|3DUR|1CDMG	147DUR|2RCR|3479VULN|479BPWR|579DMG|6LEGI|8BELT|aCDMG
14	21334 53332	   	204.09	ACR|4VULN|3DMG|3DUR	147DUR|2RCR|347aVULN|47BPWR|579DMG|6LEGI|8BELT
15	11621 56113	 * 	203.23	DCR|2VULN|2DMG|1AART|2FLTHEA|2ZMB	1AART|28FLTHEA|3CGEN|48ZMB|58DMG|6RCR|7RMIN|8BPWR|9aVULN
16	11421 56113	   	203.13	DCR|2VULN|2DMG|1AART|2FLTHEA|2ZMB	1AART|28FLTHEA|3TLV|48ZMB|58DMG|6RCR|7RMIN|8BPWR|9aVULN
17	21334 53314	   	202.09	ACR|4VULN|2DMG|3DUR|1CDMG	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8BELT|aCDMG
18	11237 13132	 * 	202.00	DCR|2AART|2DMG|1VULN|2CDMG|2FLTHEA	19AART|2aFLTHEA|3MBVNT|4VULN|5DLOT|6RCR|7aCDMG|8aDMG|aBPWR
19	11236 42188	   	201.57	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9RCR|aDUR
20	21334 62522	 * 	201.38	ACR|3VULN|2DMG|2CDMG|2DUR|1ZMB	14DUR|2RCR|348VULN|4BPWR|57DMG|69CDMG|aZMB
21	21334 53623	 * 	201.26	ACR|5VULN|2DMG|3DUR	147DUR|2RCR|3478aVULN|47BPWR|57DMG|6LEGI|9RPLT
22	21336 11513	 * 	201.21	ACR|3VULN|1AART|1DMG|2CDMG|3DUR	147DUR|2RCR|349VULN|49BPWR|59CDMG|69LHND|8AART|aDMG
23	21336 31513	   	201.21	ACR|3VULN|1AART|1DMG|2CDMG|3DUR	147DUR|2RCR|349VULN|49BPWR|59CDMG|69LWND|8AART|aDMG
24	21336 41513	   	201.21	ACR|3VULN|1AART|1DMG|2CDMG|3DUR	147DUR|2RCR|349VULN|49BPWR|59CDMG|69FEWX|8AART|aDMG
25	21334 53612	   	201.16	ACR|5VULN|2DMG|3DUR	147DUR|2RCR|3478aVULN|47BPWR|57DMG|6LEGI|9DUST
26	11236 42184	 * 	200.94	DCR|2VULN|2DMG|1AART|3ASPD|2FLTHEA	1AART|28FLTHEA|3MBVNT|45VULN|68aASPD|78DMG|8BPWR|9RCR
27	21122 34634	 * 	200.93	ACR|3VULN|3DMG|2ZMB|2DUR	1aDUR|2RCR|39aDMG|4ERES|578VULN|6aZMB|aBPWR
28	11232 57362	   	200.41	DCR|2VULN|2DMG|1AART|2FLTHEA|2DUR	1AART|2aFLTHEA|3MBVNT|4aVULN|58DMG|6RCR|7BASHEA|9aDUR|aBPWR
29	13683 33744	 * 	199.88	DCR|3VULN|2AART|1DMG|1CDMG|1ZMB	19AART|2CDMG|3MBVNT|456VULN|7RCR|8ZMB|aDMG
30	11621 52613	   	199.81	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3CGEN|4ZMB|57DMG|6RCR|8ASPD|9aVULN
31	21312 12556	 * 	198.74	ACR|3DMG|2VULN|1AART|3DUR	16aDUR|2RCR|3aVULN|4DMSP|5RMIN|79aDMG|8AART|aBPWR
32	13442 31316	 * 	198.51	DCR|3DMG|1AART|3ZMB|3CDMG	1AART|29aCDMG|39aDMG|4DUST|5FEWX|6RMIN|7RCR|89aZMB|9aBPWR
33	11232 57462	   	198.48	DCR|3VULN|1AART|1DMG|2FLTHEA|2DUR	1AART|2aFLTHEA|3MBVNT|48aVULN|5DMG|6RCR|7BASHEA|9aDUR|aBPWR
34	21334 23651	   	198.24	ACR|3VULN|2DMG|1AART|3DUR	147DUR|2RCR|348VULN|47BPWR|57DMG|67FEWX|9AART|aLWND
35	21334 23653	   	198.24	ACR|3VULN|2DMG|1AART|3DUR	147DUR|2RCR|348VULN|47BPWR|57DMG|67FEWX|9AART|aMLV
36	21334 33351	   	198.24	ACR|3VULN|2DMG|1AART|3DUR	147DUR|2RCR|34aVULN|47BPWR|57DMG|67LWND|8BELT|9AART
37	21334 23652	   	198.14	ACR|3VULN|2DMG|1AART|3DUR	147DUR|2RCR|348VULN|47BPWR|57DMG|67FEWX|9AART|aERES
38	21334 53352	   	198.14	ACR|3VULN|2DMG|1AART|3DUR	147DUR|2RCR|347VULN|47BPWR|57DMG|6LEGI|8BELT|9AART|aLHND
39	21334 53353	   	198.14	ACR|3VULN|2DMG|1AART|3DUR	147DUR|2RCR|347VULN|47BPWR|57DMG|6LEGI|8BELT|9AART|aCGEN
40	11257 42183	   	197.73	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|4RCVC|5aVULN|68ASPD|78DMG|8BPWR|9RCR
41	21334 23634	   	197.64	ACR|3VULN|2DMG|1AART|3DUR	147DUR|2RCR|348VULN|47BPWR|57DMG|67FEWX|9LIT|aAART
42	11232 52553	   	197.42	DCR|3VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|48aVULN|59DMG|6RCR|7MLV
43	11232 53385	 * 	197.42	DCR|3DMG|2VULN|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|57aDMG|6RCR|8BELT
44	11232 51553	   	197.32	DCR|3VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3MBVNT|48aVULN|59DMG|6RCR|7TLV
45	21331 12554	   	197.22	ACR|3VULN|2DMG|1AART|2DUR	14DUR|2RCR|34aVULN|4BPWR|5ERES|6RCVC|79DMG|8AART
46	21116 41316	 * 	196.97	ACR|3DMG|3ZMB|1AART|3DUR|1SELL	19aDUR|2RCR|39aDMG|4SELL|5ASPD|6FEWX|7AART|89aZMB|9aBPWR
47	21334 53335	   	196.93	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|347VULN|47BPWR|579DMG|6LEGI|8BELT|aASPD
48	21116 21316	 * 	196.87	ACR|3DMG|3ZMB|1AART|3DUR|1SELL	19aDUR|2RCR|39aDMG|4SELL|5ASPD|6DUST|7AART|89aZMB|9aBPWR
49	11262 13542	 * 	196.63	DCR|3DMG|2VULN|1AART|2FLTHEA	1AART|2aFLTHEA|3MBVNT|45aDMG|6LHND|7CANHEL|8aVULN|9RCR|aBPWR
50	12446 23213	   	196.52	ACR|3VULN|2DMG|1AART|2DUR	1AART|2BEXP|3RCR|468VULN|59DUR|7aDMG
51	51325 33633	 * 	196.34	ACR|3DMG|2VULN|1AART|2ZMB	17LHND|2RCR|38VULN|479DMG|5RMIN|67ZMB|7BPWR|aAART
52	11232 53255	   	196.21	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA	1aAART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9DUR
53	11232 53525	   	196.21	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA	1aAART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8DUR|9CDMG
54	11232 53262	   	195.77	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9ZMB|aDUR
55	11232 55112	   	195.77	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7ZMB|8CDMG|aDUR
56	11232 52116	   	195.41	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|5aDMG|6RCR|7MLV|8CDMG
57	11232 53217	   	195.41	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|4aVULN|57DMG|6RCR|8CDMG|9CGEN
58	21334 53422	   	195.37	ACR|4VULN|2DMG|3DUR	147DUR|2RCR|3479VULN|47BPWR|57DMG|6LEGI|8LWND|aASPD
59	11232 51116	   	195.31	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|5aDMG|6RCR|7TLV|8CDMG
60	21334 62153	   	195.07	ACR|3DMG|2VULN|1CDMG|2DUR|1ZMB	14DUR|2RCR|34VULN|4BPWR|579DMG|6CDMG|8BEXP|aZMB
61	21333 26553	   	194.82	ACR|3VULN|2DMG|1AART|2DUR	14DUR|2RCR|347VULN|4BPWR|5DMSP|6BEXP|8AART|9aDMG
62	21333 16553	   	194.72	ACR|3VULN|2DMG|1AART|2DUR	14DUR|2RCR|347VULN|4BPWR|5DMSP|6DUST|8AART|9aDMG
63	11236 42181	   	194.63	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9RCR|aLIT
64	11236 42185	   	194.63	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9RCR|aBEXP
65	11236 42186	   	194.63	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9RCR|aLWND
66	11236 42182	   	194.53	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9RCR|aERES
67	11236 42187	   	194.53	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9RCR|aTLV
68	21334 62521	 * 	194.20	ACR|3VULN|2DMG|2CDMG|3DUR	14aDUR|2RCR|348VULN|4BPWR|57DMG|69CDMG
69	13683 33743	 * 	193.92	DCR|4VULN|2AART|1CDMG|1ZMB	19AART|2CDMG|3MBVNT|456aVULN|7RCR|8ZMB
70	21314 23633	   	193.72	ACR|3DMG|2VULN|1AART|2DUR	17DUR|2RCR|38VULN|4DMSP|579DMG|67FEWX|7BPWR|aAART
71	11236 42583	   	193.67	DCR|4VULN|1AART|1DMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|458aVULN|6ASPD|7DMG|9RCR
72	11124 52313	   	193.67	DCR|2AART|2VULN|1DMG|1FLTHEA|1ZMB	18AART|2FLTHEA|3RMIN|4ZMB|5ASPD|6RCR|7DMG|9aVULN
73	11232 53216	   	193.48	DCR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|4VULN|57aDMG|6RCR|8CDMG|9CGEN
74	11232 53286	   	193.48	DCR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|4VULN|57aDMG|6RCR|8CDMG|9MLV
75	11232 53246	   	193.38	DCR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|4VULN|57aDMG|6RCR|8CDMG|9NUKE
76	11262 62423	   	193.38	DCR|3DMG|1AART|1VULN|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|457DMG|6RCR|8NUKE|9VULN|aCDMG
77	11262 67313	 * 	193.21	DCR|2AART|2VULN|2DMG|1FLTHEA	18AART|2FLTHEA|3MBVNT|45DMG|6RCR|7RMIN|9aVULN
78	11262 64122	   	193.08	DCR|3DMG|1AART|1VULN|2FLTHEA	1AART|28FLTHEA|3MBVNT|458DMG|6RCR|78ERES|8BPWR|9VULN|aDUR
79	11121 52513	   	192.87	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3RMIN|4ZMB|57DMG|6RCR|8CGEN|9aVULN
80	11222 51476	   	192.77	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4FEWX|58DMG|6RCR|79VULN|aZMB
81	11232 55224	   	192.77	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5aDMG|6RCR|7ZMB|8LIT
82	11421 52513	   	192.77	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3TLV|4ZMB|57DMG|6RCR|8CGEN|9aVULN
83	11266 13423	   	192.75	DCR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|47DMG|5DUR|68VULN|9CDMG|aRCR
84	11232 53264	   	192.68	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9aZMB
85	11232 55114	   	192.68	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7aZMB|8CDMG
86	11232 57224	   	192.67	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4aVULN|59DMG|6RCR|7BASHEA|8ZMB
87	11232 57344	   	192.67	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4aVULN|58DMG|6RCR|7BASHEA|9ZMB
88	11232 57353	   	192.67	DCR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|58DMG|6RCR|7BASHEA|aZMB
89	11621 52363	 * 	192.58	DCR|3DMG|2AART|2FLTHEA|2ZMB	19AART|2aFLTHEA|3CGEN|4aZMB|57aDMG|6RCR|8LEGI|aBPWR
90	21336 22553	   	192.57	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	14DUR|2RCR|34VULN|4BPWR|5CDMG|6RMIN|7SELL|8AART|9aDMG
91	21332 62553	   	192.57	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1SELL	14DUR|2RCR|34VULN|4BPWR|5RMIN|6CDMG|7SELL|8AART|9aDMG
92	11421 52363	   	192.48	DCR|3DMG|2AART|2FLTHEA|2ZMB	19AART|2aFLTHEA|3TLV|4aZMB|57aDMG|6RCR|8LEGI|aBPWR
93	11236 42156	   	192.23	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9CGEN|aRCR
94	11236 42166	   	192.23	DCR|2VULN|2DMG|1AART|2FLTHEA|2ASPD	1AART|28FLTHEA|3MBVNT|45VULN|68ASPD|78DMG|8BPWR|9RMIN|aRCR
95	51316 63222	   	191.83	ACR|3VULN|2DMG|1AART	1LHND|2RCR|368VULN|4AART|5DUR|7aDMG|9BEXP
96	51316 63232	   	191.83	ACR|3VULN|2DMG|1AART	1LHND|2RCR|368VULN|4AART|5DUR|7aDMG|9FEWX
97	21334 62116	   	191.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|2RCR|34VULN|4BPWR|57DMG|6CDMG|8BEXP|9MLV|aAART
98	21334 33325	   	191.59	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|349VULN|479BPWR|579DMG|679LWND|8BELT|aRCVC
99	21334 63125	   	191.58	ACR|4VULN|1DMG|1CDMG|2DUR|1ZMB	14DUR|2RCR|349aVULN|4BPWR|5DMG|6CDMG|7ZMB|8RPLT
100	13683 33154	   	191.53	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3MBVNT|4569VULN|7RCR|8CGEN|aDMG
101	13683 33234	   	191.53	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3MBVNT|4568VULN|7RCR|9CGEN|aDMG
102	21334 62136	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|2RCR|34VULN|4BPWR|57DMG|6CDMG|8BEXP|9TLV|aAART
103	21336 51352	   	191.52	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DUR|2RCR|34VULN|4BPWR|5CDMG|6ERES|79DMG|8MLV|aAART
104	13683 33224	   	191.43	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3MBVNT|4568VULN|7RCR|9ERES|aDMG
105	13683 33354	   	191.43	DCR|4VULN|1AART|1DMG|1CDMG	1AART|2CDMG|3MBVNT|4569VULN|7RCR|8ERES|aDMG
106	21334 11254	   	191.35	ACR|3VULN|1AART|1DMG|3DUR|1ZMB	146DUR|2RCR|34aVULN|4BPWR|5DMG|7ZMB|8ERES|9AART
107	13131 23656	   	191.25	DCR|2DMG|1AART|3CDMG|2ASPD|2DUR|1ZMB	1AART|26aCDMG|3LWND|4aDMG|56ASPD|6aBPWR|7RCR|8ZMB|9aDUR
108	13683 33218	   	191.24	DCR|5VULN|1AART|1CDMG	1AART|2CDMG|3MBVNT|45689VULN|7RCR|aDUR
109	12446 23223	   	191.23	ACR|3VULN|2DMG|1AART	1AART|29BEXP|3RCR|468VULN|5DUR|7aDMG
110	11256 62113	   	191.18	DCR|2VULN|2DMG|1AART|2FLTHEA	1AART|28FLTHEA|3MBVNT|4RCVC|58TLV|6RCR|78DMG|8BPWR|9aVULN
111	11247 13246	   	191.03	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|4MLV|5RCR|67VULN|8CDMG|9aDMG
112	11247 16116	   	191.03	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	1AART|2FLTHEA|3MBVNT|4MLV|5RCR|69VULN|7aDMG|8CDMG
113	21334 62152	   	191.01	ACR|3DMG|2VULN|1CDMG|2DUR	14DUR|2RCR|34VULN|4BPWR|579DMG|6CDMG|8BEXP|aASPD
114	11232 53746	   	190.83	DCR|3DMG|1AART|1VULN|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|579DMG|6RCR|8LIT|aZMB
115	11232 55544	   	190.83	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|48aVULN|5DMG|6RCR|7ZMB|9BELT
116	11232 57274	   	190.73	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|49aVULN|5DMG|6RCR|7BASHEA|8ZMB
117	11232 57444	   	190.73	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|48aVULN|5DMG|6RCR|7BASHEA|9ZMB
118	11232 57453	   	190.73	DCR|3VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|489VULN|5DMG|6RCR|7BASHEA|aZMB
119	13683 33215	 * 	190.61	DCR|5VULN|1AART|2CDMG	1AART|2aCDMG|3MBVNT|45689VULN|7RCR
120	51316 63213	   	190.53	ACR|3VULN|1AART|1DMG|2DUR|1ZMB	1LHND|2RCR|368VULN|4AART|59DUR|7DMG|aZMB
121	21334 62523	   	190.38	ACR|3VULN|2DMG|2CDMG|2DUR	14DUR|2RCR|348VULN|4BPWR|57DMG|69CDMG|aCGEN
122	21334 33322	   	190.29	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|349VULN|479BPWR|579DMG|679LWND|8BELT|aBEXP
123	21334 33323	   	190.29	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|349VULN|479BPWR|579DMG|679LWND|8BELT|aLHND
124	21334 33324	   	190.29	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|349VULN|479BPWR|579DMG|679LWND|8BELT|aMGNLIT
125	21334 33321	   	190.19	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|349VULN|479BPWR|579DMG|679LWND|8BELT|aERES
126	21334 33332	   	190.09	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|34aVULN|47BPWR|579DMG|67LWND|8BELT
127	11232 53251	   	190.06	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2DUR	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9aDUR
128	11232 53521	   	190.06	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|2DUR	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8aDUR|9CDMG
129	11266 51141	   	190.06	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|2DUR	1AART|2FLTHEA|3MBVNT|4DMG|5aDUR|6RCR|79VULN|8CDMG
130	21334 53331	   	189.99	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|347VULN|47BPWR|579DMG|6LEGI|8BELT|aRMIN
131	21334 53333	   	189.99	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|347VULN|47BPWR|579DMG|6LEGI|8BELT|aCGEN
132	21334 53336	   	189.99	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|347VULN|47BPWR|579DMG|6LEGI|8BELT|aFEWX
133	11212 53817	   	189.96	DCR|3DMG|2AART|2FLTHEA|2DUR	19AART|2aFLTHEA|3MBVNT|4BEXP|58aDMG|6RCR|7aDUR|aBPWR
134	21334 53113	   	189.89	ACR|3VULN|3DMG|3DUR	147DUR|2RCR|347VULN|47BPWR|57aDMG|6LEGI|8TLV|9BEXP
135	21334 53513	   	189.89	ACR|3DMG|3VULN|3DUR	147DUR|2RCR|347VULN|47BPWR|57aDMG|6LEGI|8ERES|9BEXP
136	36313 33263	   	189.83	DCR|4VULN|1AART|1DMG|1CDMG	13RPLT|2568VULN|4AART|7RCR|9CDMG|aDMG
137	21341 63632	 * 	189.80	ACR|4VULN|1DMG|2CDMG|2DUR	17DUR|2RCR|378aVULN|47CDMG|5RCVC|6RPLT|7BPWR|9DMG
138	13431 41243	   	189.52	DCR|2VULN|2DMG|1AART|2ZMB|1CDMG	1AART|2CDMG|3aDMG|4TLV|5LSRREG|6aZMB|7MLV|8aVULN|9RCR|aBPWR
139	51513 32326	 * 	189.30	ACR|2VULN|2DMG|1AART|2CDMG	1aLHND|2RCR|38CDMG|4AART|5aVULN|6TLV|7LIT|9aDMG|aBPWR
140	11212 51145	   	189.27	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA	1aAART|2FLTHEA|3MBVNT|4BEXP|5DMG|6RCR|79VULN|8CDMG
141	11222 51145	   	189.27	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA	1aAART|2FLTHEA|3MBVNT|4FEWX|5DMG|6RCR|79VULN|8CDMG
142	11232 53235	   	189.27	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA	1aAART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9LWND
143	11261 51145	   	189.27	DCR|2AART|2VULN|1DMG|1CDMG|1FLTHEA	1aAART|2FLTHEA|3MBVNT|4DMG|5LHND|6RCR|79VULN|8CDMG
144	11232 53225	   	189.17	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA	1aAART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9DUST
145	11237 13136	   	189.17	DCR|2AART|2DMG|1VULN|1CDMG|1FLTHEA	19AART|2FLTHEA|3MBVNT|4VULN|5DLOT|6RCR|7CDMG|8aDMG
146	11124 52243	   	189.16	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1AART|2FLTHEA|3RMIN|4ZMB|5ASPD|6RCR|79DMG|8DUR|aVULN
147	21122 34234	 * 	189.09	ACR|3DMG|2VULN|3DUR|2ZMB	18aDUR|2RCR|39aDMG|4ERES|57VULN|6aZMB|aBPWR
148	11232 55533	   	189.06	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|48VULN|5DMG|6RCR|7ZMB|9ASPD|aDUR
149	11121 53543	   	188.93	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3RMIN|4ZMB|59DMG|6RCR|7CDMG|8RPLT|aVULN
150	11232 52114	   	188.83	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7MLV|8CDMG|aZMB
151	11232 53214	   	188.83	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9CGEN|aZMB
152	11232 53261	   	188.83	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9ZMB|aLHND
153	11232 53265	   	188.83	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9ZMB|aFEWX
154	11232 53284	   	188.83	DCR|2DMG|1AART|1VULN|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|57DMG|6RCR|8CDMG|9MLV|aZMB
155	11232 55111	   	188.83	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7ZMB|8CDMG|aLHND
156	11232 55115	   	188.83	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1AART|2FLTHEA|3MBVNT|49VULN|5DMG|6RCR|7ZMB|8CDMG|aFEWX
157	11232 55633	   	188.83	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ZMB	1AART|2FLTHEA|3MBVNT|4VULN|5aDMG|6RCR|7ZMB|8LWND|9CDMG
158	11161 52513	   	188.80	DCR|2VULN|2DMG|1AART|1FLTHEA	1AART|2FLTHEA|3RMIN|4ASPD|57DMG|6RCR|8CGEN|9aVULN
