0	Index      	 *	Score 	Summary	Detail	
1	11262 34861	 * 	197.33	ACR|3VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|26aVULN|3aERES|4RCR|5AART|7DUR|8ZMB|9aDMG|aBPWR
16	66262 31311	   	187.32	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1aDUR|2ZMB|37aVULN|4LHND|5AART|6RCR|8DMG|9aMLV|aBPWR
17	65231 13152	 * 	186.86	ACR|3VULN|1DMG|2CDMG|3DUR|2ZMB	139DUR|239VULN|39BPWR|4RCR|58ZMB|6LIT|79CDMG|aDMG
18	17413 18317	   	186.83	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|2aBASHEA|3RCR|46aVULN|5DUR|7TLV|8AART|9aDMG|aBPWR
19	36252 43112	   	186.72	DCR|4VULN|3ZMB|1DMG|1CDMG	1BEXP|246ZMB|3568VULN|6BPWR|7CDMG|9RCR|aDMG
20	17414 34372	   	186.62	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67DMG|8CDMG|aASPD
21	11328 21418	   	186.42	ACR|3VULN|2DMG|1AART|2DUR	1MBVNT|279VULN|3LWND|49DUR|5RCR|69DMG|8RPLT|9BPWR|aAART
22	11528 21418	   	186.42	ACR|3VULN|2DMG|1AART|2DUR	1MBVNT|279VULN|3LHND|49DUR|5RCR|69DMG|8RPLT|9BPWR|aAART
23	63318 21418	   	186.42	ACR|3VULN|2DMG|1AART|2DUR	19DUR|2MBVNT|3LWND|479VULN|5RCR|69DMG|8RPLT|9BPWR|aAART
24	11642 54217	 * 	186.11	DCR|3VULN|2DMG|1AART|1DUR	1MBVNT|28aVULN|3aMLV|4DUR|5AART|6MGNLIT|7RCR|9aDMG|aBPWR
25	17415 14372	   	186.02	ACR|2VULN|2DMG|1AART|1CDMG|1ASPD	1MBVNT|2BASHEA|3RCR|49VULN|57DMG|6AART|8CDMG|aASPD
26	65232 43341	 * 	186.01	ACR|5VULN|3DUR|2ASPD|1CDMG	136DUR|23569VULN|369BPWR|4RCR|79ASPD|8MBVNT|aCDMG
27	36252 43213	 * 	185.99	DCR|5VULN|3ZMB|2CDMG	18BEXP|246ZMB|3568aVULN|68BPWR|78CDMG|9RCR
28	17412 23428	 * 	185.44	ACR|4VULN|3DMG	1MBVNT|29aBASHEA|3RCR|459aVULN|6LIT|7MLV|89aDMG|9aBPWR
29	17412 24428	   	185.44	ACR|4VULN|3DMG	1MBVNT|29aBASHEA|3RCR|459aVULN|6LIT|7CGEN|89aDMG|9aBPWR
30	17412 83428	   	185.44	ACR|4VULN|3DMG	1MBVNT|29aBASHEA|3RCR|459aVULN|6CGEN|7LIT|89aDMG|9aBPWR
31	17412 33428	   	185.34	ACR|4VULN|3DMG	1MBVNT|29aBASHEA|3RCR|459aVULN|6ERES|7LIT|89aDMG|9aBPWR
32	65232 51233	 * 	185.33	ACR|4VULN|1AART|1DMG|2DUR	13DUR|2359VULN|3BPWR|4RCR|6DMG|78LWND|aAART
33	26242 32321	 * 	185.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	17LHND|2ZMB|37VULN|47DUR|5AART|6RCR|7BPWR|8DMG|9LIT|aCDMG
34	66262 32321	   	185.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	17DUR|2ZMB|37VULN|47LHND|5AART|6RCR|7BPWR|8DMG|9LIT|aCDMG
35	11441 21847	   	184.90	DCR|4VULN|3ZMB|3ASPD|1DUR	1MBVNT|2489VULN|34BEXP|489BPWR|589ZMB|689ASPD|7RCR|aDUR
36	17414 63372	   	184.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|26BASHEA|3RCR|469VULN|5AART|6BPWR|7ASPD|8CDMG|aDMG
37	17414 33372	   	184.69	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6DMG|8CDMG|aASPD
38	11262 34382	   	184.22	ACR|2VULN|2DMG|1AART|1CDMG|1DUR	1MBVNT|26VULN|3ERES|4RCR|5AART|7DUR|89DMG|aCDMG
39	11262 33823	   	184.15	ACR|3VULN|2AART|1DMG|1ZMB	1MBVNT|267VULN|3ERES|4RCR|5aAART|8ZMB|9DMG
40	17415 13372	   	184.09	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1MBVNT|2BASHEA|3RCR|479VULN|5DMG|6AART|8CDMG|aASPD
41	11456 31212	 * 	183.61	DCR|3DMG|2VULN|2ZMB|1CDMG|1ASPD	1MBVNT|28VULN|3BEXP|48ZMB|5CDMG|6ASPD|78aDMG|8BPWR|9RCR
42	11456 31214	 * 	183.61	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD	1MBVNT|28aVULN|3BEXP|48ZMB|5CDMG|6ASPD|78DMG|8BPWR|9RCR
43	11262 34351	 * 	183.59	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1MBVNT|26aVULN|3aERES|4RCR|5AART|7DUR|8DMG|9aZMB|aBPWR
44	11156 31212	   	183.51	DCR|3DMG|2VULN|2ZMB|1CDMG|1ASPD	1MBVNT|28VULN|3DUST|48ZMB|5CDMG|6ASPD|78aDMG|8BPWR|9RCR
45	11156 31214	   	183.51	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD	1MBVNT|28aVULN|3DUST|48ZMB|5CDMG|6ASPD|78DMG|8BPWR|9RCR
46	26242 32324	 * 	183.11	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	17LHND|2ZMB|37VULN|47DUR|5aAART|6RCR|7BPWR|8DMG|9LIT
47	55222 52233	 * 	182.51	DCR|4VULN|1AART|1DMG|2DUR	13LWND|2359VULN|3BPWR|47DUR|6DMG|8RCR|aAART
48	65312 52233	   	182.41	DCR|4VULN|1AART|1DMG|2DUR	17DUR|2459VULN|3LWND|6DMG|8RCR|aAART
49	11262 34322	   	182.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|269VULN|3ERES|4RCR|5AART|7DUR|8DMG|aCDMG
50	11262 34562	   	182.29	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|268VULN|3ERES|4RCR|5AART|7DUR|9DMG|aCDMG
51	65231 53321	 * 	182.13	ACR|3VULN|1AART|2CDMG|2DUR|1ZMB	13DUR|237VULN|3BPWR|4RCR|5ZMB|69CDMG|8RCVC|aAART
52	11442 64632	 * 	182.08	DCR|4VULN|2DMG|2CDMG|1SELL	1MBVNT|245aVULN|34BEXP|4aBPWR|6aDMG|7aCDMG|8SELL|9RCR
53	26242 31311	   	182.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1aLHND|2ZMB|37aVULN|4DUR|5AART|6RCR|8DMG|9aMLV|aBPWR
54	26242 31361	   	182.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1aLHND|2ZMB|37aVULN|4DUR|5AART|6RCR|8DMG|9aCGEN|aBPWR
55	11312 64632	 * 	181.98	DCR|4VULN|2DMG|2CDMG|1SELL	1MBVNT|245aVULN|3LWND|6aDMG|7aCDMG|8SELL|9RCR|aBPWR
56	11412 64632	 * 	181.98	DCR|4VULN|2DMG|2CDMG|1SELL	1MBVNT|245aVULN|3BEXP|6aDMG|7aCDMG|8SELL|9RCR|aBPWR
57	11512 64632	 * 	181.98	DCR|4VULN|2DMG|2CDMG|1SELL	1MBVNT|245aVULN|3LHND|6aDMG|7aCDMG|8SELL|9RCR|aBPWR
58	17414 34278	 * 	181.89	ACR|3DMG|2VULN|1AART	1MBVNT|29aBASHEA|3RCR|4aVULN|5AART|679DMG|89aMLV|9aBPWR
59	17414 33278	   	181.79	ACR|3DMG|2VULN|1AART	1MBVNT|29BASHEA|3RCR|47VULN|5AART|69aDMG|89MLV|9BPWR
60	17414 33268	   	181.69	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6aDMG|8MLV
61	17414 33515	   	181.69	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|47aVULN|5AART|69DMG|8BEXP
62	17414 33715	   	181.69	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|47aVULN|5AART|69DMG|8FEWX
63	17414 33814	   	181.69	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|47aVULN|5AART|69DMG|8LHND
64	17414 34268	   	181.69	ACR|3DMG|2VULN|1AART	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67aDMG|8MLV
65	17414 35215	   	181.69	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|48aVULN|5AART|69DMG|7BEXP
66	17414 38215	   	181.69	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|48aVULN|5AART|69DMG|7FEWX
67	11262 34357	   	181.57	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1MBVNT|26VULN|3ERES|4RCR|5AART|7DUR|8aDMG|9ZMB
68	11456 74442	 * 	181.51	DCR|4VULN|3ZMB|3CDMG	1MBVNT|279aVULN|3BEXP|49aZMB|59aCDMG|6NUKE|8RCR|9aBPWR
69	17457 13211	   	181.44	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1MBVNT|2BASHEA|3RCR|4ZMB|5DUR|6AART|78aVULN|9DMG
70	65231 51311	   	181.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	13DUR|23VULN|3BPWR|4RCR|5ZMB|6CDMG|7LWND|8AART|9ERES|aDMG
71	17465 13241	   	181.19	ACR|3VULN|2DMG|1AART	1MBVNT|2aBASHEA|3RCR|4FEWX|5aDMG|6AART|78aVULN|9RPLT|aBPWR
72	12818 21418	   	181.13	ACR|3VULN|2DMG|1AART|1DUR	1MBVNT|29LHND|3DUR|479VULN|5RCR|69DMG|8RPLT|9BPWR|aAART
73	23818 21418	   	181.13	ACR|3VULN|2DMG|1AART|1DUR	19LHND|2MBVNT|3DUR|479VULN|5RCR|69DMG|8RPLT|9BPWR|aAART
74	17415 13814	   	181.09	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|47aVULN|59DMG|6AART|8LHND
75	17445 13215	   	181.09	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|4BEXP|59DMG|6AART|78aVULN
76	17482 13214	   	181.09	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|49DMG|5LHND|6AART|78aVULN
77	65232 52312	   	181.00	ACR|4VULN|1DMG|3DUR|2ZMB	13aDUR|235aVULN|3aBPWR|4RCR|6DMG|79FEWX|8aZMB
78	11646 31212	   	180.99	DCR|3DMG|2VULN|1CDMG|2DUR|1ASPD	1MBVNT|28VULN|3MLV|48DUR|5CDMG|6ASPD|78aDMG|8BPWR|9RCR
79	11646 31214	   	180.99	DCR|3VULN|2DMG|1CDMG|2DUR|1ASPD	1MBVNT|28aVULN|3MLV|48DUR|5CDMG|6ASPD|78DMG|8BPWR|9RCR
80	11111 21848	 * 	180.95	DCR|3VULN|3ZMB|1AART|2ASPD	1MBVNT|248VULN|3DUST|58aZMB|68ASPD|7RCR|8BPWR|9AART
81	11246 31212	   	180.89	DCR|3DMG|2VULN|1CDMG|2DUR|1ASPD	1MBVNT|28VULN|3ERES|48DUR|5CDMG|6ASPD|78aDMG|8BPWR|9RCR
82	11246 31214	   	180.89	DCR|3VULN|2DMG|1CDMG|2DUR|1ASPD	1MBVNT|28aVULN|3ERES|48DUR|5CDMG|6ASPD|78DMG|8BPWR|9RCR
83	17414 23177	 * 	180.74	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1MBVNT|27BASHEA|3RCR|47VULN|5AART|67DUR|7BPWR|89CDMG|aDMG
84	63256 31322	   	180.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3ERES|4AART|5RCR|679VULN|8DMG|aCDMG
85	41363 41121	 * 	180.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1SNIHEL|2aFEWX|3AART|4CDMG|5DUR|6aVULN|7DUST|8aDMG|9RCR|aBPWR
86	11262 33862	 * 	180.39	ACR|4VULN|1AART|1CDMG|1ZMB	1MBVNT|2679VULN|3ERES|4RCR|5AART|8ZMB|aCDMG
87	65231 53311	 * 	180.24	ACR|3VULN|1AART|3DUR|1CDMG|1ZMB	13aDUR|237VULN|3BPWR|4RCR|5ZMB|6CDMG|8RCVC|9AART
88	17414 21218	   	179.91	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1MBVNT|2BASHEA|3RCR|48VULN|5AART|6DUR|7ASPD|9aDMG
89	26242 31321	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2ZMB|37VULN|4DUR|5AART|6RCR|8DMG|9LIT|aCDMG
90	66262 31321	   	179.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ZMB|37VULN|4LHND|5AART|6RCR|8DMG|9LIT|aCDMG
91	14438 73212	   	179.76	DCR|3DMG|2VULN|1CDMG|1ZMB|1DUR	1MBVNT|28CGEN|3CDMG|48aDMG|5DUR|6ZMB|78VULN|8BPWR|9RCR
92	65232 51232	   	179.72	ACR|4VULN|2DMG|2DUR	13DUR|2359VULN|3BPWR|4RCR|6aDMG|78LWND
93	17414 33357	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|47VULN|5AART|6aDMG|8CDMG|9CGEN
94	17414 33364	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|47VULN|5AART|6aDMG|8CDMG|9LWND
95	17414 34123	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67DMG|8LIT|aCDMG
96	17414 34371	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67DMG|8CDMG|aLIT
97	17414 34373	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67DMG|8CDMG|aBEXP
98	17414 34378	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67DMG|8CDMG|aRMIN
99	17414 34387	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|4aVULN|5AART|67DMG|8CDMG|9BELT
100	17488 24123	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|47DMG|5AART|69VULN|8LIT|aCDMG
101	17488 44123	   	179.68	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|46DMG|5AART|79VULN|8LIT|aCDMG
102	17414 33347	   	179.58	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|47VULN|5AART|6aDMG|8CDMG|9ERES
103	17414 34317	   	179.58	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|4aVULN|5AART|67DMG|8CDMG|9DUST
104	17414 34375	   	179.58	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67DMG|8CDMG|aLEGI
105	17414 34376	   	179.58	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|5AART|67DMG|8CDMG|aDUST
106	11262 35281	   	179.49	ACR|3VULN|2DMG|1AART	1MBVNT|26aVULN|3ERES|4RCR|5AART|7RMIN|8aDMG|9aLHND|aBPWR
107	11662 35231	   	179.49	ACR|3VULN|2DMG|1AART	1MBVNT|26aVULN|3aMLV|4RCR|5AART|7RMIN|8aDMG|9LEGI|aBPWR
108	36252 43113	   	179.48	DCR|5VULN|3ZMB|1CDMG	1BEXP|246ZMB|3568aVULN|6BPWR|7CDMG|9RCR
109	11662 35211	   	179.39	ACR|3VULN|2DMG|1AART	1MBVNT|26aVULN|3MLV|4RCR|5AART|7RMIN|8aDMG|9aDUST|aBPWR
110	11262 35211	   	179.29	ACR|3VULN|2DMG|1AART	1MBVNT|26aVULN|3ERES|4RCR|5AART|7RMIN|8aDMG|9aDUST|aBPWR
111	11262 35231	   	179.29	ACR|3VULN|2DMG|1AART	1MBVNT|26aVULN|3aERES|4RCR|5AART|7RMIN|8aDMG|9LEGI|aBPWR
112	17415 13364	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|47VULN|5aDMG|6AART|8CDMG|9LWND
113	17415 14123	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|57DMG|6AART|8LIT|aCDMG
114	17415 14371	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|57DMG|6AART|8CDMG|aLIT
115	17415 14373	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|49VULN|57DMG|6AART|8CDMG|aBEXP
116	17415 13347	   	178.98	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|47VULN|5aDMG|6AART|8CDMG|9ERES
117	17415 14317	   	178.98	ACR|2VULN|2DMG|1AART|1CDMG	1MBVNT|2BASHEA|3RCR|4aVULN|57DMG|6AART|8CDMG|9DUST
118	11528 24415	   	178.87	ACR|3VULN|3DMG|2DUR	1MBVNT|29aVULN|3LHND|49DUR|5RCR|679DMG|8RPLT|9BPWR
119	65232 43342	 * 	178.68	ACR|5VULN|3ASPD|3DUR	136DUR|23569VULN|369BPWR|4RCR|79aASPD|8MBVNT
120	26242 32323	   	178.60	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	17LHND|2ZMB|37VULN|47DUR|5AART|6RCR|7BPWR|8DMG|9LIT|aASPD
121	66262 32323	   	178.60	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	17DUR|2ZMB|37VULN|47LHND|5AART|6RCR|7BPWR|8DMG|9LIT|aASPD
122	17412 54174	   	178.59	ACR|3VULN|2DMG|1AART	1MBVNT|2BASHEA|3RCR|456VULN|79DMG|8VENICY|aAART
123	11366 45321	 * 	178.54	DCR|3VULN|1AART|1DMG|2CDMG	1MBVNT|257VULN|37LWND|47CDMG|6AART|7BPWR|8RCR|9FEWX|aDMG
124	11366 45331	   	178.54	DCR|3VULN|1AART|1DMG|2CDMG	1MBVNT|257VULN|37LWND|47CDMG|6AART|7BPWR|8RCR|9BEXP|aDMG
125	65231 52221	 * 	178.43	ACR|2VULN|2DMG|3DUR|1CDMG|1ZMB	137DUR|23VULN|3BPWR|4RCR|5ZMB|6CDMG|8aDMG|9RPLT
126	17414 62744	 * 	178.27	ACR|3VULN|1AART|1CDMG|1FLTHEA|1ASPD	1MBVNT|26BASHEA|3RCR|469VULN|5AART|6BPWR|7FLTHEA|8ASPD|aCDMG
127	17414 33617	   	178.27	ACR|2VULN|2DMG|1AART|2DUR	1MBVNT|2BASHEA|3RCR|47VULN|5AART|69DMG|8aDUR
128	17414 21211	   	177.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1MBVNT|2BASHEA|3RCR|48aVULN|5AART|6DUR|7ASPD|9DMG
129	17414 63611	   	177.98	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1MBVNT|26BASHEA|3RCR|46aVULN|5AART|6BPWR|7ASPD|8DUR|9DMG
130	11441 21841	   	177.97	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|34BEXP|489BPWR|589ZMB|689ASPD|7RCR|aRCVC
131	11441 21842	   	177.97	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|34BEXP|489BPWR|589ZMB|689ASPD|7RCR|aFEWX
132	11441 21843	   	177.97	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|34BEXP|489BPWR|589ZMB|689ASPD|7RCR|aLWND
133	11312 67215	 * 	177.92	DCR|4VULN|3DMG	1MBVNT|2458VULN|38LWND|68aDMG|7RPLT|8BPWR|9RCR
134	11412 67212	   	177.92	DCR|4VULN|3DMG	1MBVNT|2458VULN|38BEXP|68aDMG|7RPLT|8BPWR|9RCR
135	11512 67212	   	177.92	DCR|4VULN|3DMG	1MBVNT|2458VULN|38LHND|68aDMG|7RPLT|8BPWR|9RCR
136	11411 21843	   	177.87	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|3BEXP|589ZMB|689ASPD|7RCR|89BPWR|aCGEN
137	11411 21847	   	177.87	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|3BEXP|589ZMB|689ASPD|7RCR|89BPWR|aFEWX
138	11411 21872	   	177.87	DCR|4VULN|3ZMB|3ASPD	1MBVNT|248aVULN|39BEXP|58aZMB|68aASPD|7RCR|8aBPWR
139	11441 21846	   	177.87	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|34BEXP|489BPWR|589ZMB|689ASPD|7RCR|aERES
140	13651 35241	 * 	177.86	DCR|2AART|2VULN|2DMG	1MBVNT|2aBEXP|3TLV|45AART|6RCR|7RMIN|8aDMG|9aVULN|aBPWR
141	33651 35241	   	177.86	DCR|2AART|2VULN|2DMG	1aBEXP|2MBVNT|3TLV|45AART|6RCR|7RMIN|8aDMG|9aVULN|aBPWR
142	11411 21842	   	177.77	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|3BEXP|589ZMB|689ASPD|7RCR|89BPWR|aCANSTR
143	11411 21844	   	177.77	DCR|4VULN|3ZMB|3ASPD	1MBVNT|2489VULN|3BEXP|589ZMB|689ASPD|7RCR|89BPWR|aDUST
144	62223 13316	 * 	177.76	DCR|2VULN|2DMG|1AART|3DUR	16aDUR|2CGEN|3aVULN|4CANSTR|5BEXP|7RCR|8AART|9aDMG|aBPWR
145	17414 33123	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6DMG|8LIT|aCDMG
146	17414 33371	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6DMG|8CDMG|aLIT
147	17414 33373	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6DMG|8CDMG|aBEXP
148	17414 33378	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6DMG|8CDMG|aRMIN
149	17414 33387	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|47aVULN|5AART|6DMG|8CDMG|9BELT
150	17414 34357	 * 	177.75	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|2BASHEA|3RCR|4VULN|5AART|67aDMG|8CDMG|9CGEN
151	17414 34364	   	177.75	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|2BASHEA|3RCR|4VULN|5AART|67aDMG|8CDMG|9LWND
152	17488 23123	   	177.75	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|4DMG|5AART|679VULN|8LIT|aCDMG
153	11112 67212	   	177.72	DCR|4VULN|3DMG	1MBVNT|2458VULN|38DUST|68aDMG|7RPLT|8BPWR|9RCR
154	17414 33317	   	177.65	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|47aVULN|5AART|6DMG|8CDMG|9DUST
155	17414 33375	   	177.65	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6DMG|8CDMG|aLEGI
156	17414 33376	   	177.65	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5AART|6DMG|8CDMG|aDUST
157	17414 34347	   	177.65	ACR|3DMG|1AART|1VULN|1CDMG	1MBVNT|2BASHEA|3RCR|4VULN|5AART|67aDMG|8CDMG|9ERES
158	11262 34871	   	177.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|26VULN|3ERES|4RCR|5AART|7DUR|8ZMB|9CDMG|aDMG
159	17415 38213	   	177.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1MBVNT|2BASHEA|3RCR|48VULN|5DMG|6ZMB|7CDMG|9AART|aDUR
160	11411 21841	   	177.62	DCR|4VULN|3ZMB|3ASPD|1SELL	1MBVNT|2489VULN|3BEXP|589ZMB|689ASPD|7RCR|89BPWR|aSELL
161	26242 31324	   	177.62	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|2ZMB|37VULN|4DUR|5aAART|6RCR|8DMG|9LIT
162	17415 13123	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5DMG|6AART|8LIT|aCDMG
163	17415 13371	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	1MBVNT|2BASHEA|3RCR|479VULN|5DMG|6AART|8CDMG|aLIT
