0	Index      	 *	Score 	Summary	Detail	
1	22321 16426	 * 	234.78	DCR|3VULN|1SPLARM|1AART|1ASPD|1DMG	1BEXP|24LIT|348VULN|4BPWR|5DMG|6RCR|7AART|9SPLARM|aASPD
16	15142 53121	 * 	210.70	DCR|3DMG|2VULN|1AART|2DUR	1RCVC|269DMG|39DUR|4AART|5DUST|7MULFIG|89VULN|9BPWR|aRCR
17	14221 13363	 * 	210.25	DCR|4VULN|3CDMG|1AART	1RCVC|28aCDMG|3LIT|48aERES|578aVULN|6AART|8aBPWR|9RCR
18	31337 35312	 * 	209.88	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1MLV|2ZMB|35AART|4MBVNT|6RCR|7ASPD|8VULN|9DMG|aCDMG
19	31311 55521	   	209.39	DCR|3VULN|2DMG|1AART|1ZMB	1MLV|2ZMB|3AART|46DMG|579VULN|8RCR|aLHND
20	31311 55522	   	209.39	DCR|3VULN|2DMG|1AART|1ZMB	1MLV|2ZMB|3AART|46DMG|579VULN|8RCR|aFEWX
21	31311 55523	   	209.39	DCR|3VULN|2DMG|1AART|1ZMB	1MLV|2ZMB|3AART|46DMG|579VULN|8RCR|aLIT
22	31311 55532	   	209.39	DCR|3VULN|2DMG|1AART|1ZMB	1MLV|2ZMB|3AART|46DMG|57aVULN|8RCR|9RPLT
23	31366 21126	   	207.80	DCR|2VULN|2AART|1DMG|2SPLREG|1ZMB	19MLV|2ZMB|35AART|49SPLREG|6RCR|7RMIN|89VULN|9BPWR|aDMG
24	31311 65521	   	207.75	DCR|4VULN|1AART|1DMG|1ZMB	16MLV|2ZMB|3AART|4DMG|5679VULN|6BPWR|8RCR|aLHND
25	31311 65522	   	207.75	DCR|4VULN|1AART|1DMG|1ZMB	16MLV|2ZMB|3AART|4DMG|5679VULN|6BPWR|8RCR|aFEWX
26	31311 65523	   	207.75	DCR|4VULN|1AART|1DMG|1ZMB	16MLV|2ZMB|3AART|4DMG|5679VULN|6BPWR|8RCR|aLIT
27	31311 65532	   	207.75	DCR|4VULN|1AART|1DMG|1ZMB	16MLV|2ZMB|3AART|4DMG|567aVULN|6BPWR|8RCR|9RPLT
28	11132 41615	 * 	206.89	DCR|2VULN|2DMG|1AART|3DUR	14RCVC|239DUR|5ERES|69DMG|79VULN|8RCR|9BPWR|aAART
29	31212 53613	   	206.22	DCR|3VULN|2ASPD|1AART|1ZMB	139MLV|2ZMB|459VULN|6RMIN|79ASPD|8RCR|9BPWR|aAART
30	14431 33532	 * 	206.09	DCR|2VULN|2ASPD|2CDMG|1DMG|1AAC	1RCVC|29CDMG|39ASPD|4AAC|5LWND|6RCR|7CGEN|89VULN|9BPWR|aDMG
31	22321 16512	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1aBEXP|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD
32	22321 16513	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD|aBELT
33	22321 16551	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|249LIT|34aVULN|4BPWR|5DMG|6RCR|7AART|8ASPD
34	52321 15212	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|24LIT|349VULN|4BPWR|5DMG|6RCR|7ASPD|8AART|aBEXP
35	52321 15213	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|24aLIT|349VULN|4BPWR|5DMG|6RCR|7ASPD|8AART
36	52321 15251	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|249LIT|34aVULN|4BPWR|5DMG|6RCR|7ASPD|8AART
37	52321 16512	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD|aBEXP
38	52321 16513	   	205.63	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|24aLIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD
39	22321 16256	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8BASARM|aASPD
40	22321 16511	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1BEXP|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD|aMSE
41	22321 16516	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1BEXP|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD|aAIRARM
42	52321 15211	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1FEWX|24LIT|349VULN|4BPWR|5DMG|6RCR|7ASPD|8AART|aMSE
43	52321 15216	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG	1FEWX|24LIT|349VULN|4BPWR|5DMG|6RCR|7ASPD|8AART|aAIRARM
44	52321 16511	   	205.53	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1FEWX|24LIT|349VULN|4BPWR|5DMG|6RCR|7AART|8ASPD|aMSE
45	34313 21126	 * 	205.29	DCR|2VULN|2DMG|1AART|1NUKE	19MLV|24DMG|3AART|59MSLFST|6RCR|7RMIN|89VULN|9BPWR|aNUKE
46	34313 21136	   	205.19	DCR|2VULN|2DMG|1AART|1NUKE	1MLV|24DMG|3AART|5MSLFST|6RCR|7RMIN|89VULN|aNUKE
47	34313 22136	   	205.19	DCR|2VULN|2DMG|1AART|1NUKE	1MLV|24DMG|3AART|5MSLFST|6RCR|7CGEN|89VULN|aNUKE
48	15311 31532	 * 	205.14	DCR|3DMG|2VULN|2CDMG	1RCVC|29aDMG|3MLV|49VULN|5CGEN|6RCR|7LWND|89CDMG|9BPWR
49	15311 32532	   	205.14	DCR|3DMG|2VULN|2CDMG	1RCVC|29aDMG|3MLV|49VULN|5CGEN|6RCR|7FEWX|89CDMG|9BPWR
50	34313 23136	   	205.09	DCR|2VULN|2DMG|1AART|1NUKE	1MLV|24DMG|3AART|5MSLFST|6RCR|7TLV|89VULN|aNUKE
51	34313 25136	   	205.09	DCR|2VULN|2DMG|1AART|1NUKE	1MLV|24DMG|3AART|5MSLFST|6RCR|7ERES|89VULN|aNUKE
52	15311 35532	   	205.04	DCR|3DMG|2VULN|2CDMG	1RCVC|29aDMG|3MLV|49VULN|5CGEN|6RCR|7DUST|89CDMG|9BPWR
53	22321 16525	   	204.80	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|24LIT|34VULN|4BPWR|5DMG|6RCR|7AART|8ASPD|9RCVC|aCDMG
54	52321 15225	   	204.80	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|24LIT|34VULN|4BPWR|5DMG|6RCR|7ASPD|8AART|9RCVC|aCDMG
