0	Index      	 *	Score 	Summary	Detail	
1	32332 32841	 * 	227.69	DCR|4VULN|3DMG|3DUR	189aVULN|2CGEN|38aDMG|4RPLT|58aDUR|6MBVNT|7RCR|8aBPWR
65	36233 21326	   	201.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	134VULN|24BASARM|4BPWR|5AAC|6RCR|7AART|8AELBLL|9ASPD|aCDMG
66	36233 21551	   	201.52	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	134VULN|24BASARM|4BPWR|5AAC|6RCR|7AART|8DMG|9FEWX|aCDMG
67	36233 21626	   	201.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	134VULN|24BASARM|4BPWR|5AAC|6RCR|7AART|8RCVC|9ASPD|aCDMG
68	33522 24142	 * 	201.46	DCR|2VULN|1MDPS|2ASPD|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8LIT|9DUR|aMDPS
69	33522 24262	   	201.46	DCR|2VULN|1MDPS|2ASPD|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|9LIT|aMDPS
70	35134 21851	 * 	201.42	ACR|3VULN|2DMG|1AART|1CDMG|1DUR	128VULN|3RCR|4MBVNT|5DUR|68DMG|78LIT|8BPWR|9AART|aCDMG
71	35233 21561	   	201.42	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	124VULN|34CANARM|4BPWR|5AAC|6RCR|7AART|8DMG|9MBVNT|aCDMG
72	36233 21561	   	201.42	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	134VULN|24BASARM|4BPWR|5AAC|6RCR|7AART|8DMG|9MBVNT|aCDMG
73	33522 24234	   	201.36	DCR|2VULN|1MDPS|2ASPD|1CDMG|1DUR	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|9TLV|aMDPS
74	35233 21552	 * 	201.35	DCR|3VULN|2AART|1DMG|1AAC	124VULN|34CANARM|4BPWR|5AAC|6RCR|7aAART|8DMG|9FEWX
75	36233 21552	   	201.35	DCR|3VULN|2AART|1DMG|1AAC	134VULN|24BASARM|4BPWR|5AAC|6RCR|7aAART|8DMG|9FEWX
76	34121 33122	 * 	201.34	DCR|4VULN|1DMG|1CDMG|2DUR	146aVULN|2RPLT|34DUR|4BPWR|5TLV|7CDMG|8DMG|9RCR
77	34121 33322	   	201.34	DCR|4VULN|1ASPD|1CDMG|2DUR	146aVULN|2RPLT|34DUR|4BPWR|5TLV|7CDMG|8ASPD|9RCR
78	35233 21562	   	201.25	DCR|3VULN|2AART|1DMG|1AAC	124VULN|34CANARM|4BPWR|5AAC|6RCR|7aAART|8DMG|9MBVNT
79	36233 21562	   	201.25	DCR|3VULN|2AART|1DMG|1AAC	134VULN|24BASARM|4BPWR|5AAC|6RCR|7aAART|8DMG|9MBVNT
80	35233 21542	   	201.12	DCR|4VULN|1AART|1DMG|1AAC	124aVULN|34CANARM|4BPWR|5AAC|6RCR|7AART|8DMG|9AME
81	36233 21542	   	201.12	DCR|4VULN|1AART|1DMG|1AAC	134aVULN|24BASARM|4BPWR|5AAC|6RCR|7AART|8DMG|9AME
82	35233 21533	   	201.10	DCR|3VULN|2AART|1DMG|1AAC|1SELL	124VULN|34CANARM|4BPWR|5AAC|6RCR|7aAART|8DMG|9SELL
83	36233 21533	   	201.10	DCR|3VULN|2AART|1DMG|1AAC|1SELL	134VULN|24BASARM|4BPWR|5AAC|6RCR|7aAART|8DMG|9SELL
84	35134 21854	 * 	201.02	ACR|4VULN|2DMG|1AART|1DUR	128aVULN|3RCR|4MBVNT|5DUR|68DMG|78LIT|8BPWR|9AART
85	35233 21522	   	201.02	DCR|4VULN|1AART|1DMG|1AAC	124aVULN|34CANARM|4BPWR|5AAC|6RCR|7AART|8DMG|9ERES
86	36233 21522	   	201.02	DCR|4VULN|1AART|1DMG|1AAC	134aVULN|24BASARM|4BPWR|5AAC|6RCR|7AART|8DMG|9ERES
87	35133 21884	 * 	200.94	ACR|4VULN|3DMG|1CDMG	1289VULN|3RCR|4MBVNT|5DUST|689DMG|789LIT|89BPWR|aCDMG
88	35233 21534	   	200.87	DCR|4VULN|1AART|1DMG|1AAC|1SELL	124aVULN|34CANARM|4BPWR|5AAC|6RCR|7AART|8DMG|9SELL
89	36233 21534	   	200.87	DCR|4VULN|1AART|1DMG|1AAC|1SELL	134aVULN|24BASARM|4BPWR|5AAC|6RCR|7AART|8DMG|9SELL
90	33532 24236	 * 	200.78	DCR|2VULN|1MDPS|2ASPD|2CDMG	17VULN|29CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8RCVC|aMDPS
91	33522 24251	   	200.47	DCR|3VULN|2ASPD|1CDMG|1DUR	179VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|aFEWX
92	33522 24253	   	200.47	DCR|3VULN|2ASPD|1CDMG|1DUR	179VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|aBEXP
93	32322 51136	 * 	200.41	DCR|3VULN|1MDPS|2DMG|1DUR	156VULN|2CGEN|38DMG|4LHND|7DUR|9RCR|aMDPS
94	35323 51136	   	200.41	DCR|3VULN|1MDPS|2DMG|1DUR	126VULN|3CGEN|48DMG|5LHND|7DUR|9RCR|aMDPS
95	33522 24252	   	200.37	DCR|3VULN|2ASPD|1CDMG|1DUR|1MSE	179VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8DUR|aMSE
96	35333 63134	 * 	200.01	DCR|5VULN|1MDPS|1NUKE|1DUR	12478VULN|3CGEN|5MDPS|6RCR|9DUR|aNUKE
97	35233 23532	   	199.91	DCR|5VULN|1DMG|1AAC|1DUR	12478VULN|348CANARM|48BPWR|5AAC|6RCR|9DMG|aDUR
98	36233 23532	   	199.91	DCR|5VULN|1DMG|1AAC|1DUR	13478VULN|248BASARM|48BPWR|5AAC|6RCR|9DMG|aDUR
99	32316 43114	   	199.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2CGEN|39DMG|4LIT|5DUR|6ZMB|7AART|8RCR
100	34223 12733	   	199.72	DCR|3VULN|1AART|1DMG|1CDMG	145VULN|2RPLT|34BEXP|4BPWR|6MBVNT|7RCR|8AART|9CDMG|aDMG
101	34253 12733	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	145VULN|2RPLT|3BEXP|6MBVNT|7RCR|8AART|9CDMG|aDMG
102	34323 52733	   	199.62	DCR|3VULN|1AART|1DMG|1CDMG	145VULN|2RPLT|3MBVNT|4BPWR|6BEXP|7RCR|8AART|9CDMG|aDMG
103	33114 24152	 * 	199.59	DCR|3VULN|2ASPD|2CDMG	179VULN|27CDMG|3LWND|4FEWX|57DUST|6RCR|7BPWR|8aASPD
104	34125 12323	   	199.58	DCR|4VULN|1AART|2DUR|1AAC	1458VULN|2RPLT|34DUR|4BPWR|6MBVNT|7RCR|9AART|aAAC
105	35134 23437	 * 	199.48	ACR|4VULN|1AART|1DMG|1CDMG|1DUR	1278VULN|3RCR|4MBVNT|5DUR|6DMG|9AART|aCDMG
106	34125 12114	   	199.42	DCR|4VULN|1ASPD|2DUR|1ZMB	145aVULN|2RPLT|34DUR|4BPWR|6MBVNT|7RCR|8ASPD|9ZMB
107	16151 53333	 * 	199.20	ACR|3VULN|1AART|1ASPD|1DMG|1NUKE	1ERES|2ASPD|3RCR|467VULN|5RCVC|8DMG|9AART|aNUKE
108	33112 24131	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	17aVULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|9LHND
109	33112 24151	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|aBEXP
110	33112 24152	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|aRMIN
111	33112 24156	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|aAME
112	33112 24244	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	17aVULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8RMIN|9ASPD
113	33112 24344	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	17aVULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8MLV|9ASPD
114	33152 24151	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4LHND|57DUR|6RCR|7BPWR|8ASPD|aBEXP
115	33152 24152	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4LHND|57DUR|6RCR|7BPWR|8ASPD|aRMIN
116	33252 24151	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3FEWX|4LHND|57DUR|6RCR|7BPWR|8ASPD|aBEXP
117	33252 24152	   	199.12	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3FEWX|4LHND|57DUR|6RCR|7BPWR|8ASPD|aRMIN
118	33112 24153	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|aDUST
119	33112 24154	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|aTLV
120	33112 24155	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|aAIRARM
121	33112 24161	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	17aVULN|27CDMG|3LWND|4FEWX|57DUR|6RCR|7BPWR|8ASPD|9DUST
122	33152 24153	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3LWND|4LHND|57DUR|6RCR|7BPWR|8ASPD|aDUST
123	33152 24161	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	17aVULN|27CDMG|3LWND|4LHND|57DUR|6RCR|7BPWR|8ASPD|9DUST
124	33252 24153	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	179VULN|27CDMG|3FEWX|4LHND|57DUR|6RCR|7BPWR|8ASPD|aDUST
125	33252 24161	   	199.02	DCR|3VULN|2CDMG|1ASPD|2DUR	17aVULN|27CDMG|3FEWX|4LHND|57DUR|6RCR|7BPWR|8ASPD|9DUST
126	33112 23551	 * 	198.88	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|2aCDMG|3LWND|4FEWX|5aDUR|6RCR|7CGEN|8aDMG|aBPWR
127	33152 23551	   	198.88	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|2aCDMG|3LWND|4LHND|5aDUR|6RCR|7CGEN|8aDMG|aBPWR
128	33252 23551	   	198.88	DCR|2VULN|2DMG|2CDMG|2DUR	19VULN|2aCDMG|3FEWX|4LHND|5aDUR|6RCR|7CGEN|8aDMG|aBPWR
129	33532 24132	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8LIT|9AME|aAART
130	33532 24152	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8LIT|9CGEN|aAART
131	33532 24162	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8LIT|9MLV|aAART
132	33532 24225	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8RCVC|9BEXP|aAART
133	33532 24111	   	198.21	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8LIT|9DUST|aAART
134	33532 24411	   	198.21	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8AME|9DUST|aAART
135	33532 24631	   	198.21	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47LWND|57ASPD|6RCR|7BPWR|8BEXP|9TLV|aAART
136	33522 24421	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8AME|9LHND|aAART
137	33522 24621	   	198.11	DCR|2VULN|2ASPD|1AART|1CDMG	17VULN|2CDMG|3BELT|47DUST|57ASPD|6RCR|7BPWR|8CGEN|9LHND|aAART
138	35153 43333	   	197.88	ACR|3VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	127VULN|3RCR|4AELBLL|5ZMB|6ASPD|8DMG|9AART|aDUR
139	34125 12112	   	197.80	DCR|3VULN|2ASPD|2DUR|1ZMB	145VULN|2RPLT|34DUR|4BPWR|6MBVNT|7RCR|8aASPD|9ZMB
