0	Index      	 *	Score 	Summary	Detail	
1	24531 13613	 * 	219.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	129VULN|3CGEN|4DMG|5ASPD|6LHND|7RCR|8AART|aCDMG
13	36123 33133	 * 	211.29	DCR|4VULN|2AART|1DMG	18AART|2AME|357aVULN|4TLV|6DMG|9RCR
14	36123 63133	 * 	211.29	DCR|4VULN|2AART|1ASPD	18AART|2AME|357aVULN|4TLV|6ASPD|9RCR
15	24213 54323	   	209.87	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	127VULN|3ASPD|4AME|5DMG|6CGEN|8ZMB|9RCR|aAART
16	24213 21223	   	209.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	128VULN|3ASPD|4AME|5DMG|6ERES|7ZMB|9RCR|aAART
17	24253 51223	   	209.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	128VULN|3ASPD|4ERES|5DMG|6CGEN|7ZMB|9RCR|aAART
18	24531 21223	   	209.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	128VULN|3CGEN|4DMG|5ASPD|6ERES|7ZMB|9RCR|aAART
19	24213 24323	   	209.77	DCR|3VULN|1AART|1ASPD|1DMG|1ZMB	127VULN|3ASPD|4AME|5DMG|6ERES|8ZMB|9RCR|aAART
20	23321 46222	   	209.75	DCR|3VULN|2AART|1ASPD|1DUR	17aVULN|2ASPD|3DUR|4CGEN|5TLV|6RCR|89AART
21	23324 46222	   	209.75	DCR|3VULN|2AART|1ASPD|1DUR	17aVULN|2ASPD|3DUR|4CGEN|5ERES|6RCR|89AART
22	23311 46222	   	209.65	DCR|3VULN|2AART|1ASPD|1DUR	17aVULN|2ASPD|3DUR|4ERES|5TLV|6RCR|89AART
23	23126 53212	   	209.65	DCR|4VULN|1AART|1ASPD|1ZMB	169aVULN|2ASPD|3LWND|4CGEN|5ZMB|7RCR|8AART
24	23321 46212	   	209.52	DCR|4VULN|1AART|1ASPD|1DUR	179aVULN|2ASPD|3DUR|4CGEN|5TLV|6RCR|8AART
25	23324 46212	   	209.52	DCR|4VULN|1AART|1ASPD|1DUR	179aVULN|2ASPD|3DUR|4CGEN|5ERES|6RCR|8AART
26	36123 33333	 * 	209.48	DCR|5VULN|1AART|1DMG	1AART|2AME|3578aVULN|4TLV|6DMG|9RCR
27	36123 63333	 * 	209.48	DCR|5VULN|1AART|1ASPD	1AART|2AME|3578aVULN|4TLV|6ASPD|9RCR
28	23311 46212	   	209.42	DCR|4VULN|1AART|1ASPD|1DUR	179aVULN|2ASPD|3DUR|4ERES|5TLV|6RCR|8AART
29	33243 36324	 * 	209.22	DCR|3AART|2DMG|1MDPS|1VULN|1NUKE|1DUR	149AART|2NUKE|3VULN|56DMG|7DUR|8RCR|aMDPS
30	53342 24312	   	208.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1BEXP|25ASPD|3AART|4DMSP|6DMG|7aVULN|8RCR|9ZMB
31	13342 23312	   	208.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	1DUST|25ASPD|3AART|4DMSP|6DMG|7aVULN|8RCR|9ZMB
32	13352 23312	   	208.05	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	14DUST|25ASPD|3AART|6DMG|7aVULN|8RCR|9ZMB
33	24233 53324	 * 	207.56	DCR|3VULN|2DMG|2ASPD|1NUKE|1AAC	127VULN|3aASPD|4NUKE|57DMG|67CGEN|7BPWR|8AAC|9RCR
34	24254 31121	 * 	207.54	DCR|4VULN|2ASPD|1AART	1267VULN|38ASPD|4ERES|56CGEN|6BPWR|9AART|aRCR
35	33243 33312	   	207.53	DCR|2VULN|2AART|2DMG|1NUKE|1ZMB	14AART|2NUKE|3aVULN|56DMG|7BEXP|8RCR|9ZMB
36	33243 35312	   	207.53	DCR|2VULN|2AART|2DMG|1NUKE|1ZMB	14AART|2NUKE|3aVULN|56DMG|7LWND|8RCR|9ZMB
37	33443 34312	   	207.53	DCR|2VULN|2AART|2DMG|1NUKE|1ZMB	14AART|2NUKE|3LHND|56DMG|7aVULN|8RCR|9ZMB
38	33243 32312	   	207.43	DCR|2VULN|2AART|2DMG|1NUKE|1ZMB	14AART|2NUKE|3aVULN|56DMG|7DUST|8RCR|9ZMB
39	24233 23324	   	207.36	DCR|3VULN|2DMG|2ASPD|1NUKE|1AAC	127VULN|3aASPD|4NUKE|57DMG|67ERES|7BPWR|8AAC|9RCR
40	23334 46332	 * 	207.20	DCR|2VULN|1MDPS|1ASPD|1NUKE|1CDMG|1DUR	17VULN|2ASPD|3DUR|4DUST|5DMSP|6RCR|8CDMG|9NUKE|aMDPS
41	24233 22636	 * 	206.69	DCR|3VULN|1MDPS|1ASPD|1DMG|1NUKE|1DUR	129VULN|3ASPD|4NUKE|5DMG|6ERES|7RCR|8DUR|aMDPS
42	24213 33431	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	129VULN|3ASPD|4AME|5DMG|6FEWX|7RCR|8ZMB|aCDMG
43	24531 33431	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	129VULN|3CGEN|4DMG|5ASPD|6FEWX|7RCR|8ZMB|aCDMG
44	23363 46312	 * 	206.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	17VULN|24ASPD|3DUR|5FEWX|6RCR|8CDMG|9DUST|aAART
45	24211 46323	   	206.25	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	12VULN|35ASPD|4AME|6DMG|7MLV|8ZMB|9RCR|aAART
46	24211 41323	   	206.15	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	12VULN|35ASPD|4AME|6DMG|7ERES|8ZMB|9RCR|aAART
47	24243 11334	 * 	205.93	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1DUR	129VULN|3ASPD|4CDMG|5DUR|6MDPS|7MLV|8RCR|aAART
48	23261 24353	 * 	205.86	DCR|5VULN|1ASPD|1DMG	1478aVULN|2ASPD|3RPLT|5DMG|6FEWX|9RCR
49	24231 62433	 * 	205.80	DCR|3VULN|2ASPD|1AART|1NUKE|1DUR	129VULN|35ASPD|4NUKE|6MBVNT|7RCR|8DUR|aAART
50	33243 36352	   	205.51	DCR|2VULN|2AART|2DMG|1NUKE|1DUR	14AART|2NUKE|3aVULN|56DMG|7DUR|8RCR|9MLV
51	33243 36342	   	205.41	DCR|2VULN|2AART|2DMG|1NUKE|1DUR	14AART|2NUKE|3aVULN|56DMG|7DUR|8RCR|9TLV
52	23216 15326	 * 	204.63	DCR|3VULN|2ASPD|2CDMG|1AAC	15aVULN|2aASPD|3RPLT|4MULFIG|6AAC|7RCR|8SPLREG|9aCDMG|aBPWR
53	24211 33436	   	204.50	DCR|3VULN|2ASPD|1AART|1DUR	127VULN|35ASPD|4AME|6RCVC|8DUR|9RCR|aAART
54	24213 33422	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	12VULN|3ASPD|4AME|5DMG|6FEWX|7RCR|8ZMB|9AART|aDUR
55	24531 33422	   	204.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	12VULN|3CGEN|4DMG|5ASPD|6FEWX|7RCR|8ZMB|9AART|aDUR
56	24233 52631	 * 	204.21	DCR|3VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	129VULN|3ASPD|4NUKE|5DMG|6CGEN|7RCR|8DUR|aCDMG
57	24233 22631	   	204.11	DCR|3VULN|1ASPD|1DMG|1NUKE|1CDMG|1DUR	129VULN|3ASPD|4NUKE|5DMG|6ERES|7RCR|8DUR|aCDMG
58	24263 41333	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3ASPD|4LHND|5FEWX|6RCR|7DMG|8LWND|9AART|aCDMG
59	24231 14323	   	203.92	DCR|3VULN|2ASPD|1AART|1NUKE|1ZMB	127VULN|35ASPD|4NUKE|6LWND|8ZMB|9RCR|aAART
60	22342 32131	   	203.91	DCR|3VULN|2ASPD|1CDMG|2DUR	16aVULN|24RPLT|3CDMG|5RMIN|7RCR|8aASPD|9aDUR|aBPWR
61	36113 33136	   	203.85	DCR|3VULN|2AART|1DMG|1DUR	18AART|2AME|357VULN|4CGEN|6DMG|9RCR|aDUR
62	36113 63136	   	203.85	DCR|3VULN|2AART|1ASPD|1DUR	18AART|2AME|357VULN|4CGEN|6ASPD|9RCR|aDUR
63	36123 33136	   	203.75	DCR|3VULN|2AART|1DMG|1DUR	18AART|2AME|357VULN|4TLV|6DMG|9RCR|aDUR
64	36123 63136	   	203.75	DCR|3VULN|2AART|1ASPD|1DUR	18AART|2AME|357VULN|4TLV|6ASPD|9RCR|aDUR
65	24233 53325	   	203.68	DCR|3VULN|2DMG|1ASPD|1NUKE|1AAC|1ZMB	127VULN|3ASPD|4NUKE|57DMG|67CGEN|7BPWR|8AAC|9RCR|aZMB
66	36113 33436	   	203.62	DCR|4VULN|1AART|1DMG|1DUR	1AART|2AME|3578VULN|4CGEN|6DMG|9RCR|aDUR
67	24213 13632	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	12aVULN|3ASPD|4AME|5DMG|6LHND|7RCR|8AART|9CGEN
68	24213 13642	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	12aVULN|3ASPD|49AME|5DMG|6LHND|7RCR|8AART
69	24213 13652	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	12aVULN|3ASPD|4AME|5DMG|6LHND|7RCR|8AART|9MLV
70	24531 13611	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	129VULN|3CGEN|4DMG|5ASPD|6aLHND|7RCR|8AART
71	24531 13632	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	12aVULN|3CGEN|4DMG|5ASPD|6LHND|7RCR|8AART|9MLV
72	36123 33336	   	203.52	DCR|4VULN|1AART|1DMG|1DUR	1AART|2AME|3578VULN|4TLV|6DMG|9RCR|aDUR
73	36123 63336	   	203.52	DCR|4VULN|1AART|1ASPD|1DUR	1AART|2AME|3578VULN|4TLV|6ASPD|9RCR|aDUR
74	24233 23325	   	203.48	DCR|3VULN|2DMG|1ASPD|1NUKE|1AAC|1ZMB	127VULN|3ASPD|4NUKE|57DMG|67ERES|7BPWR|8AAC|9RCR|aZMB
75	24213 13612	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	12aVULN|3ASPD|4AME|5DMG|6LHND|7RCR|8AART|9ERES
76	33443 34313	 * 	203.40	DCR|2AART|2DMG|1VULN|1NUKE|1CDMG|1ZMB	14AART|2NUKE|3LHND|56DMG|7VULN|8RCR|9ZMB|aCDMG
77	23361 52224	 * 	203.19	DCR|3ASPD|2VULN|2CDMG|1DUR	1aVULN|24aASPD|3DUR|5LIT|6RCR|7aCDMG|8DMSP|9RMIN|aBPWR
78	23361 52241	   	203.19	DCR|3ASPD|2VULN|2CDMG|1DUR	1aVULN|24aASPD|3DUR|59LIT|6RCR|7aCDMG|8DMSP|aBPWR
79	23245 23324	   	203.10	DCR|3VULN|1MDPS|1ASPD|1CDMG|1ZMB	169VULN|2ASPD|3RPLT|4LIT|5CDMG|7ZMB|8RCR|aMDPS
80	24213 13523	   	202.94	DCR|3VULN|1ASPD|1DMG|1CDMG	129VULN|3ASPD|4AME|5DMG|6LHND|7RCR|8SPLREG|aCDMG
81	24213 33523	   	202.94	DCR|3VULN|1ASPD|1DMG|1CDMG	129VULN|3ASPD|4AME|5DMG|6FEWX|7RCR|8SPLREG|aCDMG
82	24531 13523	   	202.94	DCR|3VULN|1ASPD|1DMG|1CDMG	129VULN|3CGEN|4DMG|5ASPD|6LHND|7RCR|8SPLREG|aCDMG
83	24531 33523	   	202.94	DCR|3VULN|1ASPD|1DMG|1CDMG	129VULN|3CGEN|4DMG|5ASPD|6FEWX|7RCR|8SPLREG|aCDMG
84	34343 33334	 * 	202.91	DCR|3DMG|2AART|1VULN|1ZMB	14AART|2LWND|3MLV|569DMG|7VULN|8RCR|aZMB
85	32163 24322	   	202.88	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2BEXP|3DMSP|4RCVC|5ASPD|6DMG|7aVULN|8RCR
86	34163 24322	   	202.88	DCR|2VULN|2AART|1ASPD|1DMG	19AART|2LWND|3DMSP|4RCVC|5ASPD|6DMG|7aVULN|8RCR
87	23362 61334	 * 	202.31	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|1DUR	19VULN|24ASPD|3DUR|5MDPS|6CDMG|7MLV|8RCR|aAART
88	24213 13643	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3ASPD|49AME|5DMG|6LHND|7RCR|8AART|aCDMG
89	23261 24352	   	201.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1478VULN|2ASPD|3RPLT|5DMG|6FEWX|9RCR|aZMB
90	23261 55213	 * 	201.91	DCR|2VULN|1MDPS|2ASPD|1DMG	14VULN|28ASPD|3RPLT|5DMG|6SPLREG|7RCR|9MLV|aMDPS
91	24213 13624	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	12VULN|3ASPD|4AME|5DMG|6LHND|7RCR|8AART|9DUST|aCDMG
92	13342 23322	   	201.82	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	1DUST|25ASPD|39AART|4DMSP|6DMG|7VULN|8RCR|aDUR
93	23261 55221	   	201.81	DCR|2VULN|1MDPS|2ASPD|1DMG	14VULN|28ASPD|3RPLT|5DMG|6SPLREG|7RCR|9MDPS|aBEXP
94	23261 55222	 * 	201.81	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG	14VULN|28ASPD|3RPLT|5DMG|6SPLREG|7RCR|9MDPS|aAART
95	23261 55223	   	201.81	DCR|2VULN|1MDPS|2ASPD|1DMG	14VULN|28ASPD|3RPLT|5DMG|6SPLREG|7RCR|9MDPS|aLWND
96	24213 13633	   	201.78	DCR|2VULN|2AART|1ASPD|1DMG	12VULN|3ASPD|4AME|5DMG|6LHND|7RCR|8aAART|9CGEN
97	24213 13653	   	201.78	DCR|2VULN|2AART|1ASPD|1DMG	12VULN|3ASPD|4AME|5DMG|6LHND|7RCR|8aAART|9MLV
98	24531 13633	   	201.78	DCR|2VULN|2AART|1ASPD|1DMG	12VULN|3CGEN|4DMG|5ASPD|6LHND|7RCR|8aAART|9MLV
99	13352 23322	   	201.72	DCR|2AART|2ASPD|1VULN|1DMG|1DUR	14DUST|25ASPD|39AART|6DMG|7VULN|8RCR|aDUR
100	24213 13613	   	201.68	DCR|2VULN|2AART|1ASPD|1DMG	12VULN|3ASPD|4AME|5DMG|6LHND|7RCR|8aAART|9ERES
101	24215 11332	   	201.53	DCR|3VULN|1AART|1ASPD|1DMG	12aVULN|3ASPD|4AME|57LWND|6AART|8RCR|9DMG
102	24255 11332	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	12aVULN|3ASPD|4ERES|57LWND|6AART|8RCR|9DMG
103	23363 46332	   	201.36	DCR|2VULN|1MDPS|2ASPD|1CDMG|1DUR	17VULN|24ASPD|3DUR|5FEWX|6RCR|8CDMG|9ERES|aMDPS
104	24233 16523	 * 	201.34	DCR|3VULN|1AART|1ASPD|1DMG|1NUKE	127VULN|3ASPD|4NUKE|5DMG|6LHND|8RCVC|9RCR|aAART
105	34143 33362	   	201.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LWND|3DMSP|4MLV|56DMG|7aVULN|8RCR|9ASPD
106	54133 32133	   	201.26	DCR|3VULN|2DMG|1AART	19BEXP|29aVULN|3BELT|4LIT|5AART|6LHND|7RCR|89DMG|9BPWR
107	23121 46212	   	201.22	DCR|4VULN|1AART|1ASPD	179aVULN|2ASPD|3LWND|4CGEN|5TLV|6RCR|8AART
108	23124 46212	   	201.22	DCR|4VULN|1AART|1ASPD	179aVULN|2ASPD|3LWND|4CGEN|5ERES|6RCR|8AART
109	33242 34332	 * 	201.18	DCR|2AART|1VULN|1ASPD|1DMG|1NUKE|2DUR|1ZMB	14AART|2NUKE|3VULN|5ASPD|6DMG|7aDUR|8ZMB|9RCR
110	23111 46212	   	201.12	DCR|4VULN|1AART|1ASPD	179aVULN|2ASPD|3LWND|4ERES|5TLV|6RCR|8AART
111	24211 15141	 * 	201.09	DCR|3ASPD|2VULN|1AART|1DUR	12VULN|358ASPD|4AME|6LHND|7RCR|9AART|aDUR
112	36143 32324	   	201.01	DCR|3AART|2DMG|1MDPS|1VULN	149AART|2AME|3VULN|56DMG|7FEWX|8RCR|aMDPS
113	23261 14351	   	200.99	DCR|3VULN|1MDPS|1ASPD|1DMG|1MSE	148VULN|2ASPD|3RPLT|5DMG|6RCVC|7RCR|9MDPS|aMSE
114	23261 14352	   	200.99	DCR|3VULN|1MDPS|1ASPD|1DMG	148VULN|2ASPD|3RPLT|5DMG|6RCVC|7RCR|9MDPS|aDUST
115	23261 14353	   	200.99	DCR|3VULN|1MDPS|1ASPD|1DMG	148VULN|2ASPD|3RPLT|5DMG|6RCVC|7RCR|9MDPS|aTLV
116	33243 33324	   	200.91	DCR|3AART|2DMG|1MDPS|1VULN|1NUKE	149AART|2NUKE|3VULN|56DMG|7BEXP|8RCR|aMDPS
117	33243 35324	   	200.91	DCR|3AART|2DMG|1MDPS|1VULN|1NUKE	149AART|2NUKE|3VULN|56DMG|7LWND|8RCR|aMDPS
118	34343 33331	   	200.88	DCR|3DMG|2AART|1VULN|1DUR	14AART|2LWND|3MLV|569DMG|7VULN|8RCR|aDUR
119	35643 33331	   	200.88	DCR|3DMG|2AART|1VULN|1DUR	14AART|2CGEN|3LHND|569DMG|7VULN|8RCR|aDUR
120	36143 35331	   	200.88	DCR|3DMG|2AART|1VULN|1DUR	14AART|2AME|3VULN|569DMG|7LWND|8RCR|aDUR
121	33243 32324	   	200.81	DCR|3AART|2DMG|1MDPS|1VULN|1NUKE	149AART|2NUKE|3VULN|56DMG|7DUST|8RCR|aMDPS
122	24211 33435	   	200.79	DCR|3VULN|2ASPD|1DMG|1DUR	127VULN|35ASPD|4AME|6RCVC|8DUR|9RCR|aDMG
123	33242 46312	 * 	200.76	DCR|2VULN|2AART|1ASPD|1NUKE|1ZMB|1DUR	14AART|2NUKE|3aVULN|5ASPD|6RCVC|7DUR|8RCR|9ZMB
124	33243 46312	   	200.76	DCR|2VULN|2AART|1DMG|1NUKE|1ZMB|1DUR	14AART|2NUKE|3aVULN|5DMG|6RCVC|7DUR|8RCR|9ZMB
125	23126 53224	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	16VULN|2ASPD|3LWND|4CGEN|5ZMB|7RCR|8AART|9DUR|aCDMG
126	24231 62331	 * 	200.39	DCR|3VULN|3ASPD|1NUKE|2DUR	12aVULN|35aASPD|4NUKE|6MBVNT|7RCR|8RMIN|9aDUR|aBPWR
127	24231 62831	   	200.29	DCR|3VULN|3ASPD|1NUKE|2DUR|1AAC	12aVULN|35aASPD|4NUKE|6MBVNT|7RCR|8AAC|9aDUR|aBPWR
128	24213 21224	   	200.21	DCR|3VULN|2ASPD|1DMG|1ZMB	128VULN|3aASPD|4AME|5DMG|6ERES|7ZMB|9RCR
129	24531 21224	   	200.21	DCR|3VULN|2ASPD|1DMG|1ZMB	128VULN|3CGEN|4DMG|5aASPD|6ERES|7ZMB|9RCR
130	24213 24324	   	200.21	DCR|3VULN|2ASPD|1DMG|1ZMB	127VULN|3aASPD|4AME|5DMG|6ERES|8ZMB|9RCR
131	24233 21224	   	200.11	DCR|3VULN|2ASPD|1DMG|1NUKE|1ZMB	128VULN|3aASPD|4NUKE|5DMG|6ERES|7ZMB|9RCR
132	24534 21113	   	199.94	DCR|4VULN|1ASPD|1DMG|1ZMB	1279VULN|35CGEN|4DMG|6ZMB|8ASPD|aRCR
133	23261 14325	   	199.85	DCR|3VULN|2DMG|1ASPD	148VULN|2ASPD|3RPLT|5aDMG|6RCVC|7RCR|9RMIN
134	23261 14335	   	199.85	DCR|3VULN|2DMG|1ASPD	148VULN|2ASPD|3RPLT|5aDMG|6RCVC|7RCR|9AME
135	32133 24322	   	199.78	DCR|2VULN|2AART|1ASPD|1DMG	19AART|24BEXP|3DMSP|5ASPD|6DMG|7aVULN|8RCR
136	32143 33362	   	199.78	DCR|2VULN|2AART|1ASPD|1DMG	16AART|2BEXP|3DMSP|4MLV|5DMG|7aVULN|8RCR|9ASPD
137	32343 33362	   	199.78	DCR|2VULN|2AART|1ASPD|1DMG	16AART|2BEXP|3MLV|4DMSP|5DMG|7aVULN|8RCR|9ASPD
138	23261 14315	   	199.75	DCR|3VULN|2DMG|1ASPD	148VULN|2ASPD|3RPLT|5aDMG|6RCVC|7RCR|9ERES
139	24231 62642	 * 	199.72	DCR|2VULN|2ASPD|1AART|1DMG|1NUKE	12VULN|35ASPD|4NUKE|6MBVNT|7RCR|8RPLT|9DMG|aAART
140	24233 52143	   	199.72	DCR|2VULN|2ASPD|1AART|1DMG|1NUKE	12VULN|38ASPD|4NUKE|5DMG|6CGEN|7RCR|9TLV|aAART
141	24233 22143	   	199.62	DCR|2VULN|2ASPD|1AART|1NUKE|1DMG	12VULN|38ASPD|4NUKE|5DMG|6ERES|7RCR|9TLV|aAART
142	24234 13613	 * 	199.62	DCR|3VULN|1AART|1ASPD|1NUKE|1CDMG	129VULN|3ASPD|4NUKE|5CGEN|6LHND|7RCR|8AART|aCDMG
143	24214 33222	   	199.55	DCR|3VULN|2AART|1ASPD	12aVULN|3ASPD|4AME|5CGEN|6BEXP|7RCR|89AART
144	24511 33222	   	199.55	DCR|3VULN|2AART|1ASPD	12aVULN|3CGEN|4AME|5ASPD|6BEXP|7RCR|89AART
145	24532 23222	   	199.55	DCR|3VULN|2AART|1DMG	12aVULN|3CGEN|4DMG|5BEXP|6AME|7RCR|89AART
146	21125 35521	   	199.48	DCR|2VULN|2DMG|1AART|1CDMG	1aVULN|2FEWX|3BELT|4CDMG|58DMG|6MLV|7RCR|9AART
147	24532 53222	   	199.45	DCR|3VULN|2AART|1DMG	12aVULN|3CGEN|4DMG|5BEXP|6TLV|7RCR|89AART
148	24535 23222	   	199.45	DCR|3VULN|2AART|1DMG	12aVULN|3CGEN|4DMG|5DUST|6AME|7RCR|89AART
149	24233 16223	   	199.43	DCR|3VULN|1AART|1ASPD|1DMG|1NUKE	127VULN|3ASPD|4NUKE|5DMG|68LHND|9RCR|aAART
150	24213 22223	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	128VULN|3ASPD|4AME|5DMG|6ERES|7AAC|9RCR|aAART
151	24253 52223	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	128VULN|3ASPD|4ERES|5DMG|6CGEN|7AAC|9RCR|aAART
152	24531 22223	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	128VULN|3CGEN|4DMG|5ASPD|6ERES|7AAC|9RCR|aAART
153	24214 13212	   	199.32	DCR|4VULN|1AART|1ASPD	129aVULN|3ASPD|4AME|5CGEN|6LHND|7RCR|8AART
154	24214 33212	   	199.32	DCR|4VULN|1AART|1ASPD	129aVULN|3ASPD|4AME|5CGEN|6BEXP|7RCR|8AART
155	24511 13212	   	199.32	DCR|4VULN|1AART|1ASPD	129aVULN|3CGEN|4AME|5ASPD|6LHND|7RCR|8AART
156	24511 33212	   	199.32	DCR|4VULN|1AART|1ASPD	129aVULN|3CGEN|4AME|5ASPD|6BEXP|7RCR|8AART
157	24532 23212	   	199.32	DCR|4VULN|1AART|1DMG	129aVULN|3CGEN|4DMG|5BEXP|6AME|7RCR|8AART
158	24233 26223	   	199.23	DCR|3VULN|1AART|1NUKE|1DMG|1ASPD	128VULN|3ASPD|4NUKE|5DMG|6ERES|7TLV|9RCR|aAART
159	24234 13612	 * 	199.22	DCR|4VULN|1AART|1ASPD|1NUKE	129aVULN|3ASPD|4NUKE|5CGEN|6LHND|7RCR|8AART
160	24532 53212	   	199.22	DCR|4VULN|1AART|1DMG	129aVULN|3CGEN|4DMG|5BEXP|6TLV|7RCR|8AART
161	24533 53212	   	199.22	DCR|4VULN|1AART|1DMG	129aVULN|3CGEN|4DMG|5LWND|6TLV|7RCR|8AART
162	24535 23212	   	199.22	DCR|4VULN|1AART|1DMG	129aVULN|3CGEN|4DMG|5DUST|6AME|7RCR|8AART
163	24233 52622	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|2DUR	12VULN|3ASPD|4NUKE|5DMG|6CGEN|7RCR|8aDUR|9AART
164	24533 11332	   	199.06	DCR|3VULN|2DMG|1AART	12aVULN|3CGEN|49DMG|57LWND|6AART|8RCR
165	24233 22622	   	199.05	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|2DUR	12VULN|3ASPD|4NUKE|5DMG|6ERES|7RCR|8aDUR|9AART
166	53363 32363	 * 	198.68	DCR|3DMG|1MDPS|1AART|1ASPD|1CDMG|2DUR	17BEXP|2ASPD|3AART|4MDPS|57DUR|679DMG|7BPWR|8CDMG|aRCR
167	23261 14242	   	198.54	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14VULN|2ASPD|3RPLT|5DMG|6RCVC|7RCR|8ZMB|9FEWX|aAART
168	23261 14212	   	198.44	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	14VULN|2ASPD|3RPLT|5DMG|6RCVC|7RCR|8ZMB|9DUST|aAART
169	36143 32323	 * 	198.43	DCR|3AART|2DMG|1VULN|1CDMG	149AART|2AME|3VULN|56DMG|7FEWX|8RCR|aCDMG
170	33243 33323	 * 	198.33	DCR|3AART|2DMG|1VULN|1NUKE|1CDMG	149AART|2NUKE|3VULN|56DMG|7BEXP|8RCR|aCDMG
171	33243 35323	   	198.33	DCR|3AART|2DMG|1VULN|1NUKE|1CDMG	149AART|2NUKE|3VULN|56DMG|7LWND|8RCR|aCDMG
