0	Index      	 *	Score 	Summary	Detail	
1	61313 16235	 * 	229.08	ACR|2SPLARM|4VULN|2DMG|1AART	126aVULN|346LIT|5RCR|6aBPWR|7AART|8aSPLARM|9aDMG
20	61122 31366	   	219.90	DCR|3VULN|2DMG|1ASPD|1CDMG|1DUR	124VULN|3aDMG|5CDMG|6DUR|7ASPD|8RCR|9LWND
21	63124 25223	   	219.61	DCR|2VULN|2AART|1MDPS|2ASPD|2CDMG	18VULN|2aAART|3MDPS|4LHND|58ASPD|68CDMG|7RCR|8BPWR|9DUST
22	63263 13114	 * 	219.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|2AART|3RMIN|45DMG|7RCR|8RCVC|9CDMG|aASPD
23	63263 13214	   	219.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	16VULN|2AART|38RMIN|45DMG|7RCR|9CDMG|aASPD
24	21464 12437	 * 	219.12	DCR|3VULN|2DMG|2CDMG|1ASPD|1AAC	1aBEXP|25aVULN|3MBVNT|45DMG|5aBPWR|6ASPD|7aCDMG|8RCR|9AAC
25	61122 62125	 * 	218.02	DCR|4VULN|3CDMG|1DMG|2ZMB	124aVULN|3DMG|59aCDMG|6aZMB|7RPLT|8RCR|aBPWR
26	62124 42333	   	217.46	DCR|3VULN|1AART|2CDMG|1ASPD|1DUR	13aVULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|7DUR|8FEWX|9ASPD
27	61122 31331	 * 	216.53	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	124VULN|3DMG|5CDMG|6DUR|7aASPD|8RCR|9LHND
28	61122 31351	   	216.53	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	124VULN|3DMG|5CDMG|6DUR|7aASPD|8RCR|9FEWX
29	61122 31361	   	216.53	DCR|3VULN|2ASPD|1DMG|1CDMG|1DUR	124VULN|3DMG|5CDMG|6DUR|7aASPD|8RCR|9LWND
30	62121 11634	   	215.00	DCR|3VULN|1AART|2CDMG|1DMG|2DUR	138VULN|23CDMG|38BPWR|4AART|58BEXP|6BELT|78DUR|9DMG|aRCR
31	62123 11634	   	215.00	DCR|3VULN|1AART|2CDMG|1DMG|2DUR	138VULN|23CDMG|38BPWR|4AART|58FEWX|6BELT|78DUR|9DMG|aRCR
32	61121 52227	 * 	214.81	DCR|4VULN|2DMG|2CDMG	124aVULN|3aDMG|5MBVNT|6DUST|7LHND|8RCR|9aCDMG|aBPWR
33	62114 11325	 * 	214.71	DCR|4VULN|3CDMG|1ASPD|1ZMB	134aVULN|235CDMG|3BPWR|6ASPD|7ZMB|8RCR|9LWND
34	61122 66221	   	214.65	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9RPLT|aDUR
35	62114 11315	   	214.61	DCR|4VULN|3CDMG|1ASPD|1ZMB	134aVULN|235CDMG|3BPWR|6ASPD|7ZMB|8RCR|9DUST
36	62114 11336	   	214.61	DCR|4VULN|3CDMG|1ASPD|1ZMB	134aVULN|235CDMG|3BPWR|6ASPD|7ZMB|8RCR|9ERES
37	62126 62112	 * 	213.04	DCR|2VULN|2AART|2CDMG|1DMG|2DUR	13VULN|23CDMG|3BPWR|48AART|5RPLT|6DMG|79DUR|aRCR
38	63313 33414	 * 	212.69	ACR|3VULN|1SPLARM|1AART|1ASPD|1DMG|1DUR	137VULN|2AART|4CGEN|5RCR|6ASPD|8DMG|9DUR|aSPLARM
39	63323 33414	   	212.69	ACR|3VULN|1SPLARM|1AART|1ASPD|1DMG|1DUR	137VULN|2AART|4AME|5RCR|6ASPD|8DMG|9DUR|aSPLARM
40	63333 33414	   	212.69	ACR|3VULN|1SPLARM|1AART|1ASPD|1DMG|1DUR	137VULN|2AART|4MLV|5RCR|6ASPD|8DMG|9DUR|aSPLARM
41	61122 41316	   	212.63	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG	124VULN|3DMG|5CDMG|6DUST|7ASPD|8RCR|9TLV|aMDPS
42	21464 12474	 * 	212.59	DCR|2VULN|2DMG|1MDPS|1ASPD|1CDMG	19BEXP|25VULN|3MBVNT|45DMG|5BPWR|6ASPD|7CDMG|8RCR|aMDPS
43	63263 13324	 * 	212.37	DCR|1SPLARM|2VULN|2DMG|1AART	16VULN|2AART|3RMIN|45DMG|7RCR|8LWND|9MLV|aSPLARM
44	21552 22521	   	211.37	DCR|4VULN|1AART|2CDMG|1ZMB	1BEXP|256aVULN|36CDMG|4AART|6BPWR|7LHND|8RCR|9ZMB
45	21263 66342	 * 	211.13	DCR|3VULN|2AART|2DMG|1NUKE	19BEXP|239VULN|47AART|59DMG|6NUKE|8MBVNT|9BPWR|aRCR
46	21263 63342	 * 	210.91	DCR|4VULN|2DMG|1AART|1NUKE	19BEXP|2379VULN|4AART|59DMG|6NUKE|8MBVNT|9BPWR|aRCR
47	26363 63342	   	210.91	DCR|4VULN|2DMG|1AART|1NUKE	19BEXP|2AART|3479VULN|59DMG|6NUKE|8MBVNT|9BPWR|aRCR
48	63343 63342	   	210.91	DCR|4VULN|2DMG|1AART|1NUKE	1379VULN|2AART|49FEWX|59DMG|6NUKE|8MBVNT|9BPWR|aRCR
49	63263 13316	 * 	210.36	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	16VULN|2AART|3RMIN|45DMG|7RCR|8LWND|9DUR|aMDPS
50	63124 25211	   	210.31	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1AAC|1MSE	18VULN|2AART|3MDPS|4LHND|58ASPD|68CDMG|7RCR|8BPWR|9AAC|aMSE
51	63124 25212	   	210.31	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1AAC	18VULN|2AART|3MDPS|4LHND|58ASPD|68CDMG|7RCR|8BPWR|9AAC|aBEXP
52	63124 25213	   	210.31	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1AAC	18VULN|2AART|3MDPS|4LHND|58ASPD|68CDMG|7RCR|8BPWR|9AAC|aLWND
53	62114 12621	 * 	210.06	DCR|3VULN|3CDMG|1AART|1ASPD|1SELL	134VULN|235CDMG|3BPWR|6ASPD|7SELL|8AART|9RCR|aFEWX
54	62114 12623	 * 	210.06	DCR|3VULN|3CDMG|1AART|1ASPD|1SELL	134VULN|235CDMG|3BPWR|6ASPD|7SELL|8AART|9RCR|aCGEN
55	61122 66132	   	210.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8FEWX|9LHND|aAART
56	62224 43133	   	210.04	DCR|2VULN|1MDPS|1AART|2CDMG|1ASPD	17VULN|23CDMG|4AART|5MSLFST|6RCR|8FEWX|9ASPD|aMDPS
57	62114 12622	 * 	209.96	DCR|3VULN|3CDMG|1AART|1ASPD|1SELL	134VULN|235CDMG|3BPWR|6ASPD|7SELL|8AART|9RCR|aDUST
58	61122 66332	   	209.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8LHND|9LEGI|aAART
59	62225 43231	 * 	209.94	DCR|2VULN|2AART|1MDPS|2CDMG|1NUKE|1MSE	15VULN|23CDMG|49AART|6RCR|7MSE|8NUKE|aMDPS
60	61122 31336	   	209.74	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	124VULN|3DMG|5aCDMG|6DUR|7ASPD|8RCR|9LHND
61	62124 41113	 * 	209.69	DCR|3VULN|3CDMG|1AART|2DUR	13aVULN|23aCDMG|3aBPWR|4AART|5MSLFST|6RCR|7LEGI|8TLV|9aDUR
62	62124 42113	   	209.69	DCR|3VULN|3CDMG|1AART|2DUR	13aVULN|23aCDMG|3aBPWR|4AART|5MSLFST|6RCR|79DUR|8aTLV
63	63263 43312	   	209.61	DCR|2VULN|2AART|2DMG|1DUR	17VULN|2aAART|3RMIN|45DMG|6RCR|8LWND|9DUR
64	61122 66231	   	209.56	DCR|3VULN|1ASPD|1DMG|1CDMG|2ZMB	124VULN|3DMG|5CDMG|6aZMB|7RCR|8ASPD|9CGEN
65	61122 13133	 * 	209.49	DCR|3VULN|1MDPS|2DMG|1ASPD|1CDMG	124VULN|37DMG|5CDMG|6MDPS|8LIT|9RCR|aASPD
66	41464 12444	 * 	209.41	DCR|3DMG|2VULN|1ASPD|1CDMG	1LWND|25VULN|3MBVNT|45aDMG|5BPWR|6ASPD|7CDMG|8RCR|9LHND
67	21464 12426	   	209.31	DCR|3DMG|2VULN|1ASPD|1CDMG	1BEXP|25VULN|3MBVNT|45aDMG|5BPWR|6ASPD|7CDMG|8RCR|9DUST
68	62125 42312	   	209.25	DCR|3VULN|2CDMG|1AART|1DMG	135VULN|23CDMG|3BPWR|4AART|6RCR|7LHND|8LIT|9BEXP|aDMG
69	63263 13431	 * 	209.21	DCR|3DMG|2VULN|1AART|1ZMB	16VULN|2AART|3RMIN|458DMG|7RCR|9CGEN|aZMB
70	62124 43131	   	209.15	DCR|3VULN|1AART|2CDMG|1ASPD	137VULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|8FEWX|9ASPD|aLWND
71	62124 43132	   	209.15	DCR|3VULN|1AART|2CDMG|1ASPD	137VULN|23CDMG|3BPWR|4AART|5MSLFST|6RCR|8FEWX|9ASPD|aBELT
72	62125 43211	 * 	208.95	DCR|3VULN|1AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|4AART|6RCR|7MSE|8NUKE|9CGEN|aBEXP
73	62125 43212	 * 	208.95	DCR|3VULN|1AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|4AART|6RCR|7MSE|8NUKE|9CGEN|aDUST
74	62125 43213	 * 	208.95	DCR|3VULN|2AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|4aAART|6RCR|7MSE|8NUKE|9CGEN
75	62125 43221	 * 	208.95	DCR|3VULN|1AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|4AART|6RCR|7MSE|8NUKE|9ERES|aBEXP
76	62125 43222	 * 	208.95	DCR|3VULN|1AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|4AART|6RCR|7MSE|8NUKE|9ERES|aDUST
77	62125 43223	 * 	208.95	DCR|3VULN|2AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|4aAART|6RCR|7MSE|8NUKE|9ERES
78	62125 43232	 * 	208.95	DCR|3VULN|2AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|49AART|6RCR|7MSE|8NUKE|aAME
79	62125 43233	 * 	208.95	DCR|3VULN|2AART|2CDMG|1NUKE|1MSE	135VULN|23CDMG|3BPWR|49AART|6RCR|7MSE|8NUKE|aBEXP
80	21266 63342	   	208.71	DCR|3VULN|2DMG|1AART|2ZMB	19BEXP|237VULN|4AART|59ZMB|69DMG|8MBVNT|9BPWR|aRCR
81	61122 41331	   	208.12	DCR|3VULN|2ASPD|1DMG|1CDMG	124VULN|3DMG|5CDMG|6DUST|7aASPD|8RCR|9LHND
82	61122 41351	   	208.12	DCR|3VULN|2ASPD|1DMG|1CDMG	124VULN|3DMG|5CDMG|6DUST|7aASPD|8RCR|9FEWX
83	61122 41361	   	208.12	DCR|3VULN|2ASPD|1DMG|1CDMG	124VULN|3DMG|5CDMG|6DUST|7aASPD|8RCR|9LWND
84	61122 61412	   	208.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9MLV|aAME
85	61122 61413	   	208.05	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9MLV|aBEXP
86	21464 12471	   	207.98	DCR|2VULN|2DMG|2ASPD|1CDMG	19BEXP|25VULN|3MBVNT|45DMG|5BPWR|6aASPD|7CDMG|8RCR
87	36124 14222	   	207.98	DCR|2VULN|2DMG|2ASPD|1CDMG	1TLV|2MLV|3aDMG|4aVULN|5DUST|6aASPD|7CGEN|8RCR|9CDMG|aBPWR
88	61122 61432	   	207.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9TLV|aAME
89	61122 61433	   	207.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9TLV|aBEXP
90	63124 24231	   	207.94	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DUR	17VULN|2AART|3MDPS|4LHND|57ASPD|67CDMG|7BPWR|8DUR|9RCR|aRPLT
91	61122 61421	   	207.85	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1MSE	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9MSE|aFEWX
92	61122 61422	   	207.85	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1MSE	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9MSE|aDUST
93	61122 61423	   	207.85	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1MSE	124VULN|3DMG|5CDMG|6ZMB|7AART|8RCR|9MSE|aDMSP
94	63124 21233	   	207.84	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DUR	18VULN|2AART|3MDPS|4LHND|58ASPD|68CDMG|7LEGI|8BPWR|9RCR|aDUR
95	63124 24232	   	207.84	DCR|2VULN|1MDPS|2ASPD|1AART|2CDMG|1DUR|1MSE	17VULN|2AART|3MDPS|4LHND|57ASPD|67CDMG|7BPWR|8DUR|9RCR|aMSE
96	62111 22633	   	207.84	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	134VULN|23CDMG|3BPWR|5FEWX|6ASPD|7LIT|8DUR|9RCR|aDMG
97	62111 23133	   	207.84	DCR|3VULN|2CDMG|1ASPD|1DMG|1DUR	134VULN|23CDMG|3BPWR|5FEWX|6ASPD|7DUR|8LIT|9RCR|aDMG
98	62125 41131	   	207.81	DCR|3VULN|2AART|1MDPS|2CDMG|1MSE	135VULN|23CDMG|3BPWR|49AART|6RCR|7RMIN|8MSE|aMDPS
99	21438 72142	   	207.77	DCR|3VULN|2AART|2ASPD|1AAC	19BEXP|259VULN|3MBVNT|4AAC|68AART|79ASPD|9BPWR|aRCR
100	61122 14133	 * 	207.75	DCR|4VULN|1MDPS|1ASPD|1DMG|1CDMG	1247VULN|3DMG|5CDMG|6MDPS|8LIT|9RCR|aASPD
101	62125 43111	   	207.71	DCR|3VULN|1MDPS|1AART|2CDMG|1MSE	135VULN|23CDMG|3BPWR|4AART|6RCR|7MSE|8DMSP|9MLV|aMDPS
102	62125 43123	   	207.71	DCR|3VULN|1MDPS|1AART|2CDMG|2MSE	135VULN|23CDMG|3BPWR|4AART|6RCR|79MSE|8DMSP|aMDPS
103	62125 43131	   	207.71	DCR|3VULN|1MDPS|1AART|2CDMG|1MSE	135VULN|23CDMG|3BPWR|4AART|6RCR|7MSE|8DMSP|9ERES|aMDPS
104	63263 13312	   	207.61	DCR|2VULN|2AART|2DMG|1DUR	16VULN|2aAART|3RMIN|45DMG|7RCR|8LWND|9DUR
105	21464 12334	   	207.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1BEXP|258VULN|3MBVNT|45DMG|5BPWR|6ASPD|7CDMG|9LHND|aRCR
106	21464 12364	   	207.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1BEXP|258VULN|3MBVNT|45DMG|5BPWR|6ASPD|7CDMG|9FEWX|aRCR
107	21464 12374	   	207.59	DCR|3VULN|2DMG|1ASPD|1CDMG	1BEXP|258VULN|3MBVNT|45DMG|5BPWR|6ASPD|7CDMG|9LWND|aRCR
108	63663 13314	   	207.51	DCR|2VULN|2AART|2DMG|1DUR	16VULN|2aAART|3AME|45DMG|7RCR|8MBVNT|9DUR
109	41464 12334	   	207.49	DCR|3VULN|2DMG|1ASPD|1CDMG	1LWND|258VULN|3MBVNT|45DMG|5BPWR|6ASPD|7CDMG|9LEGI|aRCR
110	63563 13314	   	207.41	DCR|2VULN|2AART|2DMG|1DUR	16VULN|2aAART|3TLV|45DMG|7RCR|8MBVNT|9DUR
111	62122 15524	 * 	207.28	DCR|2VULN|2CDMG|1AART|1ASPD|1DMG	13VULN|23CDMG|3BPWR|4AART|5ERES|6DMG|7LIT|8RCR|9MBVNT|aASPD
112	21464 14446	 * 	207.19	DCR|4VULN|2DMG|1ASPD	1BEXP|2589VULN|3MBVNT|45DMG|5BPWR|6ASPD|7DMSP|aRCR
113	61221 61411	   	206.82	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB	124VULN|3RMIN|5CDMG|6ZMB|7AART|8RCR|9MLV|aMDPS
114	61221 61431	   	206.72	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB	124VULN|3RMIN|5CDMG|6ZMB|7AART|8RCR|9TLV|aMDPS
115	21464 12438	 * 	206.71	DCR|2VULN|2DMG|2AAC|1ASPD|1CDMG	1BEXP|25VULN|3MBVNT|45DMG|5BPWR|6ASPD|7CDMG|8RCR|9aAAC
116	62111 22635	   	206.60	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DUR	134VULN|23CDMG|3BPWR|5FEWX|6ASPD|7LIT|8DUR|9RCR|aMDPS
117	62111 23135	   	206.60	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DUR	134VULN|23CDMG|3BPWR|5FEWX|6ASPD|7DUR|8LIT|9RCR|aMDPS
118	63124 21236	 * 	206.59	DCR|2VULN|1MDPS|2ASPD|3CDMG|1AART	18VULN|2AART|3MDPS|4LHND|58ASPD|68aCDMG|7LEGI|8BPWR|9RCR
119	62114 12433	 * 	206.35	DCR|3VULN|3CDMG|1ASPD|1DMG|1SELL	134VULN|235CDMG|3BPWR|6ASPD|7SELL|8LHND|9RCR|aDMG
120	61122 66131	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8FEWX|9LHND|aASPD
121	61122 66211	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9aRCVC
122	61122 66212	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9RCVC|aBEXP
123	61122 66213	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9RCVC|aLWND
124	61122 66223	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9RPLT|aDMSP
125	61122 66232	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9CGEN|aBEXP
126	61122 66233	   	206.34	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9CGEN|aLWND
127	61122 66222	   	206.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8ASPD|9RPLT|aERES
128	61122 66331	   	206.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	124VULN|3DMG|5CDMG|6ZMB|7RCR|8LHND|9LEGI|aASPD
129	62225 41231	   	206.15	DCR|2VULN|2AART|1MDPS|2CDMG	15VULN|23CDMG|49AART|6RCR|7RMIN|8LHND|aMDPS
130	62225 41331	   	206.15	DCR|2VULN|2AART|1MDPS|2CDMG	15VULN|23CDMG|49AART|6RCR|7RMIN|8LWND|aMDPS
131	62225 42111	   	206.15	DCR|2VULN|2AART|1MDPS|2CDMG	15VULN|23CDMG|48AART|6RCR|7LHND|9MLV|aMDPS
132	62225 42131	   	206.05	DCR|2VULN|2AART|1MDPS|2CDMG	15VULN|23CDMG|48AART|6RCR|7LHND|9TLV|aMDPS
133	62225 42231	   	206.05	DCR|2VULN|2AART|1MDPS|2CDMG|1AAC	15VULN|23CDMG|49AART|6RCR|7LHND|8AAC|aMDPS
134	62122 16411	 * 	206.04	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG	13VULN|23CDMG|3BPWR|4AART|57ERES|6DMG|8RCR|9MLV|aMDPS
135	46253 24334	 * 	206.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2DUR|3VULN|4DMG|5MBVNT|6RCR|78ASPD|9AART|aCDMG
136	61121 36624	   	205.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	124VULN|3DMG|5MBVNT|6RPLT|7AART|8ZMB|9RCR|aCDMG
137	62122 16431	   	205.94	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG	13VULN|23CDMG|3BPWR|4AART|57ERES|6DMG|8RCR|9TLV|aMDPS
138	62125 63221	   	205.81	DCR|3VULN|1MDPS|2CDMG|1AART	135VULN|23CDMG|3BPWR|4AART|69ERES|7RCR|8LHND|aMDPS
139	62125 63321	   	205.81	DCR|3VULN|1MDPS|1AART|2CDMG	135VULN|23CDMG|3BPWR|4AART|69ERES|7RCR|8LWND|aMDPS
140	62421 12325	 * 	205.79	DCR|3VULN|1AART|2CDMG|3DUR	19aVULN|2aCDMG|3LHND|4CANARM|58aDUR|6AART|7RCR|aBPWR
141	62125 63121	   	205.71	DCR|3VULN|1MDPS|1AART|2CDMG|1MSE	135VULN|23CDMG|3BPWR|4AART|69ERES|7RCR|8MSE|aMDPS
142	61451 12112	   	205.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	12VULN|3RPLT|48AART|5DMG|6CDMG|79DUR|aRCR
143	63441 12112	   	205.51	DCR|2VULN|2AART|1DMG|1CDMG|2DUR	14VULN|28AART|3RPLT|5DMG|6CDMG|79DUR|aRCR
144	62121 13426	 * 	205.48	DCR|2VULN|1AART|2CDMG|1DMG|1NUKE	13VULN|23CDMG|3BPWR|4AART|5BEXP|6BELT|7MULARM|8DMG|9RCR|aNUKE
145	15124 11226	   	205.46	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1RCVC|2LHND|3aDMG|4VULN|5DUST|6aASPD|7ZMB|8RCR|9aCDMG|aBPWR
146	22124 11226	   	205.46	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	12BEXP|3aDMG|4VULN|5DUST|6aASPD|7ZMB|8RCR|9aCDMG|aBPWR
147	21463 21282	   	205.39	DCR|2VULN|2DMG|1AART|1ASPD	18BEXP|28VULN|3MBVNT|48DMG|5RPLT|6RCR|7AART|8BPWR|9ASPD|aFEWX
148	21463 21283	   	205.39	DCR|2VULN|2DMG|1AART|1ASPD	18BEXP|28VULN|3MBVNT|48DMG|5RPLT|6RCR|7AART|8BPWR|9ASPD|aLWND
149	62221 51522	   	205.35	DCR|3VULN|1AART|2CDMG|1DMG	179VULN|23CDMG|4AART|59BEXP|69LIT|8RCR|9BPWR|aDMG
150	21463 21281	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD|1MSE	18BEXP|28VULN|3MBVNT|48DMG|5RPLT|6RCR|7AART|8BPWR|9ASPD|aMSE
151	21463 21284	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	18BEXP|28VULN|3MBVNT|48DMG|5RPLT|6RCR|7AART|8BPWR|9ASPD|aERES
152	61122 13134	 * 	205.28	DCR|4VULN|1MDPS|2DMG|1CDMG	124aVULN|37DMG|5CDMG|6MDPS|8LIT|9RCR
153	62125 41213	   	205.26	DCR|3VULN|2AART|2CDMG	135VULN|23CDMG|3BPWR|4aAART|6RCR|7RMIN|8LHND|9CGEN
154	62125 41232	   	205.26	DCR|3VULN|2AART|2CDMG	135VULN|23CDMG|3BPWR|49AART|6RCR|7RMIN|8LHND|aAME
155	62125 41233	   	205.26	DCR|3VULN|2AART|2CDMG	135VULN|23CDMG|3BPWR|49AART|6RCR|7RMIN|8LHND|aBEXP
156	62125 41313	   	205.26	DCR|3VULN|2AART|2CDMG	135VULN|23CDMG|3BPWR|4aAART|6RCR|7RMIN|8LWND|9CGEN
157	62125 41332	   	205.26	DCR|3VULN|2AART|2CDMG	135VULN|23CDMG|3BPWR|49AART|6RCR|7RMIN|8LWND|aAME
