0	Index      	 *	Score 	Summary	Detail	
1	26626 11132	 * 	221.22	DCR|3VULN|3DMG|1AART|1DUR	1aLHND|24aVULN|3FEWX|5AART|6DUR|78aDMG|9RCR|aBPWR
20	44324 12313	   	207.88	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1MDPS|2aVULN|3AART|4CDMG|5aFEWX|6DUR|7RCR|8LWND|9aDMG|aBPWR
21	32331 51614	   	207.66	DCR|4VULN|2AART|1ZMB	1CGEN|2LHND|3457VULN|6RCR|89AART|aZMB
22	32331 65631	   	207.62	DCR|4VULN|1AART|1DMG|1DUR	1CGEN|2LHND|3456VULN|7RCR|8AART|9DUR|aDMG
23	32331 65633	   	207.62	DCR|4VULN|1AART|1ASPD|1DUR	1CGEN|2LHND|3456VULN|7RCR|8AART|9DUR|aASPD
24	33331 65621	   	207.52	DCR|4VULN|1AART|1DMG|1DUR	1CGEN|2DUR|3456VULN|7RCR|8AART|9DUST|aDMG
25	33331 65623	   	207.52	DCR|4VULN|1AART|1ASPD|1DUR	1CGEN|2DUR|3456VULN|7RCR|8AART|9DUST|aASPD
26	26626 11232	   	207.47	DCR|3VULN|2DMG|1AART|1DUR	1aLHND|24aVULN|3FEWX|5AART|6DUR|7aDMG|8RCVC|9RCR|aBPWR
27	33331 51613	   	206.94	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3457VULN|6RCR|89AART|aRCVC
28	43121 62334	 * 	206.07	DCR|2MDPS|2VULN|2AART|1DMG|1CDMG|1DUR	16MDPS|29AART|3DUR|4CDMG|58VULN|7RCR|aDMG
29	41321 11413	   	205.88	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1MDPS|2aLHND|3AART|4CDMG|5aVULN|6DUR|7FEWX|8RCR|9aDMG|aBPWR
30	43521 11413	   	205.88	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|1DUR	1MDPS|2AART|3aLHND|4CDMG|5aVULN|6DUR|7FEWX|8RCR|9aDMG|aBPWR
31	33331 53155	 * 	205.81	DCR|4VULN|1AART|1CDMG|1DUR	1CGEN|2DUR|3459VULN|6RCR|7CDMG|8FEWX|aAART
32	33331 51611	   	205.64	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3457VULN|6RCR|89AART|aMLV
33	33331 51612	   	205.64	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3457VULN|6RCR|89AART|aRPLT
34	33331 51615	   	205.64	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3457VULN|6RCR|89AART|aLIT
35	33331 51616	   	205.64	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3457VULN|6RCR|89AART|aLHND
36	33331 51634	   	205.14	DCR|4VULN|1AART|2DUR|1ZMB	1CGEN|29DUR|3457VULN|6RCR|8AART|aZMB
37	33331 53163	 * 	205.07	DCR|3VULN|1MDPS|1ASPD|1CDMG|1DUR	1CGEN|2DUR|345VULN|6RCR|7CDMG|8FEWX|9ASPD|aMDPS
38	33331 65613	   	204.94	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3456VULN|7RCR|89AART|aRCVC
39	35422 32361	 * 	204.24	DCR|3VULN|1ASPD|1DMG|1CDMG|1ZMB	1CGEN|2DMG|39aVULN|4CDMG|5LEGI|6ASPD|7ZMB|8RCR
40	26622 53331	   	204.12	DCR|4VULN|1ASPD|1CDMG|1ZMB	1LHND|245aVULN|3FEWX|6RCR|7CDMG|8ASPD|9ZMB
41	33331 56115	   	203.87	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1CGEN|2DUR|345VULN|6RCR|7DMG|8ZMB|9SELL|aAART
42	43121 62331	 * 	203.84	DCR|2MDPS|3VULN|2AART|1CDMG|1DUR	16MDPS|29AART|3DUR|4CDMG|58aVULN|7RCR
43	33331 51652	 * 	203.82	DCR|5VULN|1AART|1DUR	1CGEN|2DUR|3457aVULN|6RCR|8AART|9BELT
44	66333 52132	 * 	203.74	DCR|4VULN|3ZMB|1ASPD	1RMIN|2349VULN|579ZMB|6RCR|89MLV|9BPWR|aASPD
45	33331 65611	   	203.64	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3456VULN|7RCR|89AART|aMLV
46	33331 65612	   	203.64	DCR|4VULN|2AART|1DUR	1CGEN|2DUR|3456VULN|7RCR|89AART|aRPLT
47	22446 11132	   	203.39	DCR|3DMG|2VULN|1AART|1DUR	12aLHND|2aBPWR|3aVULN|4FEWX|5AART|6DUR|78aDMG|9RCR
48	22456 11132	   	203.39	DCR|3DMG|2VULN|1AART|1DUR	12aLHND|2aBPWR|3aVULN|4BEXP|5AART|6DUR|78aDMG|9RCR
49	26626 11133	   	203.19	DCR|3DMG|2VULN|1AART|1DUR	1LHND|24VULN|3FEWX|5AART|6DUR|78aDMG|9RCR
50	26626 21133	   	203.19	DCR|3DMG|2VULN|1AART|1DUR	1LHND|24VULN|3FEWX|5AART|68aDMG|7DUR|9RCR
51	41633 42222	 * 	202.97	DCR|2VULN|1MDPS|1AART|2CDMG|1DMG|2DUR	1MDPS|29LHND|39CDMG|48DUR|5DMG|69VULN|7RCR|9BPWR|aAART
52	33331 53612	 * 	202.46	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9RCVC|aMDPS
53	63622 26223	 * 	202.24	DCR|2ASPD|3CDMG|1VULN|1DMG|2DUR	1RMIN|29DUR|3DMG|49aCDMG|5LHND|6RCR|7VULN|89ASPD|9BPWR
54	33331 53161	   	202.10	DCR|4VULN|1ASPD|1CDMG|1DUR	1CGEN|2DUR|345aVULN|6RCR|7CDMG|8FEWX|9ASPD
55	33331 53352	   	202.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1CGEN|2DUR|345aVULN|6RCR|7CDMG|8ERES|9ASPD
56	33331 51234	 * 	201.74	DCR|5VULN|1CDMG|2DUR	189CGEN|29DUR|34579VULN|6RCR|9BPWR|aCDMG
57	33331 56162	   	201.70	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2DUR|345VULN|6RCR|7DMG|8ZMB|9ASPD|aRCVC
58	33332 56163	   	201.39	DCR|2VULN|1MDPS|1ASPD|1DMG|1ZMB|1DUR	15CGEN|2DUR|34VULN|6RCR|7DMG|8ZMB|9ASPD|aMDPS
59	32331 51661	   	201.32	DCR|4VULN|1AART|1DMG	1CGEN|2LHND|3457VULN|6RCR|8AART|9BEXP|aDMG
60	32331 51663	   	201.32	DCR|4VULN|1AART|1ASPD	1CGEN|2LHND|3457VULN|6RCR|8AART|9BEXP|aASPD
61	32331 56511	   	201.32	DCR|4VULN|1AART|1ASPD	1CGEN|2LHND|345aVULN|6RCR|7AART|8RPLT|9ASPD
62	32331 51621	   	201.22	DCR|4VULN|1AART|1DMG	1CGEN|2LHND|3457VULN|6RCR|8AART|9DUST|aDMG
63	32331 51623	   	201.22	DCR|4VULN|1AART|1ASPD	1CGEN|2LHND|3457VULN|6RCR|8AART|9DUST|aASPD
64	33331 51242	   	200.86	DCR|4VULN|1MDPS|1CDMG|1DUR	18CGEN|2DUR|3457VULN|6RCR|9CDMG|aMDPS
65	33331 53635	   	200.86	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9LIT|aMDPS
66	33331 53662	   	200.86	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9AELBLL|aMDPS
67	33331 53345	   	200.76	DCR|4VULN|1MDPS|1CDMG|1DUR	1CGEN|2DUR|3459VULN|6RCR|7CDMG|8ERES|aMDPS
68	33332 53224	   	200.67	DCR|3VULN|2ASPD|1CDMG|1DUR	15aCGEN|2DUR|34aVULN|6RCR|7CDMG|8LIT|9aASPD|aBPWR
69	44311 12334	   	200.67	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	1MDPS|28VULN|39AART|4BEXP|5RCVC|6CDMG|7RCR|aDMG
70	24524 12331	 * 	200.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1LHND|29ASPD|3TLV|4CDMG|5DMG|6aVULN|7ZMB|8RCR
71	35422 32331	   	200.63	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB	1CGEN|2DMG|3aVULN|4CDMG|5LEGI|69ASPD|7ZMB|8RCR
72	33331 53165	   	200.47	DCR|3VULN|2ASPD|1CDMG|1DUR	1CGEN|2DUR|345VULN|6RCR|7CDMG|8FEWX|9aASPD
73	33331 56142	   	200.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2DUR|345VULN|6RCR|7DMG|8ZMB|9LHND|aASPD
74	33331 56161	   	200.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1CGEN|2DUR|345VULN|6RCR|7DMG|8ZMB|9ASPD|aERES
75	33331 54633	 * 	200.26	DCR|3VULN|1AART|3DUR|1CDMG	1CGEN|279DUR|345VULN|6RCR|8AART|aCDMG
76	33332 51614	   	200.12	DCR|3VULN|2AART|1ZMB|1DUR	15CGEN|2DUR|347VULN|6RCR|89AART|aZMB
77	32331 51651	   	200.08	DCR|4VULN|1MDPS|1AART	1CGEN|2LHND|3457VULN|6RCR|8AART|9BELT|aMDPS
78	33331 51335	 * 	200.01	DCR|5VULN|1DMG|1DUR	1CGEN|2DUR|3457aVULN|6RCR|8DUST|9DMG
79	33331 51365	 * 	200.01	DCR|5VULN|1ASPD|1DUR	1CGEN|2DUR|3457aVULN|6RCR|8DUST|9ASPD
80	32331 51626	   	199.98	DCR|4VULN|1MDPS|1AART	1CGEN|2LHND|3457VULN|6RCR|8AART|9DUST|aMDPS
81	33331 65234	   	199.74	DCR|5VULN|1CDMG|2DUR	189CGEN|29DUR|34569VULN|7RCR|9BPWR|aCDMG
82	44623 21221	 * 	199.69	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|259VULN|34CDMG|6RCR|79aLWND|89ASPD|9BPWR
83	44623 21222	   	199.69	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|259VULN|34CDMG|6RCR|79LWND|89ASPD|9BPWR|aCGEN
84	44623 21223	   	199.69	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|259VULN|34CDMG|6RCR|79LWND|89ASPD|9BPWR|aBEXP
85	44321 22314	 * 	199.62	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1MDPS|258VULN|3AART|4CDMG|69FEWX|7RCR|aDMG
86	44321 22362	 * 	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|258VULN|3AART|4CDMG|6FEWX|7RCR|9TSLFST|aASPD
87	44321 62321	 * 	199.52	DCR|3VULN|1MDPS|1AART|2CDMG|1NUKE	1MDPS|258VULN|3AART|4aCDMG|6LWND|7RCR|9NUKE
88	44321 62322	   	199.52	DCR|3VULN|1MDPS|1AART|1NUKE|1CDMG	1MDPS|258VULN|3AART|4CDMG|6LWND|7RCR|9NUKE|aLEGI
89	44321 62323	   	199.52	DCR|3VULN|1MDPS|1AART|1NUKE|1CDMG	1MDPS|258VULN|3AART|4CDMG|6aLWND|7RCR|9NUKE
90	41633 42221	 * 	199.25	DCR|2VULN|1MDPS|2CDMG|1ASPD|1DMG|2DUR	1MDPS|29LHND|39CDMG|48DUR|5DMG|69VULN|7RCR|9BPWR|aASPD
91	32331 65621	   	199.22	DCR|4VULN|1AART|1DMG	1CGEN|2LHND|3456VULN|7RCR|8AART|9DUST|aDMG
92	32331 65623	   	199.22	DCR|4VULN|1AART|1ASPD	1CGEN|2LHND|3456VULN|7RCR|8AART|9DUST|aASPD
93	33331 54621	   	198.92	DCR|3VULN|1AART|1DMG|2DUR	1CGEN|27DUR|345VULN|6RCR|8AART|9DUST|aDMG
94	33331 54623	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	1CGEN|27DUR|345VULN|6RCR|8AART|9DUST|aASPD
95	26232 83374	   	198.71	DCR|3VULN|2DMG|1AART|1SELL	1LHND|269VULN|3MBVNT|4SELL|56DMG|6BPWR|7ERES|8RCR|aAART
96	32331 51613	   	198.63	DCR|4VULN|2AART	1CGEN|2LHND|3457VULN|6RCR|89AART|aRCVC
97	44311 12331	   	198.44	DCR|3VULN|2AART|1MDPS|1CDMG	1MDPS|28aVULN|39AART|4BEXP|5RCVC|6CDMG|7RCR
98	63625 13311	 * 	198.21	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1RMIN|2DUR|3DMG|4CDMG|5FEWX|6AART|7ZMB|8RCR|9ASPD|aVULN
99	33331 65335	   	198.01	DCR|5VULN|1DMG|1DUR	1CGEN|2DUR|3456aVULN|7RCR|8DUST|9DMG
100	33331 53611	   	197.90	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3458aVULN|6RCR|7CDMG|9RCVC
101	32333 66314	 * 	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1CGEN|2LHND|34VULN|5AAC|6ASPD|7AART|8CDMG|9RCR|aDMG
102	33331 66325	   	197.82	DCR|5VULN|1AART|1DUR	1CGEN|2DUR|34567VULN|8FEWX|9RCR|aAART
103	66332 53323	   	197.73	DCR|3VULN|2AART|1CDMG	1RMIN|234VULN|5CGEN|6RCR|7CDMG|8LIT|9aAART
104	26212 17364	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|279VULN|3MBVNT|4AME|5CDMG|6ASPD|8RCR|aAART
105	26223 37374	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|249VULN|3MBVNT|5CDMG|6ASPD|7CGEN|8RCR|aAART
106	26223 33374	   	197.52	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|249VULN|3MBVNT|5CDMG|6ASPD|7ERES|8RCR|aAART
107	41321 41413	   	197.48	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1MDPS|2aLHND|3AART|4CDMG|5aVULN|6DUST|7FEWX|8RCR|9aDMG|aBPWR
108	41321 43413	   	197.48	DCR|2VULN|1MDPS|2DMG|1AART|1CDMG	1MDPS|2aLHND|3AART|4CDMG|5aVULN|6DUST|7BEXP|8RCR|9aDMG|aBPWR
109	32331 51611	   	197.33	DCR|4VULN|2AART	1CGEN|2LHND|3457VULN|6RCR|89AART|aMLV
110	32331 51612	   	197.33	DCR|4VULN|2AART	1CGEN|2LHND|3457VULN|6RCR|89AART|aRPLT
111	32331 51615	   	197.33	DCR|4VULN|2AART	1CGEN|2LHND|3457VULN|6RCR|89AART|aLIT
112	32331 51616	   	197.33	DCR|4VULN|2AART	1CGEN|2aLHND|3457VULN|6RCR|89AART
113	26626 23332	   	197.16	DCR|3VULN|2DMG|1AART	1aLHND|247VULN|3aFEWX|5AART|6aDMG|8LEGI|9RCR|aBPWR
114	45323 31632	 * 	197.16	DCR|3VULN|1MDPS|2DMG|1AART	1MDPS|26aFEWX|3DMSP|48aVULN|5AART|7aDMG|9RCR|aBPWR
115	33331 56211	   	197.00	DCR|3VULN|1ASPD|1DMG|1DUR	1CGEN|2DUR|345VULN|6RCR|7DMG|8SPLREG|9DMSP|aASPD
116	33331 56233	 * 	197.00	DCR|3VULN|1DMG|1NUKE|1DUR	1CGEN|2DUR|345VULN|6RCR|7DMG|8SPLREG|9BEXP|aNUKE
117	26626 23333	   	196.96	DCR|3VULN|2DMG|1AART	1LHND|247VULN|3FEWX|5AART|6aDMG|8LEGI|9RCR
118	44323 12163	   	196.84	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2ZMB	1MDPS|28VULN|3AART|4CDMG|58LIT|68ZMB|7RCR|8BPWR|9ASPD|aRCVC
119	32331 65613	   	196.63	DCR|4VULN|2AART	1CGEN|2LHND|3456VULN|7RCR|89AART|aRCVC
120	26622 53332	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1LHND|245VULN|3FEWX|6RCR|7CDMG|8ASPD|9ZMB|aDUR
121	33331 53135	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1CGEN|2DUR|345VULN|6RCR|7CDMG|8FEWX|9ZMB|aASPD
122	33331 53225	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1CGEN|2DUR|345VULN|6RCR|7CDMG|8LIT|9ASPD|aZMB
123	63313 26631	   	196.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1RMIN|2DUR|37aVULN|4MLV|5CDMG|6RCR|8ASPD|9ZMB
124	33331 54613	   	196.34	DCR|3VULN|2AART|2DUR	1CGEN|27DUR|345VULN|6RCR|89AART|aRCVC
125	33331 51241	   	196.29	DCR|5VULN|1CDMG|1DUR	18CGEN|2DUR|3457aVULN|6RCR|9CDMG
126	33331 53152	   	196.29	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3459aVULN|6RCR|7CDMG|8FEWX
127	33331 53642	   	196.29	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3458aVULN|6RCR|7CDMG|9FEWX
128	33331 53661	   	196.29	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3458aVULN|6RCR|7CDMG|9AELBLL
129	33331 53344	   	196.19	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3459aVULN|6RCR|7CDMG|8ERES
130	33331 53652	   	196.19	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3458aVULN|6RCR|7CDMG|9DUST
131	33331 51633	   	196.11	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3457VULN|6RCR|8AART|aRCVC
132	33331 55135	   	196.08	DCR|4VULN|1DMG|1ZMB|1DUR	1CGEN|2DUR|345aVULN|6RCR|7ERES|8ZMB|9DMG
133	33331 56135	   	196.08	DCR|4VULN|1DMG|1ZMB|1DUR	1CGEN|2DUR|345aVULN|6RCR|7DMG|8ZMB|9ERES
134	33331 56112	   	195.94	DCR|4VULN|1DMG|1ZMB|1DUR|1SELL	1CGEN|2DUR|345aVULN|6RCR|7DMG|8ZMB|9SELL
135	65124 12331	   	195.63	DCR|3VULN|2AART|1MDPS|1CDMG	1RMIN|29AART|3AME|48aVULN|5MDPS|6CDMG|7RCR
136	44323 12161	   	195.54	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2ZMB	1MDPS|28VULN|3AART|4CDMG|58LIT|68ZMB|7RCR|8BPWR|9ASPD|aAME
137	44323 12162	   	195.54	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|2ZMB	1MDPS|28VULN|3AART|4CDMG|58LIT|68ZMB|7RCR|8BPWR|9ASPD|aRPLT
138	32331 51652	   	195.51	DCR|5VULN|1AART	1CGEN|2LHND|3457aVULN|6RCR|8AART|9BELT
139	44321 22311	 * 	195.40	DCR|4VULN|1MDPS|1AART|1CDMG	1MDPS|258aVULN|3AART|4CDMG|69FEWX|7RCR
140	32331 65611	   	195.33	DCR|4VULN|2AART	1CGEN|2LHND|3456VULN|7RCR|89AART|aMLV
141	32331 65612	   	195.33	DCR|4VULN|2AART	1CGEN|2LHND|3456VULN|7RCR|89AART|aRPLT
142	44322 12361	   	195.30	DCR|4VULN|1MDPS|1AART|1CDMG	1MDPS|289aVULN|3AART|4CDMG|5ERES|6CGEN|7RCR
143	43121 12321	   	195.24	DCR|2VULN|1MDPS|1AART|2CDMG|1NUKE|2DUR	1MDPS|2AART|36DUR|4aCDMG|58VULN|7RCR|9NUKE
144	43121 12322	   	195.24	DCR|2VULN|1MDPS|1AART|1NUKE|1CDMG|2DUR	1MDPS|2AART|36DUR|4CDMG|58VULN|7RCR|9NUKE|aLHND
145	43121 12323	 * 	195.24	DCR|2VULN|2AART|1MDPS|1NUKE|1CDMG|2DUR	1MDPS|2aAART|36DUR|4CDMG|58VULN|7RCR|9NUKE
146	43121 12324	   	195.24	DCR|2VULN|1MDPS|1AART|1NUKE|1CDMG|2DUR	1MDPS|2AART|36DUR|4CDMG|58VULN|7RCR|9NUKE|aDUST
147	43121 12325	   	195.24	DCR|2VULN|1MDPS|1AART|1NUKE|1CDMG|2DUR|1ZMB	1MDPS|2AART|36DUR|4CDMG|58VULN|7RCR|9NUKE|aZMB
148	43121 12326	   	195.24	DCR|2VULN|1MDPS|1AART|1NUKE|1CDMG|2DUR	1MDPS|2AART|36DUR|4CDMG|58VULN|7RCR|9NUKE|aCGEN
149	63622 26221	   	195.19	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	1RMIN|29DUR|3DMG|49CDMG|5LHND|6RCR|7VULN|89ASPD|9BPWR|aLWND
150	63622 26222	   	195.19	DCR|2ASPD|1VULN|2CDMG|1DMG|2DUR	1RMIN|29DUR|3DMG|49CDMG|5LHND|6RCR|7VULN|89ASPD|9BPWR|aCGEN
151	65223 62311	   	195.13	DCR|3VULN|2AART|2DUR|1AAC	1RMIN|24AART|3aLIT|5AAC|6RCR|78aVULN|9aDUR|aBPWR
152	26626 21232	   	195.13	DCR|3VULN|1AART|1DMG|2DUR	1aLHND|24aVULN|3FEWX|5AART|6DMG|7aDUR|8RCVC|9RCR|aBPWR
153	26232 87334	 * 	195.10	DCR|3VULN|2DMG|1ASPD|1SELL	1LHND|26aVULN|3MBVNT|4SELL|56DMG|6BPWR|7CGEN|8RCR|9ASPD
154	22456 31132	   	195.08	DCR|3DMG|2VULN|1AART	12aLHND|2aBPWR|3aVULN|4BEXP|5AART|6FEWX|78aDMG|9RCR
155	33331 54611	   	195.03	DCR|3VULN|2AART|2DUR	1CGEN|27DUR|345VULN|6RCR|89AART|aMLV
156	33331 54612	   	195.03	DCR|3VULN|2AART|2DUR	1CGEN|27DUR|345VULN|6RCR|89AART|aRPLT
157	45323 31132	 * 	194.98	DCR|3DMG|2VULN|1MDPS|1AART	1MDPS|26aFEWX|3DMSP|4aVULN|5AART|78aDMG|9RCR|aBPWR
158	33331 51631	   	194.81	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3457VULN|6RCR|8AART|aMLV
159	33331 51632	   	194.81	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3457VULN|6RCR|8AART|aRPLT
160	33331 51635	   	194.81	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3457VULN|6RCR|8AART|aLIT
161	33331 51636	   	194.81	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3457VULN|6RCR|8AART|aLHND
162	35422 32362	   	194.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2DMG|39VULN|4CDMG|5LEGI|6ASPD|7ZMB|8RCR|aDUR
163	13351 22153	 * 	194.56	DCR|2VULN|1MDPS|2ASPD|1AART|3DUR	1RPLT|258DUR|3AME|48ASPD|6MDPS|78VULN|8BPWR|9RCR|aAART
164	33331 56251	   	194.53	DCR|3VULN|2DMG|1DUR	1CGEN|2DUR|345VULN|6RCR|7aDMG|8SPLREG|9LIT
165	33331 65241	   	194.29	DCR|5VULN|1CDMG|1DUR	18CGEN|2DUR|3456aVULN|7RCR|9CDMG
166	33331 65633	   	194.11	DCR|4VULN|1AART|2DUR	1CGEN|29DUR|3456VULN|7RCR|8AART|aRCVC
167	26212 17334	 * 	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LHND|27VULN|3MBVNT|4AME|5CDMG|69ASPD|8RCR|aAART
168	26223 37334	   	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LHND|24VULN|3MBVNT|5CDMG|69ASPD|7CGEN|8RCR|aAART
169	33331 53614	   	193.97	DCR|4VULN|1CDMG|1ZMB|1DUR	1CGEN|2DUR|3458VULN|6RCR|7CDMG|9RCVC|aZMB
170	26223 33334	   	193.91	DCR|2VULN|2ASPD|1AART|1CDMG	1LHND|24VULN|3MBVNT|5CDMG|69ASPD|7ERES|8RCR|aAART
171	26228 18334	   	193.91	DCR|2VULN|2ASPD|1AART|1CDMG	1LHND|24VULN|3MBVNT|5ERES|69ASPD|7CDMG|8RCR|aAART
172	26214 77334	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1LHND|27aVULN|3MBVNT|4AME|5DMG|6CDMG|8RCR|9ASPD
173	33336 16111	   	193.90	DCR|5VULN|1CDMG|1DUR	1CGEN|2DUR|3467aVULN|5CDMG|8RCR|9RCVC
174	26622 53321	   	193.79	DCR|4VULN|1ASPD|1CDMG	1LHND|245aVULN|3FEWX|6RCR|7CDMG|8ASPD|9LIT
175	32331 52631	   	193.78	DCR|3VULN|1AART|1DMG|1DUR	1CGEN|27LHND|345VULN|6RCR|8AART|9DUR|aDMG
