0	Index      	 *	Score 	Summary	Detail	
1	21312 26652	 * 	217.16	DCR|3ASPD|2VULN|2DMG|1DUR	19LIT|237ASPD|4CGEN|59VULN|6RCR|89DMG|9BPWR|aDUR
37	21154 23153	   	195.83	DCR|2VULN|2DMG|2ASPD	1LIT|29ASPD|3LWND|4LHND|59DMG|6RCR|7TLV|89VULN|9BPWR|aAELBLL
38	21164 23151	   	195.83	DCR|2VULN|2DMG|2ASPD	1LIT|29ASPD|3LWND|4FEWX|59DMG|6RCR|7TLV|89VULN|9BPWR|aAME
39	21164 23152	   	195.83	DCR|2VULN|2DMG|2ASPD	1LIT|29ASPD|3LWND|4FEWX|59DMG|6RCR|7TLV|89VULN|9BPWR|aRCVC
40	21164 23153	   	195.83	DCR|2VULN|2DMG|2ASPD	1LIT|29ASPD|3LWND|4FEWX|59DMG|6RCR|7TLV|89VULN|9BPWR|aAELBLL
41	21362 32142	 * 	195.24	DCR|3VULN|3ASPD|1AAC|1DUR	168LIT|238ASPD|4AAC|58aVULN|7RCR|8BPWR|9DUR
42	45333 12325	   	194.98	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1BEXP|29ASPD|3DMG|4MLV|59LIT|6ZMB|7RCR|89VULN|9BPWR|aDUR
43	21312 26316	 * 	194.78	DCR|3ASPD|2VULN|1AART	1LIT|237ASPD|48CGEN|5aVULN|6RCR|9AART
44	21214 21355	   	194.19	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	1LIT|29ASPD|3LHND|4DUR|59DMG|6RCR|7VULN|89CGEN|9BPWR|aZMB
45	54251 21111	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2RPLT|3LIT|48aVULN|5AART|6RCR|7DMG|9TLV
46	43214 26311	 * 	193.63	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|2aLIT|3ERES|4DUR|5aDMG|6RCR|7AART|8FEWX|9aVULN|aBPWR
47	25214 26211	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1LIT|2aFEWX|3ERES|4DUR|5aDMG|6RCR|7AART|8DUST|9aVULN|aBPWR
48	43214 26211	   	193.53	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|2aLIT|3ERES|4DUR|5aDMG|6RCR|7AART|8DUST|9aVULN|aBPWR
49	33331 11214	 * 	193.50	DCR|4VULN|1AART|1CDMG	1ERES|24CGEN|3469VULN|4BPWR|5CDMG|7LHND|8RCR|aAART
50	33311 11214	   	193.40	DCR|4VULN|1AART|1CDMG	1ERES|2CGEN|3469VULN|5CDMG|7LHND|8RCR|aAART
51	33341 31262	   	192.47	DCR|3VULN|2ASPD|1CDMG|1DUR	19ERES|2CGEN|389VULN|4RCVC|5CDMG|6DUR|79ASPD|9BPWR|aRCR
52	21312 22351	   	192.09	DCR|2VULN|2ASPD|1AART|1ZMB	1LIT|23ASPD|4CGEN|5aVULN|6RCR|7ZMB|8DUST|9AART
53	21352 22351	   	191.99	DCR|2VULN|2ASPD|1AART|1ZMB	1LIT|23ASPD|4ERES|5aVULN|6RCR|7ZMB|8DUST|9AART
54	54251 21321	   	191.95	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1DUR|2RPLT|3LIT|4aVULN|5AART|6RCR|7DMG|8CDMG|9SELL
55	55138 23221	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2ASPD|3MBVNT|4DMSP|5AART|6aVULN|7RCVC|8RCR|9DMG
56	54251 21311	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUR|2RPLT|3LIT|4VULN|5AART|6RCR|7DMG|8CDMG|9ERES|aASPD
57	21322 22356	 * 	191.77	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1LIT|23ASPD|4RMIN|5VULN|6RCR|7ZMB|8DUST|9AART|aDMG
58	45333 12316	   	191.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1BEXP|2ASPD|3DMG|4MLV|5LIT|6ZMB|7RCR|8VULN|9aAART
59	21114 21216	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1LIT|2ASPD|38LWND|4DUR|5DMG|6RCR|7VULN|9aAART
60	21214 23316	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1LIT|2ASPD|37LHND|4DUR|5DMG|6RCR|8VULN|9aAART
61	21362 22356	   	191.67	DCR|2ASPD|1AART|1VULN|1DMG|1AAC|1ZMB	1LIT|23ASPD|4AAC|5VULN|6RCR|7ZMB|8DUST|9AART|aDMG
62	21312 26615	   	191.07	DCR|3ASPD|2VULN|1DMG	1LIT|237ASPD|4CGEN|5aVULN|6RCR|8DMG|9LHND
63	21312 26625	   	191.07	DCR|3ASPD|2VULN|1DMG	1LIT|237ASPD|4CGEN|5aVULN|6RCR|8DMG|9BEXP
64	21312 26635	   	191.07	DCR|3ASPD|2VULN|1DMG	1LIT|237ASPD|4CGEN|5aVULN|6RCR|8DMG|9LWND
65	45111 73324	   	189.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1BEXP|2ASPD|3MBVNT|4ZMB|5CGEN|6DMG|7RCR|89aVULN
66	21114 26521	   	189.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1LIT|2aASPD|3LWND|4DUR|5DMG|6RCR|7AART|8CGEN|9VULN
67	21214 26521	   	189.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	1LIT|2aASPD|3LHND|4DUR|5DMG|6RCR|7AART|8CGEN|9VULN
68	33331 11216	   	189.79	DCR|4VULN|1ASPD|1CDMG	1ERES|24CGEN|3469VULN|4BPWR|5CDMG|7LHND|8RCR|aASPD
69	21114 26621	 * 	189.75	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1DUR	1LIT|2aASPD|3LWND|4DUR|5DMG|6RCR|7AART|8NUKE|9VULN
70	21214 26621	   	189.75	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1DUR	1LIT|2aASPD|3LHND|4DUR|5DMG|6RCR|7AART|8NUKE|9VULN
71	33311 11216	   	189.69	DCR|4VULN|1ASPD|1CDMG	1ERES|2CGEN|3469VULN|5CDMG|7LHND|8RCR|aASPD
72	33331 15216	   	189.69	DCR|4VULN|1DMG|1CDMG	1ERES|24CGEN|3469VULN|4BPWR|5CDMG|7DUST|8RCR|aDMG
73	33311 15216	   	189.59	DCR|4VULN|1DMG|1CDMG	1ERES|2CGEN|3469VULN|5CDMG|7DUST|8RCR|aDMG
74	55332 15311	   	188.98	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1DUR|29ASPD|3DMG|4MLV|59BEXP|6BELT|7ZMB|89VULN|9BPWR|aRCR
75	21114 22264	   	188.85	DCR|2DMG|2ASPD|1VULN|2DUR|1SELL	19LIT|29ASPD|3LWND|47DUR|59DMG|6RCR|8SELL|9BPWR|aVULN
76	21214 22263	   	188.85	DCR|2DMG|2ASPD|1VULN|2DUR|1SELL	19LIT|29ASPD|3LHND|47DUR|59DMG|6RCR|8SELL|9BPWR|aVULN
77	55123 83333	   	188.83	DCR|2DMG|1VULN|1ASPD|1CDMG|2DUR	16DUR|2ASPD|3MBVNT|4FEWX|5aDMG|7RCR|8VULN|9CDMG
78	33331 12216	   	188.37	DCR|4VULN|1CDMG|1ZMB|1DUR	1ERES|24CGEN|3469VULN|4BPWR|5CDMG|7DUR|8RCR|aZMB
79	33311 12216	   	188.27	DCR|4VULN|1CDMG|1ZMB|1DUR	1ERES|2CGEN|3469VULN|5CDMG|7DUR|8RCR|aZMB
80	15435 32333	 * 	187.91	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	16LHND|2ASPD|3LWND|4aAART|5VULN|7RCR|8CDMG|9ZMB
81	55311 12235	   	187.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2ASPD|3DMG|49VULN|5CGEN|6FEWX|7AART|8DLOT|aRCR
82	21114 26222	 * 	187.89	DCR|2AART|1ASPD|1DMG|1NUKE|1DUR	1LIT|2ASPD|3LWND|4DUR|5DMG|6RCR|79AART|8BASFIG|aNUKE
83	21214 26222	   	187.89	DCR|2AART|1ASPD|1DMG|1NUKE|1DUR	1LIT|2ASPD|3LHND|4DUR|5DMG|6RCR|79AART|8BASFIG|aNUKE
84	21114 22313	   	187.65	DCR|1VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1LIT|2ASPD|3LWND|47DUR|5DMG|6RCR|8VULN|9AART|aAAC
85	21214 22313	   	187.65	DCR|1VULN|1AART|1ASPD|1DMG|1AAC|2DUR	1LIT|2ASPD|3LHND|47DUR|5DMG|6RCR|8VULN|9AART|aAAC
86	31331 42162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24AME|349VULN|49BPWR|5CDMG|6BEXP|7DMSP|89DMG|aRCR
87	31331 46162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24AME|349VULN|49BPWR|5CDMG|67BEXP|89DMG|aRCR
88	31331 52162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24AME|349VULN|49BPWR|5CDMG|6LHND|7DMSP|89DMG|aRCR
89	31331 53162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24AME|349VULN|49BPWR|5CDMG|67LHND|89DMG|aRCR
90	33331 42162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24CGEN|349VULN|49BPWR|5CDMG|6BEXP|7DMSP|89DMG|aRCR
91	33331 46162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24CGEN|349VULN|49BPWR|5CDMG|67BEXP|89DMG|aRCR
92	33331 52162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24CGEN|349VULN|49BPWR|5CDMG|6LHND|7DMSP|89DMG|aRCR
93	33331 53162	   	187.63	DCR|3VULN|2DMG|1CDMG	19ERES|24CGEN|349VULN|49BPWR|5CDMG|67LHND|89DMG|aRCR
94	55138 23224	   	187.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1DUR|2ASPD|3MBVNT|4DMSP|5aAART|6VULN|7RCVC|8RCR|9DMG
95	31311 42162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2AME|349VULN|5CDMG|6BEXP|7DMSP|89DMG|9BPWR|aRCR
96	31311 46162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2AME|349VULN|5CDMG|67BEXP|89DMG|9BPWR|aRCR
97	31311 52162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2AME|349VULN|5CDMG|6LHND|7DMSP|89DMG|9BPWR|aRCR
98	31311 53162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2AME|349VULN|5CDMG|67LHND|89DMG|9BPWR|aRCR
99	33311 42162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2CGEN|349VULN|5CDMG|6BEXP|7DMSP|89DMG|9BPWR|aRCR
100	33311 46162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2CGEN|349VULN|5CDMG|67BEXP|89DMG|9BPWR|aRCR
101	33311 52162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2CGEN|349VULN|5CDMG|6LHND|7DMSP|89DMG|9BPWR|aRCR
102	33311 53162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2CGEN|349VULN|5CDMG|67LHND|89DMG|9BPWR|aRCR
103	33341 11162	   	187.53	DCR|3VULN|2DMG|1CDMG	19ERES|2CGEN|369VULN|4RCVC|5CDMG|7LHND|89DMG|9BPWR|aRCR
104	21312 26323	 * 	187.45	DCR|3ASPD|2VULN|1CDMG	19LIT|237ASPD|489CGEN|59VULN|6RCR|9BPWR|aCDMG
105	33341 15162	   	187.43	DCR|3VULN|2DMG|1CDMG	19ERES|2CGEN|369VULN|4RCVC|5CDMG|7DUST|89DMG|9BPWR|aRCR
106	36311 42162	   	187.43	DCR|3VULN|2DMG|1CDMG	19ERES|2TLV|349VULN|5CDMG|6BEXP|7DMSP|89DMG|9BPWR|aRCR
107	36311 52162	   	187.43	DCR|3VULN|2DMG|1CDMG	19ERES|2TLV|349VULN|5CDMG|6LHND|7DMSP|89DMG|9BPWR|aRCR
108	36311 53162	   	187.43	DCR|3VULN|2DMG|1CDMG	19ERES|2TLV|349VULN|5CDMG|67LHND|89DMG|9BPWR|aRCR
109	62336 42312	   	187.33	DCR|4VULN|2DMG	147MLV|2BEXP|37DMG|5678VULN|7BPWR|9CGEN|aRCR
