0	Index      	 *	Score 	Summary	Detail	
1	35531 21136	 * 	230.86	DCR|4VULN|3DMG|2CDMG	169aVULN|2459CGEN|345DMG|459BPWR|79CDMG|8RCR
17	35531 21113	   	213.33	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|245CGEN|345DMG|45BPWR|7CDMG|8RCR|9AME|aAART
18	35531 21123	   	213.33	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|245CGEN|345DMG|45BPWR|7CDMG|8RCR|9MLV|aAART
19	35534 11113	   	213.33	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|246CGEN|345DMG|46BPWR|7CDMG|8RCR|9AME|aAART
20	35534 11123	   	213.33	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|246CGEN|345DMG|46BPWR|7CDMG|8RCR|9MLV|aAART
21	36153 22224	 * 	213.29	DCR|3VULN|2DMG|1AART|1ZMB	179VULN|2ZMB|39DUST|4LEGI|5RMIN|6RCR|89DMG|9BPWR|aAART
22	35534 21113	   	213.23	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|24CGEN|345DMG|4BPWR|7CDMG|8RCR|9AME|aAART
23	35534 21123	   	213.23	DCR|3DMG|2VULN|1AART|1CDMG	16VULN|24CGEN|345DMG|4BPWR|7CDMG|8RCR|9MLV|aAART
24	12134 24232	 * 	213.18	DCR|3ASPD|2VULN|1AART|1ZMB|1DUR|1SELL	189ASPD|2SELL|35VULN|4DUR|6RCR|7AART|aZMB
25	34152 33523	 * 	212.85	DCR|3ASPD|2VULN|1AART|1DMG|1AAC	19VULN|2AART|39LWND|4AAC|5DMG|6CANARM|7RCR|89aASPD|9BPWR
26	53434 11123	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LHND|2ASPD|3CDMG|4DUR|58VULN|6RCR|7LWND|9DMG|aAART
27	21364 15212	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2LHND|39VULN|4CDMG|5DMG|6RCR|7ASPD|8AART|aDUR
28	53414 12123	   	212.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LHND|2ASPD|3CDMG|4BEXP|58VULN|6RCR|7DUR|9DMG|aAART
29	14434 11123	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUST|3CDMG|4DUR|58VULN|6RCR|7LWND|9DMG|aAART
30	14414 12122	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2DUST|3CDMG|4BEXP|58VULN|6RCR|7DUR|9DMG|aAART
31	31264 15212	   	212.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	19VULN|2LHND|3DUST|4CDMG|5DMG|6RCR|7ASPD|8AART|aDUR
32	36121 15214	 * 	211.95	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	19aVULN|2ZMB|3DUST|4CDMG|5LWND|6RCR|7ASPD|8AART
33	36123 15214	   	211.85	DCR|3VULN|1AART|1ASPD|1CDMG|1ZMB	19aVULN|2ZMB|3DUST|4CDMG|5LEGI|6RCR|7ASPD|8AART
34	31353 31146	 * 	211.68	DCR|4VULN|2AART|1CDMG	1359VULN|25LHND|4BELT|5BPWR|6aAART|7RCR|8CDMG
35	14431 23323	 * 	211.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|2DUR	15ASPD|2DUST|3CDMG|45DUR|5BPWR|6RCR|7VULN|8LWND|9DMG|aAART
36	36414 22342	   	210.79	DCR|3VULN|2DMG|1CDMG|2ZMB	15aVULN|2aZMB|3CDMG|4BEXP|6RCR|7RCVC|8MBVNT|9aDMG|aBPWR
37	12114 23412	 * 	210.65	DCR|3VULN|3ASPD|2ZMB|1DUR|1SELL	17aASPD|2SELL|35aVULN|4BEXP|6RCR|8DUR|9aZMB|aBPWR
38	12134 24214	   	209.88	DCR|2VULN|2ASPD|1AART|1DMG|1DUR|1SELL	18ASPD|2SELL|35VULN|4DUR|6RCR|7AART|9ERES|aDMG
39	12134 24222	   	209.88	DCR|2VULN|2ASPD|1AART|1DMG|1DUR|1SELL	18ASPD|2SELL|35VULN|4DUR|6RCR|7AART|9DUST|aDMG
40	12134 24262	   	209.88	DCR|2VULN|2ASPD|1AART|1DMG|1DUR|1SELL	18ASPD|2SELL|35VULN|4DUR|6RCR|7AART|9LEGI|aDMG
41	34421 12141	 * 	209.75	DCR|3VULN|2AART|1MDPS|1ASPD|1DUR	19aVULN|23AART|4MDPS|5DUR|6RCR|7LHND|8ASPD
42	34423 13141	   	209.75	DCR|3VULN|2AART|1MDPS|1ASPD|1DUR	19aVULN|23AART|4MDPS|5LWND|6RCR|7DUR|8ASPD
43	31341 32125	 * 	209.68	DCR|5VULN|1AART|1DMG	13457VULN|25LHND|5BPWR|6MLV|8DMG|9RCR|aAART
44	31343 32125	   	209.58	DCR|5VULN|1AART|1DMG	13457VULN|2LHND|6MLV|8DMG|9RCR|aAART
45	36414 21342	   	209.18	DCR|3VULN|2DMG|1CDMG|2ZMB	15aVULN|2aZMB|3CDMG|47BEXP|6RCR|8MBVNT|9aDMG|aBPWR
46	21362 34623	   	208.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1BEXP|2LHND|36VULN|4CDMG|5DUR|7ASPD|8RCR|9DMG|aAART
47	31262 34623	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	16VULN|2LHND|3DUST|4CDMG|5DUR|7ASPD|8RCR|9DMG|aAART
48	31353 31124	 * 	208.13	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	135VULN|25LHND|4BELT|5BPWR|6AART|7RCR|8CDMG|9DUR|aNUKE
49	46113 22225	 * 	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	19LWND|2ZMB|39DUST|4ASPD|57VULN|6RCR|89DMG|9BPWR|aCDMG
50	56113 22225	   	208.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	19LHND|2ZMB|39DUST|4ASPD|57VULN|6RCR|89DMG|9BPWR|aCDMG
51	36431 15212	   	207.77	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	19VULN|2ZMB|3CDMG|4aDUR|5LWND|6RCR|7ASPD|8AART
52	16631 31522	 * 	207.72	DCR|4VULN|2ASPD|2ZMB|1DUR	1aASPD|245TLV|345aVULN|45aBPWR|6DUR|7AME|8aZMB|9RCR
53	36433 15212	   	207.67	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	19VULN|2ZMB|3CDMG|4aDUR|5LEGI|6RCR|7ASPD|8AART
54	36513 25222	 * 	207.58	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	18aVULN|2ZMB|3aDMG|4SPLJET|5ASPD|6aERES|7RCR|9AAC|aBPWR
55	36513 25332	 * 	207.58	DCR|3VULN|2DMG|1ASPD|1NUKE|1ZMB	19aVULN|2ZMB|3aDMG|4SPLJET|5ASPD|6aERES|7RCR|8NUKE|aBPWR
56	36513 35222	   	207.58	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	18aVULN|2ZMB|3aDMG|4SPLJET|5ASPD|6aTLV|7RCR|9AAC|aBPWR
57	36533 25222	   	207.48	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	18aVULN|2ZMB|3aDMG|4MSLREG|5ASPD|6aERES|7RCR|9AAC|aBPWR
58	36533 25332	   	207.48	DCR|3VULN|2DMG|1ASPD|1NUKE|1ZMB	19aVULN|2ZMB|3aDMG|4MSLREG|5ASPD|6aERES|7RCR|8NUKE|aBPWR
59	36533 35222	   	207.48	DCR|3VULN|2DMG|1ASPD|1AAC|1ZMB	18aVULN|2ZMB|3aDMG|4MSLREG|5ASPD|6aTLV|7RCR|9AAC|aBPWR
60	12623 33533	 * 	207.14	DCR|3VULN|2ASPD|1DMG|2DUR|2SELL	19ASPD|25SELL|3ERES|469VULN|7RCR|89DUR|9BPWR|aDMG
61	61352 34331	   	206.87	DCR|4VULN|1AART|1DMG|2DUR	17DUR|2LHND|3578VULN|4AART|67CANARM|7BPWR|9DMG|aRCR
62	14411 22622	 * 	206.82	DCR|3ASPD|2VULN|2CDMG|1ZMB	15aASPD|2DUST|3aCDMG|45BEXP|5aBPWR|6RCR|7RCVC|8ZMB|9aVULN
63	15533 15332	 * 	206.76	DCR|3ASPD|2VULN|2DMG	15aASPD|2BEXP|3aDMG|4SPLJET|6LEGI|7RCR|8CGEN|9aVULN|aBPWR
64	35533 36112	   	206.68	DCR|3VULN|3DMG|2ZMB	15aVULN|24CGEN|34aDMG|4aBPWR|6BASARM|7RCR|8LWND|9aZMB
65	15513 15332	   	206.66	DCR|3ASPD|2VULN|2DMG	15aASPD|2BEXP|3aDMG|4BASARM|6LEGI|7RCR|8CGEN|9aVULN|aBPWR
66	36153 22225	   	205.76	DCR|3VULN|2DMG|1CDMG|1ZMB	179VULN|2ZMB|39DUST|4LEGI|5RMIN|6RCR|89DMG|9BPWR|aCDMG
67	35531 11421	 * 	205.71	DCR|3DMG|2VULN|1ASPD|1CDMG	16VULN|24567CGEN|345DMG|456BPWR|8ASPD|9CDMG|aRCR
68	23613 22224	   	205.49	DCR|2VULN|2DMG|1AART|1ASPD	19BEXP|2RMIN|39LHND|4ASPD|57VULN|6RCR|89DMG|9BPWR|aAART
69	36213 51532	   	205.36	DCR|4VULN|2DMG|1ZMB	189aVULN|2ZMB|3aERES|4MULARM|5DUST|6RCR|7aDMG|aBPWR
70	36233 51532	   	205.36	DCR|4VULN|2DMG|1ZMB	189aVULN|2ZMB|3aERES|4SPLJET|5DUST|6RCR|7aDMG|aBPWR
71	23613 22254	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2RMIN|3LHND|4ASPD|57VULN|6RCR|89DMG|aAART
72	52113 22224	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	19LHND|2RMIN|39DUST|4ASPD|57VULN|6RCR|89DMG|9BPWR|aAART
73	52113 22254	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1LHND|2RMIN|3DUST|4ASPD|57VULN|6RCR|89DMG|aAART
74	12212 65331	 * 	205.17	DCR|2ASPD|1VULN|2CDMG|1AART|1DMG|1SELL	18ASPD|2SELL|3AART|4LHND|58LIT|6RCR|78CDMG|8BPWR|9DMG|aVULN
75	12252 63331	 * 	205.17	DCR|2ASPD|1AART|1VULN|2CDMG|1DMG|1SELL	18ASPD|2SELL|3AART|4LWND|58LIT|6RCR|78CDMG|8BPWR|9DMG|aVULN
76	36563 31133	   	205.14	DCR|2VULN|2DMG|2ASPD|2ZMB|1SELL	19VULN|29ZMB|3aDMG|4AME|5SELL|69ASPD|7MBVNT|8RCR|9BPWR
77	12136 12633	 * 	205.09	DCR|1SPLARM|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR|1SELL	1ASPD|2SELL|36VULN|4DUR|5CDMG|7DMG|8ZMB|9SPLARM|aRCR
78	31353 31142	 * 	204.97	DCR|4VULN|1MDPS|1AART|1CDMG	1359VULN|25LHND|4BELT|5BPWR|6AART|7RCR|8CDMG|aMDPS
79	36133 61112	 * 	204.93	DCR|2VULN|2ASPD|1DMG|1CDMG|1ZMB|1DUR	15VULN|2ZMB|3DUST|4DMG|67ASPD|8DUR|9CDMG|aRCR
80	12114 24232	   	204.87	DCR|3ASPD|2VULN|1AART|1ZMB|1SELL	189ASPD|2SELL|35VULN|4BEXP|6RCR|7AART|aZMB
81	35431 15233	 * 	204.87	DCR|2VULN|1MDPS|2ASPD|2CDMG|2DUR	19VULN|2CGEN|39CDMG|48DUR|5LWND|6RCR|79ASPD|9BPWR|aMDPS
82	12135 14633	 * 	204.24	DCR|3VULN|2ASPD|1DMG|1DUR|1SELL	19ASPD|2SELL|389VULN|4DUR|5FEWX|6RCR|79AME|9BPWR|aDMG
83	12134 23233	 * 	204.14	DCR|3VULN|2ASPD|1DMG|1DUR|1SELL	19ASPD|2SELL|359VULN|4DUR|6RCR|7ERES|89FEWX|9BPWR|aDMG
84	12134 23333	 * 	204.14	DCR|3VULN|2ASPD|1DMG|1DUR|1SELL	19ASPD|2SELL|359VULN|4DUR|6RCR|7ERES|89LHND|9BPWR|aDMG
85	36434 23233	   	204.11	DCR|3VULN|2CDMG|1DMG|1ZMB|1DUR	159VULN|2ZMB|39CDMG|4DUR|6RCR|7ERES|89FEWX|9BPWR|aDMG
86	36434 23333	   	204.11	DCR|3VULN|2CDMG|1DMG|1ZMB|1DUR	159VULN|2ZMB|39CDMG|4DUR|6RCR|7ERES|89LHND|9BPWR|aDMG
87	12134 21533	 * 	204.04	DCR|3VULN|2ASPD|1DMG|1DUR|1SELL	19ASPD|2SELL|359VULN|4DUR|6RCR|7BEXP|89TLV|9BPWR|aDMG
88	12134 22533	 * 	204.04	DCR|3VULN|2ASPD|1DMG|1DUR|1SELL	19ASPD|2SELL|359VULN|4DUR|6RCR|7FEWX|89TLV|9BPWR|aDMG
89	12135 13633	 * 	204.04	DCR|3VULN|2ASPD|1DMG|1DUR|1SELL	19ASPD|2SELL|389VULN|4DUR|5FEWX|6RCR|79ERES|9BPWR|aDMG
90	21364 15211	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|2LHND|39VULN|4CDMG|5DMG|6RCR|7ASPD|8AART|aDMSP
91	21364 15213	   	203.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|2LHND|39VULN|4CDMG|5DMG|6RCR|7ASPD|8AART|aFEWX
92	34331 25324	   	203.94	DCR|3VULN|2AART|1CDMG|1DUR	16aVULN|28AART|3DUST|4BEXP|5DUR|7RCR|9CDMG
93	34442 31131	   	203.94	DCR|3VULN|2AART|1CDMG|1DUR	14aVULN|23AART|5DUR|6BELT|7RCR|8CDMG|9ERES
94	34442 31331	   	203.94	DCR|3VULN|2AART|1CDMG|1DUR	14aVULN|23AART|5DUR|6BELT|7RCR|8ERES|9CDMG
95	31264 15211	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19VULN|2LHND|3DUST|4CDMG|5DMG|6RCR|7ASPD|8AART|aDMSP
96	31264 15213	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	19VULN|2LHND|3DUST|4CDMG|5DMG|6RCR|7ASPD|8AART|aFEWX
97	52113 22236	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|2RMIN|3DUST|4ASPD|57VULN|6RCR|8DMG|9AART|aCDMG
98	16631 33141	 * 	203.81	DCR|4VULN|1ASPD|1DMG|1DUR	1ASPD|245TLV|345aVULN|45BPWR|6DUR|7RCR|8DMSP|9DMG
99	34255 32231	 * 	203.79	DCR|1SPLARM|2VULN|2AART|1DMG|2DUR	19VULN|28AART|3AME|49DUR|5DMG|6SPLARM|79ERES|9BPWR|aRCR
100	15552 21122	 * 	203.45	DCR|3DMG|2ASPD|1VULN|1CDMG	1aASPD|24BEXP|34aDMG|4aBPWR|5CDMG|6VULN|7MBVNT|8RCR|9aMLV
101	53552 21122	   	203.45	DCR|3DMG|2ASPD|1VULN|1CDMG	1aLHND|24ASPD|34aDMG|4aBPWR|5CDMG|6VULN|7MBVNT|8RCR|9aMLV
102	16633 36112	   	203.31	DCR|4VULN|2ASPD|2ZMB	1aASPD|24TLV|345aVULN|4aBPWR|6BASARM|7RCR|8LWND|9aZMB
103	15441 22212	   	203.31	DCR|3ASPD|1VULN|2CDMG|2DUR|2ZMB	15aASPD|2BEXP|3aCDMG|45DUR|5aBPWR|6RCR|7RCVC|8VULN|9aZMB
104	15552 21112	   	203.25	DCR|3DMG|2ASPD|1VULN|1CDMG	1aASPD|24BEXP|34aDMG|4aBPWR|5CDMG|6VULN|7MBVNT|8RCR|9aTLV
105	53552 21112	   	203.25	DCR|3DMG|2ASPD|1VULN|1CDMG	1aLHND|24ASPD|34aDMG|4aBPWR|5CDMG|6VULN|7MBVNT|8RCR|9aTLV
106	35531 21162	   	203.10	DCR|3DMG|2VULN|1CDMG|2DUR	16VULN|245CGEN|345DMG|45BPWR|7CDMG|8RCR|9aDUR
107	35533 15231	   	203.04	DCR|4VULN|3DMG|1SELL	1579VULN|249CGEN|347DMG|479BPWR|679LWND|8SELL|aRCR
108	12134 21312	   	202.97	DCR|3VULN|2ASPD|2DUR|2ZMB|1SELL	1aASPD|2SELL|35aVULN|48DUR|6RCR|7BEXP|9aZMB|aBPWR
109	12134 22312	   	202.97	DCR|3VULN|2ASPD|2DUR|2ZMB|1SELL	1aASPD|2SELL|35aVULN|48DUR|6RCR|7FEWX|9aZMB|aBPWR
110	12134 24231	   	202.85	DCR|3ASPD|2VULN|1AART|1DUR|1SELL	189ASPD|2SELL|35VULN|4DUR|6RCR|7AART|aMLV
111	12134 24233	   	202.85	DCR|3ASPD|2VULN|1AART|1DUR|1SELL	189ASPD|2SELL|35VULN|4DUR|6RCR|7AART|aLIT
112	12134 24235	   	202.85	DCR|3ASPD|2VULN|1AART|1DUR|1SELL	189ASPD|2SELL|35VULN|4DUR|6RCR|7AART|aLWND
113	12134 24236	   	202.85	DCR|3ASPD|2VULN|1AART|1DUR|1SELL	189ASPD|2SELL|35VULN|4DUR|6RCR|7AART|aRMIN
114	12131 15535	   	202.85	DCR|3ASPD|2VULN|1AART|1DUR|1SELL	179ASPD|2SELL|39VULN|4DUR|5LWND|6RCR|89TLV|9BPWR|aAART
115	12134 24216	   	202.75	DCR|3ASPD|2VULN|1AART|1DUR|1SELL	18aASPD|2SELL|35VULN|4DUR|6RCR|7AART|9ERES
116	12134 24234	   	202.75	DCR|3ASPD|2VULN|1AART|1DUR|1SELL	189ASPD|2SELL|35VULN|4DUR|6RCR|7AART|aDUST
117	36431 11123	   	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2ZMB|3CDMG|4DUR|5LWND|6RCR|7LHND|9DMG|aAART
118	36431 15211	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3CDMG|4DUR|5LWND|6RCR|7ASPD|8AART|aDMSP
119	36431 15213	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3CDMG|4DUR|5LWND|6RCR|7ASPD|8AART|aMLV
120	36624 21323	   	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2ZMB|3LHND|4CDMG|6RCR|7BEXP|8DUR|9DMG|aAART
121	36411 12123	   	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2ZMB|3CDMG|4BEXP|5LWND|6RCR|7DUR|9DMG|aAART
122	36411 15212	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3CDMG|4BEXP|5LWND|6RCR|7ASPD|8AART|aDUR
123	36434 21222	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2ZMB|3CDMG|4DUR|6RCR|7BEXP|8DUST|9DMG|aAART
124	36121 12123	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2ZMB|3DUST|4CDMG|5LWND|6RCR|7DUR|9DMG|aAART
125	36121 15212	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3DUST|4CDMG|5LWND|6RCR|7ASPD|8AART|aDUR
126	36124 21422	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	15VULN|2ZMB|3DUST|4CDMG|6RCR|7BEXP|8DUR|9DMG|aAART
127	36124 24232	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	15VULN|2ZMB|3DUST|4CDMG|6RCR|7AART|8ASPD|9LWND|aDUR
128	36413 12123	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2ZMB|3CDMG|4BEXP|5LEGI|6RCR|7DUR|9DMG|aAART
129	36413 15212	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3CDMG|4BEXP|5LEGI|6RCR|7ASPD|8AART|aDUR
130	36433 11123	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2ZMB|3CDMG|4DUR|5LEGI|6RCR|7LWND|9DMG|aAART
131	36433 15211	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3CDMG|4DUR|5LEGI|6RCR|7ASPD|8AART|aDMSP
132	36433 15213	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3CDMG|4DUR|5LEGI|6RCR|7ASPD|8AART|aMLV
133	46124 12123	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2ZMB|3DUST|4CDMG|58VULN|6RCR|7DUR|9DMG|aAART
134	56124 12123	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2ZMB|3DUST|4CDMG|58VULN|6RCR|7DUR|9DMG|aAART
135	12111 15612	 * 	202.34	DCR|3VULN|3ASPD|2ZMB|1SELL	17aASPD|2SELL|38aVULN|4BEXP|5LWND|6RCR|9aZMB|aBPWR
136	12115 15612	 * 	202.34	DCR|3VULN|3ASPD|2ZMB|1SELL	17aASPD|2SELL|38aVULN|4BEXP|5FEWX|6RCR|9aZMB|aBPWR
137	36123 12123	   	202.33	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2ZMB|3DUST|4CDMG|5LEGI|6RCR|7DUR|9DMG|aAART
138	36123 15212	   	202.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	19VULN|2ZMB|3DUST|4CDMG|5LEGI|6RCR|7ASPD|8AART|aDUR
139	34421 12143	   	202.25	DCR|2VULN|2AART|1MDPS|1ASPD|1ZMB|1DUR	19VULN|23AART|4MDPS|5DUR|6RCR|7LHND|8ASPD|aZMB
140	34423 13143	   	202.25	DCR|2VULN|2AART|1MDPS|1ASPD|1ZMB|1DUR	19VULN|23AART|4MDPS|5LWND|6RCR|7DUR|8ASPD|aZMB
141	34133 53613	   	202.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	189VULN|2AART|3LWND|4BEXP|5DUR|6DMG|7RCR|aZMB
142	15441 21212	   	201.70	DCR|3ASPD|1VULN|2CDMG|2DUR|2ZMB	15aASPD|27BEXP|3aCDMG|45DUR|5aBPWR|6RCR|8VULN|9aZMB
143	21361 15214	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1BEXP|2LHND|39aVULN|4CDMG|5AAC|6RCR|7ASPD|8AART
144	23124 15214	   	201.62	DCR|3VULN|1AART|1ASPD|1CDMG	1BEXP|2RMIN|3DUST|4CDMG|59aVULN|6RCR|7ASPD|8AART
145	36124 31142	 * 	201.61	DCR|3VULN|2ASPD|1CDMG|2ZMB	15aVULN|2aZMB|39DUST|4CDMG|6aASPD|7MBVNT|8RCR|aBPWR
146	14431 24212	   	201.60	DCR|3ASPD|1VULN|2CDMG|2DUR|2ZMB	15aASPD|2DUST|3aCDMG|45DUR|5aBPWR|6RCR|7DMSP|8VULN|9aZMB
147	12114 24214	   	201.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	18ASPD|2SELL|35VULN|4BEXP|6RCR|7AART|9ERES|aDMG
148	12114 24222	   	201.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	18ASPD|2SELL|35VULN|4BEXP|6RCR|7AART|9DUST|aDMG
149	12114 24262	   	201.58	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	18ASPD|2SELL|35VULN|4BEXP|6RCR|7AART|9LEGI|aDMG
150	31261 15214	   	201.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	19aVULN|2LHND|3DUST|4CDMG|5AAC|6RCR|7ASPD|8AART
151	14431 23212	   	201.50	DCR|3ASPD|1VULN|2CDMG|2DUR|2ZMB	15aASPD|28DUST|3aCDMG|45DUR|5aBPWR|6RCR|7VULN|9aZMB
152	34423 12141	   	201.45	DCR|3VULN|2AART|1MDPS|1ASPD	19aVULN|23AART|4MDPS|5LWND|6RCR|7LHND|8ASPD
153	12114 63612	   	201.27	DCR|4VULN|2ASPD|2ZMB|1SELL	1aASPD|2SELL|357aVULN|4BEXP|6FEWX|8RCR|9aZMB|aBPWR
154	46113 22233	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LWND|2aZMB|3DUST|4ASPD|57VULN|6RCR|8DMG|9AART
155	56113 22233	   	201.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1LHND|2aZMB|3DUST|4ASPD|57VULN|6RCR|8DMG|9AART
156	31233 35224	   	201.06	DCR|3VULN|2DMG|1AART	159VULN|29LHND|34DUST|6LWND|7RCR|89DMG|9BPWR|aAART
157	36124 23432	   	200.93	DCR|4VULN|1CDMG|2DUR|2ZMB	157aVULN|2aZMB|3DUST|4CDMG|6RCR|8aDUR|9RMIN|aBPWR
