0	Index      	 *	Score 	Summary	Detail	
1	32164 21142	 * 	200.36	DCR|3VULN|2DMG|3ZMB|3CDMG	168ZMB|238CDMG|4LWND|56DMG|68BPWR|789VULN|aRCR
12	32314 26151	 * 	185.88	DCR|3VULN|1AART|2ZMB|1CDMG|1FLTHEA	15ZMB|2CDMG|3BEXP|45aVULN|5BPWR|6RCR|7RCVC|8FLTHEA|9AART
13	33634 21131	   	185.70	DCR|2VULN|2DMG|3ZMB|2CDMG|1ASPD	168ZMB|248LWND|34CDMG|468BPWR|56DMG|78VULN|9ASPD|aRCR
14	21222 53453	 * 	185.48	ACR|2VULN|2DMG|2AART|1ZMB	1ERES|2DUST|3aVULN|4RCR|58DMG|67AART|9ZMB
15	32314 26421	   	185.36	DCR|3VULN|3ZMB|1AART|1CDMG	158ZMB|2CDMG|38BEXP|458VULN|58BPWR|6RCR|7RCVC|9RMIN|aAART
16	34323 52115	   	184.36	ACR|3VULN|1DMG|2CDMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9DMG|aRPLT
17	34323 52116	   	184.36	ACR|3VULN|1DMG|2CDMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9DMG|aLWND
18	33644 22233	 * 	184.36	DCR|2DMG|3ZMB|1AART|1VULN|1CDMG	146ZMB|2LWND|3CDMG|56DMG|6BPWR|7AART|8RCR|9RPLT|aVULN
19	34323 52112	   	184.26	ACR|3VULN|2CDMG|1DMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9DMG|aTLV
20	34323 52113	   	184.26	ACR|3VULN|1DMG|2CDMG|2ZMB|2ASPD	18ZMB|26ASPD|368VULN|4RCR|5DMSP|68BPWR|78CDMG|9DMG|aAIRHEA
21	51222 53353	   	183.65	ACR|3VULN|2AART|1DMG|1ZMB	1DUST|2MLV|38aVULN|4RCR|5DMG|67AART|9ZMB
22	65314 22213	 * 	183.21	DCR|3VULN|3DMG|2DUR|1SELL	19DUR|259DMG|3SELL|45aVULN|59BPWR|6RCR|7LIT|89CGEN
23	32334 41142	   	182.77	DCR|3VULN|3ZMB|3CDMG|1DMG	168ZMB|248CDMG|34BEXP|48BPWR|5DMG|789VULN|aRCR
24	61222 53421	   	181.62	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2MLV|39VULN|4RCR|58DMG|67AART|aBEXP
25	61222 53423	   	181.62	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2aMLV|39VULN|4RCR|58DMG|67AART
26	61222 53422	   	181.52	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2MLV|39VULN|4RCR|58DMG|67AART|aERES
27	61222 53433	   	181.52	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2MLV|3aVULN|4RCR|58DMG|67AART|9ERES
28	63222 53421	   	181.52	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2ERES|39VULN|4RCR|58DMG|67AART|aBEXP
29	63222 53422	   	181.42	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2aERES|39VULN|4RCR|58DMG|67AART
30	63222 53423	   	181.42	ACR|2VULN|2DMG|2AART|1DUR	1DUR|2ERES|39VULN|4RCR|58DMG|67AART|aDUST
31	61222 53324	   	180.99	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2MLV|389VULN|4RCR|5DMG|67AART|aRCVC
32	65314 21321	 * 	180.61	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8FEWX|9ZMB|aAART
33	34323 52611	   	180.31	ACR|3VULN|1DMG|2CDMG|2ASPD|1ZMB	1ZMB|26ASPD|368VULN|4RCR|5DMSP|6BPWR|7aCDMG|9DMG
34	65632 33313	 * 	179.87	DCR|3DMG|2VULN|2CDMG|1DUR	1DUR|24aDMG|34CDMG|4aBPWR|5TLV|6aBEXP|7RCR|8ERES|9aVULN
35	61222 53321	   	179.69	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2MLV|389VULN|4RCR|5DMG|67AART|aBEXP
36	61222 53323	   	179.69	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2aMLV|389VULN|4RCR|5DMG|67AART
37	61222 53325	   	179.69	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2MLV|389VULN|4RCR|5DMG|67AART|aRPLT
38	61222 53342	   	179.69	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2MLV|38aVULN|4RCR|5DMG|67AART|9CGEN
39	61222 53322	   	179.59	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2MLV|389VULN|4RCR|5DMG|67AART|aERES
40	61222 53333	   	179.59	ACR|3VULN|2AART|1DMG|1DUR	1DUR|2MLV|38aVULN|4RCR|5DMG|67AART|9ERES
41	61222 52323	   	179.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2MLV|39aVULN|4RCR|5DMG|6AART|7ZMB|8CGEN
42	32314 26325	   	179.17	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	15ZMB|2CDMG|3BEXP|45aVULN|5BPWR|6RCR|7RCVC|8DUR|9AART
43	23222 53625	   	179.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2LWND|389VULN|4RCR|5DMG|6AART|7DUR|aZMB
44	63222 52216	   	179.14	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2ERES|38aVULN|4RCR|5DMG|6AART|7ZMB|9FEWX
45	63222 52223	   	179.04	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|29ERES|38aVULN|4RCR|5DMG|6AART|7ZMB
46	32314 26316	   	178.57	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	15ZMB|2CDMG|3BEXP|459VULN|5BPWR|6RCR|7RCVC|8DUR|aAART
47	65314 23113	   	178.36	DCR|3VULN|2DMG|2DUR|1ZMB|1SELL	19DUR|25DMG|3SELL|458VULN|5BPWR|6RCR|7RMIN|aZMB
48	65314 33121	 * 	178.11	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6DUST|7RCR|8LWND|9ZMB|aAART
49	14432 43221	 * 	177.89	ACR|3VULN|2DMG|1AART	1BELT|2RPLT|3aDMG|4AART|5RCR|6aLIT|7RMIN|89aVULN|aBPWR
50	14432 43231	 * 	177.89	ACR|3DMG|2VULN|1AART	1BELT|2RPLT|39aDMG|4AART|5RCR|6aLIT|7RMIN|8aVULN|aBPWR
51	33231 52614	 * 	177.67	DCR|3DMG|2VULN|2ZMB|1CDMG	16ZMB|2LWND|3RCVC|48VULN|569DMG|6BPWR|7CDMG|aRCR
52	65314 23232	 * 	177.61	DCR|3VULN|3DMG|1DUR|1SELL	1DUR|259DMG|3SELL|45aVULN|5BPWR|6RCR|7RMIN|8ERES
53	33614 22253	   	177.46	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	15ZMB|2LWND|3CDMG|45aVULN|5BPWR|6RCR|7DUR|8AART|9LSRREG
54	35122 56222	   	177.34	ACR|3VULN|2AART|1CDMG|1ZMB	1ZMB|2CGEN|3BEXP|4RCR|589VULN|67AART|aCDMG
55	33614 21325	   	176.96	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	15ZMB|27LWND|3CDMG|45aVULN|5BPWR|6RCR|8DUR|9AART
56	33614 22125	   	176.96	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	15ZMB|28LWND|3CDMG|45aVULN|5BPWR|6RCR|7DUR|9AART
57	35313 63724	 * 	176.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2CGEN|369VULN|4DUR|5AART|7MBVNT|8RCR|aDMG
58	33614 21316	   	176.36	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	15ZMB|27LWND|3CDMG|459VULN|5BPWR|6RCR|8DUR|aAART
59	33614 22116	   	176.36	DCR|3VULN|1AART|2ZMB|1CDMG|1DUR	15ZMB|28LWND|3CDMG|459VULN|5BPWR|6RCR|7DUR|aAART
60	65314 21232	 * 	176.10	DCR|2VULN|2DMG|1AART|2DUR|1SELL	1aDUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8AART|9LIT
61	24323 23662	 * 	176.06	ACR|2AART|2VULN|1FLTHEA|1ZMB|1DUR|1ASPD	1ERES|2ASPD|39VULN|4RCR|57AART|6DUR|8FLTHEA|aZMB
62	61222 52623	   	175.82	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1aDUR|2MLV|39VULN|4RCR|5DMG|6AART|7ZMB|8ASPD
63	21222 53424	   	175.78	ACR|2VULN|2DMG|2AART	1ERES|2DUST|39VULN|4RCR|58DMG|67AART|aRCVC
64	65314 23123	   	175.71	DCR|3VULN|2DMG|1CDMG|1DUR|1SELL	1DUR|25DMG|3SELL|458VULN|5BPWR|6RCR|7RMIN|9RPLT|aCDMG
65	65314 11122	 * 	175.71	DCR|3VULN|3DMG|2DUR|1SELL	18DUR|258DMG|3SELL|45aVULN|58BPWR|6ERES|78TLV|9RCR
66	35313 13452	 * 	175.60	DCR|4VULN|1AART|1ZMB|1DUR|1ASPD	1ZMB|2CGEN|378aVULN|4DUR|5AART|6ASPD|9RCR
67	65314 21122	 * 	175.50	DCR|2VULN|2DMG|1AART|2DUR|1SELL	1aDUR|25DMG|3SELL|45VULN|5BPWR|6RCR|78LWND|9AART
68	32314 26336	   	175.43	DCR|3VULN|1DMG|2ZMB|1CDMG|1DUR	15ZMB|2CDMG|3BEXP|45aVULN|5BPWR|6RCR|7RCVC|8DUR|9DMG
69	65314 23222	 * 	175.40	DCR|2VULN|2DMG|1AART|2DUR|1SELL	1aDUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7RMIN|8ERES|9AART
70	24323 15242	 * 	175.35	ACR|3VULN|1AART|1DMG|2ASPD	1ERES|26ASPD|39aVULN|4RCR|5AART|7DMG|8LIT
71	24323 15413	   	175.35	ACR|3VULN|1AART|1DMG|2ASPD	1ERES|26ASPD|38aVULN|4RCR|5AART|7DMG|9DMSP
72	24323 15422	   	175.35	ACR|3VULN|1AART|1DMG|2ASPD	1ERES|26ASPD|38aVULN|4RCR|5AART|7DMG|9LIT
73	24323 15433	   	175.35	ACR|3VULN|1AART|1DMG|2ASPD	1ERES|26ASPD|38aVULN|4RCR|5AART|7DMG|9FEWX
74	61222 51623	   	175.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2MLV|39aVULN|4RCR|5DMG|6AART|7CGEN|8ASPD
75	34322 41243	 * 	175.08	ACR|3VULN|2DMG|2ZMB|1ASPD	1aZMB|2ASPD|37aVULN|4RCR|5TLV|6RPLT|8ERES|9aDMG|aBPWR
76	61222 53125	   	175.03	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2MLV|39VULN|4RCR|5DMG|67AART|8BEXP|aZMB
77	61222 53315	   	175.03	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2MLV|38VULN|4RCR|5DMG|67AART|9FEWX|aZMB
78	61222 53351	   	175.03	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2MLV|38VULN|4RCR|5DMG|67AART|9ZMB|aCGEN
79	61222 53352	   	175.03	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2MLV|38VULN|4RCR|5DMG|67AART|9ZMB|aLIT
80	14433 31236	 * 	175.02	DCR|2VULN|2DMG|1AART|1ZMB	1BELT|2RPLT|38DMG|4AART|59VULN|6MLV|7RCR|aZMB
81	32314 26322	 * 	174.96	DCR|2VULN|2AART|2ZMB|1CDMG|1DUR	15ZMB|2CDMG|3BEXP|45VULN|5BPWR|6RCR|7RCVC|8DUR|9aAART
82	63222 53125	   	174.93	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|2ERES|39VULN|4RCR|5DMG|67AART|8BEXP|aZMB
83	31614 26322	   	174.86	DCR|2VULN|2AART|2ZMB|1CDMG|1DUR	15ZMB|2DUST|3CDMG|45VULN|5BPWR|6RCR|7RCVC|8DUR|9aAART
84	63222 53253	   	174.83	ACR|2VULN|2AART|1DMG|1ZMB|1DUR	1DUR|28ERES|3aVULN|4RCR|5DMG|67AART|9ZMB
85	51222 53421	   	174.58	ACR|2VULN|2DMG|2AART	1DUST|2MLV|39VULN|4RCR|58DMG|67AART|aBEXP
86	51222 53423	   	174.58	ACR|2VULN|2DMG|2AART	1DUST|2aMLV|39VULN|4RCR|58DMG|67AART
87	21222 53421	   	174.48	ACR|2VULN|2DMG|2AART	1ERES|2DUST|39VULN|4RCR|58DMG|67AART|aBEXP
88	21222 53425	   	174.48	ACR|2VULN|2DMG|2AART	1ERES|2DUST|39VULN|4RCR|58DMG|67AART|aRPLT
89	21222 53426	   	174.48	ACR|2VULN|2DMG|2AART	1ERES|2DUST|39VULN|4RCR|58DMG|67AART|aFEWX
90	51222 53422	   	174.48	ACR|2VULN|2DMG|2AART	1DUST|2MLV|39VULN|4RCR|58DMG|67AART|aERES
91	51222 53433	   	174.48	ACR|2VULN|2DMG|2AART	1DUST|2MLV|3aVULN|4RCR|58DMG|67AART|9ERES
92	53222 53421	   	174.48	ACR|2VULN|2DMG|2AART	1DUST|2ERES|39VULN|4RCR|58DMG|67AART|aBEXP
93	21222 53422	   	174.38	ACR|2VULN|2DMG|2AART	1aERES|2DUST|39VULN|4RCR|58DMG|67AART
94	21222 53423	   	174.38	ACR|2VULN|2DMG|2AART	1ERES|2aDUST|39VULN|4RCR|58DMG|67AART
95	53222 53422	   	174.38	ACR|2VULN|2DMG|2AART	1DUST|2aERES|39VULN|4RCR|58DMG|67AART
96	53222 53423	   	174.38	ACR|2VULN|2DMG|2AART	1aDUST|2ERES|39VULN|4RCR|58DMG|67AART
97	65613 23321	 * 	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3CDMG|48VULN|5DUST|6LWND|7RCR|9ZMB|aAART
98	33334 31113	 * 	174.01	DCR|3DMG|2VULN|3ZMB|1SELL	148ZMB|24LWND|3SELL|48BPWR|568DMG|78VULN|9ERES|aRCR
99	33344 21113	 * 	174.01	DCR|3DMG|2VULN|3ZMB|1SELL	148ZMB|26LWND|3SELL|568DMG|68BPWR|78VULN|9ERES|aRCR
100	51222 53324	   	173.95	ACR|3VULN|2AART|1DMG	1DUST|2MLV|389VULN|4RCR|5DMG|67AART|aRCVC
101	33344 31113	 * 	173.91	DCR|3DMG|2VULN|3ZMB|1SELL	148ZMB|2LWND|3SELL|568DMG|78VULN|8BPWR|9ERES|aRCR
102	34323 52612	   	173.90	ACR|3VULN|1DMG|1CDMG|2ASPD|1ZMB	1ZMB|26ASPD|368VULN|4RCR|5DMSP|6BPWR|7CDMG|9DMG|aTLV
103	34323 52613	   	173.90	ACR|3VULN|1DMG|2ASPD|1CDMG|1ZMB	1ZMB|26ASPD|368VULN|4RCR|5DMSP|6BPWR|7CDMG|9DMG|aAIRHEA
104	35323 13242	 * 	173.88	ACR|4VULN|1AART|1ZMB|1ASPD	1ZMB|2CGEN|379aVULN|4RCR|5AART|6ASPD|8LIT
105	35323 13413	   	173.88	ACR|4VULN|1AART|1ZMB|1ASPD	1ZMB|2CGEN|378aVULN|4RCR|5AART|6ASPD|9DMSP
106	35323 13422	   	173.88	ACR|4VULN|1AART|1ZMB|1ASPD	1ZMB|2CGEN|378aVULN|4RCR|5AART|6ASPD|9LIT
107	35323 13432	   	173.88	ACR|4VULN|1AART|1ZMB|1ASPD	1ZMB|2CGEN|378aVULN|4RCR|5AART|6ASPD|9FEWX
108	35323 34323	   	173.88	ACR|4VULN|1AART|1ZMB|1DUR	1ZMB|2CGEN|389aVULN|4RCR|5AART|6DUR|7LWND
109	61222 54323	   	173.53	ACR|3VULN|1AART|1DMG|2DUR	1aDUR|2MLV|389VULN|4RCR|5DMG|6AART|7LWND
110	33616 22253	   	173.51	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2LWND|3CDMG|45aVULN|6RCR|7DUR|8AART|9LSRREG
111	23222 53623	   	173.43	ACR|3VULN|1AART|1DMG|2DUR	1ERES|2LWND|389VULN|4RCR|5DMG|6AART|7aDUR
112	35323 13241	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2CGEN|379VULN|4RCR|5AART|6ASPD|8LIT|aCDMG
113	35323 13421	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1ZMB|2CGEN|378VULN|4RCR|5AART|6ASPD|9LIT|aCDMG
114	32314 26123	 * 	173.42	DCR|2VULN|1DMG|2ZMB|1CDMG|1FLTHEA|1DUR	15ZMB|2CDMG|3BEXP|45VULN|5BPWR|6RCR|7RCVC|8FLTHEA|9DUR|aDMG
115	24323 15241	 * 	173.35	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1ERES|26ASPD|39VULN|4RCR|5AART|7DMG|8LIT|aCDMG
116	24323 15421	   	173.35	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG	1ERES|26ASPD|38VULN|4RCR|5AART|7DMG|9LIT|aCDMG
117	31614 26123	   	173.32	DCR|2VULN|1DMG|2ZMB|1CDMG|1FLTHEA|1DUR	15ZMB|2DUST|3CDMG|45VULN|5BPWR|6RCR|7RCVC|8FLTHEA|9DUR|aDMG
118	32314 26334	   	173.30	DCR|2VULN|3ZMB|1DMG|1CDMG|1DUR	15aZMB|2CDMG|3BEXP|45VULN|5BPWR|6RCR|7RCVC|8DUR|9DMG
119	33614 21336	   	173.22	DCR|3VULN|1DMG|2ZMB|1CDMG|1DUR	15ZMB|27LWND|3CDMG|45aVULN|5BPWR|6RCR|8DUR|9DMG
120	33614 22136	   	173.22	DCR|3VULN|1DMG|2ZMB|1CDMG|1DUR	15ZMB|28LWND|3CDMG|45aVULN|5BPWR|6RCR|7DUR|9DMG
121	33614 21411	   	173.20	DCR|3VULN|3ZMB|2CDMG|1ASPD	158ZMB|27LWND|38CDMG|458VULN|58BPWR|6RCR|9LIT|aASPD
122	33614 21432	   	173.20	DCR|3VULN|3ZMB|2CDMG|1DUR	158ZMB|279LWND|38CDMG|458VULN|58BPWR|6RCR|aDUR
123	24122 53222	   	173.17	ACR|3VULN|2AART|1CDMG|1ASPD	1ERES|2ASPD|3BEXP|4RCR|589VULN|67AART|aCDMG
124	14433 21263	 * 	173.08	DCR|3DMG|1AART|1VULN|1ZMB	1BELT|2RPLT|389DMG|4AART|5VULN|6RMIN|7RCR|aZMB
125	14433 31263	   	173.08	DCR|3DMG|1AART|1VULN|1ZMB	1BELT|2RPLT|389DMG|4AART|5VULN|6MLV|7RCR|aZMB
126	14432 32236	   	173.04	ACR|2VULN|2DMG|1AART|1ZMB	1BELT|2RPLT|38DMG|4AART|5RCR|6MLV|79VULN|aZMB
127	33616 21325	   	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|27LWND|3CDMG|45aVULN|6RCR|8DUR|9AART
128	33616 22125	   	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|28LWND|3CDMG|45aVULN|6RCR|7DUR|9AART
129	34323 36163	   	172.96	ACR|3VULN|1AART|2ZMB|2DUR|1ASPD	17ZMB|2ASPD|378VULN|4RCR|5DMSP|67DUR|7BPWR|9LEGI|aAART
130	34322 51347	 * 	172.96	ACR|2VULN|2DMG|3ZMB|1ASPD	17aZMB|2ASPD|3aVULN|4RCR|5TLV|6MLV|8MBVNT|9aDMG|aBPWR
131	51222 53321	   	172.65	ACR|3VULN|2AART|1DMG	1DUST|2MLV|389VULN|4RCR|5DMG|67AART|aBEXP
132	51222 53323	   	172.65	ACR|3VULN|2AART|1DMG	1DUST|2aMLV|389VULN|4RCR|5DMG|67AART
133	51222 53325	   	172.65	ACR|3VULN|2AART|1DMG	1DUST|2MLV|389VULN|4RCR|5DMG|67AART|aRPLT
134	51222 53326	   	172.65	ACR|3VULN|2AART|1DMG	1DUST|2MLV|389VULN|4RCR|5DMG|67AART|aFEWX
135	51222 53342	   	172.65	ACR|3VULN|2AART|1DMG	1DUST|2MLV|38aVULN|4RCR|5DMG|67AART|9CGEN
136	55122 53321	   	172.65	ACR|3VULN|2AART|1DMG	1DUST|2DMG|3MLV|4RCR|589VULN|67AART|aBEXP
137	55122 53323	   	172.65	ACR|3VULN|2AART|1DMG	1DUST|2DMG|3aMLV|4RCR|589VULN|67AART
138	32316 26151	 * 	172.58	DCR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	1ZMB|25CDMG|3BEXP|4aVULN|6RCR|7RCVC|8FLTHEA|9AART
139	51222 53322	   	172.55	ACR|3VULN|2AART|1DMG	1DUST|2MLV|389VULN|4RCR|5DMG|67AART|aERES
140	51222 53333	   	172.55	ACR|3VULN|2AART|1DMG	1DUST|2MLV|38aVULN|4RCR|5DMG|67AART|9ERES
141	55122 53322	   	172.55	ACR|3VULN|2AART|1DMG	1DUST|2DMG|3MLV|4RCR|589VULN|67AART|aERES
142	55122 53333	   	172.55	ACR|3VULN|2AART|1DMG	1DUST|2DMG|3MLV|4RCR|58aVULN|67AART|9ERES
143	33616 21316	   	172.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|27LWND|3CDMG|459VULN|6RCR|8DUR|aAART
144	33616 22116	   	172.41	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|28LWND|3CDMG|459VULN|6RCR|7DUR|aAART
145	21241 34152	 * 	172.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUST|348VULN|5DMG|6DUR|7CDMG|9AART|aRCR
146	16321 25533	 * 	172.23	DCR|3VULN|2AART|1DMG	1BELT|23AART|49aVULN|5ERES|6DMG|7RPLT|8RCR
147	23222 52223	   	172.10	ACR|3VULN|1AART|1DMG|1ZMB	19ERES|2LWND|38aVULN|4RCR|5DMG|6AART|7ZMB
148	21222 52223	   	172.00	ACR|3VULN|1AART|1DMG|1ZMB	19ERES|2DUST|38aVULN|4RCR|5DMG|6AART|7ZMB
149	53222 52223	   	172.00	ACR|3VULN|1AART|1DMG|1ZMB	1DUST|29ERES|38aVULN|4RCR|5DMG|6AART|7ZMB
150	24323 23416	   	171.47	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	1ERES|2ASPD|3aVULN|4RCR|57AART|6DUR|8DMG|9FEWX
151	32314 26153	   	171.40	DCR|2VULN|1AART|2ZMB|1CDMG|1FLTHEA	15ZMB|2CDMG|3BEXP|45VULN|5BPWR|6RCR|7aRCVC|8FLTHEA|9AART
152	24323 23423	   	171.37	ACR|2AART|2VULN|1DMG|1DUR|1ASPD	19ERES|2ASPD|3aVULN|4RCR|57AART|6DUR|8DMG
153	65314 22212	 * 	171.37	DCR|3DMG|2VULN|3DUR|1SELL	19aDUR|259DMG|3SELL|45VULN|59BPWR|6RCR|7LIT|89CGEN
154	32314 62423	   	171.30	DCR|3VULN|3ZMB|2CDMG|2DUR	158ZMB|28CDMG|3BEXP|456VULN|58BPWR|78DUR|9RCR|aLIT
155	32314 22561	   	171.22	DCR|2VULN|1DMG|2ZMB|1FLTHEA|1CDMG|1ASPD	15ZMB|2CDMG|3BEXP|45VULN|5BPWR|6RCR|7LIT|8FLTHEA|9ASPD|aDMG
156	33614 21153	   	171.22	DCR|2VULN|1DMG|2ZMB|1FLTHEA|1CDMG|1DUR	15ZMB|27LWND|3CDMG|45VULN|5BPWR|6RCR|8FLTHEA|9DUR|aDMG
157	32314 62422	   	171.20	DCR|3VULN|3ZMB|2CDMG|2DUR	158ZMB|28CDMG|3BEXP|456VULN|58BPWR|78DUR|9RCR|aERES
158	24323 63423	 * 	171.14	ACR|2AART|2VULN|1DMG|2ASPD	1ERES|29ASPD|3aVULN|4RCR|57AART|6FEWX|8DMG
159	14432 32263	   	171.10	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2RPLT|389DMG|4AART|5RCR|6MLV|7VULN|aZMB
160	33614 21334	   	171.10	DCR|2VULN|3ZMB|1DMG|1CDMG|1DUR	15aZMB|27LWND|3CDMG|45VULN|5BPWR|6RCR|8DUR|9DMG
161	33614 22134	   	171.10	DCR|2VULN|3ZMB|1DMG|1CDMG|1DUR	15aZMB|28LWND|3CDMG|45VULN|5BPWR|6RCR|7DUR|9DMG
162	35313 63723	   	170.96	DCR|4VULN|1AART|1ZMB|1DUR	1ZMB|2CGEN|369aVULN|4DUR|5AART|7MBVNT|8RCR
163	31616 26322	   	170.91	DCR|2VULN|2AART|1CDMG|1ZMB|1DUR	1ZMB|2DUST|3CDMG|45VULN|6RCR|7RCVC|8DUR|9aAART
164	65314 21221	   	170.81	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8AART|9LHND|aBEXP
165	65314 21222	   	170.81	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8AART|9LHND|aMLV
166	65314 21231	   	170.81	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8AART|9LIT|aCGEN
167	65314 21211	   	170.71	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8AART|9DUST|aBEXP
168	65314 21212	   	170.71	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|25DMG|3SELL|45VULN|5BPWR|6RCR|7LWND|8AART|9DUST|aMLV
