0	Index      	 *	Score 	Summary	Detail	
1	23276 13336	 * 	188.31	DCR|3VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|389VULN|4RPLT|5AART|6RCR|7aDMG
48	33414 13532	   	173.80	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB	15RMIN|2RCR|37VULN|4ZMB|69ASPD|8AART|aDMG
49	22344 35211	 * 	173.58	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1SELL	156DUR|2SELL|36DMG|4AART|6BPWR|7CDMG|8RCR|9VULN|aFEWX
50	22344 35212	 * 	173.58	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1SELL	156DUR|2SELL|36DMG|4AART|6BPWR|7CDMG|8RCR|9VULN|aLWND
51	23342 24266	 * 	173.53	ACR|3DMG|2VULN|1ZMB|1DUR	1DUR|2MBVNT|3RCR|4FEWX|5aVULN|678DMG|9ZMB
52	25221 35322	   	173.46	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2LHND|38VULN|4RCVC|5AART|6BEXP|7RCR|9aDMG
53	33413 31124	   	173.42	ACR|2VULN|2AART|1CDMG|1ZMB|1ASPD	1RMIN|2RCR|38VULN|4ZMB|5LWND|6aAART|7ASPD|9CDMG
54	23327 33412	   	173.33	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	14DUR|2MBVNT|3RCR|57DMG|6CDMG|8RCVC|9VULN|aAART
55	33135 51351	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1RMIN|2RCR|3ASPD|4BEXP|5BELT|6AART|789VULN|aDMG
56	22335 35211	 * 	172.98	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1SELL	146DUR|2SELL|36DMG|5AART|6BPWR|7CDMG|8RCR|9VULN|aFEWX
57	22335 35212	 * 	172.98	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1SELL	146DUR|2SELL|36DMG|5AART|6BPWR|7CDMG|8RCR|9VULN|aLWND
58	22335 35216	 * 	172.98	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1SELL	146DUR|2SELL|36DMG|5AART|6BPWR|7CDMG|8RCR|9VULN|aCGEN
59	33115 51351	   	172.94	ACR|3VULN|1AART|1DMG|1ASPD	1RMIN|2RCR|3ASPD|4DUST|5BELT|6AART|789VULN|aDMG
60	22335 35215	 * 	172.88	DCR|2DMG|1AART|1VULN|3DUR|1CDMG|1SELL	146DUR|2SELL|36DMG|5AART|6BPWR|7CDMG|8RCR|9VULN|aLSRREG
61	53315 61231	 * 	172.88	ACR|3VULN|1AART|2CDMG|1ASPD|1DUR	17LIT|2LWND|37CDMG|479VULN|5RCR|6AART|7BPWR|8DUR|aASPD
62	51315 61231	   	172.78	ACR|3VULN|1AART|2CDMG|1ASPD|1DUR	17LIT|2LEGI|37CDMG|479VULN|5RCR|6AART|7BPWR|8DUR|aASPD
63	23276 13163	   	172.65	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|3aVULN|4RPLT|5AART|6RCR|79DMG|8LIT
64	23276 13326	   	172.65	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|38VULN|4RPLT|5AART|6RCR|7aDMG|9BEXP
65	23276 13361	   	172.65	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|38VULN|4RPLT|5AART|6RCR|79DMG|aBEXP
66	23276 13364	   	172.65	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|38VULN|4RPLT|5AART|6RCR|79DMG|aLIT
67	33441 22124	   	172.23	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2RCR|38VULN|4AART|5CGEN|6DMG|7LHND|9CDMG|aDUR
68	23342 64138	   	171.83	ACR|2VULN|2AART|1DMG|2DUR	17DUR|2MBVNT|3RCR|47FEWX|57VULN|69AART|7BPWR|8LHND|aDMG
69	24216 33433	 * 	171.82	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2TLV|3VULN|4ZMB|57DMG|6CDMG|8RCR|9LEGI|aAART
70	33542 16112	   	171.72	ACR|2VULN|2DMG|1CDMG|2DUR	1RMIN|2RCR|3RCVC|4CDMG|56DUR|78DMG|9aVULN
71	33123 43335	 * 	171.63	ACR|3VULN|2DMG|2ASPD	15RMIN|2RCR|36ASPD|47DMG|89aVULN
72	33441 22122	 * 	171.61	ACR|2VULN|1AART|1DMG|2CDMG	1RMIN|2RCR|38VULN|4AART|5CGEN|6DMG|7LHND|9aCDMG
73	33441 26122	   	171.61	ACR|2VULN|1AART|1DMG|2CDMG	1RMIN|2RCR|38VULN|4AART|5CGEN|6DMG|7BEXP|9aCDMG
74	12522 22133	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ERES|2CGEN|3AART|4aDMG|5CDMG|6ZMB|7RCR|8VULN|9LHND
75	12522 22136	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2CGEN|3AART|4DMG|5CDMG|6ZMB|7RCR|8aVULN|9LHND
76	12522 22143	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ERES|2CGEN|3AART|4aDMG|5CDMG|6ZMB|7RCR|8VULN|9BEXP
77	12522 22616	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ERES|2CGEN|3AART|48DMG|5CDMG|6ZMB|7RCR|9BELT|aVULN
78	35522 22122	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|2ERES|3AART|4aDMG|5CDMG|6ZMB|7RCR|8VULN|9RPLT
79	35522 22143	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|2ERES|3AART|4aDMG|5CDMG|6ZMB|7RCR|8VULN|9BEXP
80	35522 22153	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|2ERES|3AART|4aDMG|5CDMG|6ZMB|7RCR|8VULN|9FEWX
81	34451 12222	   	171.55	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RMIN|2CDMG|36VULN|4AART|5ASPD|7DUR|8RCR|9RPLT|aDMG
82	33441 25122	   	171.51	ACR|2VULN|1AART|1DMG|2CDMG	1RMIN|2RCR|38VULN|4AART|5CGEN|6DMG|7DUST|9aCDMG
83	12522 22123	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ERES|2CGEN|3AART|4aDMG|5CDMG|6ZMB|7RCR|8VULN|9LEGI
84	12522 22126	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ERES|2CGEN|3AART|4DMG|5CDMG|6ZMB|7RCR|8aVULN|9LEGI
85	35522 22263	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RMIN|2ERES|3AART|4aDMG|5CDMG|6ZMB|7RCR|8DUST|9VULN
86	33445 21121	   	171.42	ACR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1RMIN|2RCR|38VULN|4AART|5DUR|6ZMB|7ASPD|9CDMG|aRCVC
87	23327 33826	   	171.33	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	14DUR|2MBVNT|3RCR|57DMG|6CDMG|8VULN|9ERES|aAART
88	23327 33836	   	171.33	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	14DUR|2MBVNT|3RCR|57DMG|6CDMG|8VULN|9LEGI|aAART
89	23327 33872	   	171.33	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	14DUR|2MBVNT|3RCR|57DMG|6CDMG|8VULN|9AIRHEA|aAART
90	33411 12514	 * 	171.32	ACR|2VULN|3ZMB|1AART|2ASPD	1RMIN|2RCR|37VULN|47aZMB|5DMSP|67ASPD|7BPWR|8AART|9FEWX
91	24216 33411	 * 	171.31	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1DUR|2TLV|3VULN|4ZMB|57aDMG|6CDMG|8RCR|9ASPD
92	23342 64731	   	171.28	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	17DUR|2MBVNT|3RCR|47FEWX|57VULN|6AART|7BPWR|8LSRREG|9ZMB|aDMG
93	22321 41321	 * 	171.21	DCR|5VULN|1DMG|3DUR|1SELL	179DUR|2SELL|3DMG|46789VULN|579LIT|79BPWR|aRCR
94	33255 51213	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RMIN|2RCR|3FEWX|4DMG|5BELT|6AART|7aVULN|8CDMG|9ASPD
95	33255 51231	   	171.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2RCR|3FEWX|4aDMG|5BELT|6AART|7VULN|8CDMG|9DUR
96	33255 51233	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2RCR|3FEWX|4DMG|5BELT|6AART|7aVULN|8CDMG|9DUR
97	33355 51213	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RMIN|2RCR|3BEXP|4DMG|5BELT|6AART|7aVULN|8CDMG|9ASPD
98	33355 51231	   	171.03	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2RCR|3BEXP|4aDMG|5BELT|6AART|7VULN|8CDMG|9DUR
99	33355 51233	   	171.03	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2RCR|3BEXP|4DMG|5BELT|6AART|7aVULN|8CDMG|9DUR
100	23227 33516	   	170.96	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3VULN|4RCVC|57DMG|6CDMG|8RCR|9ASPD|aAART
101	26241 35322	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2RMIN|38VULN|4AART|5CGEN|6BEXP|7RCR|9aDMG
102	24241 35322	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2TLV|38VULN|4AART|5CGEN|6BEXP|7RCR|9aDMG
103	23327 33811	 * 	170.82	ACR|3DMG|1VULN|1CDMG|2DUR|1ASPD	14DUR|2MBVNT|3RCR|57aDMG|6CDMG|8VULN|9ASPD
104	23276 11137	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|39aVULN|4RPLT|5AART|6RCR|7FEWX|8DMG
105	23276 13331	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|389VULN|4RPLT|5AART|6RCR|7DMG|aBEXP
106	23276 13334	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|389VULN|4RPLT|5AART|6RCR|7DMG|aLIT
107	23276 13335	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|389VULN|4RPLT|5AART|6RCR|7DMG|aFEWX
108	23276 13347	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|38aVULN|4RPLT|5AART|6RCR|7DMG|9FEWX
109	23276 13447	   	170.72	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|39aVULN|4RPLT|5AART|6RCR|7DMG|8LHND
110	33411 12145	   	170.62	ACR|2VULN|3ZMB|1AART|2ASPD	1RMIN|2RCR|37VULN|47aZMB|5DMSP|67ASPD|7BPWR|8MBVNT|9AART
111	33414 12145	   	170.62	ACR|2VULN|3ZMB|1AART|2ASPD	15RMIN|2RCR|37VULN|47aZMB|67ASPD|7BPWR|8MBVNT|9AART
112	23276 14137	   	170.62	DCR|3VULN|1AART|1DMG|1DUR	1DUR|2MBVNT|39aVULN|4RPLT|5AART|6RCR|7DUST|8DMG
113	22334 43323	   	170.60	DCR|2VULN|2DMG|1AART|2DUR|1SELL	14DUR|2SELL|35DMG|6DMSP|7aVULN|8RCR|9AART
114	23342 21631	   	170.57	ACR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|3RCR|4FEWX|57VULN|6aDMG|8DUST|9AART
115	23227 33542	 * 	170.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	1DUR|2MBVNT|3VULN|4RCVC|57DMG|69CDMG|8RCR|aAART
116	33126 21145	   	170.29	ACR|3VULN|1AART|1DMG|1ASPD|1SELL	1RMIN|2RCR|3ASPD|4DMG|5ERES|678VULN|9SELL|aAART
117	33443 53232	 * 	170.06	ACR|2AART|1VULN|1DMG|2ASPD|1ZMB	1RMIN|2RCR|3VULN|45AART|6ZMB|79ASPD|8DMSP|aDMG
118	33443 11222	   	170.03	ACR|2AART|2DMG|1VULN|1DUR	1RMIN|2RCR|3VULN|45AART|6DUR|7MLV|8LWND|9aDMG
119	33443 11422	   	170.03	ACR|2AART|2DMG|1VULN|1DUR	1RMIN|2RCR|3VULN|45AART|6DUR|7MLV|8BEXP|9aDMG
120	33443 11622	   	170.03	ACR|2AART|2DMG|1VULN|1DUR	1RMIN|2RCR|3VULN|45AART|6DUR|7MLV|8FEWX|9aDMG
121	33443 12162	   	170.03	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|2RCR|38VULN|45AART|6DUR|7LHND|9LIT|aDMG
122	33443 12622	   	170.03	ACR|2AART|2DMG|1VULN|1DUR	1RMIN|2RCR|3VULN|45AART|6DUR|7LHND|8MLV|9aDMG
123	33443 13135	   	170.03	ACR|2AART|2VULN|1DMG|1DUR	1RMIN|2RCR|39VULN|45AART|6DUR|7RPLT|8LHND|aDMG
124	33443 35132	   	170.03	ACR|2AART|2VULN|1DMG|1ASPD	1RMIN|2RCR|37VULN|45AART|6MLV|8LIT|9ASPD|aDMG
125	33443 53132	   	169.96	ACR|2AART|1VULN|1DMG|2ASPD|1ZMB	1RMIN|2RCR|3VULN|45AART|6ZMB|79ASPD|8ERES|aDMG
126	33443 12122	 * 	169.93	ACR|2AART|2VULN|2CDMG|1DUR	1RMIN|2RCR|38VULN|45AART|6DUR|7LHND|9aCDMG
127	33443 16122	   	169.93	ACR|2AART|2VULN|2CDMG|1DUR	1RMIN|2RCR|38VULN|45AART|6DUR|7BEXP|9aCDMG
128	33445 12122	   	169.93	ACR|2AART|2VULN|2CDMG|1DUR	1RMIN|2RCR|38VULN|47AART|5DUR|6FEWX|9aCDMG
129	33443 15122	   	169.83	ACR|2AART|2VULN|2CDMG|1DUR	1RMIN|2RCR|38VULN|45AART|6DUR|7DUST|9aCDMG
130	23342 21286	   	169.83	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|2MBVNT|3RCR|4FEWX|57VULN|68DMG|9SELL|aAART
131	23342 24886	   	169.83	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1DUR|2MBVNT|3RCR|4FEWX|58VULN|67DMG|9SELL|aAART
132	33542 16111	   	169.78	ACR|3DMG|1VULN|1CDMG|2DUR	1RMIN|2RCR|3RCVC|4CDMG|56DUR|78aDMG|9VULN
133	24216 33523	   	169.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DUR|2TLV|3VULN|4ZMB|57DMG|6CDMG|8RCVC|9AART|aRCR
134	33442 21162	   	169.59	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RMIN|2RCR|38VULN|4AART|5LHND|6ZMB|7ASPD|9LIT|aDMG
135	33442 21622	   	169.59	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RMIN|2RCR|3VULN|4AART|5LHND|6ZMB|7ASPD|8MLV|9aDMG
136	33441 13135	   	169.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2RCR|39VULN|4AART|5CGEN|6RPLT|7DUR|8ZMB|aDMG
137	41443 21223	   	169.56	ACR|3VULN|2DMG|1DUR|1ASPD	1DMSP|2CGEN|3RCR|4ASPD|5DUR|679VULN|8aDMG
138	33442 21122	   	169.49	ACR|2VULN|1AART|2CDMG|1ZMB|1ASPD	1RMIN|2RCR|38VULN|4AART|5LHND|6ZMB|7ASPD|9aCDMG
139	33442 21132	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1ASPD	1RMIN|2RCR|38VULN|4AART|5LHND|6ZMB|7ASPD|9DUST|aDMG
140	33442 24321	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6ZMB|7DUR|9DMG|aMBVNT
141	33442 24323	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2RCR|38VULN|4AART|5LHND|6ZMB|7DUR|9DMG|aERES
142	33445 22321	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2RCR|38VULN|4AART|5DUR|6ZMB|7LHND|9DMG|aMBVNT
143	33445 22323	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2RCR|38VULN|4AART|5DUR|6ZMB|7LHND|9DMG|aERES
144	33441 23161	   	169.43	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|39VULN|4AART|5CGEN|69DMG|7RPLT|89LHND|9BPWR|aBEXP
145	33441 23162	   	169.43	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|39VULN|4AART|5CGEN|69DMG|7aRPLT|89LHND|9BPWR
146	33441 23261	   	169.43	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|39VULN|4AART|5CGEN|69DMG|7RPLT|89aBEXP|9BPWR
147	33441 23262	   	169.43	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|39VULN|4AART|5CGEN|69DMG|7RPLT|89BEXP|9BPWR|aFEWX
148	33441 23263	   	169.43	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|39VULN|4AART|5CGEN|69DMG|7RPLT|89BEXP|9BPWR|aLHND
149	33441 23163	   	169.33	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|39VULN|4AART|5CGEN|69DMG|7RPLT|89LHND|9BPWR|aDUST
150	23227 33562	   	169.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	19DUR|2MBVNT|3VULN|4RCVC|57DMG|6CDMG|8RCR|aAART
151	33441 21224	   	169.23	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|3aVULN|4AART|5CGEN|69DMG|7MLV|8LWND
152	33441 22162	   	169.23	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5CGEN|6aDMG|7LHND|9LIT
153	33441 23135	   	169.23	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|39VULN|4AART|5CGEN|6aDMG|7RPLT|8LHND
154	33442 15322	   	169.23	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5LHND|6FEWX|79DMG|aMLV
155	33441 32222	   	169.23	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5CGEN|6BEXP|7LHND|9aDMG
156	33441 62222	   	169.23	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5CGEN|6LWND|7LHND|9aDMG
157	33441 63222	   	169.23	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5CGEN|6LWND|7BEXP|9aDMG
158	33126 43532	   	169.13	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RMIN|2RCR|3ASPD|4aDMG|5ERES|6RPLT|7CDMG|8VULN|9AART
159	33441 22132	   	169.13	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5CGEN|6aDMG|7LHND|9DUST
160	33441 26132	   	169.13	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5CGEN|6aDMG|7BEXP|9DUST
161	33442 15312	   	169.13	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5LHND|6FEWX|7aDMG|9ERES
162	33442 15321	   	169.13	ACR|2VULN|2DMG|1AART	1RMIN|2RCR|38VULN|4AART|5LHND|6FEWX|79DMG|aLEGI
