0	Index      	 *	Score 	Summary	Detail	
1	25432 32231	 * 	234.36	ACR|3VULN|3DMG|1AART|2CDMG|1ASPD	128DMG|3ASPD|4RCR|58aVULN|68CDMG|7AART|8BPWR|9CGEN
52	21432 32214	   	207.65	ACR|2VULN|2DMG|1AART|2CDMG|1ASPD|1AAC	18DMG|2DMSP|3ASPD|4RCR|58VULN|68CDMG|7AART|8BPWR|9CGEN|aAAC
53	25335 12512	 * 	207.61	DCR|3DMG|2VULN|1ASPD|1CDMG	128DMG|3LHND|48VULN|5ASPD|6BEXP|78AME|8BPWR|9RCR|aCDMG
54	21563 25212	 * 	207.31	DCR|3DMG|2VULN|1MDPS|1ASPD|1NUKE|1CDMG	167DMG|2DMSP|3MDPS|47VULN|5NUKE|7BPWR|8ASPD|9RCR|aCDMG
55	25432 32411	   	206.80	ACR|2VULN|2DMG|1AART|1ASPD|1CDMG|2DUR	12DMG|3ASPD|4RCR|59VULN|6CDMG|7AART|8aDUR
56	22265 33333	   	205.58	DCR|3DMG|2VULN|2ASPD	146DMG|278BEXP|38VULN|58ASPD|8BPWR|9RCR|aDMSP
57	22265 33334	   	205.58	DCR|3DMG|2VULN|2ASPD	146DMG|278BEXP|38VULN|58ASPD|8BPWR|9RCR|aLHND
58	25462 33333	   	205.58	DCR|3DMG|2VULN|2ASPD	126DMG|38ASPD|478BEXP|58VULN|8BPWR|9RCR|aDMSP
59	22265 33332	   	205.48	DCR|3DMG|2VULN|2ASPD	146DMG|278BEXP|38VULN|58ASPD|8BPWR|9RCR|aERES
60	22265 33335	   	205.48	DCR|3DMG|2VULN|2ASPD|1MSE	146DMG|278BEXP|38VULN|58ASPD|8BPWR|9RCR|aMSE
61	25462 33332	   	205.48	DCR|3DMG|2VULN|2ASPD	126DMG|38ASPD|478BEXP|58VULN|8BPWR|9RCR|aERES
62	21133 22525	   	205.39	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2DMSP|3AART|45FEWX|5BPWR|6RCR|7aVULN|8ASPD|9LIT
63	25133 62151	   	205.31	DCR|3DMG|2VULN|1AART|1ZMB	125DMG|3AART|45FEWX|5BPWR|6ZMB|78VULN|9RCR|aAELBLL
64	25133 62153	   	205.31	DCR|3DMG|2VULN|1AART|1ZMB	125DMG|3AART|45FEWX|5BPWR|6ZMB|78VULN|9RCR|aLIT
65	25111 22525	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3AART|4DMSP|5FEWX|6RCR|7aVULN|8ASPD|9LIT
66	25115 22126	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3AART|4DMSP|59VULN|6RCR|7LWND|8LHND|aASPD
67	25115 23125	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	12DMG|3AART|4DMSP|5aVULN|6RCR|7LIT|8FEWX|9ASPD
68	25133 62152	   	205.21	DCR|3DMG|2VULN|1AART|1ZMB|1MSE	125DMG|3AART|45FEWX|5BPWR|6ZMB|78VULN|9RCR|aMSE
69	22242 25513	 * 	205.08	DCR|4VULN|3DMG|1AAC	178DMG|2BEXP|378aVULN|4AAC|578LHND|6RMIN|78BPWR|9RCR
70	26116 22361	 * 	204.95	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	149DMG|2RMIN|34TLV|4BPWR|5CDMG|6RCR|7AART|8DUR|aVULN
71	25335 11511	   	204.92	DCR|3DMG|2VULN|1ASPD|2ZMB	128DMG|3LHND|48VULN|5ASPD|6aBEXP|78ZMB|8BPWR|9RCR
72	25335 11512	   	204.92	DCR|3DMG|2VULN|1ASPD|2ZMB	128DMG|3aLHND|48VULN|5ASPD|6BEXP|78ZMB|8BPWR|9RCR
73	22263 31343	   	204.88	DCR|4VULN|3DMG	148DMG|258BEXP|368aVULN|7MBVNT|8BPWR|9RCR
74	21321 63461	 * 	204.75	DCR|3DMG|2ASPD|1AART|2DUR	189DMG|2DMSP|34LHND|59DUR|6RCR|79ASPD|9BPWR|aAART
75	25321 63161	   	204.75	DCR|3DMG|2ASPD|1AART|2DUR	129DMG|34LHND|59DUR|6RCR|79ASPD|8DMSP|9BPWR|aAART
76	25321 63261	   	204.75	DCR|3DMG|2ASPD|1AART|2DUR	129DMG|348LHND|59DUR|6RCR|79ASPD|9BPWR|aAART
77	26111 63151	   	204.65	DCR|3DMG|2ASPD|1AART|2DUR	149DMG|2RMIN|34TLV|49BPWR|59DUR|6RCR|79ASPD|8DMSP|aAART
