0	Index      	 *	Score 	Summary	Detail	
1	12322 63415	 * 	195.27	ACR|3VULN|1AART|1DMG|2CDMG|1ZMB	1CGEN|2RCR|36CDMG|4ZMB|578VULN|9AART|aDMG
24	12322 63315	   	179.61	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	18CGEN|2RCR|36CDMG|4ZMB|57VULN|9AART|aDMG
25	13624 23441	   	179.23	DCR|3VULN|1AART|1DMG|1CDMG	17CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|9DMG
26	22263 51513	   	179.09	ACR|3DMG|2VULN|1AART	1LEGI|2aVULN|3CGEN|4RCVC|5RCR|6aBEXP|7AART|89aDMG|aBPWR
27	12322 43411	   	178.33	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|3CDMG|4ZMB|578VULN|6RCVC|9AART|aASPD
28	22432 51613	   	177.99	ACR|3DMG|2VULN|1AART	1LEGI|2aVULN|36aERES|4RCR|5MBVNT|7AART|89aDMG|aBPWR
29	13113 21655	 * 	177.97	DCR|3VULN|1AART|1DMG|2ZMB|1ASPD	17CGEN|2AART|3ERES|457VULN|67ZMB|7BPWR|8ASPD|9DMG|aRCR
30	31641 21336	   	177.94	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1ERES|2CGEN|3ZMB|4RCR|567VULN|8AART|9DMG|aDUR
31	13455 23321	 * 	177.33	DCR|2AART|2VULN|3ZMB|2DUR	1CGEN|23AART|46DUR|567ZMB|6BPWR|8RCR|9aVULN
32	56123 31243	   	177.08	ACR|2VULN|2DMG|1AART|1CDMG	1aMLV|28DMG|3aLIT|4RCR|5LHND|6AART|7CDMG|9aVULN|aBPWR
33	12247 14147	   	177.00	ACR|3VULN|1AART|1DMG|1ZMB	1CGEN|2RCR|3MGNSTR|4MBVNT|589VULN|6AART|7ZMB|aDMG
34	12326 61151	 * 	176.80	ACR|3CDMG|1AART|1VULN|1DMG|1ZMB|1DUR	1CGEN|2RCR|379CDMG|4ZMB|5DMG|6AART|8DUR|aVULN
35	13624 46234	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2AART|3CDMG|47VULN|5MBVNT|6LIT|8RCR|9aDMG
36	12326 61136	   	176.06	ACR|1AART|1VULN|1DMG|2CDMG|2DUR|1ZMB	1CGEN|2RCR|37CDMG|4ZMB|5DMG|6AART|89DUR|aVULN
37	13113 23116	   	176.02	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2AART|3ERES|45VULN|6ZMB|7RCR|8AIRHEL|9aDMG
38	12321 53411	   	175.83	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	15CGEN|2RCR|3CDMG|4ZMB|678VULN|9AART|aASPD
39	12322 11663	   	175.83	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1CGEN|2RCR|3CDMG|4ZMB|58aVULN|6FEWX|7DUR|9AART
40	12322 43315	   	175.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	18CGEN|2RCR|3CDMG|4ZMB|57VULN|6RCVC|9AART|aDMG
41	12326 63161	 * 	175.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|2RCR|3CDMG|4ZMB|5DMG|69AART|7DUST|8ASPD|aVULN
42	11646 24113	   	175.54	ACR|2VULN|2DMG|1AART|1ZMB	12aCGEN|3RCR|4ZMB|5MBVNT|6aVULN|7aDMG|8AART|9RMIN|aBPWR
43	22333 23524	 * 	175.23	DCR|3VULN|2DMG|2CDMG	1LEGI|27aVULN|3aDMG|4MLV|5LWND|6RCR|8MBVNT|9aCDMG|aBPWR
44	12322 63412	   	175.20	ACR|3VULN|1AART|2CDMG|1ZMB	1CGEN|2RCR|36CDMG|4ZMB|578VULN|9AART|aLIT
45	12322 63413	   	175.10	ACR|3VULN|1AART|2CDMG|1ZMB	1CGEN|2RCR|36CDMG|4ZMB|578VULN|9AART|aERES
46	12326 62523	   	175.10	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5DMG|6AART|7FEWX|8LWND|9aVULN
47	12214 15126	   	174.97	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|5LHND|6AART|7aDMG|89VULN
48	12216 15116	   	174.97	ACR|2VULN|2DMG|1AART|1DUR	19CGEN|2RCR|3MGNSTR|4DUR|58VULN|6AART|7aDMG
49	12216 15136	   	174.97	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|58VULN|6AART|7aDMG|9LHND
50	12216 15161	   	174.97	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|58VULN|6AART|79DMG|aLIT
51	12216 15162	   	174.97	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|58VULN|6AART|79DMG|aLWND
52	12216 15163	   	174.97	ACR|2VULN|2DMG|1AART|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|58VULN|6AART|79DMG|aLHND
53	12216 26341	   	174.70	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|5VULN|6DMG|7ZMB|8aAART|9CDMG
54	22433 11514	   	174.67	ACR|2DMG|2VULN|1AART|2DUR	1LEGI|2aVULN|3ERES|4RCR|56DUR|7AART|89DMG
55	22436 21322	   	174.38	ACR|2DMG|2VULN|1AART|1CDMG	1LEGI|28VULN|36ERES|4RCR|58DMG|78BEXP|8BPWR|9CDMG|aAART
56	22436 22382	   	174.18	ACR|2DMG|2VULN|1AART|1CDMG	1LEGI|28VULN|368ERES|4RCR|58DMG|7MBVNT|8BPWR|9CDMG|aAART
57	13113 23234	   	174.18	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|2AART|3ERES|45aVULN|6ZMB|7RCR|8LWND|9DMG
58	13113 23626	   	174.18	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|2AART|3ERES|45aVULN|6ZMB|7RCR|8LIT|9DMG
59	13113 23356	   	174.08	DCR|3VULN|1AART|2CDMG|1ZMB	1CGEN|2AART|3ERES|45aVULN|6ZMB|7RCR|89CDMG
60	13113 23534	   	174.08	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|2AART|3ERES|45aVULN|6ZMB|7RCR|8DUST|9DMG
61	12323 43552	 * 	174.04	ACR|3VULN|1AART|2ZMB|1CDMG	19CGEN|2RCR|3CDMG|49ZMB|5SNIHEL|6LIT|7AART|89aVULN|9BPWR
62	12322 55523	   	173.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5aVULN|6DMG|7MLV|8AART|9FEWX
63	12333 63133	   	173.85	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1SELL	1aCGEN|2RCR|3CDMG|4aBEXP|5VULN|6SELL|7ZMB|8AART|9aDMG|aBPWR
64	12322 54523	   	173.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5aVULN|6DMG|7ERES|8AART|9FEWX
65	12326 43523	   	173.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5DMG|6ERES|7aVULN|8AART|9FEWX
66	13112 21655	 * 	173.77	DCR|2AART|2VULN|1DMG|2ZMB|1ASPD	17CGEN|25AART|3ERES|47VULN|67ZMB|7BPWR|8ASPD|9DMG|aRCR
67	12333 63134	   	173.65	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CGEN|2RCR|3CDMG|4BEXP|5aVULN|6SELL|7ZMB|8AART|9DMG
68	12322 51112	   	173.60	ACR|2VULN|2DMG|2CDMG|1ZMB	1CGEN|2RCR|39CDMG|4ZMB|5aVULN|69DMG|7LIT|89LWND|9BPWR
69	12322 51612	   	173.60	ACR|2VULN|2DMG|2CDMG|1ZMB	1CGEN|2RCR|39CDMG|4ZMB|5aVULN|69DMG|7LIT|89LHND|9BPWR
70	12321 53315	   	173.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	158CGEN|2RCR|3CDMG|4ZMB|67VULN|9AART|aDMG
71	12322 12413	   	173.20	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5VULN|6FEWX|7BASICY|8aDMG|9AART
72	12322 52813	   	173.10	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5VULN|6aDMG|7MBVNT|8LSRHEA|9AART
73	36124 31242	   	173.07	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1ERES|28DMG|3LIT|4RCR|5DUR|6AART|7CDMG|9VULN|aASPD
74	12247 14174	 * 	172.80	ACR|2VULN|2AART|1DMG|1ZMB	1CGEN|2RCR|3MGNSTR|4MBVNT|58VULN|6aAART|7ZMB|9DMG
75	13113 23335	 * 	172.70	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1CGEN|2AART|3ERES|45VULN|6ZMB|7RCR|8CDMG|9DUR|aFLTHEA
76	12322 33432	   	172.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|57VULN|6LWND|8DMG|9LHND|aAART
77	12322 54422	   	172.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5VULN|68DMG|7ERES|9LWND|aAART
78	12326 43422	   	172.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|58DMG|6ERES|7VULN|9LWND|aAART
79	13113 23611	   	172.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2AART|3ERES|45VULN|6ZMB|7RCR|8LIT|9CDMG|aDMG
80	13113 23624	   	172.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2AART|3ERES|45VULN|6ZMB|7RCR|8LIT|9DMG|aCDMG
81	31641 21323	   	171.98	ACR|4VULN|1AART|1ZMB|1DUR	1ERES|2CGEN|3ZMB|4RCR|567aVULN|8AART|9DUR
82	12521 21336	   	171.74	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2RCR|3RMIN|4ERES|567VULN|8AART|9DMG|aDUR
83	12552 21336	   	171.74	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2RCR|3RMIN|467VULN|5ERES|8AART|9DMG|aDUR
84	12322 51116	 * 	171.66	ACR|3DMG|1VULN|2CDMG|1ZMB	1CGEN|2RCR|39CDMG|4ZMB|5VULN|69aDMG|7LIT|89LWND|9BPWR
85	12322 51216	   	171.66	ACR|3DMG|1VULN|2CDMG|1ZMB	1CGEN|2RCR|39CDMG|4ZMB|5VULN|69aDMG|7LIT|89BEXP|9BPWR
86	12322 51316	   	171.66	ACR|3DMG|1VULN|2CDMG|1ZMB	1CGEN|2RCR|39CDMG|4ZMB|5VULN|69aDMG|7LIT|89FEWX|9BPWR
87	12322 51616	   	171.66	ACR|3DMG|1VULN|2CDMG|1ZMB	1CGEN|2RCR|39CDMG|4ZMB|5VULN|69aDMG|7LIT|89LHND|9BPWR
88	12416 32343	   	171.64	ACR|3VULN|1AART|1DMG|1DUR	1CGEN|2RCR|3DUR|49ERES|57aVULN|6DMG|8AART
89	13624 22116	   	171.60	DCR|3VULN|1AART|1CDMG|2DUR	18CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|78DUR|8BPWR|9FEWX
90	13624 22145	   	171.60	DCR|3VULN|1AART|1CDMG|2DUR	18CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|78DUR|8BPWR|9LIT
91	13624 22163	   	171.60	DCR|3VULN|1AART|1CDMG|2DUR	18CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|78DUR|8BPWR|9LWND
92	13624 22183	   	171.60	DCR|3VULN|1AART|1CDMG|2DUR	18CGEN|2AART|3CDMG|48aVULN|5MBVNT|6RCR|78DUR|8BPWR|9LHND
93	13421 61116	 * 	171.52	DCR|2AART|2DMG|1VULN|1DUR	1CGEN|23AART|4RCVC|5VULN|6RCR|7LSRICY|8DUR|9aDMG
94	12322 63431	   	171.46	ACR|3VULN|2CDMG|1DMG|1ZMB	1CGEN|2RCR|36CDMG|4ZMB|578VULN|9LIT|aDMG
95	12322 43412	   	171.39	ACR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|578VULN|6RCVC|9AART|aLIT
96	12322 43413	   	171.29	ACR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|578VULN|6RCVC|9AART|aERES
97	12342 63411	   	171.14	ACR|3VULN|1AART|2CDMG|1ASPD	1CGEN|2RCR|36CDMG|4MLV|578VULN|9AART|aASPD
98	12326 62131	 * 	171.06	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5DMG|6AART|7FEWX|89ASPD|aVULN
99	12247 14144	   	171.04	ACR|4VULN|1AART|1ZMB	1CGEN|2RCR|3MGNSTR|4MBVNT|589aVULN|6AART|7ZMB
100	31641 21331	   	171.00	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3ZMB|4RCR|567VULN|8AART|9DMG|aRPLT
101	31641 21335	   	171.00	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3ZMB|4RCR|567VULN|8AART|9DMG|aLWND
102	31641 21341	   	171.00	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3ZMB|4RCR|567VULN|8AART|9MGNLIT|aDMG
103	12352 62313	   	170.93	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1CGEN|2RCR|3CDMG|4RPLT|5ERES|6AART|7VULN|8ASPD|9aDMG
104	12422 18244	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4FEWX|5MBVNT|6AART|7aVULN|8CDMG|9DMG
105	12452 18244	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4BEXP|5MBVNT|6AART|7aVULN|8CDMG|9DMG
106	31641 21332	   	170.90	ACR|3VULN|1AART|1DMG|1ZMB	1aERES|2CGEN|3ZMB|4RCR|567VULN|8AART|9DMG
107	31641 21334	   	170.90	ACR|3VULN|1AART|1DMG|1ZMB	1ERES|2CGEN|3ZMB|4RCR|567VULN|8AART|9DMG|aMBVNT
108	12326 62151	   	170.76	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1ASPD	1CGEN|2RCR|39CDMG|4ZMB|5DMG|6AART|7FEWX|8ASPD|aVULN
109	12326 61221	   	170.66	ACR|1AART|1VULN|1DMG|2CDMG|1ZMB|1DUR	1CGEN|2RCR|37CDMG|4ZMB|5DMG|6AART|8ERES|9DUR|aVULN
110	13624 22744	   	170.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3CDMG|4aVULN|5MBVNT|6RCR|7DUR|8BEXP|9DMG
111	13624 22844	   	170.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2AART|3CDMG|4aVULN|5MBVNT|6RCR|7DUR|8DUST|9DMG
112	12441 31314	   	170.19	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2RCR|3DUR|4RCVC|5ERES|6DMG|7aVULN|8AART|9ZMB
113	22362 34363	 * 	170.17	DCR|4VULN|2DMG	1LEGI|259aVULN|39DMG|4RCVC|6RMIN|7RCR|89BEXP|9BPWR
114	12323 43522	   	169.99	ACR|3VULN|1AART|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5SNIHEL|6LIT|7AART|89aVULN
115	13112 23234	   	169.98	DCR|2AART|2VULN|1DMG|1ZMB	1CGEN|25AART|3ERES|4aVULN|6ZMB|7RCR|8LWND|9DMG
116	13112 23626	   	169.98	DCR|2AART|2VULN|1DMG|1ZMB	1CGEN|25AART|3ERES|4aVULN|6ZMB|7RCR|8LIT|9DMG
117	13434 23234	   	169.98	DCR|2AART|2VULN|1DMG|1ZMB	1CGEN|23AART|4ERES|5aVULN|6ZMB|7RCR|8LWND|9DMG
118	13624 26442	   	169.89	DCR|2VULN|1AART|1DMG|2CDMG	1CGEN|2AART|37CDMG|48VULN|5MBVNT|6RCR|9DMG|aFEWX
119	13112 23116	   	169.88	DCR|2AART|2DMG|1VULN|1ZMB	1CGEN|25AART|3ERES|4VULN|6ZMB|7RCR|8AIRHEL|9aDMG
120	13112 23356	 * 	169.88	DCR|2AART|2VULN|2CDMG|1ZMB	1CGEN|25AART|3ERES|4aVULN|6ZMB|7RCR|89CDMG
121	13112 23534	   	169.88	DCR|2AART|2VULN|1DMG|1ZMB	1CGEN|25AART|3ERES|4aVULN|6ZMB|7RCR|8DUST|9DMG
122	13434 23116	   	169.88	DCR|2AART|2DMG|1VULN|1ZMB	1CGEN|23AART|4ERES|5VULN|6ZMB|7RCR|8AIRHEL|9aDMG
123	12326 61351	   	169.86	ACR|3CDMG|1AART|1VULN|1DMG|1ZMB	1CGEN|2RCR|379CDMG|4ZMB|5DMG|6AART|8BEXP|aVULN
124	12436 32331	   	169.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9CDMG|aLIT
125	12436 32332	   	169.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9CDMG|aFEWX
126	13624 26443	   	169.79	DCR|2VULN|1AART|1DMG|2CDMG	1CGEN|2AART|37CDMG|48VULN|5MBVNT|6RCR|9DMG|aDUST
127	12416 32331	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9CDMG|aLIT
128	12416 32332	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9CDMG|aFEWX
129	12436 32333	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9CDMG|aDUST
130	12436 32336	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4MLV|57VULN|6DMG|8AART|9CDMG|aERES
131	12466 32331	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4TLV|57VULN|6DMG|8AART|9CDMG|aLIT
132	12466 32332	   	169.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4TLV|57VULN|6DMG|8AART|9CDMG|aFEWX
133	22436 15323	   	169.73	ACR|2DMG|2VULN|2CDMG|2DUR	1LEGI|28VULN|37ERES|4RCR|58DMG|68DUR|8BPWR|9aCDMG
134	12416 32333	   	169.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4ERES|57VULN|6DMG|8AART|9CDMG|aDUST
135	12416 32336	   	169.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4aERES|57VULN|6DMG|8AART|9CDMG
136	12466 32333	   	169.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3DUR|4TLV|57VULN|6DMG|8AART|9CDMG|aDUST
137	13624 22164	   	169.60	DCR|2VULN|1AART|1CDMG|1FLTHEA|2DUR	18CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|78DUR|8BPWR|9LWND|aFLTHEA
138	13624 22184	   	169.60	DCR|2VULN|1AART|1CDMG|1FLTHEA|2DUR	18CGEN|2AART|3CDMG|48VULN|5MBVNT|6RCR|78DUR|8BPWR|9LHND|aFLTHEA
139	12212 53322	   	169.53	ACR|2VULN|2DMG|2CDMG|1DUR	1CGEN|2RCR|3aMGNSTR|4DUR|5LWND|6aCDMG|78VULN|9aDMG|aBPWR
140	12216 51322	   	169.53	ACR|2VULN|2DMG|2CDMG|1DUR	1CGEN|2RCR|3aMGNSTR|4DUR|58VULN|6aCDMG|7LHND|9aDMG|aBPWR
141	12216 53222	   	169.53	ACR|2VULN|2DMG|2CDMG|1DUR	1CGEN|2RCR|3aMGNSTR|4DUR|57VULN|6aCDMG|8LHND|9aDMG|aBPWR
142	12216 55322	   	169.53	ACR|2VULN|2DMG|2CDMG|1DUR	1CGEN|2RCR|3aMGNSTR|4DUR|58VULN|6aCDMG|7LWND|9aDMG|aBPWR
143	16342 21314	   	169.47	ACR|2VULN|2DMG|1AART|1ASPD	1CGEN|29DMG|3TLV|4RCR|5aVULN|6LWND|7AART|8ASPD
144	66113 12223	 * 	169.13	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1ASPD|2aDMG|3LIT|4CGEN|5aCDMG|6VULN|7AART|8RCR|9aDUST|aBPWR
145	56123 32332	   	169.08	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	18MLV|28DMG|3LIT|4RCR|5LHND|6AART|78DUR|8BPWR|9VULN|aZMB
146	12326 62521	   	168.96	ACR|2AART|1DMG|1VULN|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5DMG|6aAART|7FEWX|8LWND|9VULN
147	12441 31335	   	168.90	ACR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1DUR	1CGEN|2RCR|3DUR|4RCVC|5ERES|6DMG|7VULN|8AART|9CDMG|aFLTHEA
148	12321 53412	   	168.89	ACR|3VULN|1AART|1CDMG|1ZMB	15CGEN|2RCR|3CDMG|4ZMB|678VULN|9AART|aLIT
149	12321 53413	   	168.79	ACR|3VULN|1AART|1CDMG|1ZMB	15CGEN|2RCR|3CDMG|4ZMB|678VULN|9AART|aERES
150	12212 53326	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|5LWND|6CDMG|78VULN|9DMG|aAART
151	12216 51326	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|58VULN|6CDMG|7LHND|9DMG|aAART
152	12216 53226	   	168.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1CGEN|2RCR|3MGNSTR|4DUR|57VULN|6CDMG|8LHND|9DMG|aAART
153	12342 63315	   	168.61	ACR|2VULN|1AART|1DMG|2CDMG	18CGEN|2RCR|36CDMG|4MLV|57VULN|9AART|aDMG
154	12326 62134	 * 	168.58	ACR|2DMG|1AART|2ASPD|1CDMG|1ZMB	1CGEN|2RCR|3CDMG|4ZMB|5aDMG|6AART|7FEWX|89ASPD
155	63464 33114	   	168.56	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1ASPD|2TLV|3MBVNT|45aVULN|6DMG|7DUR|8AART|9RCR
156	12216 26342	   	168.54	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1CGEN|2RCR|3MGNSTR|4aDUR|5VULN|6DMG|7ZMB|8AART|9CDMG
157	12216 53152	   	168.41	ACR|2VULN|2DMG|1CDMG|2DUR	1aCGEN|2RCR|3MGNSTR|4aDUR|57VULN|6CDMG|8MBVNT|9aDMG|aBPWR
158	12322 35462	   	168.36	ACR|1AART|1DMG|2CDMG|1VULN|1ZMB|1ASPD	1CGEN|2RCR|37CDMG|4ZMB|5VULN|6LWND|8DMG|9ASPD|aAART
159	56124 31231	 * 	168.34	ACR|3DMG|1AART|2CDMG|1DUR	19MLV|289DMG|3LIT|4RCR|5DUR|6AART|79CDMG|9BPWR|aBEXP
