0	Index      	 *	Score 	Summary	Detail	
1	45322 36213	 * 	185.91	DCR|3DMG|2VULN|1AART|1ASPD	1ASPD|2aVULN|3DUST|4BELT|5AART|689DMG|7RCR
33	43311 54221	   	170.02	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2AART|34ERES|58aVULN|6BELT|7RCR|9DMG
34	25312 28437	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1DUR|2aVULN|3ZMB|4CGEN|5MBVNT|6AART|7RCR|8ASPD|9DMG
35	53311 16225	 * 	169.89	DCR|2VULN|1AART|1DMG|2CDMG	1LSRICY|2AART|3LEGI|4aCDMG|5LIT|6RCR|79VULN|8DMG
36	43133 21362	   	169.83	DCR|2VULN|1AART|1DMG|1CDMG|2ASPD	13ASPD|2AART|3BPWR|4TLV|5aVULN|6CDMG|7DMG|8ERES|9RCR
37	43133 23562	   	169.83	DCR|2VULN|1AART|1DMG|1CDMG|2ASPD	13ASPD|2AART|3BPWR|4TLV|5aVULN|6CDMG|7ERES|8DMG|9RCR
38	43163 25443	   	169.43	DCR|3VULN|1AART|1DMG|2ASPD	13ASPD|2AART|3BPWR|4DMG|578VULN|6MBVNT|9NUKE|aRCR
39	42161 25323	   	169.24	DCR|2VULN|1AART|1FLTHEA|1CDMG|1DUR|1ASPD	1ASPD|2LIT|3DUR|4CDMG|5AART|6RCR|79VULN|8SNIHEL|aFLTHEA
40	43233 36326	   	168.65	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2AART|3LWND|4VULN|5RCVC|6ZMB|7CDMG|8RCR|aDMG
41	43233 16312	   	168.62	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|39LWND|4aVULN|5RCVC|6DMG|7CDMG|8RCR
42	43113 16314	   	168.42	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG|1DUR	13ASPD|28AART|3BPWR|4DUR|5VULN|6DMG|7CDMG|9FEWX|aRCR
43	45322 36211	   	168.32	DCR|3DMG|1AART|1VULN|1ASPD	1ASPD|2VULN|3DUST|4BELT|5AART|689DMG|7RCR|aRMIN
44	53112 15311	 * 	168.31	DCR|2AART|2VULN|2CDMG|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|78CDMG|9aVULN
45	53451 11223	   	168.27	DCR|2VULN|1AART|1CDMG|1FLTHEA|1ZMB	1LSRICY|2AART|3CDMG|49VULN|5LIT|6RCR|7ZMB|8LHND|aFLTHEA
46	43236 36312	   	168.20	DCR|2AART|2VULN|1CDMG|1ZMB|1ASPD	1ASPD|25AART|39LWND|4aVULN|6ZMB|7CDMG|8RCR
47	43115 24212	   	168.11	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5BELT|6CGEN|7RCR|8aVULN|9DMG
48	43115 24213	   	168.11	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5BELT|6CGEN|7RCR|8VULN|9aDMG
49	53143 13111	 * 	168.10	ACR|2AART|2DMG|1VULN|1ZMB	1LSRICY|23AART|4RPLT|5RCR|6aDMG|7LIT|8ZMB|9VULN
50	43311 54222	   	168.01	DCR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1ASPD|2AART|34ERES|58VULN|6BELT|7RCR|9DMG|aFLTHEA
51	43113 12224	   	167.98	DCR|1AART|1DMG|1VULN|2ASPD|1CDMG|1ZMB|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6DMG|7CGEN|8ZMB|9CDMG|aRCR
52	45431 31332	   	167.82	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1ASPD	1ASPD|258VULN|3DMG|4RCVC|6FLTHEA|7CDMG|9RCR|aCGEN
53	31325 13433	   	167.73	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1CGEN|2AIRHEL|3CDMG|47VULN|5AART|6FLTHEA|8RCVC|9DMG|aRCR
54	45431 31333	   	167.72	DCR|3VULN|1DMG|1CDMG|1FLTHEA|1ASPD	1ASPD|258VULN|3DMG|4RCVC|6FLTHEA|7CDMG|9RCR|aERES
55	43236 16321	   	167.59	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG	19ASPD|25AART|3LWND|4VULN|6DMG|7CDMG|8RCR|aRCVC
56	43163 27424	   	167.53	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	13ASPD|2AART|3BPWR|4DMG|59VULN|6MBVNT|7CDMG|8MGNSTR|aRCR
57	25631 31324	 * 	167.45	DCR|4VULN|1CDMG|1FLTHEA|2DUR	14DUR|258aVULN|3RCVC|6FLTHEA|7CDMG|9RCR
58	53112 16141	   	167.29	DCR|2AART|2VULN|1CDMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8aVULN|9CDMG
59	53112 16211	   	167.29	DCR|2AART|2VULN|1CDMG|2DUR	1LSRICY|23AART|4LIT|57DUR|6RCR|8CDMG|9aVULN
60	43111 34622	   	166.90	DCR|2VULN|1AART|2ASPD|1CDMG|2DUR	13ASPD|2AART|3BPWR|45DUR|6NUKE|7RCR|8aVULN|9CDMG
61	45331 32623	   	166.65	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|26VULN|3DUST|4AART|5FEWX|7DUR|8DMG|9CDMG|aRCR
62	43166 22133	   	166.39	DCR|2DMG|1AART|1VULN|3ASPD	137ASPD|2AART|3BPWR|45DMG|6LIT|8RCR|9VULN|aRCVC
63	43236 16323	   	166.29	DCR|2AART|1VULN|1DMG|2ASPD|1CDMG	19ASPD|25AART|3aLWND|4VULN|6DMG|7CDMG|8RCR
64	43233 36322	   	166.17	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2AART|3LWND|4aVULN|5RCVC|6ZMB|7CDMG|8RCR
65	43236 12224	   	165.88	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB|1ASPD	1ASPD|25AART|3LWND|4VULN|6DMG|7CGEN|8ZMB|9CDMG|aRCR
66	43232 36326	   	165.84	DCR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	19ASPD|2AART|35LWND|4VULN|6ZMB|7CDMG|8RCR|aDMG
67	31325 13143	   	165.83	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1CGEN|2AIRHEL|3CDMG|47VULN|5AART|6FLTHEA|8FEWX|9DMG|aRCR
68	31325 13233	   	165.83	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	18CGEN|2AIRHEL|3CDMG|47VULN|5AART|6FLTHEA|9DMG|aRCR
69	53453 21421	   	165.81	DCR|3VULN|2AART|1CDMG	1LSRICY|25AART|3CDMG|469VULN|7MBVNT|8RCR|aRPLT
70	53453 21422	   	165.81	DCR|3VULN|2AART|1CDMG	1LSRICY|25AART|3CDMG|469VULN|7MBVNT|8RCR|aBELT
71	53453 21432	   	165.81	DCR|3VULN|2AART|1CDMG	1LSRICY|25AART|3CDMG|46aVULN|7MBVNT|8RCR|9RPLT
72	31325 13633	   	165.73	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1CGEN|2AIRHEL|3CDMG|47VULN|5AART|6FLTHEA|8DUST|9DMG|aRCR
73	31342 14213	 * 	165.63	DCR|3VULN|2DMG|2CDMG	18CGEN|2AIRHEL|38CDMG|4ERES|569VULN|78DMG|8BPWR|aRCR
74	25431 31621	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|27VULN|3ERES|4RMIN|5CDMG|6RCR|8DMG|9TLV|aAART
75	43113 34324	   	165.50	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB|1DUR	13ASPD|2AART|3BPWR|4DUR|57VULN|6ZMB|8LHND|9CDMG|aRCR
76	43532 36312	   	165.32	DCR|3VULN|1AART|1DMG|1ASPD	1ASPD|2AART|3BEXP|46aVULN|5LWND|7ERES|8DMG|9RCR
77	41321 14131	 * 	165.17	DCR|4VULN|1DMG|1CDMG|1ASPD	1ASPD|2MGNSTR|3CDMG|468aVULN|5MLV|7DMG|9RCR
78	43166 22121	   	165.09	DCR|2DMG|1AART|3ASPD|1VULN	137ASPD|2AART|3BPWR|45DMG|6LIT|8RCR|9LWND|aVULN
79	21316 56223	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4CGEN|5BELT|6RCR|7AART|89DMG|aVULN
80	21323 56223	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5CGEN|6RCR|7AART|89DMG|aVULN
81	21323 56262	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5CGEN|6RCR|7AART|8aDMG|9VULN
82	21324 56223	   	164.97	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2BEXP|3ZMB|4BELT|5MLV|6RCR|7AART|89DMG|aVULN
83	43231 35632	   	164.95	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2AART|3LWND|46VULN|5FEWX|7BEXP|89DMG|aRCR
84	53411 16221	   	164.88	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3CDMG|4DUST|5LIT|6RCR|79VULN|8DMG|aRCVC
85	43163 22238	   	164.88	DCR|2DMG|1AART|1VULN|2ASPD|1ZMB	13ASPD|2AART|3BPWR|49DMG|5VULN|6MBVNT|7CGEN|8ZMB|aRCR
86	23323 52223	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5CGEN|6RCR|7AART|89DMG|aVULN
87	23323 52262	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5CGEN|6RCR|7AART|8aDMG|9VULN
88	23324 52223	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5MLV|6RCR|7AART|89DMG|aVULN
89	23324 52262	   	164.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2DUST|3ZMB|4BELT|5MLV|6RCR|7AART|8aDMG|9VULN
90	21531 34312	   	164.86	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	13DUR|2BEXP|4AART|5RMIN|6ZMB|7aVULN|8DMG|9RCR
91	21533 34312	   	164.86	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	13DUR|2BEXP|4AART|5CGEN|6ZMB|7aVULN|8DMG|9RCR
92	43231 33632	   	164.85	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2AART|3LWND|46VULN|5FEWX|7DUST|89DMG|aRCR
93	23531 34512	   	164.76	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	13DUR|2DUST|4AART|5RMIN|6ZMB|7aVULN|8DMG|9RCR
94	25431 31633	   	164.48	DCR|3VULN|1DMG|2CDMG|1DUR	1DUR|279VULN|3ERES|4RMIN|5aCDMG|6RCR|8DMG
95	53112 11211	   	164.47	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|7BEXP|8CDMG|9VULN|aDMG
96	53112 12211	   	164.47	DCR|2AART|1DMG|1VULN|1CDMG|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|7LHND|8CDMG|9VULN|aDMG
97	53112 15151	   	164.47	DCR|2AART|1DMG|1VULN|1CDMG|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|7CDMG|8VULN|9LHND|aDMG
98	53112 15252	   	164.47	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|7CDMG|8DMG|9RPLT|aVULN
99	53113 16211	   	164.47	DCR|2AART|1DMG|1VULN|1CDMG|1DUR	1LSRICY|23AART|4LIT|5LHND|6RCR|7DUR|8CDMG|9VULN|aDMG
100	53115 16211	   	164.47	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LSRICY|23AART|4LIT|5FEWX|6RCR|7DUR|8CDMG|9VULN|aDMG
101	53116 16211	   	164.47	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LSRICY|23AART|4LIT|5BEXP|6RCR|7DUR|8CDMG|9VULN|aDMG
102	25431 35311	   	164.39	DCR|2VULN|2AART|1CDMG|2DUR	19DUR|29VULN|3ERES|4RMIN|5CDMG|6RCR|7aAART|89LHND|9BPWR
103	53112 15611	   	164.37	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1LSRICY|23AART|4LIT|5DUR|6RCR|7CDMG|8DUST|9VULN|aDMG
104	25431 35211	   	164.19	DCR|2VULN|2AART|1CDMG|2DUR	19DUR|29VULN|3ERES|4RMIN|5CDMG|6RCR|7aAART|89DUST|9BPWR
105	25236 31361	 * 	164.15	DCR|2VULN|2DMG|1FLTHEA|2ASPD|1DUR	1DUR|26VULN|37ASPD|4DUST|56DMG|6BPWR|8FLTHEA|9CGEN|aRCR
106	45322 36232	   	164.11	DCR|2AART|2DMG|1VULN|1ASPD	1ASPD|2VULN|3DUST|4BELT|5aAART|68DMG|7RCR|9FEWX
107	53311 16242	   	163.93	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|7VULN|8DMG|9ZMB|aDUR
108	53113 15233	 * 	163.85	DCR|2AART|1DMG|2CDMG|1VULN	1LSRICY|23AART|4LIT|5LHND|6RCR|79CDMG|8DMG|aVULN
109	43233 14324	   	163.82	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1ASPD|2AART|3LWND|47VULN|5RCVC|6DMG|8LHND|9CDMG|aRCR
110	32215 21431	   	163.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2LIT|3DMG|4ASPD|5AART|6LHND|7RCR|8aVULN|9ZMB
111	32215 21531	   	163.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2LIT|3DMG|4ASPD|5AART|6LHND|7RCR|8ZMB|9aVULN
112	32215 31421	   	163.77	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|2LIT|3DMG|4ASPD|5AART|6LWND|7RCR|8aVULN|9ZMB
113	42212 21515	 * 	163.72	DCR|2VULN|2DMG|3ASPD|1CDMG	149ASPD|2LIT|39DMG|5CDMG|6CGEN|7RPLT|89VULN|9BPWR|aRCR
114	53451 12221	   	163.68	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3CDMG|49VULN|5LIT|6RCR|7LHND|8DMG|aBELT
115	53451 12222	   	163.68	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3CDMG|49VULN|5LIT|6RCR|7LHND|8DMG|aMLV
116	53453 31424	   	163.67	DCR|2AART|2VULN|1CDMG|1ZMB	1LSRICY|25AART|3CDMG|49VULN|6RCVC|7MBVNT|8RCR|aZMB
117	42225 21331	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3DMG|4TLV|5AART|6LHND|7RCR|8aVULN|9ZMB
118	42225 21531	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3DMG|4TLV|5AART|6LHND|7RCR|8ZMB|9aVULN
119	42225 31321	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3DMG|4TLV|5AART|6LWND|7RCR|8aVULN|9ZMB
120	42231 21431	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3DMG|4DUST|5AART|6MLV|7RCR|8aVULN|9ZMB
121	42231 21531	   	163.67	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2LIT|3DMG|4DUST|5AART|6MLV|7RCR|8ZMB|9aVULN
122	45331 31632	   	163.65	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|26VULN|3DUST|4AART|5FEWX|7LHND|89DMG|aRCR
123	53311 16221	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|79VULN|8DMG|aBELT
124	53311 16222	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|79VULN|8DMG|aMLV
125	53311 16224	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|79VULN|8DMG|aLWND
126	53411 16223	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3CDMG|4DUST|5LIT|6RCR|79VULN|8DMG|aRMIN
127	53311 16151	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|78VULN|9LHND|aDMG
128	53311 12131	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3LEGI|4CDMG|5LIT|6RCR|7LHND|89VULN|aDMG
129	53411 12131	   	163.58	DCR|2VULN|1AART|1DMG|1CDMG	1LSRICY|2AART|3CDMG|4DUST|5LIT|6RCR|7LHND|89VULN|aDMG
130	43111 21422	 * 	163.44	DCR|1AART|1VULN|1DMG|3DUR|2ASPD|1ZMB	13ASPD|2AART|3BPWR|458DUR|6VULN|7ZMB|9DMG|aRCR
131	43113 51422	   	163.44	DCR|1AART|1VULN|1DMG|3DUR|2ASPD|1ZMB	13ASPD|2AART|3BPWR|468DUR|5VULN|7ZMB|9DMG|aRCR
132	55136 33423	 * 	163.44	ACR|3VULN|1AART|2CDMG|1ASPD	18LSRICY|2RPLT|378VULN|4MBVNT|5RCR|68CDMG|8BPWR|9ASPD|aAART
133	43232 36322	   	163.37	DCR|2VULN|1AART|2ASPD|1CDMG|1ZMB	19ASPD|2AART|35LWND|4aVULN|6ZMB|7CDMG|8RCR
134	43114 12112	   	163.31	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5FEWX|6DMG|7CGEN|8aVULN|9RCR
135	43141 12112	   	163.31	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4LHND|5DUR|6DMG|7CGEN|8aVULN|9RCR
136	43215 24312	   	163.31	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	16ASPD|2AART|3LWND|4RMIN|5DUR|7aVULN|8DMG|9RCR
137	43113 16214	 * 	163.29	DCR|1AART|1VULN|1DMG|2CDMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5VULN|6DMG|78CDMG|9FEWX|aRCR
138	43113 12612	   	163.21	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5aVULN|6DMG|7CGEN|8LEGI|9RCR
139	43113 42312	   	163.21	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5aVULN|6ERES|7LWND|8DMG|9RCR
140	43113 43312	   	163.21	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5aVULN|6ERES|7FEWX|8DMG|9RCR
141	43114 11112	   	163.21	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5FEWX|6DMG|7ERES|8aVULN|9RCR
142	43141 11112	   	163.21	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4LHND|5DUR|6DMG|7ERES|8aVULN|9RCR
143	25161 15323	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	19DUR|26VULN|3CDMG|4DUST|5LHND|7AART|8DMG|aRCR
144	25162 15323	   	163.21	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	19DUR|26VULN|3CDMG|4DUST|5LWND|7AART|8DMG|aRCR
145	43113 11612	   	163.11	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|2AART|3BPWR|4DUR|5aVULN|6DMG|7ERES|8LEGI|9RCR
146	22312 28732	   	163.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LHND|3ZMB|4CGEN|5MBVNT|6AART|7RCR|89DMG|aVULN
147	24312 28732	   	163.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2LWND|3ZMB|4CGEN|5MBVNT|6AART|7RCR|89DMG|aVULN
148	25312 28731	   	163.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2VULN|3ZMB|4CGEN|5MBVNT|6AART|7RCR|89DMG|aLIT
149	25312 28734	   	163.07	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2VULN|3ZMB|4aCGEN|5MBVNT|6AART|7RCR|89DMG
150	25312 28742	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4CGEN|5MBVNT|6AART|7RCR|8DMG|9LHND
151	15234 36213	   	163.06	DCR|3DMG|2VULN|1AART|1ASPD|1MSE	1MSE|2aVULN|3ASPD|4AART|5BELT|689DMG|7RCR
152	21631 34312	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2BEXP|3RCVC|4AART|5RMIN|6ZMB|7aVULN|8DMG|9RCR
153	21633 34312	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2BEXP|3RCVC|4AART|5CGEN|6ZMB|7aVULN|8DMG|9RCR
154	25312 28722	   	162.97	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2aVULN|3ZMB|4CGEN|5MBVNT|6AART|7RCR|8DMG|9LEGI
155	23631 34512	   	162.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DUST|3RCVC|4AART|5RMIN|6ZMB|7aVULN|8DMG|9RCR
156	53251 23342	   	162.71	DCR|2VULN|2DMG|1AART	1LSRICY|2AART|3CGEN|4MLV|59DMG|6aVULN|7LEGI|8RCR
157	53221 23342	   	162.61	DCR|2VULN|2DMG|1AART	1LSRICY|2AART|3CGEN|4TLV|59DMG|6aVULN|7LEGI|8RCR
