0	Index      	 *	Score 	Summary	Detail	
1	36263 36111	 * 	200.23	DCR|3DMG|2VULN|1AART|3ASPD	126DMG|3AART|456ASPD|6BPWR|7RCR|8LHND|9aVULN
95	34112 12254	   	179.67	DCR|3DMG|2VULN|1AART	134DMG|2LWND|59LHND|6RCR|7aVULN|8AART
96	34112 12264	   	179.67	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5LHND|6RCR|7aVULN|8AART|9RPLT
97	32114 11326	   	179.57	DCR|3DMG|2VULN|1AART	134DMG|2BEXP|5aVULN|6RCR|7LSRREG|8AART|9LWND
98	32114 11346	   	179.57	DCR|3DMG|2VULN|1AART	134DMG|2BEXP|5aVULN|6RCR|7LSRREG|8AART|9FEWX
99	33114 11316	   	179.57	DCR|3DMG|2VULN|1AART	134DMG|2FEWX|5aVULN|6RCR|7LSRREG|8AART|9BEXP
100	34112 12236	   	179.57	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5LHND|6RCR|79VULN|8AART|aNUKE
101	34114 11316	   	179.57	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5aVULN|6RCR|7LSRREG|8AART|9BEXP
102	34114 11336	   	179.57	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5aVULN|6RCR|7LSRREG|8AART|9FEWX
103	36314 11326	   	179.57	DCR|3DMG|2VULN|1AART	124DMG|3BEXP|5aVULN|6RCR|7LSRREG|8AART|9LWND
104	31341 12561	   	179.49	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2RCVC|39BEXP|4RCR|5CANSTR|6FEWX|79VULN|8AART|9BPWR|aCDMG
105	33114 11326	   	179.47	DCR|3DMG|2VULN|1AART	134DMG|2FEWX|5aVULN|6RCR|7LSRREG|8AART|9DUST
106	34114 11326	   	179.47	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5aVULN|6RCR|7LSRREG|8AART|9DUST
107	33212 43431	   	179.40	DCR|4VULN|2DMG|2DUR	19DMG|2FEWX|39DUR|4BEXP|5LHND|689aVULN|7RCR|9BPWR
108	34212 43431	   	179.40	DCR|4VULN|2DMG|2DUR	19DMG|2LWND|39DUR|4BEXP|5LHND|689aVULN|7RCR|9BPWR
109	34213 43431	   	179.40	DCR|4VULN|2DMG|2DUR	19DMG|2LWND|39DUR|4BEXP|5FEWX|689aVULN|7RCR|9BPWR
110	25343 11361	 * 	179.36	ACR|2VULN|1AART|1DMG|2CDMG|2ZMB	13VULN|23ZMB|3BPWR|4RCR|5BEXP|6LHND|7aCDMG|8AART|9DMG
111	32222 43431	   	179.30	DCR|4VULN|2DMG|2DUR	19DMG|2BEXP|39DUR|4DUST|5LHND|689aVULN|7RCR|9BPWR
112	32243 43431	   	179.30	DCR|4VULN|2DMG|2DUR	19DMG|2BEXP|39DUR|4LHND|5DUST|689aVULN|7RCR|9BPWR
113	33243 43431	   	179.30	DCR|4VULN|2DMG|2DUR	19DMG|2FEWX|39DUR|4LHND|5DUST|689aVULN|7RCR|9BPWR
114	33252 43431	   	179.30	DCR|4VULN|2DMG|2DUR	19DMG|2FEWX|39DUR|4DUST|5LHND|689aVULN|7RCR|9BPWR
115	25316 33484	   	179.16	DCR|3VULN|2DMG|2ZMB|1DUR	139VULN|23ZMB|39BPWR|49DMG|5MBVNT|6RCR|79MLV|8RCVC|aDUR
116	25316 31132	   	178.87	DCR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|4aDMG|5MBVNT|6RCR|7LIT|8AART|9LHND
117	25316 31142	   	178.87	DCR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|4aDMG|5MBVNT|6RCR|7LIT|8AART|9LWND
118	25316 31152	   	178.87	DCR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|4aDMG|5MBVNT|6RCR|7LIT|8AART|9BEXP
119	25316 31171	   	178.87	DCR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|49DMG|5MBVNT|6RCR|7LIT|8AART|aFEWX
120	25316 31172	   	178.87	DCR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|49DMG|5MBVNT|6RCR|7LIT|8AART|aRMIN
121	25316 31173	   	178.87	DCR|2VULN|2DMG|1AART|2ZMB	13VULN|23ZMB|3BPWR|49DMG|5MBVNT|6RCR|7LIT|8AART|aBEXP
122	26362 31114	   	178.87	DCR|3VULN|2DMG|1AART	134VULN|234TLV|34BPWR|5LEGI|6RCR|7LWND|8aDMG|9AART
123	26362 33114	   	178.87	DCR|3VULN|2DMG|1AART	134VULN|234TLV|34BPWR|5LEGI|6RCR|7FEWX|8aDMG|9AART
124	25113 11514	   	178.67	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|2ZMB|38DMG|4CDMG|5CGEN|68LHND|7RPLT|8BPWR|9AART|aRCR
125	26163 21212	   	178.47	DCR|3VULN|2DMG|1AART	149VULN|2TLV|38DMG|5LIT|6RCVC|7RCR|aAART
126	26313 21212	   	178.47	DCR|3VULN|2DMG|1AART	139VULN|23TLV|3BPWR|48DMG|5LIT|6RCVC|7RCR|aAART
127	34112 12563	   	178.47	DCR|3DMG|2VULN|1AART	134DMG|29LWND|5LHND|6RCR|79VULN|89ERES|9BPWR|aAART
128	25112 11514	   	178.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18VULN|2ZMB|38DMG|4CDMG|5LWND|68TLV|7RPLT|8BPWR|9AART|aRCR
129	25341 22623	   	178.40	ACR|4VULN|1DMG|2ZMB|1FLTHEA	1378VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LHND|9DMG|aCGEN
130	25341 32623	   	178.40	ACR|4VULN|1DMG|2ZMB|1FLTHEA	1378VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LWND|9DMG|aCGEN
131	25343 25123	 * 	178.39	ACR|4VULN|3ZMB|2CDMG	138aVULN|238ZMB|38BPWR|4RCR|5BEXP|6MLV|78CDMG|9LIT
132	25345 13111	   	178.39	ACR|4VULN|3ZMB|2CDMG	138aVULN|238ZMB|38BPWR|4RCR|59CDMG|6LHND|78CGEN
133	34114 12153	   	178.37	DCR|3DMG|2VULN|1AART	134DMG|2LWND|59VULN|6RCR|7TLV|8LHND|aAART
134	34114 15133	   	178.37	DCR|3DMG|2VULN|1AART	134DMG|2LWND|59VULN|6RCR|7ERES|8LHND|aAART
135	34112 12443	   	178.37	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5LHND|6RCR|78VULN|9TLV|aAART
136	34112 12533	   	178.37	DCR|3DMG|2VULN|1AART	134DMG|2LWND|5LHND|6RCR|79VULN|8ERES|aAART
137	25341 22621	   	178.30	ACR|4VULN|1DMG|2ZMB|1FLTHEA	1378VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LHND|9DMG|aAIRHEL
138	25341 32621	   	178.30	ACR|4VULN|1DMG|2ZMB|1FLTHEA	1378VULN|23ZMB|3BPWR|4RCR|5FLTHEA|6LWND|9DMG|aAIRHEL
139	25343 35131	   	178.29	ACR|4VULN|3ZMB|2CDMG	138aVULN|238ZMB|38BPWR|4RCR|59BEXP|6ERES|78CDMG
140	25315 62223	   	178.25	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	13VULN|239ZMB|3BPWR|4DMG|5BEXP|6AART|7FEWX|8RCR|aDUR
141	25316 33462	   	178.24	DCR|3VULN|1AART|1DMG|2ZMB	13aVULN|23ZMB|3BPWR|4DMG|5MBVNT|6RCR|7MLV|8RCVC|9AART
142	25332 62224	   	178.15	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	13VULN|239ZMB|3BPWR|4DUR|5ERES|6AART|7BEXP|8RCR|aDMG
143	35122 66322	   	178.11	DCR|3DMG|2VULN|1AART|1DUR	138DMG|2DUR|4LWND|5ERES|6AART|79VULN|aRCR
144	32112 12433	   	178.06	DCR|3VULN|3DMG|1DUR	134DMG|29BEXP|59LHND|6RCR|789VULN|9BPWR|aDUR
145	33112 12433	   	178.06	DCR|3VULN|3DMG|1DUR	134DMG|29FEWX|59LHND|6RCR|789VULN|9BPWR|aDUR
146	34112 12433	   	178.06	DCR|3VULN|3DMG|1DUR	134DMG|29LWND|59LHND|6RCR|789VULN|9BPWR|aDUR
147	36312 12433	   	178.06	DCR|3VULN|3DMG|1DUR	124DMG|39BEXP|59LHND|6RCR|789VULN|9BPWR|aDUR
148	25131 41332	 * 	178.01	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	18VULN|2ZMB|38DMG|49CGEN|5LSRICY|6RCR|78ASPD|8BPWR|aCDMG
149	25341 12422	   	177.95	ACR|3VULN|1DMG|2ZMB|1CDMG|1FLTHEA	137VULN|23ZMB|3BPWR|4RCR|5FLTHEA|68FEWX|9DMG|aCDMG
150	25341 16331	   	177.93	ACR|3VULN|3ZMB|1DMG|1FLTHEA	138VULN|238ZMB|38BPWR|4RCR|5FLTHEA|6FEWX|78CGEN|9DMG|aERES
151	25341 16332	   	177.93	ACR|3VULN|3ZMB|1DMG|1FLTHEA	138VULN|238ZMB|38BPWR|4RCR|5FLTHEA|6FEWX|78CGEN|9DMG|aDUST
152	36412 12433	   	177.86	DCR|3VULN|3DMG|1DUR	124DMG|39DUST|59LHND|6RCR|789VULN|9BPWR|aDUR
153	32141 45221	 * 	177.84	ACR|3VULN|2DMG|1CDMG|1ZMB	13DMG|2BEXP|4RCR|5CANSTR|6ZMB|7CDMG|89aVULN
154	33141 45221	   	177.84	ACR|3VULN|2DMG|1CDMG|1ZMB	13DMG|2FEWX|4RCR|5CANSTR|6ZMB|7CDMG|89aVULN
155	25341 14332	   	177.83	ACR|3VULN|3ZMB|1DMG|1FLTHEA	138VULN|238ZMB|38BPWR|4RCR|5FLTHEA|6FEWX|78ERES|9DMG|aLWND
156	32141 12562	   	177.79	ACR|3DMG|2VULN|1AART	139DMG|29BEXP|4RCR|5CANSTR|6FEWX|79VULN|8AART|9BPWR|aLHND
157	35334 26221	   	177.75	DCR|2DMG|3ZMB|1AART|1VULN|1DUR	1aDMG|2DUR|39aZMB|4CGEN|5VULN|6aMLV|7AART|8RCR|aBPWR
158	25341 14331	   	177.73	ACR|3VULN|3ZMB|1DMG|1FLTHEA	138VULN|238ZMB|38BPWR|4RCR|5FLTHEA|6FEWX|78aERES|9DMG
159	25341 14333	   	177.73	ACR|3VULN|3ZMB|1DMG|1FLTHEA	138VULN|238ZMB|38BPWR|4RCR|5FLTHEA|6FEWX|78ERES|9DMG|aDUST
160	35334 36221	   	177.55	DCR|2DMG|3ZMB|1AART|1VULN|1DUR	1aDMG|2DUR|39aZMB|4CGEN|5VULN|6aERES|7AART|8RCR|aBPWR
161	35334 26321	   	177.47	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	18aDMG|2DUR|3aZMB|4CGEN|5VULN|6aMLV|7AART|9RCR|aBPWR
162	24432 32631	 * 	177.42	ACR|4VULN|2DMG|2DUR	169aVULN|2LHND|39DUR|4LWND|5RCR|7FEWX|89DMG|9BPWR
163	23412 26631	   	177.32	ACR|4VULN|2DMG|2DUR	179aVULN|2DUST|39DUR|4LHND|5RCR|6LWND|89DMG|9BPWR
164	24432 33631	   	177.32	ACR|4VULN|2DMG|2DUR	169aVULN|2LHND|39DUR|4LWND|5RCR|7DUST|89DMG|9BPWR
165	35334 36321	   	177.27	DCR|3DMG|1AART|1VULN|2ZMB|1DUR	18aDMG|2DUR|3aZMB|4CGEN|5VULN|6aERES|7AART|9RCR|aBPWR
166	25343 25111	 * 	177.26	ACR|3VULN|3ZMB|3CDMG|1ASPD	138VULN|238ZMB|38BPWR|4RCR|5BEXP|6MLV|789CDMG|aASPD
167	35331 42412	   	177.26	DCR|3VULN|2DMG|2ZMB|1DUR	18DMG|2DUR|38ZMB|4CGEN|5MGNSTR|6RCR|78aVULN|8BPWR|9LWND
168	33146 23511	   	177.19	ACR|3DMG|2VULN|1AART	13aDMG|2FEWX|4RCR|5aCGEN|6ERES|7MLV|8aVULN|9AART|aBPWR
