0	Index      	 *	Score 	Summary	Detail	
1	61764 33331	 * 	199.05	DCR|3VULN|2DMG|1AART|1CDMG|2DUR	1MBVNT|278VULN|3AART|4CDMG|58DMG|68DUR|8BPWR|9RCVC|aRCR
54	12652 12353	   	176.48	DCR|4VULN|1AART|2CDMG	1589VULN|2DUST|3AART|46CDMG|7RCR|aERES
55	15342 12513	   	176.36	DCR|2VULN|1AART|1DMG|2ZMB|1ASPD|1DUR	13VULN|2AART|4RCVC|5ASPD|6DUR|7RCR|89ZMB|aDMG
56	15321 61326	   	176.25	DCR|5VULN|1AART|1ZMB	1347aVULN|2AART|5SNIHEL|6LHND|8ZMB|9RCR
57	61764 11422	   	176.13	DCR|3VULN|1AART|1DMG|1CDMG	1MBVNT|29aVULN|3AART|4CDMG|5DMG|6DLOT|7RCR|8RCVC
58	61764 33231	   	175.97	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MBVNT|278VULN|3AART|4CDMG|5DMG|6DUR|9RCVC|aRCR
59	22355 23311	 * 	175.73	DCR|3DMG|1AART|1VULN|2ASPD	19ASPD|2DUST|349DMG|5RCVC|6RCR|79LIT|8AART|9BPWR|aVULN
60	15333 35112	 * 	175.70	DCR|4VULN|2AART|1DUR	139aVULN|28AART|4DUR|5LHND|6BELT|7RCR
61	15333 25316	   	175.51	DCR|4VULN|1AART|1CDMG|1DUR	139aVULN|2AART|4DUR|5LHND|6CDMG|7LIT|8RCR
62	15323 61412	   	175.41	DCR|4VULN|1AART|1CDMG|1ASPD	1346VULN|2AART|5DUST|7CDMG|8RCR|9MLV|aASPD
63	15322 42113	   	175.41	DCR|4VULN|1AART|1CDMG|1ASPD	134aVULN|2AART|5ASPD|6LIT|7CDMG|8RCR|9SNIHEL
64	15322 22522	   	175.26	DCR|4VULN|1AART|1ZMB|1ASPD	134aVULN|2AART|5ASPD|69LWND|7RCR|8ZMB
65	15322 22532	   	175.26	DCR|4VULN|1AART|1ZMB|1ASPD	134aVULN|2AART|5ASPD|6LWND|7RCR|8ZMB|9DMSP
66	15322 22314	   	175.16	DCR|4VULN|1AART|1ZMB|1ASPD	134aVULN|2AART|5ASPD|6LWND|7RCR|8ERES|9ZMB
67	15332 35243	 * 	175.15	DCR|3VULN|2AART|1CDMG|1DUR	139VULN|2aAART|4DUR|5DUST|6BELT|7RCR|8CDMG
68	11664 32311	   	174.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	147VULN|2LWND|3DUR|5AART|6BELT|8DMG|9CDMG|aRCR
69	52231 12436	 * 	174.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AIRHEA|2RCR|3RPLT|4CDMG|5ZMB|6aVULN|7AART|8FEWX|9DMG
70	15162 53223	   	174.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2AART|3DUST|4ZMB|5LIT|6DMG|7CDMG|8DUR|9RCR
71	52231 12134	   	174.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AIRHEA|2RCR|3RPLT|4CDMG|5ZMB|6aVULN|7AART|8DMG|9ERES
72	15322 13611	   	174.29	DCR|4VULN|1AART|2DUR|1ASPD	134aVULN|2AART|5ASPD|6aDUR|7aLHND|8RCR|9RPLT|aBPWR
73	15326 62312	   	174.28	DCR|3VULN|1AART|1DMG|1ZMB	134VULN|2AART|5RMIN|6FEWX|7RCR|8DMG|9ZMB|aLHND
74	11125 53631	   	174.22	DCR|3VULN|2DMG|1AART|1SELL	15aVULN|2aLWND|3SELL|4LHND|6BEXP|7aDMG|8RCR|9AART|aBPWR
75	15326 62311	   	174.18	DCR|3VULN|1AART|1DMG|1ZMB	134VULN|2AART|5RMIN|6FEWX|7RCR|8DMG|9ZMB|aDUST
76	15326 62313	   	174.18	DCR|3VULN|1AART|1DMG|1ZMB	134VULN|2AART|5RMIN|6FEWX|7RCR|8DMG|9ZMB|aTLV
77	15322 16611	   	174.09	DCR|4VULN|1AART|2DUR|1ASPD	134aVULN|2AART|5ASPD|6aDUR|7aDUST|8RCR|9RPLT|aBPWR
78	15152 12311	   	174.08	DCR|3VULN|1AART|2CDMG|1ZMB	158VULN|2AART|3DUST|46CDMG|7RCR|9MLV|aZMB
79	15452 12311	   	174.08	DCR|3VULN|1AART|2CDMG|1ZMB	158VULN|2AART|3LEGI|46CDMG|7RCR|9MLV|aZMB
80	12662 53223	   	173.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2DUST|3AART|4ZMB|5LIT|6DMG|7CDMG|8DUR|9RCR
81	15311 53263	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2AART|4MLV|5DMSP|6ERES|7ZMB|8RCR|9aDMG
82	15312 53263	   	173.72	DCR|2VULN|2DMG|1AART|1ZMB	13VULN|2AART|4MLV|5RCVC|6ERES|7ZMB|8RCR|9aDMG
83	11463 22226	 * 	173.62	DCR|4VULN|2DMG|1CDMG	1579VULN|27LWND|3CGEN|4FEWX|67DMG|7BPWR|8CDMG|aRCR
84	11413 22226	   	173.52	DCR|4VULN|2DMG|1CDMG	1579VULN|27LWND|3CGEN|4DUST|67DMG|7BPWR|8CDMG|aRCR
85	16433 22226	   	173.52	DCR|4VULN|2DMG|1CDMG	1579VULN|2LEGI|3CGEN|47LWND|67DMG|7BPWR|8CDMG|aRCR
86	12652 12311	   	173.48	DCR|3VULN|1AART|2CDMG|1ZMB	158VULN|2DUST|3AART|46CDMG|7RCR|9MLV|aZMB
87	15152 12251	   	173.43	DCR|2VULN|1AART|3CDMG|1DMG	15VULN|2AART|3DUST|468CDMG|7RCR|9ERES|aDMG
88	11363 22226	   	173.42	DCR|4VULN|2DMG|1CDMG	1479VULN|27LWND|3DUST|5ERES|67DMG|7BPWR|8CDMG|aRCR
89	14351 12226	   	173.42	DCR|4VULN|2DMG|1CDMG	1679VULN|2ERES|37DMG|4LEGI|57BEXP|7BPWR|8CDMG|aRCR
90	16413 22226	   	173.32	DCR|4VULN|2DMG|1CDMG	1579VULN|2LEGI|3CGEN|47DUST|67DMG|7BPWR|8CDMG|aRCR
91	13361 12513	   	173.32	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	17VULN|2ZMB|3DMG|4aAART|5ERES|6DUR|8RCR|9RPLT
92	16363 22226	   	173.22	DCR|4VULN|2DMG|1CDMG	1479VULN|2LEGI|3DUST|57ERES|67DMG|7BPWR|8CDMG|aRCR
93	15322 42431	   	173.11	DCR|4VULN|1AART|1CDMG|1ASPD	134aVULN|2AART|5ASPD|6LIT|7CDMG|8CGEN|9RCR
94	15322 42531	   	173.11	DCR|4VULN|1AART|1CDMG|1ASPD	134aVULN|2AART|5ASPD|6LIT|7CDMG|8MLV|9RCR
95	21533 22211	 * 	173.01	DCR|3VULN|1AART|3ASPD|2DUR	137ASPD|2ERES|47DUR|578VULN|6RCR|7BPWR|9LWND|aAART
96	52652 21111	 * 	172.94	ACR|3VULN|1AART|1DMG|1DUR	1AIRHEA|2RCR|3DUR|479VULN|5CGEN|6AART|8RPLT|aDMG
97	21533 22263	   	172.91	DCR|3VULN|1AART|3ASPD|2DUR	137ASPD|2ERES|47DUR|578VULN|6RCR|7BPWR|9AIRHEA|aAART
98	15322 23236	   	172.86	DCR|4VULN|1AART|1ZMB|1ASPD	134aVULN|2AART|5ASPD|6LWND|7LHND|8RCR|9ZMB
99	12652 12251	   	172.83	DCR|2VULN|1AART|3CDMG|1DMG	15VULN|2DUST|3AART|468CDMG|7RCR|9ERES|aDMG
100	15322 53224	   	172.76	DCR|4VULN|1AART|1ZMB|1ASPD	134aVULN|2AART|5ASPD|6ERES|7ZMB|8RCR|9BEXP
101	15322 53234	   	172.76	DCR|4VULN|1AART|1ZMB|1ASPD	134aVULN|2AART|5ASPD|6ERES|7ZMB|8RCR|9LWND
102	25363 21263	   	172.75	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DUR|3DMG|4DMSP|59VULN|6RCR|7RCVC|8CDMG|aAART
103	15322 53262	   	172.66	DCR|4VULN|1AART|1ZMB|1ASPD	134aVULN|2AART|5ASPD|6ERES|7ZMB|8RCR|9NUKE
104	15322 22215	   	172.61	DCR|3VULN|2AART|1ZMB|1ASPD	134VULN|2aAART|5ASPD|6LWND|7RCR|8RMIN|9ZMB
105	15333 35114	   	172.61	DCR|3VULN|2AART|1ZMB|1DUR	139VULN|28AART|4DUR|5LHND|6BELT|7RCR|aZMB
106	15333 35123	   	172.61	DCR|3VULN|2AART|1ZMB|1DUR	13aVULN|28AART|4DUR|5LHND|6BELT|7RCR|9ZMB
107	15321 24522	   	172.48	DCR|4VULN|1AART|1DMG	1347VULN|2AART|5SNIHEL|6CGEN|8DMG|9RCR|aRPLT
108	15321 24523	   	172.48	DCR|4VULN|1AART|1DMG	1347VULN|2AART|5SNIHEL|6CGEN|8DMG|9RCR|aLWND
109	15321 14522	   	172.38	DCR|4VULN|1AART|1DMG	1347VULN|2AART|5SNIHEL|6ERES|8DMG|9RCR|aRPLT
110	15321 14523	   	172.38	DCR|4VULN|1AART|1DMG	1347VULN|2AART|5SNIHEL|6ERES|8DMG|9RCR|aLWND
111	15411 42311	 * 	172.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	17VULN|25AART|3LEGI|4BELT|6DUR|8DMG|9CDMG|aRCR
112	15315 31432	   	172.31	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	135VULN|2AART|4MLV|6TLV|7CDMG|8RCR|9ZMB|aDUR
113	25434 23331	 * 	172.25	DCR|3VULN|2AART|2ASPD|2DUR	18ASPD|28DUR|3RPLT|46AART|578VULN|8BPWR|9RCVC|aRCR
114	15215 42331	   	172.13	DCR|3VULN|1AART|1DMG|1CDMG	15aVULN|2AART|34CGEN|6LIT|7CDMG|8DMG|9RCR
115	15311 42331	   	172.13	DCR|3VULN|1AART|1DMG|1CDMG	13aVULN|2AART|4MLV|5DMSP|6LIT|7CDMG|8DMG|9RCR
116	15312 42331	   	172.13	DCR|3VULN|1AART|1DMG|1CDMG	13aVULN|2AART|4MLV|5RCVC|6LIT|7CDMG|8DMG|9RCR
117	15315 42332	   	172.13	DCR|3VULN|1AART|1DMG|1CDMG	135VULN|2AART|4MLV|6LIT|7CDMG|8DMG|9RCR|aCGEN
118	15315 42333	   	172.13	DCR|3VULN|1AART|1DMG|1CDMG	135VULN|2AART|4MLV|6aLIT|7CDMG|8DMG|9RCR
119	15326 42332	   	172.13	DCR|3VULN|1AART|1DMG|1CDMG	134VULN|2AART|5RMIN|6LIT|7CDMG|8DMG|9RCR|aCGEN
120	15326 42333	   	172.13	DCR|3VULN|1AART|1DMG|1CDMG	134VULN|2AART|5RMIN|6aLIT|7CDMG|8DMG|9RCR
121	15333 25331	   	172.13	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	13VULN|2AART|4DUR|5LHND|6aCDMG|7LIT|8RCR|9DMG
122	15322 12511	   	171.95	DCR|3VULN|1AART|2ZMB|1DUR|1ASPD	134VULN|2AART|5ASPD|6DUR|7RCR|89ZMB|aCGEN
123	15322 12515	   	171.95	DCR|3VULN|1AART|2ZMB|1ASPD|1DUR	134VULN|2AART|5ASPD|6DUR|7RCR|89ZMB|aBEXP
124	15342 12512	   	171.95	DCR|3VULN|1AART|2ZMB|1ASPD|1DUR	13aVULN|2AART|4RCVC|5ASPD|6DUR|7RCR|89ZMB
125	21533 22314	 * 	171.81	DCR|2VULN|2DMG|3ASPD|2DUR	137ASPD|2ERES|47DUR|57VULN|6RCR|7BPWR|8aDMG|9LWND
126	21533 22365	   	171.81	DCR|2VULN|2DMG|3ASPD|2DUR	137ASPD|2ERES|47DUR|57VULN|6RCR|7BPWR|8aDMG|9BELT
127	15313 34261	   	171.78	DCR|3VULN|1AART|2CDMG|1ZMB	137VULN|2AART|4MLV|5LHND|69CDMG|8RCR|aZMB
128	15314 33261	   	171.78	DCR|3VULN|1AART|2CDMG|1ZMB	137VULN|2AART|4MLV|5LWND|69CDMG|8RCR|aZMB
129	15315 53233	   	171.78	DCR|3VULN|1AART|1DMG|1ZMB	135VULN|2AART|4MLV|6ERES|7ZMB|8RCR|9LWND|aDMG
130	15311 53262	   	171.78	DCR|3VULN|1AART|1DMG|1ZMB	13aVULN|2AART|4MLV|5DMSP|6ERES|7ZMB|8RCR|9DMG
131	15312 53262	   	171.78	DCR|3VULN|1AART|1DMG|1ZMB	13aVULN|2AART|4MLV|5RCVC|6ERES|7ZMB|8RCR|9DMG
132	21533 22324	   	171.71	DCR|2VULN|2DMG|3ASPD|2DUR	137ASPD|2ERES|47DUR|57VULN|6RCR|7BPWR|8aDMG|9DUST
133	52451 12141	 * 	171.63	ACR|3VULN|2DMG|1CDMG	1aAIRHEA|2RCR|34aVULN|5CDMG|6BEXP|7aDMG|8MBVNT|9RPLT|aBPWR
134	14352 12226	   	171.55	DCR|3VULN|2DMG|1CDMG|2DUR	179VULN|2ERES|37DMG|4LEGI|5RCVC|67DUR|7BPWR|8CDMG|aRCR
135	61764 11211	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MBVNT|2VULN|3AART|4CDMG|59DMG|6DLOT|7RCR|8FEWX|aZMB
136	61764 11241	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|29VULN|3AART|4CDMG|5DMG|6DLOT|7RCR|8FEWX|aZMB
137	61764 11311	   	171.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1MBVNT|2VULN|3AART|4CDMG|59DMG|6DLOT|7RCR|8BEXP|aZMB
138	61764 11341	   	171.48	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1MBVNT|29VULN|3AART|4CDMG|5DMG|6DLOT|7RCR|8BEXP|aZMB
139	14353 12226	   	171.45	DCR|3VULN|2DMG|1CDMG|2DUR	179VULN|25ERES|37DMG|4LEGI|67DUR|7BPWR|8CDMG|aRCR
140	15152 11261	   	171.13	DCR|2VULN|1AART|3CDMG|1DMG	15VULN|2AART|3DUST|469CDMG|7MLV|8RCR|aDMG
141	15152 62321	   	170.77	DCR|4VULN|1AART|1CDMG	158aVULN|2AART|36DUST|4CDMG|7RCR|9LIT
142	61774 42321	   	170.72	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|27VULN|3AART|4ZMB|5BELT|68DMG|9RCR|aRCVC
143	61774 42324	   	170.62	DCR|2VULN|2DMG|1AART|1ZMB	1MBVNT|27VULN|3AART|4ZMB|5BELT|68DMG|9RCR|aNUKE
144	41313 24263	   	170.62	DCR|2VULN|2DMG|1AART|1ZMB	12ERES|35VULN|4MLV|6ZMB|7AART|8RCR|9aDMG
145	12652 11261	   	170.53	DCR|2VULN|1AART|3CDMG|1DMG	15VULN|2DUST|3AART|469CDMG|7MLV|8RCR|aDMG
146	22353 33661	 * 	170.32	DCR|3DMG|2VULN|2ASPD|1ZMB	19ASPD|2DUST|349DMG|58VULN|6ZMB|79FEWX|9BPWR|aRCR
147	15322 22265	   	170.22	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2AART|5ASPD|6LWND|7RCR|8RMIN|9RPLT|aDMG
148	15322 62413	   	170.22	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2AART|5ASPD|6FEWX|7RCR|8BEXP|9RPLT|aDMG
149	15326 12361	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2AART|5RMIN|6DUR|7RCR|8BEXP|9DMG|aLIT
150	15326 12362	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2AART|5RMIN|6DUR|7RCR|8BEXP|9DMG|aLHND
151	15326 12363	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2AART|5RMIN|6DUR|7RCR|8BEXP|9DMG|aMLV
152	15326 62321	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2AART|5RMIN|6FEWX|7RCR|8DMG|9DUR|aLIT
153	15326 62322	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2AART|5RMIN|6FEWX|7RCR|8DMG|9DUR|aLHND
154	15326 62323	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	134VULN|2AART|5RMIN|6FEWX|7RCR|8DMG|9DUR|aMLV
155	15333 35241	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	13aVULN|2AART|4DUR|5LHND|6BELT|7RCR|8FEWX|9DMG
156	15333 35341	   	170.22	DCR|3VULN|1AART|1DMG|1DUR	13aVULN|2AART|4DUR|5LHND|6BELT|7RCR|8LWND|9DMG
157	12652 62321	   	170.17	DCR|4VULN|1AART|1CDMG	158aVULN|26DUST|3AART|4CDMG|7RCR|9LIT
158	15322 22153	   	170.12	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2AART|5ASPD|68LWND|7RCR|9ERES|aDMG
159	15322 22323	   	170.12	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2AART|5ASPD|6LWND|7RCR|8ERES|9RCVC|aDMG
160	15322 62263	   	170.12	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2AART|5ASPD|68FEWX|7RCR|9NUKE|aDMG
161	15152 12312	   	170.02	DCR|3VULN|1AART|2CDMG|1ASPD	158VULN|2AART|3DUST|46CDMG|7RCR|9MLV|aASPD
162	15152 12362	   	170.02	DCR|3VULN|1AART|2CDMG|1DUR	158VULN|2AART|3DUST|46CDMG|7RCR|9DMSP|aDUR
163	15452 12312	   	170.02	DCR|3VULN|1AART|2CDMG|1ASPD	158VULN|2AART|3LEGI|46CDMG|7RCR|9MLV|aASPD
164	15322 22353	   	170.02	DCR|3VULN|1AART|1DMG|1ASPD	134VULN|2AART|5ASPD|6LWND|7RCR|89ERES|aDMG
165	15332 35242	   	170.02	DCR|3VULN|1AART|2CDMG|1DUR	139VULN|2AART|4DUR|5DUST|6BELT|7RCR|8aCDMG
166	52451 23222	   	169.98	ACR|2VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1ASPD	1AIRHEA|2RCR|34VULN|5CDMG|6ZMB|7RMIN|8DMG|9FLTHEA|aASPD
167	21533 22215	   	169.87	DCR|3VULN|3ASPD|1DMG|2DUR	137ASPD|2ERES|47DUR|578VULN|6RCR|7BPWR|9LWND|aDMG
168	21533 22311	   	169.87	DCR|3VULN|3ASPD|1DMG|2DUR	137ASPD|2ERES|47DUR|57aVULN|6RCR|7BPWR|8DMG|9LWND
169	21533 22332	   	169.87	DCR|3VULN|3ASPD|1DMG|2DUR	137ASPD|2ERES|47DUR|579VULN|6RCR|7BPWR|8DMG|aCGEN
170	21533 22333	   	169.87	DCR|3VULN|3ASPD|1DMG|2DUR	137ASPD|2ERES|47DUR|579VULN|6RCR|7BPWR|8DMG|aRCVC
171	15321 21522	   	169.83	DCR|3VULN|2AART|1DMG	134VULN|27AART|5SNIHEL|6CGEN|8DMG|9RCR|aRPLT
172	15321 21523	   	169.83	DCR|3VULN|2AART|1DMG	134VULN|27AART|5SNIHEL|6CGEN|8DMG|9RCR|aLWND
173	21533 22321	   	169.77	DCR|3VULN|3ASPD|1DMG|2DUR	137ASPD|2ERES|47DUR|57aVULN|6RCR|7BPWR|8DMG|9DUST
174	21533 22334	   	169.77	DCR|3VULN|3ASPD|1DMG|2DUR	137ASPD|2aERES|47DUR|579VULN|6RCR|7BPWR|8DMG
175	15326 12111	   	169.75	DCR|4VULN|1AART|2DUR	134aVULN|2AART|5RMIN|6aDUR|7RCR|8aLWND|9RPLT|aBPWR
