0	Index      	 *	Score 	Summary	Detail	
1	21226 62336	 * 	277.28	橙橙3易伤1等级	18风暴减费28多重对愈3低血量敌人4头目5等级689易伤7a核8序列升级
16	21122 52336	   	258.10	橙橙2易伤1矿等2时间	18风暴减费28多重对愈39易伤4头目5矿等68时间7a核8序列升级
17	12353 62236	   	255.24	橙橙2易伤1等级	1等级29易伤3低血量敌人4头目5风暴减费6机枪对壮7a核8基地爆炸
18	12253 12436	   	255.14	橙橙2易伤1等级	1等级29易伤3敌人爆炸4头目5风暴减费6寒冰对黄7a核8低血量敌人
19	12253 12536	   	255.14	橙橙2易伤1等级	1等级29易伤3敌人爆炸4头目5风暴减费6寒冰对黄7a核8最后敌人
20	12353 12236	   	255.14	橙橙2易伤1等级	1等级29易伤3低血量敌人4头目5风暴减费6寒冰对黄7a核8基地爆炸
21	21226 62236	   	255.14	橙橙2易伤1等级	1风暴减费2多重对愈3低血量敌人4头目5等级69易伤7a核8基地爆炸
22	12225 32415	   	255.04	橙橙2易伤1等级	1等级26易伤3敌人爆炸4赏金邻近5随机矿7赏金塔8a核9加一
23	12226 32415	   	255.04	橙橙2易伤1等级	1等级26易伤3敌人爆炸4赏金邻近5金币生成7赏金塔8a核9加一
24	12253 15136	   	255.04	橙橙2易伤1等级	1等级29易伤3敌人爆炸4头目5风暴减费6寒冰对黄7挖青8a核
25	12325 32415	   	255.04	橙橙2易伤1等级	1等级26易伤3低血量敌人4赏金邻近5随机矿7赏金塔8a核9加一
26	12326 32415	   	255.04	橙橙2易伤1等级	1等级26易伤3低血量敌人4赏金邻近5金币生成7赏金塔8a核9加一
27	12224 32415	   	254.94	橙橙2易伤1等级	1等级26易伤3敌人爆炸4赏金邻近5掉矿7赏金塔8a核9加一
28	12324 32415	   	254.94	橙橙2易伤1等级	1等级26易伤3低血量敌人4赏金邻近5掉矿7赏金塔8a核9加一
29	11126 51333	 * 	253.90	紫橙3易伤2等级	1a等级26核3a最后敌人4激光对冰5双倍秒伤7策反89a易伤a序列升级
30	12534 13135	   	253.49	橙橙1易伤1等级1技能1攻速1雷电	1等级2易伤3攻速4雷电减费5雷电6赏金邻近7技能8挖尘9a核
31	11321 55262	 * 	251.82	紫橙2易伤2等级1伤害	1a等级29核3额外掉落48易伤5平台6伤害7策反
32	21122 52236	   	251.48	橙橙2易伤1矿等	1风暴减费2多重对愈39易伤4头目5矿等6时间7a核8基地爆炸
33	21122 52436	   	251.48	橙橙2易伤1矿等	1风暴减费2多重对愈39易伤4头目5矿等6时间7a核8低血量敌人
34	21122 52536	   	251.48	橙橙2易伤1矿等	1风暴减费2多重对愈39易伤4头目5矿等6时间7a核8最后敌人
35	21222 62536	   	251.48	橙橙2易伤1矿等	1风暴减费2多重对愈3低血量敌人4头目5矿等69易伤7a核8时间
36	21122 55136	   	251.38	橙橙2易伤1矿等	1风暴减费2多重对愈39易伤4头目5矿等6时间7挖青8a核
37	11341 35532	   	250.48	紫橙2易伤1等级1矿等1暴击	1等级2a核3额外掉落4暴击5矿等68掉矿79易伤
38	11321 55162	 * 	249.86	紫橙3等级2伤害1易伤	18a等级29核3额外掉落4易伤5平台68伤害78策反8序列升级
39	12311 13535	   	249.63	橙橙1易伤1等级1技能1攻速	1等级2易伤3低血量敌人4时间5攻速6头目7赏金邻近8技能9a核
40	11116 34236	 * 	249.58	紫橙2易伤1等级2雷电	1等级2a核35最后敌人45雷电5序列升级69易伤7时间8加农对壮
41	13564 33122	   	249.43	橙橙1易伤1等级1暴击	1等级2火球减费3暴击4赏金塔5时间6易伤7a核8额外掉落9风暴减费
42	13564 33132	   	249.43	橙橙1易伤1等级1暴击	1等级2火球减费3暴击4赏金塔5时间6易伤7a核8额外掉落9烈焰减费
