0	Index      	 *	Score 	Summary	Detail	
1	24236 31352	 * 	222.61	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7LWND|8CDMG|9RCR|aDMG
14	24236 63212	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR	17DUR|25ASPD|35VULN|4AART|5BPWR|6ERES|8RCR|9NUKE|aDMSP
15	24236 63213	   	211.37	DCR|2VULN|2ASPD|1AART|1NUKE|2DUR	17DUR|25ASPD|35VULN|4AART|5BPWR|6ERES|8RCR|9NUKE|aLHND
16	12213 35262	 * 	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|2DUR|39aVULN|4AART|5DMG|6ASPD|7AME|8RCR
17	12213 36262	   	209.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|2DUR|39aVULN|4AART|5DMG|6ASPD|7CGEN|8RCR
18	12213 31262	   	209.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1BEXP|2DUR|39aVULN|4AART|5DMG|6ASPD|7TLV|8RCR
19	24236 32211	   	208.26	DCR|2VULN|2ASPD|1AART|1NUKE|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|9NUKE|aFEWX
20	24236 32212	   	208.26	DCR|2VULN|2ASPD|1AART|1NUKE|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|9NUKE|aDMSP
21	24236 32213	   	208.26	DCR|2VULN|2ASPD|1AART|1NUKE|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|9NUKE|aLHND
22	24236 32215	   	208.26	DCR|2VULN|2ASPD|1AART|1NUKE|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|9NUKE|aLIT
23	24236 32216	   	208.26	DCR|2VULN|2ASPD|1AART|1NUKE|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|9NUKE|aRPLT
24	24236 15211	   	207.73	DCR|2VULN|2ASPD|1AART|1NUKE|1AAC|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|7RCVC|8RCR|9NUKE|aFEWX
25	24236 15212	   	207.73	DCR|2VULN|2ASPD|1AART|1NUKE|1AAC|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|7RCVC|8RCR|9NUKE|aDMSP
26	24236 15213	   	207.73	DCR|2VULN|2ASPD|1AART|1NUKE|1AAC|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|7RCVC|8RCR|9NUKE|aLHND
27	24123 52423	   	207.66	DCR|2VULN|2ASPD|1AART|1CDMG|2DUR	15DUR|29ASPD|3DUST|45VULN|5BPWR|6AART|7RPLT|8RCR|aCDMG
28	24236 63232	 * 	207.48	DCR|2VULN|2AART|2ASPD|2DUR	17DUR|25ASPD|35VULN|4aAART|5BPWR|6ERES|8RCR|9MLV
29	12213 34252	   	206.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1BEXP|2DUR|3aVULN|4AART|5DMG|69ASPD|7ERES|8RCR
30	12216 36252	   	206.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1BEXP|2DUR|3aVULN|4AART|5ERES|69ASPD|7DMG|8RCR
31	25326 17412	 * 	205.55	DCR|3VULN|2ASPD|1CDMG|2DUR	17DUR|2RCVC|3DMSP|47ASPD|579VULN|6MBVNT|7BPWR|8RCR|aCDMG
32	25126 17412	   	205.55	DCR|3VULN|2ASPD|1CDMG|2DUR	17DUR|2RCVC|3AELBLL|47ASPD|579VULN|6MBVNT|7BPWR|8RCR|aCDMG
33	24236 32232	   	204.37	DCR|2VULN|2AART|2ASPD|1DUR	1DUR|25ASPD|35VULN|4aAART|5BPWR|6RCVC|7CGEN|8RCR|9MLV
34	24236 32242	   	204.27	DCR|2VULN|2AART|2ASPD|1DUR	1DUR|25ASPD|35VULN|4aAART|5BPWR|6RCVC|7CGEN|8RCR|9ERES
35	24236 22432	 * 	204.23	DCR|2VULN|1MDPS|2ASPD|1AART|1NUKE|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6LIT|7FEWX|8MDPS|9RCR|aNUKE
36	24236 21432	   	204.13	DCR|2VULN|1MDPS|2ASPD|1AART|1NUKE|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6LIT|7DUST|8MDPS|9RCR|aNUKE
37	24224 17412	 * 	203.44	DCR|4VULN|1ASPD|1CDMG|2DUR	17DUR|2ASPD|3479VULN|57AELBLL|6MBVNT|7BPWR|8RCR|aCDMG
38	24411 21114	 * 	202.87	DCR|3DMG|1VULN|1AART|1ASPD|1DUR	1DUR|2ASPD|346DMG|5FEWX|7VULN|8BEXP|9RCR|aAART
39	24411 21214	   	202.87	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1DUR|2ASPD|346DMG|5FEWX|7VULN|8LHND|9RCR|aAART
40	24236 33352	   	202.45	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7DUST|8CDMG|9RCR|aLIT
41	24236 33353	   	202.45	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7DUST|8CDMG|9RCR|aRPLT
42	24236 31351	   	202.45	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7LWND|8CDMG|9RCR|aDUST
43	24236 31353	   	202.45	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7LWND|8CDMG|9RCR|aMBVNT
44	24236 33351	   	202.35	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7aDUST|8CDMG|9RCR
45	12213 35266	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1BEXP|2DUR|39VULN|4AART|5DMG|6ASPD|7AME|8RCR|aZMB
46	12213 36266	   	202.34	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1BEXP|2DUR|39VULN|4AART|5DMG|6ASPD|7CGEN|8RCR|aZMB
47	24123 55223	 * 	202.31	DCR|2VULN|1AART|1ASPD|1DMG|3DUR	15aDUR|2ASPD|3DUST|45VULN|5BPWR|6AART|7BEXP|8RCR|9DMG
48	61225 33353	 * 	202.25	DCR|3VULN|2ASPD|1AART	1aCGEN|2LEGI|34aVULN|5RCVC|6RCR|7aASPD|8RPLT|9AART|aBPWR
49	12213 31266	   	202.24	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1BEXP|2DUR|39VULN|4AART|5DMG|6ASPD|7TLV|8RCR|aZMB
50	41225 33353	   	202.05	DCR|3VULN|2ASPD|1AART	1aERES|2LEGI|34aVULN|5RCVC|6RCR|7aASPD|8RPLT|9AART|aBPWR
51	24236 13252	   	201.74	DCR|2VULN|2ASPD|1AART|2DUR|1AAC|1ZMB	17DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9FEWX|aZMB
52	24231 25262	   	200.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|39aVULN|4AART|5CGEN|6ZMB|7BEXP|8RCR
53	32322 35262	   	200.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3ZMB|49aVULN|5AART|6ASPD|7AME|8RCR
54	32322 36262	   	200.11	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3ZMB|49aVULN|5AART|6ASPD|7CGEN|8RCR
55	32322 45262	   	200.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2DUR|3ZMB|49aVULN|5AART|6DMG|7AME|8RCR
56	32322 46262	   	200.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2DUR|3ZMB|49aVULN|5AART|6DMG|7CGEN|8RCR
57	24231 53263	 * 	200.07	DCR|3VULN|1AART|1ASPD|3DUR	179DUR|2ASPD|36aVULN|4AART|5CGEN|8RCR
58	24231 23262	   	200.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1DUR|2ASPD|39aVULN|4AART|5CGEN|6ZMB|7DUST|8RCR
59	32322 31262	   	200.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3ZMB|49aVULN|5AART|6ASPD|7TLV|8RCR
60	32322 41262	   	200.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2DUR|3ZMB|49aVULN|5AART|6DMG|7TLV|8RCR
61	32325 41262	   	200.01	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1LWND|2DUR|3ZMB|49aVULN|5ASPD|6AART|7TLV|8RCR
62	66223 33353	   	199.89	DCR|3VULN|2ASPD|1AART	15aCGEN|2LHND|34aVULN|6RCR|7aASPD|8RPLT|9AART|aBPWR
63	61223 33353	   	199.79	DCR|3VULN|2ASPD|1AART	15aCGEN|2LEGI|34aVULN|6RCR|7aASPD|8RPLT|9AART|aBPWR
64	12213 25212	 * 	199.55	DCR|2DMG|1AART|1VULN|1NUKE|1ZMB|1DUR	1BEXP|2DUR|3VULN|4AART|59DMG|6LIT|7ZMB|8RCR|aNUKE
65	24411 21113	 * 	199.47	DCR|3DMG|2VULN|1ASPD|1DUR	1DUR|2ASPD|346DMG|5FEWX|7aVULN|8BEXP|9RCR
66	24411 21213	   	199.47	DCR|3DMG|2VULN|1ASPD|1DUR	1DUR|2ASPD|346DMG|5FEWX|7aVULN|8LHND|9RCR
67	24252 35221	 * 	198.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUR|26aASPD|3VULN|4LWND|5AART|7BEXP|8RCR|9DMG
68	34232 35221	   	198.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1LWND|26aASPD|3VULN|4DUR|5AART|7BEXP|8RCR|9DMG
69	14225 53221	   	198.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1BEXP|25aASPD|3VULN|4DUR|6AART|7DUST|8RCR|9DMG
70	24215 53221	   	198.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUR|25aASPD|3VULN|4BEXP|6AART|7DUST|8RCR|9DMG
71	24252 33221	   	198.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUR|26aASPD|3VULN|4LWND|5AART|7DUST|8RCR|9DMG
72	34232 33221	   	198.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1LWND|26aASPD|3VULN|4DUR|5AART|7DUST|8RCR|9DMG
73	25126 17414	 * 	198.66	DCR|3VULN|1MDPS|2ASPD|2DUR	17DUR|2RCVC|3AELBLL|47ASPD|579VULN|6MBVNT|7BPWR|8RCR|aMDPS
74	25326 17414	   	198.66	DCR|3VULN|1MDPS|2ASPD|2DUR	17DUR|2RCVC|3DMSP|47ASPD|579VULN|6MBVNT|7BPWR|8RCR|aMDPS
75	24236 36231	   	198.63	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9AME|aFEWX
76	24236 36232	   	198.63	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9AME|aDMSP
77	24236 36233	   	198.63	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9AME|aLHND
78	24236 32252	   	198.63	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|9FEWX|aZMB
79	24236 36221	   	198.43	DCR|2VULN|2ASPD|1AART|2DUR|1ZMB|1MSE	1aDUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9MSE
80	24236 36222	   	198.43	DCR|2VULN|2ASPD|1AART|2ZMB|1DUR|1MSE	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7aZMB|8RCR|9MSE
81	24236 36223	   	198.43	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR|1MSE	1DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7ZMB|8RCR|9MSE|aERES
82	13213 16231	   	197.92	DCR|2VULN|2ASPD|1AART|1DMG	1BEXP|2FEWX|37VULN|4AART|5DMG|6LHND|8RCR|9aASPD
83	13213 34252	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1BEXP|2FEWX|3aVULN|4AART|5DMG|69ASPD|7ERES|8RCR
84	13215 36252	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1BEXP|2FEWX|3aVULN|4AART|5ERES|69ASPD|7DMG|8RCR
85	13213 16226	 * 	197.48	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|2FEWX|37VULN|4AART|59DMG|6LHND|8RCR|aCDMG
86	24226 22512	   	197.47	DCR|3DMG|2VULN|1ASPD|1DUR	1DUR|2ASPD|34VULN|568DMG|7FEWX|9LIT|aRCR
87	24123 55222	   	197.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	15DUR|2ASPD|3DUST|45VULN|5BPWR|6AART|7BEXP|8RCR|9DMG|aCGEN
88	24231 53211	   	197.15	DCR|2VULN|1AART|1ASPD|1NUKE|2DUR	17DUR|2ASPD|36VULN|4AART|5CGEN|8RCR|9NUKE|aFEWX
89	24231 53212	   	197.15	DCR|2VULN|1AART|1ASPD|1NUKE|2DUR	17DUR|2ASPD|36VULN|4AART|5CGEN|8RCR|9NUKE|aDMSP
90	24231 53213	   	197.15	DCR|2VULN|1AART|1ASPD|1NUKE|2DUR	17DUR|2ASPD|36VULN|4AART|5CGEN|8RCR|9NUKE|aLHND
91	24231 53215	   	197.15	DCR|2VULN|1AART|1ASPD|1NUKE|2DUR	17DUR|2ASPD|36VULN|4AART|5CGEN|8RCR|9NUKE|aLIT
92	24231 53216	   	197.15	DCR|2VULN|1AART|1ASPD|1NUKE|2DUR	17DUR|2ASPD|36VULN|4AART|5CGEN|8RCR|9NUKE|aRPLT
93	24432 16221	 * 	196.85	DCR|2AART|1VULN|1ASPD|1DMG|2DUR	19DUR|2ASPD|3DMG|4DUST|5BELT|6RCR|7VULN|8aAART
94	24224 17414	 * 	196.55	DCR|4VULN|1MDPS|1ASPD|2DUR	17DUR|2ASPD|3479VULN|57AELBLL|6MBVNT|7BPWR|8RCR|aMDPS
95	34232 32453	   	196.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LWND|26ASPD|3aVULN|4DUR|5AART|7RPLT|8RCR|9ZMB
96	24123 52421	 * 	196.46	DCR|2VULN|2ASPD|1AART|3DUR	15aDUR|29ASPD|3DUST|45VULN|5BPWR|6AART|7RPLT|8RCR
97	24236 13251	   	196.46	DCR|2VULN|2ASPD|1AART|3DUR|1AAC	17aDUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|9FEWX
98	24236 13261	   	196.46	DCR|2VULN|2ASPD|1AART|3DUR|1AAC	179DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|aBEXP
99	24236 13262	   	196.46	DCR|2VULN|2ASPD|1AART|3DUR|1AAC	179DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|aMLV
100	32322 34252	   	196.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LWND|2DUR|3ZMB|4aVULN|5AART|69ASPD|7ERES|8RCR
101	34232 33266	   	196.40	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1LWND|26ASPD|39VULN|4DUR|5AART|7DUST|8RCR|aZMB
102	24224 13412	   	196.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1DUR|27ASPD|349VULN|5AELBLL|6MBVNT|8RCR|aCDMG
103	24236 13263	   	196.36	DCR|2VULN|2ASPD|1AART|3DUR|1AAC|1MSE	179DUR|25ASPD|35VULN|4AART|5BPWR|6AAC|8RCR|aMSE
104	24231 22422	   	196.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB|1DUR	1DUR|29ASPD|3VULN|4AART|5CGEN|6ZMB|7RPLT|8RCR|aDMG
105	12213 34256	   	196.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1BEXP|2DUR|3VULN|4AART|5DMG|69ASPD|7ERES|8RCR|aZMB
106	32322 44251	   	196.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1LWND|2DUR|3ZMB|4VULN|5AART|6DMG|7ERES|8RCR|9aASPD
107	11133 21114	   	195.79	DCR|3VULN|2ASPD|1AART|1AAC	157BEXP|2SNIFST|37aVULN|4AAC|67ASPD|7BPWR|8RCR|9AART
108	12246 26123	 * 	195.63	DCR|4VULN|2DMG|1DUR	157BEXP|2DUR|3478VULN|67DMG|7BPWR|9LWND|aRCR
109	34224 13415	   	195.59	DCR|3VULN|2ASPD|1AART	1LWND|27ASPD|349VULN|5AELBLL|6MBVNT|8RCR|aAART
110	25326 17441	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3DMSP|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART|aFEWX
111	25326 17442	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3aDMSP|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART
112	25326 17443	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3DMSP|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART|aLHND
113	25326 17444	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3DMSP|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART|aBEXP
114	25126 17441	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3AELBLL|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART|aFEWX
115	25126 17442	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3AELBLL|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART|aDMSP
116	25126 17443	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3AELBLL|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART|aLHND
117	25126 17444	   	195.25	DCR|2VULN|2ASPD|1AART|2DUR	17DUR|2RCVC|3AELBLL|47ASPD|57VULN|6MBVNT|7BPWR|8RCR|9AART|aBEXP
118	24123 51432	   	195.15	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE|2DUR	15DUR|2ASPD|3DUST|45VULN|5BPWR|6AART|7LIT|8MDPS|9RCR|aNUKE
119	24224 17441	   	195.12	DCR|3VULN|1AART|1ASPD|2DUR	17DUR|2ASPD|347VULN|57AELBLL|6MBVNT|7BPWR|8RCR|9AART|aFEWX
120	24224 17442	   	195.12	DCR|3VULN|1AART|1ASPD|2DUR	17DUR|2ASPD|347VULN|57AELBLL|6MBVNT|7BPWR|8RCR|9AART|aDMSP
121	24224 17443	   	195.12	DCR|3VULN|1AART|1ASPD|2DUR	17DUR|2ASPD|347VULN|57AELBLL|6MBVNT|7BPWR|8RCR|9AART|aLHND
122	24224 17444	   	195.12	DCR|3VULN|1AART|1ASPD|2DUR	17DUR|2ASPD|347VULN|57AELBLL|6MBVNT|7BPWR|8RCR|9AART|aBEXP
123	24252 32423	 * 	194.96	DCR|3ASPD|1VULN|1AART|1CDMG|1DUR	1DUR|269ASPD|3VULN|4LWND|5AART|7RPLT|8RCR|aCDMG
124	34232 32423	   	194.96	DCR|3ASPD|1VULN|1AART|1CDMG|1DUR	1LWND|269ASPD|3VULN|4DUR|5AART|7RPLT|8RCR|aCDMG
125	34411 21114	   	194.56	DCR|3DMG|1VULN|1AART|1ASPD	1LWND|2ASPD|346DMG|5FEWX|7VULN|8BEXP|9RCR|aAART
126	24236 22433	   	194.50	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6LIT|7FEWX|8MDPS|9RCR|aZMB
127	24236 21433	   	194.40	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB|1DUR	1DUR|25ASPD|35VULN|4AART|5BPWR|6LIT|7DUST|8MDPS|9RCR|aZMB
128	33322 16221	   	194.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1LWND|2FEWX|3ZMB|47VULN|5AART|6LHND|8RCR|9DMG|aASPD
129	24123 62131	   	194.03	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	15DUR|29ASPD|3DUST|45VULN|5BPWR|6ZMB|7DMG|8CGEN|aRCR
130	34212 33266	   	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	1LWND|26ASPD|39VULN|4BEXP|5AART|7DUST|8RCR|aCDMG
131	24123 62231	   	193.93	DCR|2VULN|2ASPD|1DMG|2DUR|1ZMB	15DUR|29ASPD|3DUST|45VULN|5BPWR|6ZMB|7DMG|8TLV|aRCR
132	34224 13422	   	193.83	DCR|2VULN|2AART|2ASPD	1LWND|27ASPD|34VULN|5AELBLL|6MBVNT|8RCR|9aAART
133	13213 34256	   	193.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1BEXP|2FEWX|3VULN|4AART|5DMG|69ASPD|7ERES|8RCR|aCDMG
134	24236 32251	   	193.54	DCR|2VULN|2ASPD|1AART|2DUR	1aDUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|9FEWX
135	24236 32261	   	193.54	DCR|2VULN|2ASPD|1AART|2DUR	19DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|aRMIN
136	24236 32263	   	193.54	DCR|2VULN|2ASPD|1AART|2DUR	19DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|aLIT
137	24231 55211	   	193.51	DCR|2VULN|1AART|1ASPD|1NUKE|1DUR	1DUR|2ASPD|36VULN|4AART|5CGEN|7RCVC|8RCR|9NUKE|aFEWX
138	24231 55212	   	193.51	DCR|2VULN|1AART|1ASPD|1NUKE|1DUR	1DUR|2ASPD|36VULN|4AART|5CGEN|7RCVC|8RCR|9NUKE|aDMSP
139	24231 55213	   	193.51	DCR|2VULN|1AART|1ASPD|1NUKE|1DUR	1DUR|2ASPD|36VULN|4AART|5CGEN|7RCVC|8RCR|9NUKE|aLHND
140	24236 32262	   	193.44	DCR|2VULN|2ASPD|1AART|2DUR	19DUR|25ASPD|35VULN|4AART|5BPWR|6RCVC|7CGEN|8RCR|aTLV
141	24231 53232	   	193.26	DCR|2VULN|2AART|1ASPD|2DUR	17DUR|2ASPD|36VULN|4aAART|5CGEN|8RCR|9MLV
142	24231 53242	   	193.16	DCR|2VULN|2AART|1ASPD|2DUR	17DUR|2ASPD|36VULN|4aAART|5CGEN|8RCR|9ERES
143	24233 31352	   	193.15	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	15DUR|2ASPD|3VULN|4AART|6RCVC|7LWND|8CDMG|9RCR|aDMG
144	24233 34352	   	193.05	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	15DUR|2ASPD|3VULN|4AART|6RCVC|7LEGI|8CDMG|9RCR|aDMG
145	25326 17411	   	192.64	DCR|3VULN|2ASPD|2DUR|1AAC	17DUR|2RCVC|3DMSP|47ASPD|579VULN|6MBVNT|7BPWR|8RCR|aAAC
146	25126 17411	   	192.64	DCR|3VULN|2ASPD|2DUR|1AAC	17DUR|2RCVC|3AELBLL|47ASPD|579VULN|6MBVNT|7BPWR|8RCR|aAAC
