0	Index      	 *	Score 	Summary	Detail	
1	23645 31436	 * 	176.48	DCR|3VULN|1AART|1DMG|1ZMB	1DLOT|2AART|3MBVNT|4ZMB|58aVULN|6RCR|7LIT|9DMG
111	23263 11334	   	160.02	DCR|2DMG|1AART|3CDMG|2ASPD	1DLOT|2AART|36RPLT|489CDMG|59DMG|79ASPD|9BPWR|aRCR
112	23263 41334	   	160.02	DCR|2DMG|1AART|3CDMG|2ASPD	1DLOT|2AART|3RPLT|489CDMG|59DMG|6RCVC|79ASPD|9BPWR|aRCR
113	12433 54211	   	159.88	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2BASICY|3LIT|4DMG|57VULN|6RCR|8AART|9BELT|aCDMG
114	12433 54221	   	159.88	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2BASICY|3LIT|4DMG|57VULN|6RCR|8AART|9CDMG|aBEXP
115	12433 54223	   	159.88	DCR|2VULN|1AART|1DMG|1CDMG	1ERES|2BASICY|3LIT|4DMG|57VULN|6RCR|8AART|9CDMG|aRMIN
116	51443 22113	   	159.83	DCR|2VULN|3ASPD|1DMG|1ZMB|1DUR	123ASPD|2BPWR|4DUR|5ZMB|6RCR|78VULN|9LHND|aDMG
117	21634 21113	   	159.71	DCR|2VULN|2DMG|1AART	1DLOT|2aLSRREG|3AART|4aDMG|5CGEN|68VULN|7aLWND|9RCR|aBPWR
118	21634 25113	   	159.71	DCR|2VULN|2DMG|1AART	1DLOT|2aLSRREG|3AART|4aDMG|5CGEN|68VULN|7aLHND|9RCR|aBPWR
119	11523 61123	 * 	159.59	ACR|2DMG|1AART|1VULN|1CDMG	123ERES|2BPWR|4RCR|5AART|6LIT|7CDMG|89DMG|aVULN
120	16226 11234	   	159.59	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1ERES|27VULN|3ZMB|4ASPD|5LWND|6DUR|8RCR|9aDMG
121	16231 11234	   	159.59	DCR|2VULN|2DMG|1ZMB|1DUR|1ASPD	1ERES|27VULN|3ZMB|4BEXP|5ASPD|6DUR|8RCR|9aDMG
122	23263 21625	   	159.57	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DLOT|29AART|3RPLT|4CDMG|5DMG|6FEWX|7DUR|8RCR|aVULN
123	21634 22113	   	159.51	DCR|2VULN|2DMG|1AART	1DLOT|2aLSRREG|3AART|4aDMG|5CGEN|68VULN|7aDUST|9RCR|aBPWR
124	53133 62413	 * 	159.40	DCR|2VULN|1AART|2ASPD|1CDMG|1DUR	15ASPD|2CGEN|39VULN|45MLV|5BPWR|6RCR|7DUR|8CDMG|aAART
125	51535 21113	 * 	159.37	DCR|2VULN|2DMG|3ASPD	124ASPD|2BPWR|3aDMG|58VULN|6RCR|7MBVNT|9LHND
126	51535 22322	   	159.37	DCR|2VULN|2DMG|3ASPD	124ASPD|2aBPWR|3aDMG|5aVULN|6RCR|7TLV|8LWND|9aDUST
127	23535 32512	   	159.23	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD	1DLOT|23AART|4ZMB|5ASPD|6ERES|7RCR|8LWND|9VULN|aDMG
128	53112 51222	   	159.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|2CGEN|3VULN|47LIT|5AART|69DMG|8CDMG|aRCR
129	53112 53222	   	159.21	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1ASPD|27CGEN|3VULN|4LIT|5AART|69DMG|8CDMG|aRCR
130	23431 31221	   	159.15	DCR|2AART|2VULN|1ZMB|1DUR	1DLOT|2aAART|3DUST|4FEWX|59VULN|6RCR|7ZMB|8DUR
131	23642 35721	   	159.15	DCR|2AART|2VULN|1ZMB|1DUR	1DLOT|2aAART|3MBVNT|4ZMB|5LHND|6RCR|79VULN|8DUR
132	23644 35721	   	159.15	DCR|2AART|2VULN|1ZMB|1DUR	1DLOT|2aAART|3MBVNT|4ZMB|5LWND|6RCR|79VULN|8DUR
133	23645 32721	   	159.15	DCR|2AART|2VULN|1ZMB|1DUR	1DLOT|2aAART|3MBVNT|4ZMB|59VULN|6RCR|7LHND|8DUR
134	23645 36221	   	159.15	DCR|2AART|2VULN|1ZMB|1DUR	1DLOT|2aAART|3MBVNT|4ZMB|59VULN|6RCR|7BEXP|8DUR
135	23647 35221	   	159.15	DCR|2AART|2VULN|1ZMB|1DUR	1DLOT|2aAART|3MBVNT|4ZMB|5FEWX|6RCR|79VULN|8DUR
136	23324 12322	 * 	159.14	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	1DLOT|28AART|3ASPD|4DUR|59VULN|6CDMG|7DUST|aRCR
137	23454 13322	   	159.14	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	1DLOT|28AART|3DUST|4ASPD|59VULN|6CDMG|7DUR|aRCR
138	21623 52432	 * 	158.92	DCR|4VULN|1AART	1DLOT|2LSRREG|3AART|4LHND|589aVULN|6RCR|7LIT
139	42421 62311	 * 	158.88	DCR|2VULN|1AART|1DMG|3DUR	1BEXP|2FEWX|357DUR|49VULN|6AART|8RCR|aDMG
140	23112 51533	   	158.86	DCR|3DMG|1AART|1ZMB|1ASPD	1DLOT|2AART|39LIT|49aDMG|5ZMB|6ASPD|79LHND|8RCR|9BPWR
141	23535 23316	   	158.82	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD|1DUR|1SELL	1DLOT|23AART|4ZMB|5ASPD|6DUR|7DMG|8SELL|9VULN|aRCR
142	23324 33626	   	158.79	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1DLOT|2AART|3ASPD|4DUR|59VULN|6ZMB|7CDMG|8MLV|aRCR
143	26131 24216	   	158.78	DCR|2VULN|1AART|1DMG|1CDMG	1DLOT|2RPLT|38VULN|4LIT|5RCVC|6RCR|7CDMG|9DMG|aAART
144	23231 16612	   	158.78	DCR|2VULN|1AART|1DMG|1CDMG	1DLOT|2AART|3RPLT|4aFEWX|59VULN|6CDMG|7DMG|8RCR
145	23231 16614	   	158.78	DCR|2VULN|1AART|1DMG|1CDMG	1DLOT|2AART|3RPLT|4FEWX|59VULN|6CDMG|7DMG|8RCR|aMLV
146	23231 16625	   	158.78	DCR|2VULN|1AART|1DMG|1CDMG	1DLOT|2AART|3RPLT|4FEWX|5aVULN|6CDMG|7DMG|8RCR|9RCVC
147	23231 16663	   	158.78	DCR|2VULN|1AART|1DMG|1CDMG	1DLOT|2AART|3RPLT|4FEWX|5aVULN|6CDMG|7DMG|8RCR|9BEXP
148	23324 35325	   	158.69	DCR|2VULN|1AART|1FLTHEA|1ZMB|1DUR|1ASPD	1DLOT|2AART|3ASPD|4DUR|59VULN|6ZMB|7DUST|8FLTHEA|aRCR
149	23241 16612	   	158.68	DCR|2VULN|1AART|1DMG|1CDMG	1DLOT|2AART|3RPLT|4DUST|59VULN|6CDMG|7DMG|8RCR|aFEWX
150	23231 16613	   	158.68	DCR|2VULN|1AART|1DMG|1CDMG	1DLOT|2AART|3RPLT|4FEWX|59VULN|6CDMG|7DMG|8RCR|aDUST
151	23112 53533	   	158.66	DCR|3DMG|1AART|1ZMB|1ASPD	1DLOT|2AART|3LIT|49aDMG|5ZMB|6ASPD|7LWND|8RCR
152	23644 38211	 * 	158.37	DCR|2DMG|1AART|2ZMB|2ASPD	1DLOT|2AART|3MBVNT|4aZMB|59LWND|6RCR|7aDMG|8aASPD|aBPWR
153	23647 34441	   	158.37	DCR|2DMG|1AART|2ZMB|1CDMG	1DLOT|2AART|3MBVNT|4aZMB|5aFEWX|6RCR|7TLV|8CDMG|9aDMG|aBPWR
154	23647 36441	   	158.37	DCR|2DMG|1AART|2ZMB|1CDMG	1DLOT|2AART|3MBVNT|4aZMB|5aFEWX|6RCR|7ERES|8CDMG|9aDMG|aBPWR
155	16133 43334	   	158.30	ACR|4VULN|1DMG|1ZMB	1ERES|279aVULN|3RPLT|4ZMB|5RCR|6LSRICY|8DMG
156	16133 62334	   	158.30	ACR|4VULN|1DMG|1ZMB	1ERES|269aVULN|3RPLT|4ZMB|5RCR|7MGNSTR|8DMG
157	23645 33417	 * 	158.27	DCR|2VULN|1AART|2ZMB|1CDMG	1DLOT|2AART|3MBVNT|4aZMB|59VULN|6RCR|7RPLT|8CDMG
158	23535 43231	   	158.20	DCR|2AART|2DMG|2ZMB|1ASPD	1DLOT|23AART|49ZMB|5ASPD|69DUST|79DMG|8RCR|9BPWR|aERES
159	23535 43233	   	158.20	DCR|2AART|2DMG|2ZMB|1ASPD	1DLOT|23AART|49ZMB|5ASPD|69aDUST|79DMG|8RCR|9BPWR
160	23216 16316	   	158.01	DCR|2VULN|2DMG|1AART	1DLOT|2AART|3RPLT|4RCVC|59DMG|6ERES|79FEWX|89VULN|9BPWR|aRCR
