0	Index      	 *	Score 	Summary	Detail	
1	21412 32543	 * 	189.01	DCR|3DMG|2VULN|1AART|1DUR	1RMIN|2DUR|38VULN|4AART|59aDMG|6RCR|7RPLT
22	61231 31131	   	179.11	DCR|4VULN|1AART|1CDMG|1ASPD	1LWND|289aVULN|3FEWX|4AART|5ASPD|6RCR|7CDMG
23	61631 31131	   	179.11	DCR|4VULN|1AART|1CDMG|1ASPD	1LWND|289aVULN|3BEXP|4AART|5ASPD|6RCR|7CDMG
24	61331 31131	   	179.01	DCR|4VULN|1AART|1CDMG|1ASPD	1LWND|289aVULN|3DUST|4AART|5ASPD|6RCR|7CDMG
25	21412 33136	   	178.85	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|28DUR|3aVULN|4AART|58DMG|6RCR|789CGEN|8BPWR
26	41412 33136	   	178.85	DCR|2VULN|2DMG|1AART|2DUR	18DUR|2aVULN|3RMIN|4AART|58DMG|6RCR|789CGEN|8BPWR
27	21412 33145	   	178.75	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|28DUR|3aVULN|4AART|58DMG|6RCR|78CGEN|8BPWR|9LEGI
28	21412 36135	   	178.65	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|28DUR|3aVULN|4AART|58DMG|6RCR|78TLV|8BPWR|9CGEN
29	11412 35315	   	178.58	DCR|4VULN|1AART|1DMG	1BEXP|279aVULN|3RMIN|4AART|5DMG|6RCR|8FEWX
30	21412 33112	   	178.52	DCR|3DMG|1AART|1VULN|2DUR	1RMIN|28DUR|3VULN|4AART|58aDMG|6RCR|78CGEN|8BPWR|9RCVC
31	41412 33112	   	178.52	DCR|3DMG|1AART|1VULN|2DUR	18DUR|2VULN|3RMIN|4AART|58aDMG|6RCR|78CGEN|8BPWR|9RCVC
32	23412 31215	   	178.48	DCR|4VULN|1AART|1DMG	1RMIN|2DUST|389aVULN|4AART|5DMG|6RCR|7BEXP
33	23412 35215	   	178.48	DCR|4VULN|1AART|1DMG	1RMIN|2DUST|379aVULN|4AART|5DMG|6RCR|8BEXP
34	61231 31533	   	178.46	DCR|3VULN|1AART|2CDMG|1ASPD|1DUR	18LWND|289VULN|3FEWX|4AART|5ASPD|6RCR|78CDMG|8BPWR|aDUR
35	61631 31533	   	178.46	DCR|3VULN|1AART|2CDMG|1ASPD|1DUR	18LWND|289VULN|3BEXP|4AART|5ASPD|6RCR|78CDMG|8BPWR|aDUR
36	21412 32641	   	178.36	DCR|3DMG|1AART|1VULN|1ASPD|1DUR	1RMIN|2DUR|3VULN|4AART|589DMG|6RCR|7RPLT|aASPD
37	61331 31533	   	178.36	DCR|3VULN|1AART|2CDMG|1ASPD|1DUR	18LWND|289VULN|3DUST|4AART|5ASPD|6RCR|78CDMG|8BPWR|aDUR
38	21412 36112	   	178.32	DCR|3DMG|1AART|1VULN|2DUR	1RMIN|28DUR|3VULN|4AART|58aDMG|6RCR|78TLV|8BPWR|9RCVC
39	41412 36112	   	178.32	DCR|3DMG|1AART|1VULN|2DUR	18DUR|2VULN|3RMIN|4AART|58aDMG|6RCR|78TLV|8BPWR|9RCVC
40	21412 31244	   	178.22	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1RMIN|2DUR|38VULN|4aAART|5DMG|6RCR|7BEXP|9ZMB
41	21412 34216	   	178.12	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1RMIN|2DUR|39VULN|4aAART|5DMG|6RCR|7ZMB|8ERES
42	23412 34422	   	178.12	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	1RMIN|2DUST|3aVULN|49AART|5DMG|6RCR|7ZMB|8DUR
43	23412 32642	   	178.03	DCR|3DMG|1AART|1VULN|1CDMG	1RMIN|2DUST|3VULN|4AART|589DMG|6RCR|7RPLT|aCDMG
44	21412 33132	   	176.91	DCR|3DMG|1AART|1VULN|2DUR	1RMIN|28DUR|3VULN|4AART|58aDMG|6RCR|789CGEN|8BPWR
45	21412 35122	   	176.91	DCR|3VULN|1AART|1DMG|2DUR	1RMIN|2aDUR|37aVULN|4AART|5DMG|6RCR|8MLV|9aLIT|aBPWR
46	41412 33132	   	176.91	DCR|3DMG|1AART|1VULN|2DUR	18DUR|2VULN|3RMIN|4AART|58aDMG|6RCR|789CGEN|8BPWR
47	41412 35122	   	176.91	DCR|3VULN|1AART|1DMG|2DUR	1aDUR|27aVULN|3RMIN|4AART|5DMG|6RCR|8MLV|9aLIT|aBPWR
48	21112 35615	   	176.71	DCR|3VULN|1AART|1DMG|2DUR	1RMIN|28DUR|3LWND|4AART|5DMG|6RCR|79aVULN
49	21412 31615	   	176.71	DCR|3VULN|1AART|1DMG|2DUR	1RMIN|28DUR|39aVULN|4AART|5DMG|6RCR|7BEXP
50	21412 35512	   	176.71	DCR|3VULN|1AART|1DMG|2DUR	1RMIN|2aDUR|379VULN|4AART|5DMG|6RCR|8LHND
51	21412 35412	   	176.61	DCR|3VULN|1AART|1DMG|2DUR	1RMIN|2aDUR|378VULN|4AART|5DMG|6RCR|9DUST
52	61231 31525	 * 	175.93	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	18LWND|28VULN|3FEWX|4AART|5ASPD|6RCR|78CDMG|8BPWR|9LIT|aDMG
53	11412 35316	   	175.93	DCR|3VULN|2AART|1DMG	1BEXP|279VULN|3RMIN|4aAART|5DMG|6RCR|8FEWX
54	13412 35115	   	175.93	DCR|3VULN|2AART|1DMG	1BEXP|2LHND|3RMIN|48AART|5DMG|6RCR|79aVULN
55	16112 35115	   	175.93	DCR|3VULN|2AART|1DMG	1BEXP|2CGEN|3LWND|48AART|5DMG|6RCR|79aVULN
56	51412 31115	   	175.93	DCR|3VULN|2AART|1DMG	1LHND|29aVULN|3RMIN|48AART|5DMG|6RCR|7BEXP
57	61412 31115	   	175.93	DCR|3VULN|2AART|1DMG	1LWND|29aVULN|3RMIN|48AART|5DMG|6RCR|7BEXP
58	61331 31525	   	175.83	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	18LWND|28VULN|3DUST|4AART|5ASPD|6RCR|78CDMG|8BPWR|9LIT|aDMG
59	23412 31216	   	175.83	DCR|3VULN|2AART|1DMG	1RMIN|2DUST|389VULN|4aAART|5DMG|6RCR|7BEXP
60	23412 35216	   	175.83	DCR|3VULN|2AART|1DMG	1RMIN|2DUST|379VULN|4aAART|5DMG|6RCR|8BEXP
61	23112 35115	   	175.83	DCR|3VULN|2AART|1DMG	1RMIN|2DUST|3LWND|48AART|5DMG|6RCR|79aVULN
62	23412 31242	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2DUST|38aVULN|4AART|5DMG|6RCR|7BEXP|9ZMB
63	23412 35242	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2DUST|37aVULN|4AART|5DMG|6RCR|8BEXP|9ZMB
64	23412 35421	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2DUST|378VULN|4AART|5DMG|6RCR|9CGEN|aZMB
65	11412 34215	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|29aVULN|3RMIN|4AART|5DMG|6RCR|7ZMB|8ERES
66	11412 35431	   	175.38	DCR|3VULN|1AART|1DMG|1ZMB	1BEXP|278VULN|3RMIN|4AART|5DMG|6RCR|9ERES|aZMB
67	23412 34215	   	175.28	DCR|3VULN|1AART|1DMG|1ZMB	1RMIN|2DUST|39aVULN|4AART|5DMG|6RCR|7ZMB|8ERES
68	21412 35112	   	174.96	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2DUR|37VULN|4AART|5aDMG|6RCR|8MLV|9RCVC
69	41412 35112	   	174.96	DCR|2VULN|2DMG|1AART|1DUR	1DUR|27VULN|3RMIN|4AART|5aDMG|6RCR|8MLV|9RCVC
70	21412 33123	   	174.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|28DUR|3VULN|4AART|58DMG|6RCR|78CGEN|8BPWR|9LIT|aCDMG
71	41412 33123	   	174.91	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18DUR|2VULN|3RMIN|4AART|58DMG|6RCR|78CGEN|8BPWR|9LIT|aCDMG
72	21412 36123	   	174.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RMIN|28DUR|3VULN|4AART|58DMG|6RCR|78TLV|8BPWR|9LIT|aCDMG
73	41412 36123	   	174.71	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	18DUR|2VULN|3RMIN|4AART|58DMG|6RCR|78TLV|8BPWR|9LIT|aCDMG
74	21412 36116	 * 	174.11	DCR|2AART|2DMG|1VULN|2DUR	1RMIN|28DUR|3VULN|4aAART|58DMG|6RCR|78TLV|8BPWR|9RCVC
75	21412 33111	   	173.87	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1RMIN|28DUR|3VULN|4AART|58DMG|6RCR|78CGEN|8BPWR|9RCVC|aZMB
76	41412 33111	   	173.87	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	18DUR|2VULN|3RMIN|4AART|58DMG|6RCR|78CGEN|8BPWR|9RCVC|aZMB
77	21412 36111	   	173.67	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1RMIN|28DUR|3VULN|4AART|58DMG|6RCR|78TLV|8BPWR|9RCVC|aZMB
78	41412 36111	   	173.67	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	18DUR|2VULN|3RMIN|4AART|58DMG|6RCR|78TLV|8BPWR|9RCVC|aZMB
79	21412 32541	   	173.35	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2DUR|38VULN|4AART|59DMG|6RCR|7RPLT|aLWND
80	21412 32542	   	173.35	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2DUR|38VULN|4AART|59DMG|6RCR|7RPLT|aFEWX
81	21112 35215	   	173.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|3LWND|4AART|5DMG|6RCR|79aVULN|8RCVC
82	21412 32524	   	173.25	DCR|2VULN|2DMG|1AART|1DUR	1RMIN|2DUR|38VULN|4AART|5aDMG|6RCR|7RPLT|9DUST
83	21412 31265	   	173.02	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|38aVULN|4AART|5DMG|6RCR|7BEXP|9RCVC
84	21412 35116	   	173.02	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|37aVULN|4AART|5DMG|6RCR|8MLV|9RCVC
85	61231 31532	   	172.82	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|289VULN|3FEWX|4AART|5ASPD|6RCR|78CDMG|8BPWR|aRCVC
86	61631 31532	   	172.82	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|289VULN|3BEXP|4AART|5ASPD|6RCR|78CDMG|8BPWR|aRCVC
87	61331 31532	   	172.72	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|289VULN|3DUST|4AART|5ASPD|6RCR|78CDMG|8BPWR|aRCVC
88	21112 35112	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	1RMIN|2aDUR|3LWND|48AART|5DMG|6RCR|79VULN
89	21112 35616	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	1RMIN|28DUR|3LWND|4aAART|5DMG|6RCR|79VULN
90	21412 31616	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	1RMIN|28DUR|39VULN|4aAART|5DMG|6RCR|7BEXP
91	21412 36136	   	172.51	DCR|2AART|2DMG|1VULN|2DUR	1RMIN|28DUR|3VULN|4aAART|58DMG|6RCR|78TLV|8BPWR|9CGEN
92	43412 35112	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	1aDUR|2LHND|3RMIN|48AART|5DMG|6RCR|79VULN
93	46112 35112	   	172.51	DCR|2AART|2VULN|1DMG|2DUR	1aDUR|2CGEN|3LWND|48AART|5DMG|6RCR|79VULN
94	21412 33131	   	172.26	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1RMIN|28DUR|3VULN|4AART|58DMG|6RCR|789CGEN|8BPWR|aZMB
95	41412 33131	   	172.26	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	18DUR|2VULN|3RMIN|4AART|58DMG|6RCR|789CGEN|8BPWR|aZMB
96	21412 31243	   	172.06	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1RMIN|2aDUR|38VULN|4AART|5DMG|6RCR|7BEXP|9ZMB
97	21412 35243	   	172.06	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1RMIN|2aDUR|37VULN|4AART|5DMG|6RCR|8BEXP|9ZMB
98	41412 31243	   	172.06	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1aDUR|28VULN|3RMIN|4AART|5DMG|6RCR|7BEXP|9ZMB
99	21412 34116	   	171.96	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1RMIN|2aDUR|3VULN|4AART|5aDMG|6RCR|7ZMB|8LSRREG|9aERES|aBPWR
100	21412 34212	   	171.96	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1RMIN|2aDUR|39VULN|4AART|5DMG|6RCR|7ZMB|8ERES
101	41412 34212	   	171.96	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1aDUR|29VULN|3RMIN|4AART|5DMG|6RCR|7ZMB|8ERES
102	61231 31133	   	171.94	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LWND|289VULN|3FEWX|4AART|5ASPD|6RCR|7CDMG|aDUR
103	61631 31133	   	171.94	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LWND|289VULN|3BEXP|4AART|5ASPD|6RCR|7CDMG|aDUR
104	61331 31133	   	171.84	DCR|3VULN|1AART|1CDMG|1DUR|1ASPD	1LWND|289VULN|3DUST|4AART|5ASPD|6RCR|7CDMG|aDUR
105	61231 31231	 * 	171.62	DCR|3VULN|1AART|2ASPD|1CDMG	1LWND|29aVULN|3FEWX|4AART|58ASPD|6RCR|7CDMG
106	61631 31231	   	171.62	DCR|3VULN|1AART|2ASPD|1CDMG	1LWND|29aVULN|3BEXP|4AART|58ASPD|6RCR|7CDMG
107	61231 31535	   	171.52	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|289VULN|3FEWX|4AART|5ASPD|6RCR|78CDMG|8BPWR|aDMSP
108	61331 31231	   	171.52	DCR|3VULN|1AART|2ASPD|1CDMG	1LWND|29aVULN|3DUST|4AART|58ASPD|6RCR|7CDMG
109	21112 35116	 * 	171.48	DCR|3AART|2VULN|1DMG|1DUR	1RMIN|2DUR|3LWND|48aAART|5DMG|6RCR|79VULN
110	21412 31115	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|39aVULN|4AART|5DMG|6RCR|7BEXP|8DMSP
111	21412 31211	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|389VULN|4AART|5DMG|6RCR|7aBEXP
112	21412 31212	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|389VULN|4AART|5DMG|6RCR|7BEXP|aLHND
113	21412 32643	   	171.42	DCR|3DMG|1AART|1VULN|1DUR	1RMIN|2DUR|3VULN|4AART|589DMG|6RCR|7RPLT|aMLV
114	21412 35135	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|37aVULN|4AART|5DMG|6RCR|8MLV|9CGEN
115	21412 35211	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|379VULN|4AART|5DMG|6RCR|8aBEXP
116	21412 35212	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|379VULN|4AART|5DMG|6RCR|8BEXP|aLHND
117	21412 35511	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|379VULN|4AART|5DMG|6RCR|8LHND|aBEXP
118	41412 31115	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1DUR|29aVULN|3RMIN|4AART|5DMG|6RCR|7BEXP|8DMSP
119	41412 31211	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1DUR|289VULN|3RMIN|4AART|5DMG|6RCR|7aBEXP
120	41412 31212	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1DUR|289VULN|3RMIN|4AART|5DMG|6RCR|7BEXP|aLHND
121	41412 35211	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1DUR|279VULN|3RMIN|4AART|5DMG|6RCR|8aBEXP
122	41412 35212	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1DUR|279VULN|3RMIN|4AART|5DMG|6RCR|8BEXP|aLHND
123	61231 31534	   	171.42	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|289VULN|3FEWX|4AART|5ASPD|6RCR|78CDMG|8BPWR|aTLV
124	61331 31535	   	171.42	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|289VULN|3DUST|4AART|5ASPD|6RCR|78CDMG|8BPWR|aDMSP
125	11412 35513	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1BEXP|279VULN|3RMIN|4AART|5DMG|6RCR|8LHND|aDUR
126	51412 35213	   	171.42	DCR|3VULN|1AART|1DMG|1DUR	1LHND|279VULN|3RMIN|4AART|5DMG|6RCR|8BEXP|aDUR
127	23412 32641	   	171.32	DCR|3DMG|1AART|1VULN|1ASPD	1RMIN|2DUST|3VULN|4AART|589DMG|6RCR|7RPLT|aASPD
128	23412 35512	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUST|379VULN|4AART|5DMG|6RCR|8LHND|aDUR
129	21412 31213	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|389VULN|4AART|5DMG|6RCR|7BEXP|aDUST
130	21412 31214	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|389VULN|4AART|5DMG|6RCR|7BEXP|aTLV
131	21412 32624	   	171.32	DCR|3DMG|1AART|1VULN|1DUR	1RMIN|2DUR|3VULN|4AART|58aDMG|6RCR|7RPLT|9DUST
132	21412 33615	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|39aVULN|4AART|5DMG|6RCR|7CGEN|8ERES
133	21412 35213	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|379VULN|4AART|5DMG|6RCR|8BEXP|aDUST
134	21412 35214	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|379VULN|4AART|5DMG|6RCR|8BEXP|aTLV
135	21412 35411	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|378VULN|4AART|5DMG|6RCR|9DUST|aBEXP
136	21412 35513	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUR|379VULN|4AART|5DMG|6RCR|8LHND|aDUST
137	23412 33432	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1RMIN|2DUST|39aVULN|4AART|5DMG|6RCR|7CGEN|8DUR
138	41412 31213	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1DUR|289VULN|3RMIN|4AART|5DMG|6RCR|7BEXP|aDUST
139	41412 31214	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1DUR|289VULN|3RMIN|4AART|5DMG|6RCR|7BEXP|aTLV
140	41412 35213	   	171.32	DCR|3VULN|1AART|1DMG|1DUR	1DUR|279VULN|3RMIN|4AART|5DMG|6RCR|8BEXP|aDUST
141	61331 31534	   	171.32	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|289VULN|3DUST|4AART|5ASPD|6RCR|78CDMG|8BPWR|aTLV
142	61331 31561	   	171.32	DCR|3VULN|1AART|2CDMG|1ASPD	18LWND|28aVULN|39DUST|4AART|5ASPD|6RCR|78CDMG|8BPWR
143	23412 31244	   	171.18	DCR|2AART|2VULN|1DMG|1ZMB	1RMIN|2DUST|38VULN|4aAART|5DMG|6RCR|7BEXP|9ZMB
144	11412 34216	   	171.18	DCR|2AART|2VULN|1DMG|1ZMB	1BEXP|29VULN|3RMIN|4aAART|5DMG|6RCR|7ZMB|8ERES
145	23112 35142	   	171.18	DCR|2AART|2VULN|1DMG|1ZMB	1RMIN|2DUST|3LWND|48AART|5DMG|6RCR|7aVULN|9ZMB
146	23412 34216	   	171.08	DCR|2AART|2VULN|1DMG|1ZMB	1RMIN|2DUST|39VULN|4aAART|5DMG|6RCR|7ZMB|8ERES
147	42141 31531	   	170.95	DCR|4VULN|2CDMG|2DUR|1ASPD	18DUR|2DLOT|389aVULN|4BEXP|5ASPD|6RCR|78CDMG|8BPWR
148	42141 36322	   	170.61	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	1DUR|2DLOT|3VULN|4BEXP|5ASPD|6RCR|7ZMB|8aDMG|9AART
149	21412 32516	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUR|38VULN|4AART|5DMG|6RCR|7RPLT|9CGEN|aCDMG
150	21412 32616	   	169.41	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RMIN|2DUR|3VULN|4AART|58DMG|6RCR|7RPLT|9CGEN|aCDMG
151	21412 35333	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1RMIN|2DUR|37VULN|4AART|5DMG|6RCR|8LIT|9CGEN|aCDMG
152	41412 35333	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|27VULN|3RMIN|4AART|5DMG|6RCR|8LIT|9CGEN|aCDMG
153	61231 31125	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|28VULN|3FEWX|4AART|5ASPD|6RCR|7CDMG|9LIT|aDMG
154	61231 31346	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2aVULN|3FEWX|4AART|5ASPD|6RCR|7CDMG|8MLV|9DMG
155	21412 35312	 * 	169.31	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1RMIN|2DUR|37VULN|4AART|5DMG|6RCR|8LIT|9aASPD
156	23412 31366	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RMIN|2DUST|3aVULN|4AART|5DMG|6RCR|7BEXP|8ASPD|9CDMG
157	41412 35312	   	169.31	DCR|2VULN|1AART|1DMG|2ASPD|1DUR	1DUR|27VULN|3RMIN|4AART|5DMG|6RCR|8LIT|9aASPD
158	61331 31125	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|28VULN|3DUST|4AART|5ASPD|6RCR|7CDMG|9LIT|aDMG
159	61331 31346	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LWND|2aVULN|3DUST|4AART|5ASPD|6RCR|7CDMG|8MLV|9DMG
160	21112 35216	   	169.12	DCR|2AART|2VULN|1DMG|1DUR	1RMIN|2DUR|3LWND|4aAART|5DMG|6RCR|79VULN|8RCVC
161	13651 51121	 * 	168.91	DCR|3VULN|2DMG|1FLTHEA	1BEXP|2LHND|3BELT|4FLTHEA|578VULN|6RCR|9aDMG
162	21412 31266	   	168.82	DCR|2AART|2VULN|1DMG|1DUR	1RMIN|2DUR|38VULN|4aAART|5DMG|6RCR|7BEXP|9RCVC
163	61235 13325	   	168.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LWND|29VULN|3FEWX|4AART|5CDMG|6LIT|7ZMB|8RCR|aDMG
164	11412 32452	   	168.62	DCR|2VULN|2DMG|1AART	1BEXP|28VULN|3RMIN|4AART|5aDMG|6RCR|7RCVC|9CGEN
165	11412 32432	   	168.52	DCR|2VULN|2DMG|1AART	1BEXP|28VULN|3RMIN|4AART|5aDMG|6RCR|7RCVC|9ERES
166	11412 32442	   	168.52	DCR|2VULN|2DMG|1AART	1BEXP|28VULN|3RMIN|4AART|5aDMG|6RCR|7RCVC|9TLV
167	21412 35111	   	168.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1RMIN|2DUR|37VULN|4AART|5DMG|6RCR|8MLV|9RCVC|aZMB
168	41412 35111	   	168.37	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|27VULN|3RMIN|4AART|5DMG|6RCR|8MLV|9RCVC|aZMB
169	42141 31133	   	168.24	DCR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|2DLOT|389VULN|4BEXP|5ASPD|6RCR|7CDMG|aAART
170	51412 33116	   	168.22	DCR|2VULN|2DMG|1AART	18LHND|2aVULN|3RMIN|4AART|58DMG|6RCR|78CGEN|8BPWR|9RCVC
