0	Index      	 *	Score 	Summary	Detail	
1	42253 42123	 * 	212.60	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|489VULN|5AART|6RCR|7FEWX|aMDPS
38	32151 21343	   	201.71	DCR|4VULN|1AART|1CDMG|1DUR	1SNIFST|2ERES|3467VULN|5AART|8RCR|9CDMG|aDUR
39	51316 13431	   	200.97	DCR|1MDPS|1VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2AELBLL|3AART|4AME|5DUR|6RCR|7VULN|8DMG|9CDMG|aMDPS
40	43622 13433	 * 	200.93	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|2DUR	1ASPD|2CGEN|39DUR|4RCVC|5AART|6RCR|7VULN|8DMG|aNUKE
41	51326 13431	   	200.87	DCR|1MDPS|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2AELBLL|3AART|4ERES|5DUR|6RCR|7VULN|8DMG|9CDMG|aMDPS
42	44844 43313	   	200.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	13ASPD|2MBVNT|3BPWR|4CDMG|5DUR|68VULN|7BELT|9RCR|aAART
43	52253 42122	   	200.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|2BEXP|3DUR|489VULN|5AART|6RCR|7FEWX|aCDMG
44	46121 22322	   	200.30	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|5AART|7CGEN|8RCR|9ERES|aMDPS
45	46121 24322	   	200.30	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|5AART|7RMIN|8RCR|9ERES|aMDPS
46	46151 22322	   	200.20	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|2SNIFST|346VULN|5AART|7CGEN|8RCR|9ERES|aMDPS
47	52253 43112	   	200.02	DCR|3VULN|2AART|1ZMB|1DUR	1ZMB|2BEXP|3DUR|48aVULN|59AART|6RCR|7MBVNT
48	62511 21336	 * 	199.95	DCR|2VULN|3ZMB|1AART|1DMG|1DUR	1DUST|256ZMB|3RPLT|46VULN|6BPWR|7RCR|8DMG|9DUR|aAART
49	11242 36423	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|2DUST|3BEXP|4CDMG|5aVULN|6AART|7ASPD|8RCR|9DMG
50	52253 43122	   	199.80	DCR|4VULN|1AART|1ZMB|1DUR	1ZMB|2BEXP|3DUR|489aVULN|5AART|6RCR|7MBVNT
51	42622 13262	   	199.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2BEXP|3CGEN|4RCVC|59AART|6RCR|7VULN|8CDMG|aDMG
52	44121 44523	 * 	199.33	DCR|3VULN|1AART|1ASPD|1DMG	1ASPD|2MBVNT|3DUST|4DMSP|567VULN|8AART|9RCR|aDMG
53	43622 13252	 * 	199.30	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1ASPD|2CGEN|3DUR|4RCVC|5AART|6RCR|7VULN|89CDMG|aDMG
54	61141 44523	   	199.23	DCR|3VULN|1AART|1ASPD|1DMG	12DUST|3MBVNT|4ASPD|567VULN|8AART|9RCR|aDMG
55	42253 43142	   	198.92	DCR|3VULN|1AART|1ASPD|2DUR	1ASPD|2BEXP|39DUR|48aVULN|5AART|6RCR|7MBVNT
56	52253 42112	 * 	198.54	DCR|2VULN|2AART|1CDMG|1ZMB|1DUR	1ZMB|2BEXP|3DUR|48VULN|59AART|6RCR|7FEWX|aCDMG
57	41531 11432	 * 	198.39	DCR|3VULN|1MDPS|2ASPD|1CDMG|1ZMB	13ASPD|2AELBLL|4MDPS|59aVULN|6CDMG|7ZMB|8RCR
58	44263 24131	   	198.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	18ASPD|2MBVNT|3DUR|47VULN|5AART|6FEWX|9CDMG|aRCR
59	25162 44352	 * 	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1MLV|2RMIN|3MBVNT|45aVULN|6RCR|7ASPD|8CDMG|9DMG
60	46121 22343	   	197.82	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|24SNIFST|346VULN|4BPWR|5AART|7CGEN|8RCR|9FEWX|aCDMG
61	61162 44352	   	197.71	DCR|3VULN|1ASPD|1DMG|1CDMG	12DUST|3MBVNT|45aVULN|6RCR|7ASPD|8CDMG|9DMG
62	46121 22311	   	197.65	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|59AART|7CGEN|8RCR|aLHND
63	46121 22314	   	197.65	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|59AART|7CGEN|8RCR|aRCVC
64	46121 22315	   	197.65	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|59AART|7CGEN|8RCR|aBEXP
65	46121 22316	   	197.65	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|59AART|7CGEN|8RCR|aLWND
66	46121 22341	   	197.65	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|5aAART|7CGEN|8RCR|9FEWX
67	46121 24311	   	197.65	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|59AART|7RMIN|8RCR|aLHND
68	46151 22311	   	197.55	DCR|3VULN|2AART|1ASPD	1ASPD|2SNIFST|346VULN|59AART|7CGEN|8RCR|aLHND
69	46121 22313	   	197.55	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|59AART|7CGEN|8RCR|aTLV
70	46121 24313	   	197.55	DCR|3VULN|2AART|1ASPD	1ASPD|24SNIFST|346VULN|4BPWR|59AART|7RMIN|8RCR|aTLV
71	23137 76132	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1MLV|2CGEN|3MBVNT|4DMG|59AART|6VULN|7RCR|8ASPD|aCDMG
72	61141 47623	 * 	197.48	DCR|2VULN|2AART|1ASPD|1DMG	12DUST|3MBVNT|4ASPD|56VULN|78AART|9RCR|aDMG
73	46151 22313	   	197.45	DCR|3VULN|2AART|1ASPD	1ASPD|2SNIFST|346VULN|59AART|7CGEN|8RCR|aTLV
74	23157 83423	 * 	196.96	DCR|3VULN|2DMG|1AART	1MLV|2CGEN|3MBVNT|4AART|567VULN|8aDMG|9RCR
75	46121 22335	   	196.65	DCR|3VULN|1AART|1ASPD|1AAC|1DUR	1ASPD|24SNIFST|346VULN|4BPWR|5AART|7CGEN|8RCR|9DUR|aAAC
76	46122 23413	   	196.50	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1ASPD|24SNIFST|346VULN|4BPWR|5LIT|7DMG|8RCR|9DUR|aZMB
77	42213 42151	 * 	196.01	DCR|2VULN|1AART|1ASPD|1NUKE|1DUR	1ASPD|2BEXP|3DUR|4LWND|5AART|6RCR|7FEWX|89VULN|aNUKE
78	43622 13132	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|28CGEN|3DUR|4RCVC|5AART|6RCR|79VULN|aDMG
79	43642 13132	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|28CGEN|3DUR|4DMSP|5AART|6RCR|79VULN|aDMG
80	42622 13432	   	196.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2BEXP|3CGEN|4RCVC|5AART|6RCR|7aVULN|8DMG|9DUR
81	33333 36536	   	195.97	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19SNIFST|2BEXP|39VULN|4LEGI|5ZMB|6DUR|79DMG|8AART|9BPWR|aRCR
82	42213 43161	   	195.91	DCR|2VULN|1AART|1ASPD|1NUKE|1DUR	1ASPD|2BEXP|3DUR|4LWND|5AART|6RCR|7MBVNT|89VULN|aNUKE
83	25144 44523	   	195.82	DCR|2VULN|2ASPD|1AART|1DMG	1MLV|2RMIN|3MBVNT|45ASPD|67VULN|8AART|9RCR|aDMG
84	44462 14323	   	195.82	DCR|2VULN|2ASPD|1AART|1DMG	17ASPD|2MBVNT|3CGEN|45VULN|6MLV|8AART|9RCR|aDMG
85	41323 13462	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2AELBLL|3AART|4ERES|5DUST|6RCR|7aVULN|8DMG|9DUR
86	42153 43141	   	195.81	DCR|2VULN|1AART|1ASPD|1NUKE|1DUR	1ASPD|2BEXP|3DUST|48VULN|5AART|6RCR|7MBVNT|9DUR|aNUKE
87	42153 31431	   	195.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2BEXP|3DUST|47VULN|5AART|6ERES|8DMG|9CDMG|aRCR
88	44124 44523	   	195.72	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|2MBVNT|3DUST|4DMSP|67VULN|8AART|9RCR|aDMG
89	43622 13423	   	195.69	DCR|1AART|1VULN|1ASPD|1DMG|1NUKE|1DUR	1ASPD|29CGEN|3DUR|4RCVC|5AART|6RCR|7VULN|8DMG|aNUKE
90	61144 44523	   	195.62	DCR|2VULN|2ASPD|1AART|1DMG	12DUST|3MBVNT|45ASPD|67VULN|8AART|9RCR|aDMG
91	46122 32412	 * 	195.60	DCR|4VULN|1MDPS|1ASPD|1DMG	1ASPD|24SNIFST|348aVULN|4BPWR|5LIT|6MDPS|7RCR|9DMG
92	43323 31425	 * 	195.59	DCR|3VULN|2ASPD|2CDMG|1AAC	1aASPD|2CGEN|3aCDMG|4LHND|5ERES|6AAC|79aVULN|8RCR|aBPWR
93	31121 33413	   	195.36	DCR|3VULN|2DMG|1AART	19SNIFST|24CGEN|349VULN|49BPWR|5AART|6LWND|7BEXP|89DMG|aRCR
94	31121 34413	   	195.36	DCR|3VULN|2DMG|1AART	19SNIFST|24CGEN|349VULN|49BPWR|5AART|6LWND|7FEWX|89DMG|aRCR
95	31121 63413	   	195.36	DCR|3VULN|2DMG|1AART	19SNIFST|24CGEN|349VULN|49BPWR|5AART|6LHND|7BEXP|89DMG|aRCR
96	31121 64413	   	195.36	DCR|3VULN|2DMG|1AART	19SNIFST|24CGEN|349VULN|49BPWR|5AART|6LHND|7FEWX|89DMG|aRCR
97	31121 66413	   	195.36	DCR|3VULN|2DMG|1AART	19SNIFST|24CGEN|349VULN|49BPWR|5AART|6LHND|7LWND|89DMG|aRCR
98	31121 46413	   	195.26	DCR|3VULN|2DMG|1AART	19SNIFST|24CGEN|349VULN|49BPWR|5AART|6DUST|7LWND|89DMG|aRCR
99	31123 66413	   	195.26	DCR|3VULN|2DMG|1AART	19SNIFST|24CGEN|349VULN|49BPWR|5DUST|6AART|7LWND|89DMG|aRCR
100	31151 33413	   	195.26	DCR|3VULN|2DMG|1AART	19SNIFST|2CGEN|349VULN|5AART|6LWND|7BEXP|89DMG|9BPWR|aRCR
101	31151 34413	   	195.26	DCR|3VULN|2DMG|1AART	19SNIFST|2CGEN|349VULN|5AART|6LWND|7FEWX|89DMG|9BPWR|aRCR
102	31151 63413	   	195.26	DCR|3VULN|2DMG|1AART	19SNIFST|2CGEN|349VULN|5AART|6LHND|7BEXP|89DMG|9BPWR|aRCR
103	32121 33413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|24ERES|349VULN|49BPWR|5AART|6LWND|7BEXP|89DMG|aRCR
104	32121 34413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|24ERES|349VULN|49BPWR|5AART|6LWND|7FEWX|89DMG|aRCR
105	32121 63413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|24ERES|349VULN|49BPWR|5AART|6LHND|7BEXP|89DMG|aRCR
106	32121 64413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|24ERES|349VULN|49BPWR|5AART|6LHND|7FEWX|89DMG|aRCR
107	32121 66413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|24ERES|349VULN|49BPWR|5AART|6LHND|7LWND|89DMG|aRCR
108	32151 33413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|2ERES|349VULN|5AART|6LWND|7BEXP|89DMG|9BPWR|aRCR
109	32151 34413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|2ERES|349VULN|5AART|6LWND|7FEWX|89DMG|9BPWR|aRCR
110	32151 63413	   	195.16	DCR|3VULN|2DMG|1AART	19SNIFST|2ERES|349VULN|5AART|6LHND|7BEXP|89DMG|9BPWR|aRCR
111	53142 44523	   	195.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	15ZMB|2CGEN|3MBVNT|4ASPD|67VULN|8AART|9RCR|aDMG
112	54442 44523	   	195.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	15ZMB|2MBVNT|3CGEN|4ASPD|67VULN|8AART|9RCR|aDMG
113	32121 46413	   	195.06	DCR|3VULN|2DMG|1AART	19SNIFST|24ERES|349VULN|49BPWR|5AART|6DUST|7LWND|89DMG|aRCR
114	32123 66413	   	195.06	DCR|3VULN|2DMG|1AART	19SNIFST|24ERES|349VULN|49BPWR|5DUST|6AART|7LWND|89DMG|aRCR
115	61141 44525	   	195.02	DCR|4VULN|1AART|1ASPD	12DUST|3MBVNT|4ASPD|567aVULN|8AART|9RCR
116	52253 31431	   	194.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2BEXP|3DUR|47VULN|5AART|6ERES|8DMG|9CDMG|aRCR
117	42513 15332	 * 	194.39	DCR|2VULN|2ASPD|1DMG|1CDMG	17ASPD|2BEXP|3RPLT|49VULN|5FEWX|6RCR|8CDMG|aDMG
118	25162 44354	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1MLV|2RMIN|3MBVNT|45VULN|6RCR|7aASPD|8CDMG|9DMG
119	61162 44354	   	194.09	DCR|2VULN|2ASPD|1DMG|1CDMG	12DUST|3MBVNT|45VULN|6RCR|7aASPD|8CDMG|9DMG
120	46121 11362	 * 	193.94	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1ASPD|24SNIFST|34VULN|4BPWR|5AART|6MDPS|7TLV|8RCR|9ZMB|aDMG
121	46133 11233	 * 	193.86	DCR|2VULN|2AART|1ASPD|1CDMG	1ASPD|2SNIFST|38VULN|4DUST|5aAART|6CDMG|7RPLT|9RCR
122	42253 42121	   	193.78	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|489VULN|5AART|6RCR|7aFEWX
123	43152 31361	   	193.69	DCR|3VULN|2ASPD|1AART	16ASPD|2CGEN|3RPLT|457VULN|8MULFIG|9RCR|aAART
124	25162 44371	 * 	193.69	DCR|4VULN|1ASPD|1CDMG	1MLV|2RMIN|3MBVNT|459aVULN|6RCR|7ASPD|8CDMG
125	24263 52123	   	193.68	DCR|3VULN|1AART|1DMG|1DUR	1MLV|2MBVNT|3DUR|489VULN|5AART|6RCR|7FEWX|aDMG
126	42213 43164	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|4LWND|5AART|6RCR|7MBVNT|89aVULN
127	42253 42122	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|489VULN|5AART|6RCR|7FEWX|aMBVNT
128	42253 43121	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|489VULN|5AART|6RCR|7MBVNT|aFEWX
129	42253 43222	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|28BEXP|3DUR|49aVULN|5AART|6RCR|7MBVNT
130	25144 44525	   	193.59	DCR|3VULN|2ASPD|1AART	1MLV|2RMIN|3MBVNT|45ASPD|67aVULN|8AART|9RCR
131	42153 43144	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUST|48aVULN|5AART|6RCR|7MBVNT|9DUR
132	42253 43124	   	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1ASPD|2BEXP|3DUR|489VULN|5AART|6RCR|7MBVNT|aTLV
133	61162 44371	   	193.49	DCR|4VULN|1ASPD|1CDMG	12DUST|3MBVNT|459aVULN|6RCR|7ASPD|8CDMG
134	31121 21633	   	193.42	DCR|4VULN|1AART|1ASPD	1SNIFST|24CGEN|3467VULN|4BPWR|5AART|8ASPD|9RCVC|aRCR
135	31121 21652	   	193.42	DCR|4VULN|1AART|1ASPD	1SNIFST|24CGEN|3467VULN|4BPWR|5AART|8ASPD|9RPLT|aRCR
136	46121 21122	   	193.42	DCR|4VULN|1AART|1ASPD	1ASPD|24SNIFST|3467VULN|4BPWR|5AART|8RPLT|9CGEN|aRCR
137	46121 21233	   	193.42	DCR|4VULN|1AART|1ASPD	1ASPD|24SNIFST|3467VULN|4BPWR|5AART|8CGEN|9RCVC|aRCR
138	46121 21252	   	193.42	DCR|4VULN|1AART|1ASPD	1ASPD|24SNIFST|3467VULN|4BPWR|5AART|8CGEN|9RPLT|aRCR
139	32121 21346	   	193.40	DCR|4VULN|1AART|1CDMG	1SNIFST|24ERES|3467VULN|4BPWR|5AART|8RCR|9CDMG|aFEWX
140	32151 21346	   	193.40	DCR|4VULN|1AART|1CDMG	1SNIFST|2ERES|3467VULN|5AART|8RCR|9CDMG|aFEWX
141	31131 63413	 * 	193.40	DCR|2VULN|2AART|2DMG	19SNIFST|2CGEN|39VULN|4DUST|5LWND|67AART|89DMG|9BPWR|aRCR
142	35321 63413	   	193.40	DCR|2VULN|2AART|2DMG	19SNIFST|2DUST|39VULN|4AME|5LWND|67AART|89DMG|9BPWR|aRCR
143	61144 44525	   	193.39	DCR|3VULN|2ASPD|1AART	12DUST|3MBVNT|45ASPD|67aVULN|8AART|9RCR
144	46151 21122	   	193.32	DCR|4VULN|1AART|1ASPD	1ASPD|2SNIFST|3467VULN|5AART|8RPLT|9CGEN|aRCR
145	46151 21233	   	193.32	DCR|4VULN|1AART|1ASPD	1ASPD|2SNIFST|3467VULN|5AART|8CGEN|9RCVC|aRCR
146	31151 21633	   	193.32	DCR|4VULN|1AART|1ASPD	1SNIFST|2CGEN|3467VULN|5AART|8ASPD|9RCVC|aRCR
147	31151 21652	   	193.32	DCR|4VULN|1AART|1ASPD	1SNIFST|2CGEN|3467VULN|5AART|8ASPD|9RPLT|aRCR
148	32121 21341	   	193.30	DCR|4VULN|1AART|1CDMG|1MSE	1SNIFST|24ERES|3467VULN|4BPWR|5AART|8RCR|9CDMG|aMSE
149	32121 21342	   	193.30	DCR|4VULN|1AART|1CDMG	1SNIFST|24ERES|3467VULN|4BPWR|5AART|8RCR|9CDMG|aDLOT
150	32121 21344	   	193.30	DCR|4VULN|1AART|1CDMG	1SNIFST|24ERES|3467VULN|4BPWR|5AART|8RCR|9CDMG|aTLV
151	32121 21345	   	193.30	DCR|4VULN|1AART|1CDMG	1SNIFST|24ERES|3467VULN|4BPWR|5AART|8RCR|9CDMG|aTSLFST
152	32151 21341	   	193.30	DCR|4VULN|1AART|1CDMG|1MSE	1SNIFST|2ERES|3467VULN|5AART|8RCR|9CDMG|aMSE
153	32151 21342	   	193.30	DCR|4VULN|1AART|1CDMG	1SNIFST|2ERES|3467VULN|5AART|8RCR|9CDMG|aDLOT
154	32151 21344	   	193.30	DCR|4VULN|1AART|1CDMG	1SNIFST|2ERES|3467VULN|5AART|8RCR|9CDMG|aTLV
155	32151 21345	   	193.30	DCR|4VULN|1AART|1CDMG	1SNIFST|2ERES|3467VULN|5AART|8RCR|9CDMG|aTSLFST
156	32131 63413	   	193.30	DCR|2VULN|2AART|2DMG	19SNIFST|2ERES|39VULN|4DUST|5LWND|67AART|89DMG|9BPWR|aRCR
157	32121 21323	 * 	193.23	DCR|4VULN|2AART	1SNIFST|24ERES|3467VULN|4BPWR|5aAART|8RCR|9LWND
158	32151 21323	   	193.23	DCR|4VULN|2AART	1SNIFST|2ERES|3467VULN|5aAART|8RCR|9LWND
159	32121 21652	   	193.22	DCR|4VULN|1AART|1ASPD	1SNIFST|24ERES|3467VULN|4BPWR|5AART|8ASPD|9RPLT|aRCR
160	32151 21652	   	193.22	DCR|4VULN|1AART|1ASPD	1SNIFST|2ERES|3467VULN|5AART|8ASPD|9RPLT|aRCR
161	53142 44525	   	192.92	DCR|3VULN|1AART|1ASPD|2ZMB	15ZMB|2CGEN|3MBVNT|4ASPD|67aVULN|8AART|9RCR
162	42221 11432	   	192.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2BEXP|3DUR|4DMSP|59aVULN|6CDMG|7ZMB|8RCR
163	42231 11432	   	192.58	DCR|3VULN|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|24BEXP|3DUR|59aVULN|6CDMG|7ZMB|8RCR
164	62511 21363	 * 	192.47	DCR|3VULN|3ZMB|1DMG|1AAC	1DUST|256ZMB|3RPLT|469VULN|6BPWR|7RCR|8DMG|aAAC
