0	Index      	 *	Score 	Summary	Detail	
1	53221 31626	 * 	236.82	DCR|3VULN|3ASPD|1MDPS|3ZMB|1AART|1NUKE	1BELT|2NUKE|39aASPD|49aVULN|5AART|6MDPS|7RCR|89aZMB|9aBPWR
38	62311 31344	 * 	210.60	DCR|2DMG|1VULN|1AART|1CDMG|2SPLREG|2ZMB|1AAC|1DUR	1aZMB|2DUR|3AART|4aSPLREG|5CDMG|6VULN|7aDMG|8AAC|9RCR|aBPWR
39	53221 31244	 * 	210.15	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1NUKE|1ZMB	1BELT|2NUKE|38ASPD|48VULN|5AART|6MDPS|7RCR|8BPWR|9DMG|aZMB
40	36653 23223	   	209.85	DCR|2VULN|2AART|2ASPD|2DUR	1RCVC|28VULN|3aAART|48DUR|5FEWX|6AELBLL|78ASPD|8BPWR|9RCR
41	36131 33611	   	209.81	DCR|3VULN|2DMG|1AART	15RCVC|23aVULN|4LWND|6RCR|7aDMG|8AART|9aCGEN|aBPWR
42	32661 33611	   	209.71	DCR|3VULN|2DMG|1AART	15RCVC|2LEGI|34aVULN|6RCR|7aDMG|8AART|9aCGEN|aBPWR
43	36131 33641	   	209.61	DCR|3VULN|2DMG|1AART	15RCVC|23aVULN|4LWND|6RCR|7aDMG|8AART|9aERES|aBPWR
44	61263 12151	 * 	209.27	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	16ZMB|248VULN|3RMIN|5CDMG|7AART|9RCR|aDMG
45	64133 12151	   	209.27	DCR|3VULN|1AART|1DMG|1CDMG|2ZMB	16ZMB|2CGEN|348VULN|5CDMG|7AART|9RCR|aDMG
46	21322 52625	   	209.14	DCR|3VULN|1MDPS|2ASPD|1AART|2ZMB	1MDPS|25ZMB|39ASPD|47aVULN|6AART|8RCR
47	45326 22312	 * 	209.00	DCR|3VULN|2AART|1MDPS|1ASPD|2DUR	13DUR|2MDPS|3BPWR|467VULN|5aAART|8ASPD|9RCR
48	53221 31245	   	208.13	DCR|2VULN|1MDPS|2ASPD|1AART|1DMG|1NUKE|1DUR	1BELT|2NUKE|38ASPD|48VULN|5AART|6MDPS|7RCR|8BPWR|9DMG|aDUR
49	36651 22312	   	207.92	DCR|3VULN|2AART|1MDPS|1ASPD|1DUR	1RCVC|267VULN|3aAART|4DUR|5MDPS|8ASPD|9RCR
50	41336 23224	   	207.77	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|248VULN|3FEWX|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aRCVC
51	56323 23315	 * 	207.73	DCR|3VULN|2ASPD|1DMG|2DUR	1BELT|2RPLT|38ASPD|458VULN|68DUR|7RCR|8BPWR|9LHND|aDMG
52	21322 52624	 * 	207.56	DCR|2VULN|1MDPS|2ASPD|1AART|1CDMG|2ZMB	1MDPS|25ZMB|39ASPD|47VULN|6AART|8RCR|aCDMG
53	41233 23221	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|248VULN|3LWND|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aBEXP
54	41233 23224	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|248VULN|3LWND|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aBELT
55	41233 23226	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|248VULN|3LWND|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aLIT
56	41233 43221	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|246VULN|38LWND|5AART|78ASPD|8BPWR|9RCR|aBEXP
57	41233 43224	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|246VULN|38LWND|5AART|78ASPD|8BPWR|9RCR|aBELT
58	41233 43226	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|246VULN|38LWND|5AART|78ASPD|8BPWR|9RCR|aLIT
59	41336 23221	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|248VULN|3FEWX|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aBEXP
60	41336 43221	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|246VULN|38FEWX|5AART|78ASPD|8BPWR|9RCR|aBEXP
61	41223 23225	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|28aVULN|3LWND|46AELBLL|5AART|78ASPD|8BPWR|9RCR
62	41223 43221	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|268VULN|3LWND|4AELBLL|5AART|78ASPD|8BPWR|9RCR|aBEXP
63	41223 43224	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|268VULN|3LWND|4AELBLL|5AART|78ASPD|8BPWR|9RCR|aBELT
64	41223 43226	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|268VULN|3LWND|4AELBLL|5AART|78ASPD|8BPWR|9RCR|aLIT
65	41326 43221	   	207.44	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|268VULN|3FEWX|4AELBLL|5AART|78ASPD|8BPWR|9RCR|aBEXP
66	41233 23222	   	207.34	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|248VULN|3LWND|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aERES
67	41233 43222	   	207.34	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|246VULN|38LWND|5AART|78ASPD|8BPWR|9RCR|aERES
68	41336 23222	   	207.34	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|248VULN|3FEWX|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aERES
69	41336 23225	   	207.34	DCR|3VULN|2ASPD|1AART|2DUR|1SELL	18DUR|248VULN|3FEWX|5AART|6AELBLL|78ASPD|8BPWR|9RCR|aSELL
70	41336 43222	   	207.34	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|246VULN|38FEWX|5AART|78ASPD|8BPWR|9RCR|aERES
71	41223 43222	   	207.34	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|268VULN|3LWND|4AELBLL|5AART|78ASPD|8BPWR|9RCR|aERES
72	41326 43222	   	207.34	DCR|3VULN|2ASPD|1AART|2DUR	18DUR|268VULN|3FEWX|4AELBLL|5AART|78ASPD|8BPWR|9RCR|aERES
73	36134 33321	   	207.22	DCR|3VULN|2DMG|1AART	1RCVC|235VULN|4LWND|6RCR|7aDMG|8LIT|9AART
74	36134 33631	   	207.22	DCR|3VULN|2DMG|1AART	1RCVC|235VULN|4LWND|6RCR|7aDMG|8AART|9LIT
75	32664 33321	   	207.12	DCR|3VULN|2DMG|1AART	1RCVC|2LEGI|345VULN|6RCR|7aDMG|8LIT|9AART
76	64211 23521	   	206.91	DCR|2DMG|3ZMB|1AART|1VULN|1ASPD	139ZMB|2CGEN|4aDMG|5AART|6VULN|7ASPD|8RCR
