0	Index      	 *	Score 	Summary	Detail	
1	34333 16383	 * 	202.37	DCR|3VULN|2DMG|1AART|3CDMG	17aVULN|2AART|367CDMG|47aLHND|5MBVNT|7aBPWR|8aDMG|9RCR
17	34363 16223	 * 	184.69	ACR|3VULN|1AART|3CDMG|2ZMB	17aVULN|2AART|367CDMG|4RCR|5MBVNT|7aBPWR|8aLHND|9aZMB
18	34363 26414	 * 	184.64	ACR|4VULN|1AART|2CDMG|1DUR	167aVULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8DUR|9BEXP
19	34363 26434	   	184.64	ACR|4VULN|1AART|2CDMG|1DUR	167aVULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8DUR|9FEWX
20	34363 27444	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	167VULN|2AART|3CDMG|4RCR|5MBVNT|8DUR|9MLV|aDMG
21	34361 62132	   	184.19	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	19aVULN|2AART|3CDMG|4RCR|5DUR|6LIT|7AIRHEA|8DMG
22	33133 43366	   	184.12	DCR|3VULN|1AART|1DMG|1CDMG|2DUR|1SELL	13aVULN|25DUR|4SELL|6AART|7DMG|8RCR|9CDMG
23	33123 44324	   	183.81	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|5RCVC|6AART|7aDMG|8RCR|9FEWX
24	33663 22734	 * 	183.80	DCR|5VULN|1AART|3DUR	15789VULN|278DUR|378ERES|4MBVNT|6RCR|78BPWR|aAART
25	34363 26244	   	183.66	ACR|3VULN|1AART|1DMG|2CDMG	167VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8LWND|9MLV|aDMG
26	34363 26312	   	183.66	ACR|3VULN|1AART|1DMG|2CDMG	167VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8CGEN|9RPLT|aDMG
27	34363 26324	   	183.66	ACR|3VULN|1AART|1DMG|2CDMG	167VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8CGEN|9FEWX|aDMG
28	34363 26144	 * 	183.64	ACR|4VULN|1AART|3CDMG	1679VULN|2AART|37aCDMG|4RCR|5MBVNT|7BPWR|8BASICY
29	33135 13263	   	183.36	DCR|3VULN|2DMG|1AART|2DUR|1SELL	137VULN|27DUR|4SELL|5RMIN|67DMG|7BPWR|8DUST|9RCR|aAART
30	34413 33216	   	183.01	DCR|3VULN|2DMG|1AART|1DUR	18aVULN|2AART|3aDMG|4DUR|5CGEN|6aERES|7RPLT|9RCR|aBPWR
31	33121 22554	   	182.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	13VULN|26DUR|4CDMG|5aDMG|7BEXP|8AART|9RCR
32	33135 13536	   	182.26	DCR|3VULN|2DMG|1AART|2DUR|1SELL	137VULN|27DUR|4SELL|5RMIN|67DMG|7BPWR|8AART|9LSRICY|aRCR
33	34333 16325	   	182.18	DCR|3VULN|1AART|3CDMG|1DMG	179VULN|2AART|367CDMG|47LHND|5MBVNT|7BPWR|8DMG|aRCR
34	36133 22146	 * 	182.10	DCR|4VULN|1AART|2ASPD|2DUR	139aVULN|29ASPD|4LHND|5LIT|6RCR|79DUR|8AART|9BPWR
35	33123 44326	   	181.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	13aVULN|2DUR|4CDMG|5RCVC|6AART|7DMG|8RCR|9FEWX
36	34412 13235	 * 	181.82	DCR|4VULN|1AART|1DMG|1DUR	159aVULN|2AART|3DMG|4DUR|6DUST|7RPLT|8RCR
37	36113 22146	 * 	181.65	DCR|3VULN|1AART|2ASPD|1CDMG|2DUR	139VULN|29ASPD|4FEWX|5LIT|6RCR|79DUR|8AART|9BPWR|aCDMG
38	34113 42331	 * 	181.46	DCR|2VULN|2DMG|1AART|3DUR	1aVULN|2AART|3MLV|48aDUR|5CGEN|6BEXP|7RCR|9aDMG|aBPWR
39	24532 22334	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2AART|37VULN|4LIT|5LEGI|6RCR|8aDMG|9CDMG
40	34363 16111	 * 	181.09	ACR|3VULN|2AART|3CDMG	17aVULN|29AART|367CDMG|4RCR|5MBVNT|7BPWR|8LIT
41	24123 42231	   	181.07	DCR|3VULN|2DMG|1AART	1aLWND|2AART|3MLV|48aVULN|5CGEN|6BEXP|7RCR|9aDMG|aBPWR
42	23336 11134	   	180.97	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	16LWND|2DUR|3AART|4LIT|56aDMG|6BPWR|7VULN|8RCR|9CDMG
43	34122 42231	   	180.87	DCR|3VULN|2DMG|1AART	18aVULN|2AART|3MLV|4aTLV|5LHND|6BEXP|7RCR|9aDMG|aBPWR
44	34123 42231	   	180.87	DCR|3VULN|2DMG|1AART	18aVULN|2AART|3MLV|4aTLV|5FEWX|6BEXP|7RCR|9aDMG|aBPWR
45	33121 22556	   	180.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	13aVULN|26DUR|4CDMG|5DMG|7BEXP|8AART|9RCR
46	46341 23132	 * 	180.67	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1LIT|2DMG|38VULN|4DUR|5RCVC|6RCR|7CDMG|9aAART
47	36215 21623	 * 	180.38	DCR|4VULN|1DMG|2ZMB|2ASPD	1789VULN|28ASPD|3LHND|4MLV|58ZMB|6RCR|8BPWR|aDMG
48	34333 16384	 * 	180.38	DCR|2AART|2VULN|3CDMG|1DMG	17VULN|2aAART|367CDMG|47LHND|5MBVNT|7BPWR|8DMG|9RCR
49	63523 51213	 * 	180.14	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	1CGEN|24DMG|34ZMB|4BPWR|5VULN|6RCR|79CDMG|8BEXP|aAART
50	36215 22631	   	180.12	DCR|4VULN|3ZMB|3ASPD|1SELL	1789VULN|278ASPD|3LHND|4MLV|578ZMB|6RCR|78BPWR|aSELL
51	33411 23552	   	180.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	16aVULN|2DUR|3CDMG|4RCR|5BELT|7DMG|8DMSP|9AART
52	33411 23651	   	180.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	168VULN|2DUR|3CDMG|4RCR|5BELT|7DMG|9AART|aLHND
53	33411 23653	   	180.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	168VULN|2DUR|3CDMG|4RCR|5BELT|7DMG|9AART|aRMIN
54	34361 23624	 * 	179.98	ACR|2AART|2VULN|1DMG|1CDMG|1DUR	16VULN|29AART|3CDMG|4RCR|5DUR|7MBVNT|8RMIN|aDMG
55	23116 32662	   	179.86	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	17LWND|2DUR|378VULN|4CGEN|5ZMB|67DMG|7BPWR|9RCR|aCDMG
56	34361 21215	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7ERES|8ZMB|9BEXP|aDMG
57	34361 21235	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7ERES|8ZMB|9FEWX|aDMG
58	34361 22134	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7DUST|8RPLT|9DMG|aZMB
59	34361 23135	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7MBVNT|8RPLT|9DMG|aZMB
60	34363 33434	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7DUR|8LHND|aDMG
61	34363 33634	   	179.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	19VULN|2AART|3CDMG|4RCR|5MBVNT|6ZMB|7DUR|8LWND|aDMG
62	33411 23514	   	179.49	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	169VULN|2DUR|3CDMG|4RCR|5BELT|7DMG|8DMSP|aAART
63	34361 21115	   	179.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7ERES|8DUST|9ZMB|aDMG
64	34361 21225	   	179.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7ERES|8ZMB|9DUST|aDMG
65	33411 23623	   	179.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	168VULN|2DUR|3CDMG|4RCR|5BELT|7DMG|9LSRHEA|aAART
66	33411 23663	   	179.39	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	168VULN|2DUR|3CDMG|4RCR|5BELT|7DMG|9VENICY|aAART
67	34363 23436	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3CDMG|4RCR|5MBVNT|7RPLT|8LWND|9aDMG
68	34365 21131	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2AART|3CDMG|4RCR|5LSRREG|6LHND|7LIT|8aDMG
69	33131 12554	   	179.16	DCR|3DMG|2VULN|1AART|1DUR|1SELL	13VULN|2DUR|4SELL|56aDMG|7BEXP|8AART|9RCR
70	33131 12556	   	179.16	DCR|3VULN|2DMG|1AART|1DUR|1SELL	13aVULN|2DUR|4SELL|56DMG|7BEXP|8AART|9RCR
71	34363 22136	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3CDMG|4RCR|5MBVNT|7DUST|8RPLT|9aDMG
72	34363 23236	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3CDMG|4RCR|5MBVNT|7RPLT|8DUST|9aDMG
73	34363 41136	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	17VULN|2AART|3CDMG|4RCR|5MBVNT|6LEGI|8RPLT|9aDMG
74	34363 72131	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	19VULN|2AART|3CDMG|4RCR|5MBVNT|6LIT|7AIRHEA|8aDMG
75	63223 51213	 * 	178.84	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	1CGEN|24DMG|34ASPD|4BPWR|5VULN|6RCR|79CDMG|8BEXP|aAART
76	63223 51343	   	178.84	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	1CGEN|24DMG|34ASPD|4BPWR|5VULN|6RCR|78CDMG|9FEWX|aAART
77	63223 51361	   	178.84	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	1CGEN|24DMG|34ASPD|4BPWR|5VULN|6RCR|78CDMG|9LIT|aAART
78	63223 51313	   	178.74	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	1CGEN|24DMG|34ASPD|4BPWR|5VULN|6RCR|78CDMG|9MBVNT|aAART
79	34521 22363	   	178.60	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	13VULN|2AART|49DMG|5ASPD|6LHND|7CDMG|8CGEN|aRCR
80	34333 26364	   	178.54	DCR|3VULN|1AART|1DMG|2CDMG	167VULN|2AART|37CDMG|47LHND|5MBVNT|7BPWR|8CGEN|9RCR|aDMG
81	34352 26344	   	178.54	DCR|3VULN|1AART|1DMG|2CDMG	147VULN|2AART|37CDMG|57FEWX|6MBVNT|7BPWR|8CGEN|9RCR|aDMG
82	34412 22363	   	178.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2AART|39DMG|4DUR|6TLV|7CDMG|8CGEN|aRCR
83	13411 31524	   	178.49	ACR|2VULN|2DMG|1AART|1CDMG	1BEXP|26VULN|3CDMG|4RCR|5RCVC|7aDMG|8AART|9FEWX
84	31411 31524	   	178.49	ACR|2VULN|2DMG|1AART|1CDMG	16VULN|2BEXP|3CDMG|4RCR|5RCVC|7aDMG|8AART|9FEWX
85	24523 13125	   	178.47	DCR|3VULN|2DMG|1AART	1aLWND|2AART|37aVULN|4FEWX|5DLOT|6DUST|8RCR|9aDMG|aBPWR
86	34412 22136	   	178.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15VULN|2AART|39DMG|4DUR|6TLV|7CDMG|8CANSTR|aRCR
87	33265 21821	 * 	178.38	DCR|5VULN|1DMG|1ASPD|1DUR	15789VULN|2DUR|3ASPD|4MBVNT|6RCR|aDMG
88	34363 27414	   	178.23	ACR|4VULN|1AART|1CDMG|1DUR	167aVULN|2AART|3CDMG|4RCR|5MBVNT|8DUR|9BEXP
89	34363 27434	   	178.23	ACR|4VULN|1AART|1CDMG|1DUR	167aVULN|2AART|3CDMG|4RCR|5MBVNT|8DUR|9FEWX
90	34361 23174	   	178.23	ACR|4VULN|1AART|1CDMG|1DUR	169aVULN|2AART|3CDMG|4RCR|5DUR|7MBVNT|8RPLT
91	34332 23365	   	178.17	DCR|2VULN|1AART|3CDMG|1DMG|1ASPD	17VULN|2AART|369CDMG|4LHND|5ASPD|8RCR|aDMG
92	33123 44342	   	177.67	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	13VULN|2DUR|4CDMG|5RCVC|6aAART|7DMG|8RCR|9LIT
93	34113 42131	   	177.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2AART|38MLV|4aDUR|5CGEN|6BEXP|7RCR|9aDMG|aBPWR
94	23116 32166	   	177.61	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	17LWND|2DUR|37VULN|4CGEN|58ZMB|67DMG|7BPWR|9RCR|aAART
95	34363 26141	   	177.60	ACR|4VULN|1AART|2CDMG	1679VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8BASICY|aBELT
96	34363 26142	   	177.60	ACR|4VULN|1AART|2CDMG	1679VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8BASICY|aLWND
97	13411 34511	   	177.53	ACR|4VULN|1AART|1CDMG|1DUR	1BEXP|2679VULN|3CDMG|4RCR|5RCVC|8AART|aDUR
98	31411 34511	   	177.53	ACR|4VULN|1AART|1CDMG|1DUR	1679VULN|2BEXP|3CDMG|4RCR|5RCVC|8AART|aDUR
99	34363 26143	   	177.50	ACR|4VULN|1AART|2CDMG	1679VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8BASICY|aAIRHEA
100	34363 27144	   	177.50	ACR|4VULN|1AART|2CDMG	1679VULN|2AART|3aCDMG|4RCR|5MBVNT|8BASICY
101	33112 11554	   	177.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|46FEWX|5aDMG|7CDMG|8AART|9RCR
102	33121 12551	   	177.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7BEXP|8AART|9RCR|aBELT
103	33121 12553	   	177.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7aBEXP|8AART|9RCR
104	33411 23613	   	177.33	ACR|4VULN|1DMG|1CDMG|1ASPD|1DUR	1689VULN|2DUR|3CDMG|4RCR|5BELT|7DMG|aASPD
105	33121 12552	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7BEXP|8AART|9RCR|aERES
106	33121 16511	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7DLOT|8AART|9RCR|aDMSP
107	33121 16513	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7DLOT|8AART|9RCR|aCGEN
108	33121 16514	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7DLOT|8AART|9RCR|aMLV
109	33121 16516	   	177.30	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7DLOT|8AART|9RCR|aRMIN
110	33268 42181	   	177.28	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	17VULN|27DUR|3ASPD|4MBVNT|5CGEN|67DMG|7BPWR|8RCR|9LWND|aAART
111	34363 27244	   	177.25	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2AART|3CDMG|4RCR|5MBVNT|8LWND|9MLV|aDMG
112	34363 27312	   	177.25	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2AART|3CDMG|4RCR|5MBVNT|8CGEN|9RPLT|aDMG
113	34363 27324	   	177.25	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2AART|3CDMG|4RCR|5MBVNT|8CGEN|9FEWX|aDMG
114	34365 21132	   	177.25	ACR|3VULN|1AART|1DMG|1CDMG	19aVULN|2AART|3CDMG|4RCR|5LSRREG|6LHND|7LIT|8DMG
115	33121 16512	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|56DMG|7DLOT|8AART|9RCR|aERES
116	33121 31554	   	177.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|5aDMG|67DUST|8AART|9RCR
117	34363 22254	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	16aVULN|2AART|3CDMG|4RCR|5MBVNT|7DUST|8LWND|9DMG
118	34363 22354	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	16aVULN|2AART|3CDMG|4RCR|5MBVNT|7DUST|8FEWX|9DMG
119	34363 41354	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	17aVULN|2AART|3CDMG|4RCR|5MBVNT|6LEGI|8FEWX|9DMG
120	34363 72132	   	177.15	ACR|3VULN|1AART|1DMG|1CDMG	19aVULN|2AART|3CDMG|4RCR|5MBVNT|6LIT|7AIRHEA|8DMG
121	33413 61215	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2DUR|3CDMG|4RCR|5ERES|6AART|7LHND|9ZMB|aDMG
122	33413 62215	   	177.14	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2DUR|3CDMG|4RCR|5ERES|6AART|7LWND|9ZMB|aDMG
123	34363 42534	   	177.05	ACR|3VULN|1AART|1DMG|1CDMG	19aVULN|2AART|3CDMG|4RCR|5MBVNT|6LEGI|7DUST|8DMG
124	13224 32143	 * 	176.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1BEXP|25VULN|39ASPD|4DUR|6CDMG|7RCR|8DMG|aAART
125	13451 22143	   	176.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1BEXP|24VULN|3CDMG|5DMG|6DUR|7RCR|89ASPD|aAART
126	31224 32143	   	176.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	15VULN|2BEXP|39ASPD|4DUR|6CDMG|7RCR|8DMG|aAART
127	31451 22143	   	176.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	14VULN|2BEXP|3CDMG|5DMG|6DUR|7RCR|89ASPD|aAART
128	33112 52143	   	176.96	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	13VULN|2DUR|4FEWX|5DMG|6CDMG|7RCR|89ASPD|aAART
129	33563 21721	   	176.94	DCR|5VULN|1DMG|2DUR	15789VULN|28DUR|38MLV|4MBVNT|6RCR|8BPWR|aDMG
130	62163 22721	   	176.94	DCR|5VULN|1DMG|2DUR	17CGEN|27DUR|35789VULN|4MBVNT|6RCR|7BPWR|aDMG
131	13411 34512	   	176.90	ACR|4VULN|1AART|2CDMG	1BEXP|2679VULN|3aCDMG|4RCR|5RCVC|8AART
132	31411 34512	   	176.90	ACR|4VULN|1AART|2CDMG	1679VULN|2BEXP|3aCDMG|4RCR|5RCVC|8AART
133	33567 42244	   	176.74	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	18aVULN|2DUR|3MLV|4MBVNT|5RCR|6AART|7DMG|9ZMB
134	33663 21721	   	176.74	DCR|5VULN|1DMG|2DUR	15789VULN|28DUR|38ERES|4MBVNT|6RCR|8BPWR|aDMG
135	33411 23612	 * 	176.70	ACR|4VULN|1DMG|2CDMG|1DUR	1689VULN|2DUR|3aCDMG|4RCR|5BELT|7DMG
136	63141 23236	   	176.67	DCR|3VULN|2DMG|1AART	1aCGEN|2aDMG|3DUST|4TLV|5AART|69aVULN|7RPLT|8RCR|aBPWR
137	23336 61134	 * 	176.66	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1LWND|2DUR|36AART|4LIT|5aDMG|7VULN|8RCR|9CDMG
138	34532 52333	 * 	176.66	DCR|2AART|2DMG|2VULN	13VULN|2aAART|4LWND|5LHND|6FEWX|7RCR|89DMG
139	34363 16422	   	176.58	ACR|3VULN|1AART|3CDMG|1ASPD	179VULN|2AART|367CDMG|4RCR|5MBVNT|7BPWR|8CGEN|aASPD
140	34521 13363	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	136VULN|2AART|4DMG|5ASPD|7CDMG|8LHND|9ERES|aRCR
141	13411 31526	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|26aVULN|3CDMG|4RCR|5RCVC|7DMG|8AART|9FEWX
142	31411 31526	   	176.55	ACR|3VULN|1AART|1DMG|1CDMG	16aVULN|2BEXP|3CDMG|4RCR|5RCVC|7DMG|8AART|9FEWX
143	34363 16322	   	176.48	ACR|3VULN|1AART|3CDMG|1ASPD	179VULN|2AART|367CDMG|4RCR|5MBVNT|7BPWR|8NUKE|aASPD
144	34363 16224	   	176.44	ACR|2AART|2VULN|3CDMG|1ZMB	17VULN|2aAART|367CDMG|4RCR|5MBVNT|7BPWR|8LHND|9ZMB
145	34323 24256	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3CDMG|4BEXP|5MBVNT|7MLV|8RCR|9aDMG
146	34333 24256	   	176.36	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3CDMG|4LHND|5MBVNT|7MLV|8RCR|9aDMG
147	33268 42132	 * 	176.35	DCR|3VULN|2DMG|2ASPD|2DUR	17aVULN|27DUR|3aASPD|4MBVNT|5CGEN|67DMG|7aBPWR|8RCR|9aCANHEL
148	34323 21256	   	176.26	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3CDMG|4BEXP|5MBVNT|7ERES|8RCR|9aDMG
149	34333 21256	   	176.26	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2AART|3CDMG|4LHND|5MBVNT|7ERES|8RCR|9aDMG
150	33125 11263	   	176.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	13VULN|2DUR|4CDMG|5RMIN|67DMG|8DUST|9RCR|aAART
151	34422 33216	   	175.97	DCR|3VULN|2DMG|1AART	18aVULN|2AART|3aDMG|4TLV|5LHND|6aERES|7RPLT|9RCR|aBPWR
152	34423 33216	   	175.97	DCR|3VULN|2DMG|1AART	18aVULN|2AART|3aDMG|4TLV|5FEWX|6aERES|7RPLT|9RCR|aBPWR
153	34363 26412	   	175.83	ACR|3VULN|1AART|2CDMG|2DUR	167VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8aDUR|9BEXP
154	34363 26432	   	175.83	ACR|3VULN|1AART|2CDMG|2DUR	167VULN|2AART|37CDMG|4RCR|5MBVNT|7BPWR|8aDUR|9FEWX
155	34361 34132	 * 	175.60	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB|1DUR	1VULN|2AART|3CDMG|4RCR|5DUR|6ZMB|7aASPD|8RPLT|9DMG
156	23333 41146	   	175.52	DCR|3VULN|1AART|1DMG|2DUR	19LWND|29DUR|3AART|4LIT|5RCVC|6DMG|79aVULN|8RCR|9BPWR
157	34363 25132	   	175.47	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	16VULN|2AART|3CDMG|4RCR|5MBVNT|7DUR|8RPLT|9DMG|aASPD
158	34361 22132	   	175.47	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7DUST|8RPLT|9DMG|aASPD
159	34361 23132	   	175.47	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	16VULN|2AART|3CDMG|4RCR|5DUR|7MBVNT|8RPLT|9DMG|aASPD
160	33112 11556	   	175.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	13aVULN|2DUR|46FEWX|5DMG|7CDMG|8AART|9RCR
161	33121 34551	   	175.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2DUR|4CDMG|5DMG|6DUST|8AART|9RCR|aBELT
162	33121 34553	   	175.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	137VULN|2DUR|4CDMG|5DMG|6DUST|8AART|9RCR|aBEXP
163	13411 34633	   	175.35	ACR|3VULN|1AART|1DMG|1CDMG	1BEXP|267VULN|3CDMG|4RCR|5RCVC|8DMG|9LWND|aAART
164	31411 34633	   	175.35	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2BEXP|3CDMG|4RCR|5RCVC|8DMG|9LWND|aAART
