0	Index      	 *	Score 	Summary	Detail	
1	43213 41343	 * 	195.60	DCR|2VULN|2DMG|3ZMB|1AART	1DMSP|27DMG|3AART|47aZMB|57LWND|6RCR|7BPWR|89VULN
39	21513 26432	   	176.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3ZMB|4AART|5RCVC|6CDMG|7TLV|89VULN|aDMG
40	43213 41112	 * 	175.93	DCR|2AART|2DMG|1VULN|2ZMB	1DMSP|27DMG|3aAART|47ZMB|57LWND|6RCR|7BPWR|8RPLT|9VULN
41	43214 41112	   	175.93	DCR|2AART|2DMG|1VULN|2ZMB	1DMSP|27DMG|3aAART|47ZMB|57FEWX|6RCR|7BPWR|8RPLT|9VULN
42	21533 36232	   	175.90	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5CDMG|67AART|8RMIN|9VULN|aDMG
43	21543 36331	   	175.90	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4FEWX|5CDMG|67AART|8DUR|9DMG|aVULN
44	21523 36331	   	175.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUST|5CDMG|67AART|8DUR|9DMG|aVULN
45	21533 36531	   	175.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5CDMG|67AART|8DUST|9DMG|aVULN
46	21533 36632	   	175.80	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5CDMG|67AART|8ERES|9VULN|aDMG
47	43243 62212	   	175.72	DCR|3DMG|1AART|1VULN|1ZMB|1DUR	1DMSP|245DMG|3AART|4BPWR|6VULN|7ERES|8DUR|9RCR|aZMB
48	21334 36231	   	175.54	ACR|2VULN|2AART|1DMG|1CDMG	1LIT|2RCR|3BEXP|4CDMG|5DMG|67AART|8RMIN|9aVULN
49	21334 36232	 * 	175.54	ACR|2DMG|2AART|1VULN|1CDMG	1LIT|2RCR|3BEXP|4CDMG|5aDMG|67AART|8RMIN|9VULN
50	21334 36631	   	175.44	ACR|2VULN|2AART|1DMG|1CDMG	1LIT|2RCR|3BEXP|4CDMG|5DMG|67AART|8ERES|9aVULN
51	21334 36632	   	175.44	ACR|2DMG|2AART|1VULN|1CDMG	1LIT|2RCR|3BEXP|4CDMG|5aDMG|67AART|8ERES|9VULN
52	21616 32153	 * 	175.06	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	1aLIT|2RCR|3aSNIHEL|4ZMB|5DMG|67aVULN|8SELL|9AART|aBPWR
53	21134 31254	   	175.00	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2RCR|3LWND|4CDMG|5aDMG|6AART|7LEGI|8ZMB|9VULN
54	21234 26225	 * 	174.95	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1LIT|2RCR|3BELT|4DMG|59VULN|68CDMG|7DUR|aAART
55	43223 41112	 * 	174.62	DCR|2AART|2DMG|1VULN|2ASPD	1DMSP|27DMG|3aAART|47ASPD|57LWND|6RCR|7BPWR|8RPLT|9VULN
56	43224 41112	   	174.62	DCR|2AART|2DMG|1VULN|2ASPD	1DMSP|27DMG|3aAART|47ASPD|57FEWX|6RCR|7BPWR|8RPLT|9VULN
57	21214 41215	   	174.13	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9ASPD|aDUR
58	21514 36211	   	174.10	ACR|2AART|2DMG|1VULN|1ZMB	1LIT|2RCR|3ZMB|49AART|5RPLT|67DMG|8BEXP|aVULN
59	43312 21663	   	174.05	DCR|2VULN|2DMG|1AART|2DUR	1DMSP|29DMG|3RPLT|4RCVC|59DUR|69VULN|7RCR|8AART|9BPWR|aLWND
60	21234 46223	   	174.02	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3BELT|46DMG|5aVULN|7DUR|8ZMB|9CDMG
61	21234 46232	   	174.02	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1LIT|2RCR|3BELT|46DMG|59VULN|7DUR|8ZMB|aCDMG
62	21514 36111	   	174.00	ACR|2AART|2DMG|1VULN|1ZMB	1LIT|2RCR|3ZMB|49AART|5RPLT|67DMG|8DUST|aVULN
63	43312 21662	   	173.95	DCR|2VULN|2DMG|1AART|2DUR	1DMSP|29DMG|3RPLT|4RCVC|59DUR|69VULN|7RCR|8AART|9BPWR|aERES
64	24214 82541	 * 	173.82	DCR|2AART|2VULN|1DMG|1CDMG	1LIT|2MLV|3MBVNT|48AART|5aVULN|6RCR|7DMG|9CDMG
65	24214 82542	 * 	173.82	DCR|2AART|2DMG|1VULN|1CDMG	1LIT|2MLV|3MBVNT|48AART|5VULN|6RCR|7aDMG|9CDMG
66	21113 62361	   	173.67	ACR|2VULN|2DMG|1AART|1ASPD	1LIT|2RCR|3LWND|4ASPD|5DUST|69DMG|7aVULN|8AART
67	21523 36335	   	173.42	ACR|2DMG|2AART|1CDMG|1ZMB|1DUR	1aLIT|2RCR|3ZMB|4aDUST|5CDMG|67AART|8DUR|9aDMG|aBPWR
68	21533 36231	   	173.42	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5CDMG|67AART|8RMIN|9aVULN
69	21533 36631	   	173.32	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5CDMG|67AART|8ERES|9aVULN
70	43243 54233	 * 	172.97	DCR|3DMG|2VULN|1AART	1DMSP|245DMG|3AART|48BPWR|6MBVNT|78VULN|9BELT|aRCR
71	21214 23425	   	172.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|4ZMB|59VULN|6CDMG|7MLV|8DMG|aAART
72	43213 43241	   	172.66	DCR|2DMG|1AART|1VULN|2DUR|1ZMB	1DMSP|2aDMG|3AART|4ZMB|5LWND|6RCR|78DUR|9VULN
73	43213 43243	   	172.66	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1DMSP|2DMG|3AART|4ZMB|5LWND|6RCR|78DUR|9aVULN
74	21615 11342	   	172.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2RCR|3SNIHEL|4ZMB|5RMIN|67DMG|8VULN|9CDMG|aAART
75	21214 41115	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8NUKE|9CDMG|aAART
76	21216 33425	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|4ZMB|5ERES|6CDMG|7DMG|89VULN|aAART
77	21234 22415	   	172.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2RCR|3BELT|48DMG|5VULN|6CDMG|7ZMB|9ERES|aAART
78	21234 22435	   	172.60	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2RCR|3BELT|48DMG|5VULN|6CDMG|7ZMB|9TLV|aAART
79	21234 22515	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|4DMG|58VULN|6CDMG|7ZMB|9ERES|aAART
80	21234 22535	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3BELT|4DMG|58VULN|6CDMG|7ZMB|9TLV|aAART
81	21513 24132	   	172.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6CDMG|7ASPD|8DUR|9VULN|aDMG
82	21515 24132	   	172.59	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	15LIT|2RCR|3ZMB|4AART|6CDMG|7ASPD|8DUR|9VULN|aDMG
83	21616 32242	   	172.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2RCR|3SNIHEL|4ZMB|5DMG|67VULN|8TLV|9CDMG|aAART
84	21635 11342	   	172.50	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1LIT|2RCR|3SNIHEL|4ERES|5ZMB|67DMG|8VULN|9CDMG|aAART
85	21214 41221	   	172.48	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LIT|2RCR|3BELT|4ZMB|57VULN|6DMG|8AART|9aDUR
86	43116 41112	   	172.11	DCR|2AART|2DMG|1VULN|2DUR	1DMSP|27DMG|37MLV|47DUR|5aAART|6RCR|7BPWR|8RPLT|9VULN
87	21132 11434	 * 	172.09	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3LWND|4CDMG|58aVULN|6ZMB|7ASPD|9DMG
88	21162 11434	   	172.09	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	1LIT|2RCR|3LWND|48aVULN|5CDMG|6ZMB|7ASPD|9DMG
89	21532 34341	   	171.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|46DUR|5aVULN|7DMG|8BEXP|9AART
90	21531 25251	   	171.78	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|46DUR|5MBVNT|7DMG|8aVULN|9AART
91	21234 23423	   	171.73	ACR|3DMG|2VULN|1CDMG	1LIT|2RCR|3BELT|47aDMG|58VULN|6CDMG|9MLV
92	32662 23532	   	171.67	DCR|4VULN|1AART|1CDMG|1ZMB	1DUST|2569VULN|3CDMG|4ZMB|7AART|8MLV|aRCR
93	43212 14241	   	171.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DMSP|29DMG|3AART|4ZMB|5LIT|6AIRHEL|7RCR|8CDMG|aVULN
94	12632 62632	   	171.52	DCR|2VULN|2AART|1DMG|1CDMG	1BEXP|25VULN|3CDMG|4CGEN|6RCR|7FEWX|8aAART|9DMG
95	21532 52351	 * 	171.49	ACR|3VULN|1AART|3DUR|1ZMB	18LIT|2RCR|3ZMB|48aDUR|578VULN|6RCVC|8BPWR|9AART
96	43213 41325	   	171.42	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8VULN|9LHND|aASPD
97	43213 41363	   	171.42	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1DMSP|27DMG|3AART|47ZMB|57aLWND|6RCR|7BPWR|8VULN|9ASPD
98	43213 41523	   	171.42	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8DUR|9LHND|aVULN
99	43214 41313	   	171.42	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1DMSP|27DMG|3AART|47ZMB|57FEWX|6RCR|7BPWR|8VULN|9LIT|aASPD
100	43213 41336	   	171.32	DCR|2DMG|1AART|1VULN|2ZMB|1DUR	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8VULN|9ERES|aDUR
101	43213 41361	   	171.32	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8VULN|9ASPD|aDUST
102	43213 41362	   	171.32	DCR|2DMG|1AART|1VULN|2ZMB|1ASPD	1DMSP|27DMG|3AART|47ZMB|57LWND|6RCR|7BPWR|8VULN|9ASPD|aERES
103	21533 33135	 * 	171.18	ACR|2DMG|1AART|3DUR|1CDMG|1ZMB	1aLIT|2RCR|3ZMB|48aDUR|5CDMG|6AART|7DUST|9aDMG|aBPWR
104	21532 32266	   	171.18	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|46DUR|57VULN|8ERES|9DMG|aAART
105	21134 36334	   	170.93	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LIT|2RCR|3LWND|4CDMG|5aDMG|6AART|7DUR|8TLV|9VULN
106	21652 62131	 * 	170.91	ACR|2DMG|1AART|1VULN|2CDMG	1LIT|2RCR|3aSNIHEL|4CGEN|5AART|6AIRHEA|7aDMG|8VULN|9aCDMG|aBPWR
107	21532 32356	   	170.89	ACR|3VULN|1AART|3DUR|1ZMB	18LIT|2RCR|3ZMB|468DUR|578VULN|8BPWR|9LWND|aAART
108	32652 23132	 * 	170.82	DCR|3VULN|1AART|2CDMG|1ZMB|1ASPD	1DUST|269VULN|34CDMG|5ZMB|7AART|8ASPD|aRCR
109	21523 36422	   	170.65	ACR|3AART|2VULN|1CDMG|1ZMB	1LIT|2RCR|3ZMB|4DUST|5CDMG|678AART|9aVULN
110	36126 31222	   	170.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3BEXP|4DLOT|5CDMG|6RCR|7aVULN|8DMG|9AART
111	43223 41523	   	170.11	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8DUR|9LHND|aVULN
112	21513 24131	   	170.11	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4AART|5RCVC|6CDMG|7ASPD|8DUR|9aVULN
113	21515 24131	   	170.11	ACR|2VULN|1AART|1CDMG|1ZMB|1DUR|1ASPD	15LIT|2RCR|3ZMB|4AART|6CDMG|7ASPD|8DUR|9aVULN
114	43223 41336	   	170.01	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1DMSP|27DMG|3AART|47ASPD|57LWND|6RCR|7BPWR|8VULN|9ERES|aDUR
115	21134 36211	   	169.74	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1LIT|2RCR|3LWND|4CDMG|5DMG|6AART|79DUR|8ZMB|aVULN
116	21134 36231	   	169.74	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1LIT|2RCR|3LWND|4CDMG|5DMG|6AART|7aDUR|8ZMB|9VULN
117	36126 31262	   	169.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3BEXP|4DLOT|5CDMG|6RCR|79VULN|8DMG|aAART
118	36226 31262	   	169.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|2ZMB|3FEWX|4DLOT|5CDMG|6RCR|79VULN|8DMG|aAART
119	21533 33131	   	169.64	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1LIT|2RCR|3ZMB|48DUR|5CDMG|6AART|7DUST|9DMG|aVULN
120	21513 22335	   	169.59	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	1aLIT|2RCR|3ZMB|4AART|5RCVC|6aCDMG|7DUST|8DUR|9aDMG|aBPWR
121	21514 34322	   	169.59	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1LIT|2RCR|3ZMB|4AART|5RPLT|6aDMG|7ASPD|8LWND|9VULN
122	21515 22335	   	169.59	ACR|2DMG|1AART|2CDMG|1ZMB|1DUR	15aLIT|2RCR|3ZMB|4AART|6aCDMG|7DUST|8DUR|9aDMG|aBPWR
123	43223 41325	   	169.49	DCR|2DMG|1AART|3ASPD|1VULN	1DMSP|27DMG|3AART|47aASPD|57LWND|6RCR|7BPWR|8VULN|9LHND
124	43223 41361	   	169.49	DCR|2DMG|1AART|3ASPD|1VULN	1DMSP|27DMG|3AART|479ASPD|57LWND|6RCR|7BPWR|8VULN|aRMIN
125	43223 41363	   	169.49	DCR|2DMG|1AART|3ASPD|1VULN	1DMSP|27DMG|3AART|479ASPD|57aLWND|6RCR|7BPWR|8VULN
126	21516 62323	   	169.49	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4AART|5LWND|6DUR|7DMG|8aVULN|9DUST
127	43214 36331	   	169.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMSP|2DMG|3AART|4ZMB|5FEWX|6CDMG|7LIT|8RCR|9aVULN
128	43214 36332	   	169.28	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1DMSP|2aDMG|3AART|4ZMB|5FEWX|6CDMG|7LIT|8RCR|9VULN
129	21312 24241	 * 	169.13	ACR|2VULN|1AART|1DMG|2ASPD|1DUR	1LIT|2RCR|3BEXP|45ASPD|6DUR|7DMG|8aVULN|9AART
130	21543 36232	   	168.96	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2RCR|3ZMB|4FEWX|5CDMG|67AART|8RMIN|9VULN|aDMG
131	21523 36232	   	168.86	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2RCR|3ZMB|4DUST|5CDMG|67AART|8RMIN|9VULN|aDMG
132	21134 31255	   	168.86	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2RCR|3LWND|4CDMG|5DMG|6aAART|7LEGI|8ZMB|9VULN
133	21235 26335	   	168.83	ACR|2DMG|2AART|1VULN|1DUR	1LIT|2RCR|3BELT|47DMG|5CGEN|6aAART|8DUR|9VULN
134	43214 12353	   	168.78	DCR|3DMG|1AART|1VULN|1ZMB	1DMSP|28aDMG|3AART|4ZMB|5FEWX|6VULN|7ERES|9RCR
135	43243 62112	   	168.78	DCR|3DMG|1AART|1VULN|1ZMB	1DMSP|245DMG|3AART|4BPWR|6VULN|7ERES|8LHND|9RCR|aZMB
136	43243 62312	   	168.78	DCR|3DMG|1AART|1VULN|1ZMB	1DMSP|245DMG|3AART|4BPWR|6VULN|7ERES|8BEXP|9RCR|aZMB
137	21234 23355	   	168.63	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LIT|2RCR|3BELT|47DMG|5VULN|6CDMG|8RMIN|9ASPD|aAART
138	43223 43241	   	168.60	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1DMSP|2aDMG|3AART|4ASPD|5LWND|6RCR|78DUR|9VULN
139	43223 43243	   	168.60	DCR|2VULN|1AART|1DMG|2DUR|1ASPD	1DMSP|2DMG|3AART|4ASPD|5LWND|6RCR|78DUR|9aVULN
140	43312 21651	   	168.55	DCR|2VULN|2DMG|1AART|1DUR	1DMSP|29DMG|3RPLT|4RCVC|5DUR|6aVULN|7RCR|8AART
141	21334 36421	 * 	168.54	ACR|3AART|1VULN|1DMG|2CDMG	1LIT|2RCR|3BEXP|4aCDMG|5DMG|678AART|9VULN
142	21522 33362	   	168.49	ACR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1LIT|2RCR|3ZMB|4DUST|5VULN|6DUR|7aAART|8ASPD|9DMG
143	21165 52123	 * 	168.47	ACR|4VULN|1DMG|1ASPD|1DUR	1LIT|2RCR|3LWND|4579VULN|6ASPD|8DUR|aDMG
144	21533 35231	 * 	168.30	ACR|1AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1LIT|2RCR|38ZMB|4DUR|5CDMG|6AART|7LWND|9DMG|aVULN
145	43235 21622	   	168.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1DMSP|29DMG|3AART|4SELL|5ZMB|68VULN|7FEWX|aRCR
146	43235 24322	   	168.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1DMSP|29DMG|3AART|4SELL|5ZMB|68VULN|7BEXP|aRCR
147	21533 36342	   	168.07	ACR|2AART|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1LIT|2RCR|3ZMB|48DUR|5CDMG|67AART|9ASPD|aDMG
148	21234 14225	   	167.91	ACR|2VULN|1AART|1DMG|2CDMG	1LIT|2RCR|3BELT|4DMG|59VULN|6DUST|78CDMG|aAART
149	12632 63632	   	167.90	DCR|3VULN|1AART|1CDMG|2DUR	1BEXP|259VULN|3CDMG|4CGEN|6RCR|7aDUR|8AART
150	21314 34241	   	167.82	ACR|2VULN|1AART|1DMG|2DUR|1ASPD	1LIT|2RCR|3BEXP|4ASPD|56DUR|7DMG|8aVULN|9AART
151	21532 32362	 * 	167.75	ACR|3VULN|1DMG|3DUR|1ZMB	18LIT|2RCR|3ZMB|468DUR|578VULN|8BPWR|9DMSP|aDMG
152	21522 33523	   	167.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUST|5aVULN|6DUR|7AART|8FEWX|9DMG
153	21531 33623	   	167.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5MBVNT|6aVULN|7AART|8FEWX|9DMG
154	21532 13623	   	167.69	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5aVULN|6MBVNT|7AART|8FEWX|9DMG
155	21532 52352	   	167.67	ACR|3VULN|1AART|2DUR|1ZMB	18LIT|2RCR|3ZMB|48DUR|578VULN|6RCVC|8BPWR|9AART|aBEXP
156	21534 24113	 * 	167.65	ACR|3DMG|2FLTHEA|3DUR|1ZMB	1aLIT|2RCR|3ZMB|456DUR|78aDMG|9aFLTHEA|aBPWR
157	21531 33223	   	167.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LIT|2RCR|3ZMB|4DUR|5MBVNT|6aVULN|7AART|8DUST|9DMG
