0	Index      	 *	Score 	Summary	Detail	
1	43141 12116	 * 	195.63	ACR|2VULN|2DMG|1AART|2CDMG|2DUR	1aCDMG|2aDMG|39VULN|4RCR|5LHND|6AART|7RCVC|8aDUR|aBPWR
69	43143 16322	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|38aVULN|4RCR|5DUST|6AART|7MLV|9LHND
70	43343 13212	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8LHND|aDUST
71	43343 13353	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|57aVULN|6AART|8SNIHEL|9BEXP
72	43343 13522	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|57aVULN|6AART|8NUKE|9LHND
73	43343 13612	   	174.85	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|579VULN|6AART|8BEXP|aDUST
74	43343 35211	   	174.84	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DMG|3FEWX|4RCR|58VULN|6DUR|7LWND|9ZMB|aAART
75	43141 14212	   	174.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|379VULN|4RCR|5LHND|6AART|8LEGI|aDUST
76	43143 11343	   	174.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|39aVULN|4RCR|5DUST|6AART|7FEWX|8SNIHEL
77	43143 14212	   	174.75	ACR|3VULN|1AART|1DMG|1CDMG	1CDMG|2DMG|379VULN|4RCR|5aDUST|6AART|8LHND
78	43143 33216	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DMG|38VULN|4RCR|5DUST|6DUR|7BEXP|9ZMB|aAART
79	43143 35211	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DMG|38VULN|4RCR|5DUST|6DUR|7LWND|9ZMB|aAART
80	43343 31216	   	174.74	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2DMG|3FEWX|4RCR|58VULN|6DUR|7DUST|9ZMB|aAART
81	43343 13342	   	174.60	ACR|3VULN|1AART|1DMG|1CDMG|1SELL	1CDMG|2DMG|3FEWX|4RCR|57aVULN|6AART|8SNIHEL|9SELL
82	23534 36211	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2BEXP|3AART|4DMG|5RCR|678VULN|9LWND|aCDMG
83	23534 36223	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|29BEXP|3AART|4DMG|5RCR|678VULN|aCDMG
84	23642 22633	 * 	174.22	ACR|4VULN|2DMG|1ASPD	18ERES|2BEXP|3589VULN|4RCR|68DMG|7MBVNT|8BPWR|aASPD
85	23534 36231	   	174.15	ACR|3VULN|1AART|1DMG|1CDMG	1ERES|2BEXP|3AART|4DMG|5RCR|678VULN|9DUST|aCDMG
86	43123 32144	 * 	174.14	DCR|3DMG|1AART|1VULN|2CDMG	14CDMG|289DMG|3VULN|5AART|6TLV|7LIT|aRCR
87	43142 52311	 * 	174.13	ACR|3DMG|3CDMG|1VULN|2DUR	18aCDMG|29aDMG|3VULN|4RCR|5BELT|6LIT|7aDUR|aBPWR
88	31534 33114	 * 	174.08	ACR|2AART|2VULN|2DMG	1RMIN|2LWND|37AART|49DMG|5RCR|6CGEN|8aVULN
89	32534 33114	   	174.08	ACR|2AART|2VULN|2DMG	1RMIN|2LHND|37AART|49DMG|5RCR|6CGEN|8aVULN
90	34112 53522	   	174.06	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|28DMG|38VULN|4ERES|5TLV|68MLV|7RCR|8BPWR|9CDMG|aAART
91	23534 23114	   	173.98	ACR|2AART|2VULN|2DMG	1ERES|2BEXP|37AART|49DMG|5RCR|6CGEN|8aVULN
92	41212 22156	   	173.67	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD|1DUR	16CDMG|2DUR|3AART|4ASPD|58DMG|7LIT|9VULN|aRCR
93	31522 52216	 * 	173.66	DCR|2VULN|2DMG|1AART|3DUR	1RMIN|29LWND|3AART|48VULN|59DMG|679DUR|9BPWR|aRCR
94	32522 52216	   	173.66	DCR|2VULN|2DMG|1AART|3DUR	1RMIN|29LHND|3AART|48VULN|59DMG|679DUR|9BPWR|aRCR
95	43343 12334	   	173.17	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2DMG|3FEWX|4RCR|58VULN|6AART|7CGEN|9ASPD|aDUR
96	43343 16333	   	173.17	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2DMG|3FEWX|4RCR|58VULN|6AART|7MLV|9ASPD|aDUR
97	51442 12232	   	173.14	ACR|2VULN|2AART|1DMG|1CDMG	1LHND|2CDMG|3RCR|4DMG|5FEWX|68AART|7CGEN|9aVULN
98	43343 13362	   	173.07	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2DMG|3FEWX|4RCR|57VULN|6AART|8SNIHEL|9ASPD|aDUR
99	43343 13533	   	173.07	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1CDMG|2DMG|3FEWX|4RCR|57VULN|6AART|8NUKE|9ASPD|aDUR
100	43122 61121	 * 	172.77	DCR|2VULN|3CDMG|1AART|1DMG|1ASPD	146CDMG|2DMG|3aVULN|5BELT|7AART|8ASPD|9RCR
101	43343 11116	   	172.55	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1aCDMG|2DMG|37FEWX|4RCR|59VULN|6AART|8DUR
102	43343 12332	   	172.55	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1aCDMG|2DMG|3FEWX|4RCR|58VULN|6AART|7CGEN|9ASPD
103	43143 15332	   	172.45	ACR|2VULN|1AART|1DMG|2CDMG|1ASPD	1aCDMG|2DMG|38VULN|4RCR|5DUST|6AART|7CGEN|9ASPD
104	43143 12116	   	172.45	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	1aCDMG|2DMG|39VULN|4RCR|5DUST|6AART|7RCVC|8DUR
105	34265 33333	   	172.14	DCR|3DMG|2VULN|2DUR|1ASPD	1RMIN|248DMG|3ERES|58DUR|68VULN|7RCR|8BPWR|9LHND|aASPD
106	31514 22242	   	172.05	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2LWND|3AART|47DUR|58VULN|6aDMG|9RCR
107	31522 52242	   	172.05	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2LWND|3AART|48VULN|5aDMG|67DUR|9RCR
108	32514 22242	   	172.05	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2LHND|3AART|47DUR|58VULN|6aDMG|9RCR
109	32522 52242	   	172.05	DCR|2VULN|2DMG|1AART|2DUR	1RMIN|2LHND|3AART|48VULN|5aDMG|67DUR|9RCR
110	34235 33316	   	172.04	DCR|3VULN|2DMG|2DUR|1ASPD	1RMIN|28DMG|34ERES|58DUR|68aVULN|7RCR|8BPWR|9ASPD
111	35442 23313	   	172.04	DCR|3VULN|2DMG|2DUR|1ASPD	1RMIN|28DUR|36DMG|48TLV|58aVULN|7RCR|8BPWR|9ASPD
112	42422 31363	   	172.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2LEGI|3RCR|4MGNLIT|5ZMB|6aVULN|7AART|8MLV|9DMG
113	23512 62242	   	171.95	DCR|2VULN|2DMG|1AART|2DUR	1ERES|2BEXP|3AART|47DUR|5aDMG|68VULN|9RCR
114	23522 52242	   	171.95	DCR|2VULN|2DMG|1AART|2DUR	1ERES|2BEXP|3AART|48VULN|5aDMG|67DUR|9RCR
115	23523 22242	   	171.95	DCR|2VULN|2DMG|1AART|2DUR	1ERES|2BEXP|3AART|48VULN|57DUR|6aDMG|9RCR
116	41261 33333	 * 	171.86	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1CDMG|2DUR|39AART|4LHND|56DMG|7VULN|8BELT|aRCR
117	41422 53132	   	171.81	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB|1ASPD	1CDMG|2aDUR|3RCR|4MGNLIT|5ZMB|6AART|7ASPD|89VULN
118	43244 32322	   	171.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1CDMG|25DMG|35ASPD|4RCVC|5BPWR|6DUR|7AART|8VULN|9LWND|aRCR
119	43264 32322	   	171.66	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1DUR	1CDMG|25DMG|35ASPD|4DMSP|5BPWR|6DUR|7AART|8VULN|9LWND|aRCR
120	34122 26422	   	171.66	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|26DMG|37VULN|4LHND|5CGEN|8RCR|9CDMG|aAART
121	34121 26422	   	171.56	DCR|2VULN|2DMG|1AART|1CDMG	1RMIN|26DMG|37VULN|4LHND|5TLV|8RCR|9CDMG|aAART
122	43141 12113	   	171.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|39VULN|4RCR|5LHND|6AART|7RCVC|8aDUR
123	43343 11113	   	171.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|37FEWX|4RCR|59VULN|6AART|8aDUR
124	43343 13153	   	171.53	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|3FEWX|4RCR|57VULN|6AART|8aDUR|9RCVC
125	43143 12114	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|39VULN|4RCR|5DUST|6AART|7RCVC|8aDUR
126	43143 13511	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|39VULN|4RCR|5DUST|6AART|78DUR|aCGEN
127	43143 13513	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|39VULN|4RCR|5DUST|6AART|78DUR|aLHND
128	43143 13532	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|3aVULN|4RCR|5DUST|6AART|78DUR|9MLV
129	43146 12113	   	171.43	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|39VULN|4RCR|5LEGI|6AART|7RCVC|8aDUR
130	41232 14432	   	171.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3AART|4ZMB|58DMG|6LWND|7DMSP|9VULN|aRCR
131	41232 15432	   	171.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3AART|4ZMB|58DMG|67LWND|9VULN|aRCR
132	23531 36241	   	171.33	DCR|3VULN|1AART|1DMG|1CDMG	1ERES|2BEXP|3AART|4DMG|5DUST|678VULN|9RCR|aCDMG
133	43143 13512	   	171.33	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1CDMG|2DMG|39VULN|4RCR|5aDUST|6AART|78DUR
134	43124 61122	   	171.05	DCR|2VULN|2DMG|2CDMG|1ASPD|1DUR	14CDMG|2aDMG|38VULN|5LIT|6ASPD|7RCR|9DUR
135	41422 51113	   	171.02	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3RCR|4MGNLIT|5ZMB|69AART|7aVULN|8FEWX
136	31434 33223	   	171.01	DCR|3VULN|2DMG|1ZMB|1ASPD	1RMIN|28LWND|38DMG|4ASPD|5LHND|68aVULN|7RCR|8BPWR|9ZMB
137	41422 51212	   	170.92	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3RCR|4MGNLIT|5ZMB|69AART|7aVULN|8MBVNT
138	34152 23315	   	170.91	DCR|3DMG|1AART|1VULN|2DUR	1RMIN|268DMG|3VULN|48DUR|58CGEN|7RCR|8BPWR|9RPLT|aAART
139	43341 12232	   	170.74	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|5LHND|68AART|7CGEN|9aVULN
140	43343 12222	   	170.74	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|5aVULN|68AART|7CGEN|9LHND
141	43343 12252	   	170.74	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|5aVULN|68AART|7CGEN|9BEXP
142	43343 16222	   	170.74	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3FEWX|4RCR|5aVULN|68AART|7MLV|9LHND
143	34116 23315	   	170.71	DCR|3DMG|1AART|1VULN|2DUR	1RMIN|268DMG|3VULN|48ERES|58DUR|7RCR|8BPWR|9RPLT|aAART
144	34151 23315	   	170.71	DCR|3DMG|1AART|1VULN|2DUR	1RMIN|268DMG|3VULN|48DUR|58TLV|7RCR|8BPWR|9RPLT|aAART
145	43143 15222	   	170.64	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3aVULN|4RCR|5DUST|68AART|7CGEN|9LHND
146	43143 16222	   	170.64	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3aVULN|4RCR|5DUST|68AART|7MLV|9LHND
147	43143 11313	   	170.54	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3aVULN|4RCR|5DUST|69AART|7FEWX|8SNIHEL
148	43543 11313	   	170.54	ACR|2VULN|2AART|1DMG|1CDMG	1CDMG|2DMG|3DUST|4RCR|5aVULN|69AART|7FEWX|8SNIHEL
149	41422 35113	   	170.42	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3RCR|4MGNLIT|5ZMB|6aVULN|79AART|8FEWX
150	41422 35212	   	170.32	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3RCR|4MGNLIT|5ZMB|6aVULN|79AART|8MBVNT
151	43343 13631	   	170.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CDMG|2DMG|3FEWX|4RCR|57VULN|6AART|8BEXP|9LIT|aZMB
152	43141 35322	   	170.15	ACR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2DMG|37VULN|4RCR|5LHND|6RCVC|8DUR|aAART
153	31534 33115	 * 	170.14	ACR|2AART|2DMG|1VULN|1CDMG	1RMIN|2LWND|37AART|49DMG|5RCR|6CGEN|8VULN|aCDMG
154	32534 33115	   	170.14	ACR|2AART|2DMG|1VULN|1CDMG	1RMIN|2LHND|37AART|49DMG|5RCR|6CGEN|8VULN|aCDMG
155	41643 13333	 * 	170.06	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2DUR|3LWND|4DMG|57VULN|69AART|8BELT|aRCR
156	61243 13333	   	170.06	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1LWND|2CDMG|3DUR|4DMG|57VULN|69AART|8BELT|aRCR
157	23534 23115	   	170.04	ACR|2AART|2DMG|1VULN|1CDMG	1ERES|2BEXP|37AART|49DMG|5RCR|6CGEN|8VULN|aCDMG
158	34235 33325	   	170.03	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1RMIN|28DMG|34ERES|58DUR|68VULN|7RCR|8BPWR|9CDMG|aASPD
159	23523 22244	   	170.01	DCR|3VULN|1AART|1DMG|2DUR	1ERES|2BEXP|3AART|48aVULN|57DUR|6DMG|9RCR
160	42243 13333	   	169.96	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1CDMG|2LEGI|3DUR|4DMG|57VULN|69AART|8BELT|aRCR
161	41422 32513	   	169.72	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1CDMG|2DUR|3RCR|4MGNLIT|5ZMB|6aVULN|7DUST|89AART
162	43144 33133	 * 	169.66	ACR|4VULN|2CDMG|1DMG	17CDMG|2DMG|369aVULN|4RCR|5ERES|8RPLT
163	43123 65331	   	169.59	DCR|2DMG|1AART|1VULN|2CDMG|1ZMB	14CDMG|28DMG|3VULN|5AART|6LIT|7RPLT|9ZMB|aRCR
164	65242 11313	 * 	169.59	ACR|4VULN|1AART|1CDMG	1LWND|2CGEN|379aVULN|4RCR|5AART|6FEWX|8CDMG
165	23534 31131	   	169.47	ACR|2VULN|2DMG|1AART|1ASPD	1ERES|2BEXP|3AART|4aDMG|5RCR|68VULN|7ASPD|9LIT
