0	Index      	 *	Score 	Summary	Detail	
1	13523 22443	 * 	196.52	DCR|3VULN|2AART|1DMG|1CDMG|1DUR	1LIT|289VULN|3CDMG|47AART|5DMG|6RCR|aDUR
109	13523 21424	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9DUR|aAIRHEA
110	13523 21462	   	169.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1LIT|28VULN|3CDMG|4AART|5DMG|6RCR|7RCVC|9DUST|aDUR
111	13232 25344	   	169.23	DCR|3VULN|1AART|1DMG|1FLTHEA	13LIT|236VULN|3BPWR|45LHND|7AART|8DMG|9RCR|aFLTHEA
112	12423 21112	   	169.17	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1LIT|2SELL|3DUR|4AART|59DMG|6RCR|7RCVC|8CDMG|aVULN
113	12423 22112	   	169.17	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1LIT|2SELL|3DUR|4AART|59DMG|6RCR|7DMSP|8CDMG|aVULN
114	24224 32124	   	169.12	DCR|3VULN|1AART|1DMG|1DUR	18BEXP|25DUST|358VULN|4AART|58BPWR|68LWND|7RCR|9DUR|aDMG
115	41233 22116	   	169.06	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1LHND|2FEWX|34VULN|5AART|6DMG|7RCR|89DUR|aZMB
116	25323 21636	   	168.99	DCR|2DMG|1AART|1VULN|2CDMG	19BEXP|28LIT|39CDMG|4AART|59DMG|6RCR|7RCVC|9BPWR|aVULN
117	25323 22636	   	168.99	DCR|2DMG|1AART|1VULN|2CDMG	19BEXP|28LIT|39CDMG|4AART|59DMG|6RCR|7DMSP|9BPWR|aVULN
118	14323 21632	   	168.89	DCR|2DMG|1AART|1VULN|2CDMG	189LIT|2DUST|39CDMG|4AART|59DMG|6RCR|7RCVC|9BPWR|aVULN
119	14323 22632	   	168.89	DCR|2DMG|1AART|1VULN|2CDMG	189LIT|2DUST|39CDMG|4AART|59DMG|6RCR|7DMSP|9BPWR|aVULN
120	13523 21142	   	168.79	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aLWND
121	13523 21144	   	168.79	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aLHND
122	13233 32642	   	168.76	DCR|4VULN|1AART|1ZMB|1ASPD	13LIT|2367VULN|3BPWR|4LHND|5AART|8ZMB|9RCR|aASPD
123	13523 21141	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aLEGI
124	13523 21145	   	168.69	DCR|2VULN|1AART|1DMG|2CDMG	1LIT|29VULN|38CDMG|4AART|5DMG|6RCR|7RCVC|aERES
125	43233 32124	   	168.62	DCR|3VULN|1AART|1DMG|1DUR	18LHND|2BEXP|348VULN|5AART|68LWND|7RCR|8BPWR|9DUR|aDMG
126	44233 32124	   	168.52	DCR|3VULN|1AART|1DMG|1DUR	18LHND|2DUST|348VULN|5AART|68LWND|7RCR|8BPWR|9DUR|aDMG
127	41233 22162	   	168.48	DCR|3AART|2VULN|1DMG|1DUR	1LHND|2FEWX|34VULN|59aAART|6DMG|7RCR|8DUR
128	13233 13526	   	168.42	DCR|3VULN|1AART|1DMG|1ASPD	13LIT|238VULN|3BPWR|4LHND|5AART|6TLV|7RCR|9ASPD|aDMG
129	56431 31332	   	168.40	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LEGI|2DMG|3aVULN|4RCR|5ZMB|6RCVC|7CGEN|8CDMG|9AART
130	13433 53234	 * 	168.39	ACR|4VULN|1AART|1FLTHEA	1LIT|279aVULN|3AART|4RPLT|5RCR|6FLTHEA|8BEXP
131	41233 22252	   	168.28	DCR|2AART|2VULN|1DMG|1ZMB	1LHND|2FEWX|34VULN|5aAART|6DMG|7RCR|8RMIN|9ZMB
132	44233 21353	   	168.18	DCR|4VULN|1AART|1DMG	1LHND|2DUST|3468VULN|5AART|7ERES|9DMG|aRCR
133	41233 22452	   	168.18	DCR|2AART|2VULN|1DMG|1ZMB	1LHND|2FEWX|34VULN|5aAART|6DMG|7RCR|8ERES|9ZMB
134	12423 62151	   	167.64	DCR|2AART|1VULN|1DMG|2CDMG|2DUR|1SELL	1aLIT|2SELL|3aDUR|47AART|5DMG|6VULN|8aCDMG|9RCR|aBPWR
135	13523 22221	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8LWND|9ZMB|aMLV
136	13523 22222	   	167.34	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8LWND|9ZMB|aLHND
137	13523 22225	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8LWND|9ZMB|aBEXP
138	45323 22421	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LHND|2LIT|3CDMG|47AART|5DMG|6RCR|8VULN|9ZMB|aMLV
139	45323 22422	   	167.34	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1aLHND|2LIT|3CDMG|47AART|5DMG|6RCR|8VULN|9ZMB
140	13523 22224	   	167.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8LWND|9ZMB|aDUST
141	13523 22321	   	167.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8DUST|9ZMB|aMLV
142	13523 22322	   	167.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8DUST|9ZMB|aLHND
143	13523 22326	   	167.24	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8DUST|9ZMB|aCGEN
144	13523 22324	   	167.14	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LIT|2VULN|3CDMG|47AART|5DMG|6RCR|8aDUST|9ZMB
145	13524 22143	   	167.11	DCR|2AART|2VULN|2CDMG|1DUR	1LIT|29VULN|38CDMG|47AART|5RMIN|6RCR|aDUR
146	13523 22132	 * 	166.92	DCR|3AART|1VULN|1DMG|2CDMG	1LIT|2VULN|38CDMG|47aAART|5DMG|6RCR|9CGEN
147	12511 21235	 * 	166.87	DCR|2VULN|3ZMB|1AART|1DMG|1SELL	18LIT|2SELL|3BASICY|478ZMB|5AART|68VULN|8BPWR|9DMG|aRCR
148	13523 22152	   	166.82	DCR|3AART|1VULN|1DMG|2CDMG	1LIT|2VULN|38CDMG|47aAART|5DMG|6RCR|9ERES
