0	Index      	 *	Score 	Summary	Detail	
1	33324 63223	 * 	215.78	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|234VULN|5AART|6ASPD|7LIT|8CDMG|9RCR|aDMG
35	33324 32311	 * 	199.32	DCR|4VULN|1AART|1DMG	1LHND|234aVULN|5AART|6LWND|7RCR|8DMG|9LIT
36	33324 32343	   	199.32	DCR|4VULN|1AART|1DMG	1LHND|234aVULN|5AART|6LWND|7RCR|8DMG|9BEXP
37	53324 12211	   	199.32	DCR|4VULN|1AART|1ASPD	1LWND|234aVULN|5AART|6LHND|7RCR|8ASPD|9LIT
38	53324 12311	   	199.32	DCR|4VULN|1AART|1DMG	1LWND|234aVULN|5AART|6LHND|7RCR|8DMG|9LIT
39	53324 12343	   	199.32	DCR|4VULN|1AART|1DMG	1LWND|234aVULN|5AART|6LHND|7RCR|8DMG|9BEXP
40	33324 32235	   	199.22	DCR|4VULN|1AART|1ASPD	1LHND|234aVULN|5AART|6LWND|7RCR|8ASPD|9ERES
41	33324 32323	   	199.22	DCR|4VULN|1AART|1DMG	1LHND|234aVULN|5AART|6LWND|7RCR|8DMG|9DUST
42	33324 32335	   	199.22	DCR|4VULN|1AART|1DMG	1LHND|234aVULN|5AART|6LWND|7RCR|8DMG|9ERES
43	53324 12235	   	199.22	DCR|4VULN|1AART|1ASPD	1LWND|234aVULN|5AART|6LHND|7RCR|8ASPD|9ERES
44	53324 12323	   	199.22	DCR|4VULN|1AART|1DMG	1LWND|234aVULN|5AART|6LHND|7RCR|8DMG|9DUST
45	53324 12335	   	199.22	DCR|4VULN|1AART|1DMG	1LWND|234aVULN|5AART|6LHND|7RCR|8DMG|9ERES
46	13611 84713	   	198.88	DCR|2AART|2DMG|1VULN|1ASPD	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8aDMG|9LHND
47	46113 63211	 * 	198.70	DCR|3VULN|1AART|2CDMG|1DUR	19CDMG|29TSLFST|3RCVC|4LHND|5DUR|6AART|7RCR|89aVULN|9BPWR
48	13223 64433	 * 	198.20	DCR|3VULN|3ASPD|1MDPS	13FEWX|249VULN|578ASPD|6RCR|aMDPS
49	13224 62223	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	13FEWX|24VULN|5AART|6ASPD|7LIT|8CDMG|9RCR|aDMG
50	13424 62223	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|24VULN|3DMSP|5AART|6ASPD|7LIT|8CDMG|9RCR|aDMG
51	33364 63223	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|23VULN|4AELBLL|5AART|6ASPD|7LIT|8CDMG|9RCR|aDMG
52	15231 53123	 * 	197.82	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR|1SELL	1FEWX|27DMG|34VULN|5DUR|6ASPD|8SELL|9CDMG|aRCR
53	15246 13333	 * 	197.82	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR|1SELL	1FEWX|29DMG|35VULN|4CDMG|6ASPD|7DUR|8SELL|aRCR
54	13611 14727	   	197.72	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1FEWX|2VULN|3AART|4aASPD|5MBVNT|6RCVC|7RCR|8DMG|9CDMG
55	33324 32241	   	197.69	DCR|3VULN|2ASPD|1AART	1LHND|234VULN|5AART|6LWND|7RCR|8aASPD|9BEXP
56	53324 12241	   	197.69	DCR|3VULN|2ASPD|1AART	1LWND|234VULN|5AART|6LHND|7RCR|8aASPD|9BEXP
57	13223 65133	 * 	197.60	DCR|4VULN|1ASPD|1DMG	13FEWX|247aVULN|5ASPD|6RCR|8LWND|9DMG
58	13223 65533	   	197.60	DCR|4VULN|1ASPD|1DMG	13FEWX|247aVULN|5ASPD|6RCR|8LHND|9DMG
59	13423 65133	   	197.60	DCR|4VULN|1ASPD|1DMG	1FEWX|247aVULN|3DMSP|5ASPD|6RCR|8LWND|9DMG
60	33324 32221	   	197.59	DCR|3VULN|2ASPD|1AART	1LHND|234VULN|5AART|6LWND|7RCR|8aASPD|9DUST
61	53324 12221	   	197.59	DCR|3VULN|2ASPD|1AART	1LWND|234VULN|5AART|6LHND|7RCR|8aASPD|9DUST
62	13611 84722	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8DMG|9CDMG|aLIT
63	13611 84724	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8DMG|9CDMG|aLHND
64	13223 65333	   	197.50	DCR|4VULN|1ASPD|1DMG	13FEWX|247aVULN|5ASPD|6RCR|8MBVNT|9DMG
65	13423 65333	   	197.50	DCR|4VULN|1ASPD|1DMG	1FEWX|247aVULN|3DMSP|5ASPD|6RCR|8MBVNT|9DMG
66	33623 53611	 * 	197.49	DCR|2VULN|2DMG|1MDPS|1ASPD|2DUR|1ZMB	1LHND|29VULN|3ASPD|4MLV|59DUR|6ZMB|79DMG|8MDPS|9BPWR|aRCR
67	13611 84723	   	197.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8DMG|9CDMG|aDUST
68	43634 13322	   	197.39	DCR|2DMG|2ASPD|1AART|2CDMG	17CDMG|2LWND|37ASPD|4LIT|5AME|67DMG|7BPWR|8AART|9RCR|aRMIN
69	33323 15462	 * 	197.22	DCR|4VULN|1MDPS|1AART|1ASPD	1LHND|234aVULN|5ASPD|6LIT|7MDPS|8RCR|9AART
70	33323 31253	 * 	196.88	DCR|4VULN|3ASPD	19LHND|2347VULN|569ASPD|89LWND|9BPWR|aRCR
71	33323 24433	   	196.68	DCR|4VULN|3ASPD	1LHND|2349VULN|578ASPD|6BEXP|aRCR
72	33323 33433	   	196.68	DCR|4VULN|3ASPD	1LHND|2349VULN|568ASPD|7FEWX|aRCR
73	33323 54433	   	196.68	DCR|4VULN|3ASPD	1LHND|2349VULN|578ASPD|6FEWX|aRCR
74	53323 24433	   	196.68	DCR|4VULN|3ASPD	1LWND|2349VULN|578ASPD|6BEXP|aRCR
75	53323 31653	   	196.68	DCR|4VULN|3ASPD	19LWND|2347VULN|569ASPD|89DUST|9BPWR|aRCR
76	13611 84614	 * 	196.14	DCR|1SPLARM|2VULN|2AART|1ASPD	1FEWX|28VULN|36AART|4ASPD|5MBVNT|7RCR|9LIT|aSPLARM
77	13223 64133	   	195.97	DCR|3VULN|2ASPD|1DMG	13FEWX|24aVULN|57ASPD|6RCR|8LWND|9DMG
78	13223 64533	   	195.97	DCR|3VULN|2ASPD|1DMG	13FEWX|24aVULN|57ASPD|6RCR|8LHND|9DMG
79	13423 64133	   	195.97	DCR|3VULN|2ASPD|1DMG	1FEWX|24aVULN|3DMSP|57ASPD|6RCR|8LWND|9DMG
80	13223 64333	   	195.87	DCR|3VULN|2ASPD|1DMG	13FEWX|24aVULN|57ASPD|6RCR|8MBVNT|9DMG
81	13423 64333	   	195.87	DCR|3VULN|2ASPD|1DMG	1FEWX|24aVULN|3DMSP|57ASPD|6RCR|8MBVNT|9DMG
82	24326 36332	   	195.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2BELT|34VULN|5CDMG|6ASPD|7AART|8LEGI|9DMG|aRCR
83	13611 84621	 * 	195.73	DCR|2VULN|2AART|2ASPD	1FEWX|28VULN|36AART|4aASPD|5MBVNT|7RCR|9DUST
84	13226 43226	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	13FEWX|24aVULN|5LIT|6AART|7DMG|8CDMG|9RCR
85	33324 23223	   	195.72	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|234VULN|5AART|6MLV|7LIT|8CDMG|9RCR|aDMG
86	55134 13323	   	195.70	DCR|2ASPD|1AART|2CDMG|1DMG|1NUKE	17LWND|2DMG|37CDMG|4LIT|5AME|67ASPD|7BPWR|8AART|9RCR|aNUKE
87	33324 63221	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG|1MSE	1LHND|234VULN|5AART|6ASPD|7LIT|8CDMG|9RCR|aMSE
88	33324 63225	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|234VULN|5AART|6ASPD|7LIT|8CDMG|9RCR|aDLOT
89	33324 63226	   	195.62	DCR|3VULN|1AART|1ASPD|1CDMG	1LHND|234VULN|5AART|6ASPD|7LIT|8CDMG|9RCR|aDUST
90	13226 43223	 * 	195.48	DCR|2VULN|2DMG|1AART|1CDMG	13FEWX|24VULN|5LIT|6AART|7aDMG|8CDMG|9RCR
91	13426 43223	   	195.48	DCR|2VULN|2DMG|1AART|1CDMG	1FEWX|24VULN|3DMSP|5LIT|6AART|7aDMG|8CDMG|9RCR
92	33323 32465	 * 	195.36	DCR|3VULN|1SPLARM|3ASPD	1LHND|234VULN|568ASPD|7LWND|9SPLARM|aRCR
93	33324 32553	   	194.90	DCR|3VULN|1AART|1CDMG|1DUR	1LHND|234VULN|5AART|6LWND|7RCR|8SPLREG|9DUR|aCDMG
94	41334 52122	 * 	194.81	DCR|4VULN|2CDMG|2DUR	19CDMG|2ERES|389aVULN|4LIT|5MLV|6RCR|79DUR|9BPWR
95	13221 33565	   	194.59	DCR|3VULN|3ASPD|2DUR	137FEWX|249VULN|57ERES|679ASPD|79BPWR|89DUR|aRCR
96	33324 32262	   	194.56	DCR|3VULN|1AART|1ASPD|1ZMB	1LHND|234VULN|5AART|6LWND|7RCR|8ASPD|9RCVC|aZMB
97	33324 32362	   	194.56	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|234VULN|5AART|6LWND|7RCR|8DMG|9RCVC|aZMB
98	53324 12262	   	194.56	DCR|3VULN|1AART|1ASPD|1ZMB	1LWND|234VULN|5AART|6LHND|7RCR|8ASPD|9RCVC|aZMB
99	53324 12362	   	194.56	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|234VULN|5AART|6LHND|7RCR|8DMG|9RCVC|aZMB
100	33324 32552	   	194.50	DCR|4VULN|1AART|1DUR	1LHND|234aVULN|5AART|6LWND|7RCR|8SPLREG|9DUR
101	12362 16115	   	194.47	DCR|2VULN|2ASPD|1AART|1CDMG	19FEWX|2CDMG|39VULN|4AART|5SPLJET|6LWND|79ASPD|8RMIN|9BPWR|aRCR
102	53321 36351	 * 	194.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1LWND|234VULN|5ERES|6aASPD|7CDMG|8DUR|9RCR
103	53322 36351	   	194.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1LWND|234VULN|5TLV|6aASPD|7CDMG|8DUR|9RCR
104	13531 52533	   	194.24	DCR|3VULN|1ASPD|1DMG|2DUR	1FEWX|248VULN|3RMIN|57DUR|6ASPD|9DMG|aRCR
105	12363 26511	 * 	194.18	DCR|3ASPD|1AART|1VULN|2CDMG	17FEWX|27CDMG|3VULN|4AART|5LIT|67aASPD|7BPWR|8RCR|9LEGI
106	13224 12361	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	13FEWX|24VULN|5AART|6LHND|7RCR|8DMG|9DUR|aASPD
107	13224 42361	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	13FEWX|24VULN|5AART|6LWND|7RCR|8DMG|9DUR|aASPD
108	13424 12361	   	194.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1FEWX|24VULN|3DMSP|5AART|6LHND|7RCR|8DMG|9DUR|aASPD
109	13611 14721	   	193.84	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1FEWX|2VULN|3AART|4ASPD|5MBVNT|6RCVC|7RCR|8DMG|9CDMG|aZMB
110	33416 33223	   	193.82	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LHND|2VULN|3AART|45ASPD|6RCVC|7LIT|8CDMG|9RCR|aDMG
111	33324 32213	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	1LHND|234VULN|5AART|6LWND|7RCR|8ASPD|9LIT|aZMB
112	33324 32313	   	193.80	DCR|3VULN|1AART|1DMG|1ZMB	1LHND|234VULN|5AART|6LWND|7RCR|8DMG|9LIT|aZMB
113	53324 12213	   	193.80	DCR|3VULN|1AART|1ASPD|1ZMB	1LWND|234VULN|5AART|6LHND|7RCR|8ASPD|9LIT|aZMB
114	53324 12313	   	193.80	DCR|3VULN|1AART|1DMG|1ZMB	1LWND|234VULN|5AART|6LHND|7RCR|8DMG|9LIT|aZMB
115	13611 84313	   	193.77	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8DUR|9RMIN|aDMG
116	33416 43223	   	193.39	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LHND|2VULN|3AART|45ASPD|6LIT|7RCVC|8CDMG|9RCR|aDMG
117	53416 23223	   	193.39	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1LWND|2VULN|3AART|45ASPD|6LIT|7RCVC|8CDMG|9RCR|aDMG
118	13611 14743	   	193.15	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1FEWX|2VULN|3AART|4ASPD|5MBVNT|6RCVC|7RCR|8aDMG|9DUR
119	43634 13321	   	193.13	DCR|2DMG|2ASPD|1AART|2CDMG|1MSE	17CDMG|2LWND|37ASPD|4LIT|5AME|67DMG|7BPWR|8AART|9RCR|aMSE
120	21344 13326	 * 	193.08	DCR|2DMG|2ASPD|1AART|1VULN|1SELL	17LIT|2SELL|37DMG|4LWND|5AME|67ASPD|7BPWR|8AART|9RCR|aVULN
121	33324 32524	   	193.01	DCR|4VULN|1AART|2SPLREG	1aLHND|2349VULN|5AART|6aLWND|7RCR|8aSPLREG|aBPWR
122	26122 43226	   	192.81	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	12LIT|3RMIN|4ASPD|5DUR|6AART|7DMG|8CDMG|9RCR|aVULN
123	21323 63244	 * 	192.79	DCR|3DMG|1VULN|1ASPD|1CDMG|1SELL	1LIT|2SELL|37aDMG|4ASPD|5FEWX|6RCR|8VULN|9CDMG
124	13341 63212	   	192.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1FEWX|248VULN|3DUR|5LHND|6ZMB|7DMG|9ASPD|aRCR
125	33243 63212	   	192.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|248VULN|3FEWX|5DUR|6ZMB|7DMG|9ASPD|aRCR
126	13343 13112	   	192.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1FEWX|246VULN|3DUR|5DUST|7DMG|8ZMB|9ASPD|aRCR
127	13343 63212	   	192.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1FEWX|248VULN|3DUR|5DUST|6ZMB|7DMG|9ASPD|aRCR
128	33333 63212	   	192.30	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1LHND|238VULN|4DUST|5DUR|6ZMB|7DMG|9ASPD|aRCR
129	13223 65431	   	192.16	DCR|3VULN|2ASPD|1CDMG	13FEWX|247VULN|58ASPD|6RCR|9CDMG|aCGEN
130	13223 65432	   	192.16	DCR|3VULN|2ASPD|1CDMG	13FEWX|247VULN|58ASPD|6RCR|9CDMG|aMLV
131	13223 65433	   	192.16	DCR|3VULN|2ASPD|1CDMG	13FEWX|247VULN|58ASPD|6RCR|9CDMG|aLWND
132	15231 23112	   	192.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1FEWX|27DMG|34VULN|5DUR|6BEXP|8ZMB|9ASPD|aRCR
133	55231 23112	   	192.15	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1LWND|27DMG|34VULN|5DUR|6BEXP|8ZMB|9ASPD|aRCR
134	13223 63111	   	192.09	DCR|2VULN|2ASPD|1AART|1ZMB	13FEWX|24VULN|59ASPD|6RCR|7DUST|8ZMB|aAART
135	13423 63111	   	192.09	DCR|2VULN|2ASPD|1AART|1ZMB	1FEWX|24VULN|3DMSP|59ASPD|6RCR|7DUST|8ZMB|aAART
136	33323 15413	 * 	192.07	DCR|3VULN|1MDPS|2ASPD|1DMG	19LHND|234VULN|59ASPD|69LIT|7MDPS|8RCR|9BPWR|aDMG
137	53353 33413	   	192.07	DCR|3VULN|2ASPD|1DMG	19LWND|239VULN|4LIT|5BEXP|69ASPD|7LEGI|8RCR|9BPWR|aDMG
138	13611 22817	   	192.01	DCR|2VULN|2ASPD|1AART|1CDMG	1FEWX|27VULN|3AART|4aASPD|5MBVNT|6MLV|8CDMG|9RCR
139	53416 32221	   	192.01	DCR|2VULN|2ASPD|1AART|1CDMG|1MSE	1LWND|26VULN|3AART|45ASPD|7LIT|8CDMG|9RCR|aMSE
140	13223 65224	   	191.96	DCR|4VULN|2ASPD	13aFEWX|2479VULN|5aASPD|6RCR|8aLIT|aBPWR
141	13611 84613	   	191.95	DCR|2VULN|2AART|1ASPD|1ZMB	1FEWX|28VULN|36AART|4ASPD|5MBVNT|7RCR|9LIT|aZMB
142	13611 84644	   	191.95	DCR|2VULN|2AART|1ASPD|1ZMB	1FEWX|28VULN|36AART|4ASPD|5MBVNT|7RCR|9MLV|aZMB
143	33321 36254	   	191.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1LHND|234VULN|5ERES|6ASPD|7CDMG|8MLV|9RCR|aDMG
144	13611 84624	   	191.85	DCR|2VULN|2AART|1ASPD|1ZMB	1FEWX|28VULN|36AART|4ASPD|5MBVNT|7RCR|9DUST|aZMB
145	13611 84634	   	191.85	DCR|2VULN|2AART|1ASPD|1ZMB	1FEWX|28VULN|36AART|4ASPD|5MBVNT|7RCR|9ERES|aZMB
146	13632 84621	   	191.85	DCR|2VULN|2AART|1ASPD|1ZMB	1FEWX|28VULN|36AART|4ZMB|5MBVNT|7RCR|9DUST|aASPD
147	13223 64421	   	191.82	DCR|3ASPD|2VULN|1DMG	13FEWX|24VULN|578ASPD|6RCR|9RCVC|aDMG
148	13611 54721	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	16FEWX|2VULN|3AART|4ASPD|5MBVNT|7RCR|8DMG|9CDMG|aZMB
149	33411 12541	   	191.80	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1LHND|2VULN|3AART|4ASPD|5MBVNT|6BELT|7RCR|8DMG|9CDMG|aZMB
150	53411 12541	   	191.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1LWND|2VULN|3AART|4ASPD|5MBVNT|6BELT|7RCR|8DMG|9CDMG|aZMB
151	53416 12223	   	191.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	16LWND|2VULN|3AART|45ASPD|7LIT|8CDMG|9RCR|aDMG
152	13224 12363	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	13FEWX|24aVULN|5AART|6LHND|7RCR|8DMG|9DUR
153	13224 42363	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	13FEWX|24aVULN|5AART|6LWND|7RCR|8DMG|9DUR
154	13424 12363	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	1FEWX|24aVULN|3DMSP|5AART|6LHND|7RCR|8DMG|9DUR
155	33324 32245	   	191.78	DCR|3VULN|1AART|1ASPD|1DUR	1LHND|234VULN|5AART|6LWND|7RCR|8ASPD|9BEXP|aDUR
156	33324 32345	   	191.78	DCR|3VULN|1AART|1DMG|1DUR	1LHND|234VULN|5AART|6LWND|7RCR|8DMG|9BEXP|aDUR
157	41334 16323	   	191.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1CDMG|2ERES|3VULN|4LIT|5MLV|67ASPD|8AART|9RCR|aDMG
158	33324 32225	   	191.68	DCR|3VULN|1AART|1ASPD|1DUR	1LHND|234VULN|5AART|6LWND|7RCR|8ASPD|9DUST|aDUR
159	33324 32325	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	1LHND|234VULN|5AART|6LWND|7RCR|8DMG|9DUST|aDUR
160	53324 12225	   	191.68	DCR|3VULN|1AART|1ASPD|1DUR	1LWND|234VULN|5AART|6LHND|7RCR|8ASPD|9DUST|aDUR
161	53324 12325	   	191.68	DCR|3VULN|1AART|1DMG|1DUR	1LWND|234VULN|5AART|6LHND|7RCR|8DMG|9DUST|aDUR
162	13611 84734	   	191.63	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2VULN|36AART|4ASPD|5MBVNT|7RCR|8DMG|9AELBLL|aZMB
163	13632 84713	   	191.63	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2VULN|36AART|4ZMB|5MBVNT|7RCR|8ASPD|9LHND|aDMG
164	13611 84227	 * 	191.60	DCR|2AART|2ASPD|1VULN|1CDMG|1AAC	1FEWX|2VULN|36AART|4aASPD|5MBVNT|7RCR|8AAC|9CDMG
165	33411 62811	   	191.34	DCR|2VULN|1AART|1ASPD|1CDMG|2ZMB	1LHND|27VULN|3AART|4ASPD|5MBVNT|6aZMB|8CDMG|9RCR
166	13546 11231	   	191.11	DCR|3VULN|1ASPD|1CDMG|1ZMB	1FEWX|25aVULN|3RMIN|4CDMG|6ASPD|7DUST|8RCR|9ZMB
167	13611 54743	   	191.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	16FEWX|2VULN|3AART|4ASPD|5MBVNT|7RCR|8aDMG|9DUR
168	13632 84721	   	191.03	DCR|2AART|1VULN|1ASPD|1CDMG|2ZMB	1FEWX|2VULN|36AART|4aZMB|5MBVNT|7RCR|8ASPD|9CDMG
169	33324 32443	   	190.77	DCR|4VULN|1AART|1ZMB	1LHND|234aVULN|5AART|6LWND|7RCR|8RCVC|9ZMB
170	13224 42522	   	190.41	DCR|3VULN|1AART|1ASPD	13FEWX|249VULN|5AART|6LWND|7RCR|8SPLREG|aASPD
171	33324 32246	   	190.41	DCR|3VULN|1AART|1ASPD	1LHND|234VULN|5AART|6LWND|7RCR|8ASPD|9BEXP|aSPLREG
172	33324 32346	   	190.41	DCR|3VULN|1AART|1DMG	1LHND|234VULN|5AART|6LWND|7RCR|8DMG|9BEXP|aSPLREG
