0	Index      	 *	Score 	Summary	Detail	
1	32413 32516	 * 	209.34	DCR|4VULN|1MDPS|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8DUR|9RCR|aMDPS
20	11632 63361	 * 	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1LIT|2ZMB|3AME|47VULN|58ASPD|6RCR|9DUR|aDMG
21	22632 63361	   	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1ZMB|2LIT|3AME|47VULN|58ASPD|6RCR|9DUR|aDMG
22	25214 62133	 * 	196.22	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2DMSP|3VULN|4CDMG|5CGEN|6DUR|7RCR|8aAART|9ASPD
23	55221 12613	   	195.96	DCR|2VULN|2AART|1DMG|1CDMG	1BELT|2DMSP|35AART|4MLV|6aVULN|7DMG|8RCR|9CDMG
24	32413 32511	   	195.76	DCR|4VULN|3CDMG|2DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8aDUR|9RCR
25	32426 32362	   	195.62	DCR|3VULN|1AART|1NUKE|1CDMG	1MSLFST|234VULN|57FEWX|6CDMG|8AART|9RCR|aNUKE
26	32436 32362	   	195.62	DCR|3VULN|1AART|1NUKE|1CDMG	1MSLFST|235VULN|47FEWX|6CDMG|8AART|9RCR|aNUKE
27	32212 51663	 * 	195.62	DCR|3VULN|1ASPD|1DMG|1NUKE	1MSLFST|267VULN|3ASPD|4ERES|5LIT|8DMG|9RCR|aNUKE
28	22632 63114	 * 	195.51	DCR|2VULN|2ASPD|2CDMG|2ZMB	19ZMB|2LIT|39AME|47VULN|5aASPD|6RCR|89CDMG|9BPWR
29	16121 62236	 * 	195.16	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG	1LIT|2BEXP|3CDMG|4VULN|58DMG|6CGEN|7ASPD|9RCR|aAART
30	16113 32613	   	194.81	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LIT|2BEXP|3CDMG|4ZMB|5aVULN|6DMG|7ASPD|8RCR|9DUR
31	11632 63313	   	194.55	DCR|3VULN|2ASPD|1ZMB|1DUR	1LIT|2ZMB|3AME|479VULN|58ASPD|6RCR|aDUR
32	22632 63313	   	194.55	DCR|3VULN|2ASPD|1ZMB|1DUR	1ZMB|2LIT|3AME|479VULN|58ASPD|6RCR|aDUR
33	32262 16622	   	194.30	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1MSLFST|26VULN|34ASPD|5AIRARM|7ZMB|8DUR|9RCR|aAART
34	36623 13125	   	194.25	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1MSLFST|2ZMB|3CGEN|47VULN|56AART|8ASPD|9DUR|aRCR
35	16161 31113	 * 	193.96	DCR|2VULN|2AART|1ASPD|1CDMG	1LIT|2BEXP|3CDMG|46AART|5aVULN|7MLV|8ASPD|9RCR
36	16166 31113	   	193.96	DCR|2VULN|2AART|1ASPD|1CDMG	1LIT|2BEXP|3CDMG|45AART|6aVULN|7MLV|8ASPD|9RCR
37	16161 35113	   	193.86	DCR|2VULN|2AART|1ASPD|1CDMG	1LIT|2BEXP|3CDMG|46AART|5aVULN|7TLV|8ASPD|9RCR
38	22632 61111	 * 	193.42	DCR|3ZMB|1VULN|2CDMG|1ASPD|1DMG	179ZMB|2LIT|39AME|4VULN|5ASPD|6RCR|89CDMG|9BPWR|aDMG
39	26251 23123	   	193.32	DCR|3VULN|1AART|2CDMG|1AAC|1ZMB	1ZMB|2BELT|3AAC|48CDMG|5AART|67aVULN|9RCR
40	16533 52112	   	193.32	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1LIT|2BEXP|3RCVC|4VULN|5ZMB|6RCR|7aAART|8ASPD|9CDMG
41	16113 32631	   	193.28	DCR|2VULN|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|59VULN|6DMG|7ASPD|8RCR|aAAC
42	11632 63114	   	192.29	DCR|2VULN|2ASPD|2CDMG|1ZMB	19LIT|2ZMB|39AME|47VULN|5aASPD|6RCR|89CDMG|9BPWR
43	11632 63631	   	192.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1LIT|2ZMB|3AME|479VULN|5ASPD|6RCR|8FEWX|aDMG
44	22632 63631	   	192.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1ZMB|2LIT|3AME|479VULN|5ASPD|6RCR|8FEWX|aDMG
45	16113 32611	   	192.02	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1LIT|2BEXP|3CDMG|4ZMB|5VULN|6aDMG|7ASPD|8RCR|9DUR
46	11632 63531	   	191.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1LIT|2ZMB|3AME|479VULN|5ASPD|6RCR|8DUST|aDMG
47	22632 63531	   	191.99	DCR|3VULN|1ASPD|1DMG|1ZMB	1ZMB|2LIT|3AME|479VULN|5ASPD|6RCR|8DUST|aDMG
48	23341 33551	 * 	191.92	DCR|1MDPS|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2MDPS|3VULN|4ASPD|5DUR|6aDMG|7CDMG|8RCR|9CGEN
49	23263 31663	 * 	191.84	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1ZMB	1ZMB|2MDPS|3DUST|4RPLT|5AART|6aVULN|7ASPD|8DMG|9RCR
50	23341 33521	   	191.82	DCR|1MDPS|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2MDPS|3VULN|4ASPD|5DUR|6aDMG|7CDMG|8RCR|9ERES
51	15152 52311	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2TLV|3DUR|4MLV|5ASPD|6RCR|7AART|8VULN|9CDMG|aDMG
52	25136 21214	 * 	191.49	ACR|2VULN|2DMG|2ASPD|2ZMB|1DUR	1aZMB|2DMSP|3RCR|4aDMG|57ASPD|6DUR|8RMIN|9aVULN|aBPWR
53	32426 32361	   	191.40	DCR|4VULN|1AART|1CDMG	1MSLFST|234aVULN|57FEWX|6CDMG|8AART|9RCR
54	32436 32361	   	191.40	DCR|4VULN|1AART|1CDMG	1MSLFST|235aVULN|47FEWX|6CDMG|8AART|9RCR
55	16161 43233	 * 	191.32	DCR|2VULN|1AART|2CDMG|1DMG	1LIT|2BEXP|39CDMG|4AART|5aVULN|6RCR|7CGEN|8DMG
56	23343 56212	 * 	190.92	DCR|3VULN|1MDPS|1AART|1ASPD|2ZMB	17ZMB|2MDPS|369VULN|4ASPD|5BELT|8AART|aRCR
57	25613 22343	 * 	190.78	DCR|2VULN|2DMG|1AART|1AAC|2ZMB	15ZMB|2DMSP|3AAC|45DMG|5BPWR|68VULN|7AME|9AART|aRCR
58	25613 21343	   	190.68	DCR|2VULN|2DMG|1AART|1AAC|2ZMB	15ZMB|2DMSP|3AAC|45DMG|5BPWR|68VULN|7ERES|9AART|aRCR
59	32413 32111	   	190.52	DCR|4VULN|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8BEXP|9RCR|aDUR
60	32413 32311	   	190.52	DCR|4VULN|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8LHND|9RCR|aDUR
61	32413 32512	   	190.52	DCR|4VULN|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8DUR|9RCR|aRPLT
62	32413 32513	   	190.52	DCR|4VULN|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8DUR|9RCR|aLIT
63	32413 32514	   	190.52	DCR|4VULN|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8DUR|9RCR|aBEXP
64	32413 32515	   	190.52	DCR|4VULN|3CDMG|1DUR	17MSLFST|2357VULN|467CDMG|7BPWR|8DUR|9RCR|aMLV
65	16113 32641	   	190.49	DCR|2DMG|1VULN|1ASPD|1CDMG|1AAC|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|5VULN|69DMG|7ASPD|8RCR|aAAC
66	32421 34261	 * 	190.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1MSLFST|234VULN|5DUR|6CDMG|7DMG|8RPLT|9RCR|aZMB
67	13632 62134	   	190.06	DCR|2VULN|2ASPD|1AART|1AAC|1DUR	1LIT|2AAC|3AME|49VULN|58ASPD|6RCR|7AART|aDUR
68	32232 16621	 * 	189.98	DCR|4VULN|1ASPD|1ZMB|1DUR	1MSLFST|246aVULN|3ASPD|5AIRARM|7ZMB|8DUR|9RCR
69	54221 12623	 * 	189.87	DCR|2AART|1VULN|1DMG|1NUKE|1AAC	1BELT|2RCVC|35AART|4MLV|6VULN|7DMG|8RCR|9NUKE|aAAC
70	25235 21214	 * 	189.82	DCR|3VULN|2DMG|1ZMB|1DUR	1ZMB|2DMSP|359VULN|47DMG|6DUR|8TLV|aRCR
71	25235 21324	   	189.82	DCR|3VULN|2DMG|1ZMB|1DUR	1ZMB|2DMSP|358VULN|47DMG|6DUR|9ERES|aRCR
72	11436 52112	   	189.81	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	13LIT|2ZMB|4VULN|5DUST|6RCR|7aAART|8ASPD|9CDMG
73	22436 52112	   	189.81	DCR|2AART|1VULN|1ASPD|1CDMG|1ZMB	1ZMB|23LIT|4VULN|5DUST|6RCR|7aAART|8ASPD|9CDMG
74	33425 41322	   	189.69	DCR|2VULN|2ASPD|1DMG|2DUR	1MSLFST|2BEXP|3aVULN|4aDUR|5DUST|6aASPD|7RCR|8DMG|9LIT|aBPWR
75	31426 41322	   	189.69	DCR|2VULN|2ASPD|1DMG|2DUR	1MSLFST|2DUST|3aVULN|4aDUR|5FEWX|6aASPD|7RCR|8DMG|9LIT|aBPWR
76	31462 31322	   	189.69	DCR|2VULN|2ASPD|1DMG|2DUR	1MSLFST|2DUST|3aVULN|4aASPD|5FEWX|6aDUR|7RCR|8DMG|9LIT|aBPWR
77	26351 33421	 * 	189.59	DCR|2ASPD|1VULN|1AART|2CDMG|1ZMB	1ZMB|2BELT|36ASPD|46CDMG|5AART|6BPWR|7AME|8VULN|9RCR|aRMIN
78	26351 33422	   	189.59	DCR|2ASPD|1VULN|1AART|2CDMG|1ZMB	1ZMB|2BELT|36ASPD|46CDMG|5AART|6BPWR|7AME|8VULN|9RCR|aDMSP
79	26351 33423	   	189.59	DCR|2ASPD|1VULN|1AART|2CDMG|1ZMB	1ZMB|2BELT|36ASPD|46CDMG|5AART|6BPWR|7aAME|8VULN|9RCR
80	32232 16322	   	189.50	DCR|3VULN|1AART|1ASPD|1ZMB	1MSLFST|246VULN|3ASPD|5AIRARM|7ZMB|8DUST|9RCR|aAART
81	23341 33512	 * 	188.55	DCR|1MDPS|2ASPD|1VULN|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2MDPS|3VULN|4aASPD|5DUR|6DMG|7CDMG|8RCR|9LIT
82	11632 63321	   	188.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1LIT|2ZMB|3AME|47VULN|58ASPD|6RCR|9LHND|aDMG
83	11632 63622	   	188.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1LIT|2ZMB|3AME|47VULN|5aASPD|6RCR|8FEWX|9DMG
84	22632 63321	   	188.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1ZMB|2LIT|3AME|47VULN|58ASPD|6RCR|9LHND|aDMG
85	22632 63622	   	188.48	DCR|2VULN|2ASPD|1DMG|1ZMB	1ZMB|2LIT|3AME|47VULN|5aASPD|6RCR|8FEWX|9DMG
86	11632 63522	   	188.38	DCR|2VULN|2ASPD|1DMG|1ZMB	1LIT|2ZMB|3AME|47VULN|5aASPD|6RCR|8DUST|9DMG
87	22632 63522	   	188.38	DCR|2VULN|2ASPD|1DMG|1ZMB	1ZMB|2LIT|3AME|47VULN|5aASPD|6RCR|8DUST|9DMG
88	32262 16621	   	188.35	DCR|3VULN|2ASPD|1ZMB|1DUR	1MSLFST|26aVULN|34ASPD|5AIRARM|7ZMB|8DUR|9RCR
89	32421 13653	 * 	188.28	DCR|5VULN|1ZMB|1DUR	1MSLFST|2348aVULN|5DUR|6MLV|7RCR|9ZMB
90	16413 23136	   	188.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LIT|2BEXP|3DMG|4CGEN|5ZMB|67VULN|8CDMG|9RCR|aAART
91	25133 21165	 * 	188.18	ACR|3ASPD|2DMG|1MDPS|3ZMB|2CDMG	18aZMB|2DMSP|3RCR|48DMG|5MDPS|6RPLT|78aASPD|8aBPWR|9aCDMG
92	23342 12152	 * 	188.12	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2MDPS|38VULN|4ASPD|5RMIN|6AART|7FEWX|9RCR|aCDMG
93	23342 13152	   	188.12	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2MDPS|38VULN|4ASPD|5RMIN|6AART|7LWND|9RCR|aCDMG
94	32524 62132	 * 	188.08	DCR|3VULN|1MDPS|1ASPD|1CDMG|1ZMB	1MSLFST|245VULN|3MDPS|6RCR|7ASPD|8FEWX|9ZMB|aCDMG
95	32524 62332	   	188.08	DCR|3VULN|1MDPS|1ASPD|1CDMG|1ZMB	1MSLFST|245VULN|3MDPS|6RCR|7ASPD|8LHND|9ZMB|aCDMG
96	22632 63116	   	188.06	DCR|2VULN|2CDMG|1ASPD|1AAC|2ZMB	19ZMB|2LIT|39AME|47VULN|5ASPD|6RCR|89CDMG|9BPWR|aAAC
97	23342 16152	   	188.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2MDPS|38VULN|4ASPD|5RMIN|6AART|7DUST|9RCR|aCDMG
98	23344 13152	   	188.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC|1ZMB	1ZMB|2MDPS|38VULN|4ASPD|5AART|6FEWX|7AAC|9RCR|aCDMG
99	23344 32152	   	188.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC|1ZMB	1ZMB|2MDPS|38VULN|4ASPD|5AART|6AAC|7FEWX|9RCR|aCDMG
100	23344 33152	   	188.02	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC|1ZMB	1ZMB|2MDPS|38VULN|4ASPD|5AART|6AAC|7LWND|9RCR|aCDMG
101	32524 62232	   	187.98	DCR|3VULN|1MDPS|1ASPD|1CDMG|1ZMB	1MSLFST|245VULN|3MDPS|6RCR|7ASPD|8DUST|9ZMB|aCDMG
102	24251 33152	   	187.92	DCR|2VULN|1MDPS|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2ERES|3DUST|4ASPD|58VULN|6AART|7MDPS|9RCR|aCDMG
103	11632 61312	   	187.88	DCR|2VULN|2ASPD|1CDMG|2ZMB	1LIT|27ZMB|3AME|49VULN|58ASPD|6RCR|aCDMG
104	22632 61312	   	187.88	DCR|2VULN|2ASPD|1CDMG|2ZMB	17ZMB|2LIT|3AME|49VULN|58ASPD|6RCR|aCDMG
105	14112 35311	   	187.88	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2MLV|3DUR|4CGEN|5ASPD|6AART|7VULN|8RCR|9CDMG|aDMG
106	25514 23311	   	187.85	DCR|2VULN|2DMG|1CDMG|2ZMB	17ZMB|2DMSP|3AME|47DMG|57VULN|6RCVC|7BPWR|8CDMG|9RCR|aDUST
107	25514 23312	   	187.85	DCR|2VULN|2DMG|1CDMG|2ZMB	17ZMB|2DMSP|3AME|47DMG|57VULN|6RCVC|7BPWR|8CDMG|9RCR|aTLV
108	25514 23313	   	187.85	DCR|2VULN|2DMG|1CDMG|2ZMB	17ZMB|2DMSP|3AME|47DMG|57VULN|6RCVC|7BPWR|8CDMG|9RCR|aBASFIG
109	26251 23423	   	187.80	DCR|3VULN|1AART|1CDMG|1AAC|1ZMB	1ZMB|2BELT|3AAC|4CDMG|5AART|67aVULN|8RCVC|9RCR
110	14352 35311	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2MLV|3ERES|4DUR|5ASPD|6AART|7VULN|8RCR|9CDMG|aDMG
111	15112 35311	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2TLV|3DUR|4CGEN|5ASPD|6AART|7VULN|8RCR|9CDMG|aDMG
112	15152 35311	   	187.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2TLV|3DUR|4MLV|5ASPD|6AART|7VULN|8RCR|9CDMG|aDMG
113	15352 35311	   	187.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1LIT|2TLV|3ERES|4DUR|5ASPD|6AART|7VULN|8RCR|9CDMG|aDMG
114	22632 61113	 * 	187.58	DCR|2ASPD|3ZMB|1VULN|2CDMG	179ZMB|2LIT|39AME|4VULN|5aASPD|6RCR|89CDMG|9BPWR
115	32421 13621	   	187.36	DCR|4VULN|1AART|1DUR	1MSLFST|2348VULN|5DUR|6MLV|7RCR|9DLOT|aAART
116	32421 63621	   	187.26	DCR|4VULN|1AART|1DUR	1MSLFST|2348VULN|5DUR|6TLV|7RCR|9DLOT|aAART
117	25233 16313	 * 	187.14	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB	1ZMB|2DMSP|3VULN|47DMG|5MDPS|6ASPD|8AART|9LWND|aRCR
118	25233 16343	   	187.14	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB	1ZMB|2DMSP|3VULN|47DMG|5MDPS|6ASPD|8AART|9BEXP|aRCR
119	25233 16353	   	187.14	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1ZMB	1ZMB|2DMSP|3VULN|47DMG|5MDPS|6ASPD|8AART|9FEWX|aRCR
120	25136 21335	 * 	186.83	ACR|3ASPD|2VULN|1DMG|2ZMB|1DUR	1aZMB|2DMSP|3RCR|4DMG|57aASPD|6DUR|8BEXP|9aVULN|aBPWR
121	26464 41132	 * 	186.55	DCR|2ASPD|1AART|1DMG|1CDMG|1ZMB|1DUR	1ZMB|2BELT|3DUR|4MBVNT|5AART|67ASPD|8DMG|9RCR|aCDMG
122	16113 32633	   	186.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|59VULN|6DMG|7ASPD|8RCR|aFEWX
123	16113 32634	   	186.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|59VULN|6DMG|7ASPD|8RCR|aAELBLL
124	16113 32651	   	186.51	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|5aVULN|6DMG|7ASPD|8RCR|9BELT
125	16113 32623	   	186.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|5aVULN|6DMG|7ASPD|8RCR|9DUST
126	16113 32632	   	186.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|59VULN|6DMG|7ASPD|8RCR|aLEGI
127	16113 32636	   	186.41	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB	1LIT|2BEXP|3CDMG|4ZMB|59VULN|6DMG|7ASPD|8RCR|aDUST
128	54223 12613	   	186.27	DCR|2VULN|1AART|1DMG|1CDMG	1BELT|25RCVC|3AART|4MLV|6aVULN|7DMG|8RCR|9CDMG
129	11632 63311	   	186.25	DCR|3VULN|2ASPD|1ZMB	1LIT|2ZMB|3AME|479VULN|58ASPD|6RCR|aBEXP
130	11632 63314	   	186.25	DCR|3VULN|2ASPD|1ZMB	1LIT|2ZMB|3AME|479VULN|58ASPD|6RCR|aLWND
131	11632 63315	   	186.25	DCR|3VULN|2ASPD|1ZMB	1LIT|2ZMB|3AME|479VULN|58ASPD|6RCR|aMLV
132	11632 63316	   	186.25	DCR|3VULN|2ASPD|1ZMB	1LIT|2ZMB|3AME|479VULN|58ASPD|6RCR|aRPLT
133	22632 63311	   	186.25	DCR|3VULN|2ASPD|1ZMB	1ZMB|2LIT|3AME|479VULN|58ASPD|6RCR|aBEXP
134	22632 63314	   	186.25	DCR|3VULN|2ASPD|1ZMB	1ZMB|2LIT|3AME|479VULN|58ASPD|6RCR|aLWND
135	22632 63315	   	186.25	DCR|3VULN|2ASPD|1ZMB	1ZMB|2LIT|3AME|479VULN|58ASPD|6RCR|aMLV
136	22632 63316	   	186.25	DCR|3VULN|2ASPD|1ZMB	1ZMB|2LIT|3AME|479VULN|58ASPD|6RCR|aRPLT
137	11632 63215	   	186.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1LIT|2ZMB|3AME|47VULN|5ASPD|6RCR|8ERES|9DUR|aAART
138	22632 63215	   	186.18	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|2LIT|3AME|47VULN|5ASPD|6RCR|8ERES|9DUR|aAART
139	11632 63342	   	186.15	DCR|3VULN|2ASPD|1ZMB	1LIT|2ZMB|3AME|47aVULN|58ASPD|6RCR|9ERES
140	22632 63342	   	186.15	DCR|3VULN|2ASPD|1ZMB	1ZMB|2LIT|3AME|47aVULN|58ASPD|6RCR|9ERES
141	42632 23136	   	186.09	DCR|2VULN|1AART|1ASPD|1CDMG|1AAC|1DUR	1AAC|2CGEN|3LIT|46VULN|5ASPD|7DUR|8CDMG|9RCR|aAART
142	26341 31142	   	186.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1ZMB|2BELT|3ASPD|4DMG|5LIT|67aVULN|8BEXP|9RCR
143	26341 31242	   	186.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1ZMB|2BELT|3ASPD|4DMG|5LIT|67aVULN|8LHND|9RCR
144	26325 53212	   	185.95	DCR|2VULN|2AART|1ASPD|1ZMB	1ZMB|2BELT|3ASPD|48AART|5FEWX|6DUST|79VULN|aRCR
145	36623 13335	   	185.95	DCR|2VULN|2AART|1ASPD|1ZMB	1MSLFST|2ZMB|3CGEN|47VULN|56AART|8LWND|9ASPD|aRCR
146	32262 16322	   	185.89	DCR|2VULN|2ASPD|1AART|1ZMB	1MSLFST|26VULN|34ASPD|5AIRARM|7ZMB|8DUST|9RCR|aAART
147	23243 33533	 * 	185.89	DCR|1MDPS|1VULN|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1ZMB|2MDPS|39DUST|4ASPD|5VULN|6DMG|7CDMG|8RCR|aNUKE
148	26222 31522	   	185.81	DCR|2AART|1VULN|1ASPD|1CDMG|1AAC|1ZMB	1ZMB|2BELT|3AAC|4aAART|5LIT|6VULN|7CDMG|8RCR|9ASPD
149	23344 23135	 * 	185.80	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2MDPS|3VULN|4ASPD|5AART|6CDMG|7MLV|8AELBLL|9DMG|aRCR
150	23263 34261	 * 	185.79	DCR|3VULN|1MDPS|1AART|1CDMG|1ZMB	1ZMB|2MDPS|3DUST|4RPLT|5AART|68aVULN|7CDMG|9RCR
151	23141 43243	   	185.70	DCR|1MDPS|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1ZMB|2MDPS|3ERES|4CDMG|5LHND|6DMG|7AART|8VULN|9ASPD|aRCR
152	25236 34133	 * 	185.70	DCR|3VULN|3ZMB|1DMG	18aZMB|2DMSP|39aVULN|4DMG|5LWND|6aTLV|7RCR|aBPWR
153	32216 13652	   	185.67	DCR|4VULN|1ASPD|1ZMB	1MSLFST|258aVULN|3ASPD|4ERES|6MLV|7RCR|9ZMB
154	32226 13653	   	185.67	DCR|4VULN|1ASPD|1ZMB	1MSLFST|258aVULN|3ASPD|4TLV|6MLV|7RCR|9ZMB
155	24324 23122	 * 	185.65	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1ZMB|2ERES|3SELL|4RCR|5DMG|6ASPD|7aVULN|8AART|9CDMG
156	24324 23135	 * 	185.65	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1SELL	1ZMB|2ERES|3SELL|4RCR|5DMG|6ASPD|79VULN|8AART|aCDMG
157	35323 12231	   	185.61	DCR|2DMG|1AART|1VULN|1ASPD|1AAC	18MSLFST|28AME|3AART|4AAC|5RCVC|68DMG|7RCR|8BPWR|9ASPD|aVULN
158	13632 62233	   	185.52	DCR|2VULN|2AART|1ASPD|1AAC	1LIT|2AAC|3AME|49VULN|5ASPD|6RCR|7aAART|8RCVC
