0	Index      	 *	Score 	Summary	Detail	
1	34126 13521	 * 	221.37	ACR|4VULN|2DMG|2ASPD|1CDMG	1ERES|2RCR|35ASPD|45DMG|5BPWR|689aVULN|7CDMG
21	52623 53231	   	211.41	DCR|2VULN|2DMG|1ASPD|1CDMG|2ZMB	13DMG|23ZMB|3BPWR|4aVULN|5CDMG|6RCR|7LIT|8AELBLL|9ASPD
22	52623 51113	 * 	210.91	DCR|2DMG|3ZMB|1VULN|2CDMG|1ASPD	13DMG|23aZMB|3BPWR|4VULN|58CDMG|6RCR|7MULFIG|9ASPD
23	11253 61111	 * 	210.25	DCR|3ASPD|2DMG|1VULN|1AART	1aBEXP|2VULN|346ASPD|5aDMG|7RCR|8AART|9aCGEN|aBPWR
24	11253 61121	   	210.25	DCR|3ASPD|2DMG|1VULN|1AART	1aBEXP|2VULN|346ASPD|5aDMG|7RCR|8AART|9aAME|aBPWR
25	11253 61151	   	210.25	DCR|3ASPD|2DMG|1VULN|1AART	1aBEXP|2VULN|346ASPD|5aDMG|7RCR|8AART|9aMLV|aBPWR
26	11253 61241	   	210.25	DCR|3ASPD|2DMG|1VULN|1AART	1aBEXP|2VULN|346ASPD|5aDMG|7RCR|8aMLV|9AART|aBPWR
27	11133 33186	 * 	210.14	DCR|3VULN|2ASPD|1AART|1CDMG	1aBEXP|24aVULN|34FEWX|4aBPWR|5CDMG|6aASPD|7MBVNT|8AART|9RCR
28	41133 33186	   	210.14	DCR|3VULN|2ASPD|1AART|1CDMG	1aLHND|24aVULN|34BEXP|4aBPWR|5CDMG|6aASPD|7MBVNT|8AART|9RCR
29	21253 61111	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	1aDUST|2VULN|346ASPD|5aDMG|7RCR|8AART|9aCGEN|aBPWR
30	21253 61121	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	1aDUST|2VULN|346ASPD|5aDMG|7RCR|8AART|9aAME|aBPWR
31	21253 61151	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	1aDUST|2VULN|346ASPD|5aDMG|7RCR|8AART|9aMLV|aBPWR
32	21253 61241	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	1aDUST|2VULN|346ASPD|5aDMG|7RCR|8aMLV|9AART|aBPWR
33	11253 61141	   	210.05	DCR|3ASPD|2DMG|1VULN|1AART	1aBEXP|2VULN|346ASPD|5aDMG|7RCR|8AART|9aTLV|aBPWR
34	21253 61141	   	209.85	DCR|3ASPD|2DMG|1VULN|1AART	1aDUST|2VULN|346ASPD|5aDMG|7RCR|8AART|9aTLV|aBPWR
35	52633 11262	 * 	209.33	DCR|2VULN|2DMG|3ZMB|1AART	13DMG|234ZMB|3BPWR|59VULN|6BEXP|7RCR|8MLV|aAART
36	52633 31262	   	209.23	DCR|2VULN|2DMG|3ZMB|1AART	13DMG|234ZMB|3BPWR|59VULN|6DUST|7RCR|8MLV|aAART
37	52623 53331	   	209.18	DCR|3VULN|2DMG|1CDMG|2ZMB	13DMG|23ZMB|3BPWR|49aVULN|5CDMG|6RCR|7LIT|8AME
38	52613 51232	   	207.48	DCR|3DMG|3ZMB|1VULN|1CDMG|1DUR|1MSE	138DMG|238ZMB|38BPWR|4DUR|5CDMG|6RCR|78SNIFST|9VULN|aMSE
39	52623 52122	   	207.08	DCR|2VULN|2DMG|2CDMG|2ZMB|1DUR	13DMG|23ZMB|3BPWR|49VULN|58CDMG|6RCR|7AME|aDUR
40	52613 53131	   	206.76	DCR|2DMG|1VULN|2CDMG|1ASPD|2ZMB|1DUR	13DMG|23ZMB|3BPWR|4DUR|58CDMG|6RCR|7LIT|9ASPD|aVULN
41	52623 53132	   	206.76	DCR|2DMG|1VULN|2CDMG|1ASPD|2ZMB|1DUR	13DMG|23ZMB|3BPWR|4VULN|58CDMG|6RCR|7LIT|9ASPD|aDUR
42	34126 13621	   	206.70	ACR|3VULN|2DMG|2ASPD|1CDMG	1ERES|2RCR|35ASPD|45DMG|5BPWR|69aVULN|7CDMG|8RCVC
43	34126 13511	   	206.33	ACR|2VULN|2DMG|2ASPD|1CDMG|1ZMB|1DUR	1ERES|2RCR|35ASPD|45DMG|5BPWR|68VULN|7CDMG|9DUR|aZMB
44	34126 16112	 * 	205.92	ACR|3DMG|2VULN|1MDPS|2ASPD	1ERES|2RCR|35ASPD|459DMG|5BPWR|67VULN|8DMSP|aMDPS
45	52623 53121	 * 	205.83	DCR|2VULN|2DMG|3CDMG|2ZMB	13DMG|23ZMB|3BPWR|4aVULN|589CDMG|6RCR|7LIT
46	11114 36341	 * 	205.49	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2aVULN|3FEWX|4MLV|5aLWND|6RCR|7ASPD|8aDMG|9AART|aBPWR
47	34126 13523	   	205.42	ACR|3VULN|2DMG|2ASPD|1CDMG	1ERES|2RCR|35ASPD|45DMG|5BPWR|689VULN|7CDMG|aDUST
48	11253 61322	   	205.32	DCR|3ASPD|2VULN|1DMG|1CDMG	1BEXP|29VULN|346ASPD|5DMG|7RCR|8CDMG|aLWND
49	11253 61324	   	205.32	DCR|3ASPD|2VULN|1DMG|1CDMG	1BEXP|29VULN|346ASPD|5DMG|7RCR|8CDMG|aLHND
50	11153 36341	   	205.29	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2aVULN|3FEWX|4LWND|5aERES|6RCR|7ASPD|8aDMG|9AART|aBPWR
51	21253 61322	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1DUST|29VULN|346ASPD|5DMG|7RCR|8CDMG|aLWND
52	21253 61324	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1DUST|29VULN|346ASPD|5DMG|7RCR|8CDMG|aLHND
53	21253 61326	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1DUST|29VULN|346ASPD|5DMG|7RCR|8CDMG|aBEXP
54	21253 61343	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1DUST|2aVULN|346ASPD|5DMG|7RCR|8CDMG|9BEXP
55	21253 61363	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1DUST|2aVULN|346ASPD|5DMG|7RCR|8CDMG|9LWND
56	11253 61325	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG|1MSE	1BEXP|29VULN|346ASPD|5DMG|7RCR|8CDMG|aMSE
57	11253 61326	   	205.22	DCR|3ASPD|2VULN|1DMG|1CDMG	1BEXP|29VULN|346ASPD|5DMG|7RCR|8CDMG|aDUST
58	21153 36341	   	205.19	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|2aVULN|3FEWX|4LWND|5aERES|6RCR|7ASPD|8aDMG|9AART|aBPWR
59	35223 12634	   	205.13	ACR|3VULN|2DMG|1AART|1ASPD|1DUR	18ERES|2AART|3RCR|48DMG|5ASPD|6LHND|78aVULN|8BPWR|9DUR
60	21253 61325	   	205.12	DCR|3ASPD|2VULN|1DMG|1CDMG|1MSE	1DUST|29VULN|346ASPD|5DMG|7RCR|8CDMG|aMSE
61	52633 11111	 * 	204.80	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aBEXP|7RCR|8AART|9aCGEN
62	52633 11121	   	204.80	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aBEXP|7RCR|8AART|9aAME
63	52633 11151	   	204.80	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aBEXP|7RCR|8AART|9aMLV
64	52633 11241	   	204.80	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aBEXP|7RCR|8aMLV|9AART
65	52633 11141	   	204.60	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aBEXP|7RCR|8AART|9aTLV
66	52633 11361	   	204.60	DCR|3DMG|3ZMB|1VULN|1AART	138DMG|234ZMB|3BPWR|5VULN|6BEXP|7RCR|9AART|aLHND
67	52633 31111	   	204.60	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aDUST|7RCR|8AART|9aCGEN
68	52633 31121	   	204.60	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aDUST|7RCR|8AART|9aAME
69	52633 31151	   	204.60	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aDUST|7RCR|8AART|9aMLV
70	52633 31241	   	204.60	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aDUST|7RCR|8aMLV|9AART
71	35223 32424	 * 	204.53	ACR|3ASPD|2VULN|2AART|1DMG	17aERES|26AART|3RCR|4DMG|58aASPD|9aVULN|aBPWR
72	52633 11362	   	204.50	DCR|3DMG|3ZMB|1VULN|1AART|1MSE	138DMG|234ZMB|3BPWR|5VULN|6BEXP|7RCR|9AART|aMSE
73	52633 11363	   	204.50	DCR|3DMG|3ZMB|1VULN|1AART	138DMG|234ZMB|3BPWR|5VULN|6BEXP|7RCR|9AART|aBASFIG
74	52633 31141	   	204.40	DCR|3DMG|3ZMB|1VULN|1AART	13aDMG|234ZMB|3aBPWR|5VULN|6aDUST|7RCR|8AART|9aTLV
75	34126 13122	   	203.42	ACR|2VULN|2DMG|2ASPD|2CDMG|1DUR	1ERES|2RCR|35ASPD|45DMG|5BPWR|69VULN|78CDMG|aDUR
76	61141 63132	   	203.32	DCR|3ASPD|2VULN|1AART|1ZMB	18MLV|25BEXP|368ASPD|48VULN|7RCR|8BPWR|9ZMB|aAART
77	31141 63132	   	203.12	DCR|3ASPD|2VULN|1AART|1ZMB	18ERES|25BEXP|368ASPD|48VULN|7RCR|8BPWR|9ZMB|aAART
78	31651 63132	   	203.12	DCR|3ASPD|2VULN|1AART|1ZMB	18ERES|25BEXP|38VULN|468ASPD|7RCR|8BPWR|9ZMB|aAART
79	53153 51212	   	202.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|2DUR|34ASPD|5CDMG|6RCR|7SNIFST|8aVULN|9AME
80	11253 61423	 * 	202.70	DCR|3ASPD|1VULN|2CDMG|1DMG|1ZMB	1BEXP|2VULN|346ASPD|5DMG|7RCR|8ZMB|9aCDMG
81	53153 53131	   	202.67	DCR|3ASPD|1VULN|2CDMG|1DMG|1DUR	1DMG|2DUR|349ASPD|58CDMG|6RCR|7LIT|aVULN
82	53153 51332	   	202.60	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1DMG|2DUR|34ASPD|5CDMG|6RCR|7SNIFST|8TLV|9aVULN
83	21253 61423	   	202.60	DCR|3ASPD|1VULN|2CDMG|1DMG|1ZMB	1DUST|2VULN|346ASPD|5DMG|7RCR|8ZMB|9aCDMG
84	11533 33186	   	202.54	DCR|2VULN|2ASPD|1AART|1CDMG|1ZMB	1aBEXP|2aVULN|3RMIN|4ZMB|5CDMG|6aASPD|7MBVNT|8AART|9RCR|aBPWR
85	34126 13125	   	202.05	ACR|2VULN|2DMG|2ASPD|2CDMG	1ERES|2RCR|35ASPD|45DMG|5BPWR|69VULN|78CDMG|aSPLREG
86	13163 23636	   	201.97	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1BEXP|2MSLFST|34DMG|5ASPD|6CDMG|7aVULN|8RCR|9DUR
87	52633 11623	 * 	201.80	DCR|2VULN|2DMG|3ZMB|1CDMG	13DMG|234ZMB|3BPWR|5aVULN|6BEXP|7RCR|8LHND|9CDMG
88	52633 31623	   	201.70	DCR|2VULN|2DMG|3ZMB|1CDMG	13DMG|234ZMB|3BPWR|5aVULN|6DUST|7RCR|8LHND|9CDMG
89	12333 15663	 * 	201.64	DCR|3VULN|1AART|1NUKE|1CDMG|2DUR|1ZMB	1aBEXP|2NUKE|3aDUR|4ZMB|5CDMG|6AART|79aVULN|8RCR|aBPWR
90	52633 11316	   	201.20	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|5aVULN|6BEXP|7RCR|9FEWX
91	52633 11323	   	201.20	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|59VULN|6BEXP|7RCR|aFEWX
92	52633 11322	   	201.10	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|59VULN|6BEXP|7RCR|aDUST
93	52633 11324	   	201.10	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|59VULN|6BEXP|7RCR|aERES
94	52633 31316	   	201.10	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|5aVULN|6DUST|7RCR|9FEWX
95	52633 31325	   	201.10	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|59VULN|6DUST|7RCR|aFEWX
96	52633 31322	   	201.00	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|59VULN|6aDUST|7RCR
97	52633 31323	   	201.00	DCR|3DMG|2VULN|3ZMB|1MSE	138DMG|234ZMB|3BPWR|59VULN|6DUST|7RCR|aMSE
98	52633 31324	   	201.00	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|59VULN|6DUST|7RCR|aERES
99	52633 31362	   	201.00	DCR|3DMG|2VULN|3ZMB	138DMG|234ZMB|3BPWR|5aVULN|6DUST|7RCR|9BASARM
100	52633 31351	   	200.79	DCR|3DMG|3ZMB|1VULN|1ASPD	138DMG|234ZMB|3BPWR|5VULN|6DUST|7RCR|9ASPD|aLWND
101	11253 61112	   	200.77	DCR|3ASPD|1AART|1VULN|1DMG|1DUR	1BEXP|2VULN|346ASPD|5DMG|7RCR|8AART|9CGEN|aDUR
102	11253 61122	   	200.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1BEXP|2VULN|346ASPD|5DMG|7RCR|8AART|9AME|aDUR
103	11253 61152	   	200.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1BEXP|2VULN|346ASPD|5DMG|7RCR|8AART|9MLV|aDUR
104	11253 61242	   	200.77	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1BEXP|2VULN|346ASPD|5DMG|7RCR|8MLV|9AART|aDUR
105	52633 31341	   	200.69	DCR|3DMG|3ZMB|1VULN|1ASPD	138DMG|234ZMB|3BPWR|5VULN|69DUST|7RCR|aASPD
106	52633 31352	   	200.69	DCR|3DMG|3ZMB|1VULN|1ASPD	138DMG|234ZMB|3BPWR|5VULN|6aDUST|7RCR|9ASPD
107	52633 31353	   	200.69	DCR|3DMG|3ZMB|1VULN|1ASPD	138DMG|234ZMB|3BPWR|5VULN|6DUST|7RCR|9ASPD|aERES
108	21253 61112	   	200.67	DCR|3ASPD|1AART|1VULN|1DMG|1DUR	1DUST|2VULN|346ASPD|5DMG|7RCR|8AART|9CGEN|aDUR
109	21253 61122	   	200.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUST|2VULN|346ASPD|5DMG|7RCR|8AART|9AME|aDUR
110	21253 61152	   	200.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUST|2VULN|346ASPD|5DMG|7RCR|8AART|9MLV|aDUR
111	21253 61242	   	200.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUST|2VULN|346ASPD|5DMG|7RCR|8MLV|9AART|aDUR
112	11253 61142	   	200.67	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1BEXP|2VULN|346ASPD|5DMG|7RCR|8AART|9TLV|aDUR
113	21253 61142	   	200.57	DCR|3ASPD|1VULN|1AART|1DMG|1DUR	1DUST|2VULN|346ASPD|5DMG|7RCR|8AART|9TLV|aDUR
114	22123 44876	 * 	200.46	DCR|3ASPD|2VULN|2DMG|1NUKE	1DUST|2NUKE|368ASPD|46DMG|5MBVNT|6BPWR|79VULN|aRCR
115	11253 61431	   	199.40	DCR|3ASPD|2VULN|1DMG|1ZMB	1BEXP|2aVULN|346ASPD|5DMG|7RCR|8ZMB|9LIT
116	52623 53232	   	199.34	DCR|2DMG|1VULN|1ASPD|1CDMG|2ZMB|1DUR	13DMG|23ZMB|3BPWR|4VULN|5CDMG|6RCR|7LIT|8AELBLL|9ASPD|aDUR
117	21253 61431	   	199.30	DCR|3ASPD|2VULN|1DMG|1ZMB	1DUST|2aVULN|346ASPD|5DMG|7RCR|8ZMB|9LIT
118	51613 35112	 * 	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1aDMG|2BEXP|3VULN|4MLV|5CDMG|6ASPD|7RCR|8AART|9LHND
119	51613 35131	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	19DMG|2BEXP|3VULN|4MLV|5CDMG|6ASPD|7RCR|8AART|aLWND
120	51613 35132	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	19DMG|2BEXP|3VULN|4MLV|5CDMG|6ASPD|7RCR|8AART|aAME
121	51613 35133	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	19DMG|2BEXP|3VULN|4aMLV|5CDMG|6ASPD|7RCR|8AART
122	61623 35112	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MLV|2BEXP|3VULN|4aDMG|5CDMG|6ASPD|7RCR|8AART|9LHND
123	61623 35131	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MLV|2BEXP|3VULN|49DMG|5CDMG|6ASPD|7RCR|8AART|aLWND
124	61623 35132	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1MLV|2BEXP|3VULN|49DMG|5CDMG|6ASPD|7RCR|8AART|aAME
125	61623 35133	   	199.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1aMLV|2BEXP|3VULN|49DMG|5CDMG|6ASPD|7RCR|8AART
126	52623 52111	   	199.15	DCR|2DMG|3ZMB|1VULN|2CDMG|1DUR	13DMG|23aZMB|3BPWR|4VULN|58CDMG|6RCR|7AME|9DUR
127	51243 35112	   	199.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1aDMG|2BEXP|3ERES|4VULN|5CDMG|6ASPD|7RCR|8AART|9LHND
128	35223 34132	 * 	198.97	ACR|3DMG|3ASPD|3AART	189ERES|267AART|3RCR|49aDMG|59aASPD|9aBPWR
129	51243 35132	   	198.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1aDMG|2BEXP|3ERES|4VULN|5CDMG|6ASPD|7RCR|8AART|9DUST
130	52623 51131	   	198.78	DCR|2VULN|2DMG|2CDMG|2ZMB	13DMG|23ZMB|3BPWR|49VULN|58CDMG|6RCR|7MULFIG|aCGEN
131	52623 51132	   	198.78	DCR|2VULN|2DMG|2CDMG|2ZMB	13DMG|23ZMB|3BPWR|49VULN|58CDMG|6RCR|7MULFIG|aRMIN
132	52623 53112	   	198.78	DCR|2VULN|2DMG|2CDMG|2ZMB	13DMG|23ZMB|3BPWR|4aVULN|58CDMG|6RCR|7LIT|9FEWX
133	11263 31636	   	198.70	DCR|2VULN|2ASPD|1DMG|1CDMG|1DUR	1BEXP|2aVULN|36ASPD|4DMG|5CDMG|7MULFIG|8RCR|9DUR
134	52623 51133	   	198.68	DCR|2VULN|2DMG|2CDMG|2ZMB|1MSE	13DMG|23ZMB|3BPWR|49VULN|58CDMG|6RCR|7MULFIG|aMSE
135	52623 52123	   	198.68	DCR|2VULN|2DMG|2CDMG|2ZMB	13DMG|23ZMB|3BPWR|49VULN|58CDMG|6RCR|7AME|aDUST
136	52623 51112	   	198.46	DCR|2DMG|1VULN|2CDMG|1ASPD|2ZMB	13DMG|23ZMB|3BPWR|4VULN|58CDMG|6RCR|7MULFIG|9ASPD|aLIT
137	52623 51111	   	198.36	DCR|2DMG|1VULN|2CDMG|1ASPD|2ZMB|1MSE	13DMG|23ZMB|3BPWR|4VULN|58CDMG|6RCR|7MULFIG|9ASPD|aMSE
138	52623 52132	 * 	198.36	DCR|2DMG|1VULN|2CDMG|1NUKE|2ZMB	13DMG|23ZMB|3BPWR|4VULN|58CDMG|6RCR|7AME|9TLV|aNUKE
139	52623 53133	   	198.36	DCR|2DMG|1VULN|2CDMG|1ASPD|2ZMB|1MSE	13DMG|23ZMB|3BPWR|4VULN|58CDMG|6RCR|7LIT|9ASPD|aMSE
140	53243 13121	 * 	198.21	DCR|2VULN|2DMG|1ASPD|3DUR	18DMG|268DUR|3ERES|49VULN|58AELBLL|7RCR|8BPWR|aASPD
141	11133 33182	 * 	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1BEXP|24VULN|34FEWX|4BPWR|5CDMG|6ASPD|7MBVNT|8AART|9RCR|aDMG
142	41133 33182	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LHND|24VULN|34BEXP|4BPWR|5CDMG|6ASPD|7MBVNT|8AART|9RCR|aDMG
143	35223 12653	 * 	197.82	ACR|2VULN|2DMG|1MDPS|1AART|1ASPD	18ERES|2AART|3RCR|48DMG|5ASPD|6LHND|78VULN|8BPWR|9RMIN|aMDPS
144	35221 13344	 * 	197.60	ACR|2VULN|2DMG|1AART|1ASPD|3DUR	19ERES|2AART|3RCR|49DMG|5aVULN|6ASPD|789DUR|9BPWR
145	35223 23344	   	197.60	ACR|2VULN|2DMG|1AART|1ASPD|3DUR	19ERES|2AART|3RCR|49DMG|5ASPD|6aVULN|789DUR|9BPWR
146	35221 13634	   	197.60	ACR|2VULN|2DMG|1AART|1ASPD|3DUR	18ERES|2AART|3RCR|48DMG|5aVULN|6ASPD|789DUR|8BPWR
147	35223 23634	   	197.60	ACR|2VULN|2DMG|1AART|1ASPD|3DUR	18ERES|2AART|3RCR|48DMG|5ASPD|6aVULN|789DUR|8BPWR
148	63126 16112	   	197.57	DCR|3DMG|2VULN|1ASPD|1DUR	15MLV|2DUR|3ASPD|459DMG|5BPWR|67VULN|8DMSP|aRCR
149	34126 16331	   	197.42	ACR|3DMG|2VULN|2ASPD|1ZMB	1ERES|2RCR|35ASPD|45aDMG|5BPWR|67VULN|8BEXP|9ZMB
150	11256 51131	   	197.37	DCR|3ASPD|2VULN|1DMG|1DUR	1BEXP|25VULN|345ASPD|5BPWR|6ERES|7RCR|8DUR|9LWND|aDMG
151	33126 16112	   	197.37	DCR|3DMG|2VULN|1ASPD|1DUR	15ERES|2DUR|3ASPD|459DMG|5BPWR|67VULN|8DMSP|aRCR
152	35123 12623	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	18ERES|2AART|3BEXP|48DMG|5ASPD|6LHND|78VULN|8BPWR|9RMIN|aRCR
153	35125 12623	   	197.29	DCR|2VULN|2DMG|1AART|1ASPD	18ERES|2AART|3BEXP|48DMG|5LWND|6ASPD|78VULN|8BPWR|9RMIN|aRCR
154	21256 51131	   	197.27	DCR|3ASPD|2VULN|1DMG|1DUR	1DUST|25VULN|345ASPD|5BPWR|6ERES|7RCR|8DUR|9LWND|aDMG
155	11256 51113	   	197.27	DCR|3ASPD|2VULN|1NUKE|1DUR	1BEXP|25VULN|345ASPD|5BPWR|69ERES|7RCR|8DUR|aNUKE
156	11256 51121	   	197.27	DCR|3ASPD|2VULN|1DMG|1DUR	1BEXP|25VULN|345ASPD|5BPWR|6ERES|7RCR|8DUR|9DUST|aDMG
157	52633 11112	   	197.25	DCR|2DMG|3ZMB|1VULN|1AART|1DUR	13DMG|234ZMB|3BPWR|5VULN|6BEXP|7RCR|8AART|9CGEN|aDUR
158	52633 11122	   	197.25	DCR|2DMG|3ZMB|1VULN|1AART|1DUR	13DMG|234ZMB|3BPWR|5VULN|6BEXP|7RCR|8AART|9AME|aDUR
159	52633 11152	   	197.25	DCR|2DMG|3ZMB|1VULN|1AART|1DUR	13DMG|234ZMB|3BPWR|5VULN|6BEXP|7RCR|8AART|9MLV|aDUR
160	52633 11242	   	197.25	DCR|2DMG|3ZMB|1VULN|1AART|1DUR	13DMG|234ZMB|3BPWR|5VULN|6BEXP|7RCR|8MLV|9AART|aDUR
161	52123 51216	 * 	197.22	DCR|3DMG|2ASPD|1CDMG|2ZMB	148DMG|28ZMB|3FEWX|5CDMG|6RCR|78SNIFST|8BPWR|9aASPD
162	21256 51113	   	197.17	DCR|3ASPD|2VULN|1NUKE|1DUR	1DUST|25VULN|345ASPD|5BPWR|69ERES|7RCR|8DUR|aNUKE
