0	Index      	 *	Score 	Summary	Detail	
1	31263 64223	 * 	217.99	ACR|4VULN|2DMG|1AART|1CDMG|1FLTHEA	16DMG|2CDMG|3FLTHEA|4RCR|5679VULN|6BPWR|8MLV|aAART
53	31263 64321	   	203.03	ACR|3VULN|3DMG|1CDMG|1FLTHEA|1SELL	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9DUR|aSELL
54	33531 33215	   	202.94	ACR|3VULN|2DMG|2CDMG|2ZMB|2DUR	17DMG|27DUR|3RCR|49aVULN|58CDMG|67ZMB|7BPWR
55	31263 63222	   	202.85	ACR|3VULN|3DMG|2CDMG|1FLTHEA	16aDMG|2aCDMG|3FLTHEA|4RCR|569VULN|6aBPWR|7DMSP|8aMLV
56	31263 24242	   	202.75	ACR|3VULN|3DMG|2CDMG|1FLTHEA	19aDMG|2aCDMG|3FLTHEA|4RCR|567VULN|8aMLV|aBPWR
57	31263 24332	   	202.75	ACR|3VULN|3DMG|2CDMG|1FLTHEA	18aDMG|2aCDMG|3FLTHEA|4RCR|567VULN|9aCGEN|aBPWR
58	31263 54222	   	202.75	ACR|3VULN|3DMG|2CDMG|1FLTHEA	16aDMG|2aCDMG|3FLTHEA|4RCR|579VULN|8aMLV|aBPWR
59	25241 33428	   	202.62	ACR|3DMG|2VULN|3ZMB|1CDMG	1RCR|2MBVNT|37aDMG|4CDMG|57VULN|679ZMB|7BPWR|8LWND
60	25241 66324	   	202.54	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|38aDMG|48CDMG|5aVULN|6DUR|78CGEN|8aBPWR|9aZMB
61	25243 35226	 * 	202.34	ACR|3VULN|3DMG|3CDMG	1RCR|2MBVNT|356DMG|469CDMG|69BPWR|79MLV|89aVULN
62	31266 32161	   	202.18	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	18DMG|28CDMG|3FLTHEA|4RCR|5ASPD|6RPLT|78VULN|8BPWR|9AART|aDMSP
63	31266 32162	   	202.18	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	18DMG|28CDMG|3FLTHEA|4RCR|5ASPD|6RPLT|78VULN|8BPWR|9AART|aBEXP
64	31266 32163	   	202.18	ACR|2VULN|2DMG|1AART|2CDMG|1FLTHEA	18DMG|28CDMG|3FLTHEA|4RCR|5ASPD|6RPLT|78VULN|8BPWR|9AART|aLIT
65	25243 38226	   	202.14	ACR|3VULN|3DMG|3CDMG	1RCR|2MBVNT|356DMG|469CDMG|69BPWR|79ERES|89aVULN
66	31263 61512	   	202.11	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	16DMG|2CDMG|3FLTHEA|4RCR|56VULN|6BPWR|7ASPD|8DUR|9LWND|aAART
67	31263 61532	   	202.11	ACR|2VULN|2DMG|1AART|1CDMG|1FLTHEA	16DMG|2CDMG|3FLTHEA|4RCR|56VULN|6BPWR|7ASPD|8DUR|9LHND|aAART
68	24266 22333	   	202.04	ACR|2VULN|2DMG|2AART|2CDMG	1RCR|27CDMG|3FEWX|47VULN|57DMG|6aAART|7BPWR|8LIT|9CGEN
69	33636 43333	   	202.02	ACR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1aDMG|26DUR|3AART|4RCR|56VULN|6BPWR|7ZMB|8LHND|9CDMG
70	25241 33213	 * 	201.44	ACR|3VULN|2DMG|3CDMG|2ZMB	1RCR|2MBVNT|37DMG|48aCDMG|579VULN|67ZMB|7BPWR
71	31263 24222	   	201.20	ACR|4VULN|2DMG|2CDMG|1FLTHEA	1aDMG|2aCDMG|3FLTHEA|4RCR|5679VULN|8aMLV|aBPWR
72	31266 32131	   	200.97	ACR|3VULN|2DMG|2CDMG|1FLTHEA	18DMG|28CDMG|3FLTHEA|4RCR|5ASPD|6RPLT|789VULN|8BPWR|aDUR
73	33653 42123	   	200.95	DCR|3DMG|2AART|2VULN	179DMG|2DUR|35AART|4MBVNT|6RCR|8aVULN
74	33653 46323	   	200.95	DCR|3DMG|2AART|2VULN	189DMG|2DUR|35AART|4MBVNT|6RCR|7aVULN
75	31263 61523	   	200.87	ACR|3VULN|2DMG|2CDMG|1FLTHEA	16DMG|29CDMG|3FLTHEA|4RCR|56aVULN|6BPWR|7ASPD|8DUR
76	31263 24223	   	200.30	ACR|4VULN|1AART|1DMG|1CDMG|1FLTHEA	1DMG|2CDMG|3FLTHEA|4RCR|5679VULN|8MLV|aAART
77	21624 23342	   	200.09	ACR|3DMG|2VULN|3CDMG|1FLTHEA|1SELL	1RCR|2SELL|3RPLT|4aVULN|5FLTHEA|69aDMG|78aCDMG|aBPWR
78	32531 33135	   	200.04	ACR|3VULN|3DMG|2ZMB|1CDMG	179DMG|27LHND|3RCR|49aVULN|5CDMG|67ZMB|79BPWR|89ERES
79	33636 42221	   	199.96	ACR|3DMG|2VULN|1AART|2DUR	179DMG|26DUR|3AART|4RCR|56VULN|6BPWR|8FEWX|aASPD
80	33633 23123	   	199.07	ACR|3DMG|2AART|2VULN	169DMG|2DUR|35AART|4RCR|7FEWX|8aVULN
81	33633 24433	   	199.07	ACR|3DMG|2AART|2VULN	167DMG|2DUR|35AART|4RCR|8aVULN|9LWND
82	33633 32123	   	199.07	ACR|3DMG|2AART|2VULN	179DMG|2DUR|35AART|4RCR|6LHND|8aVULN
83	33633 35323	   	199.07	ACR|3DMG|2AART|2VULN	189DMG|2DUR|35AART|4RCR|6LHND|7aVULN
84	33633 42223	   	199.07	ACR|3DMG|2AART|2VULN	179DMG|2DUR|35AART|4RCR|6aVULN|8FEWX
85	33633 42423	   	199.07	ACR|3DMG|2AART|2VULN	179DMG|2DUR|35AART|4RCR|6aVULN|8LHND
86	33633 22123	   	198.97	ACR|3DMG|2AART|2VULN	169DMG|2DUR|35AART|4RCR|7DUST|8aVULN
87	33633 24423	   	198.97	ACR|3DMG|2AART|2VULN	167DMG|2DUR|35AART|4RCR|8aVULN|9DUST
88	21444 22333	   	198.69	ACR|2VULN|2DMG|1AART|2ZMB|2ASPD|1SELL	1RCR|2SELL|35VULN|45ASPD|5BPWR|6AART|79ZMB|8aDMG
89	21462 23523	   	198.64	ACR|4VULN|2DMG|1AART|1SELL	1RCR|2SELL|3456VULN|7DUST|8AART|9aDMG
90	21462 31523	   	198.64	ACR|4VULN|2DMG|1AART|1SELL	1RCR|2SELL|3457VULN|6DUST|8AART|9aDMG
91	31263 61353	   	198.63	ACR|3VULN|2DMG|1CDMG|1FLTHEA|1ZMB	16DMG|2CDMG|3FLTHEA|4RCR|56aVULN|6BPWR|7ASPD|8CGEN|9ZMB
92	31263 24323	   	198.53	ACR|3VULN|2DMG|1CDMG|1FLTHEA|1ZMB	18DMG|2CDMG|3FLTHEA|4RCR|567VULN|9ZMB|aDUR
93	32531 33631	   	198.14	ACR|3DMG|2VULN|2ZMB|2ASPD|1CDMG	179DMG|27LHND|3RCR|49VULN|5CDMG|67ZMB|79BPWR|89ASPD|aMGNSTR
94	32531 33632	   	198.14	ACR|3DMG|2VULN|2ZMB|2ASPD|1CDMG	179DMG|27LHND|3RCR|49VULN|5CDMG|67ZMB|79BPWR|89ASPD|aFEWX
95	32531 33633	   	198.14	ACR|3DMG|2VULN|2ZMB|2ASPD|1CDMG	179DMG|27aLHND|3RCR|49VULN|5CDMG|67ZMB|79BPWR|89ASPD
96	32531 33332	   	198.12	ACR|3DMG|2VULN|3ZMB|1CDMG	179DMG|279LHND|3RCR|4aVULN|5CDMG|679ZMB|79BPWR|8RMIN
97	32531 33635	   	198.04	ACR|3DMG|2VULN|2ZMB|2ASPD|1CDMG	179DMG|27LHND|3RCR|49VULN|5CDMG|67ZMB|79BPWR|89ASPD|aLEGI
98	31263 24322	 * 	197.90	ACR|3VULN|2DMG|2FLTHEA|1CDMG|1ZMB	18DMG|2CDMG|3aFLTHEA|4RCR|567VULN|9ZMB
99	24266 22321	   	197.53	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|27CDMG|3FEWX|47VULN|57DMG|6AART|7BPWR|8LIT|9LWND|aDUR
100	25243 21848	   	197.23	ACR|2VULN|2DMG|1AART|2CDMG	1RCR|2MBVNT|35DMG|48CDMG|6AART|7aVULN|9DUR
101	25281 21813	   	197.14	ACR|3VULN|2DMG|1AART|1CDMG	1RCR|2MBVNT|34DMG|4BPWR|5ERES|6CDMG|789VULN|aAART
102	25241 33286	   	197.01	ACR|3VULN|2DMG|2CDMG|2ZMB	1RCR|2MBVNT|37DMG|48CDMG|57aVULN|67ZMB|7BPWR|9RCVC
103	32531 33523	   	196.82	ACR|3DMG|2VULN|2ZMB|1CDMG|2DUR	17aDMG|27LHND|3RCR|4aVULN|5CDMG|67ZMB|7aBPWR|8aDUR|9RPLT
104	33531 33423	   	196.82	ACR|3DMG|2VULN|2ZMB|1CDMG|2DUR	17aDMG|27DUR|3RCR|4aVULN|5CDMG|67ZMB|7aBPWR|8aLHND|9RPLT
105	33531 33623	   	196.82	ACR|3DMG|2VULN|2ZMB|1CDMG|2DUR	17aDMG|27DUR|3RCR|4aVULN|5CDMG|67ZMB|7aBPWR|8aBEXP|9RPLT
106	21444 22331	   	196.76	ACR|3VULN|1AART|1DMG|2ZMB|2ASPD|1SELL	1RCR|2SELL|35aVULN|45ASPD|5BPWR|6AART|79ZMB|8DMG
107	33534 22333	   	196.73	ACR|2VULN|2DMG|1AART|1FLTHEA|1ZMB	16DMG|2DUR|3RCR|47VULN|5FLTHEA|8ZMB|9AART|aRCVC
108	34263 24332	   	196.65	ACR|4VULN|3DMG|1FLTHEA|1SELL	18aDMG|2SELL|3FLTHEA|4RCR|567aVULN|9aCGEN|aBPWR
109	25241 33313	   	196.64	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8RMIN|9LIT|aAART
110	25241 33387	   	196.64	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8RMIN|9BELT|aAART
111	25241 33462	   	196.64	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8LWND|9BEXP|aAART
112	25241 33562	   	196.64	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8LHND|9BEXP|aAART
113	25241 33782	   	196.64	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8BEXP|9LWND|aAART
114	33636 33333	   	196.62	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aDMG|2DUR|3AART|4RCR|56VULN|7ZMB|8LHND|9CDMG
115	33636 33433	   	196.62	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aDMG|2DUR|3AART|4RCR|56VULN|7ZMB|8FEWX|9CDMG
116	25241 33184	   	196.54	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8ERES|9BELT|aAART
117	25241 33862	   	196.54	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8DUST|9BEXP|aAART
118	25241 33872	   	196.54	ACR|2VULN|2DMG|1AART|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|57VULN|67ZMB|7BPWR|8DUST|9LHND|aAART
119	33636 33533	   	196.52	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1aDMG|2DUR|3AART|4RCR|56VULN|7ZMB|8DUST|9CDMG
120	24221 41331	   	196.46	ACR|2AART|2VULN|1DMG|2CDMG|1ZMB	1RCR|27CDMG|3FEWX|4aAART|56VULN|8DMG|9ZMB
121	25243 33663	   	196.41	ACR|3DMG|1AART|1VULN|2CDMG	1RCR|2MBVNT|356DMG|46CDMG|6BPWR|7RCVC|8AART|9VULN|aDUR
122	24121 33524	   	196.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|2CDMG|3MLV|45VULN|6RCVC|79DMG|8AART|aZMB
123	24121 34523	   	196.39	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1RCR|2CDMG|3MLV|45VULN|6RCVC|7ZMB|8AART|9aDMG
124	31263 64311	   	196.34	ACR|3VULN|3DMG|1CDMG|1FLTHEA	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9aCGEN
125	31263 64333	   	196.34	ACR|3VULN|3DMG|1CDMG|1FLTHEA	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9BEXP|aFEWX
126	31263 64313	   	196.24	ACR|3VULN|3DMG|1CDMG|1FLTHEA	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9CGEN|aDUST
127	31263 64332	   	196.24	ACR|3VULN|3DMG|1CDMG|1FLTHEA	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9BEXP|aTLV
128	31263 64331	   	196.09	ACR|3VULN|3DMG|1CDMG|1FLTHEA|1SELL	168DMG|2CDMG|3FLTHEA|4RCR|567VULN|6BPWR|9BEXP|aSELL
129	25241 33456	   	196.03	ACR|3VULN|2DMG|2ZMB|1CDMG	1RCR|2MBVNT|37DMG|4CDMG|579VULN|67ZMB|7BPWR|8LWND|aDUR
130	25241 66224	   	196.03	ACR|3VULN|2DMG|2ZMB|1CDMG	1RCR|2MBVNT|3aDMG|4CDMG|58aVULN|6DUR|7CGEN|9aZMB|aBPWR
131	21624 23142	   	195.96	ACR|3DMG|2VULN|2CDMG|1FLTHEA|1SELL	1RCR|2SELL|3RPLT|4aVULN|5FLTHEA|69aDMG|7aCDMG|8RCVC|aBPWR
132	33233 24441	 * 	195.90	DCR|3VULN|2DMG|1AART|2DUR|1ZMB	17DMG|27DUR|3ZMB|4AART|58FEWX|679VULN|7BPWR|aRCR
133	21624 25131	   	195.88	ACR|3VULN|2DMG|2ZMB|1FLTHEA|1SELL	1RCR|2SELL|3RPLT|489VULN|5FLTHEA|68DMG|78ZMB|8BPWR|aDUR
134	52253 16322	 * 	195.74	DCR|5VULN|2DMG|1CDMG	1aBASHEA|2459aVULN|3CDMG|6RCR|7ERES|8aDMG|aBPWR
135	33653 45121	   	195.70	DCR|3DMG|2AART|1VULN|2DUR	179DMG|27DUR|35AART|4MBVNT|6RCR|7BPWR|8VULN|aASPD
136	31266 32113	   	195.64	ACR|3VULN|2DMG|2CDMG|1FLTHEA	18DMG|28CDMG|3FLTHEA|4RCR|5ASPD|6RPLT|78aVULN|8BPWR|9RCVC
137	25241 33431	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LWND|aCGEN
138	25241 33432	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LWND|aFEWX
139	25241 33433	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LWND|aDMSP
140	25241 33434	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LWND|aBEXP
141	25241 33436	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LWND|aLIT
142	25241 33437	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89aLWND
143	25241 33531	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LHND|aCGEN
144	25241 33532	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LHND|aFEWX
145	25241 33533	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LHND|aDMSP
146	25241 33534	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LHND|aBEXP
147	25241 33536	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LHND|aLIT
148	25241 33537	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LHND|aLWND
149	25241 33731	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89BEXP|aCGEN
150	25241 33732	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89BEXP|aFEWX
151	25241 33734	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89BEXP|aLHND
152	25241 33736	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89BEXP|aLIT
153	25241 33737	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89BEXP|aLWND
154	25241 16324	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|38aDMG|48CDMG|5aVULN|6FEWX|78CGEN|8aBPWR|9aZMB
155	25241 72324	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|38aDMG|48CDMG|5aVULN|6CGEN|78FEWX|8aBPWR|9aZMB
156	25241 74324	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|38aDMG|48CDMG|5aVULN|6CGEN|78LWND|8aBPWR|9aZMB
157	25244 77324	   	195.60	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|38aDMG|48CDMG|5aFEWX|6CGEN|78VULN|8aBPWR|9aZMB
158	25241 33435	   	195.50	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LWND|aERES
159	25241 33438	   	195.50	ACR|3DMG|2VULN|2CDMG|2ZMB	1RCR|2MBVNT|379DMG|49CDMG|57VULN|67ZMB|79BPWR|89LWND|aNUKE
