0	Index      	 *	Score 	Summary	Detail	
1	23122 43551	 * 	191.03	DCR|3VULN|2DMG|1AART|1ZMB|1SELL	1MLV|289VULN|3SELL|4aDMG|5ZMB|6RCR|7AART
13	31553 21321	   	182.04	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|2aDUST|3FEWX|4aVULN|5AART|6ZMB|7MLV|8aDMG|9BELT|aBPWR
14	31313 68127	 * 	181.96	ACR|3VULN|3ZMB|1AART|1DUR	1RCR|28aDUST|3RPLT|4DUR|5MBVNT|68aZMB|78aVULN|8aBPWR|9AART
15	33215 36325	   	181.58	ACR|2VULN|2DMG|1AART|1CDMG	1RCR|2LIT|3LHND|49VULN|56DMG|7CDMG|8LSRREG|aAART
16	33431 32154	   	181.57	ACR|2VULN|2DMG|1AART|2DUR	1RCR|237LIT|46DUR|56DMG|6BPWR|8AART|9aVULN
17	33334 13355	   	181.44	ACR|2VULN|2DMG|1AART|1ZMB	1RCR|29LIT|3ERES|4LEGI|5RPLT|6AART|79VULN|89DMG|9BPWR|aZMB
18	33215 31552	 * 	181.28	ACR|2VULN|2DMG|2AART	1RCR|2LIT|3LHND|49VULN|56DMG|78AART|aCGEN
19	33215 31553	   	181.28	ACR|2VULN|2DMG|2AART	1RCR|2LIT|3LHND|49VULN|56DMG|78AART|aMLV
20	31143 61226	   	181.22	ACR|2DMG|1AART|1VULN|2DUR|1ZMB|1ASPD	1RCR|2aDUST|3ASPD|4RPLT|5aDMG|6ZMB|7VULN|8aDUR|9AART|aBPWR
21	33215 31551	   	181.18	ACR|2VULN|2DMG|2AART	1RCR|2LIT|3LHND|49VULN|56DMG|78AART|aDUST
22	31311 32235	 * 	181.07	ACR|3DMG|2VULN|1CDMG|1DUR	1RCR|2aDUST|3RPLT|4DUR|58aDMG|6LWND|7CDMG|9aVULN|aBPWR
23	35362 21235	 * 	180.83	ACR|5VULN|1DMG|1ZMB	1RCR|2ERES|36LHND|45679VULN|6BPWR|8ZMB|aDMG
24	33121 25412	 * 	180.23	ACR|3DMG|1AART|3ASPD|2DUR	1RCR|248LIT|3LEGI|58aDMG|68aASPD|7AART|8aBPWR|9aDUR
25	35363 43212	 * 	180.15	ACR|2DMG|1AART|1VULN|2ZMB|1CDMG	1RCR|27ERES|37LHND|4VULN|5aZMB|67DMG|7BPWR|8AART|9CDMG
26	62135 23227	 * 	179.68	ACR|2VULN|3CDMG|1AART|3ASPD|2DUR	1aDUR|2MBVNT|368ASPD|46aCDMG|5RCR|6aBPWR|7aVULN|9AART
27	31162 61315	 * 	179.55	ACR|3VULN|1AART|1DMG|2ASPD	1RCR|2DUST|36ASPD|457VULN|8LIT|9DMG|aAART
28	31222 23311	 * 	179.33	ACR|2DMG|3ZMB|1AART|2CDMG	1RCR|27aDUST|36CDMG|4RCVC|56aZMB|6aBPWR|8aDMG|9AART
29	23122 43351	 * 	179.22	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	1MLV|29VULN|3SELL|4aDMG|58ZMB|6RCR|7AART
30	31162 53261	   	178.58	ACR|4VULN|1AART|1ZMB|1ASPD	1RCR|2DUST|3ASPD|457aVULN|6RMIN|8ZMB|9AART
31	23122 43621	 * 	178.37	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1MLV|2aVULN|3SELL|4DMG|5ZMB|6RCR|7AART|8ASPD|9CDMG
32	23123 43321	 * 	178.37	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1MLV|2aVULN|3SELL|4DMG|5ASPD|6RCR|7AART|8ZMB|9CDMG
33	31133 21451	 * 	178.07	ACR|2VULN|3ASPD|1DMG|2CDMG|1ZMB	1RCR|2DUST|356ASPD|46CDMG|6BPWR|7aVULN|8DMG|9ZMB
34	31231 33556	 * 	178.05	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1RCR|2DUST|3aCDMG|4DUR|5VULN|6aLWND|7BEXP|8aDMG|9AART|aBPWR
35	31523 24423	   	178.00	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2DUST|3FEWX|4LHND|5AART|6ZMB|7aVULN|8DMG|9CDMG
36	23123 43651	 * 	177.92	DCR|2VULN|2DMG|1AART|2ASPD|1SELL	1MLV|29VULN|3SELL|4aDMG|58ASPD|6RCR|7AART
37	62135 33823	 * 	177.77	ACR|3DMG|1AART|1CDMG|2ASPD|2DUR	1aDUR|2MBVNT|3aASPD|4CDMG|5RCR|6LWND|7AART|89aDMG|aBPWR
38	31122 33546	   	177.53	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	1RCR|2DUST|3aASPD|4LWND|5VULN|6aDUR|7MLV|8AART|9aDMG|aBPWR
39	31231 23225	 * 	177.49	ACR|4VULN|1DMG|1CDMG|1DUR	1RCR|2DUST|3CDMG|4DUR|5678VULN|9LWND|aDMG
40	31231 23235	   	177.49	ACR|4VULN|1DMG|1CDMG|1DUR	1RCR|2DUST|3CDMG|4DUR|5678VULN|9BEXP|aDMG
41	23122 43353	 * 	177.29	DCR|3VULN|1AART|1DMG|2ZMB|1SELL	1MLV|29aVULN|3SELL|4DMG|58ZMB|6RCR|7AART
42	33215 31516	 * 	177.24	ACR|2DMG|2AART|1VULN|1CDMG	1RCR|2LIT|3LHND|4VULN|56DMG|78AART|9DUST|aCDMG
43	62222 32746	 * 	177.17	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1DUR|2MBVNT|3CDMG|4BELT|567DMG|8RCR|9AART|aVULN
44	31231 13556	   	176.83	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCR|2aDUST|3CDMG|4aDUR|5VULN|6LEGI|7BEXP|8aDMG|9AART|aBPWR
45	35325 33532	   	176.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2ERES|3LHND|4CDMG|5DMG|6CGEN|7AART|89VULN|aZMB
46	33215 31352	   	176.77	ACR|2VULN|2DMG|1AART|1DUR	1RCR|2LIT|3LHND|49VULN|56DMG|7AART|8LWND|aDUR
47	31136 63226	   	176.73	ACR|2VULN|1AART|3ASPD|1CDMG|2DUR	1RCR|2aDUST|368ASPD|4CDMG|5aDUR|7aVULN|9AART|aBPWR
48	33215 31436	   	176.53	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1RCR|2LIT|3LHND|4aVULN|56DMG|7AART|8DUR|9SELL
49	33221 32335	 * 	176.44	ACR|3VULN|3DMG	1RCR|247LIT|36aLHND|56aDMG|6aBPWR|89aVULN
50	33221 35235	   	176.44	ACR|3VULN|3DMG	1RCR|248LIT|36aLHND|56aDMG|6aBPWR|79aVULN
51	35363 43213	   	176.30	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCR|27ERES|37LHND|4VULN|5ZMB|67DMG|7BPWR|8AART|9CDMG|aBELT
52	35325 42132	   	176.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCR|2ERES|3LHND|4CDMG|5DMG|6MLV|79VULN|8AART|aZMB
53	23123 43653	 * 	175.99	DCR|3VULN|1AART|1DMG|2ASPD|1SELL	1MLV|29aVULN|3SELL|4DMG|58ASPD|6RCR|7AART
54	33215 31542	   	175.93	ACR|2DMG|2AART|1VULN|2DUR	1RCR|2LIT|3LHND|4VULN|56DMG|78AART|9aDUR
55	33431 32155	   	175.43	ACR|2DMG|2AART|1VULN|2DUR	1RCR|237LIT|46DUR|56DMG|6BPWR|8aAART|9VULN
56	23122 43253	 * 	175.37	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1MLV|29VULN|3SELL|4aDMG|5ZMB|6RCR|7AART|8LIT
57	23122 43541	 * 	175.37	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	19MLV|28VULN|3SELL|4aDMG|5ZMB|6RCR|7AART
58	31313 72327	   	175.37	ACR|2VULN|2DMG|1AART|1DUR	1RCR|26aDUST|3RPLT|4DUR|5MBVNT|7aDMG|8aVULN|9AART|aBPWR
59	33431 32116	   	174.98	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1RCR|237LIT|46DUR|56DMG|6BPWR|8AART|9ZMB|aVULN
60	35362 21213	   	174.94	ACR|4VULN|1DMG|1ZMB|1DUR	1RCR|2ERES|36LHND|4567VULN|6BPWR|8ZMB|9DMG|aDUR
61	31162 33215	   	174.84	ACR|4VULN|1DMG|1ZMB|1ASPD	1RCR|2DUST|3ASPD|457aVULN|6CGEN|8ZMB|9DMG
62	31162 33625	   	174.84	ACR|4VULN|1DMG|1ZMB|1ASPD	1RCR|2DUST|3ASPD|457aVULN|6CGEN|8DMG|9ZMB
63	31162 63261	 * 	174.79	ACR|4VULN|1AART|2ASPD	1RCR|2DUST|36ASPD|459aVULN|7LHND|8AART
64	35362 21316	 * 	174.58	ACR|4VULN|2DMG	1RCR|2ERES|36LHND|4567VULN|6BPWR|8LIT|9aDMG
65	35542 31222	   	174.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2ERES|3CDMG|4AART|5DUST|6DUR|78VULN|9DMG|aMLV
66	35542 31223	   	174.43	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2ERES|3CDMG|4AART|5DUST|6DUR|78VULN|9DMG|aLWND
67	31231 22535	   	174.39	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUST|3CDMG|4DUR|568VULN|7MLV|9ZMB|aDMG
68	31231 23135	   	174.39	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUST|3CDMG|4DUR|567VULN|8RMIN|9ZMB|aDMG
69	31231 41535	   	174.39	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCR|2DUST|3CDMG|4DUR|578VULN|6RMIN|9ZMB|aDMG
70	31162 63215	 * 	174.34	ACR|3VULN|1AART|2ASPD|1CDMG	1RCR|2DUST|36ASPD|45aVULN|7LHND|8AART|9CDMG
71	31162 61511	   	174.29	ACR|3VULN|1DMG|2ASPD|1ZMB|1DUR	1RCR|2DUST|36ASPD|457VULN|8DUR|9DMG|aZMB
72	31162 61161	   	174.19	ACR|4VULN|1AART|2ASPD	1RCR|2DUST|36ASPD|457aVULN|8BEXP|9AART
73	23122 41151	 * 	174.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1aMLV|2aVULN|3SELL|47DMG|5ZMB|6RCR|8aERES|9AART|aBPWR
74	23122 41451	 * 	174.17	DCR|2VULN|2DMG|1AART|1ZMB|1SELL	1aMLV|2aVULN|3SELL|47DMG|5ZMB|6RCR|8aTLV|9AART|aBPWR
75	31321 12335	 * 	174.13	ACR|3VULN|2DMG|1CDMG	1RCR|2aDUST|3RPLT|4LHND|5aDMG|6BEXP|7CDMG|89aVULN|aBPWR
76	31321 32335	   	174.13	ACR|3VULN|2DMG|1CDMG	1RCR|2aDUST|3RPLT|4LHND|5aDMG|6LWND|7CDMG|89aVULN|aBPWR
77	35363 43221	   	174.10	ACR|2DMG|2AART|1VULN|1ZMB	1RCR|27ERES|37LHND|4VULN|5ZMB|67DMG|7BPWR|8aAART|9BEXP
78	31133 21431	 * 	174.01	ACR|2DMG|1VULN|3ASPD|2CDMG|1DUR	1RCR|2DUST|356ASPD|46CDMG|6BPWR|7VULN|89DMG|aDUR
79	23122 43511	 * 	173.64	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1aMLV|28aVULN|3SELL|4DMG|5ZMB|6RCR|7AART|9aCGEN|aBPWR
80	23122 43543	 * 	173.44	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	19MLV|28aVULN|3SELL|4DMG|5ZMB|6RCR|7AART
81	12143 33357	   	173.41	ACR|2VULN|2DMG|1AART|1DUR|1ASPD	1aDUST|2MBVNT|3ASPD|4aVULN|5RCR|6DUR|7MLV|8AART|9aDMG|aBPWR
82	35363 42331	   	173.40	ACR|2VULN|2AART|1DMG|1ZMB	1RCR|2ERES|3LHND|48VULN|5ZMB|6DMG|7BEXP|9aAART
83	34122 32155	   	173.39	ACR|3DMG|1AART|1VULN|1DUR|1SELL	1RCR|2SELL|3BEXP|4BELT|567DMG|8DUR|9AART|aVULN
84	23122 43535	 * 	173.34	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1MLV|28aVULN|3SELL|4DMG|5ZMB|6RCR|7AART|9DUST
85	23122 43552	 * 	173.34	DCR|3VULN|1AART|1DMG|1ZMB|1SELL	1MLV|289VULN|3SELL|4DMG|5ZMB|6RCR|7AART|aMBVNT
86	35363 52331	   	173.30	ACR|2VULN|2AART|1DMG|1ZMB	1RCR|2ERES|3LHND|48VULN|5ZMB|6DUST|7DMG|9aAART
87	35522 31263	 * 	173.24	ACR|2VULN|2DMG|2ZMB|1CDMG	1RCR|2ERES|3CDMG|47DMG|59ZMB|6LWND|8aVULN
88	33223 15156	   	173.04	ACR|3VULN|3CDMG|1AART	1RCR|246LIT|38aLHND|58aCDMG|78aVULN|8aBPWR|9AART
89	33623 15126	   	173.04	ACR|3VULN|3CDMG|1AART	1RCR|246LIT|38aBEXP|58aCDMG|78aVULN|8aBPWR|9AART
90	34222 23255	   	172.99	ACR|2VULN|2DMG|2ZMB|1CDMG|1SELL	1RCR|2SELL|3ERES|46DMG|56ZMB|6BPWR|7DUST|8aVULN|9CDMG
91	35122 23255	   	172.99	ACR|2VULN|2DMG|2ZMB|1CDMG|1SELL	1RCR|2ERES|3SELL|46DMG|56ZMB|6BPWR|7DUST|8aVULN|9CDMG
92	34222 21261	 * 	172.97	ACR|2VULN|2DMG|3ZMB|1SELL	1RCR|2SELL|3ERES|46DMG|569ZMB|6BPWR|7LWND|8aVULN
93	34222 22261	 * 	172.97	ACR|2VULN|2DMG|3ZMB|1SELL	1RCR|2SELL|3ERES|46DMG|569ZMB|6BPWR|7LHND|8aVULN
94	35122 21261	 * 	172.97	ACR|2VULN|2DMG|3ZMB|1SELL	1RCR|2ERES|3SELL|46DMG|569ZMB|6BPWR|7LWND|8aVULN
95	35122 22261	 * 	172.97	ACR|2VULN|2DMG|3ZMB|1SELL	1RCR|2ERES|3SELL|46DMG|569ZMB|6BPWR|7LHND|8aVULN
96	33431 25433	   	172.93	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1RCR|238LIT|4DUR|58DMG|68ASPD|7AART|8BPWR|9MLV|aVULN
97	31222 43311	   	172.92	ACR|2DMG|3ZMB|1AART|1CDMG	1RCR|27aDUST|3CDMG|4RCVC|56aZMB|8aDMG|9AART|aBPWR
98	33431 13156	   	172.83	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCR|23LIT|4DUR|5DMG|6CDMG|7AART|8BEXP|9aVULN
99	33215 31246	   	172.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|7AART|8DMSP|9DUR|aCDMG
100	33215 31426	   	172.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|7AART|8DUR|9RCVC|aCDMG
101	33215 31634	   	172.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|7AART|8RPLT|9CDMG|aDUR
102	31313 68124	 * 	172.74	ACR|2VULN|1AART|1DMG|2ZMB|1DUR	1RCR|28DUST|3RPLT|4DUR|5MBVNT|68ZMB|78VULN|8BPWR|9AART|aDMG
103	33123 15156	   	172.74	ACR|3VULN|3CDMG|1AART	1RCR|246LIT|3LEGI|58aCDMG|78aVULN|8aBPWR|9AART
104	33413 15126	   	172.74	ACR|3VULN|3CDMG|1AART	1RCR|236LIT|48aDUST|58aCDMG|78aVULN|8aBPWR|9AART
105	62411 84333	 * 	172.65	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|3FEWX|48DMG|5AART|6RCR|7CGEN|9aVULN
106	35541 31321	 * 	172.23	ACR|2AART|2VULN|2CDMG|1DUR	1RCR|2aERES|3aCDMG|48AART|5RCVC|6DUR|7TLV|9aVULN|aBPWR
107	31135 13616	 * 	172.16	ACR|1AART|1VULN|1DMG|2ASPD|1CDMG|1ZMB	1RCR|2DUST|3aASPD|4CDMG|5DMG|6FEWX|7VULN|8AART|9ZMB
108	31135 13623	   	172.13	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCR|2DUST|3ASPD|4CDMG|59DMG|6FEWX|7VULN|8AART|aLWND
109	31135 13625	   	172.13	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCR|2DUST|3ASPD|4CDMG|59DMG|6FEWX|7VULN|8AART|aBELT
110	31245 13633	   	172.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUST|3CDMG|4RMIN|5DMG|6FEWX|7aVULN|8AART|9DUR
111	31635 13633	   	172.13	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCR|2DUST|3CGEN|4CDMG|5DMG|6FEWX|7aVULN|8AART|9DUR
112	31135 13622	   	172.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCR|2DUST|3ASPD|4CDMG|59DMG|6FEWX|7VULN|8AART|aTLV
113	31135 13626	   	172.03	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCR|2DUST|3ASPD|4CDMG|59DMG|6FEWX|7VULN|8AART|aERES
114	34623 41112	   	171.99	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1RCR|2SELL|3DMSP|46DMG|5CDMG|7VULN|8AART|9DUR|aRCVC
115	34623 41113	   	171.99	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1RCR|2SELL|3DMSP|46DMG|5CDMG|7VULN|8AART|9DUR|aLHND
116	34623 41111	   	171.89	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1SELL	1RCR|2SELL|3DMSP|46DMG|5CDMG|7VULN|8AART|9DUR|aDUST
117	23335 41214	 * 	171.76	DCR|2VULN|2DMG|1AART|1CDMG	1MLV|29VULN|3LHND|4CDMG|59DMG|6VENICY|79MGNSTR|8RCR|9BPWR|aAART
118	62145 71211	 * 	171.76	DCR|4VULN|1DMG|1ZMB|1ASPD|1DUR	1DUR|2MBVNT|3ASPD|4567VULN|8RCR|9DMG|aZMB
119	31311 32635	 * 	171.73	ACR|2VULN|2DMG|2CDMG|1DUR	1RCR|2aDUST|3RPLT|4DUR|5aDMG|6LWND|78CDMG|9aVULN|aBPWR
120	34223 23255	 * 	171.69	ACR|2VULN|2DMG|2ASPD|1CDMG|1SELL	1RCR|2SELL|3ERES|46DMG|56ASPD|6BPWR|7DUST|8aVULN|9CDMG
121	35123 23255	 * 	171.69	ACR|2VULN|2DMG|2ASPD|1CDMG|1SELL	1RCR|2ERES|3SELL|46DMG|56ASPD|6BPWR|7DUST|8aVULN|9CDMG
122	31133 22626	   	171.51	ACR|2VULN|1AART|3ASPD|2CDMG	1RCR|2aDUST|356ASPD|46CDMG|6aBPWR|7aFEWX|8AART|9aVULN
123	35521 33512	   	171.44	ACR|1AART|1VULN|1DMG|1CDMG|2DUR|1ZMB	1RCR|2ERES|3CDMG|4DMG|59DUR|6CGEN|7AART|8VULN|aZMB
124	23122 43131	   	171.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1MLV|2aVULN|3SELL|4DMG|5ZMB|6RCR|7AART|8CGEN|9CDMG
125	23122 43252	 * 	171.43	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB|1SELL	1MLV|29VULN|3SELL|4DMG|5ZMB|6RCR|7AART|8LIT|aFLTHEA
126	23122 43421	   	171.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1MLV|2aVULN|3SELL|4DMG|5ZMB|6RCR|7AART|8RMIN|9CDMG
127	31314 14842	 * 	171.43	ACR|2DMG|1AART|1VULN|1FLTHEA|1DUR	1RCR|2DUST|3RPLT|4DUR|5FLTHEA|6MBVNT|78DMG|9AART|aVULN
128	31162 53263	   	171.42	ACR|3VULN|1AART|1ZMB|1ASPD|1DUR	1RCR|2DUST|3ASPD|457VULN|6RMIN|8ZMB|9AART|aDUR
129	23123 43253	   	171.31	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	1MLV|29VULN|3SELL|4aDMG|5ASPD|6RCR|7AART|8LIT
130	23123 43541	   	171.31	DCR|2VULN|2DMG|1AART|1ASPD|1SELL	19MLV|28VULN|3SELL|4aDMG|5ASPD|6RCR|7AART
131	31553 25312	   	171.29	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCR|2DUST|3aFEWX|4VULN|5AART|6ZMB|78DMG|9ASPD
132	31553 25313	   	171.29	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCR|2DUST|3FEWX|4VULN|5AART|6ZMB|78DMG|9ASPD|aLWND
133	31553 25311	   	171.19	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	1RCR|2DUST|3FEWX|4VULN|5AART|6ZMB|78DMG|9ASPD|aLEGI
134	34222 21265	 * 	171.04	ACR|3DMG|3ZMB|1VULN|1SELL	1RCR|2SELL|3ERES|46aDMG|569ZMB|6BPWR|7LWND|8VULN
135	34222 22265	 * 	171.04	ACR|3DMG|3ZMB|1VULN|1SELL	1RCR|2SELL|3ERES|46aDMG|569ZMB|6BPWR|7LHND|8VULN
136	35122 21265	 * 	171.04	ACR|3DMG|3ZMB|1VULN|1SELL	1RCR|2ERES|3SELL|46aDMG|569ZMB|6BPWR|7LWND|8VULN
137	35122 22265	 * 	171.04	ACR|3DMG|3ZMB|1VULN|1SELL	1RCR|2ERES|3SELL|46aDMG|569ZMB|6BPWR|7LHND|8VULN
138	35521 31224	   	170.93	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCR|2ERES|3CDMG|47DMG|5DUR|6CGEN|8VULN|9BELT|aAART
139	31511 55231	   	170.93	ACR|2VULN|2DMG|1AART	1RCR|2DUST|3FEWX|47DMG|5AART|69VULN|8CGEN|aDMSP
140	31511 55233	   	170.93	ACR|2VULN|2DMG|1AART	1RCR|2DUST|3FEWX|47DMG|5AART|69VULN|8CGEN|aRPLT
141	31553 35331	   	170.93	ACR|2VULN|2DMG|1AART	1RCR|2DUST|3FEWX|49VULN|5AART|6CGEN|78DMG|aDMSP
142	31553 35333	   	170.93	ACR|2VULN|2DMG|1AART	1RCR|2DUST|3FEWX|49VULN|5AART|6CGEN|78DMG|aRPLT
143	33431 32136	   	170.92	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1RCR|237LIT|46DUR|56DMG|6BPWR|8AART|9ASPD|aVULN
144	31133 21526	   	170.91	ACR|2VULN|1AART|3ASPD|2CDMG	1RCR|2aDUST|356ASPD|46CDMG|6aBPWR|7aVULN|8aFEWX|9AART
145	31511 24326	   	170.83	ACR|2VULN|2DMG|1AART	1RCR|26aDUST|3FEWX|4aDMG|5AART|7LEGI|8RPLT|9aVULN|aBPWR
146	31223 23311	 * 	170.81	ACR|2DMG|1AART|3ASPD|2CDMG	1RCR|27aDUST|36CDMG|4RCVC|56aASPD|6aBPWR|8aDMG|9AART
147	31231 32653	   	170.71	ACR|2VULN|2DMG|1CDMG|2DUR	1RCR|2DUST|3CDMG|4aDUR|5aVULN|6LWND|7aDMG|8LIT|9SNIHEL|aBPWR
148	31311 12235	   	170.71	ACR|2VULN|2DMG|1CDMG|2DUR	1RCR|2aDUST|3RPLT|48DUR|5aDMG|6BEXP|7CDMG|9aVULN|aBPWR
149	31311 32135	   	170.71	ACR|2VULN|2DMG|1CDMG|2DUR	1RCR|2aDUST|3RPLT|48DUR|5aDMG|6LWND|7CDMG|9aVULN|aBPWR
150	31311 62235	   	170.71	ACR|2VULN|2DMG|1CDMG|2DUR	1RCR|2aDUST|3RPLT|48DUR|5aDMG|6FEWX|7CDMG|9aVULN|aBPWR
151	33215 31443	   	170.63	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|7aAART|8DUR|9LWND
152	33215 31525	   	170.63	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|78AART|9RPLT|aDUR
153	33215 31625	   	170.63	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|79AART|8RPLT|aDUR
154	33245 21163	   	170.63	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LHND|4DUR|56DMG|7aAART|8FEWX|9VULN
155	33361 25162	   	170.53	ACR|2VULN|2AART|1DMG|1ASPD	1RCR|2LIT|3ERES|4CGEN|5DMG|6ASPD|79AART|8aVULN
156	33135 21463	   	170.53	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LEGI|4LHND|56DMG|7aAART|8DUR|9VULN
157	33135 21552	   	170.53	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LEGI|4LHND|56DMG|78AART|9VULN|aDUR
158	33215 31512	   	170.53	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|78AART|9DUST|aDUR
159	33215 31543	   	170.53	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LHND|4VULN|56DMG|78AART|9DUR|aDUST
160	33245 21263	   	170.53	ACR|2DMG|2AART|1VULN|1DUR	1RCR|2LIT|3LHND|4DUR|56DMG|7aAART|8LEGI|9VULN
161	33334 13351	   	170.43	ACR|2VULN|2DMG|1AART	1RCR|29LIT|3ERES|4LEGI|5RPLT|6AART|79VULN|89DMG|9BPWR|aFEWX
162	33334 13352	   	170.43	ACR|2VULN|2DMG|1AART	1RCR|29LIT|3ERES|4LEGI|5RPLT|6AART|79VULN|89DMG|9BPWR|aBEXP
