0	Index      	 *	Score 	Summary	Detail	
1	63144 13221	 * 	193.72	DCR|3VULN|2DMG|1AART|1CDMG	17CANHEL|2AART|3CDMG|4RPLT|57DMG|67aVULN|7BPWR|8RCR|9RCVC
94	13114 21162	 * 	173.14	ACR|3VULN|1AART|3DUR|1CDMG	189LHND|2BEXP|3RCR|4BELT|589VULN|689DUR|7AART|89BPWR|aCDMG
95	16114 21161	   	173.14	ACR|3VULN|1AART|3DUR|1FLTHEA	189LHND|2FEWX|3RCR|4BELT|589VULN|689DUR|7AART|89BPWR|aFLTHEA
96	16114 21162	   	173.14	ACR|3VULN|1AART|3DUR|1CDMG	189LHND|2FEWX|3RCR|4BELT|589VULN|689DUR|7AART|89BPWR|aCDMG
97	12114 21161	   	173.04	ACR|3VULN|1AART|3DUR|1FLTHEA	189LHND|2DUST|3RCR|4BELT|589VULN|689DUR|7AART|89BPWR|aFLTHEA
98	12114 21162	   	173.04	ACR|3VULN|1AART|3DUR|1CDMG	189LHND|2DUST|3RCR|4BELT|589VULN|689DUR|7AART|89BPWR|aCDMG
99	15212 14111	   	173.03	ACR|3VULN|1AART|1DMG|2DUR	1aLHND|2ERES|38aVULN|4RCR|5DMG|6CGEN|7AART|9aDUR|aBPWR
100	44621 42111	   	172.98	DCR|2AART|2VULN|1DMG|1ZMB	17AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|8CGEN|aDMG
101	44621 43113	   	172.98	DCR|2AART|2VULN|1DMG|1ZMB	18AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|7DMG|aLWND
102	44621 43231	   	172.98	DCR|2AART|2DMG|1VULN|1ZMB	19AART|2ZMB|3MBVNT|4VULN|5LIT|6RCR|7aDMG|8DMSP
103	44631 43111	   	172.98	DCR|2AART|2VULN|1DMG|1ZMB	18AART|2ZMB|3MBVNT|4LWND|5LIT|6RCR|7DMG|9aVULN
104	31212 14111	   	172.93	ACR|3VULN|1AART|1DMG|2DUR	1aTLV|2LWND|38aVULN|4RCR|5DMG|6CGEN|7AART|9aDUR|aBPWR
105	32212 14111	   	172.93	ACR|3VULN|1AART|1DMG|2DUR	1aTLV|2FEWX|38aVULN|4RCR|5DMG|6CGEN|7AART|9aDUR|aBPWR
106	44621 42411	   	172.88	DCR|2AART|2VULN|1DMG|1ZMB	17AART|2ZMB|3MBVNT|49VULN|5LIT|6RCR|8ERES|aDMG
107	25212 14111	   	172.83	ACR|3VULN|1AART|1DMG|2DUR	1aDUST|2ERES|38aVULN|4RCR|5DMG|6CGEN|7AART|9aDUR|aBPWR
108	43621 73141	 * 	172.73	DCR|3VULN|1AART|1DMG|2ASPD	1AART|28ASPD|3MBVNT|468VULN|58LIT|7RMIN|8BPWR|9RCR|aDMG
109	13612 31161	 * 	172.72	DCR|3VULN|1AART|3DUR|1FLTHEA	189LHND|2BEXP|389VULN|4BELT|589DUR|6RCR|7AART|89BPWR|aFLTHEA
110	13612 31162	 * 	172.72	DCR|3VULN|1AART|3DUR|1CDMG	189LHND|2BEXP|389VULN|4BELT|589DUR|6RCR|7AART|89BPWR|aCDMG
111	16612 31161	   	172.72	DCR|3VULN|1AART|3DUR|1FLTHEA	189LHND|2FEWX|389VULN|4BELT|589DUR|6RCR|7AART|89BPWR|aFLTHEA
112	16612 31162	   	172.72	DCR|3VULN|1AART|3DUR|1CDMG	189LHND|2FEWX|389VULN|4BELT|589DUR|6RCR|7AART|89BPWR|aCDMG
113	44333 13353	   	172.72	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	17AART|2ZMB|3LIT|4DMG|58VULN|6CANSTR|9RCR|aDUR
114	43628 33214	   	172.63	DCR|2DMG|1AART|1VULN|2CDMG|1ASPD	1AART|2ASPD|3MBVNT|4VULN|5aDMG|69CDMG|7RMIN|8RCR
115	42356 11113	   	172.54	ACR|3VULN|1AART|1DMG|1DUR	1AART|2RCVC|3RMIN|4DMG|5RCR|6LWND|789VULN|aDUR
116	45124 11213	   	172.38	DCR|3VULN|1AART|2CDMG|1ZMB	1AART|29LHND|37CDMG|456VULN|8RCR|aZMB
117	15212 33241	   	172.34	ACR|2VULN|2DMG|1AART|1ZMB	1LHND|2ERES|38VULN|4RCR|5aDMG|6BELT|7ZMB|9AART
118	63631 22114	   	172.33	DCR|3VULN|2AART|1DMG	1CANHEL|23AART|46LIT|567VULN|6BPWR|8RCR|9LHND|aDMG
119	63631 22134	   	172.33	DCR|3VULN|2AART|1DMG	1CANHEL|23AART|46LIT|567VULN|6BPWR|8RCR|9FEWX|aDMG
120	63631 22142	   	172.33	DCR|3VULN|2AART|1DMG	1CANHEL|23AART|46LIT|567VULN|6BPWR|8RCR|9DMG|aRPLT
121	63631 22143	   	172.23	DCR|3VULN|2AART|1DMG	1CANHEL|23AART|46LIT|567VULN|6BPWR|8RCR|9DMG|aMBVNT
122	41256 23332	   	171.56	DCR|2VULN|2DMG|1AART|1DUR	1AART|29DUST|3DUR|4MBVNT|59DMG|69VULN|7DMSP|8RCR|9BPWR|aRCVC
123	11153 51111	   	171.55	ACR|3VULN|2AART|1DMG	1LHND|2LIT|3FEWX|48AART|5RCR|679VULN|aDMG
124	11353 51111	   	171.55	ACR|3VULN|2AART|1DMG	1LHND|2LIT|3BEXP|48AART|5RCR|679VULN|aDMG
125	44323 22323	 * 	171.54	DCR|3DMG|1AART|2CDMG|2ZMB	1AART|29ZMB|39LIT|4ERES|56CDMG|789DMG|9BPWR|aRCR
126	11553 51111	   	171.45	ACR|3VULN|2AART|1DMG	1LHND|2LIT|3DUST|48AART|5RCR|679VULN|aDMG
127	21153 51111	   	171.45	ACR|3VULN|2AART|1DMG	1DUST|2LIT|3FEWX|48AART|5RCR|679VULN|aDMG
128	21453 11111	   	171.45	ACR|3VULN|2AART|1DMG	1DUST|2LIT|379VULN|48AART|5RCR|6BEXP|aDMG
129	51153 51111	   	171.45	ACR|3VULN|2AART|1DMG	1LIT|2DUST|3FEWX|48AART|5RCR|679VULN|aDMG
130	51453 11111	   	171.45	ACR|3VULN|2AART|1DMG	1LIT|2DUST|379VULN|48AART|5RCR|6BEXP|aDMG
131	15221 14431	   	171.34	ACR|2VULN|2DMG|1AART|1ZMB	1aLHND|2ERES|3aVULN|4RMIN|5RCR|6CGEN|7AART|8ZMB|9aDMG|aBPWR
132	13114 21463	   	171.33	ACR|2VULN|2AART|1DMG|2DUR	19LHND|2BEXP|3RCR|4BELT|59VULN|69DUR|78AART|9BPWR|aDMG
133	43433 33362	 * 	171.25	DCR|2AART|2DMG|2ASPD|1CDMG|1DUR	15AART|23ASPD|3BPWR|4TLV|6DUR|7aDMG|8RCR|9CDMG
134	15212 53226	 * 	171.24	ACR|3VULN|3DMG	19LHND|2ERES|369VULN|4RCR|59aDMG|7RCVC|8RMIN|9BPWR
135	31221 14431	   	171.24	ACR|2VULN|2DMG|1AART|1ZMB	1aTLV|2LWND|3aVULN|4RMIN|5RCR|6CGEN|7AART|8ZMB|9aDMG|aBPWR
136	32221 14431	   	171.24	ACR|2VULN|2DMG|1AART|1ZMB	1aTLV|2FEWX|3aVULN|4RMIN|5RCR|6CGEN|7AART|8ZMB|9aDMG|aBPWR
137	12114 21463	   	171.23	ACR|2VULN|2AART|1DMG|2DUR	19LHND|2DUST|3RCR|4BELT|59VULN|69DUR|78AART|9BPWR|aDMG
138	31212 53226	   	171.14	ACR|3VULN|3DMG	19TLV|2LWND|369VULN|4RCR|59aDMG|7RCVC|8RMIN|9BPWR
139	25221 14351	   	171.14	ACR|2VULN|2DMG|1AART|1ZMB	1aDUST|2ERES|3aVULN|4RMIN|5RCR|6CGEN|7AART|8ZMB|9aDMG|aBPWR
140	43621 43633	   	171.11	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2ASPD|3MBVNT|49VULN|5LIT|6RCR|7DMG|8CDMG|aLHND
141	43434 33323	   	171.08	DCR|2AART|1VULN|1DMG|2ASPD|1ZMB|1DUR	17AART|23ASPD|3BPWR|4TLV|5ZMB|6VULN|8RCR|9DMG|aDUR
142	44613 41113	   	171.03	ACR|3VULN|2AART|1ZMB|1DUR	16AART|2ZMB|3MBVNT|4TLV|5RCR|789VULN|aDUR
143	43621 43634	   	171.01	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2ASPD|3MBVNT|49VULN|5LIT|6RCR|7DMG|8CDMG|aTLV
144	13612 31463	   	170.91	DCR|2VULN|2AART|1DMG|2DUR	19LHND|2BEXP|39VULN|4BELT|59DUR|6RCR|78AART|9BPWR|aDMG
145	45314 13331	   	170.78	DCR|2AART|2VULN|1DMG|1ZMB	19AART|26LHND|3LIT|4MLV|56VULN|6BPWR|7RCR|8ZMB|aDMG
146	42316 23136	 * 	170.74	ACR|3VULN|2AART|2ASPD	19AART|2RCVC|3RMIN|48ASPD|5RCR|68LIT|78aVULN|8BPWR
147	43433 23322	   	170.72	DCR|2AART|2DMG|1VULN|2ASPD	15AART|23ASPD|3BPWR|4TLV|6FEWX|79DMG|8RCR|aVULN
148	43613 12336	   	170.57	ACR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3MBVNT|4TLV|5RCR|67VULN|8LHND|9aDMG
149	42426 32313	   	170.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2RCVC|34VULN|4BPWR|5RCR|6RPLT|7DMG|8LHND|9CDMG|aDUR
150	42436 32313	   	170.54	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1AART|2RCVC|34VULN|5RCR|6RPLT|7DMG|8LHND|9CDMG|aDUR
151	15212 33246	   	170.40	ACR|3VULN|1AART|1DMG|1ZMB	1LHND|2ERES|38aVULN|4RCR|5DMG|6BELT|7ZMB|9AART
152	12114 21166	   	170.39	ACR|3VULN|1AART|3DUR|1ZMB	189LHND|2DUST|3RCR|4BELT|589VULN|689DUR|7AART|89BPWR|aZMB
153	41256 23333	   	170.25	DCR|2VULN|2DMG|1AART|1DUR	1AART|29DUST|3DUR|4MBVNT|59DMG|69VULN|7DMSP|8RCR|9BPWR|aLIT
154	43623 32336	   	170.25	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2ASPD|3MBVNT|47VULN|5LHND|6CGEN|8RCR|9aDMG
155	43621 43113	   	170.22	DCR|2AART|2VULN|1DMG|1ASPD	18AART|2ASPD|3MBVNT|49VULN|5LIT|6RCR|7DMG|aRCVC
156	41256 23331	   	170.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|29DUST|3DUR|4MBVNT|59DMG|69VULN|7DMSP|8RCR|9BPWR|aAIRHEA
157	41256 23334	   	170.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|29aDUST|3DUR|4MBVNT|59DMG|69VULN|7DMSP|8RCR|9BPWR
158	41554 14334	   	170.15	DCR|2VULN|2DMG|1AART|1DUR	1AART|259DUST|3BEXP|4MBVNT|69VULN|79DMG|8RCR|9BPWR|aDUR
159	23114 61161	   	170.14	ACR|3VULN|1AART|1DMG|1DUR	189DUST|2DUR|3RCR|4BELT|589VULN|689LWND|7AART|89BPWR|aDMG
160	31212 14162	 * 	170.04	ACR|2VULN|2AART|1DMG|1CDMG	1TLV|2LWND|38VULN|4RCR|5DMG|6CGEN|7aAART|9CDMG
161	41111 36335	   	170.03	DCR|2AART|2VULN|1CDMG|2DUR|1ASPD	14AART|29DUST|3CDMG|5RPLT|69VULN|79DUR|8RCR|9BPWR|aASPD
162	45124 12223	   	169.75	DCR|3VULN|1AART|1CDMG|1ZMB	1AART|2LHND|3CDMG|456VULN|79RCVC|8RCR|aZMB
163	44333 13352	 * 	169.63	DCR|2AART|2VULN|1DMG|2ZMB	17AART|2aZMB|3LIT|4DMG|58VULN|6CANSTR|9RCR
164	52151 22362	   	169.62	DCR|3VULN|1AART|1DMG|1ASPD	12LIT|3ASPD|489VULN|5RPLT|6RCR|7AART|aDMG
165	43613 12113	   	169.61	ACR|4VULN|1AART|1DUR|1ASPD	1AART|2ASPD|3MBVNT|4TLV|5RCR|6789VULN|aDUR
