0	Index      	 *	Score 	Summary	Detail	
1	61235 16331	 * 	223.16	DCR|2VULN|2AART|2DMG|2ZMB|1DUR	1aAART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9DUR
32	26361 32411	   	208.43	DCR|3DMG|2VULN|1AART|2ZMB	15ZMB|2TLV|3LWND|45aDMG|5BPWR|6AART|78VULN|9RCR
33	61226 11413	   	207.67	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR|1ZMB	1AART|2LEGI|3ZMB|4CDMG|58DUR|6RCR|7ASPD|9aVULN
34	61226 12513	   	207.67	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2LEGI|3ZMB|4CDMG|57DUR|6RCR|8DMG|9aVULN
35	23362 32415	   	207.39	DCR|3VULN|2DMG|1AART|1ZMB	1ZMB|24DMG|3LWND|5AME|6AART|78aVULN|9RCR
36	61235 16333	   	207.08	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9DUR|aLHND
37	61235 16332	   	206.98	DCR|2VULN|2DMG|1AART|2ZMB|1DUR|1MSE	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9DUR|aMSE
38	23144 32532	 * 	206.76	DCR|2DMG|1MDPS|1AART|2CDMG|1ASPD|2ZMB|1DUR	18ZMB|28DMG|3MDPS|48CDMG|5RCVC|6RCR|7AART|8BPWR|9ASPD|aDUR
39	23641 32411	   	206.33	DCR|2VULN|2DMG|1AART|2DUR|2ZMB	15ZMB|2aDMG|3TLV|45DUR|5BPWR|6AART|78VULN|9RCR
40	24263 13611	 * 	206.18	DCR|2MDPS|3VULN|2DMG|2ZMB	17ZMB|25LWND|3aMDPS|47DMG|678VULN|7BPWR|9RCR
41	23315 34234	 * 	206.02	DCR|2VULN|2DMG|2ASPD|1ZMB|1SELL	1ZMB|2aDMG|3LWND|4SELL|5FEWX|6RCR|7aASPD|8SPLJET|9aVULN|aBPWR
42	23313 34234	 * 	205.92	DCR|2VULN|2DMG|2ASPD|1ZMB|1SELL	1ZMB|2aDMG|3LWND|4SELL|5DUST|6RCR|7aASPD|8SPLJET|9aVULN|aBPWR
43	23413 34224	 * 	205.92	DCR|2VULN|2DMG|2ASPD|1ZMB|1SELL	1ZMB|2aDMG|3FEWX|4SELL|5DUST|6RCR|7aASPD|8SPLJET|9aVULN|aBPWR
44	23533 13415	 * 	205.88	DCR|3VULN|2AART|1DMG|1ZMB	1ZMB|2DMG|38aVULN|4CGEN|57AART|6LWND|9RCR
45	23553 32326	   	205.64	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB|1DUR	18ZMB|2DMG|39VULN|4CDMG|5DUST|6RCR|7DUR|aAART
46	23533 13411	   	205.63	DCR|2VULN|2AART|2DMG|1ZMB	1ZMB|2aDMG|38VULN|4CGEN|57AART|6LWND|9RCR
47	23362 32411	   	205.21	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|24aDMG|3LWND|5AME|6AART|78VULN|9RCR
48	23562 32361	   	205.11	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|24aDMG|37VULN|5MLV|6AART|8MBVNT|9RCR
49	23563 32361	   	205.01	DCR|3DMG|2VULN|1AART|1ZMB	1ZMB|24aDMG|37VULN|5ERES|6AART|8MBVNT|9RCR
50	23562 32114	   	204.64	DCR|2VULN|2DMG|1AART|1AAC|1ZMB|1DUR	1ZMB|24DMG|37VULN|5MLV|6AART|8DUR|9RCR|aAAC
51	23563 32114	   	204.54	DCR|2VULN|2DMG|1AART|1AAC|1ZMB|1DUR	1ZMB|24DMG|37VULN|5ERES|6AART|8DUR|9RCR|aAAC
52	23565 11212	 * 	204.44	DCR|1MDPS|2DMG|1VULN|1NUKE|1CDMG|1ZMB	1ZMB|24DMG|3VULN|5CDMG|6BEXP|7RCR|8NUKE|9ERES|aMDPS
53	61222 11515	 * 	204.30	DCR|3ASPD|1VULN|1AART|1CDMG|2ZMB	1AART|2LEGI|38ZMB|4CDMG|58LHND|6RCR|78aASPD|8BPWR|9VULN
54	61223 11515	   	204.10	DCR|3ASPD|1AART|1VULN|1CDMG|2ZMB	1AART|2LEGI|38ZMB|4CDMG|58DUST|6RCR|78aASPD|8BPWR|9VULN
55	61222 11512	 * 	203.83	DCR|2ASPD|3ZMB|1VULN|1AART|1CDMG	1AART|2LEGI|38aZMB|4CDMG|58LHND|6RCR|78ASPD|8BPWR|9VULN
56	61225 11512	   	203.83	DCR|2ASPD|3ZMB|1AART|1VULN|1CDMG	1AART|2LEGI|38aZMB|4CDMG|58LWND|6RCR|78ASPD|8BPWR|9VULN
57	61223 11512	   	203.63	DCR|2ASPD|3ZMB|1AART|1VULN|1CDMG	1AART|2LEGI|38aZMB|4CDMG|58DUST|6RCR|78ASPD|8BPWR|9VULN
58	23232 32415	   	203.35	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1ZMB|2DMG|35DUR|4CGEN|6AART|78aVULN|9RCR
59	23222 32415	   	203.25	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1ZMB|2DMG|35DUR|4TLV|6AART|78aVULN|9RCR
60	23232 32411	   	203.11	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|2aDMG|35DUR|4CGEN|6AART|78VULN|9RCR
61	23222 32411	   	203.01	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|2aDMG|35DUR|4TLV|6AART|78VULN|9RCR
62	23642 32411	   	203.01	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1ZMB|2aDMG|3TLV|45DUR|6AART|78VULN|9RCR
63	61226 11331	   	202.11	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2LEGI|3ZMB|4CDMG|5DUR|6RCR|7ASPD|8DMG|9BEXP|aVULN
64	61226 11343	   	202.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2LEGI|3ZMB|4CDMG|5DUR|6RCR|7ASPD|8DMG|9CGEN|aVULN
65	23144 32511	   	202.07	DCR|1MDPS|2DMG|1VULN|1AART|2CDMG|2ZMB	18ZMB|28DMG|3MDPS|48CDMG|5RCVC|6RCR|7AART|8BPWR|9VULN|aERES
66	61226 11311	   	202.01	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1AART|2LEGI|3ZMB|4CDMG|5DUR|6RCR|7ASPD|8DMG|9MBVNT|aVULN
67	42411 34221	 * 	201.88	DCR|2VULN|2ASPD|1AART|1DMG|1SELL	18BEXP|2SELL|38VULN|4aAME|5DMG|6RCR|78ASPD|8BPWR|9AART
68	52551 33231	 * 	201.72	DCR|2VULN|2ASPD|2CDMG|1DMG	123TLV|2aBPWR|4aCDMG|5DMG|6RCR|7BELT|8aVULN|9aASPD
69	23231 32415	   	201.43	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	15ZMB|2DMG|3DUR|45CGEN|5BPWR|6AART|78aVULN|9RCR
70	62325 16311	   	201.40	DCR|2VULN|2AART|2DMG	14AART|28LHND|3LEGI|58VULN|6RCR|78DMG|8BPWR|9CGEN|aAME
71	62325 16312	   	201.40	DCR|2VULN|2AART|2DMG	14AART|28LHND|3LEGI|58VULN|6RCR|78DMG|8BPWR|9CGEN|aRPLT
72	62325 16313	   	201.40	DCR|2VULN|2AART|2DMG	14AART|28LHND|3LEGI|58VULN|6RCR|78DMG|8BPWR|9CGEN|aFEWX
73	62325 16321	   	201.40	DCR|2VULN|2AART|2DMG	14AART|28LHND|3LEGI|58VULN|6RCR|78DMG|8BPWR|9LIT|aLWND
74	62325 16323	   	201.40	DCR|2VULN|2AART|2DMG	14AART|28LHND|3LEGI|58VULN|6RCR|78DMG|8BPWR|9aLIT
75	23221 32415	   	201.23	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	15ZMB|2DMG|3DUR|45TLV|5BPWR|6AART|78aVULN|9RCR
76	23231 32411	   	201.18	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	15ZMB|2aDMG|3DUR|45CGEN|5BPWR|6AART|78VULN|9RCR
77	23221 32411	   	200.98	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	15ZMB|2aDMG|3DUR|45TLV|5BPWR|6AART|78VULN|9RCR
78	62125 16331	   	199.96	DCR|2VULN|2AART|1DMG|1CDMG	14AART|2LHND|3LWND|5aVULN|6RCR|7DMG|8BEXP|9CDMG
79	62125 16231	   	199.86	DCR|2VULN|2AART|1DMG|1CDMG	14AART|2LHND|3LWND|5aVULN|6RCR|7DMG|8LEGI|9CDMG
80	61222 11563	   	199.68	DCR|2ASPD|1VULN|1AART|1CDMG|2ZMB|1DUR	1AART|2LEGI|38ZMB|4CDMG|58LHND|6RCR|78ASPD|8BPWR|9DUR|aVULN
81	62125 16111	 * 	199.64	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	14AART|2LHND|3LWND|5VULN|6RCR|7DMG|8LIT|9ASPD|aCDMG
82	23144 32363	   	199.63	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|1ZMB|1DUR	1ZMB|28DMG|3MDPS|4CDMG|5RCVC|6RCR|7AART|9DUR|aVULN
83	62325 16111	   	199.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	14AART|2LHND|3LEGI|5VULN|6RCR|7DMG|8LIT|9ASPD|aCDMG
84	61223 11563	   	199.48	DCR|2ASPD|1AART|1VULN|1CDMG|2ZMB|1DUR	1AART|2LEGI|38ZMB|4CDMG|58DUST|6RCR|78ASPD|8BPWR|9DUR|aVULN
85	61235 16311	   	198.78	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9CGEN|aMLV
86	61235 16312	   	198.78	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9CGEN|aRPLT
87	61235 16313	   	198.78	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9CGEN|aFEWX
88	61235 16321	   	198.78	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9LIT|aLWND
89	61235 16323	   	198.78	DCR|2VULN|2DMG|1AART|2ZMB	1AART|2LEGI|38ZMB|4TLV|58VULN|6RCR|78DMG|8BPWR|9aLIT
90	23144 32531	   	198.46	DCR|2DMG|1MDPS|1AART|2CDMG|1ASPD|2ZMB	18ZMB|28DMG|3MDPS|48CDMG|5RCVC|6RCR|7AART|8BPWR|9ASPD|aAME
91	23144 32533	   	198.36	DCR|2DMG|1MDPS|1AART|2CDMG|1ASPD|2ZMB	18ZMB|28DMG|3MDPS|48CDMG|5RCVC|6RCR|7AART|8BPWR|9ASPD|aERES
92	23533 62115	   	198.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DMG|37aVULN|46CGEN|5AART|8DUR|9RCR
93	23542 32115	   	198.11	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DMG|37aVULN|4DMSP|5MLV|6AART|8DUR|9RCR
94	23543 32115	   	198.01	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DMG|37aVULN|4DMSP|5ERES|6AART|8DUR|9RCR
95	23215 32135	   	197.98	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1ZMB|2DMG|3DUR|4SELL|5FEWX|6RCR|79AART|8CDMG|aVULN
96	23522 32115	   	197.91	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DMG|37aVULN|45TLV|6AART|8DUR|9RCR
97	23522 33415	   	197.91	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DMG|38aVULN|45TLV|6AART|7DUR|9RCR
98	23213 32135	   	197.88	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1SELL	1ZMB|2DMG|3DUR|4SELL|5DUST|6RCR|79AART|8CDMG|aVULN
99	23533 62111	   	197.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|37VULN|46CGEN|5AART|8DUR|9RCR
100	23533 63411	   	197.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|38VULN|46CGEN|5AART|7DUR|9RCR
101	23542 32111	   	197.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|37VULN|4DMSP|5MLV|6AART|8DUR|9RCR
102	23542 33411	   	197.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|38VULN|4DMSP|5MLV|6AART|7DUR|9RCR
103	23562 32112	   	197.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|37VULN|5MLV|6AART|8DUR|9RCR|aCGEN
104	23562 33412	   	197.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|38VULN|5MLV|6AART|7DUR|9RCR|aCGEN
105	23562 31115	   	197.87	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|3aVULN|5MLV|6AART|7RCVC|8DUR|9RCR
106	23543 32111	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|37VULN|4DMSP|5ERES|6AART|8DUR|9RCR
107	23543 33411	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|38VULN|4DMSP|5ERES|6AART|7DUR|9RCR
108	23562 32113	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|37VULN|5MLV|6AART|8DUR|9RCR|aDUST
109	23562 32116	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1MSE	1ZMB|24DMG|37VULN|5MLV|6AART|8DUR|9RCR|aMSE
110	23562 33413	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|38VULN|5MLV|6AART|7DUR|9RCR|aDUST
111	23563 31115	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|3aVULN|5ERES|6AART|7RCVC|8DUR|9RCR
112	23563 32112	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|37VULN|5ERES|6AART|8DUR|9RCR|aCGEN
113	23563 33412	   	197.77	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|38VULN|5ERES|6AART|7DUR|9RCR|aCGEN
114	23522 32111	   	197.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|37VULN|45TLV|6AART|8DUR|9RCR
115	23522 33411	   	197.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2aDMG|38VULN|45TLV|6AART|7DUR|9RCR
116	23563 32113	   	197.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|37VULN|5ERES|6AART|8DUR|9RCR|aDUST
117	23563 32116	   	197.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR|1MSE	1ZMB|24DMG|37VULN|5ERES|6AART|8DUR|9RCR|aMSE
118	23563 33413	   	197.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|24DMG|38VULN|5ERES|6AART|7DUR|9RCR|aDUST
119	26562 32111	   	197.67	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|25TLV|37VULN|4aDMG|6AART|8DUR|9RCR
120	23555 31221	   	197.64	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	18ZMB|2DMG|38VULN|4CDMG|5FEWX|6RCR|78MLV|8BPWR|9AART|aAME
121	23555 31222	   	197.64	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	18ZMB|2DMG|38VULN|4CDMG|5FEWX|6RCR|78MLV|8BPWR|9AART|aRCVC
122	23513 34326	 * 	197.59	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB|1SELL	1ZMB|2DMG|39VULN|4SELL|5DUST|6RCR|7ASPD|8TLV|aAART
123	23553 31221	   	197.54	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	18ZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|78MLV|8BPWR|9AART|aAME
124	23553 31222	   	197.54	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	18ZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|78MLV|8BPWR|9AART|aRCVC
125	23553 31224	   	197.54	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	18ZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|78MLV|8BPWR|9AART|aFEWX
126	23553 35221	   	197.54	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	18ZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|78aAME|8BPWR|9AART
127	23553 31423	   	197.34	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	1aZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|7MLV|9AART
128	25553 31311	 * 	196.67	DCR|3VULN|3CDMG|3ZMB	19aZMB|28MLV|39aVULN|49aCDMG|5RCVC|6LEGI|7RCR|9aBPWR
129	61222 11531	 * 	196.60	DCR|3ASPD|2AART|1CDMG|2ZMB	1aAART|2LEGI|38ZMB|4CDMG|58LHND|6RCR|789ASPD|8BPWR
130	61225 11531	   	196.60	DCR|3ASPD|2AART|1CDMG|2ZMB	1aAART|2LEGI|38ZMB|4CDMG|58LWND|6RCR|789ASPD|8BPWR
131	61223 11531	   	196.40	DCR|3ASPD|2AART|1CDMG|2ZMB	1aAART|2LEGI|38ZMB|4CDMG|58DUST|6RCR|789ASPD|8BPWR
132	23362 32414	   	196.33	DCR|2VULN|2DMG|1AART|1AAC|1ZMB	1ZMB|24DMG|3LWND|5AME|6AART|78VULN|9RCR|aAAC
133	61222 11521	 * 	196.13	DCR|2AART|2ASPD|3ZMB|1CDMG	1aAART|2LEGI|389ZMB|4CDMG|58LHND|6RCR|78ASPD|8BPWR
134	61225 11521	   	196.13	DCR|2AART|2ASPD|3ZMB|1CDMG	1aAART|2LEGI|389ZMB|4CDMG|58LWND|6RCR|78ASPD|8BPWR
135	61223 11521	   	195.93	DCR|2AART|2ASPD|3ZMB|1CDMG	1aAART|2LEGI|389ZMB|4CDMG|58DUST|6RCR|78ASPD|8BPWR
136	23144 32332	   	195.92	DCR|2DMG|1MDPS|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|28DMG|3MDPS|4CDMG|5RCVC|6RCR|7AART|9ASPD|aDUR
137	34321 32652	   	195.63	DCR|3VULN|2DMG|1MDPS|1CDMG	1aLHND|2MDPS|34aVULN|57FEWX|6RCR|8CDMG|9aDMG|aBPWR
138	61252 11513	   	195.26	DCR|2VULN|2ASPD|1AART|2ZMB|1SELL	1AART|2LEGI|38ZMB|4SELL|58LHND|6RCR|78ASPD|8BPWR|9aVULN
139	61253 11513	   	195.06	DCR|2VULN|2ASPD|1AART|2ZMB|1SELL	1AART|2LEGI|38ZMB|4SELL|58DUST|6RCR|78ASPD|8BPWR|9aVULN
140	23533 13414	   	194.82	DCR|2VULN|2AART|1DMG|1AAC|1ZMB	1ZMB|2DMG|38VULN|4CGEN|57AART|6LWND|9RCR|aAAC
141	23144 32312	   	194.54	DCR|2DMG|1MDPS|1VULN|1AART|1CDMG|2ZMB	1aZMB|28DMG|3MDPS|4CDMG|5RCVC|6RCR|7AART|9VULN
142	23553 31523	   	194.54	DCR|2DMG|1VULN|1AART|1CDMG|2ZMB	1aZMB|28DMG|3VULN|4CDMG|5DUST|6RCR|7MLV|9AART
143	23553 31236	   	194.52	DCR|2VULN|3ZMB|1DMG|1CDMG|1DUR	18aZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|78MLV|8BPWR|9DUR
144	23553 31421	   	194.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|7MLV|9AART|aAME
145	23553 31422	   	194.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2DMG|38VULN|4CDMG|5DUST|6RCR|7MLV|9AART|aRCVC
146	23553 33126	   	194.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1ZMB|2DMG|39VULN|4CDMG|5DUST|6RCR|7RCVC|8FEWX|aAART
147	61235 16231	   	194.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2LEGI|3ZMB|4TLV|5aVULN|6RCR|7DMG|8LHND|9CDMG
148	23215 34412	 * 	193.94	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR|1SELL	1ZMB|2aDMG|3DUR|4SELL|5FEWX|6RCR|7aASPD|8VULN|9aBEXP|aBPWR
149	23513 31264	   	193.90	DCR|3DMG|1VULN|1AART|2ZMB|1SELL	18ZMB|289DMG|3VULN|4SELL|5DUST|6RCR|78MLV|8BPWR|aAART
150	23213 34412	 * 	193.84	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR|1SELL	1ZMB|2aDMG|3DUR|4SELL|5DUST|6RCR|7aASPD|8VULN|9aBEXP|aBPWR
151	23213 34442	 * 	193.84	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR|1SELL	1ZMB|2aDMG|3DUR|4SELL|5DUST|6RCR|7aASPD|8VULN|9aLWND|aBPWR
152	61222 11331	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2LEGI|3ZMB|4CDMG|5LHND|6RCR|7ASPD|8DMG|9BEXP|aVULN
153	61222 11343	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2LEGI|3ZMB|4CDMG|5LHND|6RCR|7ASPD|8DMG|9CGEN|aVULN
154	61225 11331	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1AART|2LEGI|3ZMB|4CDMG|5LWND|6RCR|7ASPD|8DMG|9BEXP|aVULN
