0	Index      	 *	Score 	Summary	Detail	
1	24364 12322	 * 	219.21	DCR|4VULN|2DMG|1MDPS|1AART	178aVULN|28LHND|38aLIT|4AART|5MDPS|6RCR|8aBPWR|9aDMG
19	24525 33232	 * 	204.11	DCR|4VULN|2ASPD|1CDMG	179aVULN|27LHND|3MBVNT|4FEWX|5CDMG|67ASPD|7BPWR|8RCR
20	24364 12122	   	203.16	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2LHND|38aLIT|4AART|5MDPS|6RCR|9aDMG|aBPWR
21	24364 12222	   	203.16	DCR|3VULN|2DMG|1MDPS|1AART	17aVULN|2LHND|3aLIT|4AART|5MDPS|6RCR|8DMSP|9aDMG|aBPWR
22	25311 64111	   	202.91	DCR|3VULN|2ASPD|1DMG	18aVULN|2LWND|39ASPD|4RMIN|5MLV|6RCR|7DMG
23	22113 64111	   	202.81	DCR|3VULN|2ASPD|1DMG	18aVULN|2AME|3DUST|4RMIN|59ASPD|6RCR|7DMG
24	22313 64111	   	202.81	DCR|3VULN|2ASPD|1DMG	18aVULN|2AME|3LEGI|4RMIN|59ASPD|6RCR|7DMG
25	25331 13315	 * 	202.71	ACR|1SPLARM|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	14VULN|2LWND|3ASPD|5RCR|6AAC|7AART|8SPLARM|9DMG|aCDMG
26	54532 12313	 * 	201.85	ACR|4VULN|1SPLARM|1AART|1DMG|1DUR	1RCR|2DUR|356aVULN|4AART|7LWND|8SPLARM|9DMG
27	32563 32114	 * 	201.81	DCR|2VULN|2ASPD|1AART|2DUR|2RMIN	1aMLV|23ASPD|4AART|58RMIN|6aVULN|7RCR|9aDUR|aBPWR
28	32163 64132	   	200.40	DCR|3VULN|1ASPD|1DMG|1ZMB|1DUR	1MLV|2ASPD|3LHND|489VULN|5ZMB|6RCR|7DMG|aDUR
29	23233 24344	 * 	199.82	DCR|3VULN|1ASPD|1DMG|1NUKE	148VULN|2FEWX|3BELT|5BEXP|6ASPD|7RCR|9DMG|aNUKE
30	24361 21622	   	199.62	DCR|3VULN|2CDMG|1AART|1ZMB	189VULN|29LHND|3LIT|4AART|5MLV|6RCR|79CDMG|9BPWR|aZMB
31	22113 64632	   	198.93	DCR|3VULN|1ASPD|1DMG|1ZMB	19aVULN|2AME|3DUST|4RMIN|5ASPD|6RCR|7DMG|8ZMB
32	22112 65621	   	198.80	DCR|4VULN|2ASPD	179aVULN|2aAME|3DUST|4RMIN|5LIT|6RCR|8aASPD|aBPWR
33	22312 65621	   	198.80	DCR|4VULN|2ASPD	179aVULN|2AME|3LEGI|4RMIN|5aLIT|6RCR|8aASPD|aBPWR
34	22313 64336	   	198.73	DCR|2VULN|2ASPD|1DMG|2ZMB	1aVULN|2AME|3LEGI|4RMIN|5aASPD|6RCR|7DMG|8LWND|9aZMB|aBPWR
35	22113 64134	 * 	197.96	DCR|3VULN|1MDPS|1ASPD|1DMG	189VULN|2AME|3DUST|4RMIN|5ASPD|6RCR|7DMG|aMDPS
36	22313 64134	   	197.96	DCR|3VULN|1MDPS|1ASPD|1DMG	189VULN|2AME|3LEGI|4RMIN|5ASPD|6RCR|7DMG|aMDPS
37	23523 15154	 * 	197.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18VULN|24FEWX|3MBVNT|5ASPD|6RCR|7DMG|9AART|aZMB
38	24361 21222	   	197.86	DCR|2VULN|2AART|2CDMG|1ZMB	19VULN|29LHND|3LIT|48AART|5MLV|6RCR|79CDMG|9BPWR|aZMB
39	24365 21222	   	197.86	DCR|2VULN|2AART|2CDMG|1ZMB	19VULN|29LHND|3LIT|48AART|5AME|6RCR|79CDMG|9BPWR|aZMB
40	25352 21454	 * 	197.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	17VULN|26LWND|3ASPD|4AART|5MBVNT|8DMG|9RCR|aCDMG
41	23123 64131	   	197.60	DCR|4VULN|1ASPD|1DMG	189aVULN|24FEWX|3LHND|5ASPD|6RCR|7DMG
42	25223 64131	   	197.60	DCR|4VULN|1ASPD|1DMG	189aVULN|2LWND|34FEWX|5ASPD|6RCR|7DMG
43	25332 64133	   	197.60	DCR|4VULN|1ASPD|1DMG	1489VULN|2LWND|3ASPD|5FEWX|6RCR|7DMG|aBEXP
44	25332 64331	   	197.60	DCR|4VULN|1ASPD|1DMG	149aVULN|28LWND|3ASPD|5FEWX|6RCR|7DMG
45	12161 64131	   	197.50	DCR|4VULN|1ASPD|1DMG	1ERES|2ASPD|3LHND|489aVULN|5MLV|6RCR|7DMG
46	23523 15131	   	197.50	DCR|4VULN|1ASPD|1DMG	189aVULN|24FEWX|3MBVNT|5ASPD|6RCR|7DMG
47	23573 15131	   	197.50	DCR|4VULN|1ASPD|1DMG	189aVULN|2FEWX|3MBVNT|4DMSP|5ASPD|6RCR|7DMG
48	24123 64131	   	197.50	DCR|4VULN|1DMG|1ASPD	189aVULN|23LHND|4DUST|5ASPD|6RCR|7DMG
49	22363 64131	   	197.40	DCR|4VULN|1DMG|1ASPD	189aVULN|2AME|3LEGI|4ERES|5ASPD|6RCR|7DMG
50	25525 13442	 * 	197.06	DCR|3VULN|2DMG|2CDMG	17aVULN|27LWND|3MBVNT|4FEWX|58CDMG|67DMG|7BPWR|9RCR
51	25311 64132	   	197.00	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|2LWND|3ASPD|4RMIN|5MLV|6RCR|7DMG|aDUR
52	22113 64132	   	196.90	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|2AME|3DUST|4RMIN|5ASPD|6RCR|7DMG|aDUR
53	22313 64132	   	196.90	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|2AME|3LEGI|4RMIN|5ASPD|6RCR|7DMG|aDUR
54	32163 64112	   	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1MLV|29ASPD|3LHND|48VULN|5ZMB|6RCR|7DMG|aDUR
55	32163 64123	   	196.78	DCR|2VULN|2ASPD|1DMG|1ZMB|1DUR	1MLV|2aASPD|3LHND|48VULN|5ZMB|6RCR|7DMG|9DUR
56	32214 43511	 * 	196.71	DCR|1SPLARM|2VULN|2ASPD|3ZMB	1MLV|2aASPD|3CGEN|4TLV|58aZMB|6SPLARM|7RCR|9aVULN|aBPWR
57	25311 61226	   	196.60	DCR|3VULN|2ASPD|2DUR	19aVULN|2LWND|3aASPD|4RMIN|5MLV|6RCR|7LHND|8aDUR|aBPWR
58	54532 12312	   	196.34	ACR|3VULN|1SPLARM|1AART|1DMG|1ZMB|1DUR	1RCR|2DUR|356VULN|4AART|7LWND|8SPLARM|9DMG|aZMB
59	25332 24114	   	196.28	DCR|3VULN|2ASPD|1DMG|1DUR	148VULN|2LWND|39ASPD|5FEWX|6DUR|7DMG|aRCR
60	35461 32232	   	196.27	DCR|4VULN|2ASPD|1DUR	137MLV|2DUR|4RPLT|57ASPD|679aVULN|7BPWR|8RCR
61	23123 64111	   	195.97	DCR|3VULN|2ASPD|1DMG	18aVULN|24FEWX|3LHND|59ASPD|6RCR|7DMG
62	25223 64111	   	195.97	DCR|3VULN|2ASPD|1DMG	18aVULN|2LWND|34FEWX|59ASPD|6RCR|7DMG
63	25332 64113	   	195.97	DCR|3VULN|2ASPD|1DMG	148VULN|2LWND|39ASPD|5FEWX|6RCR|7DMG|aBEXP
64	25332 64311	   	195.97	DCR|3VULN|2ASPD|1DMG	14aVULN|28LWND|39ASPD|5FEWX|6RCR|7DMG
65	12161 64111	   	195.87	DCR|3VULN|2ASPD|1DMG	1ERES|29ASPD|3LHND|48aVULN|5MLV|6RCR|7DMG
66	23523 15111	   	195.87	DCR|3VULN|2ASPD|1DMG	18aVULN|24FEWX|3MBVNT|59ASPD|6RCR|7DMG
67	23573 15111	   	195.87	DCR|3VULN|2ASPD|1DMG	18aVULN|2FEWX|3MBVNT|4DMSP|59ASPD|6RCR|7DMG
68	24123 64111	   	195.87	DCR|3VULN|2ASPD|1DMG	18aVULN|23LHND|4DUST|59ASPD|6RCR|7DMG
69	22363 64111	   	195.77	DCR|3VULN|2ASPD|1DMG	18aVULN|2AME|3LEGI|4ERES|59ASPD|6RCR|7DMG
70	22242 12626	 * 	195.44	DCR|3VULN|2DMG|1ASPD	19aVULN|2AME|3aSPLJET|4ERES|5ASPD|6BELT|7aDMG|8RCR|aBPWR
71	21142 12626	   	195.34	DCR|3VULN|2DMG|1ASPD	19aVULN|2MSLREG|3aAME|4ERES|5ASPD|6BELT|7aDMG|8RCR|aBPWR
72	23423 64121	   	195.31	DCR|3VULN|1ASPD|1DMG|2DUR	18aVULN|24FEWX|39DUR|5ASPD|6RCR|7DMG
73	21362 12626	   	195.24	DCR|3VULN|2DMG|1ASPD	19aVULN|2MSLREG|3aTLV|4AME|5ASPD|6BELT|7aDMG|8RCR|aBPWR
74	21342 12626	   	195.14	DCR|3VULN|2DMG|1ASPD	19aVULN|2MSLREG|3aTLV|4ERES|5ASPD|6BELT|7aDMG|8RCR|aBPWR
75	24364 12312	   	195.11	DCR|4VULN|1MDPS|1AART|2ZMB	178aVULN|28LHND|38aLIT|4AART|5MDPS|6RCR|8aBPWR|9aZMB
76	32563 32423	   	195.10	DCR|2VULN|2ASPD|1AART|1DUR	1MLV|23ASPD|4AART|5RMIN|6aVULN|7RCR|8DUR|9RPLT
77	22113 64141	   	194.54	DCR|2VULN|1AART|1ASPD|1DMG	18VULN|2AME|3DUST|4RMIN|5ASPD|6RCR|7DMG|9AART|aLHND
78	22113 64143	   	194.54	DCR|2VULN|1AART|1ASPD|1DMG	18VULN|2AME|3DUST|4RMIN|5ASPD|6RCR|7DMG|9AART|aCGEN
79	26611 61123	 * 	194.51	DCR|2VULN|2DMG|1ASPD|1CDMG	16VULN|2CGEN|3aDMG|4CDMG|5LIT|7ASPD|8RCR|9RCVC
80	22113 64142	   	194.44	DCR|2VULN|1AART|1ASPD|1DMG	18VULN|2AME|3aDUST|4RMIN|5ASPD|6RCR|7DMG|9AART
81	22113 64114	 * 	194.34	DCR|2VULN|1MDPS|2ASPD|1DMG	18VULN|2AME|3DUST|4RMIN|59ASPD|6RCR|7DMG|aMDPS
82	22313 64114	   	194.34	DCR|2VULN|1MDPS|2ASPD|1DMG	18VULN|2AME|3LEGI|4RMIN|59ASPD|6RCR|7DMG|aMDPS
83	21253 52152	 * 	193.85	DCR|2VULN|2AART|1MDPS|1ASPD|1ZMB	1aVULN|2MSLREG|3BEXP|49AART|5MDPS|6RCR|7ZMB|8ASPD
84	12223 44143	 * 	193.83	DCR|2VULN|2DMG|2ASPD	1ERES|2aASPD|3CGEN|4BELT|5LHND|6aVULN|7RCR|8LIT|9aDMG|aBPWR
85	23523 14633	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|24FEWX|3MBVNT|5ASPD|6RCR|7CDMG|8AART|9ZMB|aDMG
86	23573 14633	   	193.80	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1VULN|2FEWX|3MBVNT|4DMSP|5ASPD|6RCR|7CDMG|8AART|9ZMB|aDMG
87	25352 21252	 * 	193.79	DCR|3VULN|2ASPD|1AART	17aVULN|26LWND|3aASPD|4AART|5MBVNT|8aCGEN|9RCR|aBPWR
88	25352 21352	   	193.79	DCR|3VULN|2ASPD|1AART	17aVULN|26LWND|3aASPD|4AART|5MBVNT|8aAME|9RCR|aBPWR
89	25332 66332	   	193.79	DCR|4VULN|1ASPD|1CDMG	149aVULN|2LWND|3ASPD|5FEWX|6RCR|7BEXP|8CDMG
90	12552 11222	 * 	193.59	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1ERES|23ASPD|4CANARM|5LWND|6CDMG|7DMG|8RCR|9AART|aVULN
91	51314 14332	 * 	193.58	ACR|3VULN|2DMG|1CDMG|2DUR|1SELL	1RCR|2RMIN|38DUR|4DUST|58aVULN|68DMG|7SELL|8BPWR|9CDMG
92	26612 12321	   	193.49	DCR|3VULN|2DMG|1CDMG|1SELL	19aVULN|2CGEN|3aDMG|4CDMG|5SELL|6LIT|7RCR|8aLWND|aBPWR
93	25311 64112	   	193.39	DCR|2VULN|2ASPD|1DMG|1DUR	18VULN|2LWND|39ASPD|4RMIN|5MLV|6RCR|7DMG|aDUR
94	25311 64123	   	193.39	DCR|2VULN|2ASPD|1DMG|1DUR	18VULN|2LWND|3aASPD|4RMIN|5MLV|6RCR|7DMG|9DUR
95	23423 26143	 * 	193.35	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	18VULN|248FEWX|36DUR|5ASPD|78CDMG|8BPWR|9DMG|aRCR
96	22113 64112	   	193.29	DCR|2VULN|2ASPD|1DMG|1DUR	18VULN|2AME|3DUST|4RMIN|59ASPD|6RCR|7DMG|aDUR
97	22113 64123	   	193.29	DCR|2VULN|2ASPD|1DMG|1DUR	18VULN|2AME|3DUST|4RMIN|5aASPD|6RCR|7DMG|9DUR
98	22313 64112	   	193.29	DCR|2VULN|2ASPD|1DMG|1DUR	18VULN|2AME|3LEGI|4RMIN|59ASPD|6RCR|7DMG|aDUR
99	22313 64123	   	193.29	DCR|2VULN|2ASPD|1DMG|1DUR	18VULN|2AME|3LEGI|4RMIN|5aASPD|6RCR|7DMG|9DUR
100	26612 12621	   	193.29	DCR|3VULN|2DMG|1CDMG|1SELL	19aVULN|2CGEN|3aDMG|4CDMG|5SELL|6LIT|7RCR|8aDUST|aBPWR
101	22242 12616	 * 	193.26	DCR|3DMG|2VULN|1ASPD	1aVULN|2AME|3aSPLJET|4ERES|5ASPD|6BELT|79aDMG|8RCR|aBPWR
102	21142 12616	   	193.16	DCR|3DMG|2VULN|1ASPD	1aVULN|2MSLREG|3aAME|4ERES|5ASPD|6BELT|79aDMG|8RCR|aBPWR
103	25313 34421	   	193.10	DCR|3VULN|2ASPD|1CDMG	178VULN|26LWND|35ASPD|4RMIN|9RCR|aCDMG
104	21362 12616	   	193.06	DCR|3DMG|2VULN|1ASPD	1aVULN|2MSLREG|3aTLV|4AME|5ASPD|6BELT|79aDMG|8RCR|aBPWR
105	21342 12616	   	192.96	DCR|3DMG|2VULN|1ASPD	1aVULN|2MSLREG|3aTLV|4ERES|5ASPD|6BELT|79aDMG|8RCR|aBPWR
106	35113 64132	   	192.80	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1MLV|2DUR|3DUST|4RMIN|5ASPD|6RCR|7DMG|8VULN|9ZMB|aAART
107	15113 64132	   	192.70	DCR|1VULN|1AART|1ASPD|1DMG|1ZMB|1DUR	1ERES|2DUR|3DUST|4RMIN|5ASPD|6RCR|7DMG|8VULN|9ZMB|aAART
108	22113 63142	   	192.51	DCR|3VULN|1AART|1ASPD	18aVULN|2aAME|3DUST|4RMIN|5ASPD|6RCR|7aCGEN|9AART|aBPWR
109	23523 14613	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1aVULN|24FEWX|3MBVNT|5ASPD|6RCR|7CDMG|8AART|9DUR
110	23573 14613	   	192.09	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1aVULN|2FEWX|3MBVNT|4DMSP|5ASPD|6RCR|7CDMG|8AART|9DUR
111	25141 62112	   	192.09	DCR|3VULN|1ASPD|1DMG|1ZMB	18aVULN|25LWND|3LHND|4DMG|6RCR|7ZMB|9ASPD
112	32163 64133	   	192.09	DCR|3VULN|1ASPD|1DMG|1ZMB	1MLV|2ASPD|3LHND|489VULN|5ZMB|6RCR|7DMG|aFEWX
113	25352 23152	 * 	192.03	DCR|2VULN|2AART|2ASPD	1aVULN|26LWND|3aASPD|48AART|5MBVNT|7aAME|9RCR|aBPWR
114	22423 64112	   	191.99	DCR|3VULN|1ASPD|1DMG|1ZMB	18aVULN|2AME|3MLV|4DUST|5ZMB|6RCR|7DMG|9ASPD
115	12161 65323	 * 	191.96	DCR|4VULN|1SPLARM|1ASPD	1ERES|2ASPD|3LHND|489aVULN|5MLV|6RCR|7SPLARM
116	25332 61632	   	191.80	DCR|5VULN|1ASPD	1489aVULN|2LWND|3ASPD|5FEWX|6RCR|7LHND
117	25332 63131	   	191.80	DCR|5VULN|1ASPD	1489aVULN|2LWND|3ASPD|5FEWX|6RCR|7CGEN
118	54322 14121	 * 	191.76	ACR|5VULN|1AART|1ZMB|1DUR	1RCR|2DUR|3DLOT|4567aVULN|8ZMB|9AART
119	25332 63111	   	191.76	DCR|4VULN|2ASPD	148aVULN|2LWND|39ASPD|5FEWX|6RCR|7CGEN
120	24361 21226	   	191.69	DCR|2VULN|2AART|2CDMG	19VULN|29LHND|3LIT|48AART|5MLV|6RCR|79CDMG|9BPWR|aRMIN
121	24362 21226	   	191.69	DCR|2VULN|2AART|2CDMG	19VULN|29LHND|3LIT|48AART|5CGEN|6RCR|79CDMG|9BPWR|aRMIN
122	23423 64112	   	191.69	DCR|2VULN|2ASPD|1DMG|2DUR	18VULN|24FEWX|3aDUR|59ASPD|6RCR|7DMG
123	24525 13222	   	191.63	DCR|3VULN|2DMG|1CDMG	17aVULN|27LHND|3MBVNT|49FEWX|5CDMG|67DMG|7BPWR|8RCR
124	24525 13231	   	191.63	DCR|3VULN|2DMG|1CDMG	179VULN|27LHND|3MBVNT|4aFEWX|5CDMG|67DMG|7BPWR|8RCR
125	24525 13233	   	191.63	DCR|3VULN|2DMG|1CDMG	179VULN|27LHND|3MBVNT|4FEWX|5CDMG|67DMG|7BPWR|8RCR|aMLV
126	24525 13234	   	191.63	DCR|3VULN|2DMG|1CDMG	179VULN|27LHND|3MBVNT|4FEWX|5CDMG|67DMG|7BPWR|8RCR|aLIT
127	24525 13244	   	191.63	DCR|3VULN|2DMG|1CDMG	17aVULN|27LHND|3MBVNT|4FEWX|5CDMG|67DMG|7BPWR|8RCR|9BEXP
128	24545 13213	   	191.53	DCR|3VULN|2DMG|1CDMG	17aVULN|27LHND|3MBVNT|4DUST|5CDMG|67DMG|7BPWR|8RCR|9LWND
129	24545 13224	   	191.53	DCR|3VULN|2DMG|1CDMG	17aVULN|27LHND|3MBVNT|4DUST|5CDMG|67DMG|7BPWR|8RCR|9FEWX
130	23556 14232	   	191.43	DCR|3VULN|2DMG|1CDMG	19aVULN|2FEWX|3MBVNT|46DMG|5LHND|7CDMG|8RCR
131	24526 14232	   	191.43	DCR|3VULN|2DMG|1CDMG	19aVULN|2LHND|3MBVNT|4FEWX|56DMG|7CDMG|8RCR
132	23135 16134	   	191.34	DCR|3VULN|2DMG|1ASPD	189VULN|2FEWX|3LHND|4BEXP|56DMG|7ASPD|aRCR
133	23146 43222	   	191.33	DCR|4VULN|2DMG	167aVULN|29FEWX|37LHND|47DMG|5RPLT|7BPWR|8RCR
134	23146 43231	   	191.33	DCR|4VULN|2DMG	1679VULN|2aFEWX|37LHND|47DMG|5RPLT|7BPWR|8RCR
135	23146 43233	   	191.33	DCR|4VULN|2DMG	1679VULN|2FEWX|37LHND|47DMG|5RPLT|7BPWR|8RCR|aMLV
136	54533 12313	   	191.25	ACR|3VULN|1SPLARM|1AART|1DMG|2DUR	1RCR|25DUR|36aVULN|4AART|7LWND|8SPLARM|9DMG
137	23123 64134	   	191.12	DCR|3VULN|1MDPS|1ASPD|1DMG	189VULN|24FEWX|3LHND|5ASPD|6RCR|7DMG|aMDPS
138	23523 15135	   	191.02	DCR|3VULN|1MDPS|1ASPD|1DMG	189VULN|24FEWX|3MBVNT|5ASPD|6RCR|7DMG|aMDPS
139	32563 12413	   	190.87	DCR|2ASPD|1VULN|1AART|1CDMG|1DUR	1MLV|23ASPD|4AART|5RMIN|6DUST|7RCR|8DUR|9VULN|aCDMG
140	12265 25232	 * 	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1ERES|25ASPD|35CGEN|4RPLT|5BPWR|6DMG|7aVULN|8RCR|9CDMG
141	32261 25232	   	190.39	DCR|2VULN|2ASPD|1DMG|1CDMG	1MLV|25ASPD|3CGEN|4RPLT|6DMG|7aVULN|8RCR|9CDMG
142	12261 25232	   	190.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1ERES|25ASPD|3CGEN|4RPLT|6DMG|7aVULN|8RCR|9CDMG
143	23233 24364	   	190.09	DCR|3VULN|1ASPD|1DMG|1ZMB	148VULN|2FEWX|3BELT|5BEXP|6ASPD|7RCR|9ZMB|aDMG
144	23123 64132	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|24FEWX|3LHND|5ASPD|6RCR|7DMG|aDUR
145	25223 64132	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|2LWND|34FEWX|5ASPD|6RCR|7DMG|aDUR
146	25332 64121	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	148VULN|2LWND|3ASPD|5FEWX|6RCR|7DMG|9DUR|aRPLT
147	25332 64122	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	148VULN|2LWND|3ASPD|5FEWX|6RCR|7DMG|9DUR|aLIT
148	25332 64332	   	190.06	DCR|3VULN|1ASPD|1DMG|1DUR	149VULN|28LWND|3ASPD|5FEWX|6RCR|7DMG|aDUR
149	54532 22232	   	189.96	ACR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1RCR|2DUR|35VULN|4AART|6BEXP|7LWND|8DMG|9ASPD|aCDMG
150	24361 21632	   	189.96	DCR|3VULN|1AART|1CDMG|1DUR	18aVULN|2LHND|3LIT|4AART|5MLV|6RCR|7CDMG|9DUR
151	23523 15132	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|24FEWX|3MBVNT|5ASPD|6RCR|7DMG|aDUR
152	23573 15132	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|2FEWX|3MBVNT|4DMSP|5ASPD|6RCR|7DMG|aDUR
153	24123 64132	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	189VULN|23LHND|4DUST|5ASPD|6RCR|7DMG|aDUR
154	32223 44321	   	189.96	DCR|4VULN|2ASPD	19MLV|29ASPD|3CGEN|4BELT|5LHND|689aVULN|7RCR|9BPWR
155	22313 64161	   	189.86	DCR|3VULN|1ASPD|1DMG|2RMIN	18aVULN|2AME|3LEGI|49RMIN|5ASPD|6RCR|7DMG
156	25331 24111	 * 	189.83	ACR|4VULN|2ASPD|1DMG|1DUR	148aVULN|2LWND|39ASPD|5RCR|6DUR|7DMG
157	12223 44321	   	189.76	DCR|4VULN|2ASPD	19ERES|29ASPD|3CGEN|4BELT|5LHND|689aVULN|7RCR|9BPWR
158	24433 63111	   	189.46	DCR|3VULN|2ASPD|2DUR	18aVULN|2LHND|34DUR|59ASPD|6RCR|7CGEN
159	25433 63111	   	189.46	DCR|3VULN|2ASPD|2DUR	18aVULN|2LWND|34DUR|59ASPD|6RCR|7CGEN
160	24662 11313	   	189.45	ACR|4VULN|1SPLARM|1AART|1DMG	156aVULN|2LHND|3RCR|4AART|7DUST|8SPLARM|9DMG
161	25662 11313	   	189.45	ACR|4VULN|1SPLARM|1AART|1DMG	156aVULN|2LWND|3RCR|4AART|7DUST|8SPLARM|9DMG
162	24361 21621	   	189.29	DCR|3VULN|2CDMG|1AART	189VULN|29LHND|3LIT|4AART|5MLV|6RCR|79CDMG|9BPWR|aCGEN
163	24362 21621	   	189.29	DCR|3VULN|2CDMG|1AART	189VULN|29LHND|3LIT|4AART|5aCGEN|6RCR|79CDMG|9BPWR
