0	Index      	 *	Score 	Summary	Detail	
1	63213 32262	 * 	208.75	DCR|3DMG|2VULN|3ZMB|2ASPD|1CDMG	158DMG|28VULN|3MLV|459ZMB|58BPWR|68ASPD|7RCR|aCDMG
25	32623 54122	   	190.83	DCR|4VULN|2DMG|2CDMG|1ZMB	1589VULN|2LHND|39DMG|4ERES|6ZMB|79CDMG|9BPWR|aRCR
26	32633 24122	   	190.83	DCR|4VULN|2DMG|2CDMG|1ZMB	1589VULN|2LHND|39DMG|4ZMB|6ERES|79CDMG|9BPWR|aRCR
27	32633 64122	   	190.83	DCR|4VULN|2DMG|2CDMG|1ZMB	1589VULN|2LHND|39DMG|4ZMB|6TLV|79CDMG|9BPWR|aRCR
28	32652 35312	   	189.27	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	15VULN|2LHND|3aDMG|4BEXP|6RCR|7AART|8CDMG|9ZMB
29	61135 34122	 * 	189.25	ACR|3VULN|2DMG|2CDMG|1ZMB	19DMG|2RCR|3MLV|46RMIN|589VULN|79CDMG|9BPWR|aZMB
30	61335 34122	   	189.25	ACR|3VULN|2DMG|2CDMG|1ZMB	19DMG|2RCR|3CGEN|46RMIN|589VULN|79CDMG|9BPWR|aZMB
31	61135 21142	 * 	188.79	ACR|3VULN|3DMG|2ZMB	17aDMG|2RCR|3aMLV|4RMIN|578VULN|67LSRREG|7aBPWR|9aZMB
32	61335 21142	   	188.79	ACR|3VULN|3DMG|2ZMB	17aDMG|2RCR|3aCGEN|4RMIN|578VULN|67LSRREG|7aBPWR|9aZMB
33	63213 13633	 * 	188.70	DCR|3DMG|1AART|1VULN|2CDMG|2ZMB	158DMG|2VULN|38MLV|45ZMB|58BPWR|6ERES|78CDMG|9RCR|aAART
34	63213 32213	   	188.51	DCR|3DMG|2VULN|2ZMB|2ASPD|1DUR	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9CGEN|aDUR
35	63213 32231	   	188.41	DCR|3DMG|2VULN|2ZMB|2ASPD|1DUR	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LSRHEA|aDUR
36	65113 24313	   	188.27	DCR|3VULN|2DMG|1AART|1ZMB	12DMG|36CGEN|45aVULN|7RCR|8AART|9ZMB
37	61155 22233	   	187.81	ACR|3VULN|3DMG|1DUR|1ASPD	168DMG|2RCR|3MLV|48CGEN|568VULN|68BPWR|7NUKE|9ASPD|aDUR
38	34621 11412	   	187.62	DCR|3VULN|3DMG|3CDMG	178VULN|24RPLT|3CANSTR|578DMG|678CDMG|78BPWR|9BEXP|aRCR
39	34621 11432	   	187.62	DCR|3VULN|3DMG|3CDMG	178VULN|24RPLT|3CANSTR|578DMG|678CDMG|78BPWR|9FEWX|aRCR
40	35351 11412	   	187.62	DCR|3VULN|3DMG|3CDMG	178VULN|2VENICY|3RCVC|4RPLT|578DMG|678CDMG|78BPWR|9BEXP|aRCR
41	35351 11432	   	187.62	DCR|3VULN|3DMG|3CDMG	178VULN|2VENICY|3RCVC|4RPLT|578DMG|678CDMG|78BPWR|9FEWX|aRCR
42	34621 11422	   	187.52	DCR|3VULN|3DMG|3CDMG	178VULN|24RPLT|3CANSTR|578DMG|678CDMG|78BPWR|9DUST|aRCR
43	35351 11422	   	187.52	DCR|3VULN|3DMG|3CDMG	178VULN|2VENICY|3RCVC|4RPLT|578DMG|678CDMG|78BPWR|9DUST|aRCR
44	34164 48442	 * 	187.17	DCR|3VULN|3DMG|3DUR	19aVULN|2RPLT|39aDUR|4MBVNT|5ERES|6RCR|7LHND|89aDMG|9aBPWR
45	61615 22233	   	186.49	ACR|3VULN|2DMG|2ZMB|1CDMG	18DMG|2RCR|39ERES|48ZMB|568VULN|7NUKE|8BPWR|aCDMG
46	33125 32355	 * 	185.91	DCR|3DMG|2VULN|1AART|1DUR	14VULN|2DUR|3FEWX|5NUKE|6RCR|78aDMG|9AART
47	33611 34361	   	185.91	DCR|3DMG|2VULN|1AART|1DUR	1aVULN|2DUR|378DMG|4CGEN|5DUST|6RCR|9AART
48	63311 34361	   	185.91	DCR|3DMG|2VULN|1AART|1DUR	178DMG|2aVULN|3DUR|4CGEN|5DUST|6RCR|9AART
49	63212 32243	   	185.17	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	18DMG|28VULN|3MLV|4ZMB|5RCVC|68ASPD|7RCR|8BPWR|9CGEN|aAART
50	63212 32233	   	185.07	DCR|2VULN|2DMG|1AART|2ASPD|1ZMB	18DMG|28VULN|3MLV|4ZMB|5RCVC|68ASPD|7RCR|8BPWR|9ERES|aAART
51	61155 22222	   	184.94	ACR|3VULN|3DMG|1ZMB	168DMG|2RCR|3MLV|48CGEN|568VULN|68BPWR|7NUKE|9BEXP|aZMB
52	61315 36233	 * 	184.89	ACR|2VULN|2DMG|3ZMB|1ASPD|1DUR	18DMG|2RCR|3CGEN|478ZMB|58VULN|6RMIN|8BPWR|9ASPD|aDUR
53	61115 21163	   	184.74	ACR|3VULN|3DMG|1ZMB	179DMG|2RCR|37MLV|4ZMB|58aVULN|67LSRREG|7BPWR
54	61315 21161	   	184.74	ACR|3VULN|3DMG|1ZMB	179DMG|2RCR|37CGEN|4ZMB|58aVULN|67LSRREG|7BPWR
55	63215 32213	   	184.56	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18DMG|258VULN|3MLV|4ZMB|68ASPD|7RCR|8BPWR|9FEWX|aDUR
56	63215 32223	   	184.56	DCR|3VULN|2DMG|2ASPD|1ZMB|1DUR	18DMG|258VULN|3MLV|4ZMB|68ASPD|7RCR|8BPWR|9LHND|aDUR
57	61423 26211	   	183.97	ACR|3DMG|2VULN|1FLTHEA|2DUR	178DMG|2RCR|37DUR|4ERES|5TLV|67VULN|7BPWR|9FEWX|aFLTHEA
58	63215 32261	 * 	183.93	DCR|3VULN|2DMG|3ASPD|1ZMB	18DMG|258VULN|3MLV|4ZMB|68aASPD|7RCR|8BPWR|9RPLT
59	33633 54122	   	183.67	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	189VULN|2DUR|39DMG|4ZMB|5TLV|6DMSP|79CDMG|9BPWR|aRCR
60	35422 41132	   	183.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	18aVULN|2VENICY|3aDMG|4SELL|5ERES|6RCR|7CDMG|9aZMB|aBPWR
61	35423 41132	   	183.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	18aVULN|2VENICY|3aDMG|4SELL|5TLV|6RCR|7CDMG|9aZMB|aBPWR
62	34162 72442	 * 	182.89	ACR|3VULN|3DMG|3DUR	19aVULN|2RPLT|39aDUR|4MBVNT|5RCR|6LWND|7MLV|89aDMG|9aBPWR
63	34162 82442	   	182.89	ACR|3VULN|3DMG|3DUR	19aVULN|2RPLT|39aDUR|4MBVNT|5RCR|6LHND|7MLV|89aDMG|9aBPWR
64	61315 21162	   	182.74	ACR|3DMG|2VULN|1CDMG|1ZMB	179DMG|2RCR|37CGEN|4ZMB|58VULN|67LSRREG|7BPWR|aCDMG
65	61234 42332	 * 	182.73	ACR|3DMG|3ZMB|1VULN|1CDMG	168DMG|2RCR|358FEWX|478ZMB|8BPWR|9CDMG|aVULN
66	35151 11532	   	182.23	DCR|4VULN|2DMG|2CDMG	1378VULN|2VENICY|4RPLT|57DMG|67CDMG|7BPWR|9RCR|aLSRICY
67	33166 33222	   	182.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2DUR|3FEWX|4AART|5CDMG|6aDMG|7RMIN|8RCR
68	34343 23242	   	182.17	DCR|3VULN|2DMG|1AART	157VULN|2RPLT|35FEWX|4AART|5BPWR|6RCR|8RMIN|9aDMG
69	34343 23342	   	182.17	DCR|3VULN|2DMG|1AART	157VULN|2RPLT|35FEWX|4AART|5BPWR|6RCR|8CGEN|9aDMG
70	35151 11531	   	182.13	DCR|4VULN|2DMG|2CDMG	1378VULN|2VENICY|4RPLT|57DMG|67CDMG|7BPWR|9RCR|aBASICY
71	35151 11533	   	182.13	DCR|4VULN|2DMG|2CDMG	1378VULN|2VENICY|4RPLT|57DMG|67CDMG|7BPWR|9RCR|aDUST
72	33166 34222	   	182.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19VULN|2DUR|3FEWX|4AART|5CDMG|6aDMG|7TLV|8RCR
73	34342 23242	   	182.07	DCR|3VULN|2DMG|1AART	157VULN|2RPLT|3FEWX|4AART|6RCR|8RMIN|9aDMG
74	34342 23342	   	182.07	DCR|3VULN|2DMG|1AART	157VULN|2RPLT|3FEWX|4AART|6RCR|8CGEN|9aDMG
75	33641 32351	   	181.81	DCR|3DMG|2VULN|1AART|1DUR	1aVULN|2DUR|368DMG|4AART|5aBEXP|7aBASICY|9RCR|aBPWR
76	63341 32351	   	181.81	DCR|3DMG|2VULN|1AART|1DUR	168DMG|2aVULN|3DUR|4AART|5aBEXP|7aBASICY|9RCR|aBPWR
77	63213 32211	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9aCGEN
78	63213 32214	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3aMLV|45ZMB|58BPWR|68ASPD|7RCR|9CGEN
79	63213 32215	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9CGEN|aLIT
80	63213 32216	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9CGEN|aLHND
81	63213 32221	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LWND|aLIT
82	63213 32225	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LWND|aCGEN
83	63213 32226	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LWND|aFEWX
84	63213 32241	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9FEWX|aLIT
85	63213 32245	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9FEWX|aCGEN
86	63213 32246	   	181.57	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9aFEWX
87	64351 22213	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19DMG|2MLV|3CDMG|4ASPD|5AART|6TLV|7aVULN|8RCR
88	63213 32232	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LSRHEA|aLSRICY
89	63213 32233	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LSRHEA|aRCVC
90	63213 32234	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LSRHEA|aLHND
91	63213 32235	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9LSRHEA|aFEWX
92	63213 32251	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9DUST|aLIT
93	63213 32253	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9DUST|aBEXP
94	63213 32255	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9DUST|aCGEN
95	63213 32256	   	181.47	DCR|3DMG|2VULN|2ZMB|2ASPD	158DMG|28VULN|3MLV|45ZMB|58BPWR|68ASPD|7RCR|9DUST|aFEWX
96	66351 22213	   	181.40	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	19DMG|2ERES|3CDMG|4ASPD|5AART|6TLV|7aVULN|8RCR
97	33125 32353	   	181.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	14VULN|2DUR|3FEWX|5NUKE|6RCR|78DMG|9AART|aZMB
98	61423 25312	 * 	181.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1aDMG|2RCR|3DUR|4ERES|5TLV|6VULN|7AART|8CDMG|9ZMB
99	61355 12233	 * 	181.09	ACR|3VULN|2DMG|1AART	18DMG|2RCR|3CGEN|468ERES|589VULN|7NUKE|8BPWR|aAART
100	63213 32553	   	180.97	DCR|3DMG|1AART|1VULN|2ZMB|1ASPD	15aDMG|2VULN|3MLV|45ZMB|5BPWR|6ASPD|7RCR|8LIT|9AART
101	61155 22213	   	180.88	ACR|3VULN|3DMG|1DUR	168DMG|2RCR|3MLV|489CGEN|568VULN|68BPWR|7NUKE|aDUR
102	61155 22231	   	180.88	ACR|3VULN|3DMG|1ASPD	168DMG|2RCR|3MLV|48aCGEN|568VULN|68BPWR|7NUKE|9ASPD
103	61223 26234	   	180.68	ACR|3VULN|3DMG|1ASPD	178DMG|2RCR|37FEWX|4ERES|5TLV|67aVULN|7BPWR|9ASPD
104	61135 35233	 * 	180.59	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|2RCR|3MLV|46RMIN|58VULN|78ZMB|8BPWR|9ERES|aAART
105	61335 35233	   	180.59	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|2RCR|3CGEN|46RMIN|58VULN|78ZMB|8BPWR|9ERES|aAART
106	66125 23122	 * 	180.58	DCR|3VULN|2DMG|2CDMG|2ZMB	19DMG|2ERES|39ZMB|4FEWX|568VULN|79CDMG|9BPWR|aRCR
107	61115 52233	   	180.49	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|2RCR|3MLV|48ZMB|58VULN|6DMSP|7NUKE|8BPWR|9ERES|aAART
108	61315 52233	   	180.49	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|2RCR|3CGEN|48ZMB|58VULN|6DMSP|7NUKE|8BPWR|9ERES|aAART
109	61315 62233	   	180.49	ACR|2VULN|2DMG|1AART|2ZMB	18DMG|2RCR|36CGEN|48ZMB|58VULN|7NUKE|8BPWR|9ERES|aAART
110	61235 13243	   	179.99	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	18DMG|2RCR|3FEWX|4ZMB|5SELL|6VULN|7CDMG|9AART|aDUR
111	61615 22213	   	179.88	ACR|3VULN|2DMG|2ZMB|1DUR	18DMG|2RCR|3ERES|48ZMB|568VULN|7NUKE|8BPWR|9FEWX|aDUR
112	61615 22223	   	179.88	ACR|3VULN|2DMG|2ZMB|1DUR	18DMG|2RCR|3ERES|48ZMB|568VULN|7NUKE|8BPWR|9LHND|aDUR
113	61112 42123	 * 	179.83	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	18DMG|2RCR|37MLV|4ZMB|5DUR|69AART|aVULN
114	61312 44123	   	179.83	ACR|2DMG|2AART|1VULN|1ZMB|1DUR	18DMG|2RCR|37CGEN|4ZMB|5DUR|69AART|aVULN
115	63223 37122	   	179.73	DCR|4VULN|2DMG|2CDMG	19DMG|2789VULN|3MLV|4MBVNT|5TLV|69CDMG|9BPWR|aRCR
116	63228 25122	   	179.73	DCR|4VULN|2DMG|2CDMG	19DMG|2689VULN|3MLV|4MBVNT|5ERES|79CDMG|9BPWR|aRCR
117	63623 25122	   	179.63	DCR|4VULN|2DMG|2CDMG	19DMG|2689VULN|3ERES|4MBVNT|5TLV|79CDMG|9BPWR|aRCR
118	61633 25213	 * 	179.50	ACR|4VULN|1AART|1DMG	1DMG|2RCR|3ERES|4RMIN|5LWND|689aVULN|7AART
119	66351 22233	   	179.47	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD	1DMG|2ERES|3CDMG|4ASPD|5AART|6TLV|79aVULN|8RCR
120	36461 31132	   	179.42	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	13aVULN|2SELL|4DMG|5AART|6DUR|7CDMG|8RCR|9BELT
121	32513 44222	   	179.38	DCR|3VULN|2DMG|2CDMG|2ASPD	159VULN|2LHND|39ASPD|4CGEN|68DMG|79CDMG|9BPWR|aRCR
122	32523 44222	   	179.28	DCR|3VULN|2DMG|2CDMG|2ASPD	159VULN|2LHND|39ASPD|4ERES|68DMG|79CDMG|9BPWR|aRCR
123	61124 11747	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2RCR|3MLV|4MBVNT|5CDMG|67VULN|8LWND|aAART
124	61124 12821	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RCR|3MLV|4MBVNT|5CDMG|69VULN|7BELT|aAART
125	61124 15347	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2RCR|3MLV|4MBVNT|5CDMG|68VULN|7LWND|aAART
126	61324 11747	   	179.18	ACR|2VULN|2DMG|1AART|1CDMG	19DMG|2RCR|3CGEN|4MBVNT|5CDMG|67VULN|8LWND|aAART
127	61624 12821	   	179.08	ACR|2VULN|2DMG|1AART|1CDMG	18DMG|2RCR|3ERES|4MBVNT|5CDMG|69VULN|7BELT|aAART
128	22233 62152	   	178.99	ACR|3VULN|2DMG|1AART	1aCGEN|27aVULN|39MLV|4RCR|5TLV|6AART|8aDMG|aBPWR
129	22633 62152	   	178.99	ACR|3VULN|2DMG|1AART	1aCGEN|27aVULN|3ERES|4RCR|59MLV|6AART|8aDMG|aBPWR
130	63213 15531	   	178.95	DCR|3DMG|2VULN|3ZMB	157DMG|29VULN|3MLV|459ZMB|59BPWR|69ERES|8RCR|aMGNLIT
131	31235 62152	   	178.89	ACR|3VULN|2DMG|1AART	17aVULN|2aERES|39MLV|4RCR|5CGEN|6AART|8aDMG|aBPWR
132	63213 15533	   	178.85	DCR|3DMG|2VULN|3ZMB	157DMG|29VULN|3MLV|459ZMB|59BPWR|69aERES|8RCR
133	31233 62152	   	178.79	ACR|3VULN|2DMG|1AART	17aVULN|2aERES|39MLV|4RCR|5TLV|6AART|8aDMG|aBPWR
