0	Index      	 *	Score 	Summary	Detail	
1	36216 35332	 * 	213.13	DCR|4VULN|2DMG|1AART|2CDMG	15DMG|24CDMG|347aVULN|4BPWR|6RCR|8ERES|9AART
56	32631 12522	   	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	158DMG|2DUR|3RCR|4VULN|6CDMG|7ZMB|9AART|aDMSP
57	32631 12523	   	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	158DMG|2DUR|3RCR|4VULN|6CDMG|7ZMB|9AART|aLHND
58	32631 12525	   	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	158DMG|2DUR|3RCR|4VULN|6CDMG|7ZMB|9AART|aBELT
59	32622 12522	   	193.49	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	148DMG|2DUR|3RCR|5LWND|6CDMG|7ZMB|9AART|aVULN
60	34311 32622	   	193.37	DCR|3VULN|2DMG|2CDMG|1ZMB|1DUR	1aDMG|23RCVC|4aCDMG|5DUR|6RCR|7ZMB|89aVULN|aBPWR
61	36216 32153	   	193.27	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	15DMG|24CDMG|34aVULN|4BPWR|6RCR|7ZMB|8CGEN|9ASPD
62	36216 32253	   	193.27	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	15DMG|24CDMG|34aVULN|4BPWR|6RCR|7ZMB|8MLV|9ASPD
63	36216 32123	   	193.27	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	15DMG|24CDMG|349VULN|4BPWR|6RCR|7ZMB|8CGEN|aASPD
64	32631 14152	   	193.25	ACR|3DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	15aDMG|2DUR|3RCR|4VULN|6CDMG|7SELL|8ZMB|9AART
65	35134 62462	   	193.24	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	19DMG|2MBVNT|3DUR|47VULN|5AART|6RCR|8ASPD|aCDMG
66	36216 32623	   	193.17	DCR|3VULN|2DMG|2CDMG|1ZMB|1ASPD	15DMG|24CDMG|348VULN|4BPWR|6RCR|7ZMB|9ERES|aASPD
67	35134 63623	 * 	193.00	DCR|2VULN|2DMG|1AART|2ZMB|2DUR	18DMG|2MBVNT|38DUR|48VULN|5AART|6RCR|7BELT|8BPWR|9aZMB
68	35234 11826	   	192.99	ACR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|3RCR|46aVULN|5AART|7ZMB|8LIT|9aBEXP|aBPWR
69	35231 21447	   	192.94	ACR|3DMG|2VULN|1AART|1CDMG	158DMG|2MBVNT|3RCR|47VULN|6ERES|9AART|aCDMG
70	35234 11462	   	192.79	ACR|3DMG|2VULN|1AART|1ZMB	19aDMG|2MBVNT|3RCR|46VULN|5AART|7ZMB|8LWND
71	35234 11562	   	192.79	ACR|3DMG|2VULN|1AART|1ZMB	19aDMG|2MBVNT|3RCR|46VULN|5AART|7ZMB|8LHND
72	35234 17382	   	192.79	ACR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|3RCR|467VULN|5AART|8MLV|9ZMB
73	32631 11435	   	192.77	ACR|3DMG|2VULN|1CDMG|2DUR|1ZMB	15aDMG|27DUR|3RCR|4aVULN|6CDMG|8ZMB|9aLWND|aBPWR
74	32622 11425	   	192.77	ACR|3DMG|2VULN|1CDMG|2DUR|1ZMB	14aDMG|27DUR|3RCR|5aLWND|6CDMG|8ZMB|9aVULN|aBPWR
75	35335 31346	 * 	192.74	ACR|3VULN|3DMG|3CDMG	18aDMG|2MBVNT|3LWND|48aVULN|5RCR|68aCDMG|7NUKE|8aBPWR|9DMSP
76	35234 11182	   	192.69	ACR|3DMG|2VULN|1AART|1ZMB	19aDMG|2MBVNT|3RCR|46VULN|5AART|7ZMB|8DUST
77	35234 12256	   	192.69	ACR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|3RCR|468VULN|5AART|7CANHEL|9ZMB
78	36216 32412	   	192.57	DCR|3DMG|2VULN|3CDMG|1ZMB	15aDMG|24aCDMG|34VULN|4aBPWR|6RCR|7ZMB|8aBEXP|9RCVC
79	32634 26223	   	192.57	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	1aDMG|26DUR|3RCR|489VULN|5ZMB|7CDMG
80	12625 26223	   	192.57	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	1ZMB|26DUR|3RCR|4aDMG|589VULN|7CDMG
81	12651 26223	   	192.57	ACR|3VULN|2DMG|1CDMG|2DUR|1ZMB	1ZMB|26DUR|3RCR|489VULN|5aDMG|7CDMG
82	32631 11423	   	192.57	ACR|3DMG|2VULN|1CDMG|2DUR|1ZMB	15aDMG|27DUR|3RCR|49VULN|6CDMG|8ZMB
83	36216 32361	   	192.37	DCR|3DMG|2VULN|3CDMG|1ZMB	15aDMG|249CDMG|34VULN|4BPWR|6RCR|7ZMB|8LHND
84	36216 32511	   	192.37	DCR|3DMG|2VULN|3CDMG|1ZMB	15aDMG|248CDMG|34VULN|4BPWR|6RCR|7ZMB|9LWND
85	36216 32521	   	192.37	DCR|3DMG|2VULN|3CDMG|1ZMB	15aDMG|248CDMG|34VULN|4BPWR|6RCR|7ZMB|9LHND
86	36216 32531	   	192.37	DCR|3DMG|2VULN|3CDMG|1ZMB	15aDMG|248CDMG|34VULN|4BPWR|6RCR|7ZMB|9BEXP
87	35234 17644	   	191.95	ACR|4VULN|1AART|1DMG|1CDMG	1DMG|2MBVNT|3RCR|467aVULN|5AART|8BEXP|9CDMG
88	35134 63631	   	191.80	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2MBVNT|38DUR|48VULN|5AART|6RCR|7BELT|8BPWR|9CDMG|aLHND
89	32631 52152	   	191.72	ACR|3DMG|2VULN|1AART|2DUR	15aDMG|26DUR|3RCR|47VULN|8LHND|9AART
90	32631 52352	   	191.72	ACR|3DMG|2VULN|1AART|2DUR	15aDMG|26DUR|3RCR|47VULN|8FEWX|9AART
91	32631 52631	   	191.72	ACR|3VULN|2DMG|1AART|2DUR	15DMG|26DUR|3RCR|478VULN|9AART|aRPLT
92	32631 52632	   	191.72	ACR|3VULN|2DMG|1AART|2DUR	15DMG|26DUR|3RCR|478VULN|9AART|aBELT
93	32631 52633	   	191.72	ACR|3VULN|2DMG|1AART|2DUR	15DMG|26DUR|3RCR|478VULN|9AART|aRMIN
94	35134 63634	   	191.70	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	18DMG|2MBVNT|38DUR|48VULN|5AART|6RCR|7BELT|8BPWR|9CDMG|aERES
95	35234 73632	 * 	191.43	ACR|2AART|2DMG|2VULN|1CDMG	18DMG|2MBVNT|3RCR|48VULN|5aAART|68LHND|7BELT|8BPWR|9CDMG
96	35224 85133	   	191.40	ACR|3VULN|3DMG|2CDMG	14aDMG|2MBVNT|3RCR|5LHND|69aVULN|7BELT|8aCDMG|aBPWR
97	32634 21162	 * 	191.10	ACR|2VULN|2DMG|2CDMG|3DUR|2ZMB	1aDMG|26aDUR|3RCR|47VULN|58ZMB|9aCDMG|aBPWR
98	32624 11235	   	190.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|28DUR|3RCR|5FEWX|6CDMG|7AART|9aVULN
99	32626 11235	   	190.92	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|28DUR|3RCR|5BEXP|6CDMG|7AART|9aVULN
100	32625 31235	   	190.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	14DMG|28DUR|3RCR|5CDMG|6DUST|7AART|9aVULN
101	35241 11234	   	190.82	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	15DMG|2MBVNT|3RCR|48DUR|6CDMG|7AART|9aVULN
102	35434 68344	   	190.81	DCR|2VULN|2AART|2DMG|1CDMG	17DMG|2MBVNT|3BEXP|4aVULN|58AART|6RCR|9CDMG
103	32624 12125	 * 	190.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	14DMG|2DUR|3RCR|5FEWX|68CDMG|7aVULN|9AART
104	32626 12125	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	14DMG|2DUR|3RCR|5BEXP|68CDMG|7aVULN|9AART
105	32631 13125	   	190.73	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	15DMG|2DUR|3RCR|4aVULN|68CDMG|7FEWX|9AART
106	35334 17182	   	190.67	DCR|4VULN|2DMG|1AART	1aDMG|2MBVNT|3LWND|4679VULN|5AART|8RCR
107	32625 32125	   	190.63	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	14DMG|2DUR|3RCR|58CDMG|6DUST|7aVULN|9AART
108	35231 11124	   	190.63	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	15DMG|2MBVNT|3RCR|4aVULN|68CDMG|7DUR|9AART
109	35241 12124	   	190.63	ACR|2VULN|2DMG|1AART|2CDMG|1DUR	15DMG|2MBVNT|3RCR|4DUR|68CDMG|7aVULN|9AART
110	35231 17512	   	190.60	ACR|3DMG|2VULN|2CDMG|2ZMB	15aDMG|2MBVNT|3RCR|47VULN|6aCDMG|8aZMB|9RCVC|aBPWR
111	32625 22223	   	190.37	ACR|4VULN|2DMG|1CDMG|1DUR	14DMG|2DUR|3RCR|5CDMG|6MLV|789aVULN
112	32634 34213	   	190.37	ACR|2VULN|2DMG|2CDMG|2DUR|1ZMB|1ASPD	1aDMG|29DUR|3RCR|4aVULN|5ZMB|6ASPD|7BELT|8aCDMG|aBPWR
113	35231 21162	   	190.29	ACR|3DMG|2VULN|1AART|1ZMB	15aDMG|2MBVNT|3RCR|47VULN|6ERES|8ZMB|9AART
114	35231 21168	   	190.29	ACR|3VULN|2DMG|1AART|1ZMB	15DMG|2MBVNT|3RCR|47aVULN|6ERES|8ZMB|9AART
115	35231 21441	   	190.29	ACR|3DMG|2VULN|1AART|1ZMB	158DMG|2MBVNT|3RCR|47VULN|6ERES|9AART|aZMB
116	35232 71162	   	190.29	ACR|3VULN|2DMG|1AART|1ZMB	1aDMG|2MBVNT|3RCR|467VULN|5TLV|8ZMB|9AART
117	32631 66223	   	190.27	ACR|4VULN|2DMG|1CDMG|1DUR	15DMG|2DUR|3RCR|489aVULN|6TLV|7CDMG
118	35135 35424	   	190.24	ACR|3VULN|2AART|1DMG|1CDMG|1DUR	1DMG|2MBVNT|3DUR|48aVULN|5RCR|6CDMG|79AART
119	35241 11774	 * 	190.10	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	159DMG|2MBVNT|3RCR|4DUR|69CDMG|7AART|89CGEN|9BPWR|aVULN
120	35234 14544	   	190.08	ACR|3VULN|1AART|1DMG|1CDMG|2DUR	1DMG|2MBVNT|3RCR|46aVULN|5AART|78DUR|9CDMG
121	35345 12521	   	189.87	ACR|3VULN|3DMG|2DUR|1ZMB	179DMG|2MBVNT|3LWND|47DUR|5RCR|67aVULN|7BPWR|8ZMB
122	32631 11625	   	189.72	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	15DMG|27DUR|3RCR|4aVULN|6CDMG|8FEWX|9AART
123	36216 31126	   	189.72	DCR|2VULN|2DMG|1AART|2CDMG|1ASPD	15DMG|24CDMG|34VULN|4BPWR|6RCR|7BEXP|8ERES|9ASPD|aAART
124	35134 62544	   	189.66	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1DMG|2MBVNT|38DUR|47aVULN|5AART|6RCR|9CDMG
125	32631 11325	   	189.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	15DMG|27DUR|3RCR|4aVULN|6CDMG|8DUST|9AART
126	35231 11824	   	189.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	15DMG|2MBVNT|3RCR|4aVULN|6CDMG|78DUR|9AART
127	35241 12824	   	189.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	15DMG|2MBVNT|3RCR|48DUR|6CDMG|7aVULN|9AART
128	35241 62124	   	189.62	ACR|2VULN|2DMG|1AART|1CDMG|2DUR	15DMG|2MBVNT|3RCR|46DUR|7aVULN|8CDMG|9AART
129	36216 35113	   	189.43	DCR|4VULN|2DMG|2CDMG	15DMG|24CDMG|347aVULN|4BPWR|6RCR|8FEWX|9CGEN
130	35134 67143	   	189.39	DCR|2AART|2VULN|2DMG|2DUR	18DMG|2MBVNT|3aDUR|48VULN|59AART|6RCR|78CANSTR|8BPWR
131	35243 12521	   	189.38	ACR|3VULN|3DMG|1ZMB|1DUR	179DMG|2MBVNT|3RCR|4DUR|57LHND|67aVULN|7BPWR|8ZMB
132	35247 12521	   	189.38	ACR|3VULN|3DMG|1ZMB|1DUR	179DMG|2MBVNT|3RCR|4DUR|57LWND|67aVULN|7BPWR|8ZMB
133	35241 24874	   	189.30	ACR|3DMG|1AART|1VULN|2CDMG|1DUR	159DMG|2MBVNT|3RCR|4DUR|69ERES|79CDMG|8AART|9BPWR|aVULN
134	35234 18344	   	189.30	ACR|3VULN|2AART|1DMG|1CDMG	1DMG|2MBVNT|3RCR|46aVULN|58AART|7BEXP|9CDMG
135	35238 47222	   	189.30	ACR|3DMG|2VULN|2CDMG|2ASPD	19aDMG|2MBVNT|3RCR|48VULN|5aASPD|6aCDMG|7RCVC|aBPWR
136	32631 12322	   	189.28	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB|1DUR	15DMG|2DUR|3RCR|4VULN|6CDMG|7ZMB|8CGEN|9aAART
137	35234 17442	   	189.20	ACR|3VULN|2AART|1DMG|1CDMG	1DMG|2MBVNT|3RCR|467VULN|5aAART|8LEGI|9CDMG
138	32631 12422	   	189.18	ACR|2DMG|2AART|1VULN|1CDMG|1ZMB|1DUR	15DMG|2DUR|3RCR|4VULN|6CDMG|7ZMB|8ERES|9aAART
139	36216 35232	   	189.18	DCR|4VULN|2DMG|2CDMG|1SELL	15DMG|24CDMG|3479VULN|4BPWR|6RCR|8SELL|aLWND
140	32631 11462	 * 	189.16	ACR|3DMG|1VULN|2CDMG|3DUR|2ZMB	15aDMG|27aDUR|3RCR|4VULN|69CDMG|8aZMB|aBPWR
141	12625 26222	 * 	189.16	ACR|3VULN|1DMG|2CDMG|3DUR|2ZMB	1aZMB|26aDUR|3RCR|4DMG|589VULN|7aCDMG|aBPWR
142	12651 26222	   	189.16	ACR|3VULN|1DMG|2CDMG|3DUR|2ZMB	1aZMB|26aDUR|3RCR|489VULN|5DMG|7aCDMG|aBPWR
143	35134 63621	   	189.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|2MBVNT|38DUR|48VULN|5AART|6RCR|7BELT|8BPWR|9ZMB|aRMIN
144	35134 63622	   	189.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|2MBVNT|38DUR|48VULN|5AART|6RCR|7BELT|8BPWR|9ZMB|aLWND
145	35134 63641	   	189.15	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DMG|2MBVNT|38DUR|48VULN|5AART|6RCR|7BELT|8BPWR|9MLV|aZMB
146	32651 12523	 * 	189.09	ACR|3DMG|1AART|2CDMG|2ZMB|2DUR	158DMG|2aDUR|3RCR|4LHND|6aCDMG|7aZMB|9AART|aBPWR
147	36216 35221	   	189.08	DCR|4VULN|2DMG|2CDMG|1SELL	15DMG|24CDMG|347aVULN|4BPWR|6RCR|8SELL|9MBVNT
148	36216 35231	   	189.08	DCR|4VULN|2DMG|2CDMG|1SELL	15DMG|24CDMG|3479VULN|4BPWR|6RCR|8SELL|aERES
149	32631 52621	   	188.96	ACR|4VULN|2DMG|2DUR|1ASPD	15DMG|26DUR|3RCR|478aVULN|9ASPD
150	35234 18416	   	188.93	ACR|3VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3RCR|46aVULN|5AART|7BEXP|8ASPD|9aLIT|aBPWR
151	35434 62344	   	188.88	DCR|3VULN|2AART|1DMG|1CDMG	1DMG|2MBVNT|3BEXP|47aVULN|58AART|6RCR|9CDMG
152	35234 11246	   	188.85	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2MBVNT|3RCR|46aVULN|5AART|7ZMB|8MLV|9CDMG
153	35234 11644	   	188.85	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2MBVNT|3RCR|46aVULN|5AART|7ZMB|8RMIN|9CDMG
154	35234 17742	   	188.85	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2MBVNT|3RCR|467VULN|5AART|8RCVC|9CDMG|aZMB
155	35234 16372	   	188.83	ACR|3VULN|2DMG|1AART|1DUR	19DMG|2MBVNT|3RCR|469VULN|5AART|79FEWX|8DLOT|9BPWR|aDUR
156	35234 22372	   	188.83	ACR|3VULN|2DMG|1AART|1DUR	19DMG|2MBVNT|3RCR|479VULN|5AART|69FEWX|8DLOT|9BPWR|aDUR
157	35234 28372	   	188.83	ACR|3DMG|2VULN|1AART|1ASPD	179DMG|2MBVNT|3RCR|49VULN|5AART|69FEWX|8DLOT|9BPWR|aASPD
158	35234 11746	   	188.75	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2MBVNT|3RCR|46aVULN|5AART|7ZMB|8TLV|9CDMG
159	35234 18481	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3RCR|469VULN|5AART|7BEXP|8ASPD
160	35234 22881	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3RCR|479VULN|5AART|6FEWX|8ASPD
161	35241 75143	   	188.73	ACR|3DMG|2VULN|3CDMG|1DUR	15aDMG|2MBVNT|3RCR|4DUR|6aVULN|7BELT|89aCDMG|aBPWR
162	35234 14862	   	188.73	ACR|3DMG|2VULN|1AART|1DUR	19aDMG|2MBVNT|3RCR|46VULN|5AART|7DUR|8MLV
163	35234 17217	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3RCR|467VULN|5AART|8ASPD|9CGEN
164	35234 17222	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3RCR|467VULN|5AART|8ASPD|9RMIN
165	35234 17241	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3RCR|467VULN|5AART|8ASPD|9LWND
166	35234 17251	   	188.73	ACR|3VULN|2DMG|1AART|1ASPD	1aDMG|2MBVNT|3RCR|467VULN|5AART|8ASPD|9FEWX
