0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12243 63241	10	 * 	280.27	DCR|4VULN|2TLV|2DUR|1DMG	139aVULN|2aTLV|4ERES|5RCVC|6DMG|7aDUR|8RCR|aBPWR
23	12235 22526	10	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	13aVULN|2aTLV|4LHND|5CDMG|6RCR|78aDUR|9RMIN|aBPWR
24	24141 25121	10	 * 	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|2LWND|3aDMG|4aDUR|5TLV|6aVULN|7ZMB|8RCR|9CDMG|aBPWR
25	25141 25121	10	   	266.09	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LIT|2BEXP|3aDMG|4aDUR|5TLV|6aVULN|7ZMB|8RCR|9CDMG|aBPWR
26	12264 63233	10	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	135aVULN|2TLV|4RMIN|6DMG|7DUR|8RCR|9ASPD
27	12244 63233	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	135aVULN|2TLV|4ERES|6DMG|7DUR|8RCR|9ASPD
28	14121 36132	3	   	265.71	DCR|4VULN|1TLV|2CDMG|2ASPD	1579VULN|29ASPD|3TLV|4LIT|69CDMG|8BBNT|9BPWR|aRCR
29	14161 36132	4	   	265.71	DCR|4VULN|1TLV|2CDMG|2ASPD	1579VULN|29ASPD|3TLV|4LIT|69CDMG|8BBNT|9BPWR|aRCR
30	12264 61232	9	   	265.68	DCR|4VULN|2TLV|1DMG|2ASPD	135aVULN|2aTLV|4RMIN|6DMG|7FEWX|8RCR|9aASPD|aBPWR
31	13336 31226	1	 * 	265.34	DCR|5VULN|1TLV|1DUR|1AART	12568VULN|3DUR|4AART|7BBNT|9RCR|aTLV
32	12235 22356	8	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	13aVULN|2TLV|4LHND|5CDMG|6RCR|79DUR|8DMG
33	12266 12132	4	   	264.29	DCR|4VULN|2TLV|2CDMG|2LIT	1359VULN|25TLV|4RMIN|59BPWR|69CDMG|79LIT|8BBNT|aRCR
34	12643 22432	4	   	264.29	DCR|4VULN|2TLV|2CDMG|2LIT	1479VULN|24TLV|3RMIN|49BPWR|5TBNT|69CDMG|89LIT|aRCR
35	12644 12132	5	   	264.29	DCR|4VULN|2TLV|2CDMG|2LIT	1459VULN|24TLV|3RMIN|49BPWR|69CDMG|79LIT|8BBNT|aRCR
36	21336 21331	7	   	264.29	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1AART	1aLIT|2CGEN|3aVULN|4DMG|5TLV|69aDUR|7AART|8RCR|aBPWR
37	21551 43331	6	   	264.29	DCR|2VULN|3DUR|1TLV|1DMG|2LIT|1AART	1aLIT|2CGEN|3AART|4aVULN|5DMG|6TLV|79aDUR|8RCR|aBPWR
38	13364 33251	10	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	15aVULN|2RCVC|3aERES|4DMG|6TLV|79aDUR|8RCR|aBPWR
39	13366 33251	10	   	264.26	DCR|3VULN|3DUR|1TLV|1DMG	16aVULN|2RCVC|3aERES|4DMG|5TLV|79aDUR|8RCR|aBPWR
40	22353 62221	7	   	264.09	DCR|5VULN|1TLV|2ASPD	1LIT|24ASPD|34678VULN|4BPWR|5CGEN|9TLV|aRCR
41	13566 32132	1	   	264.04	DCR|4VULN|2TLV|1DMG|2LIT|1SELL	1259VULN|3SELL|4DMG|69LIT|79TLV|8BBNT|9BPWR|aRCR
42	22352 62221	7	   	263.99	DCR|5VULN|1TLV|2ASPD	1LIT|24ASPD|34678VULN|4BPWR|5ERES|9TLV|aRCR
43	12644 31131	8	 * 	263.96	DCR|5VULN|2TLV|1DUR	14568VULN|24TLV|3RMIN|4BPWR|7BEXP|9DUR|aRCR
44	12211 32623	10	   	263.96	DCR|5VULN|2TLV|2ASPD	1369aVULN|2aTLV|4RCVC|5aASPD|7BELT|8RCR|aBPWR
45	14124 32623	10	   	263.96	DCR|5VULN|2TLV|2ASPD	1569aVULN|2aASPD|3aTLV|4RCVC|7BELT|8RCR|aBPWR
46	14214 32623	10	   	263.96	DCR|5VULN|2TLV|2ASPD	1369aVULN|2aASPD|4RCVC|5aTLV|7BELT|8RCR|aBPWR
47	14215 33321	7	   	263.70	DCR|4VULN|3DUR|2ASPD	1368VULN|28ASPD|4RCVC|578DUR|8BPWR|9LIT|aRCR
48	12124 12132	2	 * 	263.41	DCR|3VULN|3DMG|1TLV|1AART	189VULN|2TLV|3AART|4RPLT|589DMG|689LHND|7BBNT|89BPWR|aRCR
49	16262 13411	3	 * 	263.33	DCR|4VULN|2DMG|2DUR|1AART|1SELL	136aVULN|2ZMB|4aDUR|5AART|7aDMG|8SELL|9RCR|aBPWR
50	16362 13411	2	 * 	263.33	DCR|4VULN|2DMG|2DUR|1AART|1SELL	146aVULN|2ZMB|3aDUR|5AART|7aDMG|8SELL|9RCR|aBPWR
51	12235 21343	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	138aVULN|2TLV|4LHND|5CDMG|6RCR|7LIT|9DMG
52	12235 21413	6	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	139aVULN|2TLV|4LHND|5CDMG|6RCR|7LIT|8DMG
53	12152 12163	2	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	1469VULN|24TLV|38AART|4BPWR|5LHND|7DUR|aRCR
54	12152 16163	2	   	263.05	DCR|4VULN|2TLV|2AART|1DUR	1469VULN|24TLV|37AART|4BPWR|5LHND|8DUR|aRCR
55	12351 36223	2	   	262.46	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	189VULN|25TLV|35DUR|4BELT|5BPWR|6AART|7RCR|aCDMG
56	12351 36261	2	   	262.24	DCR|3VULN|3DUR|2TLV|1AART	18aVULN|25TLV|35aDUR|4BELT|5aBPWR|6AART|7RCR|9aCGEN
57	14135 33312	4	 * 	262.22	DCR|3VULN|2DMG|2TLV|2ASPD	15aVULN|2aASPD|38TLV|4FEWX|6RCR|7aDMG|9RMIN|aBPWR
58	13332 12124	1	   	262.17	DCR|3VULN|3DUR|1TLV|1AART	126VULN|378DUR|4AART|5TLV|9RCR|aASPD
59	13336 22124	1	   	262.17	DCR|3VULN|3DUR|1TLV|1AART	125VULN|378DUR|4AART|6TLV|9RCR|aASPD
60	12351 36211	2	   	262.04	DCR|3VULN|3DUR|2TLV|1AART	18aVULN|25TLV|35aDUR|4BELT|5aBPWR|6AART|7RCR|9aERES
61	12144 33263	10	 * 	262.02	DCR|3VULN|2DMG|3TLV|2ASPD	15aVULN|236TLV|4ERES|7aASPD|8RCR|9aDMG|aBPWR
62	12246 33263	10	   	262.02	DCR|3VULN|2DMG|3TLV|2ASPD	13aVULN|256TLV|4ERES|7aASPD|8RCR|9aDMG|aBPWR
63	13332 42121	1	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	12aVULN|378DUR|4AART|56TLV|9RCR
64	12111 36135	7	 * 	261.77	DCR|4VULN|3TLV|2ASPD|1DUR	1678VULN|238TLV|4RCVC|58ASPD|8BPWR|9DUR|aRCR
65	12211 35135	7	   	261.77	DCR|4VULN|3TLV|2ASPD|1DUR	1368VULN|278TLV|4RCVC|58ASPD|8BPWR|9DUR|aRCR
66	12211 36135	5	   	261.77	DCR|4VULN|3TLV|2ASPD|1DUR	1368VULN|278TLV|4RCVC|58ASPD|8BPWR|9DUR|aRCR
67	12211 36135	6	   	261.77	DCR|4VULN|3TLV|2ASPD|1DUR	1368VULN|278TLV|4RCVC|58ASPD|8BPWR|9DUR|aRCR
68	13334 64641	1	 * 	261.58	DCR|4VULN|2DUR|3CDMG|1AART	127aVULN|3aDUR|4AART|5MBVNT|69aCDMG|8RCR|aBPWR
69	22336 25116	6	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|2aASPD|378VULN|4DMG|5TLV|6DUR|9RCR
70	22336 25116	7	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|2aASPD|378VULN|4DMG|5TLV|6DUR|9RCR
71	22336 25211	6	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|28ASPD|37aVULN|4DMG|5TLV|6DUR|9RCR
72	22336 25211	7	   	260.91	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR	1LIT|28ASPD|37aVULN|4DMG|5TLV|6DUR|9RCR
73	13121 23432	1	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1269VULN|36CDMG|4BBNT|5RCVC|69BPWR|79LIT|89DUR|aRCR
74	13122 23432	2	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1569VULN|2RCVC|36CDMG|4BBNT|69BPWR|79LIT|89DUR|aRCR
75	13422 23432	3	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1569VULN|2RCVC|36CDMG|4BBNT|69BPWR|79LIT|89DUR|aRCR
76	15122 23432	1	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1569VULN|2RCVC|36CDMG|4BBNT|69BPWR|79LIT|89DUR|aRCR
77	35122 23432	2	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1RCVC|2569VULN|36CDMG|4BBNT|69BPWR|79LIT|89DUR|aRCR
78	35422 23432	3	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1RCVC|2569VULN|36CDMG|4BBNT|69BPWR|79LIT|89DUR|aRCR
79	13121 25432	1	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1269VULN|36CDMG|4BBNT|5RCVC|69BPWR|79DUR|89LIT|aRCR
80	13122 25432	2	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1569VULN|2RCVC|36CDMG|4BBNT|69BPWR|79DUR|89LIT|aRCR
81	13422 25432	3	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1569VULN|2RCVC|36CDMG|4BBNT|69BPWR|79DUR|89LIT|aRCR
82	15122 25432	1	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1569VULN|2RCVC|36CDMG|4BBNT|69BPWR|79DUR|89LIT|aRCR
83	35122 25432	2	   	260.84	DCR|4VULN|2DUR|2CDMG|2LIT	1RCVC|2569VULN|36CDMG|4BBNT|69BPWR|79DUR|89LIT|aRCR
84	13322 32332	1	   	260.74	DCR|4VULN|2DUR|2CDMG|2LIT	1269VULN|37DUR|49LIT|5BBNT|89CDMG|9BPWR|aRCR
85	22336 24152	10	   	260.64	DCR|2VULN|2DMG|2DUR|1TLV	1LIT|2ASPD|3aVULN|4aDMG|5TLV|6aDUR|7DUST|8RCR|9CGEN|aBPWR
86	12221 56411	2	   	260.53	DCR|4VULN|2DUR|1TLV	159aVULN|2TLV|39CGEN|4LIT|6MLV|7RCR|89DUR|9BPWR
87	14126 33251	10	   	260.45	DCR|3VULN|3DUR|1TLV|2ASPD	16aVULN|2aASPD|3TLV|4RCVC|5ERES|79aDUR|8RCR|aBPWR
88	14243 33251	10	   	260.45	DCR|3VULN|3DUR|1TLV|2ASPD	13aVULN|2aASPD|4ERES|5RCVC|6TLV|79aDUR|8RCR|aBPWR
89	12221 66411	2	   	260.43	DCR|4VULN|2DUR|1TLV	159aVULN|2TLV|39CGEN|4LIT|6ERES|7RCR|89DUR|9BPWR
90	12264 23621	10	   	260.30	DCR|4VULN|2TLV|2DUR	135aVULN|28TLV|4RMIN|6aMLV|7aDUR|9RCR|aBPWR
91	12266 33621	10	   	260.10	DCR|4VULN|2TLV|2DUR	136aVULN|28TLV|4RMIN|5aERES|7aDUR|9RCR|aBPWR
92	12232 26533	3	   	259.86	DCR|4VULN|2TLV|2DUR|1SELL	137aVULN|27TLV|4SELL|5TBNT|67DUR|7BPWR|8BBNT|9RCR
93	12532 26533	2	   	259.86	DCR|4VULN|2TLV|2DUR|1SELL	137aVULN|27TLV|4SELL|5TBNT|67DUR|7BPWR|8BBNT|9RCR
94	22336 11121	10	   	259.81	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LIT|2ASPD|3aVULN|4aDMG|5TLV|6aLHND|7DUR|8RCR|9CDMG|aBPWR
95	12235 21342	6	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	138VULN|2TLV|4LHND|5CDMG|6RCR|7LIT|9aDMG
96	12235 21412	6	   	259.75	DCR|3VULN|2DMG|1TLV|1CDMG	139VULN|2TLV|4LHND|5CDMG|6RCR|7LIT|8aDMG
97	12235 21313	6	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	138aVULN|2TLV|4LHND|5CDMG|6RCR|7LIT|9DUR
98	12236 11152	3	 * 	259.35	DCR|5VULN|1TLV|1DMG|1SELL	1359aVULN|2TLV|4SELL|6LHND|7RCR|8DMG
99	12236 41152	3	 * 	259.35	DCR|5VULN|1TLV|1DMG|1SELL	1359aVULN|2TLV|4SELL|6LWND|7RCR|8DMG
100	12536 11152	2	 * 	259.35	DCR|5VULN|1TLV|1DMG|1SELL	1359aVULN|2TLV|4SELL|6LHND|7RCR|8DMG
101	12264 63231	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	135VULN|2TLV|4RMIN|6DMG|7aDUR|8RCR|9ASPD
102	21336 22111	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|2CGEN|38aVULN|4DMG|5TLV|67DUR|9RCR
103	21336 24111	6	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1LIT|2CGEN|38aVULN|4DMG|5TLV|67DUR|9RCR
104	23514 16323	1	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	1LIT|2CDMG|3DUST|489aVULN|5DUR|6TLV|7RCR
105	12244 63231	9	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	135VULN|2TLV|4ERES|6DMG|7aDUR|8RCR|9ASPD
106	12243 63421	10	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	13aVULN|2aTLV|4ERES|58RCVC|6DMG|7aDUR|9RCR|aBPWR
107	14154 12221	2	   	259.16	DCR|4VULN|2DUR|3ASPD|1AART	1468VULN|248ASPD|3AART|48BPWR|5MBVNT|78DUR|9DUST|aRCR
108	12143 63241	10	 * 	259.12	DCR|3VULN|3TLV|2DUR|1DMG	19aVULN|23aTLV|4ERES|5RCVC|6DMG|7aDUR|8RCR|aBPWR
109	12243 63621	10	   	259.12	DCR|3VULN|3TLV|2DUR|1DMG	13aVULN|28aTLV|4ERES|5RCVC|6DMG|7aDUR|9RCR|aBPWR
110	13364 33621	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	15aVULN|2RCVC|3aERES|4DMG|68TLV|7aDUR|9RCR|aBPWR
111	13366 33621	10	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	16aVULN|2RCVC|3aERES|4DMG|58TLV|7aDUR|9RCR|aBPWR
112	12266 31136	4	   	258.99	DCR|4VULN|2TLV|1DMG|1AART	1356VULN|25TLV|4RMIN|5BPWR|7AART|8BBNT|9DMG|aRCR
113	13332 35331	1	   	258.79	DCR|3VULN|2TLV|2ASPD|1DUR|1AART	12aVULN|3DUR|4AART|5aTLV|6CGEN|7LIT|8RCR|9aASPD|aBPWR
114	12151 15331	2	   	258.69	DCR|3VULN|2TLV|2ASPD|1DUR|1AART	14aVULN|24TLV|3AART|4aBPWR|5aERES|6DUR|7LIT|8RCR|9aASPD
115	12236 11162	3	 * 	258.60	DCR|4VULN|2DMG|1TLV|1SELL	135aVULN|2TLV|4SELL|6LHND|7RCR|89DMG
116	12236 41162	3	 * 	258.60	DCR|4VULN|2DMG|1TLV|1SELL	135aVULN|2TLV|4SELL|6LWND|7RCR|89DMG
117	12536 11162	2	 * 	258.60	DCR|4VULN|2DMG|1TLV|1SELL	135aVULN|2TLV|4SELL|6LHND|7RCR|89DMG
118	14262 54343	4	 * 	258.55	DCR|4VULN|2DMG|2ASPD|1AART	1389VULN|29ASPD|4RMIN|5AART|6MBVNT|79DMG|9BPWR|aRCR
119	12235 21312	6	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	138VULN|2TLV|4LHND|5CDMG|6RCR|7LIT|9DUR|aDMG
120	14211 23252	9	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	13aVULN|2ASPD|4RCVC|5DMG|6TLV|7DUR|8RCR|9CDMG
121	23514 16322	1	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LIT|2CDMG|3DUST|489VULN|5DUR|6TLV|7RCR|aDMG
122	14211 52142	6	   	258.28	DCR|3VULN|2TLV|1DMG|2ASPD|1CDMG	13aVULN|2aASPD|4RCVC|5DMG|6RCR|7RPLT|8CDMG|9aTLV|aBPWR
123	22353 62231	7	 * 	257.95	DCR|5VULN|1DMG|2ASPD	1LIT|24ASPD|34678VULN|4BPWR|5CGEN|9DMG|aRCR
124	12241 22412	3	   	257.88	DCR|4VULN|2TLV|2LIT|1CDMG	1379VULN|29TLV|4BBNT|5CGEN|6CDMG|89LIT|9BPWR|aRCR
125	12541 22412	2	   	257.88	DCR|4VULN|2TLV|2LIT|1CDMG	1379VULN|29TLV|4BBNT|5CGEN|6CDMG|89LIT|9BPWR|aRCR
126	22332 22111	7	   	257.87	DCR|4VULN|1TLV|1DMG	1LIT|2ASPD|368aVULN|4DMG|5LHND|7TLV|9RCR
127	22336 15111	7	   	257.87	DCR|4VULN|1TLV|1DMG	1LIT|2ASPD|378aVULN|4DMG|5TLV|6LHND|9RCR
128	22336 45111	5	   	257.87	DCR|4VULN|1TLV|1DMG	1LIT|2ASPD|378aVULN|4DMG|5TLV|6BEXP|9RCR
129	22352 62231	7	   	257.85	DCR|5VULN|1DMG|2ASPD	1LIT|24ASPD|34678VULN|4BPWR|5ERES|9DMG|aRCR
130	12244 12112	5	   	257.78	DCR|4VULN|2TLV|2LIT|1CDMG	1359VULN|29TLV|4ERES|6CDMG|79LIT|8BBNT|9BPWR|aRCR
131	13111 32132	1	   	257.78	DCR|4VULN|2TLV|2LIT|1CDMG|1NUKE	1249VULN|3CDMG|5NUKE|69LIT|79TLV|8BBNT|9BPWR|aRCR
132	12234 35115	6	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1368VULN|2TLV|4LHND|5DUR|7DMG|9LWND|aRCR
133	12234 35125	6	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1368VULN|2TLV|4LHND|5DUR|7DMG|9FEWX|aRCR
134	12264 63213	10	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	135aVULN|2TLV|4RMIN|6DMG|7DUR|8RCR|9ZMB
135	12244 63213	10	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	135aVULN|2TLV|4ERES|6DMG|7DUR|8RCR|9ZMB
136	13332 42125	1	   	257.31	DCR|2VULN|3DUR|2TLV|1DMG|1AART	12VULN|378DUR|4AART|56TLV|9RCR|aDMG
137	12236 11421	3	   	257.26	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1358VULN|2TLV|4SELL|6LHND|7RCR|9DUR|aDMG
138	12236 41421	3	   	257.26	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1358VULN|2TLV|4SELL|6LWND|7RCR|9DUR|aDMG
139	12536 11421	2	   	257.26	DCR|4VULN|1TLV|1DMG|1DUR|1SELL	1358VULN|2TLV|4SELL|6LHND|7RCR|9DUR|aDMG
140	21551 31331	4	   	257.26	DCR|3VULN|1TLV|2ASPD|1DUR|2LIT|1AART	1aLIT|2CGEN|3AART|47aVULN|5TLV|6DUR|8RCR|9aASPD|aBPWR
141	21551 52331	4	   	257.26	DCR|3VULN|1TLV|2ASPD|1DUR|2LIT|1AART	1aLIT|2CGEN|3AART|46aVULN|5TLV|7DUR|8RCR|9aASPD|aBPWR
142	13166 32132	2	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	159VULN|2RCVC|39CDMG|4DMG|6LIT|79TLV|8BBNT|9BPWR|aRCR
143	13466 32132	3	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	159VULN|2RCVC|39CDMG|4DMG|6LIT|79TLV|8BBNT|9BPWR|aRCR
144	15166 32132	1	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	159VULN|2RCVC|39CDMG|4DMG|6LIT|79TLV|8BBNT|9BPWR|aRCR
145	35166 32132	2	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	1RCVC|259VULN|39CDMG|4DMG|6LIT|79TLV|8BBNT|9BPWR|aRCR
146	22336 22113	7	   	256.18	DCR|2VULN|3DUR|1TLV|1DMG	1LIT|2ASPD|38VULN|4DMG|5TLV|67aDUR|9RCR
147	22336 26113	6	   	256.18	DCR|2VULN|3DUR|1TLV|1DMG	1LIT|2ASPD|38VULN|4DMG|5TLV|67aDUR|9RCR
148	12263 22432	4	   	256.11	DCR|4VULN|1TLV|2CDMG|2LIT	1379VULN|2TLV|4RMIN|5TBNT|69CDMG|89LIT|9BPWR|aRCR
149	12264 12132	5	   	256.11	DCR|4VULN|1TLV|2CDMG|2LIT	1359VULN|2TLV|4RMIN|69CDMG|79LIT|8BBNT|9BPWR|aRCR
150	13122 46432	1	   	256.11	DCR|4VULN|1TLV|2CDMG|2LIT	1259VULN|39CDMG|4BBNT|6TLV|7ZMB|89LIT|9BPWR|aRCR
151	13124 53412	1	   	256.11	DCR|4VULN|1TLV|2CDMG|2LIT	1279VULN|39CDMG|4BBNT|5TLV|6MLV|89LIT|9BPWR|aRCR
152	13115 62152	1	   	256.08	DCR|4VULN|2DUR|1CDMG	1247VULN|3CDMG|5aDUR|6ASPD|8LIT|9RCR
153	23323 62221	7	   	256.04	DCR|5VULN|1TLV	1LIT|2ERES|34678VULN|5ASPD|9TLV|aRCR
154	23353 62221	7	   	256.04	DCR|5VULN|1TLV	1LIT|24ERES|34678VULN|4BPWR|5ASPD|9TLV|aRCR
155	13122 44412	1	   	256.01	DCR|4VULN|1TLV|2CDMG|2LIT	1259VULN|39CDMG|4BBNT|6TLV|7ERES|89LIT|9BPWR|aRCR
156	22353 35411	8	   	255.86	DCR|4VULN|1DMG|2ASPD|1DUR	1LIT|24ASPD|347aVULN|4BPWR|5CGEN|6DUR|8DMG|9RCR
157	22353 63411	7	   	255.86	DCR|4VULN|1DMG|2ASPD|1DUR	1LIT|24ASPD|346aVULN|4BPWR|5CGEN|7DMG|8DUR|9RCR
158	12264 31131	8	   	255.78	DCR|5VULN|1TLV|1DUR	13568VULN|2TLV|4RMIN|7BEXP|9DUR|aRCR
159	12264 31141	9	   	255.78	DCR|5VULN|1TLV|1DUR	13568VULN|2TLV|4RMIN|7BEXP|9DUR|aRCR
160	12264 32326	9	   	255.78	DCR|5VULN|1TLV|1DUR	13569VULN|2TLV|4RMIN|7BELT|8DUR|aRCR
161	12264 33141	9	   	255.78	DCR|5VULN|1TLV|1DUR	13568VULN|2TLV|4RMIN|7LWND|9DUR|aRCR
162	12264 33151	8	   	255.78	DCR|5VULN|1TLV|1DUR	13568VULN|2TLV|4RMIN|7LWND|9DUR|aRCR
163	12264 36331	7	   	255.78	DCR|5VULN|1TLV|1DUR	13567VULN|2TLV|4RMIN|8BEXP|9DUR|aRCR
164	22352 35411	8	   	255.76	DCR|4VULN|1DMG|2ASPD|1DUR	1LIT|24ASPD|347aVULN|4BPWR|5ERES|6DUR|8DMG|9RCR
165	22352 63411	7	   	255.76	DCR|4VULN|1DMG|2ASPD|1DUR	1LIT|24ASPD|346aVULN|4BPWR|5ERES|7DMG|8DUR|9RCR
166	12124 61242	2	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19aVULN|27TLV|3AART|4RPLT|59DMG|69MLV|8RCR|9BPWR
167	12236 11451	3	   	255.54	DCR|5VULN|1TLV|1DUR|1SELL	13589VULN|2TLV|4SELL|6LHND|7RCR|aDUR
168	12236 41423	3	   	255.54	DCR|5VULN|1TLV|1DUR|1SELL	1358aVULN|2TLV|4SELL|6LWND|7RCR|9DUR
169	12316 22262	2	   	255.49	DCR|3VULN|2DUR|1TLV|2LIT|1AART	158VULN|2TLV|38DUR|4TBNT|6AART|78LIT|8BPWR|9BBNT|aRCR
