0	Index      	 *	Score 	Summary	Detail	
1	23121 15366	 * 	238.82	DCR|3VULN|3DMG|3ZMB|1AART|1AAC	158ZMB|2AART|345DMG|58BPWR|68aVULN|7AAC|9RCR
21	52622 42313	 * 	219.83	DCR|3DMG|2VULN|2ASPD|1CDMG	167DMG|27VULN|3AELBLL|4CGEN|57ASPD|7BPWR|8FEWX|9CDMG|aRCR
22	52132 42143	 * 	219.75	DCR|3DMG|2VULN|2CDMG|1ASPD	16aDMG|2aVULN|3RMIN|4ASPD|5RCVC|7MSLFST|8RCR|9aCDMG|aBPWR
23	53211 31353	   	219.51	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2AART|3BEXP|48LHND|5DMSP|6RCR|78aVULN|8BPWR|9CDMG
24	53216 31353	   	219.51	DCR|3VULN|2DMG|1AART|1CDMG	18DMG|2AART|3BEXP|458LHND|6RCR|78aVULN|8BPWR|9CDMG
25	23136 41422	   	219.46	DCR|2VULN|2DMG|1AART|1CDMG|2DUR|1ZMB	1ZMB|2AART|3aDMG|4CDMG|5MLV|6aVULN|7ERES|8aDUR|9RCR|aBPWR
26	23121 15335	   	218.98	DCR|3DMG|2VULN|3ZMB|1AART|1AAC	158ZMB|2AART|345DMG|58BPWR|68VULN|7AAC|9RPLT|aRCR
27	53244 31331	   	217.70	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	18DMG|2AART|3BEXP|4DMSP|58DUR|6RCR|78VULN|8BPWR|9MDPS|aLHND
28	53244 31332	   	217.70	DCR|2VULN|2DMG|1MDPS|1AART|2DUR|1MSE	18DMG|2AART|3BEXP|4DMSP|58DUR|6RCR|78VULN|8BPWR|9MDPS|aMSE
29	53244 31333	   	217.70	DCR|2VULN|2DMG|1MDPS|1AART|2DUR	18DMG|2AART|3aBEXP|4DMSP|58DUR|6RCR|78VULN|8BPWR|9MDPS
30	23125 61121	 * 	217.68	DCR|1MDPS|2DMG|1VULN|1AART|2CDMG|1ZMB	1ZMB|2AART|34DMG|5AME|6RCR|78CDMG|9VULN|aMDPS
31	23125 61311	   	217.68	DCR|1MDPS|2DMG|1VULN|1AART|2CDMG|1ZMB	1ZMB|2AART|34DMG|5AME|6RCR|79CDMG|8VULN|aMDPS
32	23123 61121	   	217.58	DCR|1MDPS|2DMG|1VULN|1AART|2CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|78CDMG|9VULN|aMDPS
33	23123 61311	   	217.58	DCR|1MDPS|2DMG|1VULN|1AART|2CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|79CDMG|8VULN|aMDPS
34	53244 31321	   	216.36	DCR|2VULN|2AART|2DMG|2DUR	18DMG|29AART|3BEXP|4DMSP|58DUR|6RCR|78VULN|8BPWR|aRCVC
35	53333 43262	 * 	215.54	DCR|2VULN|2DMG|1AART|1ASPD|1CDMG	17DMG|2AART|3MLV|4CDMG|56VULN|8RPLT|9RCR|aASPD
36	53333 43313	   	215.21	DCR|3VULN|2DMG|1AART|1CDMG	17DMG|2AART|3MLV|4CDMG|56aVULN|8RCR|9DLOT
37	53244 31323	   	215.05	DCR|2VULN|2AART|2DMG|2DUR	18DMG|29AART|3BEXP|4DMSP|58DUR|6RCR|78VULN|8BPWR|aLWND
38	23554 31322	   	214.32	DCR|2VULN|2AART|1ASPD|2DUR|2ZMB	18ZMB|29AART|3RCVC|4DUST|58DUR|6RCR|78VULN|8BPWR|aASPD
39	23131 41222	   	214.12	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1DUR	1ZMB|2AART|3aDMG|4CDMG|5DUR|6aVULN|7CGEN|8aERES|9RCR|aBPWR
40	53333 43342	 * 	213.55	DCR|2VULN|2AART|2DMG|1CDMG	17DMG|2aAART|3MLV|4CDMG|56VULN|8RCR|9LHND
41	53333 43362	   	213.55	DCR|2VULN|2AART|2DMG|1CDMG	17DMG|2aAART|3MLV|4CDMG|56VULN|8RCR|9LWND
42	23125 61621	   	213.47	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|2ZMB	18ZMB|2AART|34DMG|5AME|6RCR|7CDMG|9VULN|aMDPS
43	23123 61621	   	213.37	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|2ZMB	18ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|9VULN|aMDPS
44	23125 61253	   	211.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5AME|6RCR|7CDMG|8BEXP|9aVULN
45	23125 61352	   	211.81	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5AME|6RCR|7CDMG|89VULN|aCGEN
46	23123 61253	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8BEXP|9aVULN
47	23123 61352	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|89VULN|aCGEN
48	23123 61355	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|89VULN|aRPLT
49	23123 61366	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8aVULN|9LIT
50	23123 61553	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8LHND|9aVULN
51	23125 61343	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5AME|6RCR|7CDMG|8aVULN|9DUST
52	23125 61353	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1ZMB|2AART|34DMG|5AME|6RCR|7CDMG|89VULN|aMSE
53	23123 61343	   	211.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8aVULN|9DUST
54	23123 61353	   	211.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1MSE	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|89VULN|aMSE
55	23123 61354	   	211.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|89VULN|aDUST
56	23123 61356	   	211.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|89VULN|aTLV
57	23123 63553	   	211.53	DCR|2VULN|2AART|2DMG|1ZMB	1ZMB|27AART|34DMG|5ERES|6RCR|8RPLT|9aVULN
58	23136 42121	 * 	211.48	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|2AART|3DMG|48CDMG|5MLV|679VULN|aRCR
59	23123 61323	   	211.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8VULN|9FEWX|aASPD
60	23132 41121	   	211.38	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|2AART|3DMG|48CDMG|5ERES|679VULN|aRCR
61	23133 41121	   	211.38	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|2AART|3DMG|48CDMG|569VULN|7TLV|aRCR
62	23164 11121	   	211.38	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|2AART|3DMG|479VULN|5ERES|68CDMG|aRCR
63	23166 41121	   	211.38	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|2AART|3DMG|469VULN|58CDMG|7TLV|aRCR
64	23125 63132	   	211.32	DCR|2AART|2DMG|1VULN|1ASPD|1ZMB	1ZMB|27AART|34DMG|5AME|6RCR|8LIT|9VULN|aASPD
65	53331 61422	 * 	211.21	DCR|2VULN|2DMG|1AART|2CDMG|1NUKE|1DUR	1aDMG|2AART|3MLV|4aCDMG|5DUR|6ERES|7aVULN|8NUKE|9RCR|aBPWR
66	53133 43521	 * 	211.21	DCR|3VULN|2DMG|1AART|1NUKE|1CDMG	17DMG|2AART|3NUKE|4CDMG|569VULN|8CGEN|aRCR
67	23444 31322	   	211.01	DCR|2VULN|2AART|1ASPD|2DUR|2ZMB	18ZMB|29AART|3BEXP|4DMSP|58DUR|6RCR|78VULN|8BPWR|aASPD
68	22633 43136	   	210.80	DCR|3DMG|1VULN|2CDMG|1ASPD|1ZMB	1ZMB|2VULN|3AELBLL|47CDMG|59aDMG|6RCR|8ASPD
69	23125 61326	   	210.25	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5AME|6RCR|7CDMG|8VULN|9FEWX|aMDPS
70	23125 61331	   	210.25	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|59AME|6RCR|7CDMG|8VULN|aMDPS
71	23123 61256	   	210.15	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8BEXP|9VULN|aMDPS
72	23123 61326	   	210.15	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8VULN|9FEWX|aMDPS
73	23123 61346	   	210.05	DCR|1MDPS|2DMG|1VULN|1AART|1CDMG|1ZMB	1ZMB|2AART|34DMG|5ERES|6RCR|7CDMG|8VULN|9DUST|aMDPS
74	53211 31352	   	209.98	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|2AART|3BEXP|48LHND|5DMSP|6RCR|78VULN|8BPWR|9CDMG|aDUR
75	53216 31352	   	209.98	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	18DMG|2AART|3BEXP|458LHND|6RCR|78VULN|8BPWR|9CDMG|aDUR
76	11132 42165	 * 	209.46	DCR|1SPLARM|2VULN|2DMG|1ASPD	1LHND|26DMG|3RMIN|4ASPD|5RCVC|7SPLARM|8RCR|9aVULN
77	22633 43133	 * 	209.36	DCR|2DMG|2ASPD|1VULN|2CDMG|1ZMB	1ZMB|2VULN|3AELBLL|47CDMG|59DMG|6RCR|8aASPD
