0	Index      	 *	Score 	Summary	Detail	
1	51345 32312	 * 	222.36	DCR|3VULN|1MDPS|1AART|1ASPD|1DMG	1MLV|289VULN|3DMG|4ASPD|5AART|6FEWX|7RCR|aMDPS
21	14363 11242	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2FEWX|3AART|45VULN|6ASPD|7DMG|8RCR|9DUR|aCDMG
22	15363 11242	   	208.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DUST|2BEXP|3AART|45VULN|6ASPD|7DMG|8RCR|9DUR|aCDMG
23	61313 64223	 * 	207.58	DCR|4VULN|3CDMG|1DMG	13aCDMG|235aVULN|3aBPWR|4RCVC|6TLV|7DMG|8RCR|9aLHND
24	12223 22354	   	207.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2SNIFST|3AART|49DMG|5VULN|6ASPD|7ZMB|8RCR|aCDMG
25	12233 24354	   	207.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1DUST|2SNIFST|3AART|4ZMB|5VULN|6ASPD|79DMG|8RCR|aCDMG
26	61313 64213	   	207.38	DCR|4VULN|3CDMG|1DMG	13aCDMG|235aVULN|3aBPWR|4RCVC|6TLV|7DMG|8RCR|9aDUST
27	61216 62311	   	206.69	DCR|3VULN|1MDPS|1AART|1CDMG|1DUR	1CDMG|289VULN|3ERES|4DUR|5AART|6RPLT|7RCR|aMDPS
28	14363 11261	   	206.45	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1DUST|2FEWX|39AART|45VULN|6ASPD|7DMG|8RCR|aAAC
29	15363 11261	   	206.45	DCR|2VULN|2AART|1ASPD|1DMG|1AAC	1DUST|2BEXP|39AART|45VULN|6ASPD|7DMG|8RCR|aAAC
30	43411 33337	   	206.13	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6MBVNT|7AART|8RCR|9DUR|aDMG
31	51345 33312	   	205.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1MLV|289VULN|3DMG|4ASPD|5AART|6FEWX|7DUR|aRCR
32	23345 52211	   	205.33	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1FEWX|2TLV|3aDMG|48ASPD|5AART|6DUR|7RCR|9VULN
33	13345 52211	   	205.23	DCR|2DMG|2ASPD|1VULN|1AART|1DUR	1DUST|2TLV|3aDMG|48ASPD|5AART|6DUR|7RCR|9VULN
34	14326 35211	   	204.60	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	1DUST|2FEWX|3AART|4DMG|57ASPD|69VULN|8RCR|aAAC
35	61313 64221	 * 	204.54	DCR|3VULN|2CDMG|1ASPD|1DMG	13CDMG|235VULN|3BPWR|4RCVC|6TLV|7DMG|8RCR|9LHND|aASPD
36	51345 32322	   	204.53	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1MLV|28VULN|3DMG|4ASPD|5AART|69FEWX|7RCR|aMDPS
37	61313 64211	   	204.44	DCR|3VULN|2CDMG|1ASPD|1DMG	13CDMG|235VULN|3BPWR|4RCVC|6TLV|7DMG|8RCR|9DUST|aASPD
38	61324 36121	   	204.21	DCR|3VULN|2DMG|3CDMG	136CDMG|23aVULN|3aBPWR|4CGEN|5aDMG|7aLHND|8DLOT|9RCR
39	61351 13633	 * 	203.96	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB|1DUR	13CDMG|23VULN|3BPWR|4DUR|5ZMB|6DUST|7ASPD|8DMSP|9RCR|aAART
40	43411 33333	 * 	203.90	DCR|3VULN|2ASPD|1AART|1DUR	1TSLFST|24ASPD|34aVULN|4BPWR|5LHND|6MBVNT|7AART|8RCR|9DUR
41	51345 32313	   	203.53	DCR|3VULN|1AART|1ASPD|1DMG	1MLV|289VULN|3DMG|4ASPD|5AART|6aFEWX|7RCR
42	14326 32312	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7RCR|aLIT
43	14326 32313	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7RCR|aBEXP
44	14326 32314	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7RCR|aLWND
45	14326 32316	   	203.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7RCR|aCGEN
46	14326 32315	   	203.33	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7RCR|aMSE
47	15323 12361	   	203.19	DCR|2VULN|2DMG|1AART|1ASPD	1aDUST|2BEXP|3AART|4aDMG|5MLV|6ASPD|7RCR|8aVULN|9MBVNT|aBPWR
48	15321 12361	   	203.09	DCR|2VULN|2DMG|1AART|1ASPD	1aDUST|2BEXP|3AART|4aDMG|5ERES|6ASPD|7RCR|8aVULN|9MBVNT|aBPWR
49	51345 31211	 * 	202.43	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1NUKE	1MLV|29VULN|3DMG|4ASPD|5AART|6FEWX|7NUKE|8RCR|aMDPS
50	43411 33334	 * 	202.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6MBVNT|7AART|8RCR|9DUR|aCDMG
51	51345 33212	   	202.23	DCR|2VULN|2ASPD|1AART|1DMG|1DUR	1MLV|29VULN|3DMG|48ASPD|5AART|6FEWX|7DUR|aRCR
52	43411 33336	   	202.14	DCR|2VULN|2AART|2ASPD|1DUR	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6MBVNT|7aAART|8RCR|9DUR
53	14326 11212	 * 	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2FEWX|3AART|4DMG|56ASPD|7DUR|8RCR|9VULN|aCDMG
54	14326 25212	   	202.00	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2FEWX|3AART|4DMG|57ASPD|6DUR|8RCR|9VULN|aCDMG
55	51223 36233	   	201.95	DCR|3VULN|2DMG|1ASPD|1DUR	17MLV|247VULN|34LWND|47BPWR|5ASPD|67DMG|8LHND|9RCR|aDUR
56	43411 33453	   	201.90	DCR|3VULN|2ASPD|1AART|1DUR	1TSLFST|24ASPD|34aVULN|4BPWR|5LHND|6MBVNT|7AART|8DUR|9RCR
57	14326 32322	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2FEWX|3AART|4DMG|5ASPD|68VULN|7RCR|9LWND|aCDMG
58	14326 32332	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2FEWX|3AART|4DMG|5ASPD|68VULN|7RCR|9BEXP|aCDMG
59	14326 32352	   	201.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2FEWX|3AART|4DMG|5ASPD|68VULN|7RCR|9LHND|aCDMG
60	14326 32362	   	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2FEWX|39AART|4DMG|5ASPD|68VULN|7RCR|aLIT
61	14326 32363	   	201.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2FEWX|39AART|4DMG|5ASPD|68VULN|7RCR|aBEXP
62	14363 11212	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8RCR|aLIT
63	14363 11213	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8RCR|aBEXP
64	14363 11214	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8RCR|aLWND
65	14363 11216	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8RCR|aCGEN
66	15363 11212	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8RCR|aLIT
67	15363 11213	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2aBEXP|3AART|459VULN|6ASPD|7DMG|8RCR
68	15363 11214	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8RCR|aLWND
69	15363 11216	   	201.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8RCR|aCGEN
70	12223 62154	 * 	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|2SNIFST|3AART|49DMG|57VULN|6RCR|8BEXP|aCDMG
71	14363 11215	   	201.33	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8RCR|aMSE
72	15363 11215	   	201.33	DCR|3VULN|1AART|1ASPD|1DMG|1MSE	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8RCR|aMSE
73	61341 53231	 * 	201.24	DCR|3VULN|1MDPS|2CDMG|1ASPD|1DMG|1AAC	13CDMG|236VULN|3BPWR|4MDPS|5AAC|7ASPD|8RCVC|9RCR|aDMG
74	43411 26122	 * 	200.99	DCR|3VULN|3ASPD|1CDMG	1TSLFST|246ASPD|34aVULN|4BPWR|5LHND|7CANARM|8RCR|9CDMG
75	12223 63154	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1DUST|2SNIFST|3AART|49DMG|5VULN|6RCR|7ERES|8ASPD|aCDMG
76	43412 26122	   	200.89	DCR|3VULN|3ASPD|1CDMG	1TSLFST|246ASPD|34aVULN|4BPWR|5DUST|7CANARM|8RCR|9CDMG
77	51263 36222	   	200.59	DCR|2VULN|2DMG|1AART|1ASPD	17MLV|27VULN|3LWND|4RCVC|5ASPD|67DMG|7BPWR|8LHND|9AART|aRCR
78	23345 52222	 * 	200.38	DCR|2DMG|1MDPS|2ASPD|1AART|1DUR	1FEWX|2TLV|39DMG|48ASPD|5AART|6DUR|7RCR|aMDPS
79	43411 33454	   	200.31	DCR|2VULN|2ASPD|1AART|1CDMG|1DUR	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6MBVNT|7AART|8DUR|9RCR|aCDMG
80	13345 52222	   	200.28	DCR|2DMG|1MDPS|2ASPD|1AART|1DUR	1DUST|2TLV|39DMG|48ASPD|5AART|6DUR|7RCR|aMDPS
81	61351 13125	   	200.24	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	13CDMG|23VULN|3BPWR|4DUR|5ZMB|6DUST|7ASPD|8RPLT|9RCR|aDMG
82	61351 13631	   	200.24	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	13CDMG|23VULN|3BPWR|4DUR|5ZMB|6DUST|7ASPD|8DMSP|9RCR|aDMG
83	14326 22235	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUST|2FEWX|3AART|4DMG|5ASPD|6DUR|7RCR|8ZMB|9VULN|aCDMG
84	14326 32225	   	200.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DUST|2FEWX|3AART|4DMG|5ASPD|6VULN|7RCR|8ZMB|9DUR|aCDMG
85	61313 24231	 * 	199.96	DCR|3VULN|2DMG|1MDPS|2CDMG|1AAC	13CDMG|235VULN|3BPWR|4RCVC|6AAC|7aDMG|8MDPS|9RCR
86	51222 13435	 * 	199.95	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1CDMG	1MLV|24VULN|34LWND|4BPWR|5MDPS|6ASPD|7CDMG|8RCR|9AART|aDMG
87	51223 36242	   	199.95	DCR|3VULN|2DMG|1ASPD|1DUR	17MLV|247VULN|34LWND|47BPWR|5ASPD|67DMG|8LHND|9DUR|aRCR
88	51345 32213	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	1MLV|29VULN|3DMG|48ASPD|5AART|6aFEWX|7RCR
89	14363 11222	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2FEWX|3AART|45VULN|6ASPD|7DMG|8RCR|9LWND|aCDMG
90	14363 11232	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2FEWX|3AART|45VULN|6ASPD|7DMG|8RCR|9BEXP|aCDMG
91	14363 11252	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2FEWX|3AART|45VULN|6ASPD|7DMG|8RCR|9LHND|aCDMG
92	15363 11222	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2BEXP|3AART|45VULN|6ASPD|7DMG|8RCR|9LWND|aCDMG
93	15363 11252	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1DUST|2BEXP|3AART|45VULN|6ASPD|7DMG|8RCR|9LHND|aCDMG
94	51223 36532	   	199.85	DCR|3VULN|2DMG|1ASPD|1DUR	17MLV|247VULN|34LWND|47BPWR|5ASPD|67DMG|8DLOT|9DUR|aRCR
95	14363 11262	   	199.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2FEWX|39AART|45VULN|6ASPD|7DMG|8RCR|aLIT
96	14363 11263	   	199.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2FEWX|39AART|45VULN|6ASPD|7DMG|8RCR|aBEXP
97	15363 11262	   	199.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2BEXP|39AART|45VULN|6ASPD|7DMG|8RCR|aLIT
98	15363 11263	   	199.68	DCR|2VULN|2AART|1ASPD|1DMG	1DUST|2aBEXP|39AART|45VULN|6ASPD|7DMG|8RCR
99	43411 16212	 * 	199.46	DCR|2VULN|1MDPS|2ASPD|1CDMG|1DUR	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6CDMG|7RCR|8DUR|9MULARM|aMDPS
100	51345 32121	   	199.45	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1MLV|2aVULN|3DMG|4ASPD|5AART|6aFEWX|7RCR|8BEXP|9aDUR|aBPWR
101	14326 22131	   	199.35	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1DUST|2aFEWX|3AART|4DMG|5ASPD|6aDUR|7RCR|8CGEN|9aVULN|aBPWR
102	14326 32121	   	199.35	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1DUST|2aFEWX|3AART|4DMG|5ASPD|6aVULN|7RCR|8CGEN|9aDUR|aBPWR
103	23345 52131	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1FEWX|2aTLV|3DMG|4ASPD|5AART|6aDUR|7RCR|8BEXP|9aVULN|aBPWR
104	14326 32621	   	199.25	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1DUST|2aFEWX|3AART|4DMG|5ASPD|6aVULN|7RCR|8TLV|9aDUR|aBPWR
105	13345 52131	   	199.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR	1DUST|2aTLV|3DMG|4ASPD|5AART|6aDUR|7RCR|8FEWX|9aVULN|aBPWR
106	15323 65211	   	199.03	DCR|2DMG|2ASPD|1VULN|1AART	1DUST|2BEXP|3AART|4aDMG|5MLV|6RCR|78ASPD|9VULN
107	43412 33362	   	199.03	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6MBVNT|7AART|8RCR|9DMG|aRCVC
108	15321 65211	   	198.93	DCR|2DMG|2ASPD|1VULN|1AART	1DUST|2BEXP|3AART|4aDMG|5ERES|6RCR|78ASPD|9VULN
109	21345 51211	   	198.78	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1FEWX|2AELBLL|39VULN|4ASPD|5AART|6DUR|7DMG|8RCR|aAAC
110	51345 21211	   	198.78	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1MLV|29VULN|3DMG|4ASPD|5AART|6CGEN|7DUR|8RCR|aAAC
111	11345 51211	   	198.68	DCR|2VULN|1AART|1ASPD|1DMG|1AAC|1DUR	1DUST|2AELBLL|39VULN|4ASPD|5AART|6DUR|7DMG|8RCR|aAAC
112	43411 16231	   	198.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1TSLFST|24ASPD|34aVULN|4BPWR|5LHND|6CDMG|7RCR|8DUR|9ERES
113	43412 16331	   	198.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1TSLFST|24ASPD|34aVULN|4BPWR|5DUST|6CDMG|7RCR|8AME|9DUR
114	51243 36233	   	198.24	DCR|2VULN|2DMG|2ASPD|1DUR	17MLV|27VULN|3LWND|45ASPD|67DMG|7BPWR|8LHND|9RCR|aDUR
115	61313 24235	 * 	198.22	DCR|4VULN|1MDPS|2CDMG|1DMG|1AAC	13CDMG|235aVULN|3BPWR|4RCVC|6AAC|7DMG|8MDPS|9RCR
116	61313 66223	   	197.85	DCR|4VULN|3CDMG|1ZMB	13aCDMG|235aVULN|3aBPWR|4RCVC|6TLV|7ZMB|8RCR|9aLHND
117	43411 33363	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5aLHND|6MBVNT|7AART|8RCR|9DMG
118	43411 33364	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6MBVNT|7AART|8RCR|9DMG|aMLV
119	14326 35212	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1DUST|2FEWX|3AART|4DMG|57ASPD|69VULN|8RCR|aLIT
120	14326 35213	   	197.82	DCR|2VULN|2ASPD|1AART|1DMG	1DUST|2FEWX|3AART|4DMG|57ASPD|69VULN|8RCR|aBEXP
121	61352 25322	 * 	197.72	DCR|2VULN|2CDMG|1AART|1DMG|1DUR	13CDMG|23VULN|3BPWR|4DUR|5LHND|6AART|7RCR|8BEXP|9LIT|aDMG
122	43412 33327	   	197.72	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6MBVNT|7AART|8RCR|9LHND|aDMG
123	43412 33364	   	197.72	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6MBVNT|7AART|8RCR|9DMG|aLHND
124	43411 33361	   	197.72	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6MBVNT|7AART|8RCR|9DMG|aDUST
125	61313 66213	   	197.65	DCR|4VULN|3CDMG|1ZMB	13aCDMG|235aVULN|3aBPWR|4RCVC|6TLV|7ZMB|8RCR|9aDUST
126	61352 25122	   	197.62	DCR|2VULN|2CDMG|1AART|1DMG|1DUR	13CDMG|23VULN|3BPWR|4DUR|5LHND|6AART|7RCR|8LEGI|9LIT|aDMG
127	43412 33361	   	197.62	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5aDUST|6MBVNT|7AART|8RCR|9DMG
128	43412 33363	   	197.62	DCR|2VULN|2ASPD|1AART|1DMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6MBVNT|7AART|8RCR|9DMG|aTLV
129	12223 61126	   	197.62	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1DUST|2SNIFST|3AART|4DMG|5VULN|6RCR|7ZMB|8ASPD|9LHND|aNUKE
130	12223 61166	   	197.62	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB	1DUST|2SNIFST|3AART|4DMG|5VULN|6RCR|7ZMB|8ASPD|9LWND|aNUKE
131	12223 61116	   	197.52	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1ZMB|1MSE	1DUST|2SNIFST|3AART|4DMG|5VULN|6RCR|7ZMB|8ASPD|9MSE|aNUKE
132	14326 31312	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7AME|aRCR
133	14326 36312	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|4DMG|5ASPD|689VULN|7CGEN|aRCR
134	14363 11312	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8CGEN|aRCR
135	15363 11312	   	197.43	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8CGEN|aRCR
136	14363 11412	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8ERES|aRCR
137	14363 11612	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1DUST|2FEWX|3AART|459VULN|6ASPD|7DMG|8AAC|aRCR
138	14363 31512	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2FEWX|3AART|459VULN|6ERES|7DMG|8ASPD|aRCR
139	15363 11412	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8ERES|aRCR
140	15363 11612	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	1DUST|2BEXP|3AART|459VULN|6ASPD|7DMG|8AAC|aRCR
141	15363 31512	   	197.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|2BEXP|3AART|459VULN|6ERES|7DMG|8ASPD|aRCR
142	53345 32211	   	197.13	DCR|2DMG|2ASPD|1VULN|1AART	1MLV|2LHND|3aDMG|48ASPD|5AART|6FEWX|7RCR|9VULN
143	15323 12211	   	197.03	DCR|2DMG|2ASPD|1VULN|1AART	1DUST|2BEXP|3AART|4aDMG|5MLV|68ASPD|7RCR|9VULN
144	15321 12211	   	196.93	DCR|2DMG|2ASPD|1VULN|1AART	1DUST|2BEXP|3AART|4aDMG|5ERES|68ASPD|7RCR|9VULN
145	61312 14433	   	196.69	DCR|3VULN|2ASPD|2CDMG|1AAC	13CDMG|238VULN|3BPWR|4RCVC|5RPLT|6AAC|7aASPD|9RCR
146	43411 24233	 * 	196.68	DCR|4VULN|3ASPD	1TSLFST|246ASPD|3478VULN|4BPWR|5LHND|9BEXP|aRCR
147	43411 16331	   	196.11	DCR|2VULN|2ASPD|1AART|1CDMG	1TSLFST|24ASPD|34VULN|4BPWR|5LHND|6CDMG|7RCR|8LIT|9AME|aAART
148	51345 32321	   	196.04	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1MLV|28VULN|3DMG|4ASPD|5AART|69FEWX|7RCR|aZMB
149	43412 16213	   	196.01	DCR|2VULN|2ASPD|1AART|1CDMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6CDMG|7RCR|8AART|9LWND|aRPLT
150	43412 16211	   	195.91	DCR|2VULN|2ASPD|1AART|1CDMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6CDMG|7RCR|8AART|9LWND|aERES
151	43412 16212	   	195.91	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6CDMG|7RCR|8AART|9LWND|aSELL
152	43412 16223	   	195.91	DCR|2VULN|2ASPD|1AART|1CDMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6CDMG|7RCR|8AART|9LEGI|aRPLT
153	43412 16221	   	195.81	DCR|2VULN|2ASPD|1AART|1CDMG	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6CDMG|7RCR|8AART|9LEGI|aERES
154	43412 16222	   	195.81	DCR|2VULN|2ASPD|1AART|1CDMG|1SELL	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6CDMG|7RCR|8AART|9LEGI|aSELL
155	43412 16231	   	195.81	DCR|2VULN|2ASPD|1AART|1CDMG|1MSE	1TSLFST|24ASPD|34VULN|4BPWR|5DUST|6CDMG|7RCR|8AART|9MSE|aERES
