0	Index      	 *	Score 	Summary	Detail	
1	32211 42352	 * 	241.26	DCR|4VULN|1MDPS|3CDMG|1ASPD|1DMG	1245VULN|347CDMG|4BPWR|6ASPD|8DMG|9RCR|aMDPS
43	32253 28381	   	215.68	DCR|3VULN|1AART|1ASPD|1DMG|1CDMG	124VULN|3CDMG|5MBVNT|6DMG|7ASPD|8AME|9RCR|aAART
44	26263 13153	   	215.57	DCR|4VULN|1AART|1ASPD|1CDMG	1RCVC|268aVULN|3CDMG|4MLV|5ASPD|7AART|9RCR
45	33111 55334	   	215.49	DCR|3VULN|2DMG|1ASPD|1CDMG	147VULN|2DUST|3ASPD|5CGEN|6RCR|89DMG|aCDMG
46	33113 55334	   	215.49	DCR|3VULN|2DMG|1ASPD|1CDMG	147VULN|2DUST|3ASPD|5AME|6RCR|89DMG|aCDMG
47	26222 33353	   	215.47	DCR|4VULN|1AART|1ASPD|1CDMG	1RCVC|258aVULN|3CDMG|4ERES|6ASPD|7AART|9RCR
48	26222 43353	   	215.47	DCR|4VULN|1AART|1DMG|1CDMG	1RCVC|258aVULN|3CDMG|4ERES|6DMG|7AART|9RCR
49	32134 15243	 * 	215.31	DCR|4VULN|2DMG|1MDPS|2CDMG	128aVULN|3MDPS|4DLOT|58DMG|6RCVC|78CDMG|8BPWR|9RCR
50	32213 28384	   	215.28	DCR|4VULN|2CDMG|1ASPD|1DMG	124aVULN|34CDMG|4BPWR|5MBVNT|6DMG|7ASPD|8AME|9RCR
51	32213 28784	   	215.18	DCR|4VULN|2CDMG|1ASPD|1DMG	124aVULN|34CDMG|4BPWR|5MBVNT|6DMG|7ASPD|8ERES|9RCR
52	11212 52155	 * 	214.91	DCR|1SPLARM|1VULN|2CDMG|1ASPD|1DMG|1ZMB|1DUR	1ZMB|24ERES|34CDMG|4BPWR|5ASPD|6RCR|7SPLARM|8VULN|9DUR|aDMG
53	32213 51815	 * 	214.80	DCR|3VULN|3CDMG|1ASPD|1NUKE|1DUR	124VULN|346CDMG|4BPWR|5MBVNT|7DUR|8ASPD|9RCR|aNUKE
54	36121 55312	 * 	214.61	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	17aVULN|2DUR|34ASPD|5CGEN|6RCR|8DMG|9ZMB
55	36123 55312	   	214.61	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	17aVULN|2DUR|34ASPD|5AME|6RCR|8DMG|9ZMB
56	31623 55312	   	214.51	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	17aVULN|2ERES|3DUR|45ASPD|6RCR|8DMG|9ZMB
57	36111 55331	   	214.42	DCR|3VULN|2DMG|1ASPD|1AAC|1DUR	147VULN|2DUR|3ASPD|5CGEN|6RCR|89DMG|aAAC
58	36113 55331	   	214.42	DCR|3VULN|2DMG|1ASPD|1AAC|1DUR	147VULN|2DUR|3ASPD|5AME|6RCR|89DMG|aAAC
59	32261 43153	   	214.37	DCR|4VULN|1AART|1DMG|1CDMG	128aVULN|3CDMG|4MLV|5RCVC|6DMG|7AART|9RCR
60	32221 33353	   	214.27	DCR|4VULN|1AART|1ASPD|1CDMG	128aVULN|3CDMG|4ERES|5RCVC|6ASPD|7AART|9RCR
61	32221 43353	   	214.27	DCR|4VULN|1AART|1DMG|1CDMG	128aVULN|3CDMG|4ERES|5RCVC|6DMG|7AART|9RCR
62	12623 22162	 * 	214.25	DCR|2AART|2ASPD|1VULN|1DMG|1ZMB|1DUR	1ZMB|2VULN|3DUR|45ASPD|6LWND|7RCR|8aAART|9DMG
63	13223 22162	   	214.25	DCR|2AART|2ASPD|1VULN|1DMG|1ZMB|1DUR	1ZMB|2DUR|3VULN|45ASPD|6LWND|7RCR|8aAART|9DMG
64	35623 22162	   	214.25	DCR|2AART|2ASPD|1VULN|1DMG|1ZMB|1DUR	1VULN|2ZMB|3DUR|45ASPD|6LWND|7RCR|8aAART|9DMG
65	36223 22162	   	214.25	DCR|2AART|2ASPD|1VULN|1DMG|1ZMB|1DUR	1VULN|2DUR|3ZMB|45ASPD|6LWND|7RCR|8aAART|9DMG
66	32251 35324	   	214.07	DCR|5VULN|1AART|1CDMG|1DUR	12456VULN|3CDMG|7LWND|8DUR|9RCR|aAART
67	26212 33616	 * 	213.58	DCR|5VULN|2CDMG|1DMG	1RCVC|2467aVULN|34CDMG|4BPWR|5AELBLL|8DMG|9RCR
68	32263 13653	   	213.47	DCR|4VULN|1AART|1ASPD|1CDMG	126aVULN|3CDMG|4MLV|5ASPD|7AART|8RCVC|9RCR
69	32211 16341	   	213.38	DCR|4VULN|2CDMG|1ASPD|1DMG	1245VULN|34CDMG|4BPWR|6RPLT|7DMG|8BEXP|9ASPD|aRCR
70	32211 16541	   	213.38	DCR|4VULN|2CDMG|1ASPD|1DMG	1245VULN|34CDMG|4BPWR|6RPLT|7DMG|8LHND|9ASPD|aRCR
71	32222 33653	   	213.37	DCR|4VULN|1AART|1ASPD|1CDMG	125aVULN|3CDMG|4ERES|6ASPD|7AART|8RCVC|9RCR
72	32222 43653	   	213.37	DCR|4VULN|1AART|1DMG|1CDMG	125aVULN|3CDMG|4ERES|6DMG|7AART|8RCVC|9RCR
73	32212 42355	   	213.36	DCR|3VULN|3CDMG|1ASPD|1DMG|1AAC	124VULN|347CDMG|4BPWR|5AELBLL|6ASPD|8DMG|9RCR|aAAC
74	32211 35124	   	213.29	DCR|5VULN|1AART|2CDMG	12456VULN|34CDMG|4BPWR|7LWND|8BEXP|9RCR|aAART
75	32211 66325	   	213.28	DCR|4VULN|2CDMG|1ASPD|1DMG	1245VULN|34CDMG|4BPWR|6MBVNT|7LIT|8DMG|9ASPD|aRCR
76	32213 16325	   	213.28	DCR|4VULN|2CDMG|1ASPD|1DMG	1246VULN|34CDMG|4BPWR|5MBVNT|7LIT|8DMG|9ASPD|aRCR
77	34132 64333	 * 	213.13	DCR|3VULN|2AART|2DMG	18aVULN|2AME|3aTLV|46AART|5DMSP|7aDMG|9RCR|aBPWR
78	34532 34333	 * 	213.11	DCR|4VULN|2DMG|1AART	168aVULN|2AME|3aMLV|4AART|5DMSP|7aDMG|9RCR|aBPWR
79	31132 64533	   	213.03	DCR|3VULN|2AART|2DMG	18aVULN|2ERES|3aTLV|46AART|5DMSP|7aDMG|9RCR|aBPWR
80	31532 34533	   	213.01	DCR|4VULN|2DMG|1AART	168aVULN|2ERES|3aMLV|4AART|5DMSP|7aDMG|9RCR|aBPWR
81	34132 34333	   	212.91	DCR|4VULN|2DMG|1AART	168aVULN|2AME|3aTLV|4AART|5DMSP|7aDMG|9RCR|aBPWR
82	32212 42362	   	212.90	DCR|3VULN|3CDMG|1ASPD|1DMG|1DUR	124VULN|347CDMG|4BPWR|5AELBLL|6ASPD|8DMG|9DUR|aRCR
83	32263 13152	   	212.87	DCR|4VULN|1AART|1ASPD|1CDMG	1268VULN|3CDMG|4MLV|5ASPD|7AART|9RCR|aRCVC
84	31132 34533	   	212.81	DCR|4VULN|2DMG|1AART	168aVULN|2ERES|3aTLV|4AART|5DMSP|7aDMG|9RCR|aBPWR
85	34134 34333	   	212.81	DCR|4VULN|2DMG|1AART	168aVULN|2AME|35aTLV|4AART|7aDMG|9RCR|aBPWR
86	32222 33352	   	212.77	DCR|4VULN|1AART|1ASPD|1CDMG	1258VULN|3CDMG|4ERES|6ASPD|7AART|9RCR|aRCVC
87	32222 43352	   	212.77	DCR|4VULN|1AART|1DMG|1CDMG	1258VULN|3CDMG|4ERES|6DMG|7AART|9RCR|aRCVC
88	31134 34533	   	212.71	DCR|4VULN|2DMG|1AART	168aVULN|2ERES|35aTLV|4AART|7aDMG|9RCR|aBPWR
89	11211 63353	   	212.48	DCR|4VULN|1AART|2CDMG|2ZMB	16ZMB|24ERES|34CDMG|46BPWR|568aVULN|7AART|9RCR
90	12221 55334	   	212.43	DCR|4VULN|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2379VULN|4DUR|5CGEN|6RCR|8ASPD|aCDMG
91	12223 55334	   	212.43	DCR|4VULN|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2379VULN|4DUR|5AME|6RCR|8ASPD|aCDMG
92	13211 55334	   	212.43	DCR|4VULN|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3479VULN|5CGEN|6RCR|8ASPD|aCDMG
93	13213 55334	   	212.43	DCR|4VULN|1ASPD|1CDMG|1ZMB|1DUR	1ZMB|2DUR|3479VULN|5AME|6RCR|8ASPD|aCDMG
94	32212 53616	   	212.08	DCR|5VULN|2CDMG|1DMG	1247aVULN|34CDMG|4BPWR|5AELBLL|6RCVC|8DMG|9RCR
95	33121 55334	 * 	211.88	DCR|2VULN|2DMG|2ASPD|1CDMG	17VULN|2DUST|34ASPD|5CGEN|6RCR|89DMG|aCDMG
96	33123 55334	   	211.88	DCR|2VULN|2DMG|2ASPD|1CDMG	17VULN|2DUST|34ASPD|5AME|6RCR|89DMG|aCDMG
97	36113 22164	   	211.84	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	14aVULN|2DUR|3ASPD|5AME|6LWND|7RCR|8AART|9DMG
98	36331 64213	   	211.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	158VULN|2DUR|3LHND|4DLOT|6AART|7RCR|9DMG|aASPD
99	12214 55332	   	211.65	DCR|4VULN|1AART|1ASPD|1ZMB	1ZMB|2379VULN|4AME|5LHND|6RCR|8ASPD|aAART
100	32334 55332	   	211.65	DCR|4VULN|1AART|1ASPD|1ZMB	1279VULN|3AME|4ZMB|5LHND|6RCR|8ASPD|aAART
101	26212 42352	   	211.59	DCR|2VULN|1MDPS|3CDMG|1ASPD|1DMG	1RCVC|24VULN|347CDMG|4BPWR|5AELBLL|6ASPD|8DMG|9RCR|aMDPS
102	32263 13151	   	211.57	DCR|4VULN|1AART|1ASPD|1CDMG	1268VULN|3CDMG|4MLV|5ASPD|7AART|9RCR|aLWND
103	32263 13154	   	211.57	DCR|4VULN|1AART|1ASPD|1CDMG	1268VULN|3CDMG|4MLV|5ASPD|7AART|9RCR|aFEWX
104	32222 33351	   	211.47	DCR|4VULN|1AART|1ASPD|1CDMG	1258VULN|3CDMG|4ERES|6ASPD|7AART|9RCR|aLWND
105	32222 33354	   	211.47	DCR|4VULN|1AART|1ASPD|1CDMG	1258VULN|3CDMG|4ERES|6ASPD|7AART|9RCR|aFEWX
106	32222 43351	   	211.47	DCR|4VULN|1AART|1DMG|1CDMG	1258VULN|3CDMG|4ERES|6DMG|7AART|9RCR|aLWND
107	32222 43354	   	211.47	DCR|4VULN|1AART|1DMG|1CDMG	1258VULN|3CDMG|4ERES|6DMG|7AART|9RCR|aFEWX
108	32222 33153	   	211.47	DCR|4VULN|1AART|1ASPD|1CDMG	125aVULN|3CDMG|4ERES|6ASPD|7AART|8AELBLL|9RCR
109	32222 43153	   	211.47	DCR|4VULN|1AART|1DMG|1CDMG	125aVULN|3CDMG|4ERES|6DMG|7AART|8AELBLL|9RCR
110	32253 15381	   	211.47	DCR|4VULN|1AART|1DMG|1CDMG	1246VULN|3CDMG|5MBVNT|7DMG|8LWND|9RCR|aAART
111	32263 13156	   	211.47	DCR|4VULN|1AART|1ASPD|1CDMG	1268VULN|3CDMG|4MLV|5ASPD|7AART|9RCR|aMBVNT
112	32222 33356	   	211.37	DCR|4VULN|1AART|1ASPD|1CDMG	1258VULN|3CDMG|4ERES|6ASPD|7AART|9RCR|aMBVNT
113	32222 43356	   	211.37	DCR|4VULN|1AART|1DMG|1CDMG	1258VULN|3CDMG|4ERES|6DMG|7AART|9RCR|aMBVNT
