0	Index      	 *	Score 	Summary	Detail	
1	51431 24323	 * 	218.29	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	19DMG|24DUST|39ASPD|5LHND|6DUR|7RCR|89VULN|9BPWR|aCDMG
29	51464 31323	   	201.73	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	17DMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9ZMB|aCDMG
30	51462 33324	 * 	201.14	DCR|3DMG|2ASPD|1VULN|1ZMB	15aDMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9ZMB
31	51462 34224	   	201.14	DCR|3DMG|2ASPD|1VULN|1ZMB	15aDMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9ZMB
32	51464 31324	   	201.14	DCR|3DMG|2ASPD|1VULN|1ZMB	17aDMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9ZMB
33	52551 23323	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	13DMG|2CDMG|4ERES|5ASPD|6RCR|7AART|8BEXP|9VULN|aCGEN
34	52551 23321	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	13DMG|2CDMG|4ERES|5ASPD|6RCR|7AART|8BEXP|9VULN|aDUST
35	52551 23322	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1MSE	13DMG|2CDMG|4ERES|5ASPD|6RCR|7AART|8BEXP|9VULN|aMSE
36	51462 31144	 * 	200.36	DCR|3DMG|1VULN|1AART|1ASPD	157DMG|2DUST|3ASPD|4MBVNT|6RCR|8AART|9BEXP|aVULN
37	52522 22335	 * 	200.19	DCR|3DMG|2AART|1CDMG|1DUR	136DMG|2CDMG|4SPLREG|5aAART|7DUR|8RCR|9DUST
38	24444 22724	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	1aTSLFST|2MBVNT|3BEXP|4aASPD|5AART|6DMG|7RCR|8LWND|9aVULN|aBPWR
39	53121 14323	   	199.78	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	19DMG|2ZMB|3RCVC|49DUR|5LHND|6BEXP|7RCR|89VULN|9BPWR|aCDMG
40	53121 34323	   	199.78	DCR|2VULN|2DMG|1CDMG|2DUR|1ZMB	19DMG|2ZMB|3RCVC|49DUR|5LHND|6FEWX|7RCR|89VULN|9BPWR|aCDMG
41	52423 23523	 * 	199.75	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG|1DUR	15DMG|2CDMG|37LIT|4DUR|6ASPD|8VULN|9RCR|aNUKE
42	52522 21341	   	199.69	DCR|3DMG|1VULN|1AART|1CDMG	136DMG|2CDMG|4SPLREG|5AART|7FEWX|8RCR|9VULN|aMLV
43	52522 21342	   	199.69	DCR|3DMG|1VULN|1AART|1CDMG	136DMG|2CDMG|4SPLREG|5AART|7FEWX|8RCR|9VULN|aLHND
44	52553 23123	   	199.63	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	13DMG|2CDMG|4ERES|5ZMB|6RCR|7AART|8DUR|9VULN|aCGEN
45	52522 21343	   	199.59	DCR|3DMG|1AART|1VULN|1CDMG	136DMG|2CDMG|4SPLREG|5AART|7FEWX|8RCR|9VULN|aERES
46	52553 23121	   	199.53	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	13DMG|2CDMG|4ERES|5ZMB|6RCR|7AART|8DUR|9VULN|aDUST
47	52553 23122	   	199.53	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR|1MSE	13DMG|2CDMG|4ERES|5ZMB|6RCR|7AART|8DUR|9VULN|aMSE
48	12432 27322	 * 	199.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ERES|2CDMG|3LIT|4MBVNT|57AART|6RCR|8ASPD|9DMG|aVULN
49	32432 27322	   	199.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1TLV|2CDMG|3LIT|4MBVNT|57AART|6RCR|8ASPD|9DMG|aVULN
50	63213 51132	 * 	199.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|267VULN|3AART|4DMG|5BEXP|8ERES|9RCR|aASPD
51	63213 51232	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|267VULN|3AART|4DMG|5BEXP|8TLV|9RCR|aASPD
52	63215 41132	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|257VULN|3AART|4DMG|6BEXP|8ERES|9RCR|aASPD
53	63215 41232	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|257VULN|3AART|4DMG|6BEXP|8TLV|9RCR|aASPD
54	63215 61132	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|257VULN|3AART|4DMG|6FEWX|8ERES|9RCR|aASPD
55	63215 61232	   	199.33	DCR|3VULN|1AART|1ASPD|1DMG	1DUST|257VULN|3AART|4DMG|6FEWX|8TLV|9RCR|aASPD
56	63215 53132	 * 	199.09	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|25VULN|3AART|46DMG|7FEWX|8ERES|9RCR|aASPD
57	63215 53232	   	199.09	DCR|2VULN|2DMG|1AART|1ASPD	1DUST|25VULN|3AART|46DMG|7FEWX|8TLV|9RCR|aASPD
58	52511 12313	   	198.95	DCR|3DMG|1VULN|1AART|1CDMG|1DUR	138DMG|2CDMG|4DMSP|5AART|6DLOT|7DUR|9RCR|aVULN
59	12561 23126	   	198.45	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1AAC|1DUR	14ERES|2CDMG|3DMG|5ASPD|6RCR|7AART|8DUR|9VULN|aAAC
60	63532 24213	   	197.95	DCR|2VULN|2DMG|1ASPD|1ZMB|1DUR	1DUST|2aVULN|3ZMB|45DMG|6DUR|7RCR|8ASPD|9LEGI
61	52651 21122	   	197.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1DMG|2CDMG|3DMSP|4ERES|5ASPD|6RCR|79aVULN|8RMIN
62	12561 21122	   	197.81	DCR|3VULN|1ASPD|1DMG|1CDMG	14ERES|2CDMG|3DMG|5ASPD|6RCR|79aVULN|8RMIN
63	52421 22223	   	197.74	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|2CDMG|3LIT|4DUR|568VULN|7ERES|9RCR
64	52421 23523	   	197.74	DCR|3VULN|2DMG|1CDMG|1AAC|1DUR	1aDMG|2CDMG|3LIT|4DUR|568VULN|7AAC|9RCR
65	52421 32523	   	197.74	DCR|3VULN|2DMG|1CDMG|1DUR	1aDMG|2CDMG|3LIT|4DUR|578VULN|6TLV|9RCR
66	52551 21121	   	197.66	DCR|2VULN|2DMG|1ASPD|1CDMG	13DMG|2CDMG|4ERES|5ASPD|6RCR|79VULN|8RMIN|aMLV
67	52551 21123	   	197.66	DCR|2VULN|2DMG|1ASPD|1CDMG	13DMG|2CDMG|4ERES|5ASPD|6RCR|79VULN|8RMIN|aLWND
68	51462 34333	   	197.56	DCR|2VULN|2DMG|1ASPD|1CDMG	15DMG|2DUST|3ASPD|4MBVNT|6RCR|79VULN|8CGEN|aCDMG
69	12522 26226	 * 	197.38	DCR|2VULN|2DMG|1AART|1CDMG	1ERES|2CDMG|35DMG|4LWND|6CGEN|7AART|8RCR|9aVULN
70	52222 36226	   	197.38	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2CDMG|3MLV|4LWND|6ERES|7AART|8RCR|9aVULN
71	52242 53223	   	197.38	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2CDMG|3MLV|4DUST|6AART|7FEWX|8RCR|9aVULN
72	12561 21252	 * 	197.34	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1SELL	14ERES|2CDMG|3DMG|5aASPD|6RCR|7VULN|8SELL|9AART
73	51162 13513	   	197.34	DCR|2DMG|1VULN|1ASPD|1NUKE|1CDMG	17DMG|2DUST|3LIT|4ASPD|5CDMG|6RCR|8VULN|9RCVC|aNUKE
74	32522 36226	   	197.28	DCR|2VULN|2DMG|1AART|1CDMG	1TLV|2CDMG|35DMG|4LWND|6ERES|7AART|8RCR|9aVULN
75	63221 41433	 * 	197.06	DCR|3VULN|2DMG|1AART	1aDUST|27aVULN|3AART|4RCVC|5BEXP|6MLV|8aDMG|9RCR|aBPWR
76	52142 51223	   	197.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	15DMG|2CDMG|3RMIN|4DUST|6AART|7ASPD|8RCR|9MLV|aVULN
77	52511 61222	 * 	197.06	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG	13DMG|2CDMG|4DMSP|5AART|6ASPD|7MDPS|8RCR|9VULN|aMLV
78	51462 34334	   	196.96	DCR|3DMG|2VULN|1ASPD	15aDMG|2DUST|3ASPD|4MBVNT|6RCR|79VULN|8CGEN
79	63221 61433	   	196.96	DCR|3VULN|2DMG|1AART	1aDUST|27aVULN|3AART|4RCVC|5BEXP|6ERES|8aDMG|9RCR|aBPWR
80	63323 61433	   	196.96	DCR|3VULN|2DMG|1AART	13aDUST|25aVULN|4BEXP|6CGEN|7AART|8aDMG|9RCR|aBPWR
81	32542 51223	   	196.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1TLV|2CDMG|35DMG|4DUST|6AART|7ASPD|8RCR|9MLV|aVULN
82	52511 61221	   	196.96	DCR|1MDPS|2DMG|1VULN|1AART|1ASPD|1CDMG	13DMG|2CDMG|4DMSP|5AART|6ASPD|7MDPS|8RCR|9VULN|aERES
83	52511 61223	   	196.96	DCR|2DMG|1MDPS|1VULN|1AART|1ASPD|1CDMG|1MSE	13DMG|2CDMG|4DMSP|5AART|6ASPD|7MDPS|8RCR|9VULN|aMSE
84	63323 41433	   	196.86	DCR|3VULN|2DMG|1AART	13aDUST|25aVULN|4BEXP|6ERES|7AART|8aDMG|9RCR|aBPWR
85	12542 51221	   	196.86	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1ERES|2CDMG|35DMG|4aDUST|6AART|7ASPD|8RCR|9VULN
86	12542 51223	   	196.86	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1MSE	1ERES|2CDMG|35DMG|4DUST|6AART|7ASPD|8RCR|9VULN|aMSE
87	51462 31132	 * 	196.65	DCR|3DMG|1AART|1ASPD|1NUKE	157DMG|2DUST|3ASPD|4MBVNT|6RCR|8AART|9RCVC|aNUKE
88	53532 12512	   	196.58	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ZMB|3LIT|478VULN|5CDMG|6RCR|9RPLT|aDUR
89	12432 23346	   	196.55	DCR|3DMG|1VULN|1AART|1CDMG	1ERES|2CDMG|3LIT|4MBVNT|5AART|6RCR|78aDMG|9VULN
90	52522 21315	   	195.97	DCR|3DMG|1AART|1ASPD|1CDMG	136DMG|2CDMG|4SPLREG|5AART|7FEWX|8RCR|9RPLT|aASPD
91	63252 31422	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|27VULN|3AART|4TLV|5DMSP|6RCR|8DMG|9DUR|aASPD
92	12261 66221	 * 	195.76	DCR|2VULN|2AART|1ASPD|1CDMG	14ERES|2CDMG|3MLV|5ASPD|6aAART|79VULN|8RCR
93	12361 66221	   	195.76	DCR|2VULN|2AART|1ASPD|1CDMG	14ERES|2CDMG|3CGEN|5ASPD|6aAART|79VULN|8RCR
94	12432 27323	 * 	195.73	DCR|2AART|1ASPD|1DMG|1NUKE|1CDMG	1ERES|2CDMG|3LIT|4MBVNT|57AART|6RCR|8ASPD|9DMG|aNUKE
95	32432 27323	   	195.73	DCR|2AART|1ASPD|1DMG|1NUKE|1CDMG	1TLV|2CDMG|3LIT|4MBVNT|57AART|6RCR|8ASPD|9DMG|aNUKE
96	51464 34334	   	195.53	DCR|2VULN|2DMG|2ASPD	1aDMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|79VULN|8CGEN
97	63213 51136	 * 	195.52	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|267VULN|3AART|4DMG|5BEXP|8ERES|9RCR|aCDMG
98	63213 51236	   	195.52	DCR|3VULN|1AART|1DMG|1CDMG	1DUST|267VULN|3AART|4DMG|5BEXP|8TLV|9RCR|aCDMG
99	31464 31534	   	195.43	DCR|2VULN|2DMG|2ASPD	1TLV|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|7aDMG|89VULN
100	51464 31312	   	195.43	DCR|2VULN|2DMG|2ASPD	17DMG|259DUST|35ASPD|4MBVNT|5BPWR|6RCR|8aVULN
101	24444 21814	 * 	195.24	DCR|3DMG|2ASPD|1AART|1ZMB	17TSLFST|2MBVNT|3BEXP|47ASPD|5AART|67aDMG|7BPWR|8ZMB|9RCR
102	63213 51133	 * 	195.12	DCR|4VULN|1AART|1DMG	1aDUST|267aVULN|3AART|4DMG|5BEXP|8aERES|9RCR|aBPWR
103	63213 51233	   	195.12	DCR|4VULN|1AART|1DMG	1aDUST|267aVULN|3AART|4DMG|5BEXP|8aTLV|9RCR|aBPWR
104	63215 41133	   	195.12	DCR|4VULN|1AART|1DMG	1aDUST|257aVULN|3AART|4DMG|6BEXP|8aERES|9RCR|aBPWR
105	63215 41233	   	195.12	DCR|4VULN|1AART|1DMG	1aDUST|257aVULN|3AART|4DMG|6BEXP|8aTLV|9RCR|aBPWR
106	53532 12513	   	195.05	DCR|3VULN|1DMG|1CDMG|1AAC|1ZMB	1DMG|2ZMB|3LIT|478VULN|5CDMG|6RCR|9RPLT|aAAC
107	52551 21223	 * 	194.80	DCR|2DMG|1VULN|2CDMG|1ASPD|1ZMB|1SELL	13DMG|2aCDMG|4ERES|5ASPD|6RCR|7VULN|8SELL|9ZMB
108	52522 22352	   	194.55	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	136DMG|2CDMG|4SPLREG|5AART|7DUR|8RCR|9ZMB|aLIT
109	52522 22334	   	194.45	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR	136DMG|2CDMG|4SPLREG|5AART|7DUR|8RCR|9DUST|aZMB
110	52522 22353	   	194.45	DCR|3DMG|1AART|1CDMG|1ZMB|1DUR|1MSE	136DMG|2CDMG|4SPLREG|5AART|7DUR|8RCR|9ZMB|aMSE
111	53161 24323	   	194.34	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	19DMG|2ZMB|3RCVC|49DUST|5LHND|6DUR|7RCR|89VULN|9BPWR|aCDMG
112	51162 12133	   	194.29	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMG|2DUST|3LIT|4aASPD|5CDMG|6RCR|79VULN|8CGEN
113	51464 33144	 * 	194.26	DCR|3ASPD|1VULN|1AART|1DMG	1DMG|25DUST|357ASPD|4MBVNT|5BPWR|6RCR|8AART|9BEXP|aVULN
114	53532 12352	   	194.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3LIT|47VULN|5CDMG|6RCR|8FEWX|9RPLT|aAART
115	51162 12233	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMG|2DUST|3LIT|4aASPD|5CDMG|6RCR|79VULN|8TLV
116	51464 34333	   	194.19	DCR|2VULN|2ASPD|1DMG|1CDMG	1DMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|79VULN|8CGEN|aCDMG
117	31464 31533	   	194.09	DCR|2VULN|2ASPD|1DMG|1CDMG	1TLV|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|7DMG|89VULN|aCDMG
118	63532 24233	   	193.92	DCR|2DMG|1VULN|1ASPD|1CDMG|1ZMB|1DUR	1DUST|2VULN|3ZMB|45DMG|6DUR|7RCR|8ASPD|9CGEN|aCDMG
119	24444 22128	   	193.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1TSLFST|2MBVNT|3BEXP|4ASPD|5AART|6DMG|7RCR|8DUR|9aVULN
120	51462 33321	   	193.79	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	15DMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9ZMB|aDUR
121	51462 34221	   	193.79	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	15DMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9ZMB|aDUR
122	51464 31321	   	193.79	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	17DMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9ZMB|aDUR
123	52522 21351	   	193.67	DCR|3DMG|1AART|2CDMG|1ZMB	136DMG|2aCDMG|4SPLREG|5AART|7FEWX|8RCR|9ZMB
124	52511 12511	   	193.63	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	13DMG|2CDMG|4DMSP|5AART|6DLOT|7DUR|8VULN|9RCR|aZMB
125	12563 21252	   	193.46	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1SELL	14ERES|2CDMG|3DMG|5ZMB|6RCR|7VULN|8SELL|9AART|aASPD
126	12432 27327	 * 	193.25	DCR|2AART|2DMG|1ASPD|1CDMG	1ERES|2CDMG|3LIT|4MBVNT|57AART|6RCR|8ASPD|9aDMG
127	52551 21332	 * 	193.01	DCR|2DMG|1VULN|2CDMG|1ASPD|1DUR	13DMG|2aCDMG|4ERES|5ASPD|6RCR|7VULN|8BEXP|9DUR
128	51462 31111	   	192.83	DCR|3DMG|1AART|1ASPD|1CDMG	157DMG|2DUST|3ASPD|4MBVNT|6RCR|8AART|9CDMG|aBELT
129	51462 31112	   	192.83	DCR|3DMG|1AART|1ASPD|1CDMG	157DMG|2DUST|3ASPD|4MBVNT|6RCR|8AART|9CDMG|aCGEN
130	51462 31114	   	192.83	DCR|3DMG|1AART|1ASPD|1CDMG	157DMG|2DUST|3ASPD|4MBVNT|6RCR|8AART|9CDMG|aLHND
131	51462 31113	   	192.73	DCR|3DMG|1AART|1ASPD|1CDMG	157DMG|2DUST|3ASPD|4MBVNT|6RCR|8AART|9CDMG|aMSLFST
132	53332 51431	   	192.71	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1DMG|2ZMB|3ERES|48VULN|5RPLT|6CDMG|7ASPD|9RCR|aDUR
133	43342 12252	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1LHND|24VULN|3DUST|5DMG|6DUR|7RMIN|8RCR|9AART|aASPD
134	63142 12252	   	191.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUST|24VULN|3LWND|5DMG|6DUR|7RMIN|8RCR|9AART|aASPD
135	52522 21335	   	191.88	DCR|3DMG|2AART|1CDMG	136DMG|2CDMG|4SPLREG|5aAART|7FEWX|8RCR|9DUST
136	53332 51433	 * 	191.84	DCR|2VULN|2CDMG|1ASPD|1DMG|1ZMB	1DMG|2ZMB|3ERES|48VULN|5RPLT|6aCDMG|7ASPD|9RCR
137	52651 23123	   	191.78	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3DMSP|4ERES|5ASPD|6RCR|7AART|8DUR|9VULN|aCGEN
138	12561 21334	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14ERES|2CDMG|3DMG|5ASPD|6RCR|7VULN|8BEXP|9DUR|aAART
139	12561 23123	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14ERES|2CDMG|3DMG|5ASPD|6RCR|7AART|8DUR|9VULN|aCGEN
140	12561 23124	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14ERES|2CDMG|3DMG|5ASPD|6RCR|7AART|8DUR|9VULN|aLHND
141	12561 23125	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14ERES|2CDMG|3DMG|5ASPD|6RCR|7AART|8DUR|9VULN|aBEXP
142	52651 23121	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|2CDMG|3DMSP|4ERES|5ASPD|6RCR|7AART|8DUR|9VULN|aDUST
143	52651 23122	   	191.68	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	1DMG|2CDMG|3DMSP|4ERES|5ASPD|6RCR|7AART|8DUR|9VULN|aMSE
144	52522 22321	   	191.64	DCR|3DMG|1AART|2CDMG|1DUR	136DMG|2aCDMG|4SPLREG|5AART|7DUR|8RCR|9CGEN
145	12561 23113	   	191.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	149ERES|2CDMG|3DMG|5ASPD|6RCR|7AART|8DUR|aVULN
146	12561 23121	   	191.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	14ERES|2CDMG|3DMG|5ASPD|6RCR|7AART|8DUR|9VULN|aDUST
147	12561 23122	   	191.58	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1DUR|1MSE	14ERES|2CDMG|3DMG|5ASPD|6RCR|7AART|8DUR|9VULN|aMSE
148	24444 61116	   	191.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1TSLFST|2MBVNT|3BEXP|4ASPD|56AART|7CDMG|8DMG|9VULN|aRCR
149	51462 33333	   	191.40	DCR|2DMG|2ASPD|1VULN|1CDMG	15DMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9MLV|aCDMG
150	51462 33343	   	191.40	DCR|2DMG|2ASPD|1VULN|1CDMG	15DMG|2DUST|37ASPD|4MBVNT|6RCR|8VULN|9CGEN|aCDMG
151	51462 34233	   	191.40	DCR|2DMG|2ASPD|1VULN|1CDMG	15DMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9MLV|aCDMG
152	51462 34243	   	191.40	DCR|2DMG|2ASPD|1VULN|1CDMG	15DMG|2DUST|38ASPD|4MBVNT|6RCR|7VULN|9CGEN|aCDMG
153	51464 31333	   	191.40	DCR|2DMG|2ASPD|1VULN|1CDMG	17DMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9MLV|aCDMG
154	51464 31343	   	191.40	DCR|2DMG|2ASPD|1VULN|1CDMG	17DMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|8VULN|9CGEN|aCDMG
155	51464 34343	   	191.40	DCR|2DMG|2ASPD|1VULN|1CDMG	19DMG|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|7VULN|8CGEN|aCDMG
156	52553 23323	   	191.33	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB	13DMG|2CDMG|4ERES|5ZMB|6RCR|7AART|8BEXP|9VULN|aCGEN
157	31464 31543	   	191.30	DCR|2DMG|2ASPD|1VULN|1CDMG	1TLV|25DUST|35ASPD|4MBVNT|5BPWR|6RCR|79DMG|8VULN|aCDMG
