0	Index      	 *	Score 	Summary	Detail	
1	43324 62213	 * 	198.36	DCR|2VULN|2DMG|1AART|3CDMG|1DUR	19DMG|2AART|3DUR|49VULN|5RMIN|69aCDMG|7RCR|8RPLT|9BPWR
14	42622 13622	 * 	185.71	DCR|3VULN|3DMG|2ZMB|1DUR	157DMG|2aZMB|3DUR|4aCGEN|68aVULN|9RCR|aBPWR
15	43224 62212	   	185.28	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2AART|3DUST|49VULN|5RMIN|69CDMG|7RCR|8RPLT|9BPWR|aBEXP
16	43224 62213	   	185.28	DCR|2VULN|2DMG|1AART|2CDMG	19DMG|2AART|3DUST|49VULN|5RMIN|69CDMG|7RCR|8RPLT|9BPWR|aLIT
17	42362 35122	   	184.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	15DMG|2ZMB|3RMIN|49VULN|6aDUR|7RCR|8AART
18	45322 24122	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15DMG|2RPLT|3RMIN|49VULN|6RCR|7CDMG|8AART|aDUR
19	43623 21213	   	183.37	DCR|3VULN|2DMG|1AART	19DMG|2AART|3BEXP|479VULN|5LEGI|6RCR|89FEWX|9BPWR|aLIT
20	43623 21214	   	183.37	DCR|3VULN|2DMG|1AART	19DMG|2AART|3BEXP|479VULN|5LEGI|6RCR|89FEWX|9BPWR|aCGEN
21	43623 21413	   	183.37	DCR|3VULN|2DMG|1AART	19DMG|2AART|3BEXP|479VULN|5LEGI|6RCR|89LHND|9BPWR|aLIT
22	43623 21513	   	183.37	DCR|3VULN|2DMG|1AART	19DMG|2AART|3BEXP|479VULN|5LEGI|6RCR|89LWND|9BPWR|aLIT
23	43623 23216	   	183.37	DCR|3DMG|2VULN|1AART	19aDMG|2AART|3BEXP|49VULN|5LEGI|6RCR|789LWND|9BPWR
24	43421 21321	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3FEWX|479VULN|5aBEXP|6RCR
25	43421 21322	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3FEWX|479VULN|5BEXP|6RCR|aRCVC
26	43421 21323	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3FEWX|479VULN|5BEXP|6RCR|aLWND
27	43421 21325	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3FEWX|479VULN|5BEXP|6RCR|aCGEN
28	43622 21321	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3aBEXP|479VULN|5FEWX|6RCR
29	43622 21322	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3BEXP|479VULN|5FEWX|6RCR|aRCVC
30	43622 21323	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3BEXP|479VULN|5FEWX|6RCR|aLWND
31	43622 21325	   	183.27	DCR|3VULN|2DMG|1AART	18DMG|2AART|3BEXP|479VULN|5FEWX|6RCR|aCGEN
32	43623 21216	   	183.27	DCR|3VULN|2DMG|1AART	19DMG|2AART|3BEXP|479VULN|5LEGI|6RCR|89FEWX|9BPWR|aLSRREG
33	43421 21326	   	183.17	DCR|3VULN|2DMG|1AART	18DMG|2AART|3FEWX|479VULN|5BEXP|6RCR|aDUST
34	43622 21326	   	183.17	DCR|3VULN|2DMG|1AART	18DMG|2AART|3BEXP|479VULN|5FEWX|6RCR|aDUST
35	13152 41531	   	182.13	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6DMG|7LEGI|8RCR|9CDMG
36	42622 13621	   	181.66	DCR|3VULN|3DMG|1ZMB|1DUR	157DMG|2ZMB|3DUR|4CGEN|68aVULN|9RCR
37	43421 21432	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3FEWX|47VULN|5BEXP|6RCR|8LHND|9CDMG
38	43421 21532	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3FEWX|47VULN|5BEXP|6RCR|8LWND|9CDMG
39	43622 21432	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3BEXP|47VULN|5FEWX|6RCR|8LHND|9CDMG
40	43622 21532	   	181.26	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3BEXP|47VULN|5FEWX|6RCR|8LWND|9CDMG
41	43221 21232	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3DUST|47VULN|5BEXP|6RCR|8FEWX|9CDMG
42	43221 21432	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3DUST|47VULN|5BEXP|6RCR|8LHND|9CDMG
43	43221 21532	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3DUST|47VULN|5BEXP|6RCR|8LWND|9CDMG
44	43623 21232	   	181.16	DCR|2VULN|2DMG|1AART|1CDMG	1aDMG|2AART|3BEXP|47VULN|5LEGI|6RCR|8FEWX|9CDMG
45	13152 35351	   	180.84	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR|1ASPD	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7DUR|8CDMG|9ASPD
46	16623 25123	 * 	180.54	DCR|2VULN|1AART|1DMG|2CDMG|1FLTHEA	1FLTHEA|23VULN|49CDMG|5LSRICY|6RCR|7AART|8DUST|aDMG
47	13152 33322	   	180.32	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6RCR|7RPLT|8DUR|9aDMG
48	45222 21321	   	180.17	DCR|3DMG|2VULN|1AART	159DMG|2RPLT|3ERES|4aVULN|6RCR|7AART|8CGEN
49	45222 21421	   	180.07	DCR|3DMG|2VULN|1AART	159DMG|2RPLT|3ERES|4aVULN|6RCR|7AART|8NUKE
50	42362 35121	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15DMG|2ZMB|3RMIN|49VULN|6DUR|7RCR|8AART|aBEXP
51	42362 35123	   	179.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	15DMG|2ZMB|3RMIN|49VULN|6DUR|7RCR|8AART|aLHND
52	43322 35234	   	179.32	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2AART|38DUR|456VULN|7CGEN|9ZMB|aRCR
53	43322 24234	   	179.22	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2AART|38DUR|457VULN|6ERES|9ZMB|aRCR
54	43322 36234	   	179.22	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2AART|38DUR|456VULN|7ERES|9ZMB|aRCR
55	43623 25113	 * 	179.16	DCR|2AART|2DMG|2VULN	19DMG|2aAART|3BEXP|49VULN|5LEGI|6RCR|789FEWX|9BPWR
56	45322 22613	   	179.07	DCR|3VULN|2DMG|1AART	15DMG|2RPLT|3RMIN|47aVULN|6RCR|8LIT|9AART
57	43311 51632	   	178.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	18DMG|2AART|3DUR|4ASPD|5aVULN|6BELT|7RCR|9TLV
58	45222 21243	   	178.16	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|28RPLT|3ERES|4aVULN|6RCR|7AART|9CDMG
59	41343 11113	 * 	177.92	DCR|4VULN|3DMG	18aDMG|2ERES|34aCGEN|567aVULN|9RCR|aBPWR
60	42312 32461	 * 	177.77	DCR|2VULN|2DMG|3ZMB|2DUR|1ASPD	19DMG|259ZMB|3RMIN|4ASPD|67DUR|89VULN|9BPWR|aRCR
61	41433 11113	   	177.72	DCR|4VULN|3DMG	18aDMG|2ERES|3RCVC|4aTLV|567aVULN|9RCR|aBPWR
62	42212 32461	   	177.67	DCR|2VULN|2DMG|3ZMB|2DUR|1ASPD	19DMG|259ZMB|3NUKE|4ASPD|67DUR|89VULN|9BPWR|aRCR
63	45322 24121	   	177.66	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2RPLT|3RMIN|49VULN|6RCR|7CDMG|8AART|aBEXP
64	22312 54116	   	177.62	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1SELL|2aDMG|3BEXP|4aFEWX|5MLV|6RCR|7CDMG|8AART|9aVULN|aBPWR
65	12635 32533	 * 	177.58	DCR|2VULN|2DMG|1AART|2FLTHEA	18FLTHEA|2LWND|38VULN|4MLV|5LIT|68DMG|7AART|8BPWR|9RCR|aCGEN
66	12635 32531	   	177.48	DCR|2VULN|2DMG|1AART|2FLTHEA	18FLTHEA|2LWND|38VULN|4MLV|5LIT|68DMG|7AART|8BPWR|9RCR|aBASICY
67	43311 51432	   	177.06	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DMG|2AART|3DUR|4ASPD|58aVULN|6BELT|7RCR|9TLV
68	16631 61212	 * 	176.68	DCR|4VULN|1DMG|1FLTHEA|1CDMG	1FLTHEA|2349VULN|5DMG|6DMSP|7RCR|8CDMG|aRMIN
69	16633 12161	   	176.68	DCR|4VULN|1DMG|1CDMG|1FLTHEA	1FLTHEA|234aVULN|5BEXP|6FEWX|7RCR|8CDMG|9DMG
70	16631 61211	   	176.58	DCR|4VULN|1DMG|1FLTHEA|1CDMG	1FLTHEA|2349VULN|5DMG|6DMSP|7RCR|8CDMG|aMBVNT
71	16631 61213	   	176.58	DCR|4VULN|1DMG|1FLTHEA|1CDMG	1FLTHEA|2349VULN|5DMG|6DMSP|7RCR|8CDMG|aDUST
72	43322 61321	   	176.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DMG|2AART|3DUR|457VULN|6LIT|8CDMG|9MBVNT|aRCR
73	45222 21522	   	176.46	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	159DMG|2RPLT|3ERES|4VULN|6RCR|7AART|8ASPD|aDUR
74	13152 35363	   	176.28	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6RCR|7DUR|8CDMG|9LSRHEA|aDMG
75	43322 21534	   	175.86	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	18DMG|2AART|3DUR|45VULN|6ERES|7RCVC|9ZMB|aRCR
76	45323 24123	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|25RPLT|3RMIN|49aVULN|6RCR|7CDMG|8AART
77	45331 24123	   	175.73	DCR|3VULN|1AART|1DMG|1CDMG	1DMG|2RPLT|3RMIN|4RCVC|59aVULN|6RCR|7CDMG|8AART
78	42622 35113	   	175.52	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	15DMG|2ZMB|3DUR|4CGEN|6DUST|7RCR|8AART|9VULN|aCDMG
79	42632 35113	   	175.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	15DMG|2ZMB|3DUR|4ERES|6DUST|7RCR|8AART|9VULN|aCDMG
80	43342 23225	   	175.30	DCR|2DMG|1AART|2CDMG|2DUR|1ZMB|1ASPD	19DMG|2AART|3aDUR|47CDMG|5ZMB|6ASPD|8RCR
81	43221 63226	   	175.05	DCR|2VULN|2DMG|1AART|2DUR	1aDMG|2AART|3DUST|4aVULN|5BEXP|6LIT|7aDUR|8RCR|9MBVNT|aBPWR
82	43421 21411	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|39FEWX|47VULN|5BEXP|6RCR|89LHND|9BPWR|aDUR
83	43421 21511	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|39FEWX|47VULN|5BEXP|6RCR|89LWND|9BPWR|aDUR
84	43622 21411	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|39BEXP|47VULN|5FEWX|6RCR|89LHND|9BPWR|aDUR
85	43622 21511	   	174.75	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|39BEXP|47VULN|5FEWX|6RCR|89LWND|9BPWR|aDUR
86	43623 23213	   	174.65	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|3BEXP|49VULN|5LEGI|6RCR|789LWND|9BPWR|aDUR
87	43221 21211	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|39DUST|47VULN|5BEXP|6RCR|89FEWX|9BPWR|aDUR
88	43221 21411	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|39DUST|47VULN|5BEXP|6RCR|89LHND|9BPWR|aDUR
89	43221 21511	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	19DMG|2AART|39DUST|47VULN|5BEXP|6RCR|89LWND|9BPWR|aDUR
90	43421 21331	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3FEWX|47VULN|5BEXP|6RCR|9ASPD|aLHND
91	43421 21332	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3FEWX|47VULN|5BEXP|6RCR|9ASPD|aRCVC
92	43421 21333	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3FEWX|47VULN|5BEXP|6RCR|9ASPD|aCGEN
93	43421 21361	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	18DMG|2AART|3FEWX|47VULN|5BEXP|6RCR|9BELT|aDUR
94	43622 21331	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3BEXP|47VULN|5FEWX|6RCR|9ASPD|aLHND
95	43622 21332	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3BEXP|47VULN|5FEWX|6RCR|9ASPD|aRCVC
96	43622 21333	   	174.55	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3BEXP|47VULN|5FEWX|6RCR|9ASPD|aCGEN
97	43622 21361	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	18DMG|2AART|3BEXP|47VULN|5FEWX|6RCR|9BELT|aDUR
98	43536 22323	   	174.53	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	16DMG|2AART|3LIT|4DUST|56CDMG|6BPWR|7RCR|8DUR|9MLV|aVULN
99	43536 22333	   	174.53	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	16DMG|2AART|3LIT|4DUST|56CDMG|6BPWR|7RCR|8DUR|9BEXP|aVULN
100	43421 21315	   	174.45	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3FEWX|47VULN|5BEXP|6RCR|9TLV|aASPD
101	43421 21334	   	174.45	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3FEWX|47VULN|5BEXP|6RCR|9ASPD|aTLV
102	43622 21315	   	174.45	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3BEXP|47VULN|5FEWX|6RCR|9TLV|aASPD
103	43622 21334	   	174.45	DCR|2VULN|2DMG|1AART|1ASPD	18DMG|2AART|3BEXP|47VULN|5FEWX|6RCR|9ASPD|aTLV
104	16623 25223	   	174.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8CGEN|9MLV|aDMG
105	16623 25231	   	174.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8CGEN|9DMG|aLWND
106	16623 25232	   	174.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8CGEN|9DMG|aFEWX
107	16623 25323	   	174.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8LWND|9LHND|aDMG
108	16623 25333	   	174.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8LWND|9BEXP|aDMG
109	16623 25113	   	174.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8DUST|9LWND|aDMG
110	16623 25131	   	174.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8DUST|9DMG|aBELT
111	16623 25132	   	174.23	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7AART|8DUST|9DMG|aLIT
112	13152 33324	 * 	174.18	DCR|2AART|1VULN|1DMG|1FLTHEA|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4aAART|5VULN|6RCR|7RPLT|8DUR|9DMG
113	13152 35131	   	173.90	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7DUR|8RMIN|9CDMG
114	13152 36351	   	173.90	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1ASPD	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7FEWX|8CDMG|9ASPD
115	36262 35122	   	173.85	DCR|2VULN|2DMG|1AART|2DUR	1FEWX|2DMSP|35DMG|49VULN|6aDUR|7RCR|8AART
116	13152 35362	   	173.80	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7DUR|8CDMG|9LSRHEA
117	13152 35531	   	173.80	DCR|2VULN|1AART|1FLTHEA|1CDMG|1ZMB|1DUR	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7DUR|8TLV|9CDMG
118	43322 32265	   	173.78	DCR|3VULN|1AART|1DMG|1ZMB|1DUR|1SELL	1DMG|2AART|3DUR|456VULN|7BELT|8ZMB|9SELL|aRCR
119	43222 31524	   	173.47	DCR|3VULN|2DMG|1AART	18DMG|2AART|37DUST|456VULN|9BEXP|aRCR
120	13152 31233	   	173.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7MLV|8BEXP|9DMG
121	13152 31631	   	173.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7MLV|9DMG|aLWND
122	13152 31632	   	173.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7MLV|9DMG|aBEXP
123	13152 31633	   	173.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7MLV|9DMG|aLIT
124	13152 31634	   	173.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7MLV|9DMG|aRCVC
125	13152 33122	   	173.38	DCR|2DMG|1AART|1VULN|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6RCR|7RPLT|8LWND|9aDMG
126	45312 24113	   	173.33	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	15DMG|2RPLT|3RMIN|4DUR|6RCR|7aCDMG|8AART|9VULN
127	13152 31636	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7MLV|9DMG|aDUST
128	13152 33635	   	173.28	DCR|2VULN|1AART|2CDMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7RPLT|89CDMG
129	13152 34233	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|5aVULN|6RCR|7TLV|8BEXP|9DMG
130	13152 34631	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7TLV|9DMG|aLWND
131	13152 34632	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7TLV|9DMG|aBEXP
132	13152 34633	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2ERES|3ZMB|4AART|58VULN|6RCR|7TLV|9DMG|aLIT
133	14152 32233	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2TLV|3ZMB|4AART|5aVULN|6RCR|7ERES|8BEXP|9DMG
134	14152 32631	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2TLV|3ZMB|4AART|58VULN|6RCR|7ERES|9DMG|aLWND
135	14152 32632	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2TLV|3ZMB|4AART|58VULN|6RCR|7ERES|9DMG|aBEXP
136	14152 32633	   	173.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1FLTHEA|2TLV|3ZMB|4AART|58VULN|6RCR|7ERES|9DMG|aLIT
137	45212 24113	   	173.23	DCR|2DMG|1AART|1VULN|2CDMG|1DUR	15DMG|2RPLT|3ERES|4DUR|6RCR|7aCDMG|8AART|9VULN
138	21262 45123	   	172.99	DCR|3VULN|1AART|1DMG|1CDMG|1SELL	1SELL|2CDMG|3DUST|49aVULN|5DMG|6RMIN|7RCR|8AART
139	43421 21124	   	172.62	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2AART|3FEWX|479VULN|5BEXP|6RCR|8RCVC|aDUR
140	43421 21224	   	172.62	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2AART|38FEWX|479VULN|5BEXP|6RCR|aDUR
141	43622 21124	   	172.62	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2AART|3BEXP|479VULN|5FEWX|6RCR|8RCVC|aDUR
142	43622 21224	   	172.62	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2AART|3BEXP|479VULN|58FEWX|6RCR|aDUR
143	12653 11151	   	172.53	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1FLTHEA|2LWND|3VULN|4LHND|5FEWX|6RCR|7CDMG|89DMG|aAART
144	43221 22323	   	172.52	DCR|3VULN|1AART|1DMG|1ASPD	1DMG|2AART|3DUST|48aVULN|5BEXP|6RCR|7CGEN|9ASPD
145	43221 21124	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2AART|3DUST|479VULN|5BEXP|6RCR|8RCVC|aDUR
146	43623 21124	   	172.52	DCR|3VULN|1AART|1DMG|1DUR	1DMG|2AART|3BEXP|479VULN|5LEGI|6RCR|8RCVC|aDUR
147	42522 35113	   	172.52	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2ZMB|3BEXP|4CGEN|6DUST|7RCR|8AART|9aVULN
148	43311 51411	   	172.51	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1DMG|2AART|3DUR|4ASPD|58VULN|6BELT|7RCR|9BEXP|aZMB
149	43311 51611	   	172.51	DCR|2DMG|1AART|1VULN|1ZMB|1ASPD|1DUR	18DMG|2AART|3DUR|4ASPD|5VULN|6BELT|7RCR|9BEXP|aZMB
150	12652 11151	   	172.43	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA	1FLTHEA|2LWND|3VULN|4LHND|5DUST|6RCR|7CDMG|89DMG|aAART
151	42532 35113	   	172.42	DCR|2VULN|2DMG|1AART|1ZMB	15DMG|2ZMB|3BEXP|4ERES|6DUST|7RCR|8AART|9aVULN
152	16623 21631	   	172.33	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA	1FLTHEA|23VULN|4CDMG|5LSRICY|6RCR|7DUST|8BASHEA|9DMG|aAART
153	45312 24111	   	172.31	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	15DMG|2RPLT|3RMIN|4aDUR|6RCR|7CDMG|8AART|9VULN
154	45212 24111	   	172.21	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	15DMG|2RPLT|3ERES|4aDUR|6RCR|7CDMG|8AART|9VULN
155	22433 24635	   	171.67	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1SELL|29DMG|3DUR|4VULN|5MBVNT|6CDMG|7ZMB|8RCR|aAART
156	26333 24635	   	171.67	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1SELL	1SELL|2DUR|39DMG|4VULN|5MBVNT|6CDMG|7ZMB|8RCR|aAART
157	13152 41533	   	171.48	DCR|1AART|1VULN|1DMG|1CDMG|1FLTHEA|1ZMB|1ASPD	1FLTHEA|2ERES|3ZMB|4AART|5VULN|6DMG|7LEGI|8RCR|9CDMG|aASPD
158	43226 61321	   	171.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2AART|3DUST|47VULN|6LIT|8CDMG|9MBVNT|aRCR
159	43532 31321	   	171.46	DCR|2VULN|2DMG|1AART|1CDMG	15DMG|2AART|3LIT|4DUST|67VULN|8CDMG|9MBVNT|aRCR
160	45222 21512	   	171.45	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2RPLT|3ERES|49VULN|6RCR|7AART|8ASPD|aCGEN
161	45222 21513	   	171.45	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2RPLT|3ERES|49VULN|6RCR|7AART|8ASPD|aLIT
162	45222 21511	   	171.35	DCR|2VULN|2DMG|1AART|1ASPD	15DMG|2RPLT|3aERES|49VULN|6RCR|7AART|8ASPD
