0	Index      	 *	Score 	Summary	Detail	
1	12644 64714	 * 	188.14	ACR|4VULN|3DMG	168BEXP|2RCR|3MBVNT|49FEWX|589aVULN|789DMG|89BPWR
83	12674 74243	 * 	166.28	ACR|3VULN|1DMG|2ASPD|2DUR	1BEXP|2RCR|3MBVNT|46DUR|56aVULN|6BPWR|7DMG|89ASPD
84	52121 26332	   	166.10	ACR|3DMG|1AART|1VULN	18DUST|2RCR|3RMIN|4LIT|58MLV|6AART|789DMG|8BPWR|aVULN
85	12263 12233	   	166.03	ACR|2VULN|2DMG|1AART	1BEXP|2RCR|3aTLV|4MLV|5VENICY|6aDMG|7DUST|8aVULN|9AART|aBPWR
86	12463 12233	   	166.03	ACR|2VULN|2DMG|1AART	1BEXP|2RCR|3aERES|4MLV|5VENICY|6aDMG|7DUST|8aVULN|9AART|aBPWR
87	42263 12233	   	166.03	ACR|2VULN|2DMG|1AART	1FEWX|2RCR|3aTLV|4MLV|5VENICY|6aDMG|7DUST|8aVULN|9AART|aBPWR
88	42463 12233	   	166.03	ACR|2VULN|2DMG|1AART	1FEWX|2RCR|3aERES|4MLV|5VENICY|6aDMG|7DUST|8aVULN|9AART|aBPWR
89	52215 13233	   	165.93	ACR|2VULN|2DMG|1AART	1DUST|2RCR|3aTLV|4BASICY|5ERES|6aDMG|7BEXP|8aVULN|9AART|aBPWR
90	52215 16233	   	165.93	ACR|2VULN|2DMG|1AART	1DUST|2RCR|3aTLV|4BASICY|5ERES|6aDMG|7LWND|8aVULN|9AART|aBPWR
91	52263 13233	   	165.93	ACR|2VULN|2DMG|1AART	1DUST|2RCR|3aTLV|4ERES|5VENICY|6aDMG|7BEXP|8aVULN|9AART|aBPWR
92	52263 16233	   	165.93	ACR|2VULN|2DMG|1AART	1DUST|2RCR|3aTLV|4ERES|5VENICY|6aDMG|7LWND|8aVULN|9AART|aBPWR
93	52423 13233	   	165.93	ACR|2VULN|2DMG|1AART	1DUST|2RCR|3aERES|4TLV|5VENICY|6aDMG|7BEXP|8aVULN|9AART|aBPWR
94	52423 16233	   	165.93	ACR|2VULN|2DMG|1AART	1DUST|2RCR|3aERES|4TLV|5VENICY|6aDMG|7LWND|8aVULN|9AART|aBPWR
95	12674 47222	   	165.89	ACR|2VULN|1AART|2CDMG|3DUR	1aBEXP|2RCR|3MBVNT|469DUR|5aVULN|7AART|8aCDMG|aBPWR
96	21125 36232	   	165.52	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2LWND|3MLV|45DMG|6aAART|7VULN|8FEWX|9RCR
97	62511 21343	 * 	165.49	ACR|3VULN|1DMG|2CDMG|2DUR	1LIT|24CDMG|34DUR|4BPWR|5RCR|67aVULN|8MBVNT|9DMG
98	62511 61243	   	165.49	ACR|3VULN|1DMG|2CDMG|2DUR	1LIT|24CDMG|34DUR|4BPWR|5RCR|6MBVNT|78aVULN|9DMG
99	33332 41512	 * 	165.48	ACR|2AART|2VULN|2DMG|1CDMG|2MSE	17MSE|27DMG|3RPLT|4RCR|59AART|67VULN|7BPWR|8RCVC|aCDMG
100	21125 36332	   	165.42	DCR|2DMG|2AART|1VULN|1CDMG	1CDMG|2LWND|3MLV|45DMG|6aAART|7VULN|8DUST|9RCR
101	12644 74733	   	165.22	ACR|3VULN|2DMG|1DUR	18BEXP|2RCR|3MBVNT|46FEWX|568VULN|68BPWR|78DMG|9LIT|aDUR
102	12644 74743	   	165.22	ACR|3VULN|2DMG|1DUR	18BEXP|2RCR|3MBVNT|469FEWX|568VULN|68BPWR|78DMG|aDUR
103	26326 18343	   	165.11	DCR|3DMG|1AART|1CDMG|1ZMB|1ASPD	1CDMG|2MBVNT|3CGEN|458DMG|6ZMB|7ASPD|9RCR|aAART
104	26734 23613	   	165.06	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1CDMG|2MBVNT|3ASPD|4RCR|5LWND|6aVULN|7DUR|89DMG
105	42361 23241	   	165.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2RCR|3LHND|4DUR|5AART|6DMG|7RMIN|8CDMG|9ZMB|aVULN
106	42361 23252	   	165.05	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2RCR|3LHND|4DUR|5AART|6DMG|7RMIN|8CDMG|9VULN|aZMB
107	63313 26336	   	165.03	ACR|2VULN|2DMG|1AART	146LIT|2aDMG|3RCR|5MLV|7AART|8aDUST|9aVULN|aBPWR
108	24351 31623	   	164.97	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1CDMG|2RPLT|3ZMB|4DUR|5LWND|6VULN|7RCR|8AART|9ASPD|aDMG
109	42361 22241	   	164.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2RCR|3LHND|4DUR|5AART|6DMG|7ERES|8CDMG|9ZMB|aVULN
110	42361 22262	   	164.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1FEWX|2RCR|3LHND|4DUR|5AART|6DMG|7ERES|8CDMG|9VULN|aZMB
111	52361 23241	   	164.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2RCR|3LHND|4DUR|5AART|6DMG|7RMIN|8CDMG|9ZMB|aVULN
112	52361 23252	   	164.95	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2RCR|3LHND|4DUR|5AART|6DMG|7RMIN|8CDMG|9VULN|aZMB
113	52361 22241	   	164.85	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2RCR|3LHND|4DUR|5AART|6DMG|7ERES|8CDMG|9ZMB|aVULN
114	52361 22262	   	164.85	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUST|2RCR|3LHND|4DUR|5AART|6DMG|7ERES|8CDMG|9VULN|aZMB
115	26541 73224	 * 	164.81	DCR|3VULN|1AART|1CDMG|1DUR	1CDMG|2MBVNT|3RMIN|4AART|5VENICY|6RCR|79aVULN|8DUR
116	26542 73224	   	164.81	DCR|3VULN|1AART|1CDMG|1DUR	1CDMG|2MBVNT|3RMIN|4AART|5AIRHEL|6RCR|79aVULN|8DUR
117	42213 63121	   	164.70	ACR|3VULN|1AART|1DMG	1FEWX|2RCR|3TLV|4BASICY|5RPLT|69aVULN|7DMG|8AART
118	42413 63121	   	164.70	ACR|3VULN|1AART|1DMG	1FEWX|2RCR|3ERES|4BASICY|5RPLT|69aVULN|7DMG|8AART
119	42433 63121	   	164.70	ACR|3VULN|1AART|1DMG	1FEWX|2RCR|3ERES|4LSRREG|5RPLT|69aVULN|7DMG|8AART
120	52213 63121	   	164.60	ACR|3VULN|1AART|1DMG	1DUST|2RCR|3TLV|4BASICY|5RPLT|69aVULN|7DMG|8AART
121	52413 63121	   	164.60	ACR|3VULN|1AART|1DMG	1DUST|2RCR|3ERES|4BASICY|5RPLT|69aVULN|7DMG|8AART
122	52415 23121	   	164.60	ACR|3VULN|1AART|1DMG	1DUST|2RCR|3ERES|4BASICY|59aVULN|6RPLT|7DMG|8AART
123	52433 63121	   	164.60	ACR|3VULN|1AART|1DMG	1DUST|2RCR|3ERES|4LSRREG|5RPLT|69aVULN|7DMG|8AART
124	52435 23121	   	164.60	ACR|3VULN|1AART|1DMG	1DUST|2RCR|3ERES|4LSRREG|59aVULN|6RPLT|7DMG|8AART
125	12681 24741	   	164.59	ACR|2VULN|1AART|1DMG|1CDMG	1BEXP|2RCR|3MBVNT|47LHND|5AART|6DMG|8CDMG|9aVULN
126	12681 24744	   	164.59	ACR|2DMG|1AART|1VULN|1CDMG	1BEXP|2RCR|3MBVNT|47LHND|5AART|6aDMG|8CDMG|9VULN
127	42681 24441	   	164.59	ACR|2VULN|1AART|1DMG|1CDMG	1FEWX|2RCR|3MBVNT|47LHND|5AART|6DMG|8CDMG|9aVULN
128	42681 24444	   	164.59	ACR|2DMG|1AART|1VULN|1CDMG	1FEWX|2RCR|3MBVNT|47LHND|5AART|6aDMG|8CDMG|9VULN
129	26741 51421	   	164.54	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1SELL	1CDMG|2MBVNT|3ASPD|4SELL|5RCR|6ZMB|79aVULN|8DMG
130	24143 15133	   	164.51	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1CDMG|2RPLT|3MLV|4aVULN|5AIRHEA|6DMG|7RCR|8AART|9ASPD
131	52641 17314	   	164.49	ACR|2DMG|1AART|1VULN|1CDMG	1DUST|2RCR|3MBVNT|4FEWX|5AART|6LHND|7CDMG|8VULN|9aDMG
132	26731 13384	 * 	164.46	ACR|2DMG|1VULN|2CDMG|2ASPD|1ZMB	18CDMG|2MBVNT|36ASPD|4RCR|568ERES|68BPWR|78DMG|9VULN|aZMB
133	13322 45141	   	164.21	DCR|2VULN|2AART|1DMG|1DUR	18BEXP|2DMG|3RPLT|4DUR|59AART|6aVULN|7RCR
134	13322 45325	   	164.21	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|28DMG|3RPLT|4DUR|5aAART|6VULN|7RCR|9LIT
135	13322 45342	   	164.21	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|28DMG|3RPLT|4DUR|59AART|6VULN|7RCR|aLWND
136	13322 45343	   	164.21	DCR|2AART|2DMG|1VULN|1DUR	1BEXP|28DMG|3RPLT|4DUR|59AART|6VULN|7RCR|aRCVC
137	63623 25233	 * 	164.21	ACR|2AART|1VULN|1DMG|2ASPD|1CDMG	1LIT|2DMG|3DUST|47ASPD|5RCR|68AART|9VULN|aCDMG
138	26733 36224	 * 	164.10	ACR|3DMG|2CDMG|2ZMB|2ASPD	1aCDMG|2MBVNT|3aASPD|4RCR|58ZMB|6CGEN|79aDMG|aBPWR
139	12674 13454	   	164.09	ACR|2AART|1VULN|1DMG|1CDMG|1DUR	1BEXP|2RCR|3MBVNT|4DUR|5VULN|6ERES|79AART|8CDMG|aDMG
140	42361 32531	   	164.08	ACR|2AART|1VULN|1DMG|2DUR|1ASPD	1FEWX|2RCR|3LHND|47DUR|58AART|6VULN|9DMG|aASPD
141	26733 26224	   	164.00	ACR|3DMG|2CDMG|2ZMB|2ASPD	1aCDMG|2MBVNT|3aASPD|4RCR|58ZMB|6TLV|79aDMG|aBPWR
142	63421 42233	   	163.97	DCR|3VULN|2DMG|1ZMB	19LIT|29DMG|3RPLT|4RCVC|5ZMB|6DUST|7RCR|89aVULN|9BPWR
143	63233 23335	   	163.83	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	17LIT|28DMG|3DUR|4RMIN|5RCR|6AART|9VULN|aCDMG
144	13322 45334	   	163.77	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BEXP|28DMG|3RPLT|4DUR|5AART|6VULN|7RCR|9FEWX|aZMB
145	63223 25336	 * 	163.73	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1LIT|2aDMG|3DUR|47ASPD|5RCR|6AART|8LWND|9VULN
146	12552 22315	 * 	163.70	ACR|2DMG|1AART|1VULN|2ZMB	18BEXP|2RCR|35CGEN|48ZMB|68DMG|7RCVC|8BPWR|9AART|aVULN
147	13322 45312	   	163.67	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1BEXP|28DMG|3RPLT|4DUR|5AART|6VULN|7RCR|9ERES|aZMB
148	62511 21215	 * 	163.45	ACR|4VULN|2CDMG|3DUR	1LIT|24CDMG|34aDUR|4BPWR|5RCR|6789VULN
149	26238 25241	   	163.19	DCR|2VULN|1AART|1DMG|2CDMG	17CDMG|2MBVNT|3LWND|4DUST|5AART|6aVULN|8RCR|9DMG
150	26238 25244	   	163.19	DCR|2DMG|1AART|1VULN|2CDMG	17CDMG|2MBVNT|3LWND|4DUST|5AART|6VULN|8RCR|9aDMG
151	26238 82241	   	163.19	DCR|2VULN|1AART|1DMG|2CDMG	16CDMG|2MBVNT|3LWND|4DUST|5AART|7aVULN|8RCR|9DMG
152	26238 82244	   	163.19	DCR|2DMG|1AART|1VULN|2CDMG	16CDMG|2MBVNT|3LWND|4DUST|5AART|7VULN|8RCR|9aDMG
153	26438 25241	   	163.19	DCR|2VULN|1AART|1DMG|2CDMG	17CDMG|2MBVNT|3BEXP|4DUST|5AART|6aVULN|8RCR|9DMG
154	26438 25244	   	163.19	DCR|2DMG|1AART|1VULN|2CDMG	17CDMG|2MBVNT|3BEXP|4DUST|5AART|6VULN|8RCR|9aDMG
155	26438 82241	   	163.19	DCR|2VULN|1AART|1DMG|2CDMG	16CDMG|2MBVNT|3BEXP|4DUST|5AART|7aVULN|8RCR|9DMG
156	26438 82244	   	163.19	DCR|2DMG|1AART|1VULN|2CDMG	16CDMG|2MBVNT|3BEXP|4DUST|5AART|7VULN|8RCR|9aDMG
157	26734 23612	 * 	163.12	ACR|3DMG|1VULN|1CDMG|1DUR|1ASPD	1CDMG|2MBVNT|3ASPD|4RCR|5LWND|6VULN|7DUR|89aDMG
158	52361 36333	   	163.08	ACR|2VULN|1AART|2CDMG|2DUR	1DUST|2RCR|3LHND|4aDUR|5AART|68VULN|79CDMG
159	33332 41513	 * 	162.84	ACR|2AART|2VULN|2DMG|1ZMB|2MSE	17MSE|27DMG|3RPLT|4RCR|59AART|67VULN|7BPWR|8RCVC|aZMB
160	12231 36152	 * 	162.79	ACR|2DMG|1AART|1VULN|1FLTHEA	1BEXP|2RCR|3TLV|4CGEN|5LWND|6FLTHEA|7aDMG|8AART|9VULN
