0	Index      	 *	Score 	Summary	Detail	
1	41411 52232	 * 	200.63	ACR|4VULN|2DMG|2ZMB|1CDMG|1DUR	169aVULN|2DUR|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR
17	43411 35232	   	179.59	ACR|3VULN|2DMG|2ZMB|1CDMG	19aVULN|2LHND|39ZMB|4CDMG|5RCR|6BEXP|7RCVC|89DMG|9BPWR
18	43411 52231	   	179.59	ACR|3VULN|2DMG|2ZMB|1CDMG	169VULN|2LHND|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aBEXP
19	61311 52232	   	179.59	ACR|3VULN|2DMG|2ZMB|1CDMG	19ZMB|2CDMG|39LHND|46aVULN|5RCR|7FEWX|89DMG|9BPWR
20	42411 35232	   	179.49	ACR|3VULN|2DMG|2ZMB|1CDMG	19aVULN|2DUST|39ZMB|4CDMG|5RCR|6BEXP|7RCVC|89DMG|9BPWR
21	42411 36232	   	179.49	ACR|3VULN|2DMG|2ZMB|1CDMG	19aVULN|2DUST|39ZMB|4CDMG|5RCR|67BEXP|89DMG|9BPWR
22	42411 52231	   	179.49	ACR|3VULN|2DMG|2ZMB|1CDMG	169VULN|2DUST|39ZMB|4CDMG|5RCR|7aFEWX|89DMG|9BPWR
23	42411 52232	   	179.49	ACR|3VULN|2DMG|2ZMB|1CDMG	169VULN|2DUST|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aLHND
24	43411 52233	   	179.49	ACR|3VULN|2DMG|2ZMB|1CDMG	169VULN|2LHND|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aERES
25	42411 52233	   	179.39	ACR|3VULN|2DMG|2ZMB|1CDMG	169VULN|2DUST|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aERES
26	21163 36135	 * 	179.04	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|3RCR|4aVULN|5LIT|6DUR|7AART|8DMG|9ZMB
27	41411 52222	   	178.99	ACR|4VULN|1DMG|1CDMG|1ZMB|1DUR	169aVULN|2DUR|3ZMB|4CDMG|5RCR|7FEWX|8DMG
28	13314 68137	   	178.88	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	1aDUR|2aDUST|3ASPD|4MBVNT|59VULN|6aDMG|7AART|8RCR|aBPWR
29	53415 22133	 * 	178.58	ACR|5VULN|1DMG|1CDMG	1TLV|2LIT|3RCR|4679aVULN|5CDMG|8DMG
30	21136 43233	 * 	178.08	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|2CDMG|3RCR|4CGEN|59VULN|6FEWX|7aDMG|8AART
31	22526 43233	   	178.08	ACR|2VULN|2DMG|1AART|1CDMG	1RPLT|2CGEN|3RCR|4CDMG|59VULN|6FEWX|7aDMG|8AART
32	21144 33143	 * 	178.05	ACR|3VULN|1AART|2CDMG|2ZMB	1RPLT|29CDMG|3RCR|4LHND|59aVULN|69ZMB|7AART|8RMIN|9BPWR
33	45311 42231	 * 	177.81	DCR|4VULN|2DMG|1ZMB|1ASPD	1479VULN|24DMG|3RCVC|4BPWR|5FEWX|6ASPD|8ZMB|aRCR
34	15244 14881	 * 	177.66	DCR|3VULN|1AART|1DMG|1FLTHEA|2DUR	17DUR|2DMG|3MBVNT|47DUST|567VULN|7BPWR|8FLTHEA|9AART|aRCR
35	21124 36243	   	177.45	ACR|3VULN|1AART|2CDMG|2ZMB	1RPLT|29CDMG|3RCR|4BEXP|59aVULN|69ZMB|7RMIN|8AART|9BPWR
36	61346 13112	 * 	177.33	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	17ZMB|2CDMG|3LHND|4AART|58DMG|6RCR|9VULN|aBEXP
37	61346 13113	   	177.33	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	17ZMB|2CDMG|3LHND|4AART|58DMG|6RCR|9VULN|aRMIN
38	21163 31612	   	177.24	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RPLT|2CDMG|3RCR|4VULN|5LIT|6DUR|78DMG|9ZMB|aAART
39	61346 13111	   	177.23	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	17ZMB|2CDMG|3LHND|4AART|58DMG|6RCR|9VULN|aDUST
40	31411 51232	   	177.19	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19LHND|2DUR|39ZMB|47CDMG|5RCR|6aVULN|89DMG|9BPWR
41	61211 41232	   	177.19	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19ZMB|27CDMG|39FEWX|4aVULN|5RCR|6DUR|89DMG|9BPWR
42	61311 41232	   	177.19	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19ZMB|27CDMG|39LHND|4aVULN|5RCR|6DUR|89DMG|9BPWR
43	41411 31231	   	177.19	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2DUR|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR|aFEWX
44	41411 31234	   	177.19	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2DUR|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR|aRCVC
45	41411 31235	   	177.19	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2DUR|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR|aBELT
46	43411 41231	   	177.19	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2LHND|39ZMB|47CDMG|5RCR|6DUR|89DMG|9BPWR|aBEXP
47	21116 48443	 * 	177.11	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RPLT|24CDMG|3RCR|5MBVNT|6DMG|7ZMB|8aVULN|9AART
48	41411 31233	   	177.09	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2DUR|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR|aERES
49	42411 41231	   	177.09	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2DUST|39ZMB|47CDMG|5RCR|6DUR|89DMG|9BPWR|aFEWX
50	43411 41233	   	177.09	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2LHND|39ZMB|47CDMG|5RCR|6DUR|89DMG|9BPWR|aERES
51	42411 31234	   	177.09	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2DUST|39ZMB|47CDMG|5RCR|6BEXP|89DMG|9BPWR|aDUR
52	42411 41233	   	176.99	ACR|2VULN|2DMG|2CDMG|2ZMB|1DUR	19VULN|2DUST|39ZMB|47CDMG|5RCR|6DUR|89DMG|9BPWR|aERES
53	21124 12243	 * 	176.70	ACR|4VULN|1AART|2CDMG	1RPLT|29CDMG|3RCR|4BEXP|569aVULN|79LHND|8AART|9BPWR
54	21164 13243	   	176.60	ACR|4VULN|1AART|2CDMG	1RPLT|29CDMG|3RCR|459aVULN|6LEGI|79BEXP|8AART|9BPWR
55	45311 13316	 * 	176.47	DCR|3VULN|3DMG|2ZMB	148VULN|248DMG|3RCVC|48BPWR|5FEWX|69ZMB|78LIT|aRCR
56	45313 13316	   	176.47	DCR|3VULN|3DMG|2ZMB	148VULN|248DMG|3RCVC|48BPWR|5LWND|69ZMB|78LIT|aRCR
57	41212 35213	 * 	176.37	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|2DUR|1ZMB	1VULN|26DUR|3LWND|4FLTHEA|5ZMB|7RCR|8DMG|9AART|aCDMG
58	41213 45213	   	176.37	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|2DUR|1ZMB	1VULN|25DUR|3LWND|4FLTHEA|6ZMB|7RCR|8DMG|9AART|aCDMG
59	41411 42231	   	176.17	ACR|2VULN|2DMG|2ZMB|1CDMG|2DUR	19VULN|26DUR|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aBEXP
60	13411 55232	   	176.07	ACR|2VULN|2DMG|2ZMB|1CDMG|2DUR	19DUR|2DUST|39ZMB|4CDMG|5RCR|6aVULN|7RCVC|89DMG|9BPWR
61	41411 42233	   	176.07	ACR|2VULN|2DMG|2ZMB|1CDMG|2DUR	19VULN|26DUR|39ZMB|4CDMG|5RCR|7FEWX|89DMG|9BPWR|aERES
62	21144 33321	 * 	175.93	ACR|2VULN|3ZMB|1AART|2CDMG	1RPLT|2aCDMG|3RCR|4LHND|5aVULN|68aZMB|7AART|9BELT|aBPWR
63	12165 43233	 * 	175.64	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2CGEN|3ZMB|49aVULN|5RCR|6FEWX|7DMG|8AART
64	15163 63134	   	175.62	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2DMG|3ZMB|49aVULN|5LEGI|6MBVNT|7AART|8RCR
65	12165 63233	   	175.54	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2CGEN|3ZMB|49aVULN|5RCR|6MBVNT|7DMG|8AART
66	61211 51262	   	175.54	ACR|3VULN|2DMG|1CDMG|1ZMB	1ZMB|2CDMG|3FEWX|469VULN|5RCR|7MLV|8aDMG
67	42411 26232	   	175.44	ACR|3VULN|2DMG|1CDMG|1ZMB	19aVULN|29DUST|3ZMB|4CDMG|5RCR|6NUKE|7RMIN|89DMG|9BPWR
68	45124 13121	 * 	175.19	ACR|2VULN|2DMG|1AART|2ZMB	1aVULN|2aDMG|38ZMB|4DUST|5RCR|6aLWND|7AART|9BELT|aBPWR
69	21163 36125	   	174.97	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1RPLT|2CDMG|3RCR|4aVULN|5LIT|6DUR|7AART|8DMG|9ASPD
70	11131 68442	 * 	174.76	DCR|2VULN|2DMG|1AART|3DUR	12aDUR|3MBVNT|4aDMG|5CGEN|6BEXP|7aVULN|8RCR|9AART|aBPWR
71	11134 68442	   	174.76	DCR|2VULN|2DMG|1AART|3DUR	12aDUR|3MBVNT|4aDMG|5MLV|6BEXP|7aVULN|8RCR|9AART|aBPWR
72	15221 68442	   	174.66	DCR|2VULN|2DMG|1AART|3DUR	15aDUR|2aDMG|3MBVNT|4ERES|6BEXP|7aVULN|8RCR|9AART|aBPWR
73	21144 53333	   	174.63	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RPLT|2CDMG|3RCR|4LHND|59aVULN|6ASPD|7AART|8ZMB
74	21165 53333	   	174.63	ACR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1RPLT|2CDMG|3RCR|49aVULN|5LHND|6ASPD|7AART|8ZMB
75	45312 26231	   	174.50	DCR|3VULN|2DMG|2ZMB|1DUR|1ASPD	149VULN|24DMG|3RCVC|4BPWR|5ASPD|67ZMB|8DUR|aRCR
76	61211 66233	   	173.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1ZMB|2CDMG|3FEWX|49VULN|5RCR|6ASPD|7RPLT|8AART|aDMG
77	15244 38137	 * 	173.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3MBVNT|4DUST|59VULN|6ZMB|7AART|8RCR|aCDMG
78	61311 15136	   	173.51	ACR|2VULN|1AART|2CDMG|1DMG|1ZMB	1ZMB|29CDMG|3LHND|48VULN|5RCR|6ERES|7AART|aDMG
79	61346 11112	   	173.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3LHND|4AART|58DMG|6RCR|7DMSP|9VULN|aBEXP
80	61346 11113	   	173.48	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3LHND|4AART|58DMG|6RCR|7DMSP|9VULN|aRMIN
81	61346 11111	   	173.38	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1ZMB|2CDMG|3LHND|4AART|58DMG|6RCR|7DMSP|9VULN|aDUST
82	45313 12351	   	173.27	DCR|4VULN|2DMG|1ZMB	1478VULN|24DMG|3RCVC|4BPWR|5LWND|6ZMB|9RCR|aCGEN
83	45313 12352	   	173.27	DCR|4VULN|2DMG|1ZMB	1478VULN|24DMG|3RCVC|4BPWR|5aLWND|6ZMB|9RCR
84	45313 12353	   	173.17	DCR|4VULN|2DMG|1ZMB	1478VULN|24DMG|3RCVC|4BPWR|5LWND|6ZMB|9RCR|aDUST
85	45133 33316	   	172.95	DCR|3DMG|2VULN|2ZMB|2DUR	18VULN|248DMG|39ZMB|56DUR|78LIT|8BPWR|aRCR
86	15164 12213	   	172.94	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2DMG|3ZMB|48VULN|5RCR|6LWND|7LSRHEA|9AART|aCDMG
87	21163 61135	   	172.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3RCR|4aVULN|5LIT|6AART|7LWND|8DMG|9ZMB
88	21163 66133	   	172.60	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2CDMG|3RCR|49VULN|5LIT|6AART|7ZMB|8BASHEA|aDMG
89	41411 26231	   	172.22	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	19VULN|29DUR|3ZMB|4CDMG|5RCR|6NUKE|7RMIN|89DMG|9BPWR|aFEWX
90	41411 26233	   	172.12	ACR|2VULN|2DMG|1CDMG|2DUR|1ZMB	19VULN|29DUR|3ZMB|4CDMG|5RCR|6NUKE|7RMIN|89DMG|9BPWR|aERES
91	43411 52222	   	172.05	ACR|4VULN|1DMG|1CDMG|1ZMB	169aVULN|2LHND|3ZMB|4CDMG|5RCR|7FEWX|8DMG
92	61211 51263	   	172.05	ACR|4VULN|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3FEWX|469aVULN|5RCR|7MLV|8DMG
93	61311 52222	   	172.05	ACR|4VULN|1DMG|1CDMG|1ZMB	1ZMB|2CDMG|3LHND|469aVULN|5RCR|7FEWX|8DMG
94	13334 53316	 * 	171.93	DCR|2DMG|1AART|1VULN|3DUR|2ASPD	19aDUR|2DUST|3aASPD|4LWND|5VULN|6aDMG|7AART|8RCR|aBPWR
95	11175 14253	 * 	171.84	ACR|2DMG|1AART|1VULN|3DUR|1CDMG	129DUR|3MBVNT|4VULN|5RCR|69LWND|79DMG|8AART|9BPWR|aCDMG
96	45312 22133	   	171.76	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	14VULN|24DMG|3RCVC|4BPWR|5ASPD|6ZMB|7BEXP|8DUST|9AART|aRCR
97	41412 13142	   	171.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2DUR|3ZMB|4CDMG|5RCVC|68DMG|7AART|9RCR|aBEXP
98	41412 13143	   	171.42	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2DUR|3ZMB|4CDMG|5RCVC|68DMG|7AART|9RCR|aRMIN
99	41412 13141	   	171.32	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2DUR|3ZMB|4CDMG|5RCVC|68DMG|7AART|9RCR|aDUST
100	15135 32351	   	171.30	DCR|3VULN|2DMG|2DUR|1ZMB	16DUR|24DMG|3ZMB|578VULN|9RCR|aCGEN
101	15135 32352	   	171.30	DCR|3VULN|2DMG|2DUR|1ZMB	16DUR|24DMG|3ZMB|578VULN|9RCR|aLWND
102	15135 32353	   	171.30	DCR|3VULN|2DMG|2DUR|1ZMB	16DUR|24DMG|3ZMB|578VULN|9RCR|aRPLT
103	45133 32351	   	171.30	DCR|3VULN|2DMG|2DUR|1ZMB	178VULN|24DMG|3ZMB|56DUR|9RCR|aCGEN
104	45133 32352	   	171.30	DCR|3VULN|2DMG|2DUR|1ZMB	178VULN|24DMG|3ZMB|56DUR|9RCR|aLWND
105	45133 32353	   	171.30	DCR|3VULN|2DMG|2DUR|1ZMB	178VULN|24DMG|3ZMB|56DUR|9RCR|aRPLT
106	13314 14881	 * 	171.25	DCR|3VULN|1AART|2ASPD|1FLTHEA|2DUR	17DUR|2DUST|37ASPD|4MBVNT|567VULN|7BPWR|8FLTHEA|9AART|aRCR
107	14411 51222	   	171.20	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|2FEWX|3ZMB|47CDMG|5RCR|69aVULN|8DMG
108	31411 51222	   	171.20	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	1LHND|2DUR|3ZMB|47CDMG|5RCR|69aVULN|8DMG
109	41411 31222	   	171.20	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	19aVULN|2DUR|3ZMB|47CDMG|5RCR|6BEXP|8DMG
110	43411 41222	   	171.20	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	19aVULN|2LHND|3ZMB|47CDMG|5RCR|6DUR|8DMG
111	61211 41222	   	171.20	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	1ZMB|27CDMG|3FEWX|49aVULN|5RCR|6DUR|8DMG
112	61311 41222	   	171.20	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	1ZMB|27CDMG|3LHND|49aVULN|5RCR|6DUR|8DMG
113	13411 51222	   	171.10	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	1DUR|2DUST|3ZMB|47CDMG|5RCR|69aVULN|8DMG
114	42411 41222	   	171.10	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	19aVULN|2DUST|3ZMB|47CDMG|5RCR|6DUR|8DMG
115	41211 45213	   	171.08	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	1VULN|2DUR|35LWND|4FLTHEA|6ZMB|7RCR|8DMG|9AART|aCDMG
116	55313 22323	 * 	171.02	DCR|2DMG|1VULN|2ZMB|2ASPD|1CDMG|1DUR	1TLV|24ZMB|34ASPD|4BPWR|59DMG|6RCR|7VULN|8DUR|aCDMG
117	55313 23623	   	171.02	DCR|2DMG|1VULN|2ZMB|2ASPD|1CDMG|1DUR	1TLV|24ZMB|34ASPD|4BPWR|59DMG|6RCR|7DUR|8VULN|aCDMG
118	15264 38442	   	170.95	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2aDMG|3MBVNT|46CGEN|5BEXP|7aVULN|8RCR|9AART|aBPWR
119	15264 48442	   	170.95	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|2aDMG|3MBVNT|4CGEN|5BEXP|6DMSP|7aVULN|8RCR|9AART|aBPWR
120	55313 22322	 * 	170.90	DCR|2DMG|3ZMB|1VULN|2ASPD|1DUR	1TLV|24aZMB|34ASPD|4BPWR|59DMG|6RCR|7VULN|8DUR
121	55313 23622	   	170.90	DCR|2DMG|3ZMB|1VULN|2ASPD|1DUR	1TLV|24aZMB|34ASPD|4BPWR|59DMG|6RCR|7DUR|8VULN
122	31411 55232	   	170.87	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19LHND|2DUR|39ZMB|4CDMG|5RCR|6aVULN|7RCVC|89DMG|9BPWR
123	41411 35231	   	170.87	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19VULN|2DUR|39ZMB|4CDMG|5RCR|6BEXP|7RCVC|89DMG|9BPWR|aFEWX
124	61211 45232	   	170.87	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19ZMB|2CDMG|39FEWX|4aVULN|5RCR|6DUR|7RCVC|89DMG|9BPWR
125	61311 45232	   	170.87	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19ZMB|2CDMG|39LHND|4aVULN|5RCR|6DUR|7RCVC|89DMG|9BPWR
126	61346 13123	 * 	170.82	DCR|2DMG|1AART|2ZMB|1CDMG|1FLTHEA	17ZMB|2CDMG|3LHND|4AART|58DMG|6RCR|9BASHEA|aFLTHEA
127	41411 35233	   	170.77	ACR|2VULN|2DMG|2ZMB|1CDMG|1DUR	19VULN|2DUR|39ZMB|4CDMG|5RCR|6BEXP|7RCVC|89DMG|9BPWR|aERES
128	61211 26243	 * 	170.65	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	19ZMB|2CDMG|39FEWX|49VULN|5RCR|6NUKE|7RPLT|8AART|9BPWR|aDMG
