0	Index      	 *	Score 	Summary	Detail	
1	26214 31633	 * 	213.65	DCR|3VULN|2ASPD|1AART|1DMG	12ASPD|2BPWR|3LIT|4AART|5ERES|678VULN|9RCR|aDMG
23	26214 31153	   	197.75	DCR|3VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5ERES|67aVULN|8RMIN|9RCR
24	21422 12522	   	197.52	DCR|3VULN|1AART|1ASPD|1CDMG	1ASPD|2TLV|3FEWX|45aVULN|6TSLFST|7AART|8RCR|9CDMG
25	26213 54121	   	197.10	DCR|2VULN|2ASPD|1AART|1DUR	12ASPD|2BPWR|3LIT|4AART|5LHND|6RCR|7SPLREG|89VULN|aDUR
26	32564 32321	   	196.96	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG	1LWND|2FEWX|3DUST|4ASPD|5AART|6RCR|79VULN|8DMG|aMDPS
27	21212 83123	 * 	196.86	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7AART|9MDPS|aNUKE
28	21275 83123	   	196.86	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|48VULN|5FEWX|6RCR|7AART|9MDPS|aNUKE
29	26212 35132	   	196.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB|1DUR	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aDUR
30	33223 16324	 * 	196.01	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB|1DUR	1LWND|249VULN|3DUR|5MDPS|6ZMB|7AART|8DMG|aRCR
31	33231 16324	   	196.01	DCR|3VULN|1MDPS|1AART|1DMG|1ZMB|1DUR	1LWND|259VULN|3DUR|4MDPS|6ZMB|7AART|8DMG|aRCR
32	24215 34233	   	195.92	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|2DMSP|3LIT|4AART|67VULN|8AME|9RCR|aDMG
33	24215 34333	   	195.92	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|2DMSP|3LIT|4AART|67VULN|8CGEN|9RCR|aDMG
34	32264 52323	   	195.91	DCR|2VULN|1AART|1ASPD|1DMG|1DUR|1MSE	1LWND|2FEWX|3DUR|4ASPD|5AART|6RCR|79VULN|8DMG|aMSE
35	21212 72184	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6AART|7RCR|9ZMB|aDMG
36	21262 72184	   	195.84	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4BEXP|58VULN|6AART|7RCR|9ZMB|aDMG
37	26214 32633	   	195.82	DCR|2VULN|2ASPD|1AART|1DMG	12ASPD|2BPWR|37LIT|4AART|5ERES|68VULN|9RCR|aDMG
38	24215 51133	 * 	195.78	DCR|2AART|2ASPD|1VULN|1DMG	15ASPD|2DMSP|3LIT|46AART|7VULN|8RMIN|9RCR|aDMG
39	21274 72184	   	195.74	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|48VULN|5DUST|6AART|7RCR|9ZMB|aDMG
40	26214 31433	   	195.72	DCR|2VULN|2ASPD|1AART|1DMG	12ASPD|2BPWR|3LIT|4AART|58ERES|67VULN|9RCR|aDMG
41	32264 52331	 * 	195.69	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1LWND|2FEWX|3DUR|4ASPD|5AART|6RCR|7VULN|8DMG|9CGEN|aNUKE
42	32264 52311	   	195.59	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1DUR	1LWND|2FEWX|3DUR|4ASPD|5AART|6RCR|7VULN|8DMG|9ERES|aNUKE
43	21212 72123	   	194.86	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6AART|7RCR|9MDPS|aNUKE
44	21275 72123	   	194.86	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|48VULN|5FEWX|6AART|7RCR|9MDPS|aNUKE
45	21274 72123	   	194.76	DCR|2VULN|1MDPS|1AART|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|48VULN|5DUST|6AART|7RCR|9MDPS|aNUKE
46	26622 22522	   	194.01	DCR|2VULN|2ASPD|1AART|1CDMG	12ASPD|2BPWR|3SPLJET|4FEWX|5aVULN|6TLV|7AART|8RCR|9CDMG
47	26214 31235	   	193.72	DCR|2VULN|2ASPD|1AART|1DMG	12ASPD|2BPWR|3LIT|4AART|5ERES|67VULN|8MBVNT|9DMG|aRCR
48	26214 31632	   	193.59	DCR|3VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5ERES|678VULN|9RCR|aFEWX
49	26211 54133	   	193.55	DCR|2AART|2ASPD|1VULN|1DUR	12ASPD|2BPWR|3LIT|4aAART|5DUR|6RCR|7SPLREG|8VULN|9RCVC
50	21212 83584	   	193.53	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|6RCR|78AART|9ZMB|aDMG
51	24215 24233	 * 	193.31	DCR|3DMG|2ASPD|1AART|1DUR	15ASPD|2DMSP|3LIT|4AART|68aDMG|7DUR|9RCR
52	24215 33533	   	193.13	DCR|2DMG|2ASPD|1AART|1VULN	15ASPD|2DMSP|37LIT|4AART|6VULN|8aDMG|9RCR
53	33222 12315	 * 	192.77	DCR|3VULN|1SPLARM|1DMG|1CDMG|1DUR	1LWND|245VULN|3DUR|6SPLARM|7CGEN|8DMG|9CDMG|aRCR
54	33222 16315	   	192.77	DCR|3VULN|1SPLARM|1DMG|1CDMG|1DUR	1LWND|245VULN|3DUR|6SPLARM|7AME|8DMG|9CDMG|aRCR
55	33415 12124	 * 	192.58	DCR|3AART|1VULN|2CDMG|1ASPD|1DUR	1LWND|2VULN|35CDMG|467AART|8DUR|9ASPD|aRCR
56	26211 35125	   	192.19	DCR|2AART|2ASPD|1VULN|1ZMB|1DUR	12ASPD|2BPWR|3LIT|4aAART|5DUR|6VULN|7ZMB|8RCR|9LWND
57	52622 12532	 * 	192.08	DCR|3VULN|1SPLARM|1AART|1CDMG	12FEWX|3DUST|45aVULN|6SPLARM|7AART|8RCR|9CDMG
58	26212 35131	   	192.04	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aRMIN
59	33222 61351	   	191.77	DCR|3VULN|1AART|1ASPD|2DUR	1LWND|245VULN|36DUR|7AART|8ASPD|9RCVC|aRCR
60	24215 51233	   	191.61	DCR|2AART|2ASPD|1VULN|1DMG	15ASPD|2DMSP|3LIT|46AART|7VULN|8AME|9RCR|aDMG
61	24215 51333	   	191.61	DCR|2AART|2ASPD|1VULN|1DMG	15ASPD|2DMSP|3LIT|46AART|7VULN|8CGEN|9RCR|aDMG
62	21212 72584	   	191.53	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|68AART|7RCR|9ZMB|aDMG
63	22121 52635	   	191.41	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2DLOT|3RCVC|4CDMG|5LHND|6AART|79VULN|8RCR|aDUR
64	33416 12432	 * 	191.39	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|269VULN|3CDMG|4AART|5RCR|7ERES|8ASPD|aDMG
65	21321 53413	 * 	191.36	DCR|2ASPD|1VULN|1AART|2CDMG|1DUR	1aASPD|2TLV|39CDMG|4LWND|5VULN|6DUR|7RCR|8AART
66	21324 13413	   	191.36	DCR|2ASPD|1VULN|1AART|2CDMG|1DUR	1aASPD|2TLV|39CDMG|4LWND|5DUR|6VULN|7RCR|8AART
67	24212 35134	   	191.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ASPD|2DMSP|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9aDMG
68	24215 35111	 * 	191.15	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8LWND|9RMIN|aRCR
69	24215 35311	   	191.15	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8FEWX|9RMIN|aRCR
70	26361 23223	 * 	191.13	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aRMIN
71	26561 23223	   	191.13	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3MLV|49VULN|6CANSTR|7DMG|8RCR|aRMIN
72	13353 21144	   	191.04	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1ZMB	1AAC|2DUST|3LIT|46DMG|5AART|7VULN|8RCR|9ZMB|aASPD
73	21321 53462	   	191.03	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	1ASPD|2TLV|3CDMG|4LWND|5VULN|6aDUR|7RCR|89AART
74	21324 13462	   	191.03	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	1ASPD|2TLV|3CDMG|4LWND|5aDUR|6VULN|7RCR|89AART
75	33222 61331	   	191.02	DCR|3VULN|1AART|1ASPD|2DUR	19LWND|245VULN|36DUR|7AART|8ASPD|aRCR
76	26361 23213	 * 	190.36	DCR|3ASPD|1AART|1VULN|1DMG	125ASPD|2BPWR|3AME|4VULN|6CANSTR|7DMG|8RCR|9CGEN|aAART
77	26561 23213	   	190.36	DCR|3ASPD|1AART|1VULN|1DMG	125ASPD|2BPWR|3MLV|4VULN|6CANSTR|7DMG|8RCR|9CGEN|aAART
78	26361 23233	 * 	190.26	DCR|3ASPD|1VULN|2CDMG|1DMG	125ASPD|2BPWR|3AME|4VULN|6CANSTR|7DMG|8RCR|9aCDMG
79	26211 56213	   	190.17	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7RPLT|8DMG|9VULN|aRCVC
80	32264 52122	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|2FEWX|3DUR|4aASPD|5AART|6RCR|79VULN|8CGEN
81	32264 53122	 * 	190.06	DCR|2VULN|2ASPD|1AART|1NUKE|1DUR	1LWND|2FEWX|3DUR|4aASPD|5AART|6RCR|7NUKE|89VULN
82	33416 16332	 * 	190.04	ACR|4VULN|1SPLARM|1AART|1CDMG|1DUR	1LWND|269aVULN|3CDMG|4AART|5RCR|7DUR|8SPLARM
83	33416 34332	   	190.04	ACR|4VULN|1SPLARM|1AART|1CDMG|1DUR	1LWND|279aVULN|3CDMG|4AART|5RCR|6DUR|8SPLARM
84	21212 83142	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7AART|9DUR
85	21275 83142	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|48VULN|5FEWX|6RCR|7AART|9DUR
86	21321 53461	   	189.95	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2TLV|3CDMG|4LWND|5VULN|6DUR|7RCR|89AART|aRMIN
87	21324 13461	   	189.95	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2TLV|3CDMG|4LWND|5DUR|6VULN|7RCR|89AART|aRMIN
88	26211 56212	   	189.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7RPLT|8DMG|9VULN|aMLV
89	26211 56211	   	189.75	DCR|2ASPD|1AART|1VULN|1DMG|1DUR|1MSE	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7RPLT|8DMG|9VULN|aMSE
90	33223 63122	   	189.71	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1LWND|248VULN|3DUR|5MDPS|6RCVC|7AART|9RCR|aASPD
91	33231 63122	   	189.71	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1LWND|258VULN|3DUR|4MDPS|6RCVC|7AART|9RCR|aASPD
92	26211 54111	   	189.55	DCR|3ASPD|1VULN|1AART|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7SPLREG|8VULN|9ERES
93	24215 34131	   	189.38	DCR|2VULN|1MDPS|2ASPD|1AART	15ASPD|2DMSP|3LIT|4AART|67VULN|8RMIN|9RCR|aMDPS
94	22113 22664	   	189.30	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	14ASPD|2DLOT|3RCVC|5MDPS|6ZMB|78VULN|9RCR|aAART
95	33225 33615	 * 	189.24	DCR|3VULN|3ASPD|1DUR	168LWND|248VULN|3DUR|5BASFIG|789ASPD|8BPWR|aRCR
96	21321 53443	   	189.18	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR	1aASPD|2TLV|3CDMG|4LWND|5VULN|69DUR|7RCR|8AART
97	21324 13443	   	189.18	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR	1aASPD|2TLV|3CDMG|4LWND|59DUR|6VULN|7RCR|8AART
98	22523 21155	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2DLOT|3LHND|4LIT|56DMG|7VULN|8RCR|9DUR|aAART
99	26211 35112	   	189.04	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9BEXP
100	26211 35122	   	189.04	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9LWND
101	26211 35131	   	189.04	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9MULFIG
102	26211 35162	   	188.94	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9MBVNT
103	26213 54122	   	188.80	DCR|2VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5LHND|6RCR|7SPLREG|89VULN|aCGEN
104	24214 31631	   	188.73	DCR|3VULN|1MDPS|1AART|1ASPD	1ASPD|2DMSP|3LIT|4AART|5ERES|678VULN|9RCR|aMDPS
105	26213 54123	   	188.70	DCR|2VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5LHND|6RCR|7SPLREG|89VULN|aERES
106	26211 45133	 * 	188.65	DCR|2ASPD|1AART|1DMG|1CDMG|1ZMB|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6BEXP|7ZMB|8RCR|9DMG|aCDMG
107	24211 54121	   	188.13	DCR|2VULN|1AART|1ASPD|2DUR	1ASPD|2DMSP|3LIT|4AART|5aDUR|6RCR|7SPLREG|89VULN
108	24161 22343	 * 	188.09	DCR|3DMG|2ASPD|1VULN	17ASPD|2DMSP|3LHND|4RCVC|57aDMG|67FEWX|7BPWR|8VULN|9RCR
109	21621 33636	 * 	188.06	DCR|3VULN|2ASPD|1CDMG	16ASPD|2TLV|3LIT|49aVULN|5MLV|7CDMG|8RCR
110	32223 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2FEWX|3DUR|45VULN|69AART|7LIT|8RCR|aASPD
111	33224 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|24VULN|3DUR|5FEWX|69AART|7LIT|8RCR|aASPD
112	36223 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2BEXP|3DUR|45VULN|69AART|7LIT|8RCR|aASPD
113	53223 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1FEWX|2LWND|3DUR|45VULN|69AART|7LIT|8RCR|aASPD
114	21422 12525	   	187.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2TLV|3FEWX|45VULN|6TSLFST|7AART|8RCR|9CDMG|aDUR
115	21212 72142	   	187.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|4FEWX|58VULN|6AART|7RCR|9DUR
116	21275 72142	   	187.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|48VULN|5FEWX|6AART|7RCR|9DUR
117	33223 63422	 * 	187.95	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1LWND|24VULN|3DUR|5MDPS|6RCVC|78AART|9RCR|aASPD
118	33231 63422	   	187.95	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1LWND|25VULN|3DUR|4MDPS|6RCVC|78AART|9RCR|aASPD
119	33213 61362	   	187.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|25VULN|3DUR|4DUST|69AART|7LIT|8RCR|aASPD
120	24211 51631	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2DMSP|3LIT|4aAART|5DUR|6RCR|7LWND|8CDMG|9VULN
121	26161 63233	   	187.89	DCR|3DMG|2ASPD|1AART	12ASPD|2BPWR|3LHND|4RCVC|58aDMG|6AART|7LIT|9RCR
122	26212 35115	   	187.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|59BEXP|6VULN|7ZMB|8RCR|aDMG
123	26212 35136	   	187.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aRPLT
124	21212 83523	 * 	187.83	DCR|2AART|1MDPS|1VULN|1ASPD|1NUKE	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|6RCR|78AART|9MDPS|aNUKE
125	33416 12413	 * 	187.78	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG	1LWND|26VULN|3CDMG|4AART|5RCR|7ERES|8aASPD|9DMG
126	33416 13413	   	187.78	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG	1LWND|26VULN|3CDMG|4AART|5RCR|7TLV|8aASPD|9DMG
127	26212 35133	   	187.77	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aDUST
128	26212 35135	   	187.77	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aAIRARM
129	61232 87144	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1CGEN|2AME|3MBVNT|4LHND|58VULN|6RCR|7AART|9ASPD|aDMG
130	33222 53462	 * 	187.56	DCR|4VULN|1AART|1DUR	1LWND|2459VULN|3DUR|6RPLT|7RCR|8DMSP|aAART
131	21212 84882	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7DMG|9AART|aLWND
132	21212 84883	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7DMG|9AART|aCGEN
133	32564 32323	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG|1MSE	1LWND|2FEWX|3DUST|4ASPD|5AART|6RCR|79VULN|8DMG|aMSE
134	21212 84881	   	187.40	DCR|2VULN|1AART|1ASPD|1DMG|1MSE	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7DMG|9AART|aMSE
135	21432 65221	 * 	187.35	DCR|3ASPD|2VULN|1CDMG	14aASPD|2TLV|3aFEWX|57BEXP|6RCR|8CDMG|9aVULN|aBPWR
136	33222 26352	   	187.31	DCR|3VULN|1ASPD|1DMG|2DUR	1LWND|245VULN|37DUR|6LHND|8DMG|9ASPD|aRCR
137	26361 23222	   	187.29	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aRCVC
138	26561 23222	   	187.29	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3MLV|49VULN|6CANSTR|7DMG|8RCR|aRCVC
139	32564 32331	   	187.28	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE	1LWND|2FEWX|3DUST|4ASPD|5AART|6RCR|7VULN|8DMG|9CGEN|aNUKE
140	32564 32311	   	187.18	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE	1LWND|2FEWX|3DUST|4ASPD|5AART|6RCR|7VULN|8DMG|9ERES|aNUKE
141	24211 54122	   	187.05	DCR|2VULN|1AART|1ASPD|1DUR	1ASPD|2DMSP|3LIT|4AART|5DUR|6RCR|7SPLREG|89VULN|aRMIN
142	24215 35131	   	186.98	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8LWND|9AME|aRCR
143	24215 35331	   	186.98	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8FEWX|9AME|aRCR
144	26361 61211	   	186.98	DCR|3ASPD|2VULN|1AART	125ASPD|28BPWR|38AME|48VULN|6AART|78LIT|9BEXP|aRCR
145	26361 61221	   	186.98	DCR|3ASPD|2VULN|1AART	125ASPD|28BPWR|38AME|48VULN|6AART|78LIT|9LHND|aRCR
146	21224 88274	   	186.98	DCR|1VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1ASPD|2TLV|3MBVNT|45ZMB|6VULN|7RCR|8DUR|9AART|aDMG
147	26361 23221	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aLWND
148	26361 23224	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aRPLT
149	26361 23225	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aBELT
150	26361 23226	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aCGEN
151	26561 23221	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3MLV|49VULN|6CANSTR|7DMG|8RCR|aLWND
152	22112 21264	   	186.96	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	14ASPD|2DLOT|3RCVC|5DUST|6VULN|7DMG|8DUR|9RCR|aAART
153	22121 52661	   	186.95	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2DLOT|3RCVC|4CDMG|5LHND|6AART|7VULN|8RCR|9RMIN|aDMG
154	33261 65322	   	186.70	DCR|2AART|2ASPD|1VULN|1DUR	1LWND|2VULN|3DUR|4aASPD|5RMIN|67AART|8DUST|9RCR
155	33222 41351	   	186.53	DCR|3VULN|1AART|1ASPD|1DUR	16LWND|245VULN|3DUR|7AART|8ASPD|9RCVC|aRCR
156	26361 61332	 * 	186.48	DCR|3ASPD|2AART|1VULN	125ASPD|2BPWR|3AME|4VULN|6aAART|7LIT|8RCR|9LHND
157	33415 14212	 * 	186.38	DCR|2VULN|2AART|3CDMG	18LWND|29VULN|357CDMG|46AART|aRCR
158	21212 88484	   	186.31	DCR|2DMG|1VULN|1AART|1ASPD	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|6RCR|7RCVC|8aDMG|9AART
159	22341 24522	   	186.21	DCR|3VULN|1ASPD|1CDMG|1DUR	1ASPD|2DLOT|3BASFIG|4DUR|57aVULN|6RMIN|8RCR|9CDMG
160	21212 83185	   	186.08	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7AART|9ZMB|aDUR
161	26211 51633	   	186.03	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7LWND|8CDMG|9VULN|aCGEN
