0	Index      	 *	Score 	Summary	Detail	
1	32264 52321	 * 	214.83	DCR|2VULN|1MDPS|1AART|1ASPD|1DMG|1DUR	1LWND|2FEWX|3DUR|4ASPD|5AART|6RCR|79VULN|8DMG|aMDPS
50	26214 31153	   	193.59	DCR|3VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5ERES|67aVULN|8RMIN|9RCR
51	26214 31632	   	193.59	DCR|3VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5ERES|678VULN|9RCR|aFEWX
52	21212 83584	 * 	193.53	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|6RCR|78AART|9ZMB|aDMG
53	24215 24233	 * 	193.31	DCR|3DMG|2ASPD|1AART|1DUR	15ASPD|2DMSP|3LIT|4AART|68aDMG|7DUR|9RCR
54	24215 33533	   	193.13	DCR|2DMG|2ASPD|1AART|1VULN	15ASPD|2DMSP|37LIT|4AART|6VULN|8aDMG|9RCR
55	33222 61351	   	192.63	DCR|3VULN|1AART|1ASPD|2DUR	1LWND|245VULN|36DUR|7AART|8ASPD|9RCVC|aRCR
56	33415 12124	 * 	192.58	DCR|3AART|1VULN|2CDMG|1ASPD|1DUR	1LWND|2VULN|35CDMG|467AART|8DUR|9ASPD|aRCR
57	26211 35125	   	192.19	DCR|2AART|2ASPD|1VULN|1ZMB|1DUR	12ASPD|2BPWR|3LIT|4aAART|5DUR|6VULN|7ZMB|8RCR|9LWND
58	24215 51133	 * 	191.61	DCR|2AART|2ASPD|1VULN|1DMG	15ASPD|2DMSP|3LIT|46AART|7VULN|8RMIN|9RCR|aDMG
59	24215 51233	   	191.61	DCR|2AART|2ASPD|1VULN|1DMG	15ASPD|2DMSP|3LIT|46AART|7VULN|8AME|9RCR|aDMG
60	24215 51333	   	191.61	DCR|2AART|2ASPD|1VULN|1DMG	15ASPD|2DMSP|3LIT|46AART|7VULN|8CGEN|9RCR|aDMG
61	21212 72584	   	191.53	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|68AART|7RCR|9ZMB|aDMG
62	22121 52635	   	191.50	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2DLOT|3RCVC|4CDMG|5LHND|6AART|79VULN|8RCR|aDUR
63	33416 12432	 * 	191.39	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG	1LWND|269VULN|3CDMG|4AART|5RCR|7ERES|8ASPD|aDMG
64	21321 53413	 * 	191.36	DCR|2ASPD|1VULN|1AART|2CDMG|1DUR	1aASPD|2TLV|39CDMG|4LWND|5VULN|6DUR|7RCR|8AART
65	21324 13413	   	191.36	DCR|2ASPD|1VULN|1AART|2CDMG|1DUR	1aASPD|2TLV|39CDMG|4LWND|5DUR|6VULN|7RCR|8AART
66	24212 35134	   	191.24	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ASPD|2DMSP|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9aDMG
67	26211 56213	   	191.15	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7RPLT|8DMG|9VULN|aRCVC
68	13353 21144	   	191.04	DCR|2DMG|1AART|1VULN|1ASPD|1AAC|1ZMB	1AAC|2DUST|3LIT|46DMG|5AART|7VULN|8RCR|9ZMB|aASPD
69	21321 53462	   	191.03	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	1ASPD|2TLV|3CDMG|4LWND|5VULN|6aDUR|7RCR|89AART
70	21324 13462	   	191.03	DCR|2AART|1VULN|1ASPD|1CDMG|2DUR	1ASPD|2TLV|3CDMG|4LWND|5aDUR|6VULN|7RCR|89AART
71	33222 61331	   	191.02	DCR|3VULN|1AART|1ASPD|2DUR	19LWND|245VULN|36DUR|7AART|8ASPD|aRCR
72	26361 23213	 * 	190.36	DCR|3ASPD|1AART|1VULN|1DMG	125ASPD|2BPWR|3AME|4VULN|6CANSTR|7DMG|8RCR|9CGEN|aAART
73	26561 23213	   	190.36	DCR|3ASPD|1AART|1VULN|1DMG	125ASPD|2BPWR|3MLV|4VULN|6CANSTR|7DMG|8RCR|9CGEN|aAART
74	26361 23233	 * 	190.26	DCR|3ASPD|1VULN|2CDMG|1DMG	125ASPD|2BPWR|3AME|4VULN|6CANSTR|7DMG|8RCR|9aCDMG
75	33223 63122	   	190.18	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1LWND|248VULN|3DUR|5MDPS|6RCVC|7AART|9RCR|aASPD
76	33231 63122	   	190.18	DCR|3VULN|1MDPS|1AART|1ASPD|1DUR	1LWND|258VULN|3DUR|4MDPS|6RCVC|7AART|9RCR|aASPD
77	32264 52122	   	190.16	DCR|2VULN|2ASPD|1AART|1DUR	1LWND|2FEWX|3DUR|4aASPD|5AART|6RCR|79VULN|8CGEN
78	32264 53122	 * 	190.06	DCR|2VULN|2ASPD|1AART|1NUKE|1DUR	1LWND|2FEWX|3DUR|4aASPD|5AART|6RCR|7NUKE|89VULN
79	21212 83142	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7AART|9DUR
80	21275 83142	   	189.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|48VULN|5FEWX|6RCR|7AART|9DUR
81	26211 56212	   	189.85	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7RPLT|8DMG|9VULN|aMLV
82	26211 56211	   	189.75	DCR|2ASPD|1AART|1VULN|1DMG|1DUR|1MSE	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7RPLT|8DMG|9VULN|aMSE
83	26211 54111	   	189.55	DCR|3ASPD|1VULN|1AART|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7SPLREG|8VULN|9ERES
84	22113 22664	   	189.40	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	14ASPD|2DLOT|3RCVC|5MDPS|6ZMB|78VULN|9RCR|aAART
85	33225 33615	 * 	189.24	DCR|3VULN|3ASPD|1DUR	168LWND|248VULN|3DUR|5BASFIG|789ASPD|8BPWR|aRCR
86	21321 53443	   	189.18	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR	1aASPD|2TLV|3CDMG|4LWND|5VULN|69DUR|7RCR|8AART
87	21324 13443	   	189.18	DCR|2ASPD|1VULN|1AART|1CDMG|2DUR	1aASPD|2TLV|3CDMG|4LWND|59DUR|6VULN|7RCR|8AART
88	22523 21155	   	189.11	DCR|2DMG|1VULN|1AART|1ASPD|1DUR	1ASPD|2DLOT|3LHND|4LIT|56DMG|7VULN|8RCR|9DUR|aAART
89	26211 35112	   	189.04	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9BEXP
90	26211 35122	   	189.04	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9LWND
91	26211 35131	   	189.04	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9MULFIG
92	26211 35162	   	188.94	DCR|3ASPD|1AART|1VULN|1ZMB|1DUR	12aASPD|2BPWR|3LIT|4AART|5DUR|6VULN|7ZMB|8RCR|9MBVNT
93	26213 54122	   	188.80	DCR|2VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5LHND|6RCR|7SPLREG|89VULN|aCGEN
94	26213 54123	   	188.70	DCR|2VULN|2ASPD|1AART	12ASPD|2BPWR|3LIT|4AART|5LHND|6RCR|7SPLREG|89VULN|aERES
95	26211 45133	 * 	188.65	DCR|2ASPD|1AART|1DMG|1CDMG|1ZMB|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6BEXP|7ZMB|8RCR|9DMG|aCDMG
96	33223 63422	 * 	188.42	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1LWND|24VULN|3DUR|5MDPS|6RCVC|78AART|9RCR|aASPD
97	33231 63422	   	188.42	DCR|2VULN|2AART|1MDPS|1ASPD|1DUR	1LWND|25VULN|3DUR|4MDPS|6RCVC|78AART|9RCR|aASPD
98	24161 22343	 * 	188.31	DCR|3DMG|2ASPD|1VULN	17ASPD|2DMSP|3LHND|4RCVC|57aDMG|67FEWX|7BPWR|8VULN|9RCR
99	26361 23222	 * 	188.27	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aRCVC
100	26561 23222	   	188.27	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3MLV|49VULN|6CANSTR|7DMG|8RCR|aRCVC
101	24211 54121	   	188.13	DCR|2VULN|1AART|1ASPD|2DUR	1ASPD|2DMSP|3LIT|4AART|5aDUR|6RCR|7SPLREG|89VULN
102	26161 63233	   	188.11	DCR|3DMG|2ASPD|1AART	12ASPD|2BPWR|3LHND|4RCVC|58aDMG|6AART|7LIT|9RCR
103	21621 33636	 * 	188.06	DCR|3VULN|2ASPD|1CDMG	16ASPD|2TLV|3LIT|49aVULN|5MLV|7CDMG|8RCR
104	32223 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2FEWX|3DUR|45VULN|69AART|7LIT|8RCR|aASPD
105	33224 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|24VULN|3DUR|5FEWX|69AART|7LIT|8RCR|aASPD
106	36223 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2BEXP|3DUR|45VULN|69AART|7LIT|8RCR|aASPD
107	53223 61362	   	188.02	DCR|2VULN|2AART|1ASPD|1DUR	1FEWX|2LWND|3DUR|45VULN|69AART|7LIT|8RCR|aASPD
108	21422 12525	   	187.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ASPD|2TLV|3FEWX|45VULN|6TSLFST|7AART|8RCR|9CDMG|aDUR
109	21212 72142	   	187.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|4FEWX|58VULN|6AART|7RCR|9DUR
110	21275 72142	   	187.96	DCR|2VULN|2ASPD|1AART|1DUR	1aASPD|2TLV|3MBVNT|48VULN|5FEWX|6AART|7RCR|9DUR
111	33213 61362	   	187.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|25VULN|3DUR|4DUST|69AART|7LIT|8RCR|aASPD
112	33222 12315	 * 	187.90	DCR|3VULN|1SPLARM|1DMG|1CDMG|1DUR	1LWND|245VULN|3DUR|6SPLARM|7CGEN|8DMG|9CDMG|aRCR
113	33222 16315	   	187.90	DCR|3VULN|1SPLARM|1DMG|1CDMG|1DUR	1LWND|245VULN|3DUR|6SPLARM|7AME|8DMG|9CDMG|aRCR
114	24211 51631	   	187.89	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR	1ASPD|2DMSP|3LIT|4aAART|5DUR|6RCR|7LWND|8CDMG|9VULN
115	26212 35115	   	187.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|59BEXP|6VULN|7ZMB|8RCR|aDMG
116	26212 35131	   	187.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aRMIN
117	26212 35136	   	187.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aRPLT
118	33416 12413	 * 	187.78	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG	1LWND|26VULN|3CDMG|4AART|5RCR|7ERES|8aASPD|9DMG
119	33416 13413	   	187.78	ACR|2VULN|2ASPD|1AART|1DMG|1CDMG	1LWND|26VULN|3CDMG|4AART|5RCR|7TLV|8aASPD|9DMG
120	26212 35133	   	187.77	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aDUST
121	26212 35135	   	187.77	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	12ASPD|2BPWR|3LIT|4AART|5BEXP|6VULN|7ZMB|8RCR|9DMG|aAIRARM
122	61232 87144	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1CGEN|2AME|3MBVNT|4LHND|58VULN|6RCR|7AART|9ASPD|aDMG
123	33222 53462	 * 	187.56	DCR|4VULN|1AART|1DUR	1LWND|2459VULN|3DUR|6RPLT|7RCR|8DMSP|aAART
124	21212 84882	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7DMG|9AART|aLWND
125	21212 84883	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7DMG|9AART|aCGEN
126	32564 32323	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG|1MSE	1LWND|2FEWX|3DUST|4ASPD|5AART|6RCR|79VULN|8DMG|aMSE
127	21212 84881	   	187.40	DCR|2VULN|1AART|1ASPD|1DMG|1MSE	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7DMG|9AART|aMSE
128	33222 41351	   	187.38	DCR|3VULN|1AART|1ASPD|1DUR	16LWND|245VULN|3DUR|7AART|8ASPD|9RCVC|aRCR
129	21432 65221	 * 	187.35	DCR|3ASPD|2VULN|1CDMG	14aASPD|2TLV|3aFEWX|57BEXP|6RCR|8CDMG|9aVULN|aBPWR
130	33222 26352	   	187.31	DCR|3VULN|1ASPD|1DMG|2DUR	1LWND|245VULN|37DUR|6LHND|8DMG|9ASPD|aRCR
131	32564 32331	   	187.28	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE	1LWND|2FEWX|3DUST|4ASPD|5AART|6RCR|7VULN|8DMG|9CGEN|aNUKE
132	52622 12532	 * 	187.21	DCR|3VULN|1SPLARM|1AART|1CDMG	12FEWX|3DUST|45aVULN|6SPLARM|7AART|8RCR|9CDMG
133	32564 32311	   	187.18	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE	1LWND|2FEWX|3DUST|4ASPD|5AART|6RCR|7VULN|8DMG|9ERES|aNUKE
134	22112 21264	   	187.05	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	14ASPD|2DLOT|3RCVC|5DUST|6VULN|7DMG|8DUR|9RCR|aAART
135	24215 35111	 * 	186.98	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8LWND|9RMIN|aRCR
136	24215 35131	   	186.98	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8LWND|9AME|aRCR
137	24215 35311	   	186.98	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8FEWX|9RMIN|aRCR
138	24215 35331	   	186.98	DCR|3ASPD|2VULN|1AART	157ASPD|2DMSP|37LIT|4AART|67VULN|7BPWR|8FEWX|9AME|aRCR
139	26361 61211	   	186.98	DCR|3ASPD|2VULN|1AART	125ASPD|28BPWR|38AME|48VULN|6AART|78LIT|9BEXP|aRCR
140	26361 61221	   	186.98	DCR|3ASPD|2VULN|1AART	125ASPD|28BPWR|38AME|48VULN|6AART|78LIT|9LHND|aRCR
141	21224 88274	   	186.98	DCR|1VULN|1AART|1ASPD|1DMG|2ZMB|1DUR	1ASPD|2TLV|3MBVNT|45ZMB|6VULN|7RCR|8DUR|9AART|aDMG
142	26361 23221	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aLWND
143	26361 23223	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aRMIN
144	26361 23224	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aRPLT
145	26361 23225	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aBELT
146	26361 23226	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3AME|49VULN|6CANSTR|7DMG|8RCR|aCGEN
147	26561 23221	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3MLV|49VULN|6CANSTR|7DMG|8RCR|aLWND
148	26561 23223	   	186.97	DCR|3ASPD|2VULN|1DMG	125ASPD|2BPWR|3MLV|49VULN|6CANSTR|7DMG|8RCR|aRMIN
149	21212 88484	   	186.91	DCR|2DMG|1VULN|1AART|1ASPD	1ASPD|2TLV|3MBVNT|4FEWX|5VULN|6RCR|7RCVC|8aDMG|9AART
150	26361 61332	 * 	186.48	DCR|3ASPD|2AART|1VULN	125ASPD|2BPWR|3AME|4VULN|6aAART|7LIT|8RCR|9LHND
151	33415 14212	 * 	186.38	DCR|2VULN|2AART|3CDMG	18LWND|29VULN|357CDMG|46AART|aRCR
152	21321 53435	 * 	186.25	DCR|1MDPS|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2TLV|3CDMG|4LWND|5VULN|6DUR|7RCR|8AART|9ZMB|aMDPS
153	21324 13435	   	186.25	DCR|1MDPS|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2TLV|3CDMG|4LWND|5DUR|6VULN|7RCR|8AART|9ZMB|aMDPS
154	21212 83185	   	186.08	DCR|2VULN|1AART|1ASPD|1ZMB|1DUR	1ASPD|2TLV|3MBVNT|4FEWX|58VULN|6RCR|7AART|9ZMB|aDUR
155	26211 51633	   	186.03	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7LWND|8CDMG|9VULN|aCGEN
156	26211 51632	   	185.93	DCR|2ASPD|1AART|1VULN|1CDMG|1DUR	12ASPD|2BPWR|3LIT|4AART|5DUR|6RCR|7LWND|8CDMG|9VULN|aDUST
157	32223 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2FEWX|3DUR|45VULN|67AART|8DUST|9RCR|aASPD
158	33224 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|24VULN|3DUR|5FEWX|67AART|8DUST|9RCR|aASPD
159	36223 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1LWND|2BEXP|3DUR|45VULN|67AART|8DUST|9RCR|aASPD
160	53223 65322	   	185.92	DCR|2VULN|2AART|1ASPD|1DUR	1FEWX|2LWND|3DUR|45VULN|67AART|8DUST|9RCR|aASPD
