0	Index      	 *	Score 	Summary	Detail	
1	21381 26234	 * 	194.09	DCR|3DMG|2VULN|1AART|2CDMG|1SELL	1aVULN|2MBVNT|3MLV|47aDMG|5aCDMG|6SELL|8RCR|9AART|aBPWR
25	21422 11842	   	179.97	DCR|3VULN|3DMG|3DUR	18aVULN|2MBVNT|378DUR|4DUST|5aCGEN|68aDMG|8aBPWR|9RCR
26	31322 11842	   	179.97	DCR|3VULN|3DMG|3DUR	178DUR|2MBVNT|38aVULN|4DUST|5aCGEN|68aDMG|8aBPWR|9RCR
27	21435 11848	   	179.87	DCR|3VULN|3DMG|3DUR	18aVULN|2MBVNT|378DUR|4FEWX|5aTLV|68aDMG|8aBPWR|9RCR
28	21475 11842	   	179.87	DCR|3VULN|3DMG|3DUR	18aVULN|2MBVNT|378DUR|4BEXP|5aTLV|68aDMG|8aBPWR|9RCR
29	31335 11848	   	179.87	DCR|3VULN|3DMG|3DUR	178DUR|2MBVNT|38aVULN|4FEWX|5aTLV|68aDMG|8aBPWR|9RCR
30	31375 11842	   	179.87	DCR|3VULN|3DMG|3DUR	178DUR|2MBVNT|38aVULN|4BEXP|5aTLV|68aDMG|8aBPWR|9RCR
31	21441 45177	 * 	179.80	DCR|2AART|2VULN|2DMG|1DUR	1aVULN|2MBVNT|3DUR|47AART|5TLV|69DMG|8RCR
32	31341 45177	   	179.80	DCR|2AART|2VULN|2DMG|1DUR	1DUR|2MBVNT|3aVULN|47AART|5TLV|69DMG|8RCR
33	31341 22172	   	179.80	DCR|2AART|2VULN|2DMG|1DUR	1DUR|2MBVNT|36VULN|4aAART|56TLV|6BPWR|79DMG|8RCR
34	31346 22172	   	179.80	DCR|2AART|2VULN|2DMG|1DUR	1DUR|2MBVNT|36VULN|4aAART|56ERES|6BPWR|79DMG|8RCR
35	32313 52526	   	179.79	DCR|3VULN|2AART|1CDMG|1ASPD|1DUR	1DUR|2LHND|358VULN|4CDMG|69AART|7RCR|aASPD
36	31325 11842	   	179.77	DCR|3VULN|3DMG|3DUR	178DUR|2MBVNT|38aVULN|4DUST|5aTLV|68aDMG|8aBPWR|9RCR
37	21425 11842	   	179.77	DCR|3VULN|3DMG|3DUR	18aVULN|2MBVNT|378DUR|4DUST|5aTLV|68aDMG|8aBPWR|9RCR
38	21764 14335	 * 	179.77	DCR|3VULN|2DMG|2CDMG|1DUR	15aVULN|2MBVNT|3RPLT|4aCDMG|6DUST|7RCR|8DUR|9aDMG|aBPWR
39	32315 12524	 * 	179.77	DCR|3VULN|2AART|2CDMG|1DUR	1DUR|2LHND|368VULN|4aCDMG|59AART|7RCR
40	23413 26352	   	179.18	DCR|4VULN|1AART|1DMG	179aVULN|25CGEN|3AART|4RPLT|6RCR|8DMG
41	32313 52524	   	179.17	DCR|3VULN|2AART|2CDMG|1DUR	1DUR|2LHND|358VULN|4aCDMG|69AART|7RCR
42	23133 34516	   	179.10	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	16VULN|2CGEN|3CDMG|4LEGI|57DMG|8RCR|9AART|aASPD
43	21881 74221	   	179.04	DCR|3VULN|3CDMG|3ASPD|1DMG	179VULN|2MBVNT|3RMIN|4DMG|579CDMG|679ASPD|79BPWR|8RCR|aLSRICY
44	21881 74222	   	179.04	DCR|3VULN|3CDMG|3ASPD|1DMG	179VULN|2MBVNT|3RMIN|4DMG|579CDMG|679ASPD|79BPWR|8RCR|aRPLT
45	21881 74224	   	178.94	DCR|3VULN|3CDMG|3ASPD|1DMG	179VULN|2MBVNT|3RMIN|4DMG|579CDMG|679ASPD|79BPWR|8RCR|aDUST
46	33311 36134	   	178.85	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|2BEXP|36aVULN|4CDMG|5RPLT|7RCR|8DUST|9aDMG|aBPWR
47	36311 36134	   	178.85	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|2LWND|36aVULN|4CDMG|5RPLT|7RCR|8DUST|9aDMG|aBPWR
48	21411 34135	   	178.75	DCR|3VULN|2DMG|1CDMG|2DUR	16aVULN|2MBVNT|3aDUR|4CDMG|5RPLT|7RCR|8DUST|9aDMG|aBPWR
49	31311 34135	   	178.75	DCR|3VULN|2DMG|1CDMG|2DUR	1aDUR|2MBVNT|36aVULN|4CDMG|5RPLT|7RCR|8DUST|9aDMG|aBPWR
50	23133 34514	 * 	178.48	DCR|2VULN|2DMG|1AART|2CDMG	16VULN|2CGEN|3aCDMG|4LEGI|57DMG|8RCR|9AART
51	61531 23363	   	178.39	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1ASPD|2ERES|3AART|45VULN|6DUR|7RCR|8BEXP|9aDMG
52	21442 28115	 * 	178.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1aVULN|2MBVNT|3DUR|49AART|5LHND|6DMG|7RCR|8CDMG
53	31342 28115	   	178.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3aVULN|49AART|5LHND|6DMG|7RCR|8CDMG
54	31441 28115	   	178.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2MBVNT|3LWND|49AART|5aVULN|6DMG|7RCR|8CDMG
55	44244 44274	   	178.22	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1aCGEN|2RCVC|3MBVNT|4SELL|5AART|6CDMG|7aVULN|8RCR|9aDMG|aBPWR
56	61531 23135	 * 	177.96	DCR|3VULN|1AART|2ZMB|2ASPD|1DUR	19ASPD|29ERES|3AART|45aVULN|6DUR|7RCR|89ZMB|9BPWR
57	21441 48171	 * 	177.87	DCR|3DMG|2AART|1VULN|1DUR	1VULN|2MBVNT|3DUR|4aAART|5TLV|679DMG|8RCR
58	31341 48171	   	177.87	DCR|3DMG|2AART|1VULN|1DUR	1DUR|2MBVNT|3VULN|4aAART|5TLV|679DMG|8RCR
59	23133 34552	 * 	177.66	DCR|3DMG|2VULN|1FLTHEA|1CDMG	16VULN|2CGEN|3CDMG|4LEGI|57aDMG|8RCR|9FLTHEA
60	43511 35132	 * 	177.62	ACR|2VULN|2DMG|2AART|1DUR	18CGEN|28MLV|3DUR|47DMG|5RCR|68VULN|8BPWR|9aAART
61	23423 56232	 * 	177.57	DCR|3VULN|1AART|1DMG|2ZMB|1DUR	159VULN|259CGEN|3AART|4DMSP|59BPWR|6DMG|7DUR|89ZMB|aRCR
62	21743 13477	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	16VULN|2MBVNT|3RPLT|4AART|5MLV|7RCR|8CDMG|9aDMG
63	21762 48422	 * 	177.24	ACR|4VULN|3CDMG|1AART	178aVULN|2MBVNT|3RPLT|48aCDMG|5RCR|6BELT|8aBPWR|9AART
64	21126 42482	 * 	177.14	DCR|3VULN|1AART|2CDMG|2ZMB	18aVULN|2MBVNT|3aLIT|4AART|58LWND|68ZMB|7RCR|8aBPWR|9aCDMG
65	52311 35135	 * 	177.09	ACR|3VULN|2DMG|1AART	1LEGI|28ERES|3CGEN|48DMG|5RCR|6RCVC|78aVULN|8BPWR|9AART
66	21413 26447	   	176.92	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	15aVULN|2MBVNT|3DUR|4CDMG|6SELL|7DMG|8RCR|9AART
67	31313 26447	   	176.92	DCR|3VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1DUR|2MBVNT|35aVULN|4CDMG|6SELL|7DMG|8RCR|9AART
68	21326 17228	   	176.67	DCR|3DMG|2VULN|1AART	1aVULN|2MBVNT|3aMLV|4FEWX|5TLV|68aDMG|7RCR|9AART|aBPWR
69	22116 16316	   	176.67	DCR|3VULN|2DMG|1AART	148VULN|2LEGI|34LIT|4BPWR|5aDMG|6LWND|7RCR|9AART
70	21442 84144	   	176.61	DCR|3VULN|1AART|2CDMG|2DUR	19aVULN|2MBVNT|3aDUR|4AART|5LHND|6RCR|7TLV|8aCDMG|aBPWR
71	31342 84144	   	176.61	DCR|3VULN|1AART|2CDMG|2DUR	1aDUR|2MBVNT|39aVULN|4AART|5LHND|6RCR|7TLV|8aCDMG|aBPWR
72	23362 12356	   	176.49	ACR|3VULN|2DMG|1AART	149VULN|23CGEN|5RCR|6AART|7RPLT|8aDMG
73	23465 13112	   	176.42	DCR|2AART|2VULN|1DMG|1ZMB|1DUR	15VULN|2CGEN|3aAART|4LHND|6DMG|7RCR|8ZMB|9DUR
74	23414 16332	 * 	176.40	ACR|4VULN|1AART|1DMG	167aVULN|2CGEN|3AART|4RPLT|5RCR|8DMG|9RCVC
75	32352 16231	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	19DUR|2LHND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR|aCGEN
76	32352 16232	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	19DUR|2aLHND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR
77	32352 16234	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	19DUR|2LHND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR|aBELT
78	32352 16236	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	19DUR|2LHND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR|aBEXP
79	36352 16231	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	19DUR|2LWND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR|aCGEN
80	36352 16232	   	176.20	DCR|3DMG|2VULN|2DUR|1ZMB	19DUR|2LWND|39VULN|4TLV|5ZMB|689DMG|7RCR|9BPWR|aLHND
81	32315 12511	 * 	176.11	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LHND|368aVULN|4CDMG|5AART|7RCR|9RMIN
82	32315 12531	   	176.11	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LHND|368aVULN|4CDMG|5AART|7RCR|9CGEN
83	36315 12511	   	176.11	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LWND|368aVULN|4CDMG|5AART|7RCR|9RMIN
84	36315 12531	   	176.11	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LWND|368aVULN|4CDMG|5AART|7RCR|9CGEN
85	32352 16235	   	176.10	DCR|3DMG|2VULN|2DUR|1ZMB	19DUR|2LHND|39VULN|4aTLV|5ZMB|689DMG|7RCR|9BPWR
86	21124 52482	 * 	175.83	DCR|3VULN|1AART|2CDMG|2ASPD	18aVULN|2MBVNT|3aLIT|4AART|58ASPD|68LWND|7RCR|8aBPWR|9aCDMG
87	63512 51123	   	175.76	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2MLV|3AART|4aTLV|5BEXP|69VULN|7aDMG|8RCR|aBPWR
88	63515 31123	   	175.76	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2MLV|3AART|4aTLV|59VULN|6FEWX|7aDMG|8RCR|aBPWR
89	63522 51123	   	175.76	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2MLV|3AART|4aERES|5BEXP|69VULN|7aDMG|8RCR|aBPWR
90	63525 31123	   	175.76	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2MLV|3AART|4aERES|59VULN|6FEWX|7aDMG|8RCR|aBPWR
91	21124 22433	 * 	175.73	DCR|3VULN|1AART|1DMG|2ASPD	18aVULN|2MBVNT|3LIT|4AART|58ASPD|68BEXP|7RCR|8BPWR|9DMG
92	43511 34132	 * 	175.69	ACR|3VULN|2AART|1DMG|1DUR	18CGEN|28MLV|3DUR|4DMG|5RCR|678VULN|8BPWR|9aAART
93	61512 51123	   	175.66	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2ERES|3AART|4aTLV|5BEXP|69VULN|7aDMG|8RCR|aBPWR
94	61515 31123	   	175.66	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|2ERES|3AART|4aTLV|59VULN|6FEWX|7aDMG|8RCR|aBPWR
95	11128 42433	   	175.64	DCR|3VULN|1AART|1DMG|2ZMB	18DUST|2MBVNT|3LIT|48aVULN|58ZMB|6AART|7RCR|8BPWR|9DMG
96	23421 13165	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2CGEN|3AART|4DMSP|5LWND|69DMG|7RCR|8ZMB
97	23422 13165	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2CGEN|3AART|4DMSP|5BEXP|69DMG|7RCR|8ZMB
98	32313 52511	   	175.51	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LHND|358aVULN|4CDMG|6AART|7RCR|9RMIN
99	32313 52531	   	175.51	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LHND|358aVULN|4CDMG|6AART|7RCR|9CGEN
100	36313 52511	   	175.51	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LWND|358aVULN|4CDMG|6AART|7RCR|9RMIN
101	36313 52531	   	175.51	DCR|4VULN|1AART|1CDMG|1DUR	1DUR|2LWND|358aVULN|4CDMG|6AART|7RCR|9CGEN
102	21881 44217	   	175.48	DCR|2VULN|2DMG|1AART|2CDMG	18VULN|2MBVNT|3RMIN|46DMG|56CDMG|6BPWR|7BASICY|9RCR|aAART
103	13313 52536	   	175.41	DCR|4VULN|1AART|1CDMG|1ASPD	1DUST|2BEXP|3589VULN|4CDMG|6AART|7RCR|aASPD
104	21447 44173	   	175.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	16VULN|2MBVNT|3DUR|4AART|5ASPD|7RMIN|8RCR|9aDMG
105	31347 44173	   	175.39	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1DUR|2MBVNT|36VULN|4AART|5ASPD|7RMIN|8RCR|9aDMG
106	31341 21173	   	175.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2MBVNT|36VULN|4AART|56TLV|6BPWR|7ASPD|8RCR|9aDMG
107	31341 22133	   	175.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2MBVNT|36VULN|4AART|56TLV|6BPWR|7aDMG|8RCR|9ASPD
108	31346 21173	   	175.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2MBVNT|36VULN|4AART|56ERES|6BPWR|7ASPD|8RCR|9aDMG
109	31346 22133	   	175.29	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1DUR|2MBVNT|36VULN|4AART|56ERES|6BPWR|7aDMG|8RCR|9ASPD
110	33133 35532	   	175.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|2BEXP|3LIT|4RCR|58aVULN|6AART|7ASPD|9DMG
111	21831 28634	   	174.79	ACR|3VULN|2DMG|1AART	17aVULN|2MBVNT|34RMIN|5RCR|6aMLV|8aDMG|9AART|aBPWR
112	13313 52534	 * 	174.78	DCR|4VULN|1AART|2CDMG	1DUST|2BEXP|3589VULN|4aCDMG|6AART|7RCR
113	21381 64281	   	174.76	DCR|2VULN|2AART|1DMG|1CDMG|1ASPD	1aVULN|2MBVNT|3MLV|4DMG|5CDMG|69AART|7ASPD|8RCR
114	21126 45482	   	174.74	DCR|3VULN|1AART|2CDMG|2ZMB	17aVULN|2MBVNT|3aLIT|4AART|57LWND|67ZMB|7aBPWR|8RCR|9aCDMG
115	23414 11151	   	174.70	ACR|4VULN|1AART|1DMG	169aVULN|2CGEN|3AART|4RPLT|5RCR|7DMG|8ERES
116	23414 16321	   	174.70	ACR|4VULN|1AART|1DMG	167aVULN|2CGEN|3AART|4RPLT|5RCR|8DMG|9ERES
117	21445 63331	   	174.60	DCR|2AART|2VULN|1CDMG|2DUR|1ZMB	1aVULN|2MBVNT|35DUR|46AART|7RCR|8ZMB|9CDMG
118	31345 63331	   	174.60	DCR|2AART|2VULN|1CDMG|2DUR|1ZMB	15DUR|2MBVNT|3aVULN|46AART|7RCR|8ZMB|9CDMG
119	31313 44217	   	174.52	DCR|4VULN|1AART|2CDMG|1DUR	1DUR|2MBVNT|3568VULN|46CDMG|6BPWR|7BASICY|9RCR|aAART
120	31441 88843	 * 	174.42	DCR|3VULN|1AART|3DUR|1CDMG	178DUR|2MBVNT|378LWND|4AART|578VULN|6RCR|78BPWR|9LIT|aCDMG
121	21386 34234	   	174.27	DCR|3VULN|2DMG|1AART	16aVULN|2MBVNT|35aMLV|4aDMG|7NUKE|8RCR|9AART|aBPWR
122	23414 11152	 * 	174.25	ACR|3VULN|1AART|1DMG|1CDMG	169VULN|2CGEN|3AART|4RPLT|5RCR|7DMG|8ERES|aCDMG
123	23414 16322	   	174.25	ACR|3VULN|1AART|1DMG|1CDMG	167VULN|2CGEN|3AART|4RPLT|5RCR|8DMG|9ERES|aCDMG
124	11313 67416	   	174.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2MBVNT|357VULN|4CDMG|6AART|8DMG|9DUR|aRCR
125	21442 28143	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	19VULN|2MBVNT|3DUR|4AART|5LHND|6DMG|7RCR|8CDMG|aASPD
126	21442 28443	   	173.85	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1VULN|2MBVNT|3DUR|4AART|5LHND|68DMG|7RCR|9CDMG|aASPD
127	31342 28143	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|39VULN|4AART|5LHND|6DMG|7RCR|8CDMG|aASPD
128	31342 28443	   	173.85	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|2MBVNT|3VULN|4AART|5LHND|68DMG|7RCR|9CDMG|aASPD
129	31441 28143	   	173.85	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2MBVNT|3LWND|4AART|59VULN|6DMG|7RCR|8CDMG|aASPD
130	31441 28443	   	173.85	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1DUR|2MBVNT|3LWND|4AART|5VULN|68DMG|7RCR|9CDMG|aASPD
131	21286 33418	   	173.70	DCR|3VULN|2DMG|2DUR|1ZMB	16aVULN|2MBVNT|3TLV|4aDMG|5MLV|7ZMB|8RCR|9aDUR|aBPWR
132	21388 33418	   	173.70	DCR|3VULN|2DMG|2DUR|1ZMB	16aVULN|2MBVNT|3MLV|4aDMG|5ERES|7ZMB|8RCR|9aDUR|aBPWR
133	21742 17415	   	173.68	DCR|4VULN|1AART|1DMG	167aVULN|2MBVNT|3RPLT|4AART|5DMG|8RCR|9LHND
134	21742 17425	   	173.68	DCR|4VULN|1AART|1DMG	167aVULN|2MBVNT|3RPLT|4AART|5DMG|8RCR|9BEXP
135	21742 17481	   	173.68	DCR|4VULN|1AART|1DMG	167aVULN|2MBVNT|3RPLT|4AART|5DMG|8RCR|9DMSP
136	21441 22177	   	173.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2MBVNT|36DUR|4AART|56TLV|6BPWR|79DMG|8RCR
137	21441 42177	   	173.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2MBVNT|37DUR|4AART|5TLV|69DMG|8RCR
138	21446 22177	   	173.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2MBVNT|36DUR|4AART|56ERES|6BPWR|79DMG|8RCR
139	21446 42177	   	173.65	DCR|2VULN|2DMG|1AART|2DUR	1aVULN|2MBVNT|37DUR|4AART|5ERES|69DMG|8RCR
140	31341 42177	   	173.65	DCR|2VULN|2DMG|1AART|2DUR	17DUR|2MBVNT|3aVULN|4AART|5TLV|69DMG|8RCR
141	31346 42177	   	173.65	DCR|2VULN|2DMG|1AART|2DUR	17DUR|2MBVNT|3aVULN|4AART|5ERES|69DMG|8RCR
142	21423 15835	   	173.60	DCR|3VULN|2DMG|2DUR|1ZMB	16aVULN|2MBVNT|3aDUR|4DUST|5LEGI|7ZMB|8RCR|9aDMG|aBPWR
143	31323 15835	   	173.60	DCR|3VULN|2DMG|2DUR|1ZMB	1aDUR|2MBVNT|36aVULN|4DUST|5LEGI|7ZMB|8RCR|9aDMG|aBPWR
144	21742 17443	   	173.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	167VULN|2MBVNT|3RPLT|4AART|5DMG|8RCR|9DUR|aASPD
145	32315 12521	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LHND|368VULN|4CDMG|59AART|7RCR|aRPLT
146	32315 12525	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LHND|368VULN|4CDMG|59AART|7RCR|aLIT
147	32315 62511	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LHND|38aVULN|4CDMG|56AART|7RCR|9RMIN
148	32315 62531	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LHND|38aVULN|4CDMG|56AART|7RCR|9CGEN
149	36315 12521	   	173.45	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LWND|368VULN|4CDMG|59AART|7RCR|aRPLT
150	21124 55482	   	173.43	DCR|3VULN|1AART|2CDMG|2ASPD	17aVULN|2MBVNT|3aLIT|4AART|57ASPD|67LWND|7aBPWR|8RCR|9aCDMG
151	21441 48133	   	173.36	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1VULN|2MBVNT|3DUR|4AART|5TLV|67aDMG|8RCR|9ASPD
152	31341 48133	   	173.36	DCR|3DMG|1AART|1VULN|1DUR|1ASPD	1DUR|2MBVNT|3VULN|4AART|5TLV|67aDMG|8RCR|9ASPD
153	11311 34335	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	1aDUST|2MBVNT|36aVULN|4CDMG|5RPLT|7RCR|8DUR|9aDMG|aBPWR
154	21611 34335	   	173.35	DCR|3VULN|2DMG|1CDMG|1DUR	16aVULN|2MBVNT|3aDUST|4CDMG|5RPLT|7RCR|8DUR|9aDMG|aBPWR
155	32315 12522	   	173.35	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LHND|368VULN|4CDMG|59AART|7RCR|aBASHEA
156	32315 12523	   	173.35	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LHND|368VULN|4CDMG|59AART|7RCR|aVENICY
157	36315 12522	   	173.35	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LWND|368VULN|4CDMG|59AART|7RCR|aBASHEA
158	36315 12523	   	173.35	DCR|3VULN|2AART|1CDMG|1DUR	1DUR|2LWND|368VULN|4CDMG|59AART|7RCR|aVENICY
159	12315 12526	   	173.35	DCR|3VULN|2AART|1CDMG|1ASPD	1DUST|2LHND|368VULN|4CDMG|59AART|7RCR|aASPD
160	21742 17482	   	173.23	DCR|3VULN|1AART|1DMG|1CDMG	167VULN|2MBVNT|3RPLT|4AART|5DMG|8RCR|9DMSP|aCDMG
161	22116 16314	   	173.18	DCR|4VULN|1AART|1DMG	148aVULN|2LEGI|34LIT|4BPWR|5DMG|6LWND|7RCR|9AART
162	31441 84427	   	173.15	DCR|2VULN|2DMG|1AART|1DUR	1DUR|2MBVNT|3LWND|4AART|5aVULN|6RCR|7TLV|89DMG
163	22666 11222	 * 	173.15	DCR|2VULN|2DMG|3CDMG|2DUR	19VULN|2LEGI|3RPLT|47DUR|59aCDMG|69DMG|8RCR|9BPWR
164	21126 42682	   	173.08	DCR|3VULN|1AART|2CDMG|1ZMB	18aVULN|2MBVNT|3aLIT|4AART|5LWND|6ZMB|7RCR|9aCDMG|aBPWR
165	32315 12515	   	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2LHND|368VULN|4CDMG|5AART|7RCR|9RMIN|aZMB
166	32315 12535	   	173.01	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUR|2LHND|368VULN|4CDMG|5AART|7RCR|9CGEN|aZMB
