0	Index      	 *	Score 	Summary	Detail	
1	33343 25611	 * 	198.24	ACR|3VULN|3DMG|1AART	1BELT|2RCR|359VULN|45FEWX|5BPWR|67aDMG|8AART
38	33311 21535	   	182.39	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3aVULN|4CGEN|567DMG|8AART|9DUST
39	33311 21545	   	182.39	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3aVULN|4CGEN|567DMG|8AART|9LEGI
40	33351 21515	   	182.39	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3aVULN|4ERES|567DMG|8AART|9FEWX
41	33351 21535	   	182.29	ACR|3DMG|2VULN|1AART	1BELT|2RCR|3aVULN|4ERES|567DMG|8AART|9DUST
42	33531 52433	 * 	182.28	ACR|3DMG|1AART|3DUR|2ZMB|1ASPD	1BELT|2RCR|38aDUR|4ASPD|568DMG|78ZMB|8BPWR|9AART
43	33361 63333	   	182.24	ACR|3VULN|1AART|1DMG|1ZMB|1DUR	1BELT|2RCR|37aVULN|4LIT|5DMG|6DUR|8ZMB|9AART
44	33531 42216	 * 	181.96	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1BELT|2RCR|38DUR|48ASPD|59DMG|6ERES|78VULN|8BPWR|aCDMG
45	44212 15331	 * 	181.02	ACR|2AART|2VULN|2DMG|1ASPD	1aERES|2aDMG|38AART|4RPLT|5RCR|6LIT|7ASPD|9aVULN|aBPWR
46	33343 25632	 * 	180.58	ACR|2VULN|2DMG|1AART|1CDMG	1BELT|2RCR|35VULN|45FEWX|5BPWR|67DMG|8AART|9CDMG|aRCVC
47	33343 25633	   	180.58	ACR|2VULN|2DMG|1AART|1CDMG	1BELT|2RCR|35VULN|45FEWX|5BPWR|67DMG|8AART|9CDMG|aMLV
48	33343 25631	   	180.48	ACR|2VULN|2DMG|1AART|1CDMG	1BELT|2RCR|35VULN|45FEWX|5BPWR|67DMG|8AART|9CDMG|aDUST
49	33531 62413	 * 	180.16	ACR|2DMG|3ZMB|1AART|3DUR|1ASPD	1BELT|2RCR|368DUR|4ASPD|58DMG|78aZMB|8BPWR|9AART
50	55131 16221	   	180.04	ACR|3VULN|3DMG|1ZMB	18LHND|2DMSP|3ERES|4RCR|568VULN|789DMG|8BPWR|aZMB
51	33531 15115	   	179.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|5DMG|6AART|79aVULN|8LIT
52	65131 63121	   	179.84	ACR|3VULN|3DMG|1ZMB	1RMIN|27TLV|3ERES|4RCR|578VULN|679DMG|7BPWR|aZMB
53	33361 61315	   	179.38	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BELT|2RCR|39aVULN|4LIT|5DMG|6DUR|7AART|8ASPD
54	33343 22614	   	179.10	ACR|4VULN|1AART|1DMG	1BELT|2RCR|3579VULN|45aFEWX|5BPWR|6DMG|8AART
55	33343 22612	   	179.00	ACR|4VULN|1AART|1DMG	1BELT|2RCR|3579VULN|45FEWX|5BPWR|6DMG|8AART|aDUST
56	33343 22616	   	178.86	ACR|4VULN|1AART|1DMG|1SELL	1BELT|2RCR|3579VULN|45FEWX|5BPWR|6DMG|8AART|aSELL
57	33534 12611	   	178.78	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	15BELT|2RCR|3DUR|4ASPD|679VULN|8AART|aDMG
58	33535 12611	   	178.78	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|5RCVC|679VULN|8AART|aDMG
59	33343 22632	   	178.65	ACR|3VULN|1AART|1DMG|1CDMG	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8AART|9CDMG|aRCVC
60	33343 22633	   	178.65	ACR|3VULN|1AART|1DMG|1CDMG	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8AART|9CDMG|aMLV
61	33343 22635	   	178.65	ACR|3VULN|1AART|1DMG|1CDMG	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8AART|9CDMG|aLWND
62	33343 22631	   	178.55	ACR|3VULN|1AART|1DMG|1CDMG	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8AART|9CDMG|aDUST
63	33531 52432	   	178.46	ACR|3DMG|1AART|2ZMB|2DUR|1ASPD	1BELT|2RCR|38DUR|4ASPD|568DMG|78ZMB|8BPWR|9AART|aLWND
64	33136 12611	 * 	178.45	ACR|3VULN|1AART|1DMG|2ASPD	1BELT|2RCR|3FEWX|45ASPD|679VULN|8AART|aDMG
65	23355 13321	   	178.39	ACR|3DMG|2VULN|1AART	1aLWND|2ERES|3AART|49aDMG|5RCR|6LIT|7LHND|8aVULN|aBPWR
66	33311 25124	 * 	178.25	ACR|3DMG|2VULN|2CDMG	1BELT|2RCR|38VULN|48CGEN|568DMG|7RCVC|8BPWR|9aCDMG
67	33314 31124	   	178.25	ACR|3DMG|2VULN|2CDMG	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9aCDMG
68	33315 31124	   	178.25	ACR|3DMG|2VULN|2CDMG	1BELT|2RCR|38VULN|48CGEN|5RCVC|678DMG|8BPWR|9aCDMG
69	33531 51136	   	178.18	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1BELT|2RCR|3DUR|4ASPD|567DMG|8MLV|9AART|aVULN
70	33531 51236	   	178.18	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|567DMG|8RMIN|9AART|aVULN
71	31111 51636	   	178.16	ACR|3DMG|2VULN|1ZMB|1ASPD|1DUR	1BELT|2DUR|3ASPD|4RCR|567DMG|8aVULN|9ZMB
72	33335 31124	   	178.05	ACR|3DMG|2VULN|2CDMG	1BELT|2RCR|38VULN|4RCVC|58ERES|678DMG|8BPWR|9aCDMG
73	33351 25124	   	178.05	ACR|3DMG|2VULN|2CDMG	1BELT|2RCR|38VULN|48ERES|568DMG|7RCVC|8BPWR|9aCDMG
74	33354 31124	   	178.05	ACR|3DMG|2VULN|2CDMG	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9aCDMG
75	33355 31124	   	178.05	ACR|3DMG|2VULN|2CDMG	1BELT|2RCR|38VULN|48ERES|5RCVC|678DMG|8BPWR|9aCDMG
76	33531 14236	   	177.97	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1BELT|2RCR|3DUR|4ASPD|5aDMG|6AART|7MLV|8CDMG|9VULN
77	33311 21155	   	177.95	ACR|3DMG|1AART|1VULN|1CDMG	1BELT|2RCR|3VULN|4CGEN|567DMG|8MGNSTR|9AART|aCDMG
78	33351 21155	   	177.85	ACR|3DMG|1AART|1VULN|1CDMG	1BELT|2RCR|3VULN|4ERES|567DMG|8MGNSTR|9AART|aCDMG
79	31111 52433	   	177.48	ACR|3DMG|1AART|3DUR|2ZMB|1ASPD	1BELT|28aDUR|3ASPD|4RCR|568DMG|78ZMB|8BPWR|9AART
80	32111 21333	   	177.44	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1BELT|2ZMB|3VULN|4RCR|567DMG|8CGEN|9AART|aDUR
81	32111 21335	   	177.44	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1BELT|2ZMB|3VULN|4RCR|567DMG|8CGEN|9AART|aASPD
82	33311 21623	   	177.35	ACR|3DMG|1AART|1VULN|1CDMG	1BELT|2RCR|3VULN|4CGEN|567DMG|8CDMG|9BEXP|aAART
83	33311 21633	   	177.35	ACR|3DMG|1AART|1VULN|1CDMG	1BELT|2RCR|3VULN|4CGEN|567DMG|8CDMG|9FEWX|aAART
84	33322 42611	 * 	177.35	ACR|3VULN|2AART|1DMG	1BELT|2RCR|389VULN|4LEGI|5ERES|67AART|aDMG
85	32111 21156	   	177.34	ACR|3DMG|1AART|1VULN|1ZMB|1DUR	1BELT|2ZMB|3VULN|4RCR|567DMG|8SNIHEL|9AART|aDUR
86	33311 21643	   	177.25	ACR|3DMG|1AART|1VULN|1CDMG	1BELT|2RCR|3VULN|4CGEN|567DMG|8CDMG|9DUST|aAART
87	31111 42216	   	177.16	ACR|2VULN|2DMG|2ASPD|1CDMG|2DUR	1BELT|28DUR|38ASPD|4RCR|59DMG|6ERES|78VULN|8BPWR|aCDMG
88	33311 21523	   	177.13	ACR|3DMG|1AART|1VULN|2DUR	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9aDUR
89	33351 21523	   	177.03	ACR|3DMG|1AART|1VULN|2DUR	1BELT|2RCR|3VULN|4ERES|567DMG|8AART|9aDUR
90	32111 24413	   	176.84	ACR|3DMG|1AART|1VULN|1ZMB|1ASPD	1BELT|2ZMB|3VULN|4RCR|569DMG|7ASPD|8LWND|aAART
91	33321 24226	   	176.74	ACR|2VULN|2DMG|1AART|1ZMB	1BELT|2RCR|38VULN|4LEGI|5ZMB|68DMG|78CGEN|8BPWR|9LHND|aAART
92	33321 24236	   	176.74	ACR|2VULN|2DMG|1AART|1ZMB	1BELT|2RCR|38VULN|4LEGI|5ZMB|68DMG|78CGEN|8BPWR|9LWND|aAART
93	33311 21512	   	176.35	ACR|3DMG|2AART|1VULN	1BELT|2RCR|3VULN|4CGEN|567DMG|8aAART|9FEWX
94	33343 22652	   	176.35	ACR|3VULN|2AART|1DMG	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8aAART|9ERES
95	33351 21512	   	176.25	ACR|3DMG|2AART|1VULN	1BELT|2RCR|3VULN|4ERES|567DMG|8aAART|9FEWX
96	44212 15131	   	176.18	ACR|2VULN|2DMG|1AART|2ASPD	1aERES|2aDMG|3AART|4RPLT|5RCR|6LIT|78ASPD|9aVULN|aBPWR
97	33321 24216	   	176.13	ACR|3VULN|2DMG|1ZMB|1ASPD	1BELT|2RCR|38aVULN|4LEGI|5ZMB|68DMG|78CGEN|8BPWR|9ASPD
98	55131 16223	   	175.98	ACR|3VULN|3DMG|1ASPD	18LHND|2DMSP|3ERES|4RCR|568VULN|789DMG|8BPWR|aASPD
99	33111 22616	   	175.90	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2RCR|3FEWX|4CGEN|56aDMG|7ZMB|8AART|9VULN
100	33343 22642	   	175.90	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8AART|9LEGI|aZMB
101	33311 21533	   	175.80	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2RCR|3VULN|4CGEN|567DMG|8AART|9DUST|aZMB
102	65131 63123	   	175.78	ACR|3VULN|3DMG|1ASPD	1RMIN|27TLV|3ERES|4RCR|578VULN|679DMG|7BPWR|aASPD
103	33343 22624	   	175.76	ACR|3VULN|1AART|1DMG|1ZMB|1SELL	1BELT|2RCR|357VULN|45FEWX|5BPWR|6DMG|8AART|9SELL|aZMB
104	33531 11233	   	175.67	ACR|2DMG|2AART|1VULN|1ASPD|1DUR	1BELT|2RCR|3DUR|4ASPD|59DMG|68AART|7DUST|aVULN
105	31111 62413	   	175.36	ACR|2DMG|3ZMB|1AART|3DUR|1ASPD	1BELT|268DUR|3ASPD|4RCR|58DMG|78aZMB|8BPWR|9AART
106	33531 15112	   	175.33	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|4ASPD|5DMG|6AART|79VULN|8LIT|aZMB
107	33531 15162	   	175.33	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|4ASPD|5aDMG|6AART|7VULN|8LIT|9ZMB
108	33341 21635	   	175.30	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2RCR|38aVULN|4FEWX|5ZMB|6DMG|7LIT|9AART
109	31111 15115	   	175.18	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BELT|2DUR|3ASPD|4RCR|5DMG|6AART|79aVULN|8LIT
110	31111 15451	   	175.18	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1BELT|2DUR|3ASPD|4RCR|5DMG|6AART|79aVULN|8LWND
111	44235 13321	   	174.87	ACR|2VULN|2DMG|1AART|2DUR	1aERES|29DMG|3AART|4aDUR|5RCR|6LIT|7LHND|8aVULN|aBPWR
112	33361 61312	   	174.73	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BELT|2RCR|39VULN|4LIT|5DMG|6DUR|7AART|8ASPD|aZMB
113	33361 61362	   	174.73	ACR|2DMG|1AART|1VULN|1ZMB|1DUR|1ASPD	1BELT|2RCR|3VULN|4LIT|5aDMG|6DUR|7AART|8ASPD|9ZMB
114	33565 21312	   	174.73	ACR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1BELT|2RCR|3DUR|4LIT|59VULN|6ASPD|7AART|8DMG|aZMB
115	33311 21433	   	174.70	ACR|3DMG|1AART|1VULN|1ZMB	1BELT|2RCR|3VULN|4CGEN|567DMG|8LHND|9ZMB|aAART
116	33343 41225	   	174.70	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2RCR|358VULN|45FEWX|5BPWR|6ERES|7ZMB|9DMG|aAART
117	32511 26136	   	174.55	ACR|3DMG|1AART|1VULN|2ZMB	1BELT|27ZMB|37LHND|4RCR|567DMG|7BPWR|8MLV|9AART|aVULN
118	33322 51224	   	174.50	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2RCR|368VULN|4LEGI|5ERES|7ZMB|9DMG|aAART
119	33323 41224	   	174.50	ACR|3VULN|1AART|1DMG|1ZMB	1BELT|2RCR|358VULN|4LEGI|5BPWR|6ERES|7ZMB|9DMG|aAART
120	33531 51333	   	174.41	ACR|3DMG|1AART|2DUR|1ZMB|1ASPD	1BELT|2RCR|3aDUR|4ASPD|567DMG|8ZMB|9AART
121	33343 21156	   	174.12	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1BELT|2RCR|35VULN|45FEWX|5BPWR|6aDMG|7ZMB|8DUR|9CDMG
122	31114 12611	   	173.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	15BELT|2DUR|3ASPD|4RCR|679VULN|8AART|aDMG
123	31115 12611	   	173.98	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1BELT|2DUR|3ASPD|4RCR|5RCVC|679VULN|8AART|aDMG
124	32511 26233	   	173.95	ACR|3DMG|1AART|1VULN|2ZMB	1BELT|27ZMB|37LHND|4RCR|567DMG|7BPWR|8RMIN|9VULN|aAART
125	33311 25156	   	173.94	ACR|3VULN|3DMG	1BELT|2RCR|38aVULN|489CGEN|568DMG|7RCVC|8BPWR
126	33314 31156	   	173.94	ACR|3VULN|3DMG	15BELT|2RCR|38aVULN|489CGEN|678DMG|8BPWR
127	33315 31156	   	173.94	ACR|3VULN|3DMG	1BELT|2RCR|38aVULN|489CGEN|5RCVC|678DMG|8BPWR
128	33111 22626	   	173.90	ACR|2DMG|1AART|1VULN|1CDMG|1ZMB	1BELT|2RCR|3FEWX|4CGEN|56DMG|7ZMB|8AART|9CDMG|aVULN
129	33334 22634	   	173.90	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|37VULN|4RCVC|5BEXP|6DMG|8AART|9CDMG|aZMB
130	44212 63211	   	173.88	ACR|2AART|2VULN|2DMG	1ERES|27DMG|38AART|4RPLT|5RCR|6TLV|9aVULN
131	65131 63111	   	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	1RMIN|27TLV|3ERES|4RCR|578VULN|67DMG|7BPWR|9DUR|aCDMG
132	31111 52432	   	173.66	ACR|3DMG|1AART|2ZMB|2DUR|1ASPD	1BELT|28DUR|3ASPD|4RCR|568DMG|78ZMB|8BPWR|9AART|aLWND
133	31111 52434	   	173.66	ACR|3DMG|1AART|2ZMB|2DUR|1ASPD	1BELT|28DUR|3ASPD|4RCR|568DMG|78ZMB|8BPWR|9AART|aCGEN
134	31111 52435	   	173.66	ACR|3DMG|1AART|2ZMB|2DUR|1ASPD	1BELT|28DUR|3ASPD|4RCR|568DMG|78ZMB|8BPWR|9AART|aLIT
135	36116 12611	   	173.65	ACR|3VULN|1AART|1DMG|2ASPD	1BELT|2FEWX|35ASPD|4RCR|679VULN|8AART|aDMG
136	33351 41132	   	173.64	ACR|3VULN|3DMG	1BELT|2RCR|38aVULN|468ERES|578DMG|8BPWR|9RMIN
137	33335 31252	   	173.64	ACR|3VULN|3DMG	1BELT|2RCR|39aVULN|4RCVC|5ERES|679DMG|89TLV|9BPWR
138	33351 25252	   	173.64	ACR|3VULN|3DMG	1BELT|2RCR|39aVULN|4ERES|569DMG|7RCVC|89TLV|9BPWR
139	33354 31252	   	173.64	ACR|3VULN|3DMG	15BELT|2RCR|39aVULN|4ERES|679DMG|89TLV|9BPWR
140	33355 31252	   	173.64	ACR|3VULN|3DMG	1BELT|2RCR|39aVULN|4ERES|5RCVC|679DMG|89TLV|9BPWR
141	33351 41142	   	173.54	ACR|3VULN|3DMG	1BELT|2RCR|38aVULN|468ERES|578DMG|8BPWR|9TLV
142	33351 41252	   	173.54	ACR|3VULN|3DMG	1BELT|2RCR|39aVULN|46ERES|579DMG|89TLV|9BPWR
143	31111 51136	   	173.38	ACR|3DMG|1AART|1VULN|1DUR|1ASPD	1BELT|2DUR|3ASPD|4RCR|567DMG|8MLV|9AART|aVULN
144	31111 51236	   	173.38	ACR|3DMG|1AART|1VULN|1ASPD|1DUR	1BELT|2DUR|3ASPD|4RCR|567DMG|8RMIN|9AART|aVULN
145	63672 44244	 * 	173.37	ACR|2AART|1VULN|1DMG|2CDMG|1ZMB	1RMIN|2MBVNT|3RCR|4aCDMG|59AART|6ZMB|7VULN|8DMG
146	33341 21632	   	173.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BELT|2RCR|38VULN|4FEWX|5ZMB|6DMG|7LIT|9AART|aCDMG
147	63134 24848	 * 	173.25	ACR|3DMG|1AART|1VULN|3DUR	1RMIN|2MBVNT|3BELT|478DUR|5RCR|678DMG|78BPWR|9AART|aVULN
148	31111 14236	   	173.17	ACR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1BELT|2DUR|3ASPD|4RCR|5aDMG|6AART|7MLV|8CDMG|9VULN
149	33311 25133	 * 	173.14	ACR|3DMG|2VULN|2ZMB	1BELT|2RCR|38VULN|48CGEN|568DMG|7RCVC|8BPWR|9aZMB
150	33314 31133	   	173.14	ACR|3DMG|2VULN|2ZMB	15BELT|2RCR|38VULN|48CGEN|678DMG|8BPWR|9aZMB
151	33315 31133	   	173.14	ACR|3DMG|2VULN|2ZMB	1BELT|2RCR|38VULN|48CGEN|5RCVC|678DMG|8BPWR|9aZMB
152	63673 34241	   	173.04	ACR|2VULN|2AART|1DMG|1CDMG	1RMIN|2MBVNT|3RCR|4CDMG|5MLV|69AART|7aVULN|8DMG
153	33131 15115	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|79aVULN|8LIT
154	33131 15351	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|79aVULN|8LHND
155	33131 15451	   	173.04	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|3FEWX|4ASPD|5DMG|6AART|79aVULN|8LWND
156	33335 31133	   	172.94	ACR|3DMG|2VULN|2ZMB	1BELT|2RCR|38VULN|4RCVC|58ERES|678DMG|8BPWR|9aZMB
157	33351 25133	   	172.94	ACR|3DMG|2VULN|2ZMB	1BELT|2RCR|38VULN|48ERES|568DMG|7RCVC|8BPWR|9aZMB
158	33354 31133	   	172.94	ACR|3DMG|2VULN|2ZMB	15BELT|2RCR|38VULN|48ERES|678DMG|8BPWR|9aZMB
159	33355 31133	   	172.94	ACR|3DMG|2VULN|2ZMB	1BELT|2RCR|38VULN|48ERES|5RCVC|678DMG|8BPWR|9aZMB
160	32625 11511	 * 	172.62	DCR|2VULN|2DMG|1AART|1ZMB	1BELT|2ZMB|3RCVC|4AART|5CGEN|69VULN|7aDMG|8RCR
161	33511 43612	   	172.48	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1BELT|2RCR|37DUR|4CGEN|57DMG|67ERES|7BPWR|8AART|9VULN|aZMB
162	33323 25626	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|35VULN|4LEGI|5BPWR|67DMG|8DUR|9LHND|aAART
163	33323 25636	   	172.47	ACR|2VULN|2DMG|1AART|1DUR	1BELT|2RCR|35VULN|4LEGI|5BPWR|67DMG|8DUR|9LWND|aAART
164	33361 41315	   	172.44	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|39aVULN|4LIT|5DMG|6BEXP|7AART|8ASPD
165	33361 61262	   	172.44	ACR|3DMG|1AART|1VULN|1DUR	1BELT|2RCR|3VULN|4LIT|59aDMG|6DUR|7AART|8FEWX
166	33321 23521	   	172.38	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1BELT|2RCR|3aVULN|4LEGI|5ZMB|6DMG|79DUR|8AART
167	33362 21315	   	172.34	ACR|3VULN|1AART|1DMG|1ASPD	1BELT|2RCR|39aVULN|4LIT|5DUST|6ASPD|7AART|8DMG
168	33311 23225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|56DMG|7LHND
169	33311 26225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|56DMG|7LWND
170	33312 25225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|5FEWX|67DMG
171	33316 25225	   	172.18	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|5BEXP|67DMG
172	33313 25225	   	172.08	ACR|4VULN|2DMG	1BELT|2RCR|389aVULN|4CGEN|5DUST|67DMG
173	33136 12615	 * 	172.04	ACR|3VULN|1AART|2ASPD|1CDMG	1BELT|2RCR|3FEWX|45ASPD|679VULN|8AART|aCDMG
