0	Index      	 *	Score 	Summary	Detail	
1	32311 33352	 * 	205.44	DCR|5VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3DUST|48DUR|5789aVULN|6RCR|8BPWR
18	32111 31352	   	192.71	DCR|4VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3LHND|48DUR|589aVULN|6RCR|7RCVC|8BPWR
19	32311 33314	   	192.61	DCR|4VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3DUST|48DUR|578aVULN|6RCR|8BPWR|9RMIN
20	32311 33353	   	192.61	DCR|4VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3DUST|48DUR|5789VULN|6RCR|8BPWR|aLHND
21	32311 35352	   	192.61	DCR|4VULN|1AART|2CDMG|2DUR	1AART|28CDMG|3DUST|48DUR|589aVULN|6RCR|7RCVC|8BPWR
22	21313 23234	 * 	191.22	DCR|3VULN|3DMG|1AART	1aMLV|2ERES|36aDMG|45aVULN|7AART|8RCR|9RCVC|aBPWR
23	32532 12441	   	191.17	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	19AART|2CDMG|3ERES|46VULN|5ZMB|7RCR|8DMG|aDUR
24	61313 26234	   	191.02	DCR|3VULN|3DMG|1AART	1aTLV|2ERES|36aDMG|45aVULN|7AART|8RCR|9RCVC|aBPWR
25	21313 23225	   	190.98	DCR|3VULN|3DMG|1AART|1SELL	1aMLV|2ERES|36aDMG|45aVULN|7AART|8RCR|9SELL|aBPWR
26	32111 21253	   	190.94	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD|1DUR	1AART|2CDMG|3LHND|4DUR|59VULN|6ASPD|7aDMG|8RCR
27	32215 21253	   	190.94	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1AART|2CDMG|39VULN|4DUR|5LWND|6ASPD|7aDMG|8RCR
28	32661 21253	   	190.94	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1ASPD	1AART|2CDMG|3DUR|4LWND|59VULN|6ASPD|7aDMG|8RCR
29	61313 26225	   	190.78	DCR|3VULN|3DMG|1AART|1SELL	1aTLV|2ERES|36aDMG|45aVULN|7AART|8RCR|9SELL|aBPWR
30	35432 33321	   	190.18	ACR|3DMG|1AART|1VULN|2ASPD|2DUR	1AART|27aDMG|3CGEN|4RCR|57aLSRHEA|67DUR|7aBPWR|8VULN|9aASPD
31	31532 34251	   	190.01	ACR|2AART|2VULN|2DMG|2DUR	12AART|39DUR|4RCR|5AIRHEA|6BELT|79DMG|89VULN|9BPWR|aDMSP
32	31532 34252	   	190.01	ACR|2AART|2VULN|2DMG|2DUR	12AART|39DUR|4RCR|5AIRHEA|6BELT|79DMG|89VULN|9BPWR|aRMIN
33	31532 34253	   	190.01	ACR|2AART|2VULN|2DMG|2DUR	12AART|39DUR|4RCR|5AIRHEA|6BELT|79DMG|89VULN|9BPWR|aLIT
34	32311 33344	 * 	189.96	DCR|3VULN|2AART|2CDMG|2DUR	1aAART|28CDMG|3DUST|48DUR|578VULN|6RCR|8BPWR|9FEWX
35	32311 33431	   	189.96	DCR|3VULN|2AART|2CDMG|2DUR	1aAART|29CDMG|3DUST|49DUR|579VULN|6RCR|8RPLT|9BPWR
36	32311 33342	   	189.52	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	1AART|28CDMG|3DUST|48DUR|578VULN|6RCR|8BPWR|9FEWX|aZMB
37	32311 33435	   	189.52	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	1AART|29CDMG|3DUST|49DUR|579VULN|6RCR|8RPLT|9BPWR|aZMB
38	32311 33361	   	189.42	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	1AART|28CDMG|3DUST|48DUR|578VULN|6RCR|8BPWR|9CANHEL|aZMB
39	32311 31351	   	189.27	DCR|3VULN|1AART|2CDMG|3DUR|1ASPD	1AART|28CDMG|3DUST|478DUR|58aVULN|6RCR|8BPWR|9ASPD
40	35153 21361	   	189.06	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUR|8VULN|9CDMG|aZMB
41	32216 11254	   	188.87	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|2CDMG|39VULN|4DUR|5FEWX|6ZMB|7DMG|8RCR
42	32311 11254	   	188.77	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|2CDMG|3DUST|4DUR|59VULN|6ZMB|7DMG|8RCR
43	32311 31431	 * 	188.47	DCR|3VULN|1AART|3CDMG|3DUR	1AART|29aCDMG|3aDUST|479DUR|59aVULN|6RCR|8RPLT|9aBPWR
44	32532 12412	   	188.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|46aVULN|5ZMB|7RCR|8DMG|9MLV
45	32532 12434	   	188.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|46aVULN|5ZMB|7RCR|8DMG|9BEXP
46	32532 12453	   	188.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|46aVULN|5ZMB|7RCR|8DMG|9LIT
47	32435 33236	   	188.29	ACR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|3TLV|4aVULN|5RCR|6ZMB|7BASICY|89DMG
48	32241 31432	   	188.28	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29CDMG|39VULN|4RMIN|5MBVNT|6RCR|79DMG|8RPLT|9BPWR|aCGEN
49	32241 31435	   	188.28	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29CDMG|39VULN|4RMIN|5MBVNT|6RCR|79DMG|8RPLT|9BPWR|aLIT
50	32241 31438	   	188.28	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29CDMG|39VULN|4RMIN|5MBVNT|6RCR|79DMG|8RPLT|9BPWR|aLWND
51	35134 61122	   	188.02	DCR|3DMG|2VULN|1AART|2ASPD	1AART|269DMG|39ASPD|4RMIN|5LWND|7BEXP|89VULN|9BPWR|aRCR
52	32231 51354	   	187.97	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|3aVULN|4BEXP|5TLV|69DMG|7ZMB|8RCR
53	35133 64122	   	187.92	DCR|3DMG|2VULN|1AART|2ASPD	1AART|269DMG|39ASPD|4RMIN|5DUST|7LWND|89VULN|9BPWR|aRCR
54	32221 51354	   	187.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1AART|2CDMG|3aVULN|4DUST|5TLV|69DMG|7ZMB|8RCR
55	32245 13352	 * 	187.78	ACR|3VULN|1AART|2CDMG|2ASPD|2DUR	1AART|28CDMG|39aVULN|4RMIN|5RCR|68ASPD|78DUR|8BPWR
56	32661 31352	   	187.42	DCR|4VULN|1AART|2CDMG|1DUR	1AART|28CDMG|3DUR|48LWND|589aVULN|6RCR|7RCVC|8BPWR
57	32131 33355	   	187.42	DCR|4VULN|1AART|2CDMG|1ASPD	1AART|28CDMG|3LHND|48BEXP|5789VULN|6RCR|8BPWR|aASPD
58	32243 53314	   	187.17	DCR|2AART|2VULN|1DMG|2CDMG|2DUR	1aAART|28CDMG|38VULN|4RMIN|5DUST|6DMG|78DUR|8BPWR|9RCR
59	32216 31351	 * 	186.84	DCR|2VULN|1AART|1DMG|2CDMG|3DUR	1AART|28CDMG|3aVULN|478DUR|58FEWX|6RCR|8BPWR|9DMG
60	31122 61662	   	186.73	DCR|2AART|2DMG|1VULN|1CDMG|1ZMB	12AART|3MLV|4CDMG|5RCVC|6RCR|7ZMB|89DMG|aVULN
61	32236 33254	   	186.73	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2CDMG|37VULN|4BEXP|5FEWX|6RCR|8ZMB|9DMG
62	32243 53312	   	186.72	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ZMB	1AART|28CDMG|38VULN|4RMIN|5DUST|6DMG|78DUR|8BPWR|9RCR|aZMB
63	32131 33356	   	186.52	DCR|4VULN|1AART|3CDMG	1AART|28aCDMG|3LHND|48BEXP|5789VULN|6RCR|8BPWR
64	32131 32351	   	186.44	DCR|3VULN|1AART|1DMG|2CDMG	1AART|28CDMG|3LHND|478BEXP|58aVULN|6RCR|8BPWR|9DMG
65	32161 33351	   	186.44	DCR|3VULN|1AART|1DMG|2CDMG	1AART|28CDMG|3LHND|478LWND|58aVULN|6RCR|8BPWR|9DMG
66	32535 33114	 * 	186.35	ACR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3ERES|489VULN|5RCR|6ZMB|7BASICY|aDMG
67	31532 42321	   	185.98	ACR|2AART|2DMG|1VULN|2ASPD|2DUR	12AART|3aDUR|4RCR|5AIRHEA|6aDMG|7CGEN|8VULN|9aASPD|aBPWR
68	31532 43321	   	185.98	ACR|2AART|2DMG|1VULN|2ASPD|2DUR	12AART|3aDUR|4RCR|5AIRHEA|6aDMG|7MLV|8VULN|9aASPD|aBPWR
69	31532 46321	   	185.98	ACR|2AART|2DMG|1VULN|2ASPD|2DUR	12AART|3aDUR|4RCR|5AIRHEA|6aDMG|7VULN|8MLV|9aASPD|aBPWR
70	31536 42321	   	185.98	ACR|2AART|2DMG|1VULN|2ASPD|2DUR	12AART|3aDUR|4RCR|5CANHEL|6aDMG|7CGEN|8VULN|9aASPD|aBPWR
71	31536 43321	   	185.98	ACR|2AART|2DMG|1VULN|2ASPD|2DUR	12AART|3aDUR|4RCR|5CANHEL|6aDMG|7MLV|8VULN|9aASPD|aBPWR
72	32241 61432	   	185.88	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29CDMG|39VULN|4RMIN|5MBVNT|69DMG|7RCR|8RPLT|9BPWR|aCGEN
73	32241 61435	   	185.88	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29CDMG|39VULN|4RMIN|5MBVNT|69DMG|7RCR|8RPLT|9BPWR|aLIT
74	32241 61438	   	185.88	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29CDMG|39VULN|4RMIN|5MBVNT|69DMG|7RCR|8RPLT|9BPWR|aLWND
75	31532 53341	   	185.88	ACR|2AART|2VULN|1DMG|1CDMG|2DUR	12AART|36DUR|4RCR|5AIRHEA|78VULN|9DMG|aCDMG
76	32245 53333	   	185.58	ACR|2DMG|1AART|1VULN|2CDMG|2DUR|1ASPD	1AART|28CDMG|3VULN|4RMIN|5RCR|68DMG|78DUR|8BPWR|9LHND|aASPD
77	32111 31355	   	185.55	DCR|3VULN|1AART|2CDMG|2DUR|1ASPD	1AART|28CDMG|3LHND|48DUR|589VULN|6RCR|7RCVC|8BPWR|aASPD
78	32311 35355	   	185.45	DCR|3VULN|1AART|2CDMG|2DUR|1ASPD	1AART|28CDMG|3DUST|48DUR|589VULN|6RCR|7RCVC|8BPWR|aASPD
79	35153 25331	   	185.35	DCR|3DMG|1AART|1VULN|2DUR|1ASPD	1AART|25aDMG|3ASPD|4aBASICY|6RCR|7TLV|8VULN|9aDUR|aBPWR
80	35613 32125	 * 	185.16	DCR|3DMG|2AART|2CDMG|2DUR	15AART|26aDMG|3BELT|46ERES|6aBPWR|7aCDMG|8RCR|9aDUR
81	32532 12423	   	185.01	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2CDMG|3ERES|46VULN|5ZMB|7RCR|8DMG|9aDUR
82	31115 64123	   	184.97	ACR|2AART|2VULN|1DMG|1ZMB|1DUR|1ASPD	12AART|3MLV|4RCR|5DUR|6ASPD|7ZMB|8aVULN|9DMG
83	32661 33431	   	184.85	DCR|3VULN|1AART|3CDMG|2DUR	1AART|29aCDMG|3aDUR|479LWND|59aVULN|6RCR|8RPLT|9aBPWR
84	32216 21254	   	184.80	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR	1aAART|2CDMG|39VULN|4DUR|5FEWX|6ASPD|7DMG|8RCR
85	32311 21254	   	184.70	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD|1DUR	1aAART|2CDMG|3DUST|4DUR|59VULN|6ASPD|7DMG|8RCR
86	32111 31356	   	184.65	DCR|3VULN|1AART|3CDMG|2DUR	1AART|28aCDMG|3LHND|48DUR|589VULN|6RCR|7RCVC|8BPWR
87	32311 35356	   	184.55	DCR|3VULN|1AART|3CDMG|2DUR	1AART|28aCDMG|3DUST|48DUR|589VULN|6RCR|7RCVC|8BPWR
88	35153 21363	   	184.37	DCR|2DMG|1AART|1VULN|2CDMG|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUR|8VULN|9aCDMG
89	32111 11253	   	184.36	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2CDMG|3LHND|4DUR|59VULN|6ZMB|7DMG|8RCR|aASPD
90	32215 11253	   	184.36	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2CDMG|39VULN|4DUR|5LWND|6ZMB|7DMG|8RCR|aASPD
91	32661 11253	   	184.36	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2CDMG|3DUR|4LWND|59VULN|6ZMB|7DMG|8RCR|aASPD
92	32216 21252	   	184.36	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2CDMG|39VULN|4DUR|5FEWX|6ASPD|7DMG|8RCR|aZMB
93	32311 21252	   	184.26	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1AART|2CDMG|3DUST|4DUR|59VULN|6ASPD|7DMG|8RCR|aZMB
94	35432 35121	   	184.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1AART|2aDMG|39CGEN|4RCR|5aLSRHEA|6DUR|7ZMB|8aVULN|aBPWR
95	32532 12442	   	184.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2CDMG|3ERES|46VULN|5ZMB|7RCR|8DMG|aNUKE
96	32532 12443	   	184.13	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	19AART|2CDMG|3ERES|46VULN|5ZMB|7RCR|8DMG|aMBVNT
97	35153 26233	   	184.12	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1AART|258DMG|3ASPD|4BASICY|6RCR|7RPLT|9VULN|aZMB
98	32215 23313	   	184.08	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD|1DUR	1AART|28CDMG|38VULN|4DUR|5LWND|68ASPD|7RMIN|8BPWR|9RCR|aDMG
99	32131 21253	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|3LHND|4BEXP|59VULN|6ASPD|7aDMG|8RCR
100	32235 21253	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|39VULN|4BEXP|5LWND|6ASPD|7aDMG|8RCR
101	32266 21253	   	184.00	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|39VULN|4LWND|5BEXP|6ASPD|7aDMG|8RCR
102	32121 21253	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|3LHND|4DUST|59VULN|6ASPD|7aDMG|8RCR
103	32225 21253	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|39VULN|4DUST|5LWND|6ASPD|7aDMG|8RCR
104	32361 21253	   	183.90	DCR|2VULN|2DMG|1AART|1CDMG|1ASPD	1AART|2CDMG|3DUST|4LWND|59VULN|6ASPD|7aDMG|8RCR
105	32311 31364	   	183.72	DCR|2VULN|1AART|3CDMG|3DUR|1ZMB	1AART|28aCDMG|3DUST|478DUR|58VULN|6RCR|8BPWR|9ZMB
106	35153 33351	   	183.51	DCR|3DMG|2VULN|1AART|1ASPD	1AART|25aDMG|3ASPD|4aBASICY|6TLV|7LWND|8aVULN|9RCR|aBPWR
107	35123 53151	   	183.41	DCR|3VULN|2DMG|1AART|1ASPD	1AART|2aDMG|3ASPD|4aERES|5DUST|6LSRREG|78aVULN|9RCR|aBPWR
108	32216 33244	   	183.10	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1AART|2CDMG|37aVULN|49DUR|5FEWX|6RCR|8ZMB
109	32215 33351	   	183.02	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|28CDMG|3aVULN|48DUR|578LWND|6RCR|8BPWR|9DMG
110	32311 33244	   	183.00	DCR|3VULN|1AART|1CDMG|2DUR|1ZMB	1AART|2CDMG|3DUST|49DUR|57aVULN|6RCR|8ZMB
111	32244 13313	   	182.76	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1AART|28CDMG|38VULN|4RMIN|5LWND|6ASPD|78DUR|8BPWR|9RCR|aDMG
112	32244 53313	   	182.76	DCR|2VULN|1AART|1DMG|2CDMG|2DUR|1ASPD	1AART|28CDMG|38VULN|4RMIN|5LWND|6DMG|78DUR|8BPWR|9RCR|aASPD
113	32234 53314	   	182.76	DCR|3VULN|2AART|2CDMG|2DUR	1aAART|28CDMG|358VULN|4BEXP|6DUST|78DUR|8BPWR|9RCR
114	32111 11254	   	182.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2CDMG|3LHND|4aDUR|59VULN|6ZMB|7DMG|8RCR
115	32215 11254	   	182.71	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2CDMG|39VULN|4aDUR|5LWND|6ZMB|7DMG|8RCR
116	32211 51344	   	182.61	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2CDMG|3aVULN|49DUR|5TLV|6DMG|7ZMB|8RCR
117	32241 34185	   	182.56	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1aAART|2CDMG|3VULN|4RMIN|5MBVNT|6RCR|7DUR|89DMG
118	31232 46316	   	182.49	ACR|3DMG|2AART|1VULN|1ASPD	12AART|3DUST|4RCR|5AIRHEA|67aDMG|8VULN|9ASPD
119	32532 12252	   	182.47	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|2CDMG|3ERES|469aVULN|5ZMB|7RCR|8LWND
120	32532 12352	   	182.47	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|2CDMG|3ERES|469aVULN|5ZMB|7RCR|8BEXP
121	32532 12652	   	182.47	DCR|4VULN|1AART|1CDMG|1ZMB	1AART|2CDMG|3ERES|469aVULN|5ZMB|7RCR|8LHND
122	32245 53322	 * 	182.46	ACR|2DMG|1AART|1VULN|2CDMG|3DUR	1AART|28CDMG|3VULN|4RMIN|5RCR|68DMG|789DUR|8BPWR|aBEXP
123	32245 53323	   	182.46	ACR|2DMG|1AART|1VULN|2CDMG|3DUR	1AART|28CDMG|3VULN|4RMIN|5RCR|68DMG|789DUR|8BPWR|aLWND
124	32535 12412	   	182.39	ACR|3VULN|1AART|1DMG|1CDMG|1ASPD	1AART|2CDMG|3ERES|47aVULN|5RCR|6ASPD|8DMG|9MLV
125	32245 53321	   	182.36	ACR|2DMG|1AART|1VULN|2CDMG|3DUR	1AART|28CDMG|3VULN|4RMIN|5RCR|68DMG|789DUR|8BPWR|aERES
126	32311 31311	   	182.33	DCR|3VULN|1AART|2CDMG|3DUR	1AART|28CDMG|3DUST|478DUR|58aVULN|6RCR|8BPWR|9RMIN
127	32311 31331	   	182.33	DCR|3VULN|1AART|2CDMG|3DUR	1AART|28CDMG|3DUST|478DUR|58aVULN|6RCR|8BPWR|9CGEN
128	32311 31433	   	182.33	DCR|3VULN|1AART|2CDMG|3DUR	1AART|29CDMG|3DUST|479DUR|59aVULN|6RCR|8RPLT|9BPWR
129	32311 33334	   	182.33	DCR|3VULN|1AART|2CDMG|3DUR	1AART|28CDMG|3DUST|48aDUR|578VULN|6RCR|8BPWR|9LHND
130	32234 53312	   	182.32	DCR|3VULN|1AART|2CDMG|2DUR|1ZMB	1AART|28CDMG|358VULN|4BEXP|6DUST|78DUR|8BPWR|9RCR|aZMB
131	32131 32356	   	182.24	DCR|2AART|2VULN|1DMG|2CDMG	1aAART|28CDMG|3LHND|478BEXP|58VULN|6RCR|8BPWR|9DMG
132	31656 12122	 * 	182.23	DCR|4VULN|2AART|1DMG	12AART|3RCVC|4567VULN|8DMG|9LHND|aRCR
133	32111 32144	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3LHND|4DUR|5aVULN|6RCR|7RMIN|8DMG|9ZMB
134	32215 32144	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3aVULN|4DUR|5LWND|6RCR|7RMIN|8DMG|9ZMB
135	32131 33253	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CDMG|3LHND|4BEXP|57VULN|6RCR|8ZMB|9DMG|aASPD
136	32131 33254	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3LHND|4BEXP|57VULN|6RCR|8ZMB|9DMG|aDUR
137	32235 33253	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CDMG|37VULN|4BEXP|5LWND|6RCR|8ZMB|9DMG|aASPD
138	32235 33254	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|37VULN|4BEXP|5LWND|6RCR|8ZMB|9DMG|aDUR
139	32266 33253	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2CDMG|37VULN|4LWND|5BEXP|6RCR|8ZMB|9DMG|aASPD
140	31656 12112	   	182.13	DCR|4VULN|2AART|1DMG	12AART|3RCVC|4567VULN|8DMG|9DUST|aRCR
141	32241 34182	   	182.12	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4RMIN|5MBVNT|6RCR|7DUR|89DMG|aZMB
142	35433 61212	 * 	182.09	ACR|3VULN|2DMG|1AART	1AART|2aDMG|39CGEN|4RCR|5DMSP|67aVULN|8aLIT|aBPWR
143	35651 32213	   	182.07	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1AART|269DMG|3BELT|4CDMG|5VULN|7BEXP|8RCR|aASPD
144	35153 22361	   	182.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUST|8VULN|9CDMG|aZMB
145	35153 21341	   	181.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUR|89VULN|aRCVC
146	35153 21342	   	181.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUR|89VULN|aMLV
147	35153 21343	   	181.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUR|89VULN|aFEWX
148	35153 23613	   	181.99	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7LIT|8aVULN|9DUR
149	33111 51641	   	181.99	ACR|3DMG|2VULN|1AART	1AART|2RCVC|3aMLV|4RCR|5DMSP|6BASHEA|7aVULN|89aDMG|aBPWR
150	35651 31213	   	181.97	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1AART|269DMG|3BELT|4CDMG|5VULN|7DUST|8RCR|aASPD
151	32236 11254	   	181.93	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2CDMG|39VULN|4BEXP|5FEWX|6ZMB|7DMG|8RCR
152	35153 22336	   	181.89	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUST|8aVULN|9DUR
153	35153 22341	   	181.89	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1AART|25DMG|3ASPD|4BASICY|6RCR|7DUST|89VULN|aDUR
154	35432 23521	   	181.89	ACR|3VULN|2DMG|1AART	1AART|2aDMG|39CGEN|4RCR|5aLSRHEA|6RCVC|78aVULN|aBPWR
155	35433 63332	   	181.89	ACR|3VULN|2DMG|1AART	1AART|28DMG|3CGEN|4RCR|5DMSP|68aVULN|78TLV|8BPWR|9RCVC
156	32226 11254	   	181.83	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1aAART|2CDMG|39VULN|4DUST|5FEWX|6ZMB|7DMG|8RCR
157	35612 22115	   	181.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1AART|29DMG|3BELT|49ERES|5RCR|6LIT|7ASPD|89VULN|9BPWR|aZMB
