0	Index      	 *	Score 	Summary	Detail	
1	31231 51652	 * 	194.91	ACR|2AART|2DMG|1VULN|2CDMG|2ZMB	19CDMG|2DUST|3RCR|49DMG|58AART|6MBVNT|79ZMB|9BPWR|aVULN
14	42513 31326	   	186.76	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|23aVULN|4CDMG|5DMG|6AART|7RCR|8aDUST|9RMIN|aBPWR
15	52513 31313	   	185.98	DCR|3VULN|2AART|1DMG|1CDMG	1BEXP|23aVULN|4CDMG|5DMG|68AART|7RCR|9LHND
16	52513 31343	   	185.98	DCR|3VULN|2AART|1DMG|1CDMG	1BEXP|23aVULN|4CDMG|5DMG|68AART|7RCR|9FEWX
17	21423 51216	 * 	185.93	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ZMB	1CGEN|2AART|3CDMG|4aVULN|5DMG|6ZMB|7RCR|8LHND|9FLTHEA
18	36323 51216	   	185.93	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ZMB	1CDMG|2AART|3MLV|4aVULN|5DMG|6ZMB|7RCR|8BEXP|9FLTHEA
19	52513 31333	   	185.88	DCR|3VULN|2AART|1DMG|1CDMG	1BEXP|23aVULN|4CDMG|5DMG|68AART|7RCR|9DUST
20	52513 31521	   	185.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|aRCVC
21	52513 31523	   	185.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|aDMSP
22	52513 31522	   	185.43	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|aTLV
23	42533 42132	   	185.25	DCR|4VULN|2DMG|1CDMG|1DUR	1DUR|2356VULN|45DMG|5BPWR|7LIT|8RCR|9CDMG|aMGNSTR
24	42533 42133	   	185.25	DCR|4VULN|2DMG|1CDMG|1DUR	1DUR|2356VULN|45DMG|5BPWR|7LIT|8RCR|9CDMG|aCGEN
25	42513 25321	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|23VULN|4CDMG|59DMG|6RCR|7LIT|8AART|aCGEN
26	42513 25322	   	184.60	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|23VULN|4CDMG|59DMG|6RCR|7LIT|8AART|aRCVC
27	21423 51313	   	183.73	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CGEN|28AART|3CDMG|4aVULN|5DMG|6ZMB|7RCR|9LHND
28	21423 51343	   	183.73	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CGEN|28AART|3CDMG|4aVULN|5DMG|6ZMB|7RCR|9FEWX
29	21423 51333	   	183.63	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1CGEN|28AART|3CDMG|4aVULN|5DMG|6ZMB|7RCR|9DUST
30	43642 22223	 * 	183.49	DCR|3VULN|2DMG|3ZMB|1DUR	1DUR|24aZMB|34DMG|4BPWR|5RCVC|678VULN|9RCR
31	31231 52652	   	183.46	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	19CDMG|2DUST|3RCR|49DMG|5AART|6MBVNT|7RCVC|89ZMB|9BPWR|aVULN
32	42513 21142	   	183.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DUR|23VULN|4CDMG|59DMG|6RCR|7RMIN|8LHND|aAART
33	31231 51452	   	183.36	ACR|2DMG|1AART|1VULN|2CDMG|2ZMB	19CDMG|28DUST|3RCR|49DMG|5AART|6MBVNT|79ZMB|9BPWR|aVULN
34	36323 31213	   	183.34	DCR|3VULN|1AART|1DMG|2CDMG	19CDMG|2AART|3MLV|49aVULN|5DMG|6TLV|7RCR|89BEXP|9BPWR
35	36423 31213	   	183.24	DCR|3VULN|1AART|2CDMG|1DMG	19CDMG|2AART|3ERES|49aVULN|5DMG|6TLV|7RCR|89BEXP|9BPWR
36	42513 23412	   	183.16	DCR|2VULN|2DMG|1AART|1CDMG|1DUR|1SELL	1DUR|23VULN|4CDMG|59DMG|6RCR|7RCVC|8SELL|aAART
37	36323 31313	   	183.14	DCR|3VULN|1AART|1DMG|2CDMG	19CDMG|2AART|3MLV|49aVULN|5DMG|6TLV|7RCR|89DUST|9BPWR
38	36423 31313	   	183.04	DCR|3VULN|1AART|2CDMG|1DMG	19CDMG|2AART|3ERES|49aVULN|5DMG|6TLV|7RCR|89DUST|9BPWR
39	43313 21623	 * 	182.41	DCR|3DMG|3ZMB|2CDMG|3DUR	19aDUR|29aZMB|3MLV|48CDMG|59aDMG|6RCR|7RMIN|9aBPWR
40	43413 21623	   	182.31	DCR|3DMG|3ZMB|2CDMG|3DUR	19aDUR|29aZMB|3ERES|48CDMG|59aDMG|6RCR|7RMIN|9aBPWR
41	31231 52452	   	182.16	ACR|2DMG|1AART|1VULN|2CDMG|2ASPD	19CDMG|2DUST|3RCR|49DMG|5AART|6MBVNT|7RCVC|89ASPD|9BPWR|aVULN
42	21423 21216	   	181.86	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1CGEN|2AART|3CDMG|4aVULN|5DMG|6ASPD|7RCR|8LHND|9FLTHEA
43	36323 21216	   	181.86	DCR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1ASPD	1CDMG|2AART|3MLV|4aVULN|5DMG|6ASPD|7RCR|8BEXP|9FLTHEA
44	36423 21216	   	181.76	DCR|2VULN|1AART|1DMG|1FLTHEA|1CDMG|1ASPD	1CDMG|2AART|3ERES|4aVULN|5DMG|6ASPD|7RCR|8BEXP|9FLTHEA
45	42513 31216	   	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|23aVULN|4CDMG|5DMG|6AART|7RCR|8BEXP|9MGNLIT
46	52513 31126	   	181.47	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8CGEN|aDUR
47	21235 26324	 * 	181.43	DCR|2AART|2VULN|2FLTHEA|1CDMG|1ZMB	1aCGEN|25AART|3ZMB|4aFLTHEA|6LHND|7CDMG|8RCR|9aVULN|aBPWR
48	42513 31334	   	181.37	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|23aVULN|4CDMG|5DMG|6AART|7RCR|8DUST|9BEXP
49	21232 23324	 * 	180.95	DCR|2VULN|3ZMB|1AART|1CDMG|1FLTHEA	1aCGEN|2AART|37aZMB|4FLTHEA|5CDMG|6LEGI|8RCR|9aVULN|aBPWR
50	36323 32413	   	180.94	DCR|3VULN|1AART|1DMG|2CDMG	19CDMG|2AART|3MLV|49aVULN|5DMG|6TLV|79BEXP|8RCR|9BPWR
51	36323 36413	   	180.94	DCR|3VULN|1AART|1DMG|2CDMG	19CDMG|2AART|3MLV|49aVULN|5DMG|6TLV|79LWND|8RCR|9BPWR
52	36423 32413	   	180.84	DCR|3VULN|1AART|2CDMG|1DMG	19CDMG|2AART|3ERES|49aVULN|5DMG|6TLV|79BEXP|8RCR|9BPWR
53	42533 12623	   	180.45	DCR|4VULN|2DMG|1CDMG|1DUR	1DUR|2359VULN|45DMG|5BPWR|6FEWX|7RCVC|8CDMG|aRCR
54	42533 22623	   	180.45	DCR|4VULN|2DMG|1CDMG|1DUR	1DUR|2359VULN|45DMG|5BPWR|6BEXP|7RCVC|8CDMG|aRCR
55	31231 41142	   	180.16	ACR|2AART|2DMG|1VULN|2CDMG	19CDMG|2DUST|3RCR|49DMG|56AART|7RMIN|89FEWX|9BPWR|aVULN
56	31231 41242	   	180.16	ACR|2AART|2DMG|1VULN|2CDMG	19CDMG|2DUST|3RCR|49DMG|56AART|7RMIN|89LWND|9BPWR|aVULN
57	31231 41342	   	180.16	ACR|2AART|2DMG|1VULN|2CDMG	19CDMG|2DUST|3RCR|49DMG|56AART|7RMIN|89LHND|9BPWR|aVULN
58	31231 42442	   	180.16	ACR|2AART|2DMG|1VULN|2CDMG	19CDMG|2DUST|3RCR|49DMG|56AART|79BEXP|8RMIN|9BPWR|aVULN
59	31231 24442	   	180.16	ACR|2AART|2DMG|1VULN|2CDMG	19CDMG|2DUST|3RCR|49DMG|57AART|69FEWX|8RMIN|9BPWR|aVULN
60	31231 42426	 * 	180.06	ACR|2AART|2VULN|1DMG|2CDMG	1aCDMG|2aDUST|3RCR|4DMG|56AART|7BEXP|8RMIN|9aVULN|aBPWR
61	21423 31316	   	179.92	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	19CGEN|2AART|3aCDMG|49VULN|5DMG|6TLV|7RCR|89DUR|9BPWR
62	21423 21313	   	179.66	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CGEN|28AART|3CDMG|4aVULN|5DMG|6ASPD|7RCR|9LHND
63	21423 21343	   	179.66	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CGEN|28AART|3CDMG|4aVULN|5DMG|6ASPD|7RCR|9FEWX
64	21423 21355	   	179.66	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CGEN|28AART|3CDMG|4aVULN|5DMG|6ASPD|7RCR|9RCVC
65	21423 21365	   	179.66	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	19CGEN|28AART|3CDMG|4aVULN|5DMG|6ASPD|7RCR
66	21423 21333	   	179.56	DCR|2AART|2VULN|1DMG|1CDMG|1ASPD	1CGEN|28AART|3CDMG|4aVULN|5DMG|6ASPD|7RCR|9DUST
67	21332 52453	 * 	179.42	ACR|3VULN|3AART|1DMG	1CGEN|236AART|4RCR|5LWND|789VULN|aDMG
68	31231 21141	 * 	179.41	ACR|3ZMB|1AART|1DMG|2CDMG|1VULN	19CDMG|29DUST|3RCR|4DMG|5AART|6FEWX|789ZMB|9BPWR|aVULN
69	36323 51234	   	179.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2AART|3MLV|4aVULN|5DMG|6ZMB|7RCR|8BEXP|9DUR
70	52513 24311	   	179.06	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1BEXP|23VULN|4CDMG|5DMG|6RCR|78AART|9LHND|aDUR
71	52513 24331	   	178.96	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1BEXP|23VULN|4CDMG|5DMG|6RCR|78AART|9DUST|aDUR
72	43632 22522	   	178.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	18DUR|2ZMB|34DMG|5RCVC|67VULN|9RCR|aAART
73	52531 43222	 * 	178.78	DCR|4VULN|1AART|1DMG|1ZMB	1BEXP|2368VULN|4DMG|5DMSP|7ZMB|9RCR|aAART
74	21143 65121	   	178.52	DCR|2VULN|2DMG|1AART|1ZMB	1CGEN|2AART|3FEWX|47VULN|58DMG|6RCR|9SNIHEL|aZMB
75	43663 23123	 * 	178.48	DCR|3DMG|3ASPD|3DUR|1CDMG|1ZMB	19aDUR|2ZMB|39aDMG|4ERES|5CDMG|6RCR|7RCVC|89aASPD|9aBPWR
76	52513 33624	   	178.23	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|239VULN|4CDMG|5DMG|6AART|7MBVNT|8ZMB|aRCR
77	31231 43534	   	177.85	ACR|2AART|1VULN|1DMG|2ZMB|1CDMG|1DUR	1CDMG|2DUST|3RCR|4DMG|56AART|7VULN|8aZMB|9DUR
78	31231 56423	 * 	177.75	ACR|3DMG|1AART|1VULN|1CDMG	1CDMG|2DUST|3RCR|489DMG|5AART|6MBVNT|7LIT|aVULN
79	21423 31311	 * 	177.43	DCR|2VULN|1AART|1DMG|3DUR|1CDMG	19CGEN|2AART|3CDMG|49VULN|5DMG|6TLV|7RCR|89aDUR|9BPWR
80	31331 41442	 * 	177.34	DCR|2AART|2DMG|1VULN|2CDMG	19CDMG|2DUST|39FEWX|49DMG|56AART|7RCR|8RMIN|9BPWR|aVULN
81	31231 21542	   	177.32	ACR|2AART|1VULN|2CDMG|1DMG|2ZMB	19CDMG|29DUST|3RCR|4DMG|58AART|6FEWX|79ZMB|9BPWR|aVULN
82	31231 42542	   	177.32	ACR|2AART|1VULN|2CDMG|1DMG|2ZMB	19CDMG|29DUST|3RCR|4DMG|56AART|7BEXP|89ZMB|9BPWR|aVULN
83	31231 24542	   	177.32	ACR|2AART|1VULN|2CDMG|1DMG|2ZMB	19CDMG|29DUST|3RCR|4DMG|57AART|6FEWX|89ZMB|9BPWR|aVULN
84	52513 31311	   	177.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1BEXP|23VULN|4CDMG|5DMG|68AART|7RCR|9LHND|aDUR
85	52513 31341	   	177.26	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1BEXP|23VULN|4CDMG|5DMG|68AART|7RCR|9FEWX|aDUR
86	52513 31326	   	177.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1BEXP|23VULN|4CDMG|5DMG|68AART|7RCR|9TLV|aDUR
87	52513 31331	   	177.16	DCR|2VULN|2AART|1DMG|1CDMG|1DUR	1BEXP|23VULN|4CDMG|5DMG|68AART|7RCR|9DUST|aDUR
88	31231 21644	 * 	177.05	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|2DUST|3RCR|4DMG|5AART|6FEWX|7aZMB|89VULN
89	21423 31213	   	177.03	DCR|3VULN|1AART|1DMG|1CDMG	19CGEN|2AART|3CDMG|49aVULN|5DMG|6TLV|7RCR|89LHND|9BPWR
90	21331 62214	 * 	176.98	ACR|2AART|2VULN|2DMG	1CGEN|23AART|4RCR|5TLV|6BELT|79VULN|8aDMG
91	21334 62214	   	176.98	ACR|2AART|2VULN|2DMG	1CGEN|23AART|4RCR|5ERES|6BELT|79VULN|8aDMG
92	31231 51255	   	176.95	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|2DUST|3RCR|4DMG|5AART|6MBVNT|7aZMB|89VULN
93	36146 23133	 * 	176.93	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|2AART|34LIT|56aDMG|7RCR|8MLV|9VULN
94	42533 42113	   	176.90	DCR|4VULN|2DMG|2DUR	1aDUR|2356VULN|45DMG|5BPWR|7LIT|8RCR|9CGEN
95	21425 21314	 * 	176.90	DCR|3AART|2VULN|1DMG|1CDMG	1CGEN|258AART|3CDMG|49VULN|6MBVNT|7RCR|aDMG
96	21232 12144	   	176.86	DCR|2VULN|1AART|2ZMB|1CDMG|1FLTHEA|1DUR	1CGEN|2AART|3aZMB|4FLTHEA|5CDMG|6aFEWX|7RCR|8DUR|9aVULN|aBPWR
97	36146 23233	   	176.83	DCR|3DMG|1AART|1VULN|1CDMG	1CDMG|2AART|34LIT|56aDMG|7RCR|8ERES|9VULN
98	42513 31114	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8CGEN|9BEXP|aZMB
99	42513 31124	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8CGEN|9FEWX|aZMB
100	42513 31215	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8BEXP|9MGNLIT|aZMB
101	42513 31224	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8BEXP|9RMIN|aZMB
102	42513 31511	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9BEXP|aLIT
103	42513 31521	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9FEWX|aLIT
104	42513 31531	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9RCVC|aBELT
105	42513 31532	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9RCVC|aCGEN
106	42513 31533	   	176.82	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9RCVC|aFEWX
107	36323 31333	   	176.73	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3MLV|49aVULN|5DMG|6TLV|7RCR|8DUST
108	42513 31324	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8DUST|9RMIN|aZMB
109	42513 31512	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9BEXP|aDUST
110	42513 31513	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9BEXP|aERES
111	42513 31522	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9FEWX|aDUST
112	42513 31523	   	176.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|23VULN|4CDMG|5DMG|6AART|7RCR|8ZMB|9FEWX|aERES
113	31234 25242	 * 	176.68	ACR|2VULN|2DMG|1AART|1CDMG	1CDMG|2DUST|3RCR|49DMG|57VULN|6LHND|8TLV|aAART
114	36423 31333	   	176.63	DCR|3VULN|1AART|1DMG|1CDMG	1CDMG|2AART|3ERES|49aVULN|5DMG|6TLV|7RCR|8DUST
115	21143 65221	   	176.58	DCR|3VULN|1AART|1DMG|1ZMB	1CGEN|2AART|3FEWX|478VULN|5DMG|6RCR|9SNIHEL|aZMB
116	52513 21142	   	176.46	DCR|2VULN|2DMG|1AART|1CDMG	1BEXP|23VULN|4CDMG|59DMG|6RCR|7RMIN|8LHND|aAART
117	36145 44412	 * 	176.44	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	18CDMG|2AART|34LIT|5MBVNT|68DMG|78ASPD|8BPWR|9RCR|aVULN
118	52513 24121	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6RCR|7AART|8CGEN|aBELT
119	52513 24123	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6RCR|7AART|8CGEN|aFEWX
120	52513 24213	   	176.33	DCR|3VULN|1AART|1DMG|1CDMG	18BEXP|23aVULN|4CDMG|5DMG|6RCR|7AART|9LHND
121	52513 24122	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6RCR|7AART|8CGEN|aERES
122	52513 24233	   	176.23	DCR|3VULN|1AART|1DMG|1CDMG	18BEXP|23aVULN|4CDMG|5DMG|6RCR|7AART|9DUST
123	52513 23412	   	176.22	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1BEXP|23VULN|4CDMG|59DMG|6RCR|7RCVC|8SELL|aAART
124	21423 51513	 * 	176.13	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CGEN|2AART|3CDMG|4aVULN|5DMG|68ZMB|7RCR|9LHND
125	36323 51513	   	176.13	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|2AART|3MLV|4aVULN|5DMG|68ZMB|7RCR|9LHND
126	21423 51533	   	176.03	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CGEN|2AART|3CDMG|4aVULN|5DMG|68ZMB|7RCR|9DUST
127	36323 51533	   	176.03	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG	1CDMG|2AART|3MLV|4aVULN|5DMG|68ZMB|7RCR|9DUST
128	42513 21243	 * 	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	1DUR|23VULN|4CDMG|59aDMG|6RCR|7RMIN|8LWND
129	52513 21333	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	1BEXP|239VULN|4CDMG|5aDMG|6RCR|7RMIN|8DUR
130	52513 21343	   	175.85	DCR|3DMG|2VULN|1CDMG|1DUR	1BEXP|23VULN|4CDMG|59aDMG|6RCR|7RMIN|8DUR
131	52513 26333	   	175.85	DCR|3VULN|2DMG|1CDMG|1DUR	1BEXP|239VULN|4CDMG|5aDMG|6RCR|7MLV|8DUR
132	15224 21432	 * 	175.85	ACR|3VULN|2DMG|2CDMG	1DMSP|2BELT|3RCR|489VULN|5aDMG|69CGEN|79CDMG|9BPWR
133	31231 56433	 * 	175.75	ACR|2DMG|1AART|1VULN|1FLTHEA|1CDMG	1CDMG|2DUST|3RCR|48DMG|5AART|6MBVNT|7LIT|9FLTHEA|aVULN
134	21232 12146	   	175.28	DCR|1AART|1DMG|1VULN|1CDMG|1FLTHEA|1ZMB|1DUR	1CGEN|2AART|3ZMB|4FLTHEA|5CDMG|6FEWX|7RCR|8DUR|9VULN|aDMG
135	36133 25233	 * 	175.20	DCR|2DMG|1AART|1CDMG|1FLTHEA|1ZMB|1ASPD	1CDMG|2AART|3LIT|4LWND|5aDMG|6RCR|7ASPD|8ZMB|9FLTHEA
136	36323 21234	   	175.15	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2AART|3MLV|4aVULN|5DMG|6ASPD|7RCR|8BEXP|9DUR
137	36423 21234	   	175.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1CDMG|2AART|3ERES|4aVULN|5DMG|6ASPD|7RCR|8BEXP|9DUR
138	36133 24122	   	174.88	DCR|2AART|2VULN|1DMG|1CDMG|1SELL	1CDMG|2aAART|3LIT|4LWND|5DMG|6RCR|79VULN|8SELL
139	31231 51651	   	174.85	ACR|2AART|2DMG|2CDMG|2ZMB	19CDMG|2DUST|3RCR|49DMG|58AART|6MBVNT|79ZMB|9BPWR|aRCVC
140	31231 51653	   	174.85	ACR|2AART|2DMG|2CDMG|2ZMB	19CDMG|2DUST|3RCR|49DMG|58AART|6MBVNT|79ZMB|9BPWR|aBEXP
141	31231 51654	   	174.85	ACR|2AART|2DMG|2CDMG|2ZMB	19CDMG|2DUST|3RCR|49DMG|58AART|6MBVNT|79ZMB|9BPWR|aLHND
142	31231 43436	   	174.70	ACR|2AART|1VULN|1DMG|2CDMG|2DUR	1aCDMG|2aDUST|3RCR|4DMG|56AART|7VULN|8RMIN|9aDUR|aBPWR
143	21423 32413	   	174.63	DCR|3VULN|1AART|1DMG|1CDMG	19CGEN|2AART|3CDMG|49aVULN|5DMG|6TLV|79BEXP|8RCR|9BPWR
144	21423 36413	   	174.63	DCR|3VULN|1AART|1DMG|1CDMG	19CGEN|2AART|3CDMG|49aVULN|5DMG|6TLV|79LWND|8RCR|9BPWR
145	36323 31211	   	174.63	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2AART|3MLV|49VULN|5DMG|6TLV|7RCR|89BEXP|9BPWR|aDUR
146	21143 65112	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2AART|3FEWX|47VULN|58DMG|6RCR|9DUR|aBEXP
147	21143 65113	   	174.55	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|2AART|3FEWX|47VULN|58DMG|6RCR|9DUR|aRCVC
148	52513 31121	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8CGEN|aBELT
149	52513 31123	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8CGEN|aFEWX
150	52513 31125	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8CGEN|aLWND
151	52513 31213	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	18BEXP|23aVULN|4CDMG|5DMG|6AART|7RCR|9LHND
152	52513 31243	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	18BEXP|23aVULN|4CDMG|5DMG|6AART|7RCR|9FEWX
153	52513 31421	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8RMIN|aRCVC
154	52513 31423	   	174.53	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8RMIN|aDMSP
155	36423 31211	   	174.53	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	19CDMG|2AART|3ERES|49VULN|5DMG|6TLV|7RCR|89BEXP|9BPWR|aDUR
156	31331 41542	 * 	174.50	DCR|2AART|1VULN|2CDMG|1DMG|2ZMB	19CDMG|29DUST|3FEWX|4DMG|56AART|7RCR|89ZMB|9BPWR|aVULN
157	36133 24123	   	174.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1SELL	1CDMG|2AART|3LIT|4LWND|5DMG|6RCR|79VULN|8SELL|aZMB
158	52513 31122	   	174.43	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|239VULN|4CDMG|5DMG|6AART|7RCR|8CGEN|aERES
