0	Index      	 *	Score 	Summary	Detail	
1	43322 34116	 * 	195.30	DCR|3DMG|2VULN|1AART|2DUR|1ZMB	179DMG|29VULN|3RPLT|4ZMB|5AART|6LIT|89DUR|9BPWR|aRCR
13	16154 33332	 * 	184.67	DCR|3VULN|3ZMB|1AART|2CDMG	19CGEN|256ZMB|359VULN|4RPLT|59BPWR|79CDMG|8RCR|aAART
14	33554 33332	   	184.47	DCR|3VULN|3ZMB|1AART|2CDMG	19ERES|259VULN|356ZMB|4RPLT|59BPWR|79CDMG|8RCR|aAART
15	36154 33332	   	184.47	DCR|3VULN|3ZMB|1AART|2CDMG	19ERES|256ZMB|359VULN|4RPLT|59BPWR|79CDMG|8RCR|aAART
16	26212 12143	   	183.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56aVULN|7RCR|8LHND|9DMG
17	26212 12643	   	183.87	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56aVULN|7RCR|8LWND|9DMG
18	26212 12543	   	183.77	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|2AART|3CDMG|4DUR|56aVULN|7RCR|8LEGI|9DMG
19	43236 25111	 * 	183.67	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1DMG|269VULN|3MLV|4DUR|58AART|7ZMB|aRCR
20	33536 26111	   	183.57	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1ERES|269VULN|3ZMB|4DUR|58AART|7DMG|aRCR
21	36136 26111	   	183.57	DCR|3VULN|2AART|1DMG|1ZMB|1DUR	1ERES|2ZMB|369VULN|4DUR|58AART|7DMG|aRCR
22	43322 33413	 * 	183.47	DCR|2VULN|2DMG|1AART|3DUR|1ZMB	19DMG|29VULN|3RPLT|4ZMB|5AART|6LIT|789DUR|9BPWR|aRCR
23	43322 31616	   	183.07	DCR|3DMG|2VULN|1AART|1ZMB	189DMG|29VULN|3RPLT|4ZMB|5AART|6LIT|79LWND|9BPWR|aRCR
24	43323 16163	   	182.06	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	19DMG|26aVULN|3RPLT|4ZMB|5DUR|7CDMG|8RCR
25	43321 52323	 * 	181.68	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB|1DUR	18DMG|2VULN|3RPLT|48ZMB|58CDMG|6DLOT|7AART|8BPWR|9RCR|aDUR
26	16154 33331	 * 	181.53	DCR|3VULN|3ZMB|1DMG|2CDMG	19CGEN|256ZMB|359VULN|4RPLT|59BPWR|79CDMG|8RCR|aDMG
27	33554 33331	   	181.33	DCR|3VULN|3ZMB|1DMG|2CDMG	19ERES|259VULN|356ZMB|4RPLT|59BPWR|79CDMG|8RCR|aDMG
28	36154 33331	   	181.33	DCR|3VULN|3ZMB|1DMG|2CDMG	19ERES|256ZMB|359VULN|4RPLT|59BPWR|79CDMG|8RCR|aDMG
29	26324 22311	   	181.08	DCR|4VULN|1AART|1DMG|1ZMB	1BEXP|2AART|3ZMB|4679VULN|5DMG|8ERES|aRCR
30	26623 22311	   	181.08	DCR|4VULN|1AART|1DMG|1ZMB	1BEXP|2AART|3DMG|4679VULN|5TLV|8ZMB|aRCR
31	56324 22311	   	180.98	DCR|4VULN|1AART|1DMG|1ZMB	1DUST|2AART|3ZMB|4679VULN|5DMG|8ERES|aRCR
32	44231 22311	   	180.48	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3AART|4679VULN|5FEWX|8ZMB|aRCR
33	44233 22311	   	180.48	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2ERES|3AART|4679VULN|5BEXP|8ZMB|aRCR
34	46261 22311	   	180.48	DCR|4VULN|1AART|1DMG|1ZMB	1DMG|2ZMB|3AART|4679VULN|5FEWX|8ERES|aRCR
35	43321 66113	   	179.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DMG|26VULN|3RPLT|4ZMB|5CDMG|7DUR|8RCR|9AART|aASPD
36	43323 16113	   	179.56	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1DMG|26VULN|3RPLT|4ZMB|5DUR|7CDMG|8RCR|9AART|aASPD
37	16114 23611	   	179.13	DCR|3VULN|2DMG|2CDMG|1ZMB	1aCGEN|2ZMB|37aVULN|4CANSTR|58DMG|6aCDMG|9RCR|aBPWR
38	44151 32232	   	178.75	DCR|3VULN|2DMG|1CDMG|2DUR	19DMG|2ERES|39aVULN|4RPLT|5CDMG|6DUST|7RCR|89DUR|9BPWR
39	45151 32232	   	178.75	DCR|3VULN|2DMG|1CDMG|2DUR	19DMG|2TLV|39aVULN|4RPLT|5CDMG|6DUST|7RCR|89DUR|9BPWR
40	26323 26111	   	178.43	DCR|3VULN|2AART|1DMG|1ZMB	1BEXP|28AART|3ZMB|469VULN|5TLV|7DMG|aRCR
41	26623 25111	   	178.43	DCR|3VULN|2AART|1DMG|1ZMB	1BEXP|28AART|3DMG|469VULN|5TLV|7ZMB|aRCR
42	56323 26111	   	178.33	DCR|3VULN|2AART|1DMG|1ZMB	1DUST|28AART|3ZMB|469VULN|5TLV|7DMG|aRCR
43	44231 25111	   	177.83	DCR|3VULN|2AART|1DMG|1ZMB	1DMG|2ERES|38AART|469VULN|5FEWX|7ZMB|aRCR
44	44233 25111	   	177.83	DCR|3VULN|2AART|1DMG|1ZMB	1DMG|2ERES|38AART|469VULN|5BEXP|7ZMB|aRCR
45	41512 22432	   	177.62	DCR|3DMG|2VULN|1CDMG|1ZMB	189DMG|29FEWX|3ZMB|4MLV|59VULN|6NUKE|7RCR|9BPWR|aCDMG
46	43236 22321	   	177.52	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|267VULN|3MLV|49DUR|5AART|8ZMB|aRCR
47	43236 26311	   	177.52	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|269VULN|3MLV|47DUR|5AART|8ZMB|aRCR
48	43536 22321	   	177.42	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|267VULN|3ZMB|49DUR|5AART|8ERES|aRCR
49	44136 22321	   	177.42	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2ERES|367VULN|49DUR|5AART|8ZMB|aRCR
50	45136 22321	   	177.42	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2TLV|367VULN|49DUR|5AART|8ZMB|aRCR
51	46136 22321	   	177.42	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	1DMG|2ZMB|367VULN|49DUR|5AART|8ERES|aRCR
52	41121 24251	   	177.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15DMG|2FEWX|3DUST|45VULN|5BPWR|6BEXP|7CDMG|8AART|9RCR|aDUR
53	42321 24251	   	177.40	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	15DMG|2DUST|3FEWX|45VULN|5BPWR|6BEXP|7CDMG|8AART|9RCR|aDUR
54	13386 25432	 * 	176.59	ACR|3VULN|2DMG|1AART	189CGEN|269VULN|3MBVNT|4RCR|59DMG|7RCVC|9BPWR|aAART
55	13386 28432	   	176.59	ACR|3VULN|2DMG|1AART	1789CGEN|269VULN|3MBVNT|4RCR|59DMG|9BPWR|aAART
56	43324 16113	 * 	176.57	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1DMG|25VULN|3RPLT|45ZMB|5BPWR|6BEXP|7CDMG|8RCR|9AART|aASPD
57	43324 36113	   	176.47	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1DMG|25VULN|3RPLT|45ZMB|5BPWR|6DUST|7CDMG|8RCR|9AART|aASPD
58	44232 52311	   	175.88	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|25ERES|3AART|479VULN|6RCR|8ZMB|aRMIN
59	44232 52313	   	175.88	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|25ERES|3AART|479VULN|6RCR|8ZMB|aLWND
60	41121 26163	 * 	175.80	DCR|2VULN|2DMG|2AART|1ASPD	15DMG|2FEWX|3DUST|45VULN|5BPWR|6BEXP|78AART|9RCR|aASPD
61	42321 26163	   	175.80	DCR|2VULN|2DMG|2AART|1ASPD	15DMG|2DUST|3FEWX|45VULN|5BPWR|6BEXP|78AART|9RCR|aASPD
62	44232 52312	   	175.78	DCR|3VULN|1AART|1DMG|1ZMB	1DMG|25ERES|3AART|479VULN|6RCR|8ZMB|aDUST
63	45232 43322	   	175.26	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	16DMG|2TLV|3AART|4ERES|56VULN|6BPWR|7DUR|8ZMB|9BEXP|aRCR
64	43321 63122	   	175.22	DCR|3VULN|2DMG|1CDMG|1ZMB	1aDMG|26aVULN|3RPLT|4ZMB|5CDMG|7LEGI|8RCR|9aCGEN|aBPWR
65	13621 12334	 * 	175.19	ACR|4VULN|1AART|1CDMG|1ZMB	1CGEN|2789VULN|3CDMG|4ZMB|5RCR|6BEXP|aAART
66	43321 13163	   	175.12	DCR|3VULN|2DMG|1CDMG|1ZMB	19DMG|27aVULN|3RPLT|4ZMB|5CDMG|6FEWX|8RCR
67	43211 23411	   	175.07	DCR|3DMG|2VULN|2CDMG|1ASPD	18aDMG|27VULN|3aMLV|4CANSTR|5ASPD|6aCDMG|9RCR|aBPWR
68	43411 23411	   	175.07	DCR|3DMG|2VULN|2CDMG|1ASPD	18aDMG|27VULN|3aCGEN|4CANSTR|5ASPD|6aCDMG|9RCR|aBPWR
69	43321 63163	   	175.02	DCR|3VULN|2DMG|1CDMG|1ZMB	19DMG|26aVULN|3RPLT|4ZMB|5CDMG|7LEGI|8RCR
70	44122 51222	 * 	174.88	DCR|2VULN|2DMG|1AART|2CDMG	18DMG|29ERES|38VULN|4CGEN|5TLV|68CDMG|7AART|8BPWR|aRCR
71	43321 52321	   	174.74	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	18DMG|2VULN|3RPLT|48ZMB|58CDMG|6DLOT|7AART|8BPWR|9RCR|aBEXP
72	43321 52322	   	174.74	DCR|2DMG|1AART|1VULN|2CDMG|2ZMB	18DMG|2VULN|3RPLT|48ZMB|58CDMG|6DLOT|7AART|8BPWR|9RCR|aLWND
73	26134 35136	   	174.63	DCR|3VULN|2AART|1DMG	1BEXP|28AART|3MBVNT|45aVULN|6DMG|7RCR|9LIT
74	26134 35174	   	174.63	DCR|3VULN|2AART|1DMG	1BEXP|28AART|3MBVNT|45aVULN|6DMG|7RCR|9RMIN
75	26212 12145	   	174.53	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1BEXP|2AART|3aCDMG|4DUR|56VULN|7RCR|8LHND|9DMG
76	46321 32614	 * 	174.23	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	18DMG|28ZMB|3DUST|4MBVNT|5LWND|6RCR|78ASPD|8BPWR|9AART|aVULN
77	41125 33126	   	174.19	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19DMG|2FEWX|3DUST|48VULN|5ASPD|6DUR|7RCR|aAART
78	42325 33126	   	174.19	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19DMG|2DUST|3FEWX|48VULN|5ASPD|6DUR|7RCR|aAART
79	43115 33126	   	174.19	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	19DMG|28VULN|3DUST|4FEWX|5ASPD|6DUR|7RCR|aAART
80	43322 13451	   	174.06	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	19DMG|26VULN|3RPLT|4ZMB|5AART|7MBVNT|8DUR|aRCR
81	33345 88443	   	173.75	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ERES|2aVULN|3MBVNT|4AART|5DMG|6CDMG|7RCR|8DUR|9ASPD
82	26212 12216	   	173.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|2AART|3CDMG|49DUR|56VULN|7RCR|8MLV|aDMG
83	26212 12341	   	173.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|2AART|3CDMG|4aDUR|56VULN|7RCR|8FEWX|9DMG
84	36621 32343	 * 	173.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1ERES|2ZMB|3CDMG|4DUR|5RCR|6DUST|7aVULN|8AART|9DMG
85	41121 26142	   	173.40	DCR|2VULN|2DMG|2AART|1ASPD	15DMG|2FEWX|3DUST|45VULN|5BPWR|6BEXP|78AART|9ASPD|aRCR
86	42321 26142	   	173.40	DCR|2VULN|2DMG|2AART|1ASPD	15DMG|2DUST|3FEWX|45VULN|5BPWR|6BEXP|78AART|9ASPD|aRCR
87	26324 22411	 * 	173.34	DCR|3VULN|1AART|1DMG|2ZMB	1BEXP|2AART|38ZMB|467VULN|5DMG|9RCR|aFEWX
88	26324 22412	   	173.34	DCR|3VULN|1AART|1DMG|2ZMB	1BEXP|2AART|38ZMB|467VULN|5DMG|9RCR|aLIT
89	26324 22413	   	173.34	DCR|3VULN|1AART|1DMG|2ZMB	1BEXP|2AART|38ZMB|467VULN|5DMG|9RCR|aLWND
90	43236 25121	   	173.31	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	1DMG|26VULN|3MLV|49DUR|58AART|7ZMB|aRCR
91	43511 23332	   	173.24	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1aDMG|27VULN|3ZMB|4BASICY|5ASPD|6CDMG|8RCR|9DUR
92	46111 23332	   	173.24	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR|1ASPD	1aDMG|2ZMB|37VULN|4BASICY|5ASPD|6CDMG|8RCR|9DUR
93	33536 26121	   	173.21	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	1ERES|26VULN|3ZMB|49DUR|58AART|7DMG|aRCR
94	36136 26121	   	173.21	DCR|2AART|2VULN|1DMG|2DUR|1ZMB	1ERES|2ZMB|36VULN|49DUR|58AART|7DMG|aRCR
95	44213 31111	   	173.08	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD|1SELL	179DMG|2ERES|3AART|4ZMB|5ASPD|6SELL|8VULN|aRCR
96	16211 34111	 * 	173.07	DCR|2AART|2VULN|1DMG|2ZMB|1DUR	1CGEN|24ZMB|38AART|5DUR|6DMG|79VULN|aRCR
97	36211 34111	   	172.97	DCR|2AART|2VULN|1DMG|2ZMB|1DUR	1ERES|24ZMB|38AART|5DUR|6DMG|79VULN|aRCR
98	45232 41311	   	172.97	DCR|3VULN|2DMG|1AART	16DMG|2TLV|3AART|4ERES|569VULN|6BPWR|7LHND|8DMSP|aRCR
99	43511 23326	 * 	172.91	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	1aDMG|27VULN|3ZMB|4BASICY|59ASPD|6CDMG|8RCR
100	46111 23326	   	172.91	DCR|2VULN|2DMG|2ASPD|1CDMG|1ZMB	1aDMG|2ZMB|37VULN|4BASICY|59ASPD|6CDMG|8RCR
101	26134 35113	   	172.85	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1BEXP|28AART|3MBVNT|45VULN|6DMG|7RCR|9DUR|aASPD
102	26134 35154	   	172.85	DCR|2AART|2VULN|1DMG|1ASPD|1DUR	1BEXP|28AART|3MBVNT|45VULN|6DMG|7RCR|9ASPD|aDUR
103	26134 35173	 * 	172.62	DCR|2AART|2VULN|1DMG|1CDMG	1BEXP|28AART|3MBVNT|45VULN|6DMG|7RCR|9RMIN|aCDMG
104	33345 22335	   	172.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ERES|267VULN|3MBVNT|4AART|5DMG|8ZMB|9ASPD|aRCR
105	43321 66111	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|26VULN|3RPLT|4ZMB|5CDMG|7DUR|8RCR|9AART|aMLV
106	43321 66112	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|26VULN|3RPLT|4ZMB|5CDMG|7DUR|8RCR|9AART|aLWND
107	43321 13113	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|27VULN|3RPLT|4ZMB|5CDMG|6FEWX|8RCR|9AART|aASPD
108	43321 64113	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|26VULN|3RPLT|4ZMB|5CDMG|7FEWX|8RCR|9AART|aASPD
109	43325 16113	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|26VULN|3RPLT|4ZMB|5FEWX|7CDMG|8RCR|9AART|aASPD
110	43551 13113	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|27VULN|3ZMB|4RPLT|5CDMG|6FEWX|8RCR|9AART|aASPD
111	46151 13113	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2ZMB|37VULN|4RPLT|5CDMG|6FEWX|8RCR|9AART|aASPD
112	43323 16111	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|26VULN|3RPLT|4ZMB|5DUR|7CDMG|8RCR|9AART|aMLV
113	43323 16112	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|26VULN|3RPLT|4ZMB|5DUR|7CDMG|8RCR|9AART|aLWND
114	43323 16116	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DMG|26VULN|3RPLT|4ZMB|5DUR|7CDMG|8RCR|9AART|aLHND
115	16114 23612	   	172.62	DCR|3VULN|2DMG|1CDMG|1ZMB	1CGEN|2ZMB|37aVULN|4CANSTR|58DMG|6CDMG|9RCR
116	43321 33113	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|27VULN|3RPLT|4ZMB|5CDMG|6DUST|8RCR|9AART|aASPD
117	43321 61113	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|26VULN|3RPLT|4ZMB|5CDMG|7DUST|8RCR|9AART|aASPD
118	43326 16113	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|26VULN|3RPLT|4ZMB|5DUST|7CDMG|8RCR|9AART|aASPD
119	43551 33113	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|27VULN|3ZMB|4RPLT|5CDMG|6DUST|8RCR|9AART|aASPD
120	46151 33113	   	172.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1DMG|2ZMB|37VULN|4RPLT|5CDMG|6DUST|8RCR|9AART|aASPD
121	13621 66132	   	172.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1CGEN|28VULN|3CDMG|4ZMB|5RCR|6ASPD|7LIT|9DMG|aAART
122	44212 12422	 * 	172.27	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2ERES|3AART|48ZMB|5CGEN|6DUST|78VULN|8BPWR|9BEXP|aRCR
123	45212 12422	   	172.27	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2TLV|3AART|48ZMB|5CGEN|6DUST|78VULN|8BPWR|9BEXP|aRCR
124	41125 33136	   	172.26	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMG|2FEWX|3DUST|489VULN|5ASPD|6DUR|7RCR|aAART
125	42325 33136	   	172.26	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMG|2DUST|3FEWX|489VULN|5ASPD|6DUR|7RCR|aAART
126	43115 33136	   	172.26	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DMG|289VULN|3DUST|4FEWX|5ASPD|6DUR|7RCR|aAART
127	43236 22611	   	172.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|267VULN|3MLV|4DUR|5AART|8RCVC|9ZMB|aRCR
128	43236 52311	   	172.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|279VULN|3MLV|4DUR|5AART|6DMSP|8ZMB|aRCR
129	43436 12311	   	172.22	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|279VULN|36CGEN|4DUR|5AART|8ZMB|aRCR
130	26134 35428	   	172.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2AART|3MBVNT|45VULN|6DMG|7RCR|8LHND|9ZMB|aCDMG
131	26134 45448	   	172.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2AART|3MBVNT|45VULN|6ZMB|7RCR|8LHND|9DMG|aCDMG
132	44211 12422	   	172.17	DCR|2VULN|2DMG|1AART|2ZMB	18DMG|2ERES|3AART|48ZMB|5TLV|6DUST|78VULN|8BPWR|9BEXP|aRCR
133	43322 13471	   	172.12	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DMG|269VULN|3RPLT|4ZMB|5AART|7MBVNT|8DUR|aRCR
134	26134 35443	   	172.05	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2AART|3MBVNT|45VULN|69DMG|7RCR|8LHND|aASPD
135	26134 35543	   	172.05	DCR|2VULN|2DMG|1AART|1ASPD	1BEXP|2AART|3MBVNT|45VULN|69DMG|7RCR|8FEWX|aASPD
136	36243 12623	   	172.00	ACR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB	18ERES|2ZMB|3AART|4RCR|5BELT|68FLTHEA|78DMG|8BPWR|9CDMG|aBEXP
137	36243 12631	   	172.00	ACR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB	18ERES|2ZMB|3AART|4RCR|5BELT|68FLTHEA|78DMG|8BPWR|9RPLT|aCDMG
138	46321 42614	   	171.83	DCR|2DMG|1AART|1VULN|2ZMB|2ASPD	18DMG|28ZMB|3DUST|4MBVNT|5LWND|68ASPD|7RCR|8BPWR|9AART|aVULN
139	36243 12621	   	171.75	ACR|2DMG|1AART|2FLTHEA|1CDMG|1ZMB|1SELL	18ERES|2ZMB|3AART|4RCR|5BELT|68FLTHEA|78DMG|8BPWR|9CDMG|aSELL
140	43321 33163	 * 	171.53	DCR|4VULN|1DMG|1CDMG|1ZMB	1DMG|279aVULN|3RPLT|4ZMB|5CDMG|6DUST|8RCR
141	43321 61163	   	171.53	DCR|4VULN|1DMG|1CDMG|1ZMB	1DMG|269aVULN|3RPLT|4ZMB|5CDMG|7DUST|8RCR
142	13347 42385	   	171.52	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1CGEN|257VULN|3MBVNT|4ASPD|6AART|8ZMB|9DMG|aRCR
143	33345 44814	   	171.35	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1ERES|27VULN|3MBVNT|4AART|5DMG|6ASPD|8RCR|9DUR|aCDMG
144	13345 17142	   	171.15	DCR|3VULN|2DMG|1CDMG|1ASPD	1aCGEN|26aVULN|3MBVNT|4ASPD|5RPLT|7CDMG|8RCR|9aDMG|aBPWR
145	13347 64142	   	171.15	DCR|3VULN|2DMG|1CDMG|1ASPD	1aCGEN|25aVULN|3MBVNT|4ASPD|6CDMG|7RPLT|8RCR|9aDMG|aBPWR
146	13384 24143	   	171.13	ACR|3VULN|2DMG|1ZMB|1ASPD	1CGEN|26aVULN|3MBVNT|4RCR|5ASPD|79DMG|8ZMB
147	13386 24143	   	171.13	ACR|3VULN|2DMG|1ZMB|1ASPD	1CGEN|26aVULN|3MBVNT|4RCR|59DMG|7ASPD|8ZMB
148	13386 44163	   	171.13	ACR|3VULN|2DMG|1ZMB|1ASPD	1CGEN|29aVULN|3MBVNT|4RCR|56DMG|7ASPD|8ZMB
149	13386 47333	   	171.13	ACR|3VULN|2DMG|1ZMB|1DUR	1CGEN|29aVULN|3MBVNT|4RCR|56DMG|7ZMB|8DUR
150	33386 44138	 * 	171.03	ACR|3DMG|2VULN|1ZMB|1ASPD	1ERES|2aVULN|3MBVNT|4RCR|569DMG|7ASPD|8ZMB
151	33383 24133	   	171.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1ERES|26aVULN|3MBVNT|4RCR|5ASPD|79DMG|8ZMB
152	33386 24133	   	171.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1ERES|26aVULN|3MBVNT|4RCR|59DMG|7ASPD|8ZMB
153	33386 44163	   	171.03	ACR|3VULN|2DMG|1ZMB|1ASPD	1ERES|29aVULN|3MBVNT|4RCR|56DMG|7ASPD|8ZMB
154	15232 32212	   	170.96	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|2MLV|3AART|47VULN|5ERES|69DMG|8CDMG|aRCR
155	41512 22433	   	170.91	DCR|3DMG|2VULN|1ZMB|1DUR	189DMG|29FEWX|3ZMB|4MLV|59VULN|6NUKE|7RCR|9BPWR|aDUR
156	44232 22212	   	170.86	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|25ERES|3AART|47VULN|6LHND|8CDMG|aRCR
157	44232 62212	   	170.86	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|25ERES|3AART|47VULN|6LWND|8CDMG|aRCR
158	45232 12212	   	170.86	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2TLV|3AART|4ERES|57VULN|6CGEN|8CDMG|aRCR
159	45232 32212	   	170.86	DCR|2VULN|2DMG|1AART|1CDMG	19DMG|2TLV|3AART|4ERES|57VULN|6MLV|8CDMG|aRCR
160	26324 25311	   	170.84	DCR|3VULN|1AART|1DMG|2ZMB	1BEXP|2AART|37ZMB|469VULN|5DMG|8ERES|aRCR
161	25532 62333	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	1BEXP|2aDMG|3ZMB|4CGEN|569VULN|7RCR|8DUR
162	41532 62333	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	1aDMG|2FEWX|3ZMB|4CGEN|569VULN|7RCR|8DUR
