0	Index      	 *	Score 	Summary	Detail	
1	22624 15333	 * 	209.38	ACR|3VULN|2AART|2DMG|1CDMG	19AART|278VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|aCDMG
19	22632 21235	 * 	193.20	ACR|3VULN|2AART|1DMG|2ZMB	19AART|27aVULN|3RCR|47MLV|5RPLT|67ZMB|7BPWR|8DMG
20	22134 42352	   	192.42	DCR|3VULN|3DMG|1AART	1AART|23aVULN|3aBPWR|4ERES|5BELT|67aDMG|8aLWND|9RCR
21	22313 42352	   	192.42	DCR|3VULN|3DMG|1AART	1AART|25aVULN|3ERES|4BELT|67aDMG|8aLWND|9RCR|aBPWR
22	22313 42652	   	192.42	DCR|3VULN|3DMG|1AART	1AART|25aVULN|3ERES|4BELT|67aDMG|8aLHND|9RCR|aBPWR
23	22413 42352	   	192.42	DCR|3VULN|3DMG|1AART	1AART|25aVULN|3TLV|4BELT|67aDMG|8aLWND|9RCR|aBPWR
24	22135 32411	 * 	192.35	DCR|3VULN|1AART|2CDMG|1DMG|1ZMB	1AART|236VULN|3BPWR|4ERES|5DMG|7ZMB|8RCR|9aCDMG
25	22624 16333	   	191.70	ACR|3VULN|2AART|1DMG|1CDMG	19AART|278VULN|3RCR|4RPLT|5DUST|6DMG|aCDMG
26	22651 33242	 * 	191.53	ACR|4VULN|1AART|3ZMB	1AART|2689VULN|3RCR|49aZMB|59MLV|7RCVC|9BPWR
27	22621 11325	   	191.23	ACR|3VULN|2DMG|1AART|1DUR	1AART|28aVULN|3RCR|49RPLT|5DUR|67DMG
28	22621 11352	   	191.23	ACR|3VULN|2DMG|1AART|1DUR	1AART|28aVULN|3RCR|4RPLT|5DUR|67DMG|9CGEN
29	22621 11365	   	191.23	ACR|3VULN|2DMG|1AART|1DUR	1AART|28aVULN|3RCR|4RPLT|5DUR|67DMG|9FEWX
30	22626 11315	   	191.23	ACR|3VULN|2DMG|1AART|1DUR	1AART|28aVULN|3RCR|4RPLT|5BEXP|67DMG|9DUR
31	22632 21233	   	191.20	ACR|2AART|2VULN|1DMG|2ZMB|1CDMG	19AART|27VULN|3RCR|47MLV|5RPLT|67ZMB|7BPWR|8DMG|aCDMG
32	22621 11344	   	191.13	ACR|3VULN|2DMG|1AART|1DUR	1AART|28aVULN|3RCR|4RPLT|5DUR|67DMG|9CANSTR
33	22624 11315	   	191.13	ACR|3VULN|2DMG|1AART|1DUR	1AART|28aVULN|3RCR|4RPLT|5DUST|67DMG|9DUR
34	22624 15312	   	191.13	ACR|3VULN|2DMG|1AART|1DUR	1AART|278VULN|3RCR|4RPLT|57aDUST|67DMG|7BPWR|9DUR
35	22624 15313	   	191.13	ACR|3VULN|2DMG|1AART|1DUR	1AART|278VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|9DUR|aERES
36	22313 46352	 * 	190.87	DCR|4VULN|2DMG|1AART	1AART|257aVULN|3ERES|4BELT|6aDMG|8aLWND|9RCR|aBPWR
37	22144 52334	   	190.68	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1AART|23aVULN|3BPWR|45CDMG|6MBVNT|7RCR|8DMG|9DUR
38	22126 52362	   	190.67	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|237VULN|3BPWR|4DUR|5LWND|6CDMG|8DMG|9RCR|aZMB
39	36531 53312	   	190.02	DCR|3DMG|2VULN|2AART	14VULN|256DMG|3LIT|7RCR|8RCVC|9aAART
40	22135 32452	   	189.87	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|4ERES|59DMG|7ZMB|8RCR|aDUST
41	22613 31226	   	189.22	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1AART|2aVULN|3RCR|4DUST|5LEGI|6aDMG|7DUR|8FLTHEA|9aFEWX|aBPWR
42	22613 31236	   	189.22	ACR|2VULN|2DMG|1AART|1FLTHEA|1DUR	1AART|2aVULN|3RCR|4DUST|5LEGI|6aDMG|7DUR|8FLTHEA|9aBEXP|aBPWR
43	22621 31461	   	189.22	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1AART|29VULN|3RCR|4RPLT|5DUR|69ASPD|79DMG|8MBVNT|9BPWR|aLWND
44	22621 31462	   	189.22	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1AART|29VULN|3RCR|4RPLT|5DUR|69ASPD|79DMG|8MBVNT|9BPWR|aBEXP
45	22621 31463	   	189.22	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1AART|29VULN|3RCR|4RPLT|5DUR|69ASPD|79DMG|8MBVNT|9BPWR|aLIT
46	22621 31464	   	189.22	ACR|2VULN|2DMG|1AART|2ASPD|1DUR	1AART|29VULN|3RCR|4RPLT|5DUR|69ASPD|79DMG|8MBVNT|9BPWR|aFEWX
47	22632 21215	   	188.69	ACR|3VULN|1AART|1DMG|2ZMB|1DUR	1AART|27aVULN|3RCR|47MLV|5RPLT|67ZMB|7BPWR|8DMG|9DUR
48	22231 22643	   	188.57	DCR|4VULN|2DMG|1AART	1AART|2679VULN|3LWND|459MLV|89DMG|9BPWR|aRCR
49	22122 24167	 * 	188.41	5VULN|2DMG|1AART|3ZMB|2DUR	1AART|2367aVULN|37aBPWR|47DUR|57aZMB|8MBVNT|9aDMG
50	22134 33352	 * 	188.21	DCR|3VULN|2AART|2DMG	16AART|23aVULN|3aBPWR|4ERES|5BELT|7aDMG|8aLWND|9RCR
51	22134 33652	   	188.21	DCR|3VULN|2AART|2DMG	16AART|23aVULN|3aBPWR|4ERES|5BELT|7aDMG|8aLHND|9RCR
52	22313 33352	   	188.21	DCR|3VULN|2AART|2DMG	16AART|25aVULN|3ERES|4BELT|7aDMG|8aLWND|9RCR|aBPWR
53	22313 33652	   	188.21	DCR|3VULN|2AART|2DMG	16AART|25aVULN|3ERES|4BELT|7aDMG|8aLHND|9RCR|aBPWR
54	22315 42352	   	188.21	DCR|3DMG|2AART|2VULN	15AART|2aVULN|3ERES|4BELT|67aDMG|8aLWND|9RCR|aBPWR
55	22625 12325	   	186.89	ACR|3VULN|2DMG|1AART	1AART|27aVULN|3RCR|49RPLT|5DMSP|6RCVC|8aDMG|aBPWR
56	22141 32365	   	186.83	DCR|4VULN|1AART|1DMG|1CDMG	1AART|237aVULN|3BPWR|4CDMG|5LWND|6BEXP|8DMG|9RCR
57	22143 32365	   	186.73	DCR|4VULN|1AART|1DMG|1CDMG	1AART|237aVULN|3BPWR|4CDMG|5DUST|6FEWX|8DMG|9RCR
58	22135 32435	   	186.48	DCR|4VULN|1AART|1DMG|1ZMB	1AART|236aVULN|3BPWR|4ERES|5DMG|7ZMB|8RCR|9CGEN
59	22135 32441	   	186.48	DCR|4VULN|1AART|1DMG|1ZMB	1AART|236aVULN|3BPWR|4ERES|5DMG|7ZMB|8RCR|9LIT
60	22621 31155	   	186.07	ACR|3VULN|1AART|1DMG|2DUR|1ASPD	1AART|29aVULN|3RCR|4RPLT|59DUR|6ASPD|7DMG|89FEWX|9BPWR
61	22253 21244	 * 	186.05	DCR|2VULN|1AART|3ZMB|2FLTHEA|1DUR	1AART|2aVULN|3LWND|49aZMB|5FEWX|6RCR|7DUR|8aFLTHEA|aBPWR
62	22126 52363	   	185.98	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1AART|237VULN|3BPWR|4DUR|5LWND|6aCDMG|8DMG|9RCR
63	22135 32412	   	185.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|3BPWR|4aERES|5DMG|7ZMB|8RCR|9CDMG
64	22135 32413	   	185.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|3BPWR|4ERES|5DMG|7ZMB|8RCR|9CDMG|aSNIHEL
65	22135 32415	   	185.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|3BPWR|4ERES|5DMG|7ZMB|8RCR|9CDMG|aTLV
66	22135 32416	   	185.93	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|236VULN|3BPWR|4ERES|5DMG|7ZMB|8RCR|9CDMG|aDUST
67	22621 31533	   	185.38	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1AART|2aVULN|3RCR|4RPLT|5DUR|6aASPD|7DMG|8CDMG|9aLWND|aBPWR
68	22624 35333	   	185.28	ACR|3VULN|2AART|2ASPD|1CDMG	19AART|278VULN|3RCR|4RPLT|57DUST|67ASPD|7BPWR|aCDMG
69	22621 31543	   	185.18	ACR|2VULN|1AART|1DMG|2ASPD|1CDMG|1DUR	1AART|2aVULN|3RCR|4RPLT|5DUR|6aASPD|7DMG|8CDMG|9aDUST|aBPWR
70	22135 32163	   	185.07	DCR|3VULN|2DMG|1AART|1ZMB	1AART|236VULN|3BPWR|4ERES|59DMG|7ZMB|8MBVNT|aRCR
71	22144 31334	 * 	184.98	DCR|3VULN|1AART|3CDMG|1DMG	1AART|237VULN|3BPWR|45aCDMG|6DMG|8LSRHEA|9RCR
72	22146 32363	   	184.96	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1AART|237VULN|3BPWR|4CDMG|5aDUR|6BEXP|8DMG|9RCR
73	22661 63132	   	184.89	ACR|3VULN|2AART|1DMG|1DUR	17AART|26aVULN|3RCR|4SNIHEL|5BASICY|8DMG|9DUR
74	22625 12351	   	184.79	ACR|2VULN|2DMG|1AART|1CDMG	1AART|27VULN|3RCR|4RPLT|5DMSP|6RCVC|89DMG|aCDMG
75	22621 11313	 * 	184.68	ACR|2VULN|2DMG|1AART|3DUR	1AART|28VULN|3RCR|4RPLT|59aDUR|67DMG
76	22614 33611	   	184.39	ACR|3VULN|2DMG|1AART	1AART|289VULN|3RCR|4DUST|58FEWX|68DMG|7BELT|8BPWR|aLIT
77	22614 33612	   	184.39	ACR|3VULN|2DMG|1AART	1AART|289VULN|3RCR|4DUST|58FEWX|68DMG|7BELT|8BPWR|aLHND
78	22614 33613	   	184.39	ACR|3VULN|2DMG|1AART	1AART|289VULN|3RCR|4DUST|58FEWX|68DMG|7BELT|8BPWR|aRMIN
79	22626 11325	   	184.29	ACR|3VULN|2DMG|1AART	1AART|28aVULN|3RCR|4RPLT|5BEXP|67DMG|9FEWX
80	22626 11352	   	184.29	ACR|3VULN|2DMG|1AART	1AART|28aVULN|3RCR|4RPLT|5BEXP|67DMG|9CGEN
81	22631 22626	   	184.29	ACR|3VULN|2DMG|1AART	1AART|267VULN|3RCR|45MLV|8aDMG|9LHND
82	22642 33611	   	184.29	ACR|3VULN|2DMG|1AART	1AART|289VULN|3RCR|4FEWX|58DUST|68DMG|7BELT|8BPWR|aLIT
83	22642 33612	   	184.29	ACR|3VULN|2DMG|1AART	1AART|289VULN|3RCR|4FEWX|58DUST|68DMG|7BELT|8BPWR|aLHND
84	22642 33613	   	184.29	ACR|3VULN|2DMG|1AART	1AART|289VULN|3RCR|4FEWX|58DUST|68DMG|7BELT|8BPWR|aRMIN
85	22613 36531	 * 	184.19	ACR|3DMG|2VULN|1AART	1AART|29VULN|3RCR|49DUST|5LEGI|689DMG|7RMIN|9BPWR|aBEXP
86	22613 36532	   	184.19	ACR|3DMG|2VULN|1AART	1AART|29VULN|3RCR|49DUST|5LEGI|689DMG|7RMIN|9BPWR|aRPLT
87	22624 11325	   	184.19	ACR|3VULN|2DMG|1AART	1AART|28aVULN|3RCR|4RPLT|5DUST|67DMG|9FEWX
88	22624 11352	   	184.19	ACR|3VULN|2DMG|1AART	1AART|28aVULN|3RCR|4RPLT|5DUST|67DMG|9CGEN
89	22624 15322	   	184.19	ACR|3VULN|2DMG|1AART	1AART|278VULN|3RCR|4RPLT|57aDUST|67DMG|7BPWR|9FEWX
90	22624 15323	   	184.19	ACR|3VULN|2DMG|1AART	1AART|278VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|9FEWX|aERES
91	22613 36533	   	184.09	ACR|3DMG|2VULN|1AART	1AART|29VULN|3RCR|49DUST|5LEGI|689DMG|7RMIN|9BPWR|aERES
92	22135 32432	   	183.83	DCR|3VULN|2AART|1DMG|1ZMB	1aAART|236VULN|3BPWR|4ERES|5DMG|7ZMB|8RCR|9CGEN
93	22144 52324	   	183.74	DCR|3VULN|1AART|1DMG|2CDMG	1AART|23aVULN|3BPWR|45CDMG|6MBVNT|7RCR|8DMG|9RPLT
94	22116 53362	   	183.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|237VULN|3BPWR|4LHND|5LWND|6CDMG|8DMG|9RCR|aZMB
95	22141 63362	   	183.73	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|237VULN|3BPWR|4CDMG|5LWND|6LHND|8DMG|9RCR|aZMB
96	22135 22265	   	183.63	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|23aVULN|3BPWR|4ERES|5DMG|6CDMG|7ZMB|8LHND|9RCR
97	22323 52365	   	183.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|27aVULN|3ERES|4ZMB|5DUST|6CDMG|8DMG|9RCR
98	22333 52365	   	183.53	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1AART|27aVULN|3ERES|4DUST|5ZMB|6CDMG|8DMG|9RCR
99	22621 13423	 * 	183.44	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2aVULN|3RCR|4RPLT|5aDUR|6DMG|7LHND|8aCDMG|9RMIN|aBPWR
100	22621 14423	   	183.34	ACR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|2aVULN|3RCR|4RPLT|5aDUR|6DMG|7DUST|8aCDMG|9RMIN|aBPWR
101	22621 31255	   	182.54	ACR|2VULN|1AART|1DMG|2ASPD|1ZMB|1DUR	1AART|2aVULN|3RCR|4RPLT|5DUR|69ASPD|7DMG|8ZMB
102	22652 52323	   	182.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|27VULN|3RCR|4ZMB|5ERES|6CDMG|8DMG|9RPLT|aDUR
103	22652 52331	   	182.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|27VULN|3RCR|4ZMB|5ERES|6CDMG|8DMG|9DUR|aBELT
104	22621 11155	   	182.51	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1AART|2aVULN|3RCR|4RPLT|5DUR|67DMG|8BEXP|9ASPD
105	22652 52332	   	182.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|27VULN|3RCR|4ZMB|5aERES|6CDMG|8DMG|9DUR
106	22652 52333	   	182.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|27VULN|3RCR|4ZMB|5ERES|6CDMG|8DMG|9DUR|aSNIHEL
107	22613 32254	 * 	182.36	ACR|2AART|2VULN|1DMG|2FLTHEA	19AART|2aVULN|3RCR|4aDUST|5LEGI|6DMG|7LHND|8aFLTHEA|aBPWR
108	22623 11353	   	182.28	ACR|2VULN|2DMG|1AART|1CDMG	1AART|2aVULN|3RCR|4RPLT|5LHND|67DMG|8LIT|9CDMG
109	22623 31461	   	182.28	ACR|2VULN|2DMG|1AART|2ASPD	1AART|29VULN|3RCR|4RPLT|5LHND|69ASPD|79DMG|8MBVNT|9BPWR|aLWND
110	22623 31462	   	182.28	ACR|2VULN|2DMG|1AART|2ASPD	1AART|29VULN|3RCR|4RPLT|5LHND|69ASPD|79DMG|8MBVNT|9BPWR|aBEXP
111	22623 31463	   	182.28	ACR|2VULN|2DMG|1AART|2ASPD	1AART|29VULN|3RCR|4RPLT|5LHND|69ASPD|79DMG|8MBVNT|9BPWR|aLIT
112	22623 31464	   	182.28	ACR|2VULN|2DMG|1AART|2ASPD	1AART|29VULN|3RCR|4RPLT|5LHND|69ASPD|79DMG|8MBVNT|9BPWR|aFEWX
113	22662 61321	 * 	182.26	ACR|2AART|2VULN|1DMG|2CDMG	1aAART|25VULN|3RCR|45SNIHEL|5BPWR|68CDMG|7DMG|9MBVNT
114	22663 61321	   	182.26	ACR|2AART|2VULN|1DMG|2CDMG	1aAART|25VULN|3RCR|4SNIHEL|68CDMG|7DMG|9MBVNT
115	22624 11363	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|28VULN|3RCR|4RPLT|5DUST|67DMG|9BELT|aCDMG
116	22624 15132	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|27VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|8FEWX|9VENICY|aCDMG
117	22662 61233	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|25VULN|3RCR|45SNIHEL|5BPWR|6CDMG|7aDMG|8LIT|9RPLT
118	22663 61233	   	182.18	ACR|2VULN|2DMG|1AART|1CDMG	1AART|25VULN|3RCR|4SNIHEL|6CDMG|7aDMG|8LIT|9RPLT
119	22625 12352	   	182.14	ACR|2VULN|2DMG|1AART|1ZMB	1AART|27VULN|3RCR|4RPLT|5DMSP|6RCVC|89DMG|aZMB
120	32532 52234	 * 	181.94	DCR|2VULN|1AART|2CDMG|1DMG|2ZMB	1aVULN|2RPLT|3SNIHEL|4aZMB|5DMG|6RCR|7AART|8LWND|9aCDMG|aBPWR
121	22632 21225	   	181.75	ACR|3VULN|1AART|1DMG|2ZMB	1AART|27aVULN|3RCR|47MLV|5RPLT|67ZMB|7BPWR|8DMG|9FEWX
122	22632 21244	   	181.75	ACR|3VULN|1AART|1DMG|2ZMB	1AART|27aVULN|3RCR|47MLV|5RPLT|67ZMB|7BPWR|8DMG|9MGNSTR
123	22632 21252	   	181.75	ACR|3VULN|1AART|1DMG|2ZMB	1AART|27aVULN|3RCR|47MLV|5RPLT|67ZMB|7BPWR|8DMG|9CGEN
124	22313 43356	   	181.50	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1AART|25VULN|3ERES|4BELT|68DMG|7DUR|9RCR|aCDMG
125	22653 12621	   	181.42	ACR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	1AART|28VULN|3RCR|4ZMB|5BELT|68FEWX|78DUR|8BPWR|9DMG|aASPD
126	22624 15231	   	181.38	ACR|2AART|2VULN|2DMG	19AART|27VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|8DMSP|aRCVC
127	22626 11331	   	181.38	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5BEXP|67DMG|aRCVC
128	22624 11331	   	181.28	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aRCVC
129	22621 16315	   	181.14	ACR|3VULN|1AART|1DMG|2DUR	1AART|28aVULN|3RCR|4RPLT|59DUR|6DMG|7RCVC
130	22643 32343	   	180.97	ACR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|3RCR|4FEWX|5LEGI|6aDMG|7LHND|8BEXP|9aDUR|aBPWR
131	22613 33343	   	180.87	ACR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|3RCR|4DUST|5LEGI|6aDMG|7FEWX|8BEXP|9aDUR|aBPWR
132	22621 11215	   	180.87	ACR|2VULN|2DMG|1AART|2DUR	1AART|2aVULN|3RCR|4RPLT|59DUR|67DMG|8DMSP
133	22621 11311	   	180.87	ACR|2VULN|2DMG|1AART|2DUR	1AART|28VULN|3RCR|4RPLT|59DUR|67DMG|aBELT
134	22621 11314	   	180.87	ACR|2VULN|2DMG|1AART|2DUR	1AART|28VULN|3RCR|4RPLT|59DUR|67DMG|aLIT
135	22621 11323	   	180.87	ACR|2VULN|2DMG|1AART|2DUR	1AART|28VULN|3RCR|49RPLT|5aDUR|67DMG
136	22631 22636	   	180.80	ACR|4VULN|1AART|1DMG	1AART|267aVULN|3RCR|45MLV|8DMG|9CGEN
137	22621 11312	   	180.77	ACR|2VULN|2DMG|1AART|2DUR	1AART|28VULN|3RCR|4RPLT|59DUR|67DMG|aERES
138	22621 11316	   	180.77	ACR|2VULN|2DMG|1AART|2DUR	1AART|28VULN|3RCR|4RPLT|59DUR|67DMG|aTLV
139	22621 11341	   	180.77	ACR|2VULN|2DMG|1AART|2DUR	1AART|28VULN|3RCR|4RPLT|5aDUR|67DMG|9CANSTR
140	32142 52334	   	180.54	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aVULN|2RPLT|3aASPD|4AIRHEA|5DMG|6RCR|7AART|8LEGI|9aCDMG|aBPWR
141	24612 22351	   	180.53	ACR|2AART|2VULN|1FLTHEA|1CDMG|1ZMB	1aAART|24DUST|3RCR|5ZMB|67VULN|8FLTHEA|9CDMG
142	22621 61235	   	180.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	19AART|2aVULN|3RCR|4RPLT|5DUR|6CGEN|7DMG|8ZMB
143	22623 31245	   	180.43	ACR|2AART|2VULN|1DMG|1ZMB|1ASPD	19AART|2aVULN|3RCR|4RPLT|5LHND|6ASPD|7DMG|8ZMB
144	22133 13332	 * 	180.42	DCR|4VULN|1AART|2CDMG|1ASPD	1AART|2368VULN|368BPWR|468ERES|5RCVC|78CDMG|9ASPD|aRCR
145	22622 11231	 * 	180.41	ACR|3AART|2DMG|1VULN|1CDMG	189AART|2VULN|3RCR|4RPLT|5LWND|67DMG|aCDMG
146	22623 11231	   	180.41	ACR|3AART|2DMG|1VULN|1CDMG	189AART|2VULN|3RCR|4RPLT|5LHND|67DMG|aCDMG
147	22622 11356	   	180.35	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2VULN|3RCR|4RPLT|5LWND|67aDMG|8LIT|9CDMG
148	22623 11356	   	180.35	ACR|3DMG|1AART|1VULN|1CDMG	1AART|2VULN|3RCR|4RPLT|5LHND|67aDMG|8LIT|9CDMG
149	22144 52333	   	180.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	1AART|23VULN|3BPWR|45CDMG|6MBVNT|7RCR|8DMG|9aDUR
150	23613 53232	 * 	180.31	ACR|3AART|2VULN|1DMG|1CDMG	159AART|2LWND|3RCR|4DUST|6CDMG|7aVULN|8DMG
151	24623 52232	   	180.31	ACR|3AART|2VULN|1DMG|1CDMG	159AART|2DUST|3RCR|4LHND|6CDMG|7aVULN|8DMG
152	26613 52232	   	180.31	ACR|3AART|2VULN|1DMG|1CDMG	159AART|2LHND|3RCR|4DUST|6CDMG|7aVULN|8DMG
153	31234 11323	   	180.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2BEXP|3aLHND|4RCR|5ZMB|6DUR|7aDMG|8AART|9RMIN|aBPWR
154	31534 11323	   	180.17	ACR|2VULN|2DMG|1AART|1ZMB|1DUR	1aVULN|2BEXP|3aLWND|4RCR|5ZMB|6DUR|7aDMG|8AART|9RMIN|aBPWR
155	23334 42152	   	180.17	DCR|3DMG|2VULN|1AART	1AART|2aLWND|3RCVC|4ERES|5BELT|67aDMG|8aVULN|9RCR|aBPWR
156	22622 11145	   	180.08	ACR|2AART|2VULN|2DMG	19AART|2aVULN|3RCR|4RPLT|5LWND|67DMG|8BEXP
157	22622 11225	   	180.08	ACR|2AART|2VULN|2DMG	18AART|2aVULN|3RCR|4RPLT|5LWND|67DMG|9FEWX
158	22622 11252	   	180.08	ACR|2AART|2DMG|2VULN	18AART|2aVULN|3RCR|4RPLT|5LWND|67DMG|9CGEN
159	22623 11145	   	180.08	ACR|2AART|2VULN|2DMG	19AART|2aVULN|3RCR|4RPLT|5LHND|67DMG|8BEXP
160	22623 11225	   	180.08	ACR|2AART|2VULN|2DMG	18AART|2aVULN|3RCR|4RPLT|5LHND|67DMG|9FEWX
161	22623 11252	   	180.08	ACR|2AART|2DMG|2VULN	18AART|2aVULN|3RCR|4RPLT|5LHND|67DMG|9CGEN
162	22623 11435	   	180.08	ACR|2AART|2VULN|2DMG	19AART|2aVULN|3RCR|4RPLT|58LHND|67DMG
163	22624 15232	   	180.08	ACR|2AART|2VULN|2DMG	19AART|27VULN|3RCR|4RPLT|57DUST|67DMG|7BPWR|8DMSP|aFEWX
164	22626 11235	   	180.08	ACR|2AART|2VULN|2DMG	19AART|2aVULN|3RCR|4RPLT|5BEXP|67DMG|8DMSP
165	22626 11332	   	180.08	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5BEXP|67DMG|aFEWX
166	22626 11334	   	180.08	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5BEXP|67DMG|aLIT
167	22622 11244	   	179.98	ACR|2AART|2VULN|2DMG	18AART|2aVULN|3RCR|4RPLT|5LWND|67DMG|9CANSTR
168	22623 11244	   	179.98	ACR|2AART|2VULN|2DMG	18AART|2aVULN|3RCR|4RPLT|5LHND|67DMG|9CANSTR
169	22624 11235	   	179.98	ACR|2AART|2VULN|2DMG	19AART|2aVULN|3RCR|4RPLT|5DUST|67DMG|8DMSP
170	22624 11332	   	179.98	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aFEWX
171	22624 11334	   	179.98	ACR|2AART|2VULN|2DMG	19AART|28VULN|3RCR|4RPLT|5DUST|67DMG|aLIT
