0	Index      	 *	Score 	Summary	Detail	
1	52216 33262	 * 	211.25	DCR|3VULN|3DMG|1AART|2DUR	149DMG|2AART|34DUR|4BPWR|57aVULN|6RCR|8BEXP
72	52216 33213	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9ZMB|aBELT
73	52216 33216	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9ZMB|aFEWX
74	52216 33233	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9LIT|aZMB
75	52216 33322	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|9ZMB|aCGEN
76	52216 33411	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LHND|9ZMB|aCGEN
77	52216 33412	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LHND|9ZMB|aMLV
78	52216 33413	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LHND|9ZMB|aFEWX
79	52216 33433	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LHND|9LIT|aZMB
80	52216 33511	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LWND|9ZMB|aCGEN
81	52216 33512	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LWND|9ZMB|aMLV
82	52216 33513	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LWND|9ZMB|aFEWX
83	52216 33533	   	190.95	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8LWND|9LIT|aZMB
84	52213 31362	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5LHND|6RCR|7DUST|8aVULN|9ZMB
85	52213 31422	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5LHND|6RCR|7DUST|8ZMB|9aVULN
86	52213 33452	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5LHND|6RCR|7aVULN|8ZMB|9DUST
87	52216 31412	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5aVULN|6RCR|7DUST|8ZMB|9LHND
88	52216 31421	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|59VULN|6RCR|7DUST|8ZMB|aCGEN
89	52216 31422	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|59VULN|6RCR|7DUST|8ZMB|aMLV
90	52216 31423	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|59VULN|6RCR|7DUST|8ZMB|aBELT
91	52216 33215	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8BEXP|9ZMB|aLEGI
92	52216 33323	   	190.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8DMSP|9ZMB|aTLV
93	52235 22432	   	190.70	DCR|3DMG|2VULN|1AART|2DUR	145DMG|2AART|36DUR|7FEWX|8RCR|9aVULN
94	52235 21432	   	190.60	DCR|3DMG|2VULN|1AART|2DUR	145DMG|2AART|36DUR|7DUST|8RCR|9aVULN
95	52214 13326	 * 	190.57	DCR|3DMG|1AART|1VULN|2ZMB|2DUR	14aDMG|2AART|34DUR|4aBPWR|5aZMB|6VULN|7RCR|8AIRHEL|9aFEWX
96	52214 13161	   	190.33	DCR|3DMG|1AART|1VULN|3DUR|1ZMB	149DMG|2AART|34aDUR|4BPWR|5ZMB|6VULN|7RCR|8TLV
97	52236 33231	   	190.21	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3DUR|57aVULN|6RCR|8BEXP|9LIT
98	52236 33363	   	190.21	DCR|3DMG|2VULN|1AART|1DUR	149DMG|2AART|3DUR|57VULN|6RCR|8DMSP|aLIT
99	52236 33431	   	190.21	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3DUR|57aVULN|6RCR|8LHND|9LIT
100	52236 33531	   	190.21	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3DUR|57aVULN|6RCR|8LWND|9LIT
101	56316 11231	   	190.12	DCR|3VULN|2DMG|1AART|1CDMG	14DMG|25DUST|3CDMG|68aVULN|7RCR|9AART
102	52236 33263	   	190.11	DCR|3DMG|2VULN|1AART|1DUR	149DMG|2AART|3DUR|57VULN|6RCR|8BEXP|aERES
103	52236 33315	   	190.11	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3DUR|57aVULN|6RCR|8DMSP|9TLV
104	52236 33335	   	190.11	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3DUR|57aVULN|6RCR|8DMSP|9ERES
105	52236 33362	   	190.11	DCR|3DMG|2VULN|1AART|1DUR	149DMG|2AART|3DUR|57VULN|6RCR|8DMSP|aBASHEA
106	52612 31336	   	190.01	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3LEGI|4BPWR|5DUR|6RCR|7DUST|89aVULN
107	52632 31336	   	190.01	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3LEGI|5DUR|6RCR|7DUST|89aVULN
108	52616 33322	   	189.96	DCR|2AART|2DMG|2VULN|1ZMB	14DMG|28AART|3LEGI|4BPWR|57VULN|6RCR|9ZMB|aCGEN
109	52636 33322	   	189.96	DCR|2AART|2VULN|2DMG|1ZMB	14DMG|28AART|3LEGI|57VULN|6RCR|9ZMB|aCGEN
110	52616 33323	   	189.86	DCR|2AART|2VULN|2DMG|1ZMB	14DMG|28AART|3LEGI|4BPWR|57VULN|6RCR|9ZMB|aTLV
111	52636 33323	   	189.86	DCR|2AART|2VULN|2DMG|1ZMB	14DMG|28AART|3LEGI|57VULN|6RCR|9ZMB|aTLV
112	52214 13431	   	189.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9BELT|aRCVC
113	52214 13412	   	189.75	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9ERES|aRCVC
114	52333 63223	 * 	189.69	ACR|3DMG|3ZMB|1AART|1VULN	168DMG|2AART|3RPLT|48aZMB|5RCR|78BASHEA|8BPWR|9VULN
115	22121 32146	   	189.53	ACR|3VULN|2DMG|1AART|1ASPD	135LIT|2RCR|49DMG|679VULN|8AART|9BPWR|aASPD
116	52231 13331	   	189.16	DCR|3DMG|1AART|1VULN|1CDMG|2DUR	149DMG|2AART|39DUR|5MLV|6VULN|7RCR|89LSRREG|9BPWR|aCDMG
117	52213 33436	   	189.02	DCR|3DMG|1AART|1VULN|2DUR|1ZMB	14aDMG|2AART|34DUR|4BPWR|5LHND|6RCR|7VULN|8ZMB|9BELT
118	52214 13221	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|69VULN|7RCR|8BEXP|aCGEN
119	52214 13222	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|69VULN|7RCR|8BEXP|aMLV
120	52214 13223	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|69VULN|7RCR|8BEXP|aBELT
121	52214 13226	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|69VULN|7RCR|8BEXP|aFEWX
122	52214 13421	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9LHND|aCGEN
123	52214 13422	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9LHND|aMLV
124	52214 13423	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9LHND|aFEWX
125	52214 13432	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9BELT|aBEXP
126	52214 13433	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9BELT|aLWND
127	52214 23121	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6FEWX|7RCR|89VULN|aCGEN
128	52214 23122	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6FEWX|7RCR|89VULN|aMLV
129	52214 23123	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6FEWX|7RCR|89VULN|aBELT
130	52214 23126	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6FEWX|7RCR|89VULN|aBEXP
131	52214 43121	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6BEXP|7RCR|89VULN|aCGEN
132	52214 43122	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6BEXP|7RCR|89VULN|aMLV
133	52214 43123	   	188.55	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6BEXP|7RCR|89VULN|aBELT
134	54213 32432	   	188.50	DCR|3DMG|2VULN|1AART|2DUR	127DMG|27BPWR|37DUR|47BEXP|5DMSP|6AART|8RCR|9aVULN
135	52215 32431	 * 	188.48	DCR|3DMG|2AART|1VULN|3DUR	145DMG|26AART|34aDUR|4BPWR|7FEWX|8RCR|9VULN
136	52214 13225	   	188.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|69VULN|7RCR|8BEXP|aLEGI
137	52214 13252	   	188.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6aVULN|7RCR|8BEXP|9DUST
138	52214 13312	   	188.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6aVULN|7RCR|8AIRHEL|9LIT
139	52214 23125	   	188.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6FEWX|7RCR|89VULN|aLEGI
140	52214 23152	   	188.45	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6FEWX|7RCR|8aVULN|9DUST
141	52252 51213	   	188.41	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DMG|2AART|3DUR|4CDMG|56aVULN|7ASPD|8RCR|9LIT
142	52215 31431	   	188.38	DCR|3DMG|2AART|1VULN|3DUR	145DMG|26AART|34aDUR|4BPWR|7DUST|8RCR|9VULN
143	52214 13333	   	188.35	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|6aVULN|7RCR|8AIRHEL|9LSRREG
144	52214 13411	   	188.35	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9ERES|aMBVNT
145	52214 13413	   	188.35	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5ZMB|68VULN|7RCR|9ERES|aDUST
146	54233 31336	   	188.31	DCR|3VULN|2DMG|1AART|1DUR	12DMG|2BPWR|3DUR|4LWND|5AART|6RCR|7DUST|89aVULN
147	52236 33253	   	188.20	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8BEXP|9CDMG|aLIT
148	52216 33131	   	188.19	DCR|2VULN|2DMG|1AART|2DUR|1ASPD	14DMG|2AART|34DUR|4BPWR|57VULN|6RCR|8ASPD|9BELT|aRCVC
149	52236 33252	   	188.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8BEXP|9CDMG|aDUST
150	52236 33316	   	188.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8DMSP|9TLV|aCDMG
151	52236 33336	   	188.10	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8DMSP|9ERES|aCDMG
152	52236 33115	   	188.00	DCR|2VULN|2DMG|1AART|2ASPD|1DUR	14DMG|2AART|3DUR|57VULN|6RCR|8aASPD|9ERES
153	51323 33423	 * 	187.81	DCR|2VULN|2DMG|1AART|2ZMB|1DUR	1aDMG|2aCGEN|3RMIN|4DUR|5AART|6RCR|79VULN|8aZMB|aBPWR
154	52231 13435	   	187.81	DCR|3VULN|2DMG|1AART|1DUR	14DMG|2AART|3DUR|5MLV|68aVULN|7RCR|9BELT
155	52611 13335	   	187.71	DCR|3DMG|2VULN|1AART|1ASPD	149DMG|2AART|3LEGI|49BPWR|5MLV|69VULN|7RCR|89LSRREG|aASPD
156	52631 13335	   	187.71	DCR|3DMG|2VULN|1AART|1ASPD	149DMG|2AART|3LEGI|5MLV|69VULN|7RCR|89LSRREG|9BPWR|aASPD
157	52231 13165	   	187.71	DCR|3DMG|2VULN|1AART|1DUR	149DMG|2AART|3DUR|5MLV|6aVULN|7RCR|8TLV
158	54224 33231	   	187.60	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	12DMG|2BPWR|36DUR|4RCVC|5CDMG|7aVULN|8RCR|9AART
159	52325 12431	   	187.42	DCR|3DMG|2VULN|1AART|2ASPD	148DMG|2AART|3RPLT|5RMIN|68VULN|78ASPD|8BPWR|9LWND|aRCR
160	22523 33251	 * 	187.36	ACR|3DMG|2VULN|1AART	1LIT|2RCR|37RCVC|458DMG|6aVULN|9AART
161	22523 36351	   	187.06	ACR|3DMG|2VULN|1AART	1LIT|2RCR|38RCVC|457DMG|6aVULN|9AART
162	52216 32413	   	187.01	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5VULN|6RCR|7BEXP|8ZMB|9LHND|aCDMG
163	52213 32423	   	187.01	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5LHND|6RCR|7BEXP|8ZMB|9VULN|aCDMG
164	52213 33423	   	187.01	DCR|2DMG|1AART|1VULN|1CDMG|2DUR|1ZMB	14DMG|2AART|34DUR|4BPWR|5LHND|6RCR|7VULN|8ZMB|9LWND|aCDMG
165	52231 13332	   	186.96	DCR|3DMG|2AART|1VULN|2DUR	149DMG|2aAART|39DUR|5MLV|6VULN|7RCR|89LSRREG|9BPWR
