0	Index      	 *	Score 	Summary	Detail	
1	41344 13111	 * 	182.46	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	14DUR|2ERES|367VULN|5AART|8CDMG|9RCR|aDMG
67	31414 21313	 * 	167.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|2LHND|39VULN|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
68	33614 21313	   	167.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|29VULN|3LHND|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
69	36414 21313	   	167.38	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|2BEXP|39VULN|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
70	21411 25613	   	167.31	DCR|5VULN|1DMG	1FEWX|2ERES|3789aVULN|4DMG|5RCVC|6RCR
71	34414 21313	   	167.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1TLV|2DUST|39VULN|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
72	61314 21363	   	167.28	DCR|2VULN|1AART|1DMG|1FLTHEA|1ZMB	1DUST|2ERES|39VULN|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|aAART
73	61311 25613	   	167.21	DCR|5VULN|1DMG	1DUST|2ERES|3789aVULN|4DMG|5RCVC|6RCR
74	24431 41221	 * 	167.11	DCR|2VULN|2DMG|3DUR|1CDMG	19FEWX|2MLV|39VULN|468DUR|59DMG|7RCR|9BPWR|aCDMG
75	44213 41221	   	167.11	DCR|2VULN|2DMG|3DUR|1CDMG	168DUR|29MLV|3FEWX|49DMG|59VULN|7RCR|9BPWR|aCDMG
76	44221 41221	   	167.11	DCR|2VULN|2DMG|3DUR|1CDMG	168DUR|29MLV|3FEWX|49VULN|59DMG|7RCR|9BPWR|aCDMG
77	21441 41221	   	167.01	DCR|2VULN|2DMG|3DUR|1CDMG	19FEWX|2ERES|39VULN|468DUR|59DMG|7RCR|9BPWR|aCDMG
78	36431 41221	   	166.91	DCR|2VULN|2DMG|3DUR|1CDMG	19TLV|2BEXP|39VULN|468DUR|59DMG|7RCR|9BPWR|aCDMG
79	41213 41221	   	166.91	DCR|2VULN|2DMG|3DUR|1CDMG	168DUR|29ERES|3FEWX|49DMG|59VULN|7RCR|9BPWR|aCDMG
80	41221 41221	   	166.91	DCR|2VULN|2DMG|3DUR|1CDMG	168DUR|29ERES|3FEWX|49VULN|59DMG|7RCR|9BPWR|aCDMG
81	21413 61521	   	166.87	DCR|4VULN|2DMG	1FEWX|2ERES|358aVULN|49DMG|6LWND|7RCR
82	34431 41221	   	166.81	DCR|2VULN|2DMG|3DUR|1CDMG	19TLV|2DUST|39VULN|468DUR|59DMG|7RCR|9BPWR|aCDMG
83	61341 41221	   	166.81	DCR|2VULN|2DMG|3DUR|1CDMG	19DUST|2ERES|39VULN|468DUR|59DMG|7RCR|9BPWR|aCDMG
84	61313 61521	   	166.77	DCR|4VULN|2DMG	1DUST|2ERES|358aVULN|49DMG|6LWND|7RCR
85	33213 42414	   	166.60	DCR|4VULN|2DMG|1DUR	1TLV|2589VULN|3FEWX|46DMG|7DUR|aRCR
86	33213 61524	   	166.41	DCR|3VULN|2DMG|1CDMG	1TLV|258VULN|3FEWX|49DMG|6LWND|7RCR|aCDMG
87	15422 22324	   	166.37	DCR|3VULN|2DMG|1ZMB	17aLHND|2ZMB|34aVULN|5ERES|6RCR|8BEXP|9aDMG|aBPWR
88	25422 22124	   	166.37	DCR|3VULN|2DMG|1ZMB	18aFEWX|2ZMB|34aVULN|5ERES|6RCR|7LHND|9aDMG|aBPWR
89	33213 25623	   	166.17	DCR|3VULN|2DMG|1ZMB	1TLV|257VULN|3FEWX|49DMG|6RCR|8LHND|aZMB
90	33412 25223	   	166.07	DCR|3VULN|2DMG|1ZMB	1TLV|237VULN|49DMG|5DUST|6RCR|8FEWX|aZMB
91	34413 25223	   	166.07	DCR|3VULN|2DMG|1ZMB	1TLV|2DUST|357VULN|49DMG|6RCR|8FEWX|aZMB
92	36413 25323	   	166.07	DCR|3VULN|2DMG|1ZMB	1TLV|2BEXP|357VULN|49DMG|6RCR|8DUST|aZMB
93	21413 41222	   	166.02	DCR|3VULN|3DMG	1FEWX|2ERES|35aVULN|469DMG|7BEXP|8RCR
94	61313 41222	   	165.92	DCR|3VULN|3DMG	1DUST|2ERES|35aVULN|469DMG|7FEWX|8RCR
95	41211 55311	   	165.87	DCR|2DMG|1AART|1VULN|1ZMB|1DUR	1DUR|2ERES|3FEWX|4aDMG|5RCVC|6AART|7RCR|8VULN|9ZMB
96	33412 25412	   	165.71	DCR|5VULN|1DMG	1TLV|23789VULN|4DMG|5DUST|6RCR|aRCVC
97	61313 25612	   	165.71	DCR|5VULN|1DMG	1DUST|2ERES|35789VULN|4DMG|6RCR|aRCVC
98	34423 21324	   	165.67	DCR|3VULN|2DMG|1ZMB	1aTLV|2DUST|34aVULN|5BEXP|6ZMB|7RCR|8RCVC|9aDMG|aBPWR
99	42161 63131	   	165.46	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	12DUR|2BPWR|34VULN|5LIT|6BEXP|7AART|8RCR|9ZMB|aDMG
100	33213 25434	   	165.23	DCR|4VULN|1DMG|1CDMG	1TLV|2578VULN|3FEWX|4DMG|6RCR|9LEGI|aCDMG
101	21413 51221	   	165.00	DCR|3VULN|2DMG|2DUR	1FEWX|2ERES|35aVULN|49DMG|68DUR|7RCR
102	44412 21322	   	165.00	DCR|3VULN|2DMG|2DUR	19DUR|2MLV|39aVULN|49DMG|568DUST|7RCR|9BPWR
103	61313 51221	   	164.90	DCR|3VULN|2DMG|2DUR	1DUST|2ERES|35aVULN|49DMG|68DUR|7RCR
104	11313 24356	   	164.51	DCR|2VULN|2DMG|1AART	15LHND|2ERES|38VULN|4aDMG|6RCR|7AART|9BEXP
105	11313 24366	   	164.51	DCR|2VULN|2DMG|1AART	15LHND|2ERES|38VULN|4aDMG|6RCR|7AART|9LWND
106	21413 24613	   	164.51	DCR|5VULN|1DMG	1FEWX|2ERES|3589aVULN|4DMG|6RCR|7DMSP
107	21413 25611	   	164.51	DCR|5VULN|1DMG	1aFEWX|2ERES|35789VULN|4DMG|6RCR
108	21413 25612	   	164.51	DCR|5VULN|1DMG	1FEWX|2ERES|35789VULN|4DMG|6RCR|aLIT
109	21413 25613	   	164.51	DCR|5VULN|1DMG	1FEWX|2ERES|35789VULN|4DMG|6RCR|aLWND
110	21413 25623	   	164.51	DCR|5VULN|1DMG	19FEWX|2ERES|3578aVULN|4DMG|6RCR
111	33213 25411	   	164.51	DCR|5VULN|1DMG	1TLV|25789VULN|3aFEWX|4DMG|6RCR
112	33213 25412	   	164.51	DCR|5VULN|1DMG	1TLV|25789VULN|3FEWX|4DMG|6RCR|aLIT
113	33213 25413	   	164.51	DCR|5VULN|1DMG	1TLV|25789VULN|3FEWX|4DMG|6RCR|aLWND
114	33213 25414	   	164.51	DCR|5VULN|1DMG	1TLV|25789VULN|3FEWX|4DMG|6RCR|aCGEN
115	11313 24316	   	164.41	DCR|2VULN|2DMG|1AART	15LHND|2ERES|38VULN|4aDMG|6RCR|7AART|9DUST
116	33222 24451	   	164.41	DCR|2VULN|2DMG|1AART	1TLV|24VULN|3FEWX|5ERES|6RCR|7AART|8BEXP|9aDMG
117	21413 25113	   	164.41	DCR|5VULN|1DMG	1FEWX|28ERES|3579aVULN|4DMG|6RCR
118	21413 25631	   	164.41	DCR|5VULN|1DMG	1FEWX|2ERES|3578aVULN|4DMG|6RCR|9LEGI
119	33412 25411	   	164.41	DCR|5VULN|1DMG	1TLV|23789VULN|4DMG|5DUST|6RCR|aFEWX
120	33412 25413	   	164.41	DCR|5VULN|1DMG	1TLV|23789VULN|4DMG|5DUST|6RCR|aLWND
121	61313 24613	   	164.41	DCR|5VULN|1DMG	1DUST|2ERES|3589aVULN|4DMG|6RCR|7DMSP
122	61313 25611	   	164.41	DCR|5VULN|1DMG	1DUST|2ERES|35789VULN|4DMG|6RCR|aFEWX
123	61313 25613	   	164.41	DCR|5VULN|1DMG	1DUST|2ERES|35789VULN|4DMG|6RCR|aLWND
124	61313 25621	   	164.41	DCR|5VULN|1DMG	1DUST|2ERES|3578aVULN|4DMG|6RCR|9FEWX
125	61213 65221	   	164.37	DCR|4VULN|2DMG	1DUST|2ERES|3FEWX|49DMG|567aVULN|8RCR
126	61221 65221	   	164.37	DCR|4VULN|2DMG	1DUST|2ERES|3FEWX|467aVULN|59DMG|8RCR
127	61313 35221	   	164.37	DCR|4VULN|2DMG	1DUST|2ERES|357aVULN|49DMG|6FEWX|8RCR
128	33421 31623	   	164.32	DCR|3VULN|3DMG	1TLV|235VULN|4RCVC|689DMG|7BEXP|aRCR
129	61313 25113	   	164.31	DCR|5VULN|1DMG	1DUST|28ERES|3579aVULN|4DMG|6RCR
130	33213 25415	   	164.26	DCR|5VULN|1DMG|1SELL	1TLV|25789VULN|3FEWX|4DMG|6RCR|aSELL
131	42114 53312	   	164.16	DCR|2VULN|1AART|2CDMG|2DUR|1ZMB	12DUR|2BPWR|38VULN|4RMIN|5AART|67CDMG|9RCR|aZMB
132	44422 21331	   	164.15	DCR|3VULN|1AART|2DUR|1ZMB	19DUR|2MLV|349VULN|5ERES|6RCR|7ZMB|89LSRICY|9BPWR|aAART
133	21413 41225	 * 	164.01	DCR|3DMG|2VULN|1CDMG	1FEWX|2ERES|35VULN|469DMG|7BEXP|8RCR|aCDMG
134	33411 24123	   	163.97	DCR|4VULN|2DMG	1TLV|2367VULN|4aDMG|5LIT|8RCVC|9RCR
135	15422 31124	   	163.97	DCR|3VULN|2DMG|1ZMB	1aLHND|2ZMB|34aVULN|5ERES|68FEWX|7RCR|9aDMG|aBPWR
136	61313 35224	   	163.91	DCR|3VULN|2DMG|1CDMG	1DUST|2ERES|357VULN|49DMG|6FEWX|8RCR|aCDMG
137	61313 41225	   	163.91	DCR|3DMG|2VULN|1CDMG	1DUST|2ERES|35VULN|469DMG|7FEWX|8RCR|aCDMG
138	25431 21361	   	163.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3aVULN|4DUR|5DMG|6RCVC|7RCR|8BEXP|9AART
139	45213 21361	   	163.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2ZMB|3FEWX|4DMG|5aVULN|6RCVC|7RCR|8BEXP|9AART
140	45221 21361	   	163.87	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2ZMB|3FEWX|4aVULN|5DMG|6RCVC|7RCR|8BEXP|9AART
141	33213 61523	   	163.77	DCR|3VULN|2DMG|1ZMB	1TLV|258VULN|3FEWX|49DMG|6LWND|7RCR|aZMB
142	15226 32411	   	163.67	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2ZMB|3FEWX|479VULN|5AART|6CDMG|8RCR|aCGEN
143	15226 32413	   	163.67	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2ZMB|3FEWX|479VULN|5AART|6CDMG|8RCR|aLWND
144	33412 61523	   	163.67	DCR|3VULN|2DMG|1ZMB	1TLV|238VULN|49DMG|5DUST|6LWND|7RCR|aZMB
145	33412 23614	 * 	163.58	DCR|3VULN|3CDMG|1DMG	1aTLV|23aVULN|4DMG|5DUST|6RCR|7RPLT|89aCDMG|aBPWR
146	15226 32412	   	163.57	DCR|3VULN|1AART|1CDMG|1ZMB	1LHND|2ZMB|3FEWX|479VULN|5AART|6CDMG|8RCR|aDUST
147	45422 23213	   	163.57	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1DUR|2ZMB|34VULN|5ERES|6RCR|7RPLT|8DLOT|9AART|aDMG
148	61314 21336	 * 	163.34	DCR|1AART|1VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1DUST|2ERES|3VULN|4DMG|5MLV|6ZMB|7RCR|8FLTHEA|9CDMG|aAART
149	51216 23413	   	163.32	ACR|3DMG|2VULN|2DUR	127LIT|38VULN|489DMG|5RCR|68DUR|8BPWR|aLWND
150	11313 22652	   	163.31	DCR|2VULN|2DMG|1AART	157LHND|2ERES|38VULN|4aDMG|6RCR|9AART
151	31413 22452	   	163.31	DCR|2VULN|2DMG|1AART	1TLV|257LHND|38VULN|4aDMG|6RCR|9AART
152	33613 22452	   	163.31	DCR|2VULN|2DMG|1AART	1TLV|28VULN|357LHND|4aDMG|6RCR|9AART
153	21413 23516	   	163.21	DCR|2VULN|2DMG|1AART	1FEWX|2ERES|35VULN|4aDMG|6RCR|7RPLT|8DUST|9AART
154	21413 26361	   	163.21	DCR|2VULN|2DMG|1AART	1FEWX|2ERES|35VULN|4aDMG|6RCR|7TLV|8LIT|9AART
155	33213 23516	   	163.21	DCR|2VULN|2DMG|1AART	1TLV|25VULN|3FEWX|4aDMG|6RCR|7RPLT|8DUST|9AART
156	41242 61212	 * 	163.17	DCR|2AART|1VULN|1DMG|1CDMG|1DUR	1DUR|2ERES|3FEWX|4aAART|5LIT|6RCR|7CDMG|8VULN|9DMG
157	61313 26361	   	163.11	DCR|2VULN|2DMG|1AART	1DUST|2ERES|35VULN|4aDMG|6RCR|7TLV|8LIT|9AART
158	33421 63112	   	163.07	DCR|3VULN|1AART|1CDMG|1ZMB	1TLV|235VULN|4RCVC|6CDMG|7AART|8BEXP|9RCR|aZMB
159	33421 63412	   	163.07	DCR|3VULN|1AART|1CDMG|1ZMB	1TLV|235VULN|4RCVC|6CDMG|7AART|8FEWX|9RCR|aZMB
160	33515 33422	   	163.05	DCR|2VULN|2DMG|1AART|1DUR	17TLV|27VULN|3DMSP|47DMG|5AART|6NUKE|7BPWR|8DUR|9MLV|aRCR
161	21413 51224	   	162.99	DCR|2VULN|2DMG|1CDMG|2DUR	1FEWX|2ERES|35VULN|49DMG|68DUR|7RCR|aCDMG
162	33213 51224	   	162.99	DCR|2VULN|2DMG|1CDMG|2DUR	1TLV|25VULN|3FEWX|49DMG|68DUR|7RCR|aCDMG
163	44412 21321	   	162.99	DCR|2VULN|2DMG|1CDMG|2DUR	19DUR|2MLV|39VULN|49DMG|568DUST|7RCR|9BPWR|aCDMG
164	33412 51224	   	162.89	DCR|2VULN|2DMG|1CDMG|2DUR	1TLV|23VULN|49DMG|5DUST|68DUR|7RCR|aCDMG
165	61313 51224	   	162.89	DCR|2VULN|2DMG|1CDMG|2DUR	1DUST|2ERES|35VULN|49DMG|68DUR|7RCR|aCDMG
166	12123 24562	   	162.88	DCR|3VULN|1AART|1DMG	1259LHND|29BPWR|389VULN|49FEWX|6RCR|7AART|aDMG
167	13123 24562	   	162.88	DCR|3VULN|1AART|1DMG	1259LHND|389VULN|49FEWX|6RCR|7AART|9BPWR|aDMG
168	14422 21234	 * 	162.78	DCR|4VULN|2CDMG|1ZMB	19LHND|2MLV|349aVULN|5ERES|6RCR|7ZMB|89CDMG|9BPWR
169	24422 21234	   	162.78	DCR|4VULN|2CDMG|1ZMB	19FEWX|2MLV|349aVULN|5ERES|6RCR|7ZMB|89CDMG|9BPWR
170	41242 61211	   	162.73	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|2ERES|3FEWX|4AART|5LIT|6RCR|7CDMG|8VULN|9DMG|aZMB
171	33213 25443	   	162.68	DCR|4VULN|1DMG|1ZMB	1TLV|2578VULN|3FEWX|4DMG|6RCR|9LHND|aZMB
172	33213 25453	   	162.68	DCR|4VULN|1DMG|1ZMB	1TLV|2578VULN|3FEWX|4DMG|6RCR|9LWND|aZMB
173	21413 42224	 * 	162.60	DCR|3DMG|2VULN|2DUR	1FEWX|2ERES|35VULN|469DMG|7aDUR|8RCR
174	21413 42251	   	162.60	DCR|3VULN|2DMG|2DUR	1FEWX|2ERES|35aVULN|46DMG|79DUR|8RCR
175	21413 55222	   	162.60	DCR|3VULN|2DMG|2DUR	1FEWX|2ERES|357VULN|49DMG|6aDUR|8RCR
176	21413 53221	   	162.60	DCR|3VULN|2DMG|2DUR	1FEWX|2ERES|35aVULN|49DMG|67DUR|8RCR
177	41213 45221	   	162.60	DCR|3VULN|2DMG|2DUR	16DUR|2ERES|3FEWX|49DMG|57aVULN|8RCR
178	41221 45221	   	162.60	DCR|3VULN|2DMG|2DUR	16DUR|2ERES|3FEWX|47aVULN|59DMG|8RCR
179	31422 21234	   	162.58	DCR|4VULN|2CDMG|1ZMB	19TLV|2LHND|349aVULN|5ERES|6RCR|7ZMB|89CDMG|9BPWR
180	33213 25433	   	162.58	DCR|4VULN|1DMG|1ZMB	1TLV|2578VULN|3FEWX|4DMG|6RCR|9LEGI|aZMB
181	33412 25423	   	162.58	DCR|4VULN|1DMG|1ZMB	1TLV|2378VULN|4DMG|5DUST|6RCR|9FEWX|aZMB
182	36422 21234	   	162.58	DCR|4VULN|2CDMG|1ZMB	19TLV|2BEXP|349aVULN|5ERES|6RCR|7ZMB|89CDMG|9BPWR
183	12132 24562	   	162.58	DCR|3VULN|1AART|1DMG	129LHND|29BPWR|389VULN|459DUST|6RCR|7AART|aDMG
184	12162 24512	   	162.58	DCR|3VULN|1AART|1DMG	124LHND|24BPWR|348VULN|59DUST|6RCR|7AART|aDMG
185	13132 24562	   	162.58	DCR|3VULN|1AART|1DMG	129LHND|389VULN|459DUST|6RCR|7AART|9BPWR|aDMG
186	13162 24512	   	162.58	DCR|3VULN|1AART|1DMG	124LHND|348VULN|4BPWR|59DUST|6RCR|7AART|aDMG
187	41312 45221	   	162.50	DCR|3VULN|2DMG|2DUR	16DUR|2ERES|37aVULN|49DMG|5DUST|8RCR
188	61313 42224	   	162.50	DCR|3DMG|2VULN|2DUR	1DUST|2ERES|35VULN|469DMG|7aDUR|8RCR
189	61313 42251	   	162.50	DCR|3VULN|2DMG|2DUR	1DUST|2ERES|35aVULN|46DMG|79DUR|8RCR
190	61313 53221	   	162.50	DCR|3VULN|2DMG|2DUR	1DUST|2ERES|35aVULN|49DMG|67DUR|8RCR
191	61313 55222	   	162.50	DCR|3VULN|2DMG|2DUR	1DUST|2ERES|357VULN|49DMG|6aDUR|8RCR
192	33412 25611	   	162.48	DCR|4VULN|1DMG|1ZMB	1TLV|237aVULN|4DMG|5DUST|6RCR|8ZMB|9ERES
