0	Index      	 *	Score 	Summary	Detail	
1	22243 42521	 * 	190.52	DCR|3VULN|2DMG|1AART|1CDMG	1aBEXP|23aVULN|4CDMG|5AART|6RPLT|7LHND|8RCR|9aDMG|aBPWR
18	62241 26133	 * 	178.72	DCR|3VULN|1DMG|2CDMG|1FLTHEA|2DUR	15DUR|239VULN|47CDMG|6DMG|8RCR|aFLTHEA
19	52252 13332	   	177.56	DCR|2VULN|2DMG|1AART|1CDMG	1DUST|23VULN|4FEWX|5RMIN|6RCR|79DMG|8AART|aCDMG
20	62236 21123	   	176.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUR|237VULN|4LHND|5DMG|6LWND|8RCR|9CDMG|aAART
21	22252 13311	   	174.51	DCR|3VULN|1AART|1DMG|2DUR	1aBEXP|23aVULN|4FEWX|5RMIN|6RCR|7DMG|8AART|9aDUR|aBPWR
22	22262 13311	   	174.41	DCR|3VULN|1AART|1DMG|2DUR	1aBEXP|23aVULN|4DUST|5RMIN|6RCR|7DMG|8AART|9aDUR|aBPWR
23	52212 13311	   	174.31	DCR|3VULN|1AART|1DMG|2DUR	1aDUST|23aVULN|4BEXP|5RMIN|6RCR|7DMG|8AART|9aDUR|aBPWR
24	52252 13311	   	174.31	DCR|3VULN|1AART|1DMG|2DUR	1aDUST|23aVULN|4FEWX|5RMIN|6RCR|7DMG|8AART|9aDUR|aBPWR
25	62236 33142	   	174.02	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|236VULN|4LHND|5DMG|7FEWX|8RCR|9ZMB|aAART
26	62236 31142	   	173.92	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1DUR|236VULN|4LHND|5DMG|7DUST|8RCR|9ZMB|aAART
27	22241 32541	 * 	173.53	DCR|3VULN|3ASPD|1DMG|1CDMG|1DUR	17BEXP|237VULN|4CDMG|5DUR|679ASPD|7BPWR|8RCR|aDMG
28	62241 24131	   	172.86	DCR|4VULN|1DMG|1CDMG|2DUR	15DUR|2379VULN|4CDMG|6DMG|8RCR|aLIT
29	62241 24132	   	172.86	DCR|4VULN|1DMG|1CDMG|2DUR	15DUR|2379VULN|4CDMG|6DMG|8RCR|aCGEN
30	62243 32533	   	172.51	DCR|3VULN|1DMG|2ASPD|1CDMG|2DUR	17DUR|237VULN|4CDMG|5FEWX|67ASPD|7BPWR|8RCR|9RMIN|aDMG
31	22231 26141	 * 	172.48	DCR|3VULN|1AART|2CDMG|1ZMB	1aBEXP|23aVULN|4RPLT|5ZMB|6RCR|7DUST|8aCDMG|9AART|aBPWR
32	22254 63331	   	172.47	DCR|3VULN|2DMG|1AART	1aBEXP|23aVULN|4FEWX|5DUST|6NUKE|7aDMG|8AART|9RCR|aBPWR
33	22221 21134	   	171.80	DCR|4VULN|2DMG|1DUR	169BEXP|239aVULN|4DUR|56LHND|69BPWR|79DMG|8RCR
34	22225 51134	   	171.70	DCR|4VULN|2DMG|1DUR	159BEXP|239aVULN|4DUR|6LHND|79DMG|8RCR|9BPWR
35	22242 33154	 * 	171.67	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1ASPD	1BEXP|23VULN|4CDMG|5ASPD|67ZMB|8DMG|9AART|aRCR
36	22221 21132	   	171.35	DCR|3VULN|2DMG|1CDMG|1DUR	169BEXP|239VULN|4DUR|56LHND|69BPWR|79DMG|8RCR|aCDMG
37	22225 51132	   	171.25	DCR|3VULN|2DMG|1CDMG|1DUR	159BEXP|239VULN|4DUR|6LHND|79DMG|8RCR|9BPWR|aCDMG
38	22252 13314	   	170.95	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|23VULN|4FEWX|5RMIN|6RCR|7aDMG|8AART|9DUR
39	62233 31153	   	170.95	DCR|2VULN|2DMG|1AART|2DUR	1aDUR|23VULN|4aLHND|5CGEN|6ERES|7aDMG|8RCR|9AART|aBPWR
40	22262 13314	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	1BEXP|23VULN|4DUST|5RMIN|6RCR|7aDMG|8AART|9DUR
41	52212 13314	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	1DUST|23VULN|4BEXP|5RMIN|6RCR|7aDMG|8AART|9DUR
42	52252 13314	   	170.85	DCR|2VULN|2DMG|1AART|1DUR	1DUST|23VULN|4FEWX|5RMIN|6RCR|7aDMG|8AART|9DUR
43	52153 21413	   	170.81	DCR|3VULN|2DMG|1ZMB|1DUR	18DUST|289VULN|3LWND|4BELT|5ZMB|68DMG|7RCR|8BPWR|aDUR
44	62236 21152	   	170.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUR|237VULN|4LHND|5DMG|6LWND|8RCR|9AART|aASPD
45	22231 22155	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|23VULN|4RPLT|5ZMB|6RCR|7MBVNT|8CDMG|9AART|aDMG
46	22231 26144	   	170.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|23VULN|4RPLT|5ZMB|6RCR|7DUST|8CDMG|9AART|aDMG
47	22241 32535	 * 	170.36	DCR|3VULN|1AART|2ASPD|1CDMG|1DUR	17BEXP|237VULN|4CDMG|5DUR|67ASPD|7BPWR|8RCR|9RMIN|aAART
48	52231 22145	   	170.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1DUST|23VULN|4RPLT|5ZMB|6RCR|7MBVNT|8CDMG|9AART|aDMG
49	22241 32525	   	170.26	DCR|3VULN|1AART|2ASPD|1CDMG|1DUR	17BEXP|237VULN|4CDMG|5DUR|67ASPD|7BPWR|8RCR|9ERES|aAART
50	22223 51136	   	169.84	DCR|3VULN|2DMG|2DUR|1ASPD	19BEXP|239VULN|45DUR|6LHND|79DMG|8RCR|9BPWR|aASPD
51	62231 21136	   	169.84	DCR|3VULN|2DMG|2DUR|1ASPD	19DUR|239VULN|45LHND|6LWND|79DMG|8RCR|9BPWR|aASPD
52	62232 11136	   	169.84	DCR|3VULN|2DMG|2DUR|1ASPD	19DUR|239VULN|4LHND|56LWND|79DMG|8RCR|9BPWR|aASPD
53	62232 51136	   	169.84	DCR|3VULN|2DMG|2DUR|1ASPD	19DUR|239VULN|4LHND|5LWND|6DMSP|79DMG|8RCR|9BPWR|aASPD
54	22425 23361	 * 	169.10	DCR|3DMG|2VULN|2DUR|1ZMB	135BEXP|28VULN|48DUR|678DMG|8BPWR|9ZMB|aRCR
55	62241 21145	 * 	168.32	DCR|2VULN|1AART|1DMG|2CDMG|2DUR	15DUR|23VULN|48CDMG|6DMG|7MBVNT|9AART|aRCR
56	22241 13133	 * 	168.31	DCR|4VULN|1AART|1CDMG|1DUR	1BEXP|2378VULN|4CDMG|5DUR|6AART|9LHND|aRCR
57	22241 13163	   	168.31	DCR|4VULN|1AART|1CDMG|1DUR	1BEXP|2378VULN|4CDMG|5DUR|6AART|9LWND|aRCR
58	22241 13143	   	168.21	DCR|4VULN|1AART|1CDMG|1DUR	1BEXP|2378VULN|4CDMG|5DUR|6AART|9DUST|aRCR
59	52241 13133	   	168.21	DCR|4VULN|1AART|1CDMG|1DUR	1DUST|2378VULN|4CDMG|5DUR|6AART|9LHND|aRCR
60	22216 31261	   	167.68	DCR|3VULN|1AART|1DMG|1ZMB	14BEXP|238VULN|5AART|6DMG|7LIT|9RCR|aZMB
61	62236 33122	   	167.57	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|236aVULN|4LHND|5DMG|7FEWX|8RCR|9CDMG
62	62236 34122	   	167.57	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|236aVULN|4LHND|5DMG|7BEXP|8RCR|9CDMG
63	62256 21132	   	167.57	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|237aVULN|4FEWX|5DMG|6LWND|8RCR|9CDMG
64	62236 31122	   	167.47	DCR|4VULN|1DMG|1CDMG|1DUR	1DUR|236aVULN|4LHND|5DMG|7DUST|8RCR|9CDMG
65	22241 32533	   	167.22	DCR|3VULN|1DMG|2ASPD|1CDMG|1DUR	17BEXP|237VULN|4CDMG|5DUR|67ASPD|7BPWR|8RCR|9RMIN|aDMG
66	22241 32563	   	167.22	DCR|3VULN|1DMG|2ASPD|1CDMG|1DUR	179BEXP|237VULN|4CDMG|5DUR|67ASPD|7BPWR|8RCR|aDMG
67	62431 21134	   	166.81	DCR|3VULN|2DMG|3DUR	169DUR|29aVULN|34BEXP|56LHND|69BPWR|79DMG|8RCR
68	62211 21133	   	166.81	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4BEXP|56LHND|69BPWR|79DMG|8RCR|aRCVC
69	62235 21133	   	166.81	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56BEXP|69BPWR|79DMG|8RCR|aRCVC
70	62251 21133	   	166.81	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4FEWX|56LHND|69BPWR|79DMG|8RCR|aRCVC
71	62213 51133	   	166.71	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4BEXP|6LHND|79DMG|8RCR|9BPWR|aRCVC
72	62221 21132	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4DUST|56aLHND|69BPWR|79DMG|8RCR
73	62221 21133	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4DUST|56LHND|69BPWR|79DMG|8RCR|aLWND
74	62232 21133	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|5LWND|79DMG|8RCR|9BPWR|aBELT
75	62253 51133	   	166.71	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4FEWX|6LHND|79DMG|8RCR|9BPWR|aRCVC
76	62141 21134	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|29aVULN|3LWND|4RCVC|5LHND|79DMG|8RCR|9BPWR
77	62211 21131	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4BEXP|56LHND|69BPWR|79DMG|8RCR|aDUST
78	62211 21135	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4BEXP|56LHND|69BPWR|79DMG|8RCR|aMBVNT
79	62211 21136	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4BEXP|56LHND|69BPWR|79DMG|8RCR|aAIRHEL
80	62235 21131	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56BEXP|69BPWR|79DMG|8RCR|aDUST
81	62235 21135	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56BEXP|69BPWR|79DMG|8RCR|aMBVNT
82	62235 21136	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56BEXP|69BPWR|79DMG|8RCR|aAIRHEL
83	62251 21131	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4FEWX|56LHND|69BPWR|79DMG|8RCR|aDUST
84	62251 21135	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4FEWX|56LHND|69BPWR|79DMG|8RCR|aMBVNT
85	62251 21136	   	166.71	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4FEWX|56LHND|69BPWR|79DMG|8RCR|aAIRHEL
86	62213 51131	   	166.61	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4BEXP|6LHND|79DMG|8RCR|9BPWR|aDUST
87	62213 51135	   	166.61	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4BEXP|6LHND|79DMG|8RCR|9BPWR|aMBVNT
88	62213 51136	   	166.61	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4BEXP|6LHND|79DMG|8RCR|9BPWR|aAIRHEL
89	62221 21131	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4aDUST|56LHND|69BPWR|79DMG|8RCR
90	62221 21135	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4DUST|56LHND|69BPWR|79DMG|8RCR|aMBVNT
91	62221 21136	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4DUST|56LHND|69BPWR|79DMG|8RCR|aAIRHEL
92	62223 51132	   	166.61	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4DUST|6aLHND|79DMG|8RCR|9BPWR
93	62223 51133	   	166.61	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4DUST|6LHND|79DMG|8RCR|9BPWR|aLWND
94	62232 21131	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|5LWND|79DMG|8RCR|9BPWR|aDUST
95	62232 21135	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|5LWND|79DMG|8RCR|9BPWR|aMBVNT
96	62232 21136	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|5LWND|79DMG|8RCR|9BPWR|aAIRHEL
97	62234 21132	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4aLHND|56DUST|69BPWR|79DMG|8RCR
98	62234 21133	   	166.61	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56DUST|69BPWR|79DMG|8RCR|aLWND
99	62253 51131	   	166.61	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4FEWX|6LHND|79DMG|8RCR|9BPWR|aDUST
100	62243 32512	 * 	166.55	DCR|4VULN|2ASPD|1CDMG|2DUR	17DUR|237aVULN|4CDMG|5FEWX|67ASPD|7BPWR|8RCR|9LWND
101	62223 51131	   	166.51	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4aDUST|6LHND|79DMG|8RCR|9BPWR
102	62223 51135	   	166.51	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4DUST|6LHND|79DMG|8RCR|9BPWR|aMBVNT
103	62223 51136	   	166.51	DCR|3VULN|2DMG|3DUR	159DUR|239VULN|4DUST|6LHND|79DMG|8RCR|9BPWR|aAIRHEL
104	62234 21131	   	166.51	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56aDUST|69BPWR|79DMG|8RCR
105	62234 21135	   	166.51	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56DUST|69BPWR|79DMG|8RCR|aMBVNT
106	62234 21136	   	166.51	DCR|3VULN|2DMG|3DUR	169DUR|239VULN|4LHND|56DUST|69BPWR|79DMG|8RCR|aAIRHEL
107	22222 15144	   	166.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|23VULN|4DUR|5RMIN|6RCR|7RPLT|8CDMG|9AART|aDMG
108	62236 21136	   	166.35	DCR|4VULN|1DMG|2DUR|1ASPD	19DUR|2379VULN|4LHND|5DMG|69LWND|8RCR|9BPWR|aASPD
109	62236 33136	   	166.35	DCR|4VULN|1DMG|2DUR|1ASPD	19DUR|2369VULN|4LHND|5DMG|79FEWX|8RCR|9BPWR|aASPD
110	52236 33234	 * 	166.31	DCR|3VULN|2DMG|2ASPD	15aDUST|235VULN|4RPLT|5aBPWR|6aASPD|7RCR|8MBVNT|9aDMG
111	62232 21123	   	166.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	16DUR|23VULN|4LHND|5LWND|7DMG|8RCR|9CDMG|aAART
112	22231 26534	   	166.17	DCR|3VULN|2DMG|1ZMB	1BEXP|238VULN|4RPLT|5ZMB|6RCR|7DUST|9aDMG
113	62236 31136	   	166.15	DCR|4VULN|1DMG|2DUR|1ASPD	19DUR|2369VULN|4LHND|5DMG|79DUST|8RCR|9BPWR|aASPD
114	62241 21842	 * 	166.12	DCR|2VULN|2DMG|2CDMG|3DUR	158DUR|23VULN|48CDMG|68DMG|7MBVNT|8BPWR|9RCVC|aRCR
115	52231 22635	   	166.07	DCR|3VULN|2DMG|1ZMB	1DUST|238VULN|4RPLT|5ZMB|6RCR|7MBVNT|9aDMG
116	61662 12222	   	165.71	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2ERES|3LHND|4CDMG|5DMG|6AART|7RCR|8aVULN|9FEWX
117	61362 12222	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2ERES|3DUST|4CDMG|5DMG|6AART|7RCR|8aVULN|9FEWX
118	61362 12252	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2ERES|3DUST|4CDMG|5DMG|6AART|7RCR|8aVULN|9LWND
119	61662 12212	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2ERES|3LHND|4CDMG|5DMG|6AART|7RCR|8aVULN|9DUST
120	63662 12212	   	165.61	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2FEWX|3TLV|4CDMG|5DMG|6AART|7RCR|8aVULN|9DUST
121	52236 13612	 * 	165.25	DCR|5VULN|1AART	15DUST|2357aVULN|49RPLT|5BPWR|6AART|8RCR
122	52241 13633	   	165.11	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1DUST|237VULN|4CDMG|5DUR|6AART|8ZMB|9CGEN|aRCR
123	62236 53222	   	165.10	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1DUR|23aVULN|4LHND|5DMG|6RCR|7TLV|8ASPD|9CDMG
124	62241 26131	   	165.07	DCR|3VULN|1DMG|2CDMG|2DUR	15DUR|239VULN|47CDMG|6DMG|8RCR|aLIT
125	62241 26132	   	165.07	DCR|3VULN|1DMG|2CDMG|2DUR	15DUR|239VULN|47CDMG|6DMG|8RCR|aCGEN
126	62236 63312	   	164.96	DCR|3VULN|1DMG|1CDMG|2DUR|1ZMB	18DUR|239VULN|4LHND|5DMG|6CDMG|7ZMB|aRCR
127	22241 11433	   	164.93	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1BEXP|23VULN|48CDMG|5DUR|6AART|7DMG|9CGEN|aRCR
128	22251 21134	   	164.87	DCR|4VULN|2DMG	169BEXP|239aVULN|4FEWX|56LHND|69BPWR|79DMG|8RCR
129	52241 11433	   	164.83	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1DUST|23VULN|48CDMG|5DUR|6AART|7DMG|9CGEN|aRCR
130	62431 21132	   	164.81	DCR|2VULN|2DMG|3DUR|1CDMG	169DUR|29VULN|34BEXP|56LHND|69BPWR|79DMG|8RCR|aCDMG
131	62441 21132	   	164.81	DCR|2VULN|2DMG|3DUR|1CDMG	169DUR|29VULN|3BEXP|4RCVC|56LHND|69BPWR|79DMG|8RCR|aCDMG
132	22131 31134	   	164.77	DCR|4VULN|2DMG	149BEXP|279aVULN|3LWND|5LHND|69DMG|8RCR|9BPWR
133	22255 31134	   	164.77	DCR|4VULN|2DMG	159BEXP|239aVULN|4FEWX|6LHND|79DMG|8RCR|9BPWR
134	22261 21134	   	164.77	DCR|4VULN|2DMG	169BEXP|239aVULN|4DUST|56LHND|69BPWR|79DMG|8RCR
135	62141 21132	   	164.71	DCR|2VULN|2DMG|3DUR|1CDMG	169DUR|29VULN|3LWND|4RCVC|5LHND|79DMG|8RCR|9BPWR|aCDMG
136	62433 51132	   	164.71	DCR|2VULN|2DMG|3DUR|1CDMG	159DUR|29VULN|34BEXP|6LHND|79DMG|8RCR|9BPWR|aCDMG
137	22212 31134	   	164.67	DCR|4VULN|2DMG	149BEXP|239aVULN|5DUST|6LHND|79DMG|8RCR|9BPWR
138	52211 21134	   	164.57	DCR|4VULN|2DMG	169DUST|239aVULN|4BEXP|56LHND|69BPWR|79DMG|8RCR
139	52251 21134	   	164.57	DCR|4VULN|2DMG	169DUST|239aVULN|4FEWX|56LHND|69BPWR|79DMG|8RCR
140	52161 31134	   	164.47	DCR|4VULN|2DMG	149DUST|279aVULN|3LWND|5LHND|69DMG|8RCR|9BPWR
141	52214 31134	   	164.47	DCR|4VULN|2DMG	159DUST|239aVULN|4BEXP|6LHND|79DMG|8RCR|9BPWR
142	52226 31134	   	164.47	DCR|4VULN|2DMG	149DUST|239aVULN|5LWND|6LHND|79DMG|8RCR|9BPWR
143	22251 21132	   	164.41	DCR|3VULN|2DMG|1CDMG	169BEXP|239VULN|4FEWX|56LHND|69BPWR|79DMG|8RCR|aCDMG
144	22216 25321	   	164.37	DCR|4VULN|1AART|1CDMG	14BEXP|2367VULN|5AART|8CDMG|9RCR|aFEWX
145	22216 25322	   	164.37	DCR|4VULN|1AART|1CDMG	14aBEXP|2367VULN|5AART|8CDMG|9RCR
146	22216 25325	   	164.37	DCR|4VULN|1AART|1CDMG	14BEXP|2367VULN|5AART|8CDMG|9RCR|aMLV
147	22131 31132	   	164.31	DCR|3VULN|2DMG|1CDMG	149BEXP|279VULN|3LWND|5LHND|69DMG|8RCR|9BPWR|aCDMG
148	22255 31132	   	164.31	DCR|3VULN|2DMG|1CDMG	159BEXP|239VULN|4FEWX|6LHND|79DMG|8RCR|9BPWR|aCDMG
149	22216 25323	   	164.27	DCR|4VULN|1AART|1CDMG	14BEXP|2367VULN|5AART|8CDMG|9RCR|aERES
150	22216 25326	   	164.27	DCR|4VULN|1AART|1CDMG	14BEXP|2367VULN|5AART|8CDMG|9RCR|aTLV
151	52211 21132	   	164.11	DCR|3VULN|2DMG|1CDMG	169DUST|239VULN|4BEXP|56LHND|69BPWR|79DMG|8RCR|aCDMG
152	52251 21132	   	164.11	DCR|3VULN|2DMG|1CDMG	169DUST|239VULN|4FEWX|56LHND|69BPWR|79DMG|8RCR|aCDMG
153	22252 13341	   	164.11	DCR|2VULN|2DMG|1AART	1aBEXP|23VULN|4aFEWX|5RMIN|6RCR|7aDMG|8AART|9MBVNT|aBPWR
154	52161 31132	   	164.01	DCR|3VULN|2DMG|1CDMG	149DUST|279VULN|3LWND|5LHND|69DMG|8RCR|9BPWR|aCDMG
155	52214 31132	   	164.01	DCR|3VULN|2DMG|1CDMG	159DUST|239VULN|4BEXP|6LHND|79DMG|8RCR|9BPWR|aCDMG
156	52226 31132	   	164.01	DCR|3VULN|2DMG|1CDMG	149DUST|239VULN|5LWND|6LHND|79DMG|8RCR|9BPWR|aCDMG
157	52254 31132	   	164.01	DCR|3VULN|2DMG|1CDMG	159DUST|239VULN|4FEWX|6LHND|79DMG|8RCR|9BPWR|aCDMG
158	22262 13341	   	163.91	DCR|2VULN|2DMG|1AART	1aBEXP|23VULN|4aDUST|5RMIN|6RCR|7aDMG|8AART|9MBVNT|aBPWR
159	52212 13341	   	163.91	DCR|2VULN|2DMG|1AART	1aDUST|23VULN|4aBEXP|5RMIN|6RCR|7aDMG|8AART|9MBVNT|aBPWR
160	52252 13324	   	163.91	DCR|2VULN|2DMG|1AART	1DUST|23VULN|4FEWX|5RMIN|6RCR|7aDMG|8AART|9BEXP
161	52252 13331	   	163.91	DCR|2VULN|2DMG|1AART	1DUST|23VULN|4FEWX|5RMIN|6RCR|79DMG|8AART|aLHND
162	52252 13333	   	163.91	DCR|2VULN|2DMG|1AART	1DUST|23VULN|4FEWX|5RMIN|6RCR|79DMG|8AART|aRPLT
163	52252 13336	   	163.91	DCR|2VULN|2DMG|1AART	1DUST|23VULN|4FEWX|5RMIN|6RCR|79DMG|8AART|aLWND
164	52252 13341	   	163.91	DCR|2VULN|2DMG|1AART	1aDUST|23VULN|4aFEWX|5RMIN|6RCR|7aDMG|8AART|9MBVNT|aBPWR
165	22252 13345	   	163.91	DCR|2VULN|2DMG|1AART	1BEXP|23VULN|4FEWX|5RMIN|6RCR|7aDMG|8AART|9MBVNT
166	22252 13354	   	163.91	DCR|2VULN|2DMG|1AART	1BEXP|23VULN|4FEWX|5RMIN|6RCR|7aDMG|8AART|9DUST
167	22241 11633	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|23VULN|4CDMG|58DUR|6AART|7DMG|9CGEN|aRCR
168	52153 21411	   	163.87	DCR|3VULN|2DMG|1ZMB	18DUST|289VULN|3LWND|4BELT|5ZMB|68DMG|7RCR|8BPWR|aFEWX
169	52153 21412	   	163.87	DCR|3VULN|2DMG|1ZMB	18DUST|289VULN|3LWND|4BELT|5ZMB|68DMG|7RCR|8BPWR|aMLV
170	22262 13345	   	163.81	DCR|2VULN|2DMG|1AART	1BEXP|23VULN|4DUST|5RMIN|6RCR|7aDMG|8AART|9MBVNT
171	52212 13345	   	163.81	DCR|2VULN|2DMG|1AART	1DUST|23VULN|4BEXP|5RMIN|6RCR|7aDMG|8AART|9MBVNT
172	52241 11633	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1DUST|23VULN|4CDMG|58DUR|6AART|7DMG|9CGEN|aRCR
173	22253 21142	   	163.76	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	16BEXP|23VULN|4FEWX|56DUR|6BPWR|7DMG|8RCR|9ZMB|aAART
174	62211 21142	   	163.76	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	16DUR|23VULN|4BEXP|56LHND|6BPWR|7DMG|8RCR|9ZMB|aAART
175	62235 21142	   	163.76	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	16DUR|23VULN|4LHND|56BEXP|6BPWR|7DMG|8RCR|9ZMB|aAART
176	62251 21142	   	163.76	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	16DUR|23VULN|4FEWX|56LHND|6BPWR|7DMG|8RCR|9ZMB|aAART
