0	Index      	 *	Score 	Summary	Detail	
1	25121 51612	 * 	224.70	ACR|3VULN|3DMG|2ASPD|1AART|1AAC	18ASPD|2TLV|378VULN|4RCR|5AAC|68aDMG|8BPWR|9AART
20	41421 12334	 * 	207.13	DCR|2VULN|2DMG|1MDPS|1AART|1CDMG|2DUR	1MDPS|28VULN|38BEXP|4CDMG|56DMG|78DUR|8BPWR|9AART|aRCR
21	21235 61622	   	204.72	DCR|3ASPD|2VULN|1DMG|2ZMB	124ASPD|39BEXP|5ERES|6RCR|79VULN|89ZMB|9BPWR|aDMG
22	41363 22226	   	204.00	DCR|3VULN|1MDPS|2ASPD|2CDMG|1DUR	1MDPS|239VULN|4CGEN|5RPLT|69CDMG|79ASPD|8RCR|9BPWR|aDUR
23	21143 11145	   	204.00	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aDUR
24	21243 11145	   	204.00	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aDUR
25	24353 11141	   	204.00	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	13ASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|9DMG|aLWND
26	24353 11143	   	204.00	DCR|1MDPS|2ASPD|1AART|1VULN|1DMG|1CDMG|1DUR	13ASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|9DMG|aLIT
27	41432 31433	 * 	203.99	DCR|2VULN|1MDPS|2DMG|1ASPD|1CDMG|1ZMB	1MDPS|26VULN|3BEXP|4ASPD|56DMG|6BPWR|7ERES|8RCR|9CDMG|aZMB
28	46212 32233	 * 	203.58	ACR|2VULN|1MDPS|2DMG|1AART|1ASPD|1CDMG|1ZMB	1MDPS|2ZMB|36VULN|4RCR|56DMG|6BPWR|7CDMG|8LIT|9AART|aASPD
29	25131 13631	   	203.41	DCR|4VULN|2ASPD|2DUR	19ASPD|2TLV|349aVULN|5FEWX|6CGEN|7RCR|89DUR|9BPWR
30	25135 13631	   	203.31	DCR|4VULN|2ASPD|2DUR	19ASPD|2TLV|349aVULN|5DUST|6CGEN|7RCR|89DUR|9BPWR
31	24313 21434	 * 	203.22	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	13ASPD|2aCDMG|4CGEN|5DMG|6MLV|7RCR|8AART|9VULN
32	24333 21434	   	203.12	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG	13ASPD|2aCDMG|4TLV|5DMG|6MLV|7RCR|8AART|9VULN
33	24551 12131	 * 	202.85	DCR|1SPLARM|2ASPD|1AART|1VULN|1CDMG|2ZMB	1aASPD|2CDMG|3aZMB|4VULN|5SPLARM|6RCR|7AART|8aLIT|9RMIN|aBPWR
34	21335 16622	   	202.72	DCR|3ASPD|2VULN|1DMG|2ZMB	124ASPD|39VULN|5ERES|69LWND|7RCR|89ZMB|9BPWR|aDMG
35	51121 51621	   	202.65	ACR|4VULN|3DMG|1ASPD|1AAC	18AME|2ASPD|3789VULN|4RCR|5AAC|68aDMG|8BPWR
36	24511 11124	   	202.49	DCR|3VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|4LHND|5SNIFST|6RCR|89aVULN
37	51636 12232	 * 	202.35	DCR|3ASPD|2AART|2DMG	16AME|245ASPD|35DMG|5BPWR|7RCR|8TLV|9aAART
38	24353 11342	 * 	202.10	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG|2DUR	139ASPD|2CDMG|49DUR|5AART|6MDPS|7RCR|89ERES|9BPWR|aVULN
39	16245 31132	 * 	202.02	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|2AIRARM|38VULN|4DMG|5ASPD|6RMIN|7AART|9RCR|aCDMG
40	51132 21451	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15AME|2ASPD|34VULN|6CDMG|7RCR|8AART|9DMG|aLWND
41	51132 21452	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15AME|2ASPD|34VULN|6CDMG|7RCR|8AART|9DMG|aFEWX
42	51132 21453	   	201.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	15AME|2ASPD|34VULN|6CDMG|7RCR|8AART|9DMG|aLIT
43	24353 61322	 * 	201.86	DCR|2ASPD|1VULN|1AART|2CDMG|3DUR	13ASPD|26CDMG|469DUR|5AART|6BPWR|7RCR|8AME|aVULN
44	41325 21233	   	201.62	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|234VULN|5LIT|6RCR|7FEWX|8CDMG|9AART|aASPD
45	21332 26626	 * 	201.36	DCR|3ASPD|2VULN|3DUR|2ZMB	124ASPD|39VULN|5CGEN|69aDUR|7RCR|89ZMB|9BPWR
46	25121 51622	   	201.12	ACR|4VULN|2DMG|2ASPD|1AAC	18ASPD|2TLV|3789VULN|4RCR|5AAC|68DMG|8BPWR|aFEWX
47	25121 51623	   	201.12	ACR|4VULN|2DMG|2ASPD|1AAC	18ASPD|2TLV|3789VULN|4RCR|5AAC|68DMG|8BPWR|aMLV
48	24551 12121	 * 	201.12	DCR|1SPLARM|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1ASPD|2CDMG|3ZMB|4VULN|5SPLARM|6RCR|7AART|8LIT|9DMSP|aDMG
49	24353 11126	 * 	200.76	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG|1DUR	13ASPD|2CDMG|4DUR|5aAART|6MDPS|7RCR|8VULN|9RCVC
50	43132 43534	 * 	200.64	DCR|3VULN|1MDPS|1AART|2CDMG|2DUR	1MDPS|2aDUR|3AELBLL|4AART|59aVULN|6MBVNT|7RCR|8aCDMG|aBPWR
51	21324 26123	   	200.59	DCR|3VULN|3ASPD|2ZMB	126ASPD|39aVULN|4LHND|59ZMB|7RCR|89CGEN|9BPWR
52	21326 36123	   	200.59	DCR|3VULN|3ASPD|2ZMB	125ASPD|39aVULN|4LHND|69ZMB|7RCR|89CGEN|9BPWR
53	21331 36123	   	200.59	DCR|3VULN|3ASPD|2ZMB	124ASPD|39aVULN|5LHND|69ZMB|7RCR|89CGEN|9BPWR
54	21332 16623	   	200.59	DCR|3VULN|3ASPD|2ZMB	124ASPD|39aVULN|5CGEN|69LWND|7RCR|89ZMB|9BPWR
55	21332 56623	   	200.59	DCR|3VULN|3ASPD|2ZMB	124ASPD|39aVULN|5CGEN|69LHND|7RCR|89ZMB|9BPWR
56	51132 21426	   	200.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	15AME|2ASPD|34VULN|6CDMG|7RCR|8AART|9DUR|aZMB
57	51113 35313	   	200.49	DCR|3VULN|2ASPD|1CDMG|1ZMB	1AME|2aASPD|389VULN|4ZMB|5CDMG|6BELT|7RCR
58	21332 26625	   	200.47	DCR|3ASPD|2VULN|2DUR|2ZMB	124ASPD|39VULN|5CGEN|69DUR|7RCR|89ZMB|9BPWR|aRMIN
59	25113 35353	   	200.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1ASPD|2TLV|38VULN|4ZMB|5CDMG|6BELT|7RCR|9AART|aDUR
60	25113 35313	   	200.39	DCR|3VULN|2ASPD|1CDMG|1ZMB	1aASPD|2TLV|389VULN|4ZMB|5CDMG|6BELT|7RCR
61	21354 62221	   	200.31	DCR|3VULN|2ASPD|1DMG|1ZMB	12ASPD|368VULN|47BEXP|5ZMB|9RCR|aDMG
62	21323 54153	   	200.12	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG|1ZMB	12ASPD|3VULN|4LHND|5CDMG|6AART|7FEWX|8ZMB|9DMG|aRCR
63	24353 11136	   	200.01	DCR|2AART|1MDPS|2ASPD|1VULN|1CDMG|1DUR	13ASPD|2CDMG|4DUR|5aAART|6MDPS|7RCR|8VULN|9LHND
64	51113 35253	 * 	199.93	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	1AME|29ASPD|3VULN|4ZMB|5CDMG|6BELT|7RCR|8aDMG
65	41363 22225	   	199.85	DCR|3VULN|1MDPS|2ASPD|2CDMG	1MDPS|239VULN|4CGEN|5RPLT|69CDMG|79ASPD|8RCR|9BPWR|aRMIN
66	21143 11142	   	199.85	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aRMIN
67	21243 11142	   	199.85	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7RCR|8VULN|9DMG|aRMIN
68	23531 51334	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC	1ASPD|2FEWX|3CGEN|47VULN|5AAC|6DMG|8RCR|9AART|aCDMG
69	25113 35253	   	199.83	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	19ASPD|2TLV|3VULN|4ZMB|5CDMG|6BELT|7RCR|8aDMG
70	24125 11142	   	199.75	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG	14ASPD|2CDMG|3DUST|5AART|6MDPS|7RCR|8VULN|9DMG|aRMIN
71	51132 21431	   	199.72	DCR|3VULN|1AART|1ASPD|1CDMG	15AME|2ASPD|34aVULN|6CDMG|7RCR|8AART|9LIT
72	41323 23234	   	199.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG	1MDPS|234VULN|5DMSP|6ASPD|7RCR|8TLV|9AART|aCDMG
73	51342 21431	 * 	199.42	DCR|2VULN|2ASPD|1AART|1CDMG	1AME|24ASPD|3RCVC|5aVULN|6CDMG|7RCR|8AART|9LIT
74	25342 21431	   	199.32	DCR|2VULN|2ASPD|1AART|1CDMG	14ASPD|2TLV|3RCVC|5aVULN|6CDMG|7RCR|8AART|9LIT
75	21324 26351	 * 	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB	126ASPD|38VULN|4LHND|5ZMB|7RCR|9NUKE|aCGEN
76	21324 26352	 * 	199.30	DCR|3ASPD|2VULN|1DMG|1NUKE|1ZMB	126ASPD|38VULN|4LHND|5ZMB|7RCR|9NUKE|aDMG
77	21324 26353	   	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB	126ASPD|38VULN|4LHND|5ZMB|7RCR|9NUKE|aLWND
78	21326 36351	   	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB	125ASPD|38VULN|4LHND|6ZMB|7RCR|9NUKE|aCGEN
79	21326 36352	   	199.30	DCR|3ASPD|2VULN|1DMG|1NUKE|1ZMB	125ASPD|38VULN|4LHND|6ZMB|7RCR|9NUKE|aDMG
80	21326 36353	   	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB	125ASPD|38VULN|4LHND|6ZMB|7RCR|9NUKE|aLWND
81	21331 36351	   	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB	124ASPD|38VULN|5LHND|6ZMB|7RCR|9NUKE|aCGEN
82	21331 36352	   	199.30	DCR|3ASPD|2VULN|1DMG|1NUKE|1ZMB	124ASPD|38VULN|5LHND|6ZMB|7RCR|9NUKE|aDMG
83	21331 36353	   	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB	124ASPD|38VULN|5LHND|6ZMB|7RCR|9NUKE|aLWND
84	21331 36354	   	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB	124ASPD|38VULN|5LHND|6ZMB|7RCR|9NUKE|aAELBLL
85	21331 36355	   	199.30	DCR|3ASPD|2VULN|1NUKE|1ZMB|1DUR	124ASPD|38VULN|5LHND|6ZMB|7RCR|9NUKE|aDUR
86	24551 11122	   	199.19	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9LIT|aBEXP
87	24551 11123	   	199.19	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9aLIT
88	24551 11132	   	199.19	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9MULARM|aCGEN
89	21143 11166	 * 	199.13	DCR|2AART|1MDPS|2ASPD|1VULN|2CDMG	12ASPD|3FEWX|49CDMG|5aAART|6MDPS|7RCR|8VULN
90	21243 11166	   	199.13	DCR|2AART|1MDPS|2ASPD|1VULN|2CDMG	12ASPD|3BEXP|49CDMG|5aAART|6MDPS|7RCR|8VULN
91	24231 11124	   	199.10	DCR|3VULN|2ASPD|1CDMG	17ASPD|2CDMG|3LWND|4RMIN|5SNIFST|6RCR|89aVULN
92	24431 11124	   	199.10	DCR|3VULN|2ASPD|1CDMG	17ASPD|2CDMG|3LHND|4RMIN|5SNIFST|6RCR|89aVULN
93	24551 11113	   	199.09	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9DUST|aRPLT
94	24551 11121	   	199.09	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9LIT|aERES
95	24551 11131	   	199.09	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9MULARM|aERES
96	24551 11111	   	198.99	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB|1MSE	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9DUST|aMSE
97	24551 11112	   	198.99	DCR|1SPLARM|2VULN|2ASPD|1CDMG|1ZMB	17ASPD|2CDMG|3ZMB|48VULN|5SPLARM|6RCR|9DUST|aMBVNT
98	41321 55332	   	198.95	DCR|3VULN|2AART|1MDPS|1DMG|1AAC	1MDPS|234VULN|5AAC|6DMG|7RCVC|8RCR|9aAART
99	24353 11151	   	198.48	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG|1AAC|1DUR	139ASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|aAAC
100	24353 11162	 * 	198.42	DCR|1MDPS|2ASPD|3CDMG|1VULN|1AART|1DUR	13ASPD|29aCDMG|4DUR|5AART|6MDPS|7RCR|8VULN
101	11116 65332	   	198.35	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	1FEWX|2DMSP|36VULN|4ZMB|5ASPD|7DUR|8RCR|9aAART
102	13116 65332	   	198.35	DCR|2VULN|2AART|1ASPD|1ZMB|1DUR	12FEWX|36VULN|4ZMB|5ASPD|7DUR|8RCR|9aAART
103	46212 35222	 * 	198.35	ACR|3VULN|1MDPS|2DMG|1ASPD|2DUR|2ZMB	1MDPS|29ZMB|369VULN|4RCR|56DMG|69BPWR|7MLV|89DUR|aASPD
104	46212 31222	   	198.25	ACR|3VULN|1MDPS|2DMG|1ASPD|2ZMB|2DUR	1MDPS|29ZMB|369VULN|4RCR|56DMG|69BPWR|7ERES|89DUR|aASPD
105	21143 15142	   	198.00	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	12ASPD|3FEWX|4CDMG|5AART|6MDPS|7DUR|8VULN|9DMG|aRCR
106	21243 15142	   	198.00	DCR|1MDPS|2ASPD|1VULN|1AART|1DMG|1CDMG|1DUR	12ASPD|3BEXP|4CDMG|5AART|6MDPS|7DUR|8VULN|9DMG|aRCR
107	51132 21416	 * 	197.96	DCR|2VULN|2AART|1ASPD|1CDMG	15AME|2ASPD|34VULN|6CDMG|7RCR|8aAART|9MLV
108	22143 31552	 * 	197.90	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	16ASPD|23BEXP|4CDMG|5AART|7RCR|89DMG|aDUR
109	24313 21452	   	197.90	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	13ASPD|2CDMG|4CGEN|59DMG|6MLV|7RCR|8AART|aDUR
110	25131 13634	   	197.90	DCR|3VULN|2ASPD|2DUR|1ZMB	19ASPD|2TLV|349VULN|5FEWX|6CGEN|7RCR|89DUR|9BPWR|aZMB
111	24333 21452	   	197.80	DCR|2DMG|2ASPD|1AART|1CDMG|1DUR	13ASPD|2CDMG|4TLV|59DMG|6MLV|7RCR|8AART|aDUR
112	16241 61132	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|2AIRARM|38VULN|4DMG|5ERES|6ASPD|7AART|9RCR|aCDMG
113	16245 11132	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1FEWX|2AIRARM|38VULN|4DMG|5ASPD|6ERES|7AART|9RCR|aCDMG
114	51132 21424	 * 	197.62	DCR|2VULN|1AART|2CDMG|1ASPD|1DUR	15AME|2ASPD|34VULN|6aCDMG|7RCR|8AART|9DUR
115	41323 22334	   	197.52	DCR|3VULN|1MDPS|1AART|1ASPD|1CDMG|1AAC	1MDPS|234VULN|5DMSP|6ASPD|7AAC|8RCR|9AART|aCDMG
116	41323 22332	   	197.35	DCR|3VULN|2AART|1MDPS|1ASPD|1AAC	1MDPS|234VULN|5DMSP|6ASPD|7AAC|8RCR|9aAART
117	21335 26351	   	197.17	DCR|3ASPD|2VULN|1NUKE|1DUR	124ASPD|38VULN|5ERES|6DUR|7RCR|9NUKE|aCGEN
118	21335 26352	   	197.17	DCR|3ASPD|2VULN|1DMG|1NUKE|1DUR	124ASPD|38VULN|5ERES|6DUR|7RCR|9NUKE|aDMG
119	21335 26353	   	197.17	DCR|3ASPD|2VULN|1NUKE|1DUR	124ASPD|38VULN|5ERES|6DUR|7RCR|9NUKE|aLWND
120	21324 26313	   	197.17	DCR|3VULN|3ASPD|1ZMB	126ASPD|38aVULN|4LHND|5ZMB|7RCR|9LWND
121	21324 26343	   	197.17	DCR|3VULN|3ASPD|1ZMB	126ASPD|38aVULN|4LHND|5ZMB|7RCR|9CGEN
122	21326 36313	   	197.17	DCR|3VULN|3ASPD|1ZMB	125ASPD|38aVULN|4LHND|6ZMB|7RCR|9LWND
123	21326 36343	   	197.17	DCR|3VULN|3ASPD|1ZMB	125ASPD|38aVULN|4LHND|6ZMB|7RCR|9CGEN
124	21331 36313	   	197.17	DCR|3VULN|3ASPD|1ZMB	124ASPD|38aVULN|5LHND|6ZMB|7RCR|9LWND
125	21331 36343	   	197.17	DCR|3VULN|3ASPD|1ZMB	124ASPD|38aVULN|5LHND|6ZMB|7RCR|9CGEN
126	21354 26313	   	197.17	DCR|3VULN|3ASPD|1ZMB	126ASPD|38aVULN|4BEXP|5ZMB|7RCR|9LWND
127	21332 16663	   	197.17	DCR|3VULN|3ASPD|1ZMB	124ASPD|39aVULN|5CGEN|6LWND|7RCR|8ZMB
128	41321 51315	   	197.12	DCR|4VULN|1MDPS|1AART|1DMG|1AAC	1MDPS|2347VULN|5AAC|6DMG|8RCR|9BEXP|aAART
129	41321 51331	   	197.12	DCR|4VULN|1MDPS|1AART|1DMG|1AAC	1MDPS|2347VULN|5AAC|6DMG|8RCR|9AART|aMLV
130	41321 51333	   	197.12	DCR|4VULN|1MDPS|1AART|1DMG|1AAC	1MDPS|2347VULN|5AAC|6DMG|8RCR|9AART|aCGEN
131	41321 51336	   	197.12	DCR|4VULN|1MDPS|1AART|1DMG|1AAC	1MDPS|2347VULN|5AAC|6DMG|8RCR|9AART|aFEWX
132	41321 51335	   	197.02	DCR|4VULN|1MDPS|1AART|1DMG|1AAC|1MSE	1MDPS|2347VULN|5AAC|6DMG|8RCR|9AART|aMSE
133	24353 11114	   	196.86	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG|1DUR	13aASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|9BEXP
134	24353 11134	   	196.86	DCR|3ASPD|1MDPS|1AART|1VULN|1CDMG|1DUR	13aASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|9LHND
135	24353 11153	   	196.86	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG|1DUR	139ASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|aLWND
136	24353 11152	   	196.76	DCR|3ASPD|1MDPS|1VULN|1AART|1CDMG|1DUR|1MSE	139ASPD|2CDMG|4DUR|5AART|6MDPS|7RCR|8VULN|aMSE
137	21354 62223	   	196.49	DCR|3VULN|2ASPD|1CDMG|1ZMB	12ASPD|368VULN|47BEXP|5ZMB|9RCR|aCDMG
138	21332 26621	   	196.31	DCR|3ASPD|2VULN|2DUR|2ZMB	124ASPD|39VULN|5aCGEN|69DUR|7RCR|89ZMB|9BPWR
139	21332 26622	   	196.31	DCR|3ASPD|2VULN|2DUR|2ZMB	124ASPD|39VULN|5CGEN|69DUR|7RCR|89ZMB|9BPWR|aBEXP
140	21332 26624	   	196.21	DCR|3ASPD|2VULN|2DUR|2ZMB	124ASPD|39VULN|5CGEN|69DUR|7RCR|89ZMB|9BPWR|aTLV
141	21335 26621	   	196.21	DCR|3ASPD|2VULN|2ZMB|2DUR	124ASPD|39VULN|5ERES|69DUR|7RCR|89ZMB|9BPWR|aCGEN
142	21335 26623	   	196.21	DCR|3ASPD|2VULN|2DUR|2ZMB	124ASPD|39VULN|5ERES|69DUR|7RCR|89ZMB|9BPWR|aLWND
143	51115 25332	   	196.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1AME|26ASPD|3VULN|4ZMB|5DMG|7DUR|8RCR|9AART|aBELT
144	51115 25333	   	196.18	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1AME|26ASPD|3VULN|4ZMB|5DMG|7DUR|8RCR|9AART|aLIT
145	22143 31562	   	196.12	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	16ASPD|23BEXP|4CDMG|5AART|7RCR|8DMG|9VULN|aRCVC
146	51142 21431	   	196.11	DCR|2VULN|2ASPD|1AART|1CDMG	15AME|24ASPD|3aVULN|6CDMG|7RCR|8AART|9LIT
147	51115 25331	   	196.08	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1AME|26ASPD|3VULN|4ZMB|5DMG|7DUR|8RCR|9AART|aBASFIG
148	21323 16315	   	196.01	DCR|2VULN|2ASPD|1AART|1CDMG	12ASPD|39VULN|46LHND|5CDMG|7RCR|8TLV|aAART
149	22321 31614	 * 	195.95	DCR|3VULN|2ASPD|1AART|1AAC	18ASPD|2BEXP|378VULN|48CGEN|5AAC|6RMIN|8BPWR|9AART|aRCR
150	22531 31614	   	195.95	DCR|3VULN|2ASPD|1AART|1AAC	18ASPD|2BEXP|38CGEN|478VULN|5AAC|6RMIN|8BPWR|9AART|aRCR
151	23531 31614	   	195.95	DCR|3VULN|2ASPD|1AART|1AAC	18ASPD|2FEWX|38CGEN|478VULN|5AAC|6RMIN|8BPWR|9AART|aRCR
152	23451 32153	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3AART|47VULN|5CGEN|6LHND|8CDMG|9DMG|aRCR
153	23533 32153	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2FEWX|3CGEN|47VULN|5AART|6LHND|8CDMG|9DMG|aRCR
154	51433 32153	   	195.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2ASPD|3FEWX|47VULN|5AART|6LHND|8CDMG|9DMG|aRCR
155	21342 61431	   	195.91	DCR|2VULN|2ASPD|1AART|1CDMG	12ASPD|3aVULN|4CDMG|56ERES|7RCR|8AART|9LIT
156	51164 11311	   	195.83	DCR|2VULN|2DMG|2ASPD|1AAC	1aAME|2aASPD|37VULN|4LIT|5DMSP|6RCR|8aDMG|9AAC|aBPWR
157	51633 21431	   	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1AME|24ASPD|3DMG|5CDMG|6aMLV|7RCR|8AART|9VULN
158	51633 21432	   	195.79	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1AME|24ASPD|3DMG|5CDMG|6MLV|7RCR|8AART|9VULN|aLWND
159	24313 21431	   	195.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	13ASPD|2CDMG|4CGEN|5DMG|6aMLV|7RCR|8AART|9VULN
