0	Index      	 *	Score 	Summary	Detail	
1	33633 24324	 * 	197.58	DCR|4VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689aVULN|7RCR|9BPWR
12	33633 24323	   	183.47	DCR|3VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689VULN|7RCR|9BPWR|aLIT
13	33633 24325	   	183.47	DCR|3VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689VULN|7RCR|9BPWR|aLWND
14	34123 31135	 * 	183.47	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB|1DUR	1DMSP|24AART|3DMG|5ZMB|69VULN|7DUR|8CDMG|aRCR
15	33633 24326	   	183.37	DCR|3VULN|3DMG|2ZMB	1DMSP|259DMG|3SNIHEL|49ZMB|689VULN|7RCR|9BPWR|aDLOT
16	22622 31235	 * 	183.37	ACR|3VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|39aVULN|4DUST|5aASPD|68AART|7aDUR|aBPWR
17	33125 12412	   	182.27	DCR|3DMG|2VULN|1AART|1ZMB	1DMSP|248DMG|35VULN|6AART|7LIT|9ZMB|aRCR
18	22633 62315	 * 	182.19	ACR|2VULN|2DMG|1AART|2ASPD	1RPLT|2RCR|3aVULN|4RMIN|5BEXP|6aDMG|7RCVC|8aASPD|9AART|aBPWR
19	33123 42135	   	180.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DMSP|24DMG|39VULN|5AART|6LHND|7CDMG|8ZMB|aRCR
20	33123 44135	   	180.87	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DMSP|24DMG|39VULN|5AART|6LHND|7ZMB|8CDMG|aRCR
21	33123 64135	   	180.77	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	1DMSP|24DMG|39VULN|5AART|6DUST|7ZMB|8CDMG|aRCR
22	33633 14335	   	179.52	DCR|3VULN|3DMG|1ZMB	1DMSP|25aDMG|3aSNIHEL|4ZMB|6FEWX|7RCR|89aVULN|aBPWR
23	22652 33315	 * 	179.51	ACR|4VULN|1AART|2DUR|1ASPD	1RPLT|2RCR|378aVULN|4ASPD|5aDUR|6AART|9aLWND|aBPWR
24	22652 33335	   	179.31	ACR|4VULN|1AART|2DUR|1ASPD	1RPLT|2RCR|378aVULN|4ASPD|5aDUR|6AART|9aDUST|aBPWR
25	51215 53232	   	178.07	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1aVULN|2CGEN|36DMG|4ERES|5RCR|7AART|8ASPD|9ZMB
26	22632 33324	   	177.63	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2RCR|378VULN|4RMIN|5DUR|6AART|9CDMG|aZMB
27	22145 13324	   	177.53	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	1RPLT|2RCR|3DUR|478VULN|5ERES|6AART|9CDMG|aZMB
28	51111 16234	 * 	177.38	DCR|2VULN|2DMG|1AART|2CDMG	19VULN|2CGEN|3AART|4RPLT|59DMG|6DUST|7ERES|89CDMG|9BPWR|aRCR
29	22141 37417	   	177.35	ACR|3VULN|2DMG|2DUR|1ASPD	1RPLT|2RCR|39DUR|49aVULN|5BEXP|6MBVNT|7ASPD|89DMG|9BPWR
30	34133 12135	   	177.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1DMSP|2AART|3DMG|46DUR|5ZMB|79VULN|8CDMG|aRCR
31	33123 15621	   	177.02	DCR|3DMG|1AART|1VULN|1ZMB|1ASPD	1DMSP|249DMG|3VULN|5AART|6LIT|7ASPD|8RCR|aZMB
32	33151 66312	 * 	176.99	ACR|3VULN|2DMG|3CDMG	1DMSP|2aDMG|367VULN|468CDMG|5RCR|6BPWR|9LWND
33	33151 66332	   	176.99	ACR|3VULN|2DMG|3CDMG	1DMSP|2aDMG|367VULN|468CDMG|5RCR|6BPWR|9LHND
34	22653 31235	   	176.85	ACR|3VULN|2AART|2DUR|1ASPD	1RPLT|2RCR|39aVULN|4ASPD|5aBEXP|68AART|7aDUR|aBPWR
35	33123 26135	   	176.80	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DMSP|24DMG|39VULN|5AART|6DUR|7RMIN|8CDMG|aRCR
36	33123 31135	   	176.70	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	1DMSP|24DMG|39VULN|5AART|6TLV|7DUR|8CDMG|aRCR
37	54233 22224	   	176.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aDUR
38	33151 66222	   	176.56	ACR|3VULN|1AART|1DMG|2CDMG	1DMSP|2DMG|367VULN|46CDMG|5RCR|6BPWR|8MGNLIT|9BEXP|aAART
39	34123 36135	   	176.53	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMSP|24AART|3DMG|5ZMB|69VULN|7LWND|8CDMG|aRCR
40	33151 66212	   	176.46	ACR|3VULN|1AART|1DMG|2CDMG	1DMSP|2DMG|367VULN|46CDMG|5RCR|6BPWR|8MGNLIT|9DUST|aAART
41	34121 34135	   	176.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMSP|24AART|3DMG|5DUST|69VULN|7ZMB|8CDMG|aRCR
42	34123 35135	   	176.43	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1DMSP|24AART|3DMG|5ZMB|69VULN|7DUST|8CDMG|aRCR
43	34246 44114	   	176.26	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|2AART|37VULN|4aDMG|5MBVNT|6CDMG|8RCR|9ERES
44	33125 11141	   	176.07	DCR|3DMG|2VULN|1AART	1DMSP|249DMG|35VULN|6AART|7RPLT|8RCR|aMLV
45	33125 11142	   	176.07	DCR|3DMG|2VULN|1AART	1DMSP|249DMG|35VULN|6AART|7RPLT|8RCR|aLIT
46	33125 11143	   	176.07	DCR|3DMG|2VULN|1AART	1DMSP|249DMG|35VULN|6AART|7RPLT|8RCR|aLHND
47	33125 11144	   	176.07	DCR|3DMG|2VULN|1AART	1aDMSP|249DMG|35VULN|6AART|7RPLT|8RCR
48	33125 11146	   	176.07	DCR|3DMG|2VULN|1AART	1DMSP|249DMG|35VULN|6AART|7RPLT|8RCR|aRMIN
49	33126 14341	 * 	175.99	ACR|3DMG|2VULN|1AART	1DMSP|24aDMG|3aVULN|5RCR|6BEXP|7AART|8ERES|9aLIT|aBPWR
50	33126 24341	   	175.99	ACR|3DMG|2VULN|1AART	1DMSP|24aDMG|3aVULN|5RCR|6LWND|7AART|8ERES|9aLIT|aBPWR
51	34133 62135	 * 	175.87	DCR|2VULN|1AART|1DMG|2ZMB|1CDMG|1DUR	1DMSP|2AART|3DMG|4DUR|56ZMB|79VULN|8CDMG|aRCR
52	54241 11333	 * 	175.43	DCR|3VULN|2DMG|2CDMG	17aVULN|2MGNLIT|3aDMG|49RMIN|5BELT|6RCR|8aCDMG|aBPWR
53	22141 37414	   	175.35	ACR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1RPLT|2RCR|39DUR|49VULN|5BEXP|6MBVNT|7ASPD|89DMG|9BPWR|aCDMG
54	22146 37414	   	175.35	ACR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1RPLT|2RCR|39DUR|49VULN|5FEWX|6MBVNT|7ASPD|89DMG|9BPWR|aCDMG
55	54233 21215	   	175.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7LHND|8RCR|9CDMG|aDUR
56	54233 22215	   	174.92	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9LEGI|aDUR
57	33126 12616	   	174.79	ACR|3DMG|2VULN|1AART	1DMSP|24aDMG|3aVULN|5RCR|6aBEXP|7MBVNT|8RPLT|9AART|aBPWR
58	51215 51212	   	174.59	ACR|3VULN|2DMG|1AART	178VULN|2CGEN|36DMG|4ERES|5RCR|9AART|aMGNLIT
59	51215 51213	   	174.49	ACR|3VULN|2DMG|1AART	178VULN|2CGEN|36DMG|4ERES|5RCR|9AART|aBASHEA
60	35112 53224	 * 	174.35	ACR|3VULN|1AART|1DMG|2ASPD	1DMSP|2aCGEN|39aVULN|4RCR|5ERES|6DMG|7AART|8aASPD|aBPWR
61	33434 12336	 * 	174.05	DCR|3DMG|2VULN|1FLTHEA|2DUR	13DMSP|28aDMG|4DLOT|5FLTHEA|6aVULN|7aDUR|9RCR|aBPWR
62	22142 33352	   	174.01	ACR|4VULN|1AART|1ASPD|1DUR	1RPLT|2RCR|3DUR|478aVULN|5ASPD|6AART|9LIT
63	22652 33352	   	174.01	ACR|4VULN|1AART|1ASPD|1DUR	1RPLT|2RCR|378aVULN|4ASPD|5DUR|6AART|9LIT
64	51151 22235	   	173.83	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|2CGEN|3AART|46aDMG|5CANHEL|7CDMG|8RCR|9LWND
65	22622 33315	 * 	173.79	ACR|4VULN|1AART|2ASPD	1RPLT|2RCR|378aVULN|4DUST|5aASPD|6AART|9aLWND|aBPWR
66	22622 33535	   	173.79	ACR|4VULN|1AART|2ASPD	1RPLT|2RCR|379aVULN|4DUST|5aASPD|6AART|8aLHND|aBPWR
67	51151 22215	   	173.73	DCR|3DMG|1AART|1VULN|1CDMG	1VULN|2CGEN|3AART|46aDMG|5CANHEL|7CDMG|8RCR|9LEGI
68	22142 33321	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9CDMG|aDMSP
69	22142 33322	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9CDMG|aBELT
70	22142 33323	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9CDMG|aFEWX
71	22142 33324	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9CDMG|aRMIN
72	22142 33326	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1aRPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9CDMG
73	22652 33321	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|378VULN|4ASPD|5DUR|6AART|9CDMG|aDMSP
74	22652 33322	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|378VULN|4ASPD|5DUR|6AART|9CDMG|aBELT
75	22652 33323	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|378VULN|4ASPD|5DUR|6AART|9CDMG|aFEWX
76	22652 33324	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|378VULN|4ASPD|5DUR|6AART|9CDMG|aRMIN
77	22652 33326	   	173.56	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1aRPLT|2RCR|378VULN|4ASPD|5DUR|6AART|9CDMG
78	54233 22222	 * 	173.54	DCR|2DMG|1AART|1VULN|2ZMB|1CDMG	1VULN|2MGNLIT|36DMG|4aZMB|5AART|7CDMG|8RCR|9RCVC
79	13651 63321	 * 	173.53	ACR|2VULN|2DMG|1CDMG|1FLTHEA|1ZMB	12FEWX|3ZMB|4CDMG|5RCR|6FLTHEA|79DMG|8aVULN
80	32351 63321	   	173.53	ACR|2VULN|2DMG|1FLTHEA|1CDMG|1ZMB	1DMSP|2LHND|3ZMB|4CDMG|5RCR|6FLTHEA|79DMG|8aVULN
81	33351 63521	   	173.53	ACR|2VULN|2DMG|1FLTHEA|1CDMG|1ZMB	1DMSP|27DMG|3LWND|4CDMG|5RCR|6FLTHEA|8aVULN|9ZMB
82	33151 66313	 * 	173.50	ACR|4VULN|3CDMG|1DMG	1DMSP|2DMG|367aVULN|468CDMG|5RCR|6BPWR|9LWND
83	33151 66333	   	173.50	ACR|4VULN|3CDMG|1DMG	1DMSP|2DMG|367aVULN|468CDMG|5RCR|6BPWR|9LHND
84	22142 33325	   	173.46	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9CDMG|aDUST
85	22142 33365	   	173.46	ACR|3VULN|1AART|1CDMG|1DUR|1ASPD	1RPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9TLV|aCDMG
86	22652 33325	   	173.46	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1RPLT|2RCR|378VULN|4ASPD|5DUR|6AART|9CDMG|aDUST
87	16252 12162	   	173.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1FEWX|2LIT|3DMG|456VULN|7AART|8DUR|9RCR|aZMB
88	33126 33462	   	172.85	ACR|3DMG|2VULN|2CDMG	1DMSP|24aDMG|3aVULN|5RCR|6ERES|7CGEN|8RCVC|9aCDMG|aBPWR
89	51421 13324	   	172.83	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	178VULN|2CGEN|3DUR|4RCR|5RPLT|6AART|9CDMG|aZMB
90	22141 37411	   	172.70	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1RPLT|2RCR|39DUR|49VULN|5BEXP|6MBVNT|7ASPD|89DMG|9BPWR|aZMB
91	22146 37411	   	172.70	ACR|2VULN|2DMG|2DUR|1ZMB|1ASPD	1RPLT|2RCR|39DUR|49VULN|5FEWX|6MBVNT|7ASPD|89DMG|9BPWR|aZMB
92	22632 33315	   	172.57	ACR|4VULN|1AART|2DUR	1RPLT|2RCR|378aVULN|4RMIN|5aDUR|6AART|9aLWND|aBPWR
93	22632 33355	   	172.57	ACR|4VULN|1AART|2DUR	1RPLT|2RCR|378aVULN|4RMIN|5aDUR|6AART|9aLHND|aBPWR
94	33151 61531	   	172.41	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1DMSP|2DMG|36VULN|46CDMG|5RCR|6BPWR|7LIT|8MBVNT|9AART|aZMB
95	22632 33335	   	172.37	ACR|4VULN|1AART|2DUR	1RPLT|2RCR|378aVULN|4RMIN|5aDUR|6AART|9aDUST|aBPWR
96	22632 33346	   	172.37	ACR|4VULN|1AART|2DUR	1RPLT|2RCR|378aVULN|4RMIN|5aDUR|6AART|9MBVNT|aBPWR
97	34241 31135	   	172.36	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DMSP|25AART|39VULN|4DMG|6TLV|7DUR|8CDMG|aRCR
98	54137 23111	   	172.34	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	19VULN|2MGNLIT|3MBVNT|4ASPD|5RCR|6DMG|7CDMG|8ZMB|aAART
99	22142 33315	   	172.02	ACR|3VULN|1AART|2ASPD|2DUR	1RPLT|2RCR|3aDUR|478VULN|5aASPD|6AART|9aLWND|aBPWR
100	51215 23224	   	171.95	ACR|3VULN|1AART|1DMG|2ASPD	19aVULN|2aCGEN|3DMG|4ERES|5RCR|6DMSP|7AART|8aASPD|aBPWR
101	33633 24162	   	171.92	DCR|2VULN|2DMG|1AART|1ZMB	1DMSP|25DMG|3SNIHEL|4ZMB|6aVULN|7RCR|8MLV|9AART
102	22142 33335	   	171.82	ACR|3VULN|1AART|2ASPD|2DUR	1RPLT|2RCR|3aDUR|478VULN|5aASPD|6AART|9aDUST|aBPWR
103	22622 31635	   	171.82	ACR|3VULN|1AART|2ASPD|2DUR	1RPLT|2RCR|39aVULN|48DUST|5aASPD|6AART|7aDUR|aBPWR
104	32351 63351	 * 	171.60	ACR|3VULN|1DMG|1FLTHEA|1CDMG|1ZMB	1DMSP|2LHND|3ZMB|4CDMG|5RCR|6FLTHEA|7DMG|89aVULN
105	34251 11311	   	171.51	DCR|2AART|2VULN|1DMG|2DUR	1DMSP|25AART|3aVULN|4aCGEN|6LIT|7RCR|8DMG|9aDUR|aBPWR
106	22142 33452	   	171.36	ACR|3VULN|2AART|1ASPD|1DUR	1RPLT|2RCR|3DUR|47aVULN|5ASPD|69AART|8LIT
107	22662 13235	   	171.23	ACR|3VULN|2AART|2ASPD	1RPLT|2RCR|39aVULN|4LHND|5aASPD|68AART|7aBEXP|aBPWR
108	51153 23234	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2CGEN|3AART|49DMG|5CDMG|6BEXP|7RPLT|89TLV|9BPWR|aRCR
109	51153 23334	   	171.06	DCR|2VULN|2DMG|1AART|1CDMG	19VULN|2CGEN|3AART|49DMG|5CDMG|6BEXP|7RPLT|89ERES|9BPWR|aRCR
110	22662 12235	   	171.03	ACR|3VULN|2AART|2ASPD	1RPLT|2RCR|39aVULN|4LHND|5aASPD|68AART|7aDUST|aBPWR
111	33126 33662	   	170.95	ACR|3DMG|2VULN|2CDMG	1DMSP|24aDMG|3aVULN|5RCR|6ERES|78CGEN|9aCDMG|aBPWR
112	22145 13234	   	170.93	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RPLT|2RCR|3DUR|47VULN|5ERES|6AART|8CDMG|9LSRICY|aDMG
113	35112 51211	   	170.85	ACR|3VULN|2AART|1DMG	1DMSP|2CGEN|378VULN|4RCR|5ERES|6DMG|9aAART
114	22142 14352	   	170.82	ACR|3VULN|1AART|2ASPD|2DUR	1RPLT|2RCR|37DUR|47aVULN|57ASPD|6DMSP|7BPWR|8AART|9LIT
115	22142 33364	   	170.82	ACR|3VULN|1AART|1ZMB|1DUR|1ASPD	1RPLT|2RCR|3DUR|478VULN|5ASPD|6AART|9TLV|aZMB
116	32324 51225	   	170.81	DCR|3DMG|2VULN|1ZMB|1ASPD	1DMSP|2LHND|3ZMB|468DMG|59VULN|7RCR|aASPD
117	33633 24331	   	170.71	DCR|3VULN|2DMG|1ZMB|1ASPD	1DMSP|25DMG|3SNIHEL|4ZMB|68aVULN|7RCR|9ASPD
118	13331 45114	 * 	170.69	DCR|2DMG|1VULN|2CDMG|2ZMB|1FLTHEA	123FEWX|38BPWR|48DMG|58CDMG|6RCR|78ZMB|9FLTHEA|aVULN
119	33126 22258	 * 	170.65	ACR|3DMG|1AART|1VULN|1CDMG	1DMSP|248DMG|3VULN|5RCR|6LWND|7MBVNT|9AART|aCDMG
120	22622 51235	   	170.53	ACR|3VULN|2AART|2ASPD	1RPLT|2RCR|39aVULN|4DUST|5aASPD|6aBEXP|78AART|aBPWR
121	22625 13324	   	170.49	ACR|3VULN|1AART|1CDMG|1ZMB	1RPLT|2RCR|378VULN|4DUST|5ERES|6AART|9CDMG|aZMB
122	53342 61333	   	170.42	DCR|3VULN|2DMG|1CDMG|1ZMB	156VULN|29LHND|3CDMG|46DMG|6BPWR|7LIT|8ZMB|aRCR
123	35112 51215	   	170.40	ACR|3VULN|1AART|1DMG|1ZMB	1DMSP|2CGEN|378VULN|4RCR|5ERES|6DMG|9AART|aZMB
124	33126 33211	   	170.38	ACR|2VULN|2DMG|2AART	1DMSP|24DMG|38VULN|5RCR|6ERES|7CGEN|9aAART
125	34523 31135	   	170.34	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR|1ASPD	1DMSP|24AART|3ASPD|5ZMB|69VULN|7DUR|8CDMG|aRCR
126	33123 24125	   	170.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1DMSP|24DMG|3VULN|5AART|6DUR|7ZMB|8CDMG|9FEWX|aRCR
127	33123 11621	   	170.08	DCR|3DMG|1AART|1VULN|1ZMB	1DMSP|249DMG|3VULN|5AART|6LIT|7RMIN|8RCR|aZMB
128	33123 14621	   	169.98	DCR|3DMG|1AART|1VULN|1ZMB	1DMSP|249DMG|3VULN|5AART|6LIT|7NUKE|8RCR|aZMB
129	33126 33215	   	169.94	ACR|2VULN|2DMG|1AART|1ZMB	1DMSP|24DMG|38VULN|5RCR|6ERES|7CGEN|9AART|aZMB
130	22633 31235	   	169.92	ACR|3VULN|2AART|2DUR	1RPLT|2RCR|39aVULN|4RMIN|5aBEXP|68AART|7aDUR|aBPWR
131	33123 46135	   	169.86	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|24DMG|39VULN|5AART|6LHND|7RMIN|8CDMG|aRCR
132	35112 51262	   	169.86	ACR|4VULN|1DMG|2CDMG	1DMSP|2aCGEN|378aVULN|4RCR|5ERES|6DMG|9aCDMG|aBPWR
133	33123 36135	   	169.76	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|24DMG|39VULN|5AART|6TLV|7LWND|8CDMG|aRCR
134	33123 66135	   	169.76	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|24DMG|39VULN|5AART|6DUST|7RMIN|8CDMG|aRCR
135	51153 21336	   	169.72	DCR|2AART|2VULN|1DMG|1CDMG	1aVULN|2CGEN|39AART|4DMG|5CDMG|6BEXP|7LWND|8RCR
136	54233 22225	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aRPLT
137	54233 22226	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aLWND
138	54243 22222	   	169.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4RMIN|5AART|7CDMG|8RCR|9RCVC|aZMB
139	33123 35135	   	169.66	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|24DMG|39VULN|5AART|6TLV|7DUST|8CDMG|aRCR
140	51153 11336	   	169.62	DCR|2AART|2VULN|1DMG|1CDMG	1aVULN|2CGEN|39AART|4DMG|5CDMG|6DUST|7LWND|8RCR
141	54233 43333	   	169.62	DCR|2VULN|2DMG|1AART|1ZMB	17VULN|2MGNLIT|38DMG|4ZMB|5AART|6CGEN|9RCR|aBEXP
142	54233 22221	   	169.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aDUST
143	54233 22223	   	169.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1VULN|2MGNLIT|36DMG|4ZMB|5AART|7CDMG|8RCR|9RCVC|aLEGI
144	54233 43331	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	17VULN|2MGNLIT|38DMG|4ZMB|5AART|6CGEN|9RCR|aERES
145	54233 43332	   	169.52	DCR|2VULN|2DMG|1AART|1ZMB	17VULN|2MGNLIT|38DMG|4ZMB|5AART|6CGEN|9RCR|aTLV
146	33151 61421	 * 	169.45	ACR|2VULN|3CDMG|1AART|1DMG	1DMSP|2DMG|36VULN|46aCDMG|5RCR|6BPWR|7LIT|8RCVC|9AART
147	22634 21631	   	169.44	ACR|4VULN|1AART|1ZMB	1RPLT|2RCR|3678VULN|4RMIN|58LIT|8BPWR|9AART|aZMB
148	53331 34214	   	169.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aVULN|2LHND|3CDMG|4AART|5FEWX|6RCR|7DMG|8DUR|9BELT
149	54137 41214	 * 	169.35	ACR|2VULN|1AART|1DMG|2ZMB|2ASPD	18VULN|2MGNLIT|3MBVNT|48ASPD|5RCR|68ZMB|7BELT|8BPWR|9DMG|aAART
150	22634 21431	   	169.34	ACR|4VULN|1AART|1ZMB	1RPLT|2RCR|3678VULN|4RMIN|5LIT|9AART|aZMB
151	22622 31215	   	169.32	ACR|2VULN|2AART|2ASPD|2DUR	1RPLT|2RCR|3aVULN|4DUST|5aASPD|68AART|7aDUR|9RCVC|aBPWR
152	22632 51235	   	169.32	ACR|3VULN|2AART|2DUR	1RPLT|2RCR|39aVULN|4RMIN|5aDUR|6aBEXP|78AART|aBPWR
153	33126 14632	   	169.30	ACR|3DMG|1AART|1VULN|1ZMB	1DMSP|24aDMG|3VULN|5RCR|6BEXP|7AART|8ZMB|9BELT
154	33151 24135	   	169.27	ACR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1DMSP|27DMG|3aVULN|47CDMG|5RCR|67LWND|7BPWR|8DUR|9ASPD
155	33125 12354	   	169.26	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|24DMG|35VULN|6AART|7LIT|8CDMG|9RMIN|aRCR
156	33125 12364	   	169.26	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|24DMG|35VULN|6AART|7LIT|8CDMG|9MLV|aRCR
157	22652 31315	 * 	169.22	ACR|3VULN|1AART|3DUR|1ASPD	1RPLT|2RCR|38aVULN|4ASPD|57aDUR|6AART|9aLWND|aBPWR
158	33125 12334	   	169.16	DCR|2VULN|2DMG|1AART|1CDMG	1DMSP|24DMG|35VULN|6AART|7LIT|8CDMG|9ERES|aRCR
159	22652 31335	   	169.02	ACR|3VULN|1AART|3DUR|1ASPD	1RPLT|2RCR|38aVULN|4ASPD|57aDUR|6AART|9aDUST|aBPWR
160	33151 25431	 * 	168.94	ACR|2VULN|2DMG|3ASPD|1CDMG	1DMSP|2aDMG|3aVULN|4CDMG|5RCR|68LWND|79aASPD|aBPWR
161	22142 14321	 * 	168.81	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	1RPLT|2RCR|37DUR|47VULN|57ASPD|6aDMSP|7BPWR|8AART|9CDMG
162	22142 14322	   	168.81	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	1RPLT|2RCR|37DUR|47VULN|57ASPD|6DMSP|7BPWR|8AART|9CDMG|aBELT
163	22142 14323	   	168.81	ACR|2VULN|1AART|2ASPD|1CDMG|2DUR	1RPLT|2RCR|37DUR|47VULN|57ASPD|6DMSP|7BPWR|8AART|9CDMG|aFEWX
