0	Index      	 *	Score 	Summary	Detail	
1	21223 24625	 * 	193.04	ACR|3VULN|2DMG|1AART|1CDMG	1LSRHEA|2BEXP|39aVULN|4RCR|5AART|67DMG|8CDMG
33	33322 33324	   	173.07	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|256VULN|3FEWX|4DUR|7DMG|8AART|9CDMG|aRCR
34	21223 24561	 * 	173.05	ACR|2DMG|1AART|1VULN|2CDMG|1DUR	1LSRHEA|2BEXP|3VULN|4RCR|5AART|67DMG|8DUR|9aCDMG
35	63122 51252	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|28VULN|3ERES|4RPLT|5AART|6RCR|7DMG|9ZMB|aCDMG
36	66333 31412	   	172.08	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RPLT|3CDMG|4ZMB|5DMG|6RCR|7RCVC|89VULN|aAART
37	66333 33212	   	171.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RPLT|3CDMG|4ZMB|5DMG|6RCR|79VULN|8RCVC|aAART
38	26225 42333	   	171.73	ACR|3VULN|1AART|1DMG|2DUR	18LSRHEA|2LWND|38aVULN|4RCR|5FEWX|6DMG|78DUR|8BPWR|9AART
39	33114 61242	   	171.67	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|27VULN|3ERES|46DMG|5AART|8RCVC|9CDMG|aRCR
40	23225 42333	   	171.63	ACR|3VULN|1AART|1DMG|2DUR	18LSRHEA|2LEGI|38aVULN|4RCR|5FEWX|6DMG|78DUR|8BPWR|9AART
41	21123 24625	 * 	171.24	ACR|2AART|2DMG|1VULN|1CDMG	1LSRHEA|2BEXP|3FEWX|4RCR|5aAART|67DMG|8CDMG|9VULN
42	21123 26623	   	171.24	ACR|2AART|2VULN|1DMG|1CDMG	1LSRHEA|2BEXP|3FEWX|4RCR|57AART|6DMG|8CDMG|9aVULN
43	21223 23563	   	171.14	ACR|2AART|2VULN|1DMG|1CDMG	1LSRHEA|2BEXP|3aVULN|4RCR|58AART|6DMG|7DUST|9CDMG
44	21223 24265	   	171.14	ACR|2AART|2DMG|1VULN|1CDMG	1LSRHEA|2BEXP|3VULN|4RCR|5aAART|67DMG|8DUST|9CDMG
45	63253 13432	   	170.92	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|23VULN|4RCVC|57DMG|6ZMB|8AART|9RCR|aFEWX
46	21223 14615	 * 	170.90	ACR|2DMG|1AART|1VULN|2ASPD|1ZMB	1LSRHEA|2aBEXP|3VULN|4RCR|5AART|6ZMB|7aDMG|8FEWX|9aASPD|aBPWR
47	21223 14263	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|6ZMB|7DMG|8MLV|9CDMG
48	21223 16233	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|6ZMB|7CDMG|8DMG|9RMIN
49	21223 25263	   	170.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|6DMG|7ZMB|8MLV|9CDMG
50	21223 24535	   	170.77	ACR|2VULN|2DMG|1AART|1DUR	1aLSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8DUR|9aLWND|aBPWR
51	63122 51243	   	170.72	DCR|3VULN|1AART|1DMG|1ASPD	1BEXP|28aVULN|3ERES|4RPLT|5AART|6RCR|7DMG|9ASPD
52	21223 14333	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|39VULN|4RCR|5AART|6ZMB|7DMG|8BASICY|aCDMG
53	21223 25333	   	170.70	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|39VULN|4RCR|5AART|6DMG|7ZMB|8BASICY|aCDMG
54	21223 24353	   	170.67	ACR|2VULN|2DMG|1AART|1ASPD	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8MLV|9ASPD
55	21223 24523	   	170.67	ACR|2VULN|2DMG|1AART|1DUR	1LSRHEA|29BEXP|3aVULN|4RCR|5AART|67DMG|8DUR
56	21223 23615	   	170.57	ACR|2VULN|2DMG|1AART|1ASPD	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|69DMG|7DUST|8ASPD
57	36313 35513	   	170.46	DCR|2VULN|2DMG|1AART|1CDMG	1LWND|2RPLT|3CDMG|47DMG|5FEWX|6aVULN|8AART|9RCR
58	21226 21233	   	170.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|3aVULN|4RCR|5CDMG|6AART|7ZMB|8DMG|9RMIN
59	21226 24263	   	170.20	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|3aVULN|4RCR|5CDMG|6AART|7RMIN|8DMG|9ZMB
60	16354 16412	   	170.01	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1ASPD	1CGEN|2DMG|3DUR|4MBVNT|5aVULN|6AART|7RCR|8ZMB|9ASPD
61	66631 31233	   	169.90	ACR|3DMG|1AART|1VULN|1ZMB	1BEXP|2RPLT|3LHND|478DMG|5RCR|6AART|9ZMB|aVULN
62	66333 33631	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|2RPLT|3CDMG|4ZMB|5DMG|6RCR|79VULN|8MLV|aAART
63	66333 32412	   	169.88	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|27RPLT|3CDMG|4ZMB|5DMG|6RCR|89VULN|aAART
64	16351 16314	   	169.85	DCR|2VULN|2DMG|1AART|1DUR	19aCGEN|2aDMG|3DUR|4MBVNT|5BEXP|6AART|7RCR|8aVULN|aBPWR
65	33114 51242	   	169.73	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|267VULN|3ERES|4DMG|5AART|8RCVC|9CDMG|aRCR
66	63122 51242	   	168.71	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1BEXP|28VULN|3ERES|4RPLT|5AART|6RCR|7DMG|9ASPD|aCDMG
67	21223 24121	   	168.60	ACR|2AART|2DMG|1VULN|1ZMB	1LSRHEA|2BEXP|3VULN|4RCR|59AART|67DMG|8DMSP|aZMB
68	21223 24421	   	168.60	ACR|2AART|2DMG|1VULN|1ZMB	1LSRHEA|28BEXP|3VULN|4RCR|59AART|67DMG|aZMB
69	33251 31513	   	168.53	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|23aVULN|4CDMG|5RPLT|6DMG|7FEWX|8AART|9RCR
70	33251 35513	   	168.53	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|23aVULN|4CDMG|5RPLT|6DMG|7BEXP|8AART|9RCR
71	21226 22363	   	168.52	ACR|2VULN|2AART|1CDMG|1ZMB|1DUR	1LSRHEA|2BEXP|3aVULN|4RCR|5CDMG|67AART|8DUR|9ZMB
72	16354 16421	   	168.36	DCR|2VULN|1AART|1DMG|2DUR|1ZMB	1CGEN|2DMG|3aDUR|4MBVNT|59VULN|6AART|7RCR|8ZMB
73	21223 24643	   	168.34	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRHEA|2BEXP|3VULN|4RCR|5AART|67DMG|8CDMG|9RCVC|aASPD
74	23225 66331	   	168.27	ACR|2VULN|2DMG|1AART|1DUR	18LSRHEA|2LEGI|38VULN|4RCR|5FEWX|6DUR|78DMG|8BPWR|9AART|aBEXP
75	63243 13432	   	167.82	DCR|2VULN|2DMG|1AART|1ZMB	14BEXP|23VULN|57DMG|6ZMB|8AART|9RCR|aFEWX
76	16353 18414	   	167.26	DCR|2VULN|2DMG|1AART|1DUR	1aCGEN|2aDMG|3DUR|4MBVNT|5FEWX|6AART|7RCVC|8aVULN|9RCR|aBPWR
77	33211 12624	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|237VULN|4DUST|5BEXP|6AART|8DMG|9CDMG|aRCR
78	63212 12624	   	167.23	DCR|3VULN|1AART|1DMG|1CDMG	1BEXP|237VULN|4DUST|5LWND|6AART|8DMG|9CDMG|aRCR
79	33144 31363	   	167.04	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LWND|25VULN|3ERES|4CDMG|6RCR|7ASPD|8DUR|9aDMG
80	33256 31363	   	167.04	DCR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LWND|23VULN|4CDMG|5TLV|6RCR|7ASPD|8DUR|9aDMG
81	21223 26561	 * 	166.91	ACR|2AART|1VULN|1DMG|2CDMG|1DUR	1LSRHEA|2BEXP|3VULN|4RCR|58AART|6DMG|7DUR|9aCDMG
82	21223 42235	   	166.83	ACR|3VULN|2AART|1CDMG	1LSRHEA|2BEXP|37aVULN|4RCR|56AART|8MLV|9CDMG
83	21223 42443	   	166.83	ACR|3VULN|2AART|1CDMG	1LSRHEA|2BEXP|379VULN|4RCR|56AART|8CDMG|aLWND
84	21223 21623	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1LSRHEA|27BEXP|39VULN|4RCR|5AART|6DMG|8CDMG|aASPD
85	21223 24133	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRHEA|2BEXP|3VULN|4RCR|5AART|67DMG|8DMSP|9CDMG|aASPD
86	21223 24433	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1LSRHEA|28BEXP|3VULN|4RCR|5AART|67DMG|9CDMG|aASPD
87	21223 24543	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRHEA|2BEXP|3VULN|4RCR|5AART|67DMG|8DUR|9LIT|aCDMG
88	21223 24562	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRHEA|2aBEXP|3VULN|4RCR|5AART|67DMG|8DUR|9CDMG
89	21123 24563	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRHEA|2BEXP|3FEWX|4RCR|5AART|67DMG|8DUR|9CDMG|aVULN
90	21223 21563	   	166.73	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LSRHEA|27BEXP|3aVULN|4RCR|5AART|6DMG|8DUR|9CDMG
91	21123 24624	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRHEA|2BEXP|3FEWX|4RCR|5AART|67DMG|8CDMG|9VULN|aDUR
92	21123 24643	   	166.73	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRHEA|2BEXP|3FEWX|4RCR|5AART|67DMG|8CDMG|9DUR|aVULN
93	21223 42335	   	166.73	ACR|3VULN|2AART|1CDMG	1LSRHEA|2BEXP|37aVULN|4RCR|56AART|8ERES|9CDMG
94	21223 24264	   	166.63	ACR|2DMG|1AART|1VULN|1CDMG|1DUR	1LSRHEA|2BEXP|3VULN|4RCR|5AART|67DMG|8DUST|9CDMG|aDUR
95	63144 32212	   	166.60	DCR|3VULN|1AART|1CDMG|2DUR	1BEXP|258VULN|3ERES|4CDMG|6RCR|79DUR|aAART
96	21223 16321	   	166.39	ACR|3VULN|1AART|1CDMG|1ZMB	1LSRHEA|2BEXP|39aVULN|4RCR|5AART|6ZMB|7CDMG|8CGEN
97	21223 11625	   	166.39	ACR|3VULN|1AART|1CDMG|1ZMB	1LSRHEA|27BEXP|39aVULN|4RCR|5AART|6ZMB|8CDMG
98	21223 12621	   	166.39	ACR|3VULN|1AART|1CDMG|1ZMB	1LSRHEA|2BEXP|39aVULN|4RCR|5AART|6ZMB|7CGEN|8CDMG
99	21226 22425	   	166.13	ACR|3VULN|2AART|1CDMG	1LSRHEA|2BEXP|39aVULN|4RCR|5CDMG|67AART|8TLV
100	21223 24651	   	166.11	ACR|2DMG|1AART|1VULN|2CDMG	1LSRHEA|2BEXP|3VULN|4RCR|5AART|67DMG|8aCDMG|9LHND
101	21123 24621	   	166.11	ACR|2DMG|1AART|1VULN|2CDMG	1LSRHEA|2BEXP|3FEWX|4RCR|5AART|67DMG|8aCDMG|9VULN
102	21523 24621	   	166.11	ACR|2DMG|1AART|1VULN|2CDMG	1LSRHEA|2BEXP|3LWND|4RCR|5AART|67DMG|8aCDMG|9VULN
103	33213 33324	   	166.03	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|236VULN|4DUST|5FEWX|7DMG|8AART|9CDMG|aRCR
104	33362 33324	   	166.03	DCR|3VULN|1AART|1DMG|1CDMG	1LWND|256VULN|3FEWX|4DUST|7DMG|8AART|9CDMG|aRCR
105	33255 53132	   	166.01	DCR|3VULN|1AART|1CDMG|1ASPD	1LWND|23aVULN|4CDMG|5RCVC|6RCR|7AART|8ASPD|9RPLT
106	21223 24261	   	166.01	ACR|2DMG|1AART|1VULN|2CDMG	1LSRHEA|2BEXP|3VULN|4RCR|5AART|67DMG|8DUST|9aCDMG
107	16354 16314	 * 	165.81	DCR|2DMG|1AART|1VULN|2ASPD|1DUR	1aCGEN|2aDMG|3DUR|4MBVNT|5VULN|6AART|7RCR|8RMIN|9aASPD|aBPWR
108	21226 21321	   	165.79	ACR|3VULN|1AART|1CDMG|1ZMB	1LSRHEA|2BEXP|39aVULN|4RCR|5CDMG|6AART|7ZMB|8CGEN
109	26226 21321	   	165.79	ACR|3VULN|1AART|1CDMG|1ZMB	1LSRHEA|2LWND|39aVULN|4RCR|5CDMG|6AART|7ZMB|8CGEN
110	21221 35344	   	165.74	ACR|3VULN|1AART|1DMG|1ASPD	1LSRHEA|2BEXP|379VULN|4RCR|5MLV|6DMG|8ASPD|aAART
111	23226 21321	   	165.69	ACR|3VULN|1AART|1CDMG|1ZMB	1LSRHEA|2LEGI|39aVULN|4RCR|5CDMG|6AART|7ZMB|8CGEN
112	23222 66342	   	165.42	ACR|3VULN|2DMG|2DUR	18LSRHEA|2LEGI|38aVULN|4RCR|5BEXP|69DUR|78DMG|8BPWR
113	63122 51223	   	165.38	DCR|3VULN|1AART|1DMG	1BEXP|28aVULN|3ERES|4RPLT|5AART|6RCR|7DMG|9RCVC
114	33144 33383	 * 	165.23	DCR|4VULN|1DMG|1CDMG	1LWND|258aVULN|3ERES|4CDMG|6RCR|7MBVNT|9DMG
115	33251 36511	   	165.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LWND|23VULN|4CDMG|5RPLT|6DMG|7aDUR|8AART|9RCR
116	16351 12614	   	165.05	DCR|2VULN|2DMG|1AART|1DUR	18aCGEN|2aDMG|3DUR|4MBVNT|5BEXP|6AART|7aVULN|9RCR|aBPWR
117	16353 12614	   	165.05	DCR|2VULN|2DMG|1AART|1DUR	18aCGEN|2aDMG|3DUR|4MBVNT|5FEWX|6AART|7aVULN|9RCR|aBPWR
118	16354 12114	   	165.05	DCR|2VULN|2DMG|1AART|1DUR	1aCGEN|2aDMG|3DUR|4MBVNT|57VULN|6AART|8aLWND|9RCR|aBPWR
119	16354 12214	   	165.05	DCR|2VULN|2DMG|1AART|1DUR	1aCGEN|2aDMG|3DUR|4MBVNT|57VULN|6AART|8aFEWX|9RCR|aBPWR
120	21223 42463	 * 	164.73	ACR|2AART|2VULN|2ASPD|1CDMG	1LSRHEA|2BEXP|37VULN|4RCR|56AART|8CDMG|9aASPD
121	21223 16235	   	164.66	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|3VULN|4RCR|5aAART|6ZMB|7CDMG|8DMG|9RMIN
122	21223 26535	   	164.63	ACR|2AART|2VULN|1DMG|1DUR	1aLSRHEA|2BEXP|3aVULN|4RCR|58AART|6DMG|7DUR|9aLWND|aBPWR
123	21223 24122	   	164.53	ACR|2AART|2DMG|1VULN|1ASPD	1LSRHEA|2BEXP|3VULN|4RCR|59AART|67DMG|8DMSP|aASPD
124	21223 24126	   	164.53	ACR|2AART|2DMG|1VULN|1DUR	1LSRHEA|2BEXP|3VULN|4RCR|59AART|67DMG|8DMSP|aDUR
125	21223 24422	   	164.53	ACR|2AART|2DMG|1VULN|1ASPD	1LSRHEA|28BEXP|3VULN|4RCR|59AART|67DMG|aASPD
126	21223 24426	   	164.53	ACR|2AART|2DMG|1VULN|1DUR	1LSRHEA|28BEXP|3VULN|4RCR|59AART|67DMG|aDUR
127	21223 26523	   	164.53	ACR|2AART|2VULN|1DMG|1DUR	1LSRHEA|29BEXP|3aVULN|4RCR|58AART|6DMG|7DUR
128	16354 16414	   	164.52	DCR|1AART|1DMG|1VULN|2ASPD|2DUR|1ZMB	1aCGEN|2DMG|3aDUR|4MBVNT|5VULN|6AART|7RCR|8ZMB|9aASPD|aBPWR
129	11354 16714	   	164.40	DCR|2DMG|1AART|1VULN|2DUR|1ASPD	1aCGEN|2NUKE|3aDUR|4MBVNT|5VULN|6AART|7RCR|8ASPD|9aDMG|aBPWR
130	21223 16415	   	164.38	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1aLSRHEA|2BEXP|3aVULN|4RCR|5AART|6ZMB|7CDMG|8RPLT|9aASPD|aBPWR
131	66333 33216	   	164.23	DCR|3VULN|1DMG|1CDMG|1ZMB	1BEXP|2RPLT|3CDMG|4ZMB|5DMG|6RCR|79aVULN|8RCVC
132	63144 23212	   	164.20	DCR|3VULN|1AART|1CDMG|2DUR	1BEXP|258VULN|3ERES|4CDMG|69DUR|7RCR|aAART
133	21226 21235	   	164.06	ACR|2AART|1VULN|1DMG|1CDMG|1ZMB	1LSRHEA|2BEXP|3VULN|4RCR|5CDMG|6aAART|7ZMB|8DMG|9RMIN
134	21223 14335	   	163.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LSRHEA|2BEXP|39VULN|4RCR|5AART|6ZMB|7DMG|8BASICY|aDUR
135	21223 25335	   	163.99	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1LSRHEA|2BEXP|39VULN|4RCR|5AART|6DMG|7ZMB|8BASICY|aDUR
136	16354 32614	   	163.85	DCR|2VULN|2DMG|1AART|1DUR	1aCGEN|2aDMG|3DUR|4MBVNT|56VULN|7aLWND|8AART|9RCR|aBPWR
137	21226 21415	   	163.78	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1aLSRHEA|2BEXP|3aVULN|4RCR|5CDMG|6AART|7ZMB|8RPLT|9aASPD|aBPWR
138	21223 22533	   	163.73	ACR|2VULN|2DMG|1AART	1LSRHEA|2BEXP|38VULN|4RCR|5AART|6aDMG|7CGEN|9LHND
139	21223 24313	   	163.73	ACR|2VULN|2DMG|1AART	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8MLV|9RMIN
140	21223 24335	   	163.73	ACR|2VULN|2DMG|1AART	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8MLV|9LHND
141	23226 21415	   	163.68	ACR|2VULN|1AART|2ASPD|1CDMG|1ZMB	1aLSRHEA|2LEGI|3aVULN|4RCR|5CDMG|6AART|7ZMB|8RPLT|9aASPD|aBPWR
142	21223 24346	   	163.63	ACR|2VULN|2DMG|1AART	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|8MLV|9ERES
143	21223 24213	   	163.53	ACR|2VULN|2DMG|1AART	1LSRHEA|2BEXP|3aVULN|4RCR|5AART|67DMG|89DUST
144	66631 31232	 * 	163.49	ACR|3DMG|1AART|1CDMG|1ZMB	1BEXP|2RPLT|3LHND|478DMG|5RCR|6AART|9ZMB|aCDMG
145	16354 16423	   	163.07	DCR|2VULN|1AART|1DMG|1ZMB|1DUR	1CGEN|2DMG|3DUR|4MBVNT|59VULN|6AART|7RCR|8ZMB|aLWND
