0	Index      	 *	Score 	Summary	Detail	
1	42553 23333	 * 	290.83	DCR|DCR|2TLV|2DMG|2DUR	1AART|29DMG|39TLV|46DUR|5ZMB|79BEXP|8aRCR|9BPWR
25	51523 62313	   	270.26	DCR|2VULN|2LIT|2MLV|1TLV	18MLV|28LIT|3TLV|49ERES|58VULN|6AART|7RCR|8BPWR|aRMIN
26	51523 62321	   	270.26	DCR|2VULN|2LIT|2MLV|1TLV	18MLV|28LIT|3TLV|4ERES|58VULN|6AART|7RCR|8BPWR|9CGEN|aMDPS
27	51523 62323	   	270.26	DCR|2VULN|2LIT|2MLV|1TLV	18MLV|28LIT|3TLV|4aERES|58VULN|6AART|7RCR|8BPWR|9CGEN
28	43113 42622	 * 	269.08	DCR|3VULN|3TLV|2DMG|1SELL	1AART|2SELL|345TLV|689VULN|78DMG|8BPWR|aRCR
29	51523 62111	 * 	268.03	DCR|2TLV|1LIT|1VULN|1MLV|1DMG	1MLV|2LIT|3aTLV|4ERES|5VULN|6AART|7RCR|8DMG|9ZMB
30	43234 22152	   	267.89	DCR|2TLV|1LIT|1VULN|1MLV|1DMG|1SELL	1AART|2SELL|3DMG|4BELT|5LIT|6VULN|7RCR|89TLV|aMLV
31	24226 35213	   	267.63	DCR|2TLV|1LIT|1VULN|1MLV|1RPLT|1BBNT	1BEXP|2RPLT|35DUST|45TLV|5BPWR|6MLV|7VULN|8LIT|9RCR|aBBNT
32	52126 31353	 * 	267.48	DCR|2VULN|2TLV|1MLV|1DMG|1CDMG	1MLV|28ERES|3AIRHEA|4DMG|58VULN|6CGEN|78TLV|8BPWR|9RCR|aCDMG
33	51534 31181	 * 	266.66	DCR|2TLV|2MLV|2DMG|1LIT	19MLV|2LIT|39TLV|4MBVNT|5LEGI|6BELT|79DMG|8RPLT|9BPWR|aRCR
34	51552 21231	   	266.44	DCR|2TLV|2MLV|1LIT|1VULN|1ASPD	14MLV|2LIT|35TLV|6CGEN|7ASPD|8RCR|9ZMB|aVULN
35	51552 21211	   	266.34	DCR|2TLV|2MLV|1LIT|1VULN|1ASPD	14MLV|2LIT|35TLV|6CGEN|7ASPD|8RCR|9AME|aVULN
36	51552 31231	   	266.34	DCR|2TLV|2MLV|1LIT|1VULN|1ASPD	14MLV|2LIT|35TLV|6ERES|7ASPD|8RCR|9ZMB|aVULN
37	51552 31211	   	266.24	DCR|2TLV|2MLV|1LIT|1VULN|1ASPD	14MLV|2LIT|35TLV|6ERES|7ASPD|8RCR|9AME|aVULN
38	43261 53113	   	265.98	DCR|DCR|1TLV|1DMG|2AART|1CDMG|1DUR|1SELL	17AART|2SELL|3DMG|4CDMG|5FEWX|6aRCR|8DUR|9TLV
39	12464 12121	 * 	265.67	DCR|3VULN|2TLV|1MLV|1DUR	1LHND|2LEGI|357VULN|45TLV|5BPWR|6FEWX|8DUR|9MLV|aRCR
40	41133 32341	   	265.07	DCR|DCR|1TLV|1VULN|1DUR	1AART|2DUR|34CGEN|5RPLT|6TLV|7LWND|89RCR|aVULN
41	41133 32345	   	265.07	DCR|DCR|1TLV|1LIT|1DUR	1AART|2DUR|34CGEN|5RPLT|6TLV|7LWND|89RCR|aLIT
42	41133 33341	   	265.07	DCR|DCR|1TLV|1VULN|1DUR	1AART|2DUR|34CGEN|5RPLT|6TLV|7LHND|89RCR|aVULN
43	41133 33345	   	265.07	DCR|DCR|1TLV|1LIT|1DUR	1AART|2DUR|34CGEN|5RPLT|6TLV|7LHND|89RCR|aLIT
44	41133 34341	   	265.07	DCR|DCR|1TLV|1VULN|1DUR	1AART|2DUR|34CGEN|5RPLT|6TLV|7FEWX|89RCR|aVULN
45	44313 32341	   	265.07	DCR|DCR|1TLV|1VULN|1DUR	1AART|23CGEN|3BPWR|4DUR|5RPLT|6TLV|7LWND|89RCR|aVULN
46	44313 33341	   	265.07	DCR|DCR|1TLV|1VULN|1DUR	1AART|23CGEN|3BPWR|4DUR|5RPLT|6TLV|7LHND|89RCR|aVULN
47	43133 44313	   	263.75	DCR|DCR|1TLV|1MLV|1DMG|1CDMG|1SELL	1AART|2SELL|3TLV|4LWND|5MLV|6CDMG|7DMG|8aRCR|9AME
48	51533 13732	 * 	263.52	DCR|DCR|1TLV|1LIT|1MLV|1DUR	1MLV|2LIT|3TLV|4MBVNT|5DUR|6CANSTR|7MSLREG|8AAC|9aRCR
49	52126 31323	   	263.50	DCR|2VULN|2TLV|1MLV|1DMG|1DUR	1MLV|28ERES|3AIRHEA|4DMG|58VULN|6CGEN|78TLV|8BPWR|9DUR|aRCR
50	52126 31351	   	263.50	DCR|2VULN|2TLV|1MLV|1DMG|1DUR	1MLV|28ERES|3AIRHEA|4DMG|58VULN|6CGEN|78TLV|8BPWR|9RCR|aDUR
51	51532 73132	   	263.42	DCR|DCR|1TLV|1LIT|1MLV|1DUR	1MLV|2LIT|3TLV|4MBVNT|5AIRHEA|6DUR|7MSLREG|8NUKE|9aRCR
52	51533 13132	   	263.42	DCR|DCR|1TLV|1LIT|1MLV|1DUR	1MLV|2LIT|3TLV|4MBVNT|5DUR|6CANSTR|7MSLREG|8NUKE|9aRCR
